4973_24516_000002_000000	CHAPTER XIII	CHAPTER thirteen
4973_24516_000021_000000	So they met deep underground in the dim galleries, their little oil-lamps twinkling like stars, and there they listened to the Word of God, and prayed and sang together.	So they met deep underground in the dim galleries, their little oil lamps twinkling like stars, and there they listened to the Word of God, and prayed and sang together.
4973_24516_000022_000000	Many touching stories are told of these days; and of the meetings held underground in these Catacombs, where the living were surrounded by the bodies of the martyred dead.	Many touching stories are told of these days; and of the meetings held underground in these Catacombs, where the living were surrounded by the bodies of the martyred dead.
4973_24516_000023_000000	Now, these first Christians loved the Bible with all their hearts, and just as you like to see hanging in your room the picture of the Good Shepherd with the little lamb, so they began to long for pictures from their Bible.	Now, these first Christians loved the Bible with all their hearts, and just as you like to see hanging in your room the picture of the Good Shepherd with the little lamb, so they began to long for pictures from their Bible.
4973_24516_000023_000001	Every heathen Roman had his house decorated with pictures and carvings from his pagan religion, but it was in the dim underground galleries that the first Bible pictures appeared.	Every heathen Roman had his house decorated with pictures and carvings from his pagan religion, but it was in the dim underground galleries that the first Bible pictures appeared.
4973_24516_000024_000000	Some of the subjects were taken from the Old Testament, some from the New.	Some of the subjects were taken from the Old Testament, some from the New.
4973_24516_000024_000001	Only Bible pictures interested the first Christians.	Only Bible pictures interested the first Christians.
4973_24516_000025_000002	So will God keep safe all those who trust in Him.'	So will God keep safe all those who trust in Him.'
4973_24516_000026_000000	There are many pictures of Jonah and the whale, and one of the three children in the burning fiery furnace, for this had special messages for the martyrs as we can well understand.	There are many pictures of jonah and the whale, and one of the three children in the burning fiery furnace, for this had special messages for the martyrs as we can well understand.
4973_24516_000028_000001	The artist who carved this had once been a heathen; perhaps in former days he had made and sold idols, but now all his life and talents were consecrated to God.	The artist who carved this had once been a heathen; perhaps in former days he had made and sold idols, but now all his life and talents were consecrated to God.
4973_24516_000029_000000	And here carved in stone, is the Good Shepherd, Christ bearing the lost lamb on His shoulder, just as He does in the picture you love so well at home; Christ, the Good Shepherd of your life, just as surely as He was the Saviour and Friend of these men and women who fell asleep so long ago!	And here carved in stone, is the Good Shepherd, Christ bearing the lost lamb on His shoulder, just as He does in the picture you love so well at home; Christ, the Good Shepherd of your life, just as surely as He was the Saviour and Friend of these men and women who fell asleep so long ago!
4973_24516_000031_000000	Now, there is one very wonderful thing about all these pictures: although so many martyrs lie buried here, nearly all the pictures and inscriptions are cheerful!	Now, there is one very wonderful thing about all these pictures: although so many martyrs lie buried here, nearly all the pictures and inscriptions are cheerful!
4973_24516_000032_000000	The heathen Roman writers tell a great deal about the dreadful sufferings of the Christians, but there is very little said about it on the tombs of the martyrs themselves.	The heathen Roman writers tell a great deal about the dreadful sufferings of the Christians, but there is very little said about it on the tombs of the martyrs themselves.
4973_24516_000033_000000	How thoroughly these first Christians knew their Bible!	How thoroughly these first Christians knew their Bible!
4973_24516_000033_000002	Had all the writings of the New Testament been lost, we should have known the most important events of our Lord's life on earth from these faded paintings and worn carvings alone.	Had all the writings of the New Testament been lost, we should have known the most important events of our Lord's life on earth from these faded paintings and worn carvings alone.
4973_24516_000034_000001	This is the message which these first Bible pictures bring to us all.	This is the message which these first Bible pictures bring to us all.
