2823_160964_000000_000000	THE THREE SILLIES	THE THREE SILLIES	true	25.38	26.71	21.061543
2823_160964_000004_000000	Now the gentleman got tired of stopping up in the kitchen by himself, and at last he went down into the cellar too, to see what they were after; and there they three sat crying side by side, and the beer running all over the floor.	Now the gentleman got tired of stopping up in the kitchen by himself, and at last he went down into the cellar too, to see what they were after; and there they three sat crying side by side, and the beer running all over the floor.	false	204.29	222.61	21.395489
2823_160964_000004_000001	And he ran straight and turned the tap. Then he said: "Whatever are you three doing, sitting there crying, and letting the beer run all over the floor?" "Oh!" says the father, "look at that horrid mallet!	And he ran straight and turned the tap. Then he said: "Whatever are you three doing, sitting there crying, and letting the beer run all over the floor?" "Oh!" says the father, "look at that horrid mallet!	true	222.77	238.845	21.607569
2823_160964_000004_000002	Suppose you and our daughter was to be married, and was to have a son, and he was to grow up, and was to come down into the cellar to draw the beer, and the mallet was to fall on his head and kill him!" And then they all started crying worse than before.	Suppose you and our daughter was to be married, and was to have a son, and he was to grow up, and was to come down into the cellar to draw the beer, and the mallet was to fall on his head and kill him!" And then they all started crying worse than before.	true	238.845	256.03	20.233301
2823_160964_000004_000003	But the gentleman burst out laughing, and reached up and pulled out the mallet, and then he said: "I've traveled many miles, and I never met three such big sillies as you three before; and now I shall start out on my travels again, and when I can find three bigger sillies than you three, then I'll come back and marry your daughter." So he wished them good-by, and started off on his travels, and left them all crying because the girl had lost her sweetheart.	But the gentleman burst out laughing, and reached up and pulled out the mallet, and then he said: "I've traveled many miles, and I never met three such big sillies as you three before; and now I shall start out on my travels again, and when I can find three bigger sillies than you three, then I'll come back and marry your daughter." So he wished them good by, and started off on his travels, and left them all crying because the girl had lost her sweetheart.	false	256.58	290.2	20.826328
2823_160964_000005_000000	Well, he set out, and he traveled a long way, and at last he came to a woman's cottage that had some grass growing on the roof.	Well, he set out, and he traveled a long way, and at last he came to a woman's cottage that had some grass growing on the roof.	true	291.98	300.91	20.014456
2823_160964_000005_000001	And the woman was trying to get her cow to go up a ladder to the grass, and the poor thing durst not go.	And the woman was trying to get her cow to go up a ladder to the grass, and the poor thing durst not go.	true	301.25	309.1	22.423094
2823_160964_000005_000002	So the gentleman asked the woman what she was doing.	So the gentleman asked the woman what she was doing.	true	309.41	313.06	21.420198
2823_160964_000005_000003	"Why, lookye," she said, "look at all that beautiful grass.	"Why, lookye," she said, "look at all that beautiful grass.	true	313.28	317.59	22.09277
2823_160964_000005_000004	I'm going to get the cow on to the roof to eat it.	I'm going to get the cow on to the roof to eat it.	false	317.72	321.16	21.105299
2823_160964_000005_000005	She'll be quite safe, for I shall tie a string round her neck, and pass it down the chimney, and tie it to my wrist as I go about the house, so she can't fall off without my knowing it." "Oh, you poor silly!" said the gentleman, "you should cut the grass and throw it down to the cow!" But the woman thought it was easier to get the cow up the ladder than to get the grass down, so she pushed her and coaxed her and got her up, and tied a string round her neck, and passed it down the chimney, and fastened it to her own wrist.	She'll be quite safe, for I shall tie a string round her neck, and pass it down the chimney, and tie it to my wrist as I go about the house, so she can't fall off without my knowing it." "Oh, you poor silly!" said the gentleman, "you should cut the grass and throw it down to the cow!" But the woman thought it was easier to get the cow up the ladder than to get the grass down, so she pushed her and coaxed her and got her up, and tied a string round her neck, and passed it down the chimney, and fastened it to her own wrist.	false	321.53	359.53	22.038546
2823_160964_000005_000006	And the gentleman went on his way, but he hadn't gone far when the cow tumbled off the roof, and hung by the string tied round her neck, and it strangled her.	And the gentleman went on his way, but he hadn't gone far when the cow tumbled off the roof, and hung by the string tied round her neck, and it strangled her.	true	359.96	371.38	21.207613
2823_160964_000005_000007	And the weight of the cow tied to her wrist pulled the woman up the chimney, and she stuck fast halfway and was smothered in the soot.	And the weight of the cow tied to her wrist pulled the woman up the chimney, and she stuck fast halfway and was smothered in the soot.	false	371.72	381.43	23.599993
2823_160964_000006_000000	Well, that was one big silly.	Well, that was one big silly.	true	382.22	384.16	20.745775
2823_160964_000007_000000	And the gentleman went on and on, and he went to an inn to stop the night, and they were so full at the inn that they had to put him in a double-bedded room, and another traveler was to sleep in the other bed.	And the gentleman went on and on, and he went to an inn to stop the night, and they were so full at the inn that they had to put him in a double bedded room, and another traveler was to sleep in the other bed.	false	385.55	401.62	19.795881
2823_160964_000007_000001	The other man was a very pleasant fellow, and they got very friendly together; but in the morning, when they were both getting up, the gentleman was surprised to see the other hang his trousers on the knobs of the chest of drawers and run across the room and try to jump into them, and he tried over and over again, and couldn't manage it; and the gentleman wondered whatever he was doing it for.	The other man was a very pleasant fellow, and they got very friendly together; but in the morning, when they were both getting up, the gentleman was surprised to see the other hang his trousers on the knobs of the chest of drawers and run across the room and try to jump into them, and he tried over and over again, and couldn't manage it; and the gentleman wondered whatever he was doing it for.	false	401.99	430.27	20.921753
2823_160964_000007_000002	At last he stopped and wiped his face with his handkerchief.	At last he stopped and wiped his face with his handkerchief.	true	430.58	434.34	21.984783
2823_160964_000007_000003	"Oh dear," he says, "I do think trousers are the most awkwardest kind of clothes that ever were.	"Oh dear," he says, "I do think trousers are the most awkwardest kind of clothes that ever were.	false	434.34	442.75	19.8947
2823_160964_000007_000004	I can't think who could have invented such things.	I can't think who could have invented such things.	true	443	446.47	21.192747
2823_160964_000007_000005	It takes me the best part of an hour to get into mine every morning, and I get so hot!	It takes me the best part of an hour to get into mine every morning, and I get so hot!	true	446.99	453.34	22.069044
2823_160964_000007_000006	How do you manage yours?" So the gentleman burst out laughing, and showed him how to put them on; and he was very much obliged to him, and said he never should have thought of doing it that way.	How do you manage yours?" So the gentleman burst out laughing, and showed him how to put them on; and he was very much obliged to him, and said he never should have thought of doing it that way.	false	453.65	466.12	21.57795
2823_160964_000008_000000	So that was another big silly.	So that was another big silly.	true	467.27	469.48	17.787817
2823_160964_000009_000000	Then the gentleman went on his travels again; and he came to a village, and outside the village there was a pond, and round the pond was a crowd of people.	Then the gentleman went on his travels again; and he came to a village, and outside the village there was a pond, and round the pond was a crowd of people.	false	470.24	480.31	21.83716
2823_160964_000009_000001	And they had rakes, and brooms, and pitchforks, reaching into the pond; and the gentleman asked what was the matter. "Why," they say, "matter enough!	And they had rakes, and brooms, and pitchforks, reaching into the pond; and the gentleman asked what was the matter. "Why," they say, "matter enough!	true	480.38	491.565	21.860947
2823_160964_000009_000002	Moon's tumbled into the pond, and we can't rake her out anyhow!" So the gentleman burst out laughing, and told them to look up into the sky, and that it was only the shadow in the water.	Moon's tumbled into the pond, and we can't rake her out anyhow!" So the gentleman burst out laughing, and told them to look up into the sky, and that it was only the shadow in the water.	false	491.565	505.24	20.99044
2823_160964_000009_000003	But they wouldn't listen to him, and abused him shamefully and he got away as quick as he could.	But they wouldn't listen to him, and abused him shamefully and he got away as quick as he could.	true	505.49	511.96	19.974436
2823_160964_000010_000000	So there were a whole lot of sillies bigger than the three sillies at home.	So there were a whole lot of sillies bigger than the three sillies at home.	true	512.87	518.08	19.868525
2823_160964_000010_000001	So the gentleman turned back home again and married the farmer's daughter, and if they didn't live happy for ever after, that's nothing to do with you or me.	So the gentleman turned back home again and married the farmer's daughter, and if they didn't live happy for ever after, that's nothing to do with you or me.	true	518.36	530.73	21.762312
2823_160964_000011_000000	CELTIC STORIES	CELTIC STORIES	false	530.73	530.91	-20
2823_160964_000012_000000	KING O'TOOLE AND HIS GOOSE	KING O'TOOLE AND HIS GOOSE	false	530.91	531.36	100
2823_160964_000013_000000	ADAPTED BY JOSEPH JACOBS	ADAPTED BY JOSEPH JACOBS	false	531.36	531.36	
2823_160964_000014_000000	Och, I thought all the world, far and near, had heerd of King O'Toole--well, well, but the darkness of mankind is untellable!	Och, I thought all the world, far and near, had heerd of King O'Toole-well, well, but the darkness of mankind is untellable!	false	531.36	531.96	16
2823_160964_000014_000001	Well, sir, you must know, as you didn't hear it afore, that there was a King, called King O'Toole, who was a fine old King in the old ancient times, long ago; and it was he that owned the churches in the early days.	Well, sir, you must know, as you didn't hear it afore, that there was a King, called King O'Toole, who was a fine old King in the old ancient times, long ago; and it was he that owned the churches in the early days.	false	531.96	532.5	13
2823_160964_000014_000002	The King, you see was the right sort; he was the real boy, and loved sport as he loved his life, and hunting in particular; and from the rising o' the sun, up he got, and away he went over the mountains after the deer; and fine times they were.	The King, you see was the right sort; he was the real boy, and loved sport as he loved his life, and hunting in particular; and from the rising o' the sun, up he got, and away he went over the mountains after the deer; and fine times they were.	false	532.5	532.5	
