2481_163597_000000_000000	And as the King was old and had no heirs, he put them on the throne in his place.	And as the King was old and had no heirs, he put them on the throne in his place.	false	0	7.08	24.401001
2481_163597_000019_000002	I bound up three of the wounds which thou didst give him.'	I bound up three of the wounds which thou didst give him.'	true	373.73	377.35	25.644176
2481_163597_000020_000000	Well, after this they drank, and enjoyed themselves, and held sweet converse together, and then the Prince took leave of her, and went on to the second sister, the one who lived in the silver palace, and with her also he stayed awhile.	Well, after this they drank, and enjoyed themselves, and held sweet converse together, and then the Prince took leave of her, and went on to the second sister, the one who lived in the silver palace, and with her also he stayed awhile.	true	377.69	392.505	23.996864
2481_163597_000020_000001	She told him that her brother Norka was then at her youngest sister's.	She told him that her brother Norka was then at her youngest sister's.	false	392.505	397.21	26.061546
2481_163597_000020_000002	So he went on to the youngest sister, who lived in a golden palace.	So he went on to the youngest sister, who lived in a golden palace.	true	397.46	401.68	23.376354
2481_163597_000020_000003	She told him that her brother was at that time asleep on the blue sea, and she gave him a sword of steel and a draught of the Water of Strength, and she told him to cut off her brother's head at a single stroke.	She told him that her brother was at that time asleep on the blue sea, and she gave him a sword of steel and a draught of the Water of Strength, and she told him to cut off her brother's head at a single stroke.	false	401.75	414.705	24.540956
2481_163597_000020_000004	And when he had heard these things, he went his way.	And when he had heard these things, he went his way.	false	414.705	417.88	24.132444
2481_163597_000021_000000	And when the Prince came to the blue sea, he looked--there slept the Norka on a stone in the middle of the sea; and when it snored, the water was agitated for seven miles around.	And when the Prince came to the blue sea, he looked-there slept the Norka on a stone in the middle of the sea; and when it snored, the water was agitated for seven miles around.	true	418.16	429.76	24.06085
2481_163597_000021_000001	The Prince crossed himself, went up to it, and smote it on the head with his sword.	The Prince crossed himself, went up to it, and smote it on the head with his sword.	true	429.92	435.04	20.877151
2481_163597_000021_000002	The head jumped off, saying the while, 'Well, I'm done for now!' and rolled far away into the sea.	The head jumped off, saying the while, 'Well, I'm done for now!' and rolled far away into the sea.	true	435.05	443.32	22.654236
2481_163597_000022_000000	After killing the beast, the Prince went back again, picking up all the three sisters by the way, with the intention of taking them out into the upper world: for they all loved him and would not be separated from him.	After killing the beast, the Prince went back again, picking up all the three sisters by the way, with the intention of taking them out into the upper world: for they all loved him and would not be separated from him.	true	443.63	456.555	27.648624
2481_163597_000022_000001	Each of them turned her palace into an egg--for they were all enchantresses--and they taught him how to turn the eggs into palaces, and back again, and they handed over the eggs to him.	Each of them turned her palace into an egg-for they were all enchantresses-and they taught him how to turn the eggs into palaces, and back again, and they handed over the eggs to him.	true	456.555	468.49	24.76281
2481_163597_000022_000002	And then they all went to the place from which they had to be hoisted into the upper world.	And then they all went to the place from which they had to be hoisted into the upper world.	true	468.71	474.1	24.904634
2481_163597_000022_000003	And when they came to where the rope was, the Prince took hold of it and made the maidens fast to it.	And when they came to where the rope was, the Prince took hold of it and made the maidens fast to it.	true	474.23	479.86	24.255943
2481_163597_000022_000004	Then he jerked away at the rope and his brothers began to haul it up.	Then he jerked away at the rope and his brothers began to haul it up.	false	480.17	484.93	26.503069
2481_163597_000022_000005	And when they had hauled it up, and had set eyes on the wondrous maidens, they went aside and said: 'Let's lower the rope, pull our brother part of the way up, and then cut the rope.	And when they had hauled it up, and had set eyes on the wondrous maidens, they went aside and said: 'Let's lower the rope, pull our brother part of the way up, and then cut the rope.	true	485.21	497.955	25.271236
2481_163597_000022_000006	Perhaps he'll be killed; but then if he isn't, he'll never give us these beauties as wives.'	Perhaps he'll be killed; but then if he isn't, he'll never give us these beauties as wives.'	true	497.955	503.71	25.601997
2481_163597_000023_000000	So when they had agreed on this, they lowered the rope.	So when they had agreed on this, they lowered the rope.	true	504.2	507.195	24.272963
2481_163597_000023_000001	But their brother was no fool; he guessed what they were at, so he fastened the rope to a stone, and then gave it a pull.	But their brother was no fool; he guessed what they were at, so he fastened the rope to a stone, and then gave it a pull.	true	507.195	514.68	23.50502
2481_163597_000023_000002	His brothers hoisted the stone to a great height, and then cut the rope.	His brothers hoisted the stone to a great height, and then cut the rope.	true	514.68	518.745	26.781742
2481_163597_000023_000003	Down fell the stone and broke in pieces; the Prince poured forth tears and went away.	Down fell the stone and broke in pieces; the Prince poured forth tears and went away.	false	518.745	524.95	25.591772
2481_163597_000023_000004	Well, he walked and walked.	Well, he walked and walked.	true	525.11	526.98	23.013592
2481_163597_000023_000005	Presently a storm arose; the lightning flashed, the thunder roared, the rain fell in torrents.	Presently a storm arose; the lightning flashed, the thunder roared, the rain fell in torrents.	false	526.98	532.72	26.700592
2481_163597_000023_000006	He went up to a tree in order to take shelter under it, and on that tree he saw some young birds which were being thoroughly drenched.	He went up to a tree in order to take shelter under it, and on that tree he saw some young birds which were being thoroughly drenched.	true	532.94	541.065	24.030275
2481_163597_000023_000007	So he took off his coat and covered them over with it, and he himself sat down under the tree.	So he took off his coat and covered them over with it, and he himself sat down under the tree.	true	541.065	547.12	26.28062
2481_163597_000023_000008	Presently there came flying a bird--such a big one that the light was blotted out by it.	Presently there came flying a bird-such a big one that the light was blotted out by it.	true	547.13	552.97	27.739628
2481_163597_000023_000009	It had been dark there before, but now it became darker still.	It had been dark there before, but now it became darker still.	true	553.1	557.41	27.55484
2481_163597_000023_000010	Now this was the mother of those small birds which the Prince had covered up. And when the bird had come flying up, she perceived that her little ones were covered over, and she said, 'Who has wrapped up my nestlings?' and presently, seeing the Prince, she added: 'Didst thou do that?	Now this was the mother of those small birds which the Prince had covered up. And when the bird had come flying up, she perceived that her little ones were covered over, and she said, 'Who has wrapped up my nestlings?' and presently, seeing the Prince, she added: 'Didst thou do that?	false	557.75	574.93	24.931133
2481_163597_000023_000011	Thanks!	Thanks!	true	574.97	575.895	29.92016
2481_163597_000023_000012	In return, ask of me anything thou desirest.	In return, ask of me anything thou desirest.	true	575.895	579.52	23.411556
2481_163597_000023_000013	I will do anything for thee.'	I will do anything for thee.'	true	579.77	581.59	29.466822
2481_163597_000024_000000	'Then carry me into the other world,' he replied.	'Then carry me into the other world,' he replied.	true	582.26	585.46	23.655699
2481_163597_000025_000000	'Make me a large vessel with a partition in the middle,' she said; 'catch all sorts of game, and put them into one half of it, and into the other half pour water; so that there may be meat and drink for me.'	'Make me a large vessel with a partition in the middle,' she said; 'catch all sorts of game, and put them into one half of it, and into the other half pour water; so that there may be meat and drink for me.'	true	585.68	599.35	22.078152
2481_163597_000026_000000	All this the Prince did.	All this the Prince did.	true	600.05	601.9	24.568752
2481_163597_000026_000001	Then the bird--having taken the vessel on her back, with the Prince sitting in the middle of it--began to fly.	Then the bird-having taken the vessel on her back, with the Prince sitting in the middle of it-began to fly.	true	601.97	608.26	24.400673
2481_163597_000026_000002	And after flying some distance she brought him to his journey's end, took leave of him, and flew away back.	And after flying some distance she brought him to his journey's end, took leave of him, and flew away back.	true	608.33	614.95	21.35397
2481_163597_000026_000003	But he went to the house of a certain tailor, and engaged himself as his servant.	But he went to the house of a certain tailor, and engaged himself as his servant.	true	615.26	619.93	22.246038
2481_163597_000026_000004	So much the worse for wear was he, so thoroughly had he altered in appearance, that nobody would have suspected him of being a Prince.	So much the worse for wear was he, so thoroughly had he altered in appearance, that nobody would have suspected him of being a Prince.	true	620.03	628.48	24.043789
2481_163597_000027_000000	Having entered into the service of this master, the Prince began to ask what was going on in that country.	Having entered into the service of this master, the Prince began to ask what was going on in that country.	true	629.18	635.53	25.380022
2481_163597_000027_000001	And his master replied: 'Our two Princes--for the third one has disappeared--have brought away brides from the other world, and want to marry them, but those brides refuse. For they insist on having all their wedding-clothes made for them first, exactly like those which they used to have in the other world, and that without being measured for them.	And his master replied: 'Our two Princes-for the third one has disappeared-have brought away brides from the other world, and want to marry them, but those brides refuse. For they insist on having all their wedding clothes made for them first, exactly like those which they used to have in the other world, and that without being measured for them.	true	635.57	657.82	24.141306
2481_163597_000027_000002	The King has called all the workmen together, but not one of them will undertake to do it.'	The King has called all the workmen together, but not one of them will undertake to do it.'	false	658.04	663.09	27.113743
2481_163597_000028_000000	The Prince, having heard all this, said, 'Go to the King, master, and tell him that you will provide everything that's in your line.'	The Prince, having heard all this, said, 'Go to the King, master, and tell him that you will provide everything that's in your line.'	false	663.09	671.53	23.111986
2481_163597_000029_000000	'However can I undertake to make clothes of that sort?	'However can I undertake to make clothes of that sort?	true	672.47	675.345	25.09221
2481_163597_000029_000001	I work for quite common folks,' says his master.	I work for quite common folks,' says his master.	true	675.345	678.16	23.733273
2481_163597_000030_000000	'Go along, master!	'Go along, master!	true	678.92	680.235	21.52304
2481_163597_000030_000001	I will answer for everything,' says the Prince.	I will answer for everything,' says the Prince.	true	680.235	682.66	22.864445
2481_163597_000031_000000	So the tailor went.	So the tailor went.	true	682.94	684.43	28.42803
2481_163597_000031_000001	The King was delighted that at least one good workman had been found, and gave him as much money as ever he wanted. When his tailor had settled everything, he went home.	The King was delighted that at least one good workman had been found, and gave him as much money as ever he wanted. When his tailor had settled everything, he went home.	false	684.56	694.935	24.087416
2481_163597_000031_000002	And the Prince said to him:	And the Prince said to him:	true	694.935	696.52	29.473125
2481_163597_000032_000000	'Now then, pray to God, and lie down to sleep; to-morrow all will be ready.' And the tailor followed his lad's advice, and went to bed.	'Now then, pray to God, and lie down to sleep; to morrow all will be ready.' And the tailor followed his lad's advice, and went to bed.	false	696.59	705.97	25.390839
2481_163597_000033_000000	Midnight sounded.	Midnight sounded.	true	706.34	707.79	23.135378
2481_163597_000033_000001	The Prince arose, went out of the city into the fields, took out of his pocket the eggs which the maidens had given him, and, as they had taught him, turned them into three palaces.	The Prince arose, went out of the city into the fields, took out of his pocket the eggs which the maidens had given him, and, as they had taught him, turned them into three palaces.	true	707.79	719.83	24.274258
2481_163597_000033_000002	Into each of these he entered, took the maidens' robes, went out again, turned the palaces back into eggs, and went home.	Into each of these he entered, took the maidens' robes, went out again, turned the palaces back into eggs, and went home.	true	720.08	728.59	25.147318
2481_163597_000033_000003	And when he got there he hung up the robes on the wall, and lay down to sleep.	And when he got there he hung up the robes on the wall, and lay down to sleep.	true	728.87	733.72	22.539228
2481_163597_000034_000000	Early in the morning his master awoke, and behold!	Early in the morning his master awoke, and behold!	true	733.88	737.56	19.392305
2481_163597_000034_000001	there hung such robes as he had never seen before, all shining with gold and silver and precious stones.	there hung such robes as he had never seen before, all shining with gold and silver and precious stones.	true	737.57	744.67	19.326124
2481_163597_000034_000002	He was delighted, and he seized them and carried them off to the King.	He was delighted, and he seized them and carried them off to the King.	true	744.77	749.35	23.339045
2481_163597_000034_000003	When the Princesses saw that the clothes were those which had been theirs in the other world, they guessed that Prince Ivan was in this world, so they exchanged glances with each other, but they held their peace.	When the Princesses saw that the clothes were those which had been theirs in the other world, they guessed that Prince Ivan was in this world, so they exchanged glances with each other, but they held their peace.	true	749.39	761.14	25.942438
2481_163597_000034_000004	And the master, having handed over the clothes, went home, but he no longer found his dear journeyman there.	And the master, having handed over the clothes, went home, but he no longer found his dear journeyman there.	true	761.54	768.4	25.164988
2481_163597_000034_000005	For the Prince had gone to a shoemaker's, and him too he sent to work for the King; and in the same way he went the round of all the artificers, and they all proffered him thanks, inasmuch as through him they were enriched by the King.	For the Prince had gone to a shoemaker's, and him too he sent to work for the King; and in the same way he went the round of all the artificers, and they all proffered him thanks, inasmuch as through him they were enriched by the King.	false	768.53	784.15	21.778135
2481_163597_000035_000000	By the time the princely workman had gone the round of all the artificers, the Princesses had received what they had asked for; all their clothes were just like what they had been in the other world. Then they wept bitterly because the Prince had not come, and it was impossible for them to hold out any longer; it was necessary that they should be married.	By the time the princely workman had gone the round of all the artificers, the Princesses had received what they had asked for; all their clothes were just like what they had been in the other world. Then they wept bitterly because the Prince had not come, and it was impossible for them to hold out any longer; it was necessary that they should be married.	true	784.55	805.71	22.962223
2481_163597_000035_000001	But when they were ready for the wedding, the youngest bride said to the King:	But when they were ready for the wedding, the youngest bride said to the King:	true	805.71	809.565	25.113306
2481_163597_000036_000000	'Allow me, my father, to go and give alms to the beggars.'	'Allow me, my father, to go and give alms to the beggars.'	true	809.565	813.37	23.697475
2481_163597_000037_000000	He gave her leave, and she went and began bestowing alms upon them, and examining them closely.	He gave her leave, and she went and began bestowing alms upon them, and examining them closely.	false	813.5	819.91	23.999453
2481_163597_000037_000001	And when she had come to one of them, and was going to give him some money, she caught sight of the ring which she had given to the Prince in the other world, and her sisters' rings too--for it really was he.	And when she had come to one of them, and was going to give him some money, she caught sight of the ring which she had given to the Prince in the other world, and her sisters' rings too-for it really was he.	false	820.07	832.69	22.341518
2481_163597_000037_000002	So she seized him by the hand, and brought him into the hall, and said to the King:	So she seized him by the hand, and brought him into the hall, and said to the King:	true	833.06	837.94	23.083748
2481_163597_000038_000000	'Here is he who brought us out of the other world.	'Here is he who brought us out of the other world.	true	837.95	841.215	23.511
2481_163597_000038_000001	His brothers forbade us to say that he was alive, threatening to slay us if we did.'	His brothers forbade us to say that he was alive, threatening to slay us if we did.'	true	841.215	846.45	23.273886
2481_163597_000039_000000	Then the King was wroth with those sons, and punished them as he thought best.	Then the King was wroth with those sons, and punished them as he thought best.	true	846.45	851.41	24.405058
2481_163597_000039_000001	And afterwards three weddings were celebrated.	And afterwards three weddings were celebrated.	false	851.57	866.16	21.841326
