2388_153731_000000_000000	The Banners of the Sun	The Banners of the Sun	false	8.55	25.53	21.102207
2388_153731_000013_000002	It is evidently in part gaseous, but it also probably contains matter in the form of dust and small meteors.	It is evidently in part gaseous, but it also probably contains matter in the form of dust and small meteors.	false	719.82	726.52	23.80289
2388_153731_000013_000003	It includes one substance altogether mysterious -- ``coronium.'' There are reasons for thinking that this may be the lightest of all the elements, and Professor Young, its discoverer, said that it was ``absolutely unique in nature; utterly distinct from any other known form of matter, terrestial, solar, or cosmical.'' The enormous extent of the corona is one of its riddles.	It includes one substance altogether mysterious -- backquote backquote coronium.'' There are reasons for thinking that this may be the lightest of all the elements, and Professor Young, its discoverer, said that it was backquote backquote absolutely unique in nature; utterly distinct from any other known form of matter, terrestial, solar, or cosmical.'' The enormous extent of the corona is one of its riddles.	false	726.92	749.89	20.634117
2388_153731_000013_000004	Since the development of the curious subject of the ``pressure of light'' it has been proposed to account for the sustentation of the corona by supposing that it is borne upon the billows of light continually poured out from the sun.	Since the development of the curious subject of the backquote backquote pressure of light'' it has been proposed to account for the sustentation of the corona by supposing that it is borne upon the billows of light continually poured out from the sun	false	750.17	763.03	21.182661
2388_153731_000013_000005	Experiment has proved, what mathematical considerations had previously pointed out as probable, that the waves of light exert a pressure or driving force, which becomes evident in its effects if the body acted upon is sufficiently small.	Experiment has proved, what mathematical considerations had previously pointed out as probable, that the waves of light exert a pressure or driving force, which becomes evident in its effects if the body acted upon is sufficiently small.	true	763.58	778.6	23.080639
2388_153731_000013_000006	In that case the light pressure will prevail over the attraction of gravitation, and propel the attenuated matter away from the sun in the teeth of its attraction.	In that case the light pressure will prevail over the attraction of gravitation, and propel the attenuated matter away from the sun in the teeth of its attraction.	true	778.85	788.08	23.093567
2388_153731_000013_000007	The earth itself would be driven away if, instead of consisting of a solid globe of immense aggregate mass, it were a cloud of microscopic particles.	The earth itself would be driven away if, instead of consisting of a solid globe of immense aggregate mass, it were a cloud of microscopic particles.	true	788.63	797.92	21.066645
2388_153731_000013_000008	The reason is that the pressure varies in proportion to the surface of the body acted upon, while the gravitational attraction is proportional to the volume, or the total amount of matter in the body.	The reason is that the pressure varies in proportion to the surface of the body acted upon, while the gravitational attraction is proportional to the volume, or the total amount of matter in the body.	false	798.56	810.1	20.392115
2388_153731_000013_000009	But the surface of any body depends upon the square of its diameter, while the volume depends upon the cube of the diameter.	But the surface of any body depends upon the square of its diameter, while the volume depends upon the cube of the diameter.	false	810.65	817.69	19.037252
2388_153731_000013_000010	If, for instance, the diameter is represented by 4, the surface will be proportional to 4 x 4, or 16, and the volume to 4 x 4 x 4, or 64; but if the diameter is taken as 2, the surface will be 2 x 2, or 4, and the volume 2 x 2 x 2, or 8.	If, for instance, the diameter is represented by four, the surface will be proportional to four by four, or sixteen, and the volume to four by four by four, or sixty four; but if the diameter is taken as two, the surface will be two by two, or four, and the volume two by two by two, or eight.	false	818.18	842.29	22.324308
2388_153731_000013_000011	Now, the ratio of 4 to 8 is twice as great as that of 16 to 64.	Now, the ratio of four to eight is twice as great as that of sixteen to sixty four.	false	842.57	847.78	23.478079
2388_153731_000013_000012	If the diameter is still further decreased, the ratio of the surface to the volume will proportionally grow larger; in other words, the pressure will gain upon the attraction, and whatever their original ratio may have been, a time will come, if the diminution of size continues, when the pressure will become more effective than the attraction, and the body will be driven away.	If the diameter is still further decreased, the ratio of the surface to the volume will proportionally grow larger; in other words, the pressure will gain upon the attraction, and whatever their original ratio may have been, a time will come, if the diminution of size continues, when the pressure will become more effective than the attraction, and the body will be driven away.	true	848.06	869.5	20.16815
2388_153731_000013_000013	Supposing the particles of the corona to be below the critical size for the attraction of a mass like that of the sun to control them, they would be driven off into the surrounding space and appear around the sun like the clouds of dust around a mill. We shall return to this subject in connection with the Zodiacal Light, the Aurora, and Comets.	Supposing the particles of the corona to be below the critical size for the attraction of a mass like that of the sun to control them, they would be driven off into the surrounding space and appear around the sun like the clouds of dust around a mill. We shall return to this subject in connection with the Zodiacal Light, the Aurora, and Comets.	false	869.9	889.9	21.521536
2388_153731_000014_000000	On the other hand, there are parts of the corona which suggest by their forms the play of electric or magnetic forces.	On the other hand, there are parts of the corona which suggest by their forms the play of electric or magnetic forces.	false	890.27	896.95	23
2388_153731_000014_000001	This is beautifully shown in some of the photographs that have been made of the corona during recent eclipses.	This is beautifully shown in some of the photographs that have been made of the corona during recent eclipses.	true	897.47	902.92	23.433174
2388_153731_000014_000002	Take, for instance, that of the eclipse of 1900.	Take, for instance, that of the eclipse of nineteen hundred.	true	903.11	906.25	23.677221
2388_153731_000014_000003	The sheaves of light emanating from the poles look precisely like the ``lines of force'' surrounding the poles of a magnet.	The sheaves of light emanating from the poles look precisely like the backquote backquote lines of force'' surrounding the poles of a magnet.	false	906.56	913.06	25.144947
2388_153731_000014_000004	It will be noticed in this photograph that the corona appears to consist of two portions: one comprising the polar rays just spoken of, and the other consisting of the broader, longer, and less-defined masses of light extending out from the equatorial and middle-latitude zones.	It will be noticed in this photograph that the corona appears to consist of two portions: one comprising the polar rays just spoken of, and the other consisting of the broader, longer, and less defined masses of light extending out from the equatorial and middle latitude zones.	false	913.43	928.78	22.582466
2388_153731_000014_000005	Yet even in this more diffuse part of the phenomenon one can detect the presence of submerged curves bearing more or less resemblance to those about the poles.	Yet even in this more diffuse part of the phenomenon one can detect the presence of submerged curves bearing more or less resemblance to those about the poles.	false	928.85	938.29	24.11547
2388_153731_000014_000006	Just what part electricity or electro-magnetism plays in the mechanism of the solar radiation it is impossible to say, but on the assumption that it is a very important part is based the hypothesis that there exists a direct solar influence not only upon the magnetism, but upon the weather of the earth.	Just what part electricity or electro magnetism plays in the mechanism of the solar radiation it is impossible to say, but on the assumption that it is a very important part is based the hypothesis that there exists a direct solar influence not only upon the magnetism, but upon the weather of the earth.	false	938.57	956.65	20.439194
2388_153731_000014_000007	This hypothesis has been under discussion for half a century, and still we do not know just how much truth it represents.	This hypothesis has been under discussion for half a century, and still we do not know just how much truth it represents.	false	957.02	963.49	22.760817
2388_153731_000014_000008	It is certain that the outbreak of great disturbances on the sun, accompanied by the formation of sun-spots and the upshooting of eruptive prominences (phenomena which we should naturally expect to be attended by action), have been instantly followed by corresponding ``magnetic storms'' on the earth and brilliant displays of the auroral lights.	It is certain that the outbreak of great disturbances on the sun, accompanied by the formation of sun spots and the upshooting of eruptive prominences (phenomena which we should naturally expect to be attended by action), have been instantly followed by corresponding backquote backquote magnetic storms'' on the earth and brilliant displays of the auroral lights.	false	964.07	984.19	22.775282
2388_153731_000014_000009	There have been occasions when the influence has manifested itself in the most startling ways, a great solar outburst being followed by a mysterious gripping of the cable and telegraph systems of the world, as if an invisible and irresistible hand had seized them.	There have been occasions when the influence has manifested itself in the most startling ways, a great solar outburst being followed by a mysterious gripping of the cable and telegraph systems of the world, as if an invisible and irresistible hand had seized them.	false	984.59	999.64	21.515636
2388_153731_000014_000010	Messages are abruptly cut off, sparks leap from the telegraph instruments, and the entire earth seems to have been thrown into a magnetic flurry.	Messages are abruptly cut off, sparks leap from the telegraph instruments, and the entire earth seems to have been thrown into a magnetic flurry.	true	999.86	1007.71	20.854208
2388_153731_000014_000011	These occurrences affect the mind with a deep impression of the dependence of our planet on the sun, such as we do not derive from the more familiar action of the sunlight on the growth of plants and other phenomena of life depending on solar influences.	These occurrences affect the mind with a deep impression of the dependence of our planet on the sun, such as we do not derive from the more familiar action of the sunlight on the growth of plants and other phenomena of life depending on solar influences.	true	1007.93	1021.75	19.594858
2388_153731_000015_000000	Perhaps the theory of solar magnetic influence upon the weather is best known in connection with the ``sun-spot cycle.'' This, at any rate, is, as already remarked, closely associated with the corona.	Perhaps the theory of solar magnetic influence upon the weather is best known in connection with the backquote backquote sun spot cycle.'' This, at any rate, is, as already remarked, closely associated with the corona.	false	1022.66	1034.47	22.2113
2388_153731_000015_000001	Its existence was discovered in 1843 by the German astronomer Schwabe.	Its existence was discovered in eighteen forty three by the German astronomer Schwabe.	true	1034.75	1039.32	16
2388_153731_000015_000002	It is a period of variable length, averaging about eleven years, during which the number of spots visible on the sun first increases to a maximum, then diminishes to a minimum, and finally increases again to a maximum.	It is a period of variable length, averaging about eleven years, during which the number of spots visible on the sun first increases to a maximum, then diminishes to a minimum, and finally increases again to a maximum.	false	1039.32	1052.89	21.914312
2388_153731_000015_000003	For unknown reasons the period is sometimes two or three years longer than the average and sometimes as much shorter. Nevertheless, the phenomena always recur in the same order.	For unknown reasons the period is sometimes two or three years longer than the average and sometimes as much shorter. Nevertheless, the phenomena always recur in the same order.	false	1053.08	1062.97	19.638609
2388_153731_000015_000004	Starting, for instance, with a time when the observer can find few or no spots, they gradually increase in number and size until a maximum, in both senses, is reached, during which the spots are often of enormous size and exceedingly active.	Starting, for instance, with a time when the observer can find few or no spots, they gradually increase in number and size until a maximum, in both senses, is reached, during which the spots are often of enormous size and exceedingly active.	false	1063.04	1076.35	22.61213
2388_153731_000015_000005	After two or three years they begin to diminish in number, magnitude, and activity until they almost or quite disappear.	After two or three years they begin to diminish in number, magnitude, and activity until they almost or quite disappear.	true	1076.6	1084.3	20.044823
2388_153731_000015_000006	A strange fact is that when a new period opens, the spots appear first in high northern and southern latitudes, far from the solar equator, and as the period advances they not only increase in number and size, but break out nearer and nearer to the equator, the last spots of a vanishing period sometimes lingering in the equatorial region after the advance-guard of its successor has made its appearance in the high latitudes.	A strange fact is that when a new period opens, the spots appear first in high northern and southern latitudes, far from the solar equator, and as the period advances they not only increase in number and size, but break out nearer and nearer to the equator, the last spots of a vanishing period sometimes lingering in the equatorial region after the advance guard of its successor has made its appearance in the high latitudes.	false	1084.46	1109.89	20.875309
2388_153731_000015_000007	Spots are never seen on the equator nor near the poles.	Spots are never seen on the equator nor near the poles.	false	1110.23	1113.58	23
2388_153731_000015_000008	It was not very long after the discovery of the sun-spot cycle that the curious observation was made that a striking coincidence existed between the period of the sun-spots and another period affecting the general magnetic condition of the earth.	It was not very long after the discovery of the sun spot cycle that the curious observation was made that a striking coincidence existed between the period of the sun spots and another period affecting the general magnetic condition of the earth.	true	1113.83	1127.92	20.99263
2388_153731_000015_000009	When a curved line representing the varying number of sun-spots was compared with another curve showing the variations in the magnetic state of the earth the two were seen to be in almost exact accord, a rise in one curve corresponding to a rise in the other, and a fall to a fall. Continued observation has proved that this is a real coincidence and not an accidental one, so that the connection, although as yet unexplained, is accepted as established.	When a curved line representing the varying number of sun spots was compared with another curve showing the variations in the magnetic state of the earth the two were seen to be in almost exact accord, a rise in one curve corresponding to a rise in the other, and a fall to a fall. Continued observation has proved that this is a real coincidence and not an accidental one, so that the connection, although as yet unexplained, is accepted as established.	false	1128.05	1153.99	19.644838
2388_153731_000015_000010	But does the influence extend further, and directly affect the weather and the seasons as well as the magnetic elements of the earth?	But does the influence extend further, and directly affect the weather and the seasons as well as the magnetic elements of the earth?	true	1154.27	1161.1	19.270958
