339_132718_000001_000000	CHAPTER 2.	CHAPTER two.
339_132718_000034_000002	This was Alima, a tall long-limbed lass, well-knit and evidently both strong and agile. Her eyes were splendid, wide, fearless, as free from suspicion as a child's who has never been rebuked.	This was Alima, a tall long limbed lass, well knit and evidently both strong and agile. Her eyes were splendid, wide, fearless, as free from suspicion as a child's who has never been rebuked.
339_132718_000035_000000	The others moved a bit farther out, holding firmly, watching.	The others moved a bit farther out, holding firmly, watching.
339_132718_000035_000002	I could already see it happen--the dropped necklace, the sudden clutching hand, the girl's sharp cry as he seized her and drew her in.	I could already see it happen-the dropped necklace, the sudden clutching hand, the girl's sharp cry as he seized her and drew her in.
339_132718_000035_000003	But it didn't happen.	But it didn't happen.
339_132718_000035_000004	She made a timid reach with her right hand for the gay swinging thing--he held it a little nearer--then, swift as light, she seized it from him with her left, and dropped on the instant to the bough below.	She made a timid reach with her right hand for the gay swinging thing-he held it a little nearer-then, swift as light, she seized it from him with her left, and dropped on the instant to the bough below.
339_132718_000036_000001	They dropped from the ends of the big boughs to those below, fairly pouring themselves off the tree, while we climbed downward as swiftly as we could.	They dropped from the ends of the big boughs to those below, fairly pouring themselves off the tree, while we climbed downward as swiftly as we could.
339_132718_000037_000000	"No use," gasped Terry.	"No use," gasped Terry.
339_132718_000037_000002	My word!	My word!
339_132718_000037_000003	The men of this country must be good sprinters!"	The men of this country must be good sprinters!"
339_132718_000038_000000	"Inhabitants evidently arboreal," I grimly suggested.	"Inhabitants evidently arboreal," I grimly suggested.
339_132718_000038_000001	"Civilized and still arboreal--peculiar people."	"Civilized and still arboreal-peculiar people."
339_132718_000040_000000	But it was no use grumbling, and Terry refused to admit any mistake. "Nonsense," he said.	But it was no use grumbling, and Terry refused to admit any mistake. "Nonsense," he said.
339_132718_000040_000001	"They expected it.	"They expected it.
339_132718_000040_000002	Women like to be run after.	Women like to be run after.
339_132718_000041_000001	There it was, about four miles off, the same town, we concluded, unless, as Jeff ventured, they all had pink houses.	There it was, about four miles off, the same town, we concluded, unless, as Jeff ventured, they all had pink houses.
339_132718_000041_000002	The broad green fields and closely cultivated gardens sloped away at our feet, a long easy slant, with good roads winding pleasantly here and there, and narrower paths besides.	The broad green fields and closely cultivated gardens sloped away at our feet, a long easy slant, with good roads winding pleasantly here and there, and narrower paths besides.
339_132718_000042_000000	"Look at that!" cried Jeff suddenly.	"Look at that!" cried Jeff suddenly.
339_132718_000042_000001	"There they go!"	"There they go!"
339_132718_000044_000001	It can't be the same ones," I urged.	It can't be the same ones," I urged.
339_132718_000044_000002	But through the glasses we could identify our pretty tree-climbers quite plainly, at least by costume.	But through the glasses we could identify our pretty tree climbers quite plainly, at least by costume.
339_132718_000045_000000	Terry watched them, we all did for that matter, till they disappeared among the houses.	Terry watched them, we all did for that matter, till they disappeared among the houses.
339_132718_000045_000001	Then he put down his glass and turned to us, drawing a long breath.	Then he put down his glass and turned to us, drawing a long breath.
339_132718_000045_000002	"Mother of Mike, boys--what Gorgeous Girls!	"Mother of Mike, boys-what Gorgeous Girls!
339_132718_000045_000003	To climb like that! to run like that! and afraid of nothing.	To climb like that! to run like that! and afraid of nothing.
339_132718_000045_000004	This country suits me all right.	This country suits me all right.
339_132718_000045_000005	Let's get ahead."	Let's get ahead."
339_132718_000047_000000	We set forth in the open, walking briskly.	We set forth in the open, walking briskly.
339_132718_000048_000000	"What a perfect road!	"What a perfect road!
339_132718_000048_000001	What a heavenly country!	What a heavenly country!
339_132718_000048_000002	See the flowers, will you?"	See the flowers, will you?"
339_132718_000049_000000	This was Jeff, always an enthusiast; but we could agree with him fully.	This was Jeff, always an enthusiast; but we could agree with him fully.
339_132718_000052_000000	Here was evidently a people highly skilled, efficient, caring for their country as a florist cares for his costliest orchids.	Here was evidently a people highly skilled, efficient, caring for their country as a florist cares for his costliest orchids.
339_132718_000052_000001	Under the soft brilliant blue of that clear sky, in the pleasant shade of those endless rows of trees, we walked unharmed, the placid silence broken only by the birds.	Under the soft brilliant blue of that clear sky, in the pleasant shade of those endless rows of trees, we walked unharmed, the placid silence broken only by the birds.
339_132718_000053_000000	Presently there lay before us at the foot of a long hill the town or village we were aiming for.	Presently there lay before us at the foot of a long hill the town or village we were aiming for.
339_132718_000054_000000	Jeff drew a long breath.	Jeff drew a long breath.
339_132718_000055_000000	"They've got architects and landscape gardeners in plenty, that's sure," agreed Terry.	"They've got architects and landscape gardeners in plenty, that's sure," agreed Terry.
339_132718_000056_000000	I was astonished myself.	I was astonished myself.
339_132718_000056_000001	You see, I come from California, and there's no country lovelier, but when it comes to towns--!	You see, I come from California, and there's no country lovelier, but when it comes to towns-!
339_132718_000056_000003	But this place!	But this place!
339_132718_000056_000004	It was built mostly of a sort of dull rose-colored stone, with here and there some clear white houses; and it lay abroad among the green groves and gardens like a broken rosary of pink coral.	It was built mostly of a sort of dull rose colored stone, with here and there some clear white houses; and it lay abroad among the green groves and gardens like a broken rosary of pink coral.
339_132718_000057_000000	"Those big white ones are public buildings evidently," Terry declared. "This is no savage country, my friend.	"Those big white ones are public buildings evidently," Terry declared. "This is no savage country, my friend.
339_132718_000057_000001	But no men?	But no men?
339_132718_000057_000002	Boys, it behooves us to go forward most politely."	Boys, it behooves us to go forward most politely."
339_132718_000058_000000	The place had an odd look, more impressive as we approached.	The place had an odd look, more impressive as we approached.
339_132718_000058_000001	"It's like an exposition."	"It's like an exposition."
339_132718_000058_000002	"It's too pretty to be true." "Plenty of palaces, but where are the homes?" "Oh there are little ones enough--but--." It certainly was different from any towns we had ever seen.	"It's too pretty to be true." "Plenty of palaces, but where are the homes?" "Oh there are little ones enough-but-." It certainly was different from any towns we had ever seen.
339_132718_000059_000001	"There's no smoke," he added after a little.	"There's no smoke," he added after a little.
339_132718_000060_000000	"There's no noise," I offered; but Terry snubbed me--"That's because they are laying low for us; we'd better be careful how we go in there."	"There's no noise," I offered; but Terry snubbed me-"That's because they are laying low for us; we'd better be careful how we go in there."
339_132718_000061_000000	Nothing could induce him to stay out, however, so we walked on.	Nothing could induce him to stay out, however, so we walked on.
339_132718_000062_000000	Everything was beauty, order, perfect cleanness, and the pleasantest sense of home over it all.	Everything was beauty, order, perfect cleanness, and the pleasantest sense of home over it all.
339_132718_000062_000001	As we neared the center of the town the houses stood thicker, ran together as it were, grew into rambling palaces grouped among parks and open squares, something as college buildings stand in their quiet greens.	As we neared the center of the town the houses stood thicker, ran together as it were, grew into rambling palaces grouped among parks and open squares, something as college buildings stand in their quiet greens.
339_132718_000063_000000	And then, turning a corner, we came into a broad paved space and saw before us a band of women standing close together in even order, evidently waiting for us.	And then, turning a corner, we came into a broad paved space and saw before us a band of women standing close together in even order, evidently waiting for us.
339_132718_000064_000000	We stopped a moment and looked back.	We stopped a moment and looked back.
339_132718_000064_000001	The street behind was closed by another band, marching steadily, shoulder to shoulder.	The street behind was closed by another band, marching steadily, shoulder to shoulder.
339_132718_000064_000002	We went on--there seemed no other way to go--and presently found ourselves quite surrounded by this close-massed multitude, women, all of them, but--	We went on-there seemed no other way to go-and presently found ourselves quite surrounded by this close massed multitude, women, all of them, but-
339_132718_000065_000000	They were not young.	They were not young.
339_132718_000065_000001	They were not old.	They were not old.
339_132718_000065_000002	They were not, in the girl sense, beautiful.	They were not, in the girl sense, beautiful.
339_132718_000065_000005	It was that sense of being hopelessly in the wrong that I had so often felt in early youth when my short legs' utmost effort failed to overcome the fact that I was late to school.	It was that sense of being hopelessly in the wrong that I had so often felt in early youth when my short legs' utmost effort failed to overcome the fact that I was late to school.
339_132718_000066_000002	But Terry showed no such consciousness.	But Terry showed no such consciousness.
339_132718_000067_000000	Yet they were not old women.	Yet they were not old women.
339_132718_000067_000002	They had no weapons, and we had, but we had no wish to shoot.	They had no weapons, and we had, but we had no wish to shoot.
339_132718_000068_000001	"What do they want with us anyhow?	"What do they want with us anyhow?
339_132718_000068_000002	They seem to mean business." But in spite of that businesslike aspect, he determined to try his favorite tactics.	They seem to mean business." But in spite of that businesslike aspect, he determined to try his favorite tactics.
339_132718_000068_000003	Terry had come armed with a theory.	Terry had come armed with a theory.
339_132718_000069_000000	He stepped forward, with his brilliant ingratiating smile, and made low obeisance to the women before him.	He stepped forward, with his brilliant ingratiating smile, and made low obeisance to the women before him.
339_132718_000069_000001	Then he produced another tribute, a broad soft scarf of filmy texture, rich in color and pattern, a lovely thing, even to my eye, and offered it with a deep bow to the tall unsmiling woman who seemed to head the ranks before him.	Then he produced another tribute, a broad soft scarf of filmy texture, rich in color and pattern, a lovely thing, even to my eye, and offered it with a deep bow to the tall unsmiling woman who seemed to head the ranks before him.
339_132718_000069_000002	She took it with a gracious nod of acknowledgment, and passed it on to those behind her.	She took it with a gracious nod of acknowledgment, and passed it on to those behind her.
339_132718_000070_000000	He tried again, this time bringing out a circlet of rhinestones, a glittering crown that should have pleased any woman on earth.	He tried again, this time bringing out a circlet of rhinestones, a glittering crown that should have pleased any woman on earth.
339_132718_000070_000002	Again his gift was accepted and, as before, passed out of sight.	Again his gift was accepted and, as before, passed out of sight.
339_132718_000073_000000	"Woman" in the abstract is young, and, we assume, charming.	"Woman" in the abstract is young, and, we assume, charming.
339_132718_000073_000002	But these good ladies were very much on the stage, and yet any one of them might have been a grandmother.	But these good ladies were very much on the stage, and yet any one of them might have been a grandmother.
339_132718_000074_000000	We looked for nervousness--there was none.	We looked for nervousness-there was none.
339_132718_000075_000000	For terror, perhaps--there was none.	For terror, perhaps-there was none.
339_132718_000077_000000	Six of them stepped forward now, one on either side of each of us, and indicated that we were to go with them.	Six of them stepped forward now, one on either side of each of us, and indicated that we were to go with them.
339_132718_000078_000000	A large building opened before us, a very heavy thick-walled impressive place, big, and old-looking; of gray stone, not like the rest of the town.	A large building opened before us, a very heavy thick walled impressive place, big, and old looking; of gray stone, not like the rest of the town.
339_132718_000079_000000	"This won't do!" said Terry to us, quickly.	"This won't do!" said Terry to us, quickly.
339_132718_000079_000002	All together, now--"	All together, now-"
339_132718_000080_000000	We stopped in our tracks.	We stopped in our tracks.
339_132718_000080_000001	We began to explain, to make signs pointing away toward the big forest--indicating that we would go back to it--at once.	We began to explain, to make signs pointing away toward the big forest-indicating that we would go back to it-at once.
339_132718_000081_000001	We seemed to think that if there were men we could fight them, and if there were only women--why, they would be no obstacles at all.	We seemed to think that if there were men we could fight them, and if there were only women-why, they would be no obstacles at all.
339_132718_000082_000001	Terry, with his clear decided practical theories that there were two kinds of women--those he wanted and those he didn't; Desirable and Undesirable was his demarcation.	Terry, with his clear decided practical theories that there were two kinds of women-those he wanted and those he didn't; Desirable and Undesirable was his demarcation.
339_132718_000083_000000	And now here they were, in great numbers, evidently indifferent to what he might think, evidently determined on some purpose of their own regarding him, and apparently well able to enforce their purpose.	And now here they were, in great numbers, evidently indifferent to what he might think, evidently determined on some purpose of their own regarding him, and apparently well able to enforce their purpose.
339_132718_000084_000000	We all thought hard just then.	We all thought hard just then.
339_132718_000084_000001	It had not seemed wise to object to going with them, even if we could have; our one chance was friendliness--a civilized attitude on both sides.	It had not seemed wise to object to going with them, even if we could have; our one chance was friendliness-a civilized attitude on both sides.
339_132718_000085_000000	But once inside that building, there was no knowing what these determined ladies might do to us.	But once inside that building, there was no knowing what these determined ladies might do to us.
339_132718_000085_000001	Even a peaceful detention was not to our minds, and when we named it imprisonment it looked even worse.	Even a peaceful detention was not to our minds, and when we named it imprisonment it looked even worse.
339_132718_000086_000000	So we made a stand, trying to make clear that we preferred the open country.	So we made a stand, trying to make clear that we preferred the open country.
339_132718_000086_000001	One of them came forward with a sketch of our flier, asking by signs if we were the aerial visitors they had seen.	One of them came forward with a sketch of our flier, asking by signs if we were the aerial visitors they had seen.
339_132718_000087_000000	This we admitted.	This we admitted.
339_132718_000088_000000	They pointed to it again, and to the outlying country, in different directions--but we pretended we did not know where it was, and in truth we were not quite sure and gave a rather wild indication of its whereabouts.	They pointed to it again, and to the outlying country, in different directions-but we pretended we did not know where it was, and in truth we were not quite sure and gave a rather wild indication of its whereabouts.
339_132718_000089_000001	All around us and behind they were massed solidly--there was simply nothing to do but go forward--or fight.	All around us and behind they were massed solidly-there was simply nothing to do but go forward-or fight.
339_132718_000090_000000	We held a consultation.	We held a consultation.
339_132718_000092_000000	"We can't fight them, of course," Jeff urged.	"We can't fight them, of course," Jeff urged.
339_132718_000092_000001	"They're all women, in spite of their nondescript clothes; nice women, too; good strong sensible faces.	"They're all women, in spite of their nondescript clothes; nice women, too; good strong sensible faces.
339_132718_000092_000002	I guess we'll have to go in."	I guess we'll have to go in."
339_132718_000093_000002	Look at those faces!"	Look at those faces!"
339_132718_000094_000000	They had stood at ease, waiting while we conferred together, but never relaxing their close attention.	They had stood at ease, waiting while we conferred together, but never relaxing their close attention.
339_132718_000095_000000	Their attitude was not the rigid discipline of soldiers; there was no sense of compulsion about them.	Their attitude was not the rigid discipline of soldiers; there was no sense of compulsion about them.
339_132718_000095_000002	They had just the aspect of sturdy burghers, gathered hastily to meet some common need or peril, all moved by precisely the same feelings, to the same end.	They had just the aspect of sturdy burghers, gathered hastily to meet some common need or peril, all moved by precisely the same feelings, to the same end.
339_132718_000097_000000	We observed pretty closely just then, for all of us felt that it was a crucial moment.	We observed pretty closely just then, for all of us felt that it was a crucial moment.
339_132718_000098_000000	The leader gave some word of command and beckoned us on, and the surrounding mass moved a step nearer.	The leader gave some word of command and beckoned us on, and the surrounding mass moved a step nearer.
339_132718_000099_000000	"We've got to decide quick," said Terry.	"We've got to decide quick," said Terry.
339_132718_000100_000000	"I vote to go in," Jeff urged.	"I vote to go in," Jeff urged.
339_132718_000100_000001	But we were two to one against him and he loyally stood by us.	But we were two to one against him and he loyally stood by us.
339_132718_000100_000002	We made one more effort to be let go, urgent, but not imploring.	We made one more effort to be let go, urgent, but not imploring.
339_132718_000101_000000	"Now for a rush, boys!" Terry said.	"Now for a rush, boys!" Terry said.
339_132718_000103_000001	Terry soon found that it was useless, tore himself loose for a moment, pulled his revolver, and fired upward.	Terry soon found that it was useless, tore himself loose for a moment, pulled his revolver, and fired upward.
339_132718_000103_000002	As they caught at it, he fired again--we heard a cry--.	As they caught at it, he fired again-we heard a cry-.
339_132718_000104_000000	Instantly each of us was seized by five women, each holding arm or leg or head; we were lifted like children, straddling helpless children, and borne onward, wriggling indeed, but most ineffectually.	Instantly each of us was seized by five women, each holding arm or leg or head; we were lifted like children, straddling helpless children, and borne onward, wriggling indeed, but most ineffectually.
339_132718_000106_000000	So carried and so held, we came into a high inner hall, gray and bare, and were brought before a majestic gray-haired woman who seemed to hold a judicial position.	So carried and so held, we came into a high inner hall, gray and bare, and were brought before a majestic gray haired woman who seemed to hold a judicial position.
