5448_19208_000006_000000	He allowed Marius to slide down upon the shore.	He allowed Marius to slide down upon the shore.
5448_19208_000093_000000	At the entrance to the Rue de l'Homme Arme, the carriage halted, the way being too narrow to admit of the entrance of vehicles.	At the entrance to the Rue de l'Homme Arme, the carriage halted, the way being too narrow to admit of the entrance of vehicles.
5448_19208_000093_000001	Javert and Jean Valjean alighted.	Javert and Jean Valjean alighted.
5448_19208_000094_000000	The coachman humbly represented to "monsieur l'Inspecteur," that the Utrecht velvet of his carriage was all spotted with the blood of the assassinated man, and with mire from the assassin.	The coachman humbly represented to "monsieur l'Inspecteur," that the Utrecht velvet of his carriage was all spotted with the blood of the assassinated man, and with mire from the assassin.
5448_19208_000094_000001	That is the way he understood it.	That is the way he understood it.
5448_19208_000094_000002	He added that an indemnity was due him.	He added that an indemnity was due him.
5448_19208_000094_000003	At the same time, drawing his certificate book from his pocket, he begged the inspector to have the goodness to write him "a bit of an attestation."	At the same time, drawing his certificate book from his pocket, he begged the inspector to have the goodness to write him "a bit of an attestation."
5448_19208_000095_000000	Javert thrust aside the book which the coachman held out to him, and said:	Javert thrust aside the book which the coachman held out to him, and said:
5448_19208_000097_000001	Eighty francs, Mr. Inspector."	Eighty francs, mr Inspector."
5448_19208_000098_000000	Javert drew four napoleons from his pocket and dismissed the carriage.	Javert drew four napoleons from his pocket and dismissed the carriage.
5448_19208_000100_000000	They entered the street.	They entered the street.
5448_19208_000100_000001	It was deserted as usual.	It was deserted as usual.
5448_19208_000100_000002	Javert followed Jean Valjean.	Javert followed Jean Valjean.
5448_19208_000100_000004	Jean Valjean knocked.	Jean Valjean knocked.
5448_19208_000100_000005	The door opened.	The door opened.
5448_19208_000101_000000	"It is well," said Javert.	"It is well," said Javert.
5448_19208_000101_000001	"Go up stairs."	"Go up stairs."
5448_19208_000102_000000	He added with a strange expression, and as though he were exerting an effort in speaking in this manner:	He added with a strange expression, and as though he were exerting an effort in speaking in this manner:
5448_19208_000104_000000	Jean Valjean looked at Javert.	Jean Valjean looked at Javert.
5448_19208_000104_000002	However, he could not be greatly surprised that Javert should now have a sort of haughty confidence in him, the confidence of the cat which grants the mouse liberty to the length of its claws, seeing that Jean Valjean had made up his mind to surrender himself and to make an end of it.	However, he could not be greatly surprised that Javert should now have a sort of haughty confidence in him, the confidence of the cat which grants the mouse liberty to the length of its claws, seeing that Jean Valjean had made up his mind to surrender himself and to make an end of it.
5448_19208_000104_000003	He pushed open the door, entered the house, called to the porter who was in bed and who had pulled the cord from his couch: "It is I!" and ascended the stairs.	He pushed open the door, entered the house, called to the porter who was in bed and who had pulled the cord from his couch: "It is I!" and ascended the stairs.
5448_19208_000105_000000	On arriving at the first floor, he paused.	On arriving at the first floor, he paused.
5448_19208_000105_000001	All sorrowful roads have their stations.	All sorrowful roads have their stations.
5448_19208_000105_000002	The window on the landing-place, which was a sash-window, was open.	The window on the landing place, which was a sash window, was open.
5448_19208_000105_000003	As in many ancient houses, the staircase got its light from without and had a view on the street.	As in many ancient houses, the staircase got its light from without and had a view on the street.
5448_19208_000105_000004	The street-lantern, situated directly opposite, cast some light on the stairs, and thus effected some economy in illumination.	The street lantern, situated directly opposite, cast some light on the stairs, and thus effected some economy in illumination.
5448_19208_000106_000000	Jean Valjean, either for the sake of getting the air, or mechanically, thrust his head out of this window.	Jean Valjean, either for the sake of getting the air, or mechanically, thrust his head out of this window.
5448_19208_000106_000001	He leaned out over the street.	He leaned out over the street.
5448_19208_000106_000002	It is short, and the lantern lighted it from end to end.	It is short, and the lantern lighted it from end to end.
5448_19208_000107_000000	Javert had taken his departure.	Javert had taken his departure.
