2481_156738_000000_000000	[Footnote 7: Mr. Eddy had killed the bear and dried the meat early in the winter.]	[Footnote seven: mr Eddy had killed the bear and dried the meat early in the winter.]	false	0	13.89	20.853523
2481_156738_000007_000001	Captain Sutter, who had already twice sent supplies, first by Stanton and again by McCutchen and Reed, in their unsuccessful attempt to cross the mountains, at once agreed to cooeperate with Alcalde Sinclair.	Captain Sutter, who had already twice sent supplies, first by Stanton and again by McCutchen and Reed, in their unsuccessful attempt to cross the mountains, at once agreed to cooeperate with Alcalde Sinclair.	false	141.48	156.13	22.633904
2481_156738_000008_000000	While Captain Kerns at Sutter's Fort was sending messengers to different points, and Mrs. Sinclair was collecting clothing to replace the tattered garments of the members of the Forlorn Hope, her husband despatched an open letter to the people of San Francisco, describing the arrival of the survivors of the Forlorn Hope, and the heart-rending condition of those remaining in the mountains.	While Captain Kerns at Sutter's Fort was sending messengers to different points, and mrs Sinclair was collecting clothing to replace the tattered garments of the members of the Forlorn Hope, her husband despatched an open letter to the people of San Francisco, describing the arrival of the survivors of the Forlorn Hope, and the heart rending condition of those remaining in the mountains.	true	156.26	180.1	21.984913
2481_156738_000008_000001	He urged immediate action, and offered his services for individual work, or to cooeperate with Government relief, or any parties that might be preparing to go out with Messrs.	He urged immediate action, and offered his services for individual work, or to cooeperate with Government relief, or any parties that might be preparing to go out with Messrs.	false	180.8	192.78	23.040068
2481_156738_000008_000002	Reed and McCutchen, who were known to be endeavoring to raise a second expedition.	Reed and McCutchen, who were known to be endeavoring to raise a second expedition.	true	192.78	198.18	25.478466
2481_156738_000009_000000	[Illustration: SUTTER'S FORT]	[Illustration: SUTTER'S FORT]	false	198.18	198.21	-20
2481_156738_000010_000000	[Illustration: SAM BRANNAN'S STORE AT SUTTER'S FORT]	[Illustration: SAM BRANNAN'S STORE AT SUTTER'S FORT]	false	198.21	198.36	100
2481_156738_000011_000000	The letter was taken to the City Hotel in San Francisco, and read aloud in the dining-room.	The letter was taken to the City Hotel in San Francisco, and read aloud in the dining room.	true	198.36	204.07	21.263504
2481_156738_000011_000001	Its contents aroused all the tender emotions known to human nature.	Its contents aroused all the tender emotions known to human nature.	true	204.65	209.8	23.452284
2481_156738_000011_000002	Some of the listeners had parted from members of the Donner Party at the Little Sandy, when its prospects appeared so bright, and the misfortunes which had since befallen the party seemed incredible.	Some of the listeners had parted from members of the Donner Party at the Little Sandy, when its prospects appeared so bright, and the misfortunes which had since befallen the party seemed incredible.	true	209.96	223.06	22.626236
2481_156738_000011_000003	Women left the room sobbing, and men called those passing, in from the street, to join the knots of earnest talkers.	Women left the room sobbing, and men called those passing, in from the street, to join the knots of earnest talkers.	true	223.28	231.46	22.973818
2481_156738_000011_000004	All were ready and willing to do; but, alas, the obstacles which had prevented Mr. Reed getting men for the mountain work still remained to be overcome.	All were ready and willing to do; but, alas, the obstacles which had prevented mr Reed getting men for the mountain work still remained to be overcome.	true	231.65	241.11	22.368025
2481_156738_000012_000000	Existing war between Mexico and the United States was keeping California in a disturbed condition.	Existing war between Mexico and the United States was keeping California in a disturbed condition.	true	241.11	247.96	24.24825
2481_156738_000012_000001	Most of the able-bodied male emigrants had enlisted under Captain Fremont as soon as they reached the country, and were still on duty in the southern part of the province; and the non-enlisted were deemed necessary for the protection of the colonies of American women and children encamped on the soil of the enemy.	Most of the able bodied male emigrants had enlisted under Captain Fremont as soon as they reached the country, and were still on duty in the southern part of the province; and the non enlisted were deemed necessary for the protection of the colonies of American women and children encamped on the soil of the enemy.	true	248.12	267.94	22.583693
2481_156738_000012_000002	Moreover, all felt that each man who should attempt to cross the snow belt would do so at the peril of his life.	Moreover, all felt that each man who should attempt to cross the snow belt would do so at the peril of his life.	true	268.1	275.8	23.293974
2481_156738_000013_000000	Mr. Reed, who in the late Autumn had sent petitions to the Military Governor and to Lieutenant Washington A. Bartlett of the United States Navy, Alcalde of the town and district of San Francisco, but as yet had obtained nothing, now appeared before each in person, and was promised assistance.	mr Reed, who in the late Autumn had sent petitions to the Military Governor and to Lieutenant Washington a Bartlett of the United States Navy, Alcalde of the town and district of San Francisco, but as yet had obtained nothing, now appeared before each in person, and was promised assistance.	false	275.84	294.13	23.485327
2481_156738_000013_000001	Captain Mervine of the United States Navy, and Mr. Richardson, United States Collector, each subscribed fifty dollars to the cause on his own account.	Captain Mervine of the United States Navy, and mr Richardson, United States Collector, each subscribed fifty dollars to the cause on his own account.	true	294.23	304.545	23.845606
2481_156738_000014_000000	As a result of these appeals, Alcalde Bartlett called a public meeting; and so intense was the feeling that Mr. Dunleary, "the first speaker, had scarcely taken his seat on the platform when the people rushed to the chairman's table from all parts of the house with their hands full of silver dollars," and could hardly be induced to stay their generosity until the meeting was organized.	As a result of these appeals, Alcalde Bartlett called a public meeting; and so intense was the feeling that mr Dunleary, "the first speaker, had scarcely taken his seat on the platform when the people rushed to the chairman's table from all parts of the house with their hands full of silver dollars," and could hardly be induced to stay their generosity until the meeting was organized.	true	304.545	328.6	23.402279
2481_156738_000015_000000	A treasurer and two committees were appointed; the one to solicit subscriptions, and the other to purchase supplies.	A treasurer and two committees were appointed; the one to solicit subscriptions, and the other to purchase supplies.	true	328.61	336.16	24.042484
2481_156738_000015_000001	The Alcalde was requested to act with both committees.	The Alcalde was requested to act with both committees.	true	336.32	340.21	26.573574
2481_156738_000015_000002	Seven hundred dollars was subscribed before the meeting adjourned.	Seven hundred dollars was subscribed before the meeting adjourned.	true	340.43	344.29	23.773499
2481_156738_000015_000003	Seven hundred dollars, in an isolated Spanish province, among newly arrived immigrants, was a princely sum to gather.	Seven hundred dollars, in an isolated Spanish province, among newly arrived immigrants, was a princely sum to gather.	false	344.51	352.65	22.492283
2481_156738_000016_000000	Messrs.	Messrs.	false	352.65	353.04	9
2481_156738_000016_000001	Ward and Smith, in addition to a generous subscription, offered their launch _Dice mi Nana_, to transport the expedition to Feather River, and Mr. John Fuller volunteered to pilot the launch.	Ward and Smith, in addition to a generous subscription, offered their launch underscore Dice mi Nana underscore, to transport the expedition to Feather River, and mr john Fuller volunteered to pilot the launch.	false	353.04	366.1	22.959917
2481_156738_000017_000000	It was decided to fit out an expedition, under charge of Past Midshipman Woodworth, who had tendered his services for the purpose, he to act under instructions of the Military Governor and cooeperate with the committee aiding Reed.	It was decided to fit out an expedition, under charge of Past Midshipman Woodworth, who had tendered his services for the purpose, he to act under instructions of the Military Governor and cooeperate with the committee aiding Reed.	true	366.14	382.3	23.171116
2481_156738_000018_000000	Soon thereafter "Old Trapper Greenwood" appeared in San Francisco, asking for assistance in fitting out a following to go to the mountains with himself and McCutchen, Mr. George Yount and others in and around Sonoma and Napa having recommended him as leader.	Soon thereafter "Old Trapper Greenwood" appeared in San Francisco, asking for assistance in fitting out a following to go to the mountains with himself and McCutchen, mr George Yount and others in and around Sonoma and Napa having recommended him as leader.	true	382.91	400.86	24.048323
2481_156738_000018_000001	Donations of horses, mules, beef, and flour had already been sent to his camp in Napa Valley.	Donations of horses, mules, beef, and flour had already been sent to his camp in Napa Valley.	true	400.86	407.25	24.324114
2481_156738_000018_000002	Furthermore, Lieut.	Furthermore, Lieut.	false	407.25	408.99	21.104961
2481_156738_000018_000003	William L. Maury, U.S.N., Commander at the port; Don Mariano G. Vallejo, Ex-Commandante-General of California; Mr. George Yount, and others subscribed the sum of five hundred dollars in specie toward outfitting Greenwood and the men he should select to cross the mountains.	William l Maury, u s n, Commander at the port; Don Mariano g Vallejo, Ex Commandante General of California; mr George Yount, and others subscribed the sum of five hundred dollars in specie toward outfitting Greenwood and the men he should select to cross the mountains.	false	408.99	431.17	22.222754
2481_156738_000019_000000	Greenwood urged that he should have ten or twelve men on whom he could rely after reaching deep snow.	Greenwood urged that he should have ten or twelve men on whom he could rely after reaching deep snow.	true	431.39	438.795	22.636343
2481_156738_000019_000001	These, he said, he could secure if he had the ready money to make advances and to procure the necessary warm clothing and blankets.	These, he said, he could secure if he had the ready money to make advances and to procure the necessary warm clothing and blankets.	true	438.795	447.49	21.325022
2481_156738_000019_000002	He had crossed the Sierras before, when the snow lay deep on the summit, and now proposed to drive over horses and kill them at the camps as provisions for the sufferers.	He had crossed the Sierras before, when the snow lay deep on the summit, and now proposed to drive over horses and kill them at the camps as provisions for the sufferers.	true	448.25	459.43	23.074072
2481_156738_000019_000003	If this scheme should fail, he and his sons with others would get food to the camp on snowshoes.	If this scheme should fail, he and his sons with others would get food to the camp on snowshoes.	true	459.65	466.87	23.647974
2481_156738_000019_000004	Thornton says:	Thornton says:	true	467.03	468.34	24.892776
2481_156738_000020_000000	The Governor-General of California, after due form, and trusting to the generosity and humanity of the Government which he represented, appropriated four hundred dollars on Government account toward outfitting this relief party.	The Governor General of California, after due form, and trusting to the generosity and humanity of the Government which he represented, appropriated four hundred dollars on Government account toward outfitting this relief party.	true	468.56	483.69	22.508034
2481_156738_000020_000001	Furthermore, in compliance with an application from Alcalde Bartlett (for the committee), Captain Mervine, of the U.S. frigate _Savannah_, furnished from the ship's stores ten days' full rations for ten men.	Furthermore, in compliance with an application from Alcalde Bartlett (for the committee), Captain Mervine, of the u s frigate underscore Savannah underscore, furnished from the ship's stores ten days' full rations for ten men.	false	483.69	498.09	23.457857
2481_156738_000020_000002	The crews of the _Savannah_ and the sloop _Warren_, and the marines in garrison at San Francisco, increased the relief fund to thirteen hundred dollars.	The crews of the underscore Savannah underscore and the sloop underscore Warren underscore, and the marines in garrison at San Francisco, increased the relief fund to thirteen hundred dollars.	false	498.09	507.66	23.27377
2481_156738_000020_000003	Messrs.	Messrs.	false	507.66	508.53	19.581444
2481_156738_000020_000004	Mellus and Howard tendered their launch to carry the party up the bay to Sonoma, and Captain Sutter proffered his launch _Sacramento_ for river use.	Mellus and Howard tendered their launch to carry the party up the bay to Sonoma, and Captain Sutter proffered his launch underscore Sacramento underscore for river use.	false	508.53	519.97	23.617685
2481_156738_000021_000000	It was now settled that the "Reed-Greenwood party" should go to Johnson's ranch by way of Sonoma and Napa, and Woodworth with his men and supplies, including clothing for the destitute, should go by boat to Sutter's Landing; there procure pack animals, buy beef cattle, and hurry on to the snow-belt; establish a relay camp, slaughter the cattle, and render all possible aid toward the immediate rescue of the snow-bound.	It was now settled that the "Reed Greenwood party" should go to Johnson's ranch by way of Sonoma and Napa, and Woodworth with his men and supplies, including clothing for the destitute, should go by boat to Sutter's Landing; there procure pack animals, buy beef cattle, and hurry on to the snow belt; establish a relay camp, slaughter the cattle, and render all possible aid toward the immediate rescue of the snow bound.	true	520.01	548.8	22.332926
2481_156738_000022_000000	Meanwhile, before Alcalde Sinclair's letter had time to reach San Francisco, he and Captain Sutter began outfitting the men destined to become the "First Relief." Aguilla Glover and R.S.	Meanwhile, before Alcalde Sinclair's letter had time to reach San Francisco, he and Captain Sutter began outfitting the men destined to become the "First Relief." Aguilla Glover and r s	true	548.93	562.02	22.93834
2481_156738_000022_000001	Moutrey volunteered their services, declaring their willingness to undertake the hazardous journey for the sake of the lives they might save.	Moutrey volunteered their services, declaring their willingness to undertake the hazardous journey for the sake of the lives they might save.	false	562.02	570.645	22.450468
2481_156738_000023_000000	To hasten recruits for service, Captain Sutter and Alcalde Sinclair promised that in case the Government should fail to grant the sum, they themselves would become responsible for the payment of three dollars per day to each man who would get food through to the snow-bound camps. Accordingly, Aguilla Glover and R.S. Moutrey, driving pack animals well laden with warm clothing, blankets, and food supplies, left the Fort at sunrise on the morning of February the first, and on the third reached Johnson's ranch, where they joined Messrs.	To hasten recruits for service, Captain Sutter and Alcalde Sinclair promised that in case the Government should fail to grant the sum, they themselves would become responsible for the payment of three dollars per day to each man who would get food through to the snow bound camps. Accordingly, Aguilla Glover and r s Moutrey, driving pack animals well laden with warm clothing, blankets, and food supplies, left the Fort at sunrise on the morning of February the first, and on the third reached Johnson's ranch, where they joined Messrs.	false	570.645	604.32	24.07001
2481_156738_000023_000001	Tucker, Johnson, Richey and others, who, being anxious to assist in the good work, had killed, and were fire-drying, beef to take up the mountains.	Tucker, Johnson, Richey and others, who, being anxious to assist in the good work, had killed, and were fire drying, beef to take up the mountains.	true	604.32	613.6	24.019787
2481_156738_000023_000002	Here two days were spent making pack-saddles, driving in horses, and getting supplies in shape.	Here two days were spent making pack saddles, driving in horses, and getting supplies in shape.	true	613.79	620.08	22.863499
2481_156738_000023_000003	Indians were kept at the handmill grinding wheat.	Indians were kept at the handmill grinding wheat.	true	620.21	623.56	22.16129
2481_156738_000023_000004	Part of the flour was sacked, and part converted into bread by the women in the vicinity.	Part of the flour was sacked, and part converted into bread by the women in the vicinity.	true	624.05	629.17	22.652134
2481_156738_000024_000000	On the morning of the fifth of February, Alcalde Sinclair rode to Johnson's ranch, and all things being ready, he appointed Racine Tucker Captain of the company, and in touching words commended the heroic work of its members, and bade them godspeed on their errand of mercy.	On the morning of the fifth of February, Alcalde Sinclair rode to Johnson's ranch, and all things being ready, he appointed Racine Tucker Captain of the company, and in touching words commended the heroic work of its members, and bade them godspeed on their errand of mercy.	false	629.39	647.44	23.069756
2481_156738_000024_000001	When ready to mount, he shook hands with each man, and recorded the names in a note-book as follows:	When ready to mount, he shook hands with each man, and recorded the names in a note book as follows:	true	647.54	653.38	22.842642
2481_156738_000025_000000	Racine Tucker, Aguilla Glover, R.S.	Racine Tucker, Aguilla Glover, r s	true	653.51	656.79	23.135197
2481_156738_000025_000001	Moutrey, John Rhodes, Daniel Rhodes, Edward Coffemeir, D. Richey, James Curtis, William Eddy,[9] William Coon, George Tucker, Adolph Brenheim, and John Foster.[9]	Moutrey, john Rhodes, Daniel Rhodes, Edward Coffemeir, d Richey, james Curtis, William Eddy,[nine] William Coon, George Tucker, Adolph Brenheim, and john Foster.[nine]	false	656.79	672.33	21.590954
2481_156738_000026_000000	This party is generally known as the "First Relief." Their route to the snow-belt lay through sections of country which had become so soft and oozy that the horses often sank in mire, flank deep; and the streams were so swollen that progress was alarmingly slow.	This party is generally known as the "First Relief." Their route to the snow belt lay through sections of country which had become so soft and oozy that the horses often sank in mire, flank deep; and the streams were so swollen that progress was alarmingly slow.	true	672.33	689.74	23.540728
2481_156738_000026_000001	On the second day they were driven into camp early by heavy rains which drenched clothing, blankets, and even the provisions carefully stored under the saddles and leather saddle-covers.	On the second day they were driven into camp early by heavy rains which drenched clothing, blankets, and even the provisions carefully stored under the saddles and leather saddle covers.	true	689.78	701.65	24.675768
2481_156738_000026_000002	This caused a delay of thirty-six hours, for everything had to be sun or fire dried before the party could resume travel.	This caused a delay of thirty six hours, for everything had to be sun or fire dried before the party could resume travel.	true	701.9	709.45	23.378813
2481_156738_000027_000000	Upon reaching Mule Springs, the party found the snow from three to four feet deep, and, contrary to expectations, saw that it would be impossible to proceed farther with the horses.	Upon reaching Mule Springs, the party found the snow from three to four feet deep, and, contrary to expectations, saw that it would be impossible to proceed farther with the horses.	true	709.49	720.61	22.681196
2481_156738_000027_000001	Mr. Eddy was now ill of fever, and unfit to continue the climb; whereupon his companions promised to bring out his loved ones if he would return with Joe Varro, whom Mr. Johnson had sent along to bring the pack animals home after they should cease to be of use.	mr Eddy was now ill of fever, and unfit to continue the climb; whereupon his companions promised to bring out his loved ones if he would return with Joe Varro, whom mr Johnson had sent along to bring the pack animals home after they should cease to be of use.	true	720.77	739.12	23.77033
2481_156738_000028_000000	At Mule Springs, the party built a brush store-house for the extra supplies and appointed George Tucker and William Coon camp-keepers. Then they prepared packs containing jerked beef, flour, and bread, each weighing between forty and seventy-five pounds, according to the temperament and strength of the respective carriers.	At Mule Springs, the party built a brush store house for the extra supplies and appointed George Tucker and William Coon camp keepers. Then they prepared packs containing jerked beef, flour, and bread, each weighing between forty and seventy five pounds, according to the temperament and strength of the respective carriers.	true	739.34	760.87	24.832712
2481_156738_000028_000001	The following morning ten men started on their toilsome march to Bear Valley, where they arrived on the thirteenth, and at once began searching for the abandoned wagon and provisions which Reed and McCutchen had cached the previous Autumn, after their fruitless attempt to scale the mountains. The wagon was found under snow ten feet in depth; but its supplies had been destroyed by wild beasts.	The following morning ten men started on their toilsome march to Bear Valley, where they arrived on the thirteenth, and at once began searching for the abandoned wagon and provisions which Reed and McCutchen had cached the previous Autumn, after their fruitless attempt to scale the mountains. The wagon was found under snow ten feet in depth; but its supplies had been destroyed by wild beasts.	true	761.06	785.8	23.570215
2481_156738_000028_000002	Warned by this catastrophe, the First Relief decided to preserve its supplies for the return trip by hanging them in parcels from ropes tied to the boughs of trees.	Warned by this catastrophe, the First Relief decided to preserve its supplies for the return trip by hanging them in parcels from ropes tied to the boughs of trees.	false	786.29	798.22	23.440166
2481_156738_000029_000000	The ten kept together courageously until the fifteenth; then Mr. M.D. Richey, James Curtis, and Adolph Brenheim gave up and turned back.	The ten kept together courageously until the fifteenth; then mr m d Richey, james Curtis, and Adolph Brenheim gave up and turned back.	false	798.29	808.77	24.33653
2481_156738_000029_000001	Mr. Tucker, fearing that others might become disheartened and do likewise, guaranteed each man who would persevere to the end, five dollars per diem, dating from the time the party entered the snow.	mr Tucker, fearing that others might become disheartened and do likewise, guaranteed each man who would persevere to the end, five dollars per diem, dating from the time the party entered the snow.	true	808.77	822.67	22.736122
2481_156738_000029_000002	The remaining seven pushed ahead, and on the eighteenth, encamped on the summit overlooking the lake, where the snow was said to be forty feet in depth.	The remaining seven pushed ahead, and on the eighteenth, encamped on the summit overlooking the lake, where the snow was said to be forty feet in depth.	true	822.8	832.48	25.22383
2481_156738_000030_000000	The following morning Aguilla Glover and Daniel Rhodes were so oppressed by the altitude that their companions had to relieve them of their packs and help them on to the cabins, which, as chronicled in a previous chapter, the party reached on the nineteenth of February, 1847.	The following morning Aguilla Glover and Daniel Rhodes were so oppressed by the altitude that their companions had to relieve them of their packs and help them on to the cabins, which, as chronicled in a previous chapter, the party reached on the nineteenth of February, eighteen forty seven.	false	832.61	854.85	22.709368
