2654_158744_000000_000000	CHAPTER III	CHAPTER three	false	8.94	32.05	22.764263
2654_158744_000004_000008	They were in no way connected with her by blood.	They were in no way connected with her by blood.	true	198.35	202	21
2654_158744_000004_000009	Therefore, at the age of eighteen, she had gone out to be a child's governess.	Therefore, at the age of eighteen, she had gone out to be a child's governess.	true	202.16	206.86	19
2654_158744_000004_000010	Then old Lady Fawn had heard of her virtues,--Lady Fawn, who had seven unmarried daughters running down from seven-and-twenty to thirteen, and Lucy Morris had been hired to teach English, French, German, and something of music to the two youngest Miss Fawns.	Then old Lady Fawn had heard of her virtues,--Lady Fawn, who had seven unmarried daughters running down from seven and twenty to thirteen, and Lucy Morris had been hired to teach English, French, German, and something of music to the two youngest Miss Fawns.	false	207.17	226.35	20.141012
2654_158744_000005_000000	During that visit at the deanery, when the heir of the Eustaces was being born, Lucy was undergoing a sort of probation for the Fawn establishment.	During that visit at the deanery, when the heir of the Eustaces was being born, Lucy was undergoing a sort of probation for the Fawn establishment.	false	226.35	236.5	19.171257
2654_158744_000005_000001	The proposed engagement with Lady Fawn was thought to be a great thing for her.	The proposed engagement with Lady Fawn was thought to be a great thing for her.	true	236.66	241.06	20.508226
2654_158744_000005_000002	Lady Fawn was known as a miracle of Virtue, Benevolence, and Persistency.	Lady Fawn was known as a miracle of Virtue, Benevolence, and Persistency.	true	241.28	246.07	22.829586
2654_158744_000005_000003	Every good quality that she possessed was so marked as to be worthy of being expressed with a capital. But her virtues were of that extraordinarily high character that there was no weakness in them,--no getting over them, no perverting them with follies or even exaggerations.	Every good quality that she possessed was so marked as to be worthy of being expressed with a capital. But her virtues were of that extraordinarily high character that there was no weakness in them,--no getting over them, no perverting them with follies or even exaggerations.	false	246.32	263.77	22.740023
2654_158744_000005_000004	When she heard of the excellencies of Miss Morris from the dean's wife, and then, after minutest investigation, learned the exact qualities of the young lady, she expressed herself willing to take Lucy into her house on special conditions.	When she heard of the excellencies of Miss Morris from the dean's wife, and then, after minutest investigation, learned the exact qualities of the young lady, she expressed herself willing to take Lucy into her house on special conditions.	false	264.08	279.76	20.79611
2654_158744_000005_000005	She must be able to teach music up to a certain point.	She must be able to teach music up to a certain point.	true	280.28	283.69	24.26506
2654_158744_000005_000006	"Then it's all over," said Lucy to the dean with her pretty smile,--that smile which caused all the old and middle-aged men to fall in love with her.	"Then it's all over," said Lucy to the dean with her pretty smile,--that smile which caused all the old and middle aged men to fall in love with her.	true	284.33	292.75	21.538397
2654_158744_000005_000007	"It's not over at all," said the dean.	"It's not over at all," said the dean.	true	293.24	296.05	22.460527
2654_158744_000005_000008	"You've got four months.	"You've got four months.	true	296.51	298.12	23.861193
2654_158744_000005_000009	Our organist is about as good a teacher as there is in England.	Our organist is about as good a teacher as there is in England.	true	298.43	302.085	22.299881
2654_158744_000005_000010	You are clever and quick, and he shall teach you." So Lucy went to Bobsborough, and was afterwards accepted by Lady Fawn.	You are clever and quick, and he shall teach you." So Lucy went to Bobsborough, and was afterwards accepted by Lady Fawn.	true	302.085	311.38	20.359205
2654_158744_000006_000000	While she was at the deanery there sprung up a renewed friendship between her and Lizzie.	While she was at the deanery there sprung up a renewed friendship between her and Lizzie.	true	312.02	318.25	20.774311
2654_158744_000006_000001	It was, indeed, chiefly a one-sided friendship; for Lucy, who was quick and unconsciously capable of reading that book to which we alluded in a previous chapter, was somewhat afraid of the rich widow.	It was, indeed, chiefly a one sided friendship; for Lucy, who was quick and unconsciously capable of reading that book to which we alluded in a previous chapter, was somewhat afraid of the rich widow.	true	318.62	331	19.100857
2654_158744_000006_000002	And when Lizzie talked to her of their old childish days, and quoted poetry, and spoke of things romantic,--as she was much given to do,--Lucy felt that the metal did not ring true.	And when Lizzie talked to her of their old childish days, and quoted poetry, and spoke of things romantic,--as she was much given to do,--Lucy felt that the metal did not ring true.	true	331.31	343.15	19.884874
2654_158744_000006_000003	And then Lizzie had an ugly habit of abusing all her other friends behind their backs.	And then Lizzie had an ugly habit of abusing all her other friends behind their backs.	true	343.73	349.39	18
2654_158744_000006_000004	Now Lucy did not like to hear the Greystocks abused, and would say so.	Now Lucy did not like to hear the Greystocks abused, and would say so.	true	350.21	354.82	21.763647
2654_158744_000006_000005	"That's all very well, you little minx," Lizzie would say playfully, "but you know that they are all asses!" Lucy by no means thought that the Greystocks were asses, and was very strongly of opinion that one of them was as far removed from being an ass as any human being she had ever known.	"That's all very well, you little minx," Lizzie would say playfully, "but you know that they are all asses!" Lucy by no means thought that the Greystocks were asses, and was very strongly of opinion that one of them was as far removed from being an ass as any human being she had ever known.	false	355.55	373.45	20.005215
2654_158744_000006_000006	This one was Frank Greystock, the barrister.	This one was Frank Greystock, the barrister.	true	373.97	377.19	21.65848
2654_158744_000006_000007	Of Frank Greystock some special--but, let it be hoped, very short--description must be given by-and-by.	Of Frank Greystock some special-but, let it be hoped, very short-description must be given by and by.	false	377.19	384.73	20.565983
2654_158744_000006_000008	For the present it will be sufficient to declare that, during that short Easter holiday which he spent at his father's house in Bobsborough, he found Lucy Morris to be a most agreeable companion.	For the present it will be sufficient to declare that, during that short Easter holiday which he spent at his father's house in Bobsborough, he found Lucy Morris to be a most agreeable companion.	false	385.07	398.94	20.58797
2654_158744_000007_000000	"Remember her position," said Mrs. Dean to her son.	"Remember her position," said mrs Dean to her son.	true	398.94	402.7	20.62283
2654_158744_000008_000000	"Her position!	"Her position!	true	403.49	404.8	23.999987
2654_158744_000008_000001	Well;--and what is her position mother?"	Well;--and what is her position mother?"	true	405.05	408.19	24.640228
2654_158744_000009_000000	"You know what I mean, Frank.	"You know what I mean, Frank.	true	408.65	410.26	18.700415
2654_158744_000009_000001	She is as sweet a girl as ever lived, and a perfect lady.	She is as sweet a girl as ever lived, and a perfect lady.	false	410.3	414.4	20.986689
2654_158744_000009_000002	But with a governess, unless you mean to marry her, you should be more careful than with another girl, because you may do her such a world of mischief."	But with a governess, unless you mean to marry her, you should be more careful than with another girl, because you may do her such a world of mischief."	true	414.65	423.46	22.575615
2654_158744_000010_000000	"I don't see that at all."	"I don't see that at all."	true	424.01	425.44	22.39821
2654_158744_000011_000000	"If Lady Fawn knew that she had an admirer, Lady Fawn would not let her come into her house."	"If Lady Fawn knew that she had an admirer, Lady Fawn would not let her come into her house."	true	426.23	432.49	18.632183
2654_158744_000012_000000	"Then Lady Fawn is an idiot.	"Then Lady Fawn is an idiot.	true	433.28	434.98	16.710527
2654_158744_000012_000001	If a girl be admirable, of course she will be admired.	If a girl be admirable, of course she will be admired.	false	435.08	438.735	21.914612
2654_158744_000012_000002	Who can hinder it?"	Who can hinder it?"	true	438.735	439.81	25.147587
2654_158744_000013_000000	"You know what I mean, Frank."	"You know what I mean, Frank."	true	440.54	442.21	19.170435
2654_158744_000014_000000	"Yes--I do; well.	"Yes-I do; well.	true	442.49	444.58	22.132936
2654_158744_000014_000001	I don't suppose I can afford to marry Lucy Morris. At any rate, mother, I will never say a word to raise a hope in her,--if it would be a hope--"	I don't suppose I can afford to marry Lucy Morris. At any rate, mother, I will never say a word to raise a hope in her,--if it would be a hope-"	true	444.8	454	20.78566
2654_158744_000015_000000	"Of course it would be a hope."	"Of course it would be a hope."	true	454.01	456.25	23.803288
2654_158744_000016_000000	"I don't know that at all.	"I don't know that at all.	true	456.5	457.84	15
2654_158744_000016_000001	But I will never say any such word to her,--unless I make up my mind that I can afford to marry her."	But I will never say any such word to her,--unless I make up my mind that I can afford to marry her."	false	458.36	464.98	23.65067
2654_158744_000017_000000	"Oh, Frank, it would be impossible!" said Mrs. Dean.	"Oh, Frank, it would be impossible!" said mrs Dean.	true	465.68	470.23	24.547867
2654_158744_000018_000000	Mrs. Dean was a very good woman, but she had aspirations in the direction of filthy lucre on behalf of her children, or at least on behalf of this special child, and she did think it would be very nice if Frank would marry an heiress.	mrs Dean was a very good woman, but she had aspirations in the direction of filthy lucre on behalf of her children, or at least on behalf of this special child, and she did think it would be very nice if Frank would marry an heiress.	true	471.38	486.61	23.11969
2654_158744_000018_000001	This, however, was a long time ago, nearly two years ago; and many grave things had got themselves transacted since Lucy's visit to the deanery.	This, however, was a long time ago, nearly two years ago; and many grave things had got themselves transacted since Lucy's visit to the deanery.	false	487.04	495.94	20.874943
2654_158744_000018_000002	She had become quite an old and an accustomed member of Lady Fawn's family.	She had become quite an old and an accustomed member of Lady Fawn's family.	true	496.43	500.56	19
2654_158744_000018_000003	The youngest Fawn girl was not yet fifteen, and it was understood that Lucy was to remain with the Fawns for some quite indefinite time to come.	The youngest Fawn girl was not yet fifteen, and it was understood that Lucy was to remain with the Fawns for some quite indefinite time to come.	false	501.02	510.01	19.64157
2654_158744_000018_000004	Lady Fawn's eldest daughter, Mrs. Hittaway, had a family of her own, having been married ten or twelve years, and it was quite probable that Lucy might be transferred.	Lady Fawn's eldest daughter, mrs Hittaway, had a family of her own, having been married ten or twelve years, and it was quite probable that Lucy might be transferred.	true	510.5	520.84	19.86629
2654_158744_000018_000005	Lady Fawn fully appreciated her treasure, and was, and ever had been, conscientiously anxious to make Lucy's life happy.	Lady Fawn fully appreciated her treasure, and was, and ever had been, conscientiously anxious to make Lucy's life happy.	false	521.27	529.74	18.471977
2654_158744_000018_000006	But she thought that a governess should not be desirous of marrying, at any rate till a somewhat advanced period of life.	But she thought that a governess should not be desirous of marrying, at any rate till a somewhat advanced period of life.	false	529.74	536.8	22.171658
2654_158744_000018_000007	A governess, if she were given to falling in love, could hardly perform her duties in life.	A governess, if she were given to falling in love, could hardly perform her duties in life.	true	537.26	542.89	24.58697
2654_158744_000018_000008	No doubt, not to be a governess, but a young lady free from the embarrassing necessity of earning bread, free to have a lover and a husband, would be upon the whole nicer. So it is nicer to be born to L10,000 a year than to have to wish for L500.	No doubt, not to be a governess, but a young lady free from the embarrassing necessity of earning bread, free to have a lover and a husband, would be upon the whole nicer. So it is nicer to be born to L ten thousand a year than to have to wish for l five hundred.	false	543.32	559.45	20.233103
2654_158744_000018_000009	Lady Fawn could talk excellent sense on this subject by the hour, and always admitted that much was due to a governess who knew her place and did her duty.	Lady Fawn could talk excellent sense on this subject by the hour, and always admitted that much was due to a governess who knew her place and did her duty.	false	559.91	569.65	21.773542
2654_158744_000018_000010	She was very fond of Lucy Morris, and treated her dependent with affectionate consideration;--but she did not approve of visits from Mr. Frank Greystock.	She was very fond of Lucy Morris, and treated her dependent with affectionate consideration;--but she did not approve of visits from mr Frank Greystock.	true	570.14	579.88	21.632101
2654_158744_000018_000011	Lucy, blushing up to the eyes, had once declared that she desired to have no personal visitors at Lady Fawn's house; but that, as regarded her own friendships, the matter was one for her own bosom.	Lucy, blushing up to the eyes, had once declared that she desired to have no personal visitors at Lady Fawn's house; but that, as regarded her own friendships, the matter was one for her own bosom.	true	580.25	592.78	22.03689
2654_158744_000018_000012	"Dear Miss Morris," Lady Fawn had said, "we understand each other so perfectly, and you are so good, that I am quite sure everything will be as it ought to be." Lady Fawn lived down at Richmond all the year through, in a large old-fashioned house with a large old-fashioned garden, called Fawn Court.	"Dear Miss Morris," Lady Fawn had said, "we understand each other so perfectly, and you are so good, that I am quite sure everything will be as it ought to be." Lady Fawn lived down at Richmond all the year through, in a large old-fashioned house with a large old-fashioned garden, called Fawn Court.	false	593.81	615.28	22.227869
2654_158744_000018_000013	After that speech of hers to Lucy, Frank Greystock did not call again at Fawn Court for many months, and it is possible that her ladyship had said a word also to him.	After that speech of hers to Lucy, Frank Greystock did not call again at Fawn Court for many months, and it is possible that her ladyship had said a word also to him.	false	615.71	626.23	21.977322
2654_158744_000018_000014	But Lady Eustace, with her pretty little pair of grey ponies, would sometimes drive down to Richmond to see her "dear little old friend" Lucy, and her visits were allowed.	But Lady Eustace, with her pretty little pair of grey ponies, would sometimes drive down to Richmond to see her "dear little old friend" Lucy, and her visits were allowed.	true	627.05	637.75	19.732037
2654_158744_000018_000015	Lady Fawn had expressed an opinion among her daughters that she did not see any harm in Lady Eustace.	Lady Fawn had expressed an opinion among her daughters that she did not see any harm in Lady Eustace.	true	638.12	643.9	17.413134
2654_158744_000018_000016	She thought that she rather liked Lady Eustace.	She thought that she rather liked Lady Eustace.	false	644.12	646.75	19.652126
2654_158744_000018_000017	But then Lady Fawn hated Lady Linlithgow as only two old women can hate each other;--and she had not heard the story of the diamond necklace.	But then Lady Fawn hated Lady Linlithgow as only two old women can hate each other;--and she had not heard the story of the diamond necklace.	true	647	656.38	20
2654_158744_000019_000000	Lucy Morris certainly was a treasure,--a treasure though no heroine. She was a sweetly social, genial little human being whose presence in the house was ever felt to be like sunshine.	Lucy Morris certainly was a treasure,--a treasure though no heroine. She was a sweetly social, genial little human being whose presence in the house was ever felt to be like sunshine.	true	656.99	669.64	19.969086
2654_158744_000019_000001	She was never forward, but never bashful.	She was never forward, but never bashful.	true	669.89	672.67	22.78248
2654_158744_000019_000002	She was always open to familiar intercourse without ever putting herself forward.	She was always open to familiar intercourse without ever putting herself forward.	true	672.95	678.01	19.38757
2654_158744_000019_000003	There was no man or woman with whom she would not so talk as to make the man or woman feel that the conversation was remarkably pleasant,--and she could do the same with any child.	There was no man or woman with whom she would not so talk as to make the man or woman feel that the conversation was remarkably pleasant,--and she could do the same with any child.	false	678.17	688.39	18.916931
2654_158744_000019_000004	She was an active, mindful, bright, energetic little thing to whom no work ever came amiss.	She was an active, mindful, bright, energetic little thing to whom no work ever came amiss.	false	688.7	695.25	21.925812
2654_158744_000019_000005	She had catalogued the library,--which had been collected by the late Lord Fawn with peculiar reference to the Christian theology of the third and fourth centuries.	She had catalogued the library,--which had been collected by the late Lord Fawn with peculiar reference to the Christian theology of the third and fourth centuries.	false	695.25	703.66	18
2654_158744_000019_000006	She had planned the new flower-garden,--though Lady Fawn thought that she had done that herself.	She had planned the new flower garden,--though Lady Fawn thought that she had done that herself.	false	704.21	709.63	22.694494
2654_158744_000019_000007	She had been invaluable during Clara Fawn's long illness.	She had been invaluable during Clara Fawn's long illness.	true	709.94	713.56	16
2654_158744_000019_000008	She knew every rule at croquet, and could play piquet.	She knew every rule at croquet, and could play piquet.	false	713.81	717.79	19
2654_158744_000019_000009	When the girls got up charades they had to acknowledge that everything depended on Miss Morris.	When the girls got up charades they had to acknowledge that everything depended on Miss Morris.	true	718.28	723.43	19
2654_158744_000019_000010	They were good-natured, plain, unattractive girls, who spoke of her to her face as one who could easily do anything to which she might put her hand. Lady Fawn did really love her.	They were good-natured, plain, unattractive girls, who spoke of her to her face as one who could easily do anything to which she might put her hand. Lady Fawn did really love her.	true	724.01	734.65	22.323166
2654_158744_000019_000011	Lord Fawn, the eldest son, a young man of about thirty-five, a Peer of Parliament and an Under-Secretary of State,--very prudent and very diligent,--of whom his mother and sisters stood in great awe, consulted her frequently and made no secret of his friendship.	Lord Fawn, the eldest son, a young man of about thirty five, a Peer of Parliament and an under-secretary of State,--very prudent and very diligent,--of whom his mother and sisters stood in great awe, consulted her frequently and made no secret of his friendship.	false	734.66	750.46	21.35485
2654_158744_000019_000012	The mother knew her awful son well, and was afraid of nothing wrong in that direction.	The mother knew her awful son well, and was afraid of nothing wrong in that direction.	true	750.95	755.74	18.628046
2654_158744_000019_000013	Lord Fawn had suffered a disappointment in love, but he had consoled himself with blue-books, and mastered his passion by incessant attendance at the India Board. The lady he had loved had been rich, and Lord Fawn was poor; but nevertheless he had mastered his passion.	Lord Fawn had suffered a disappointment in love, but he had consoled himself with blue books, and mastered his passion by incessant attendance at the India Board. The lady he had loved had been rich, and Lord Fawn was poor; but nevertheless he had mastered his passion.	true	756.23	773.47	21.425356
2654_158744_000019_000014	There was no fear that his feelings towards the governess would become too warm;--nor was it likely that Miss Morris should encounter danger in regard to him.	There was no fear that his feelings towards the governess would become too warm;--nor was it likely that Miss Morris should encounter danger in regard to him.	true	773.72	783.13	22.516645
2654_158744_000019_000015	It was quite an understood thing in the family that Lord Fawn must marry money.	It was quite an understood thing in the family that Lord Fawn must marry money.	true	783.26	788.74	26.055075
2654_158744_000020_000000	Lucy Morris was indeed a treasure.	Lucy Morris was indeed a treasure.	true	789.77	792.73	18.208311
2654_158744_000020_000001	No brighter face ever looked into another to seek sympathy there, either in mirth or woe.	No brighter face ever looked into another to seek sympathy there, either in mirth or woe.	true	792.8	798.37	18
2654_158744_000020_000002	There was a gleam in her eyes that was almost magnetic, so sure was she to obtain by it that community of interest which she desired,--though it were but for a moment.	There was a gleam in her eyes that was almost magnetic, so sure was she to obtain by it that community of interest which she desired,--though it were but for a moment.	false	798.83	809.11	22.094969
2654_158744_000020_000003	Lord Fawn was pompous, slow, dull, and careful; but even he had given way to it at once.	Lord Fawn was pompous, slow, dull, and careful; but even he had given way to it at once.	true	809.57	816.22	21
2654_158744_000020_000004	Lady Fawn, too, was very careful, but she had owned to herself long since that she could not bear to look forward to any permanent severance.	Lady Fawn, too, was very careful, but she had owned to herself long since that she could not bear to look forward to any permanent severance.	true	816.74	824.47	20
2654_158744_000020_000005	Of course Lucy would be made over to the Hittaways, whose mother lived in Warwick Square, and whose father was Chairman of the Board of Civil Appeals.	Of course Lucy would be made over to the Hittaways, whose mother lived in Warwick Square, and whose father was Chairman of the Board of Civil Appeals.	true	824.93	832.84	21.94206
2654_158744_000020_000006	The Hittaways were the only grandchildren with whom Lady Fawn had as yet been blessed, and of course Lucy must go to the Hittaways.	The Hittaways were the only grandchildren with whom Lady Fawn had as yet been blessed, and of course Lucy must go to the Hittaways.	false	833.24	841.72	22
2654_158744_000021_000000	She was but a little thing;--and it cannot be said of her, as of Lady Eustace, that she was a beauty.	She was but a little thing;--and it cannot be said of her, as of Lady Eustace, that she was a beauty.	true	842.48	849.07	23.309765
2654_158744_000021_000001	The charm of her face consisted in the peculiar, watery brightness of her eyes,--in the corners of which it would always seem that a diamond of a tear was lurking whenever any matter of excitement was afoot.	The charm of her face consisted in the peculiar, watery brightness of her eyes,--in the corners of which it would always seem that a diamond of a tear was lurking whenever any matter of excitement was afoot.	true	849.38	860.17	18.965166
2654_158744_000021_000002	Her light-brown hair was soft and smooth and pretty.	Her light brown hair was soft and smooth and pretty.	true	860.57	863.83	21.392332
2654_158744_000021_000003	As hair it was very well, but it had no speciality.	As hair it was very well, but it had no speciality.	true	864.32	867.85	21.999874
2654_158744_000021_000004	Her mouth was somewhat large, but full of ever-varying expression.	Her mouth was somewhat large, but full of ever varying expression.	true	868.43	872.41	22.020819
2654_158744_000021_000005	Her forehead was low and broad, with prominent temples, on which it was her habit to clasp tightly her little outstretched fingers as she sat listening to you.	Her forehead was low and broad, with prominent temples, on which it was her habit to clasp tightly her little outstretched fingers as she sat listening to you.	true	872.69	882.19	19
2654_158744_000021_000006	Of listeners she was the very best, for she would always be saying a word or two, just to help you,--the best word that could be spoken, and then again she would be hanging on your lips.	Of listeners she was the very best, for she would always be saying a word or two, just to help you,--the best word that could be spoken, and then again she would be hanging on your lips.	true	882.83	892.78	19.953371
2654_158744_000021_000007	There are listeners who show by their mode of listening that they listen as a duty,--not because they are interested.	There are listeners who show by their mode of listening that they listen as a duty,--not because they are interested.	true	893.18	899.38	19.901566
2654_158744_000021_000008	Lucy Morris was not such a one.	Lucy Morris was not such a one.	true	899.72	902.2	19.624746
2654_158744_000021_000009	She would take up your subject, whatever it was, and make it her own.	She would take up your subject, whatever it was, and make it her own.	true	902.33	906.25	23
2654_158744_000021_000010	There was forward just then a question as to whether the Sawab of Mygawb should have twenty millions of rupees paid to him and be placed upon a throne, or whether he should be kept in prison all his life.	There was forward just then a question as to whether the Sawab of Mygawb should have twenty millions of rupees paid to him and be placed upon a throne, or whether he should be kept in prison all his life.	true	906.74	918.85	20.183283
2654_158744_000021_000011	The British world generally could not be made to interest itself about the Sawab, but Lucy positively mastered the subject, and almost got Lord Fawn into a difficulty by persuading him to stand up against his chief on behalf of the injured prince.	The British world generally could not be made to interest itself about the Sawab, but Lucy positively mastered the subject, and almost got Lord Fawn into a difficulty by persuading him to stand up against his chief on behalf of the injured prince.	false	919.4	933.79	23.006508
2654_158744_000022_000000	What else can be said of her face or personal appearance that will interest a reader?	What else can be said of her face or personal appearance that will interest a reader?	true	935.09	940.03	23
2654_158744_000022_000001	When she smiled, there was the daintiest little dimple on her cheek.	When she smiled, there was the daintiest little dimple on her cheek.	false	940.58	944.71	22.67411
2654_158744_000022_000002	And when she laughed, that little nose, which was not as well-shaped a nose as it might have been, would almost change its shape and cock itself up in its mirth.	And when she laughed, that little nose, which was not as well shaped a nose as it might have been, would almost change its shape and cock itself up in its mirth.	true	945.08	954.55	19.15795
2654_158744_000022_000003	Her hands were very thin and long, and so were her feet,--by no means models as were those of her friend Lady Eustace.	Her hands were very thin and long, and so were her feet,--by no means models as were those of her friend Lady Eustace.	true	954.95	961.96	19
2654_158744_000022_000004	She was a little, thin, quick, graceful creature, whom it was impossible that you should see without wishing to have near you.	She was a little, thin, quick, graceful creature, whom it was impossible that you should see without wishing to have near you.	true	962.3	968.95	20.247725
2654_158744_000022_000005	A most unselfish little creature she was, but one who had a well-formed idea of her own identity.	A most unselfish little creature she was, but one who had a well formed idea of her own identity.	true	969.71	977.2	20.354343
2654_158744_000022_000006	She was quite resolved to be somebody among her fellow-creatures,--not somebody in the way of marrying a lord or a rich man, or somebody in the way of being a beauty, or somebody as a wit; but somebody as having a purpose and a use in life.	She was quite resolved to be somebody among her fellow creatures,--not somebody in the way of marrying a lord or a rich man, or somebody in the way of being a beauty, or somebody as a wit; but somebody as having a purpose and a use in life.	true	977.48	992.98	19.129469
2654_158744_000022_000007	She was the humblest little thing in the world in regard to any possible putting of herself forward or needful putting of herself back; and yet, to herself, nobody was her superior.	She was the humblest little thing in the world in regard to any possible putting of herself forward or needful putting of herself back; and yet, to herself, nobody was her superior.	true	993.26	1004.91	21.57438
2654_158744_000022_000008	What she had was her own, whether it was the old grey silk dress which she had bought with the money she had earned, or the wit which nature had given her.	What she had was her own, whether it was the old grey silk dress which she had bought with the money she had earned, or the wit which nature had given her.	false	1004.91	1013.98	21.206114
2654_158744_000022_000009	And Lord Fawn's title was his own, and Lady Fawn's rank her own.	And Lord Fawn's title was his own, and Lady Fawn's rank her own.	false	1014.53	1019.2	16.292772
2654_158744_000022_000010	She coveted no man's possessions,--and no woman's; but she was minded to hold by her own.	She coveted no man's possessions,--and no woman's; but she was minded to hold by her own.	true	1020.14	1026.43	21.54649
2654_158744_000022_000011	Of present advantages or disadvantages,--whether she had the one or suffered from the other,--she thought not at all.	Of present advantages or disadvantages,--whether she had the one or suffered from the other,--she thought not at all.	true	1026.65	1033.15	20.903532
2654_158744_000022_000012	It was her fault that she had nothing of feminine vanity.	It was her fault that she had nothing of feminine vanity.	true	1033.4	1036.24	19
2654_158744_000022_000013	But no man or woman was ever more anxious to be effective, to persuade, to obtain belief, sympathy, and co-operation;--not for any result personal to herself, but because, by obtaining these things, she could be effective in the object then before her, be it what it might.	But no man or woman was ever more anxious to be effective, to persuade, to obtain belief, sympathy, and co-operation;--not for any result personal to herself, but because, by obtaining these things, she could be effective in the object then before her, be it what it might.	false	1036.24	1054.24	22.08132
2654_158744_000023_000000	One other thing may be told of her.	One other thing may be told of her.	true	1054.94	1057.57	19.988855
2654_158744_000023_000001	She had given her heart,--for good and all, as she owned to herself,--to Frank Greystock.	She had given her heart,--for good and all, as she owned to herself,--to Frank Greystock.	true	1057.67	1063.69	23.856546
2654_158744_000023_000002	She had owned to herself that it was so, and had owned to herself that nothing could come of it.	She had owned to herself that it was so, and had owned to herself that nothing could come of it.	true	1063.94	1068.85	18.3636
2654_158744_000023_000003	Frank was becoming a man of mark,--but was becoming a man of mark without much money.	Frank was becoming a man of mark,--but was becoming a man of mark without much money.	true	1069.34	1075.12	23.73826
