8820_294113_000000_000000	SACRAMENTO RIVER. _March_ 1905.	SACRAMENTO RIVER. underscore March underscore nineteen o five.	false	2.79	9.585	23.588907
8820_294113_000013_000002	He has a piece of cloth which he calls a napkin, with which he wipes from his lips, and from the hair on his lips, the greasy juices of the meat.	He has a piece of cloth which he calls a napkin, with which he wipes from his lips, and from the hair on his lips, the greasy juices of the meat.	true	420.77	429.34	21.984076
8820_294113_000014_000000	He is fastidiously nauseated at the thought of two prize-fighters bruising each other with their fists; and at the same time, because it will cost him some money, he will refuse to protect the machines in his factory, though he is aware that the lack of such protection every year mangles, batters, and destroys out of all humanness thousands of working-men, women, and children.	He is fastidiously nauseated at the thought of two prize fighters bruising each other with their fists; and at the same time, because it will cost him some money, he will refuse to protect the machines in his factory, though he is aware that the lack of such protection every year mangles, batters, and destroys out of all humanness thousands of working men, women, and children.	true	429.74	451.54	20
8820_294113_000014_000001	He will chatter about things refined and spiritual and godlike like himself, and he and the men who herd with him will calmly adulterate the commodities they put upon the market and which annually kill tens of thousands of babies and young children.	He will chatter about things refined and spiritual and godlike like himself, and he and the men who herd with him will calmly adulterate the commodities they put upon the market and which annually kill tens of thousands of babies and young children.	true	451.94	467.65	22.187605
8820_294113_000015_000000	He will recoil at the suggestion of the horrid spectacle of two men confronting each other with gloved hands in the roped arena, and at the same time he will clamour for larger armies and larger navies, for more destructive war machines, which, with a single discharge, will disrupt and rip to pieces more human beings than have died in the whole history of prize-fighting.	He will recoil at the suggestion of the horrid spectacle of two men confronting each other with gloved hands in the roped arena, and at the same time he will clamour for larger armies and larger navies, for more destructive war machines, which, with a single discharge, will disrupt and rip to pieces more human beings than have died in the whole history of prize fighting.	false	467.93	490.39	18
8820_294113_000015_000001	He will bribe a city council for a franchise or a state legislature for a commercial privilege; but he has never been known, in all his sleep-walking history, to bribe any legislative body in order to achieve any moral end, such as, for instance, abolition of prize-fighting, child-labour laws, pure food bills, or old age pensions.	He will bribe a city council for a franchise or a state legislature for a commercial privilege; but he has never been known, in all his sleep walking history, to bribe any legislative body in order to achieve any moral end, such as, for instance, abolition of prize fighting, child labour laws, pure food bills, or old age pensions.	false	490.7	513.82	20.92681
8820_294113_000016_000000	"Ah, but we do not stand for the commercial life," object the refined, scholarly, and professional men.	"Ah, but we do not stand for the commercial life," object the refined, scholarly, and professional men.	true	514.25	519.31	22
8820_294113_000016_000001	They are also sleep-walkers.	They are also sleep walkers.	true	519.38	520.89	18.736227
8820_294113_000016_000002	They do not stand for the commercial life, but neither do they stand against it with all their strength.	They do not stand for the commercial life, but neither do they stand against it with all their strength.	true	520.89	525.43	22
8820_294113_000016_000003	They submit to it, to the brutality and carnage of it.	They submit to it, to the brutality and carnage of it.	false	525.47	528.49	30
8820_294113_000016_000004	They develop classical economists who announce that the only possible way for men and women to get food and shelter is by the existing method.	They develop classical economists who announce that the only possible way for men and women to get food and shelter is by the existing method.	true	528.74	536.95	20
8820_294113_000016_000005	They produce university professors, men who claim the _role_ of teachers, and who at the same time claim that the austere ideal of learning is passionless pursuit of passionless intelligence.	They produce university professors, men who claim the underscore role underscore of teachers, and who at the same time claim that the austere ideal of learning is passionless pursuit of passionless intelligence.	false	536.96	548.8	19
8820_294113_000016_000006	They serve the men who lead the commercial life, give to their sons somnambulistic educations, preach that sleep-walking is the only way to walk, and that the persons who walk otherwise are atavisms or anarchists.	They serve the men who lead the commercial life, give to their sons somnambulistic educations, preach that sleep walking is the only way to walk, and that the persons who walk otherwise are atavisms or anarchists.	false	548.99	562.45	22.687979
8820_294113_000016_000007	They paint pictures for the commercial men, write books for them, sing songs for them, act plays for them, and dose them with various drugs when their bodies have grown gross or dyspeptic from overeating and lack of exercise.	They paint pictures for the commercial men, write books for them, sing songs for them, act plays for them, and dose them with various drugs when their bodies have grown gross or dyspeptic from overeating and lack of exercise.	true	562.97	576.61	21.3326
8820_294113_000017_000000	Then there are the good, kind somnambulists who don't prize-fight, who don't play the commercial game, who don't teach and preach somnambulism, who don't do anything except live on the dividends that are coined out of the wan, white fluid that runs in the veins of little children, out of mothers' tears, the blood of strong men, and the groans and sighs of the old.	Then there are the good, kind somnambulists who don't prize fight, who don't play the commercial game, who don't teach and preach somnambulism, who don't do anything except live on the dividends that are coined out of the wan, white fluid that runs in the veins of little children, out of mothers' tears, the blood of strong men, and the groans and sighs of the old.	true	576.8	599.59	19.835434
8820_294113_000017_000001	The receiver is as bad as the thief--ay, and the thief is finer than the receiver; he at least has the courage to run the risk.	The receiver is as bad as the thief-ay, and the thief is finer than the receiver; he at least has the courage to run the risk.	false	599.87	608.62	22.9488
8820_294113_000017_000002	But the good, kind people who don't do anything won't believe this, and the assertion will make them angry--for a moment.	But the good, kind people who don't do anything won't believe this, and the assertion will make them angry-for a moment.	true	608.78	616.15	22.462364
8820_294113_000017_000003	They possess several magic phrases, which are like the incantations of a voodoo doctor driving devils away.	They possess several magic phrases, which are like the incantations of a voodoo doctor driving devils away.	true	616.79	623.68	20.883516
8820_294113_000017_000004	The phrases that the good, kind people repeat to themselves and to one another sound like "abstinence," "temperance," "thrift," "virtue." Sometimes they say them backward, when they sound like "prodigality," "drunkenness," "wastefulness," and "immorality." They do not really know the meaning of these phrases, but they think they do, and that is all that is necessary for somnambulists.	The phrases that the good, kind people repeat to themselves and to one another sound like "abstinence," "temperance," "thrift," "virtue." Sometimes they say them backward, when they sound like "prodigality," "drunkenness," "wastefulness," and "immorality." They do not really know the meaning of these phrases, but they think they do, and that is all that is necessary for somnambulists.	true	623.69	648.28	22.260372
8820_294113_000017_000005	The calm repetition of such phrases invariably drives away the waking devils and lulls to slumber.	The calm repetition of such phrases invariably drives away the waking devils and lulls to slumber.	true	648.47	654.94	19.387613
8820_294113_000018_000000	Our statesmen sell themselves and their country for gold.	Our statesmen sell themselves and their country for gold.	true	655.16	658.69	19.5513
8820_294113_000018_000001	Our municipal servants and state legislators commit countless treasons.	Our municipal servants and state legislators commit countless treasons.	true	658.76	662.74	19.467709
8820_294113_000018_000002	The world of graft!	The world of graft!	true	662.81	664.125	22.226143
8820_294113_000018_000003	The world of betrayal!	The world of betrayal!	true	664.125	665.49	19
8820_294113_000018_000004	The world of somnambulism, whose exalted and sensitive citizens are outraged by the knockouts of the prize-ring, and who annually not merely knock out, but kill, thousands of babies and children by means of child labour and adulterated food.	The world of somnambulism, whose exalted and sensitive citizens are outraged by the knockouts of the prize ring, and who annually not merely knock out, but kill, thousands of babies and children by means of child labour and adulterated food.	true	665.49	680.44	20
8820_294113_000018_000005	Far better to have the front of one's face pushed in by the fist of an honest prize-fighter than to have the lining of one's stomach corroded by the embalmed beef of a dishonest manufacturer.	Far better to have the front of one's face pushed in by the fist of an honest prize fighter than to have the lining of one's stomach corroded by the embalmed beef of a dishonest manufacturer.	true	680.51	691.18	20.57766
8820_294113_000019_000000	In a prize-fight men are classed.	In a prize fight men are classed.	true	691.46	693.52	26.033867
8820_294113_000019_000001	A lightweight fights with a light-weight; he never fights with a heavy-weight, and foul blows are not allowed.	A lightweight fights with a light weight; he never fights with a heavy weight, and foul blows are not allowed.	false	693.71	699.79	21.594902
8820_294113_000019_000002	Yet in the world of the somnambulists, where soar the sublimated spirits, there are no classes, and foul blows are continually struck and never disallowed.	Yet in the world of the somnambulists, where soar the sublimated spirits, there are no classes, and foul blows are continually struck and never disallowed.	true	699.89	710.26	21.435179
8820_294113_000019_000003	Only they are not called foul blows.	Only they are not called foul blows.	true	710.3	712.39	25.480085
8820_294113_000019_000004	The world of claw and fang and fist and club has passed away--so say the somnambulists.	The world of claw and fang and fist and club has passed away-so say the somnambulists.	true	712.4	718.81	22.323513
8820_294113_000019_000005	A rebate is not an elongated claw.	A rebate is not an elongated claw.	true	718.97	721.575	16.326551
8820_294113_000019_000006	A Wall Street raid is not a fang slash.	A Wall Street raid is not a fang slash.	true	721.575	724.365	22.328016
8820_294113_000019_000007	Dummy boards of directors and fake accountings are not foul blows of the fist under the belt.	Dummy boards of directors and fake accountings are not foul blows of the fist under the belt.	true	724.365	730.45	24.943056
8820_294113_000019_000008	A present of coal stock by a mine operator to a railroad official is not a claw rip to the bowels of a rival mine operator.	A present of coal stock by a mine operator to a railroad official is not a claw rip to the bowels of a rival mine operator.	true	730.7	738.4	24
8820_294113_000019_000009	The hundred million dollars with which a combination beats down to his knees a man with a million dollars is not a club.	The hundred million dollars with which a combination beats down to his knees a man with a million dollars is not a club.	true	738.59	745.99	18.689959
8820_294113_000019_000010	The man who walks in his sleep says it is not a club.	The man who walks in his sleep says it is not a club.	true	746.33	749.41	22.709553
8820_294113_000019_000011	So say all of his kind with which he herds.	So say all of his kind with which he herds.	true	749.48	752.62	18.872797
8820_294113_000019_000012	They gather together and solemnly and gloatingly make and repeat certain noises that sound like "discretion," "acumen," "initiative," "enterprise." These noises are especially gratifying when they are made backward.	They gather together and solemnly and gloatingly make and repeat certain noises that sound like "discretion," "acumen," "initiative," "enterprise." These noises are especially gratifying when they are made backward.	true	752.72	767.2	22.349659
8820_294113_000019_000013	They mean the same things, but they sound different.	They mean the same things, but they sound different.	true	767.24	770.16	23.99045
8820_294113_000019_000014	And in either case, forward or backward, the spirit of the dream is not disturbed.	And in either case, forward or backward, the spirit of the dream is not disturbed.	true	770.16	774.85	22.4458
8820_294113_000020_000000	When a man strikes a foul blow in the prize-ring the fight is immediately stopped, he is declared the loser, and he is hissed by the audience as he leaves the ring.	When a man strikes a foul blow in the prize ring the fight is immediately stopped, he is declared the loser, and he is hissed by the audience as he leaves the ring.	true	775.1	784.33	19.945236
8820_294113_000020_000001	But when a man who walks in his sleep strikes a foul blow he is immediately declared the victor and awarded the prize; and amid acclamations he forthwith turns his prize into a seat in the United States Senate, into a grotesque palace on Fifth Avenue, and into endowed churches, universities and libraries, to say nothing of subsidized newspapers, to proclaim his greatness.	But when a man who walks in his sleep strikes a foul blow he is immediately declared the victor and awarded the prize; and amid acclamations he forthwith turns his prize into a seat in the United States Senate, into a grotesque palace on Fifth Avenue, and into endowed churches, universities and libraries, to say nothing of subsidized newspapers, to proclaim his greatness.	false	784.79	808.33	22
8820_294113_000021_000000	The red animal in the somnambulist will out.	The red animal in the somnambulist will out.	false	809.39	812.29	24.024359
8820_294113_000021_000001	He decries the carnal combat of the prize-ring, and compels the red animal to spiritual combat. The poisoned lie, the nasty, gossiping tongue, the brutality of the unkind epigram, the business and social nastiness and treachery of to-day--these are the thrusts and scratches of the red animal when the somnambulist is in charge.	He decries the carnal combat of the prize ring, and compels the red animal to spiritual combat. The poisoned lie, the nasty, gossiping tongue, the brutality of the unkind epigram, the business and social nastiness and treachery of to day-these are the thrusts and scratches of the red animal when the somnambulist is in charge.	true	812.6	835.21	19
8820_294113_000021_000002	They are not the upper cuts and short arm jabs and jolts and slugging blows of the spirit.	They are not the upper cuts and short arm jabs and jolts and slugging blows of the spirit.	true	835.55	840.7	17
8820_294113_000021_000003	They are the foul blows of the spirit that have never been disbarred, as the foul blows of the prize-ring have been disbarred. (Would it not be preferable for a man to strike one full on the mouth with his fist than for him to tell a lie about one, or malign those that are nearest and dearest?)	They are the foul blows of the spirit that have never been disbarred, as the foul blows of the prize ring have been disbarred. (Would it not be preferable for a man to strike one full on the mouth with his fist than for him to tell a lie about one, or malign those that are nearest and dearest?)	true	840.83	857.53	20.471199
8820_294113_000022_000000	For these are the crimes of the spirit, and, alas! they are so much more frequent than blows on the mouth.	For these are the crimes of the spirit, and, alas! they are so much more frequent than blows on the mouth.	false	858.11	864.31	21.62445
8820_294113_000022_000001	And whosoever exalts the spirit over the flesh, by his own creed avers that a crime of the spirit is vastly more terrible than a crime of the flesh.	And whosoever exalts the spirit over the flesh, by his own creed avers that a crime of the spirit is vastly more terrible than a crime of the flesh.	false	864.44	873.67	20
8820_294113_000022_000002	Thus stand the somnambulists convicted by their own creed--only they are not real men, alive and awake, and they proceed to mutter magic phrases that dispel all doubt as to their undiminished and eternal gloriousness.	Thus stand the somnambulists convicted by their own creed-only they are not real men, alive and awake, and they proceed to mutter magic phrases that dispel all doubt as to their undiminished and eternal gloriousness.	true	873.77	887.11	19.41698
8820_294113_000023_000000	It is well enough to let the ape and tiger die, but it is hardly fair to kill off the natural and courageous apes and tigers and allow the spawn of cowardly apes and tigers to live.	It is well enough to let the ape and tiger die, but it is hardly fair to kill off the natural and courageous apes and tigers and allow the spawn of cowardly apes and tigers to live.	true	887.66	899.23	24
8820_294113_000023_000001	The prize-fighting apes and tigers will die all in good time in the course of natural evolution, but they will not die so long as the cowardly, somnambulistic apes and tigers club and scratch and slash.	The prize fighting apes and tigers will die all in good time in the course of natural evolution, but they will not die so long as the cowardly, somnambulistic apes and tigers club and scratch and slash.	true	899.33	913.54	22.269218
8820_294113_000023_000002	This is not a brief for the prize-fighter.	This is not a brief for the prize fighter.	true	914.03	916.51	23.042488
8820_294113_000023_000003	It is a blow of the fist between the eyes of the somnambulists, teetering up and down, muttering magic phrases, and thanking God that they are not as other animals.	It is a blow of the fist between the eyes of the somnambulists, teetering up and down, muttering magic phrases, and thanking God that they are not as other animals.	false	916.61	942.21	20.728098
