501_125127_000000_000000	Chapter 14	Chapter fourteen	false	1.83	27.195	19.627295
501_125127_000015_000000	'Hallo!	'Hallo!	false	185.94	187.05	100
501_125127_000015_000001	Steady!' cried Eugene (he had recovered immediately on embarking), as they bumped heavily against a pile; and then in a lower voice reversed his late apostrophe by remarking ('I wish the boat of my honourable and gallant friend may be endowed with philanthropy enough not to turn bottom-upward and extinguish us!) Steady, steady!	Steady!' cried Eugene (he had recovered immediately on embarking), as they bumped heavily against a pile; and then in a lower voice reversed his late apostrophe by remarking ('I wish the boat of my honourable and gallant friend may be endowed with philanthropy enough not to turn bottom upward and extinguish us!) Steady, steady!	true	187.05	205.39	22.06438
501_125127_000015_000002	Sit close, Mortimer.	Sit close, Mortimer.	true	205.55	206.71	24.695906
501_125127_000015_000003	Here's the hail again.	Here's the hail again.	true	206.75	207.99	20.592257
501_125127_000015_000004	See how it flies, like a troop of wild cats, at Mr Riderhood's eyes!'	See how it flies, like a troop of wild cats, at Mr Riderhood's eyes!'	true	207.99	212.26	17
501_125127_000016_000000	Indeed he had the full benefit of it, and it so mauled him, though he bent his head low and tried to present nothing but the mangy cap to it, that he dropped under the lee of a tier of shipping, and they lay there until it was over.	Indeed he had the full benefit of it, and it so mauled him, though he bent his head low and tried to present nothing but the mangy cap to it, that he dropped under the lee of a tier of shipping, and they lay there until it was over.	true	212.66	225.22	20
501_125127_000016_000001	The squall had come up, like a spiteful messenger before the morning; there followed in its wake a ragged tear of light which ripped the dark clouds until they showed a great grey hole of day.	The squall had come up, like a spiteful messenger before the morning; there followed in its wake a ragged tear of light which ripped the dark clouds until they showed a great grey hole of day.	true	225.53	235.09	21
501_125127_000017_000000	They were all shivering, and everything about them seemed to be shivering; the river itself; craft, rigging, sails, such early smoke as there yet was on the shore.	They were all shivering, and everything about them seemed to be shivering; the river itself; craft, rigging, sails, such early smoke as there yet was on the shore.	true	235.94	245.89	21.02526
501_125127_000017_000001	Black with wet, and altered to the eye by white patches of hail and sleet, the huddled buildings looked lower than usual, as if they were cowering, and had shrunk with the cold.	Black with wet, and altered to the eye by white patches of hail and sleet, the huddled buildings looked lower than usual, as if they were cowering, and had shrunk with the cold.	true	246.71	256.36	21.899136
501_125127_000017_000002	Very little life was to be seen on either bank, windows and doors were shut, and the staring black and white letters upon wharves and warehouses 'looked,' said Eugene to Mortimer, 'like inscriptions over the graves of dead businesses.'	Very little life was to be seen on either bank, windows and doors were shut, and the staring black and white letters upon wharves and warehouses 'looked,' said Eugene to Mortimer, 'like inscriptions over the graves of dead businesses.'	true	256.67	269.68	19
501_125127_000018_000000	As they glided slowly on, keeping under the shore and sneaking in and out among the shipping by back-alleys of water, in a pilfering way that seemed to be their boatman's normal manner of progression, all the objects among which they crept were so huge in contrast with their wretched boat, as to threaten to crush it.	As they glided slowly on, keeping under the shore and sneaking in and out among the shipping by back alleys of water, in a pilfering way that seemed to be their boatman's normal manner of progression, all the objects among which they crept were so huge in contrast with their wretched boat, as to threaten to crush it.	true	270.62	287.92	17
501_125127_000018_000001	Not a ship's hull, with its rusty iron links of cable run out of hawse-holes long discoloured with the iron's rusty tears, but seemed to be there with a fell intention. Not a figure-head but had the menacing look of bursting forward to run them down.	Not a ship's hull, with its rusty iron links of cable run out of hawse holes long discoloured with the iron's rusty tears, but seemed to be there with a fell intention. Not a figure head but had the menacing look of bursting forward to run them down.	true	288.62	305.08	18.923447
501_125127_000018_000002	Not a sluice gate, or a painted scale upon a post or wall, showing the depth of water, but seemed to hint, like the dreadfully facetious Wolf in bed in Grandmamma's cottage, 'That's to drown YOU in, my dears!' Not a lumbering black barge, with its cracked and blistered side impending over them, but seemed to suck at the river with a thirst for sucking them under.	Not a sluice gate, or a painted scale upon a post or wall, showing the depth of water, but seemed to hint, like the dreadfully facetious Wolf in bed in Grandmamma's cottage, 'That's to drown YOU in, my dears!' Not a lumbering black barge, with its cracked and blistered side impending over them, but seemed to suck at the river with a thirst for sucking them under.	false	305.45	327.49	19.707777
501_125127_000018_000003	And everything so vaunted the spoiling influences of water--discoloured copper, rotten wood, honey-combed stone, green dank deposit--that the after-consequences of being crushed, sucked under, and drawn down, looked as ugly to the imagination as the main event.	And everything so vaunted the spoiling influences of water-discoloured copper, rotten wood, honey combed stone, green dank deposit-that the after consequences of being crushed, sucked under, and drawn down, looked as ugly to the imagination as the main event.	true	327.98	344.38	20
501_125127_000019_000000	Some half-hour of this work, and Riderhood unshipped his sculls, stood holding on to a barge, and hand over hand long-wise along the barge's side gradually worked his boat under her head into a secret little nook of scummy water.	Some half hour of this work, and Riderhood unshipped his sculls, stood holding on to a barge, and hand over hand long wise along the barge's side gradually worked his boat under her head into a secret little nook of scummy water.	true	345.53	359.35	18
501_125127_000019_000001	And driven into that nook, and wedged as he had described, was Gaffer's boat; that boat with the stain still in it, bearing some resemblance to a muffled human form.	And driven into that nook, and wedged as he had described, was Gaffer's boat; that boat with the stain still in it, bearing some resemblance to a muffled human form.	true	359.93	369.37	19.204762
501_125127_000020_000000	'Now tell me I'm a liar!' said the honest man.	'Now tell me I'm a liar!' said the honest man.	true	369.89	373	17.01738
501_125127_000021_000000	('With a morbid expectation,' murmured Eugene to Lightwood, 'that somebody is always going to tell him the truth.')	('With a morbid expectation,' murmured Eugene to Lightwood, 'that somebody is always going to tell him the truth.')	true	373.49	380.14	21.254997
501_125127_000022_000000	'This is Hexam's boat,' said Mr Inspector. 'I know her well.'	'This is Hexam's boat,' said Mr Inspector. 'I know her well.'	true	380.9	386.68	21.796095
501_125127_000023_000000	'Look at the broken scull.	'Look at the broken scull.	true	386.72	388.27	23.924488
501_125127_000023_000001	Look at the t'other scull gone.	Look at the t'other scull gone.	false	388.34	390.16	21.434023
501_125127_000023_000002	NOW tell me I am a liar!' said the honest man.	NOW tell me I am a liar!' said the honest man.	true	390.23	393.52	17.76391
501_125127_000024_000000	Mr Inspector stepped into the boat.	Mr Inspector stepped into the boat.	true	394.61	396.73	20.012777
501_125127_000024_000001	Eugene and Mortimer looked on.	Eugene and Mortimer looked on.	true	396.74	398.59	16
501_125127_000025_000000	'And see now!' added Riderhood, creeping aft, and showing a stretched rope made fast there and towing overboard.	'And see now!' added Riderhood, creeping aft, and showing a stretched rope made fast there and towing overboard.	true	399.32	406	18.32443
501_125127_000025_000001	'Didn't I tell you he was in luck again?'	'Didn't I tell you he was in luck again?'	true	406.22	408.37	13
501_125127_000026_000000	'Haul in,' said Mr Inspector.	'Haul in,' said Mr Inspector.	true	409.13	410.92	18.646252
501_125127_000027_000000	'Easy to say haul in,' answered Riderhood. 'Not so easy done.	'Easy to say haul in,' answered Riderhood. 'Not so easy done.	true	411.68	416.65	17.1785
501_125127_000027_000001	His luck's got fouled under the keels of the barges.	His luck's got fouled under the keels of the barges.	true	417.35	420.34	21.684273
501_125127_000027_000002	I tried to haul in last time, but I couldn't.	I tried to haul in last time, but I couldn't.	true	420.56	423.07	15.707737
501_125127_000027_000003	See how taut the line is!'	See how taut the line is!'	true	423.56	425.32	17
501_125127_000028_000000	'I must have it up,' said Mr Inspector. 'I am going to take this boat ashore, and his luck along with it.	'I must have it up,' said Mr Inspector. 'I am going to take this boat ashore, and his luck along with it.	true	426.38	431.86	21
501_125127_000028_000001	Try easy now.'	Try easy now.'	true	432.14	433.42	17.337618
501_125127_000029_000000	He tried easy now; but the luck resisted; wouldn't come.	He tried easy now; but the luck resisted; wouldn't come.	true	433.94	437.23	22.909466
501_125127_000030_000000	'I mean to have it, and the boat too,' said Mr Inspector, playing the line.	'I mean to have it, and the boat too,' said Mr Inspector, playing the line.	true	437.63	441.82	20
501_125127_000031_000000	But still the luck resisted; wouldn't come.	But still the luck resisted; wouldn't come.	true	442.37	444.82	22.090752
501_125127_000032_000000	'Take care,' said Riderhood.	'Take care,' said Riderhood.	true	445.91	447.82	24.192896
501_125127_000032_000001	'You'll disfigure.	'You'll disfigure.	true	448.34	449.325	23.582281
501_125127_000032_000002	Or pull asunder perhaps.'	Or pull asunder perhaps.'	true	449.325	451	18.377563
501_125127_000033_000000	'I am not going to do either, not even to your Grandmother,' said Mr Inspector; 'but I mean to have it.	'I am not going to do either, not even to your Grandmother,' said Mr Inspector; 'but I mean to have it.	true	451.28	456.91	20.2147
501_125127_000033_000001	Come!' he added, at once persuasively and with authority to the hidden object in the water, as he played the line again; 'it's no good this sort of game, you know.	Come!' he added, at once persuasively and with authority to the hidden object in the water, as he played the line again; 'it's no good this sort of game, you know.	false	456.98	465.525	18.820602
501_125127_000033_000002	You MUST come up. I mean to have you.'	You MUST come up. I mean to have you.'	true	465.525	467.71	23.519072
501_125127_000034_000000	There was so much virtue in this distinctly and decidedly meaning to have it, that it yielded a little, even while the line was played.	There was so much virtue in this distinctly and decidedly meaning to have it, that it yielded a little, even while the line was played.	false	468.41	474.88	18
501_125127_000035_000000	'I told you so,' quoth Mr Inspector, pulling off his outer coat, and leaning well over the stern with a will.	'I told you so,' quoth Mr Inspector, pulling off his outer coat, and leaning well over the stern with a will.	true	475.46	481.08	20
501_125127_000035_000001	'Come!'	'Come!'	true	481.08	481.81	20.986158
501_125127_000036_000000	It was an awful sort of fishing, but it no more disconcerted Mr Inspector than if he had been fishing in a punt on a summer evening by some soothing weir high up the peaceful river.	It was an awful sort of fishing, but it no more disconcerted Mr Inspector than if he had been fishing in a punt on a summer evening by some soothing weir high up the peaceful river.	true	483.05	493	19.716307
501_125127_000036_000001	After certain minutes, and a few directions to the rest to 'ease her a little for'ard,' and 'now ease her a trifle aft,' and the like, he said composedly, 'All clear!' and the line and the boat came free together.	After certain minutes, and a few directions to the rest to 'ease her a little for'ard,' and 'now ease her a trifle aft,' and the like, he said composedly, 'All clear!' and the line and the boat came free together.	false	493.7	506.98	25.705408
501_125127_000037_000000	Accepting Lightwood's proffered hand to help him up, he then put on his coat, and said to Riderhood, 'Hand me over those spare sculls of yours, and I'll pull this in to the nearest stairs.	Accepting Lightwood's proffered hand to help him up, he then put on his coat, and said to Riderhood, 'Hand me over those spare sculls of yours, and I'll pull this in to the nearest stairs.	false	507.92	517.9	21.61877
501_125127_000037_000001	Go ahead you, and keep out in pretty open water, that I mayn't get fouled again.'	Go ahead you, and keep out in pretty open water, that I mayn't get fouled again.'	true	517.97	521.95	20.452091
501_125127_000038_000000	His directions were obeyed, and they pulled ashore directly; two in one boat, two in the other.	His directions were obeyed, and they pulled ashore directly; two in one boat, two in the other.	true	522.74	527.47	22.610287
501_125127_000039_000000	'Now,' said Mr Inspector, again to Riderhood, when they were all on the slushy stones; 'you have had more practice in this than I have had, and ought to be a better workman at it.	'Now,' said Mr Inspector, again to Riderhood, when they were all on the slushy stones; 'you have had more practice in this than I have had, and ought to be a better workman at it.	false	528.44	538.51	20.700317
501_125127_000039_000001	Undo the tow-rope, and we'll help you haul in.'	Undo the tow rope, and we'll help you haul in.'	false	538.73	541.45	21.622925
501_125127_000040_000000	Riderhood got into the boat accordingly.	Riderhood got into the boat accordingly.	true	542.66	544.78	19.18966
501_125127_000040_000001	It appeared as if he had scarcely had a moment's time to touch the rope or look over the stern, when he came scrambling back, as pale as the morning, and gasped out:	It appeared as if he had scarcely had a moment's time to touch the rope or look over the stern, when he came scrambling back, as pale as the morning, and gasped out:	true	545.12	554.11	19
501_125127_000041_000000	'By the Lord, he's done me!'	'By the Lord, he's done me!'	true	554.51	556.18	23.73469
501_125127_000042_000000	'What do you mean?' they all demanded.	'What do you mean?' they all demanded.	true	556.73	558.52	19.257505
501_125127_000043_000000	He pointed behind him at the boat, and gasped to that degree that he dropped upon the stones to get his breath.	He pointed behind him at the boat, and gasped to that degree that he dropped upon the stones to get his breath.	true	559.31	564.91	21.760492
501_125127_000044_000000	'Gaffer's done me.	'Gaffer's done me.	false	564.95	566.22	26.262917
501_125127_000044_000001	It's Gaffer!'	It's Gaffer!'	true	566.22	567.22	29.567225
501_125127_000045_000000	They ran to the rope, leaving him gasping there.	They ran to the rope, leaving him gasping there.	true	568.04	570.88	22.97807
501_125127_000045_000001	Soon, the form of the bird of prey, dead some hours, lay stretched upon the shore, with a new blast storming at it and clotting the wet hair with hail-stones.	Soon, the form of the bird of prey, dead some hours, lay stretched upon the shore, with a new blast storming at it and clotting the wet hair with hail stones.	true	571.13	580.63	17.313625
501_125127_000046_000000	Father, was that you calling me?	Father, was that you calling me?	true	581.06	583.48	26.994503
501_125127_000046_000001	Father!	Father!	true	583.79	584.77	21.964228
501_125127_000046_000002	I thought I heard you call me twice before!	I thought I heard you call me twice before!	true	585.02	587.5	20
501_125127_000046_000003	Words never to be answered, those, upon the earth-side of the grave.	Words never to be answered, those, upon the earth side of the grave.	true	588.14	592.24	16
501_125127_000046_000004	The wind sweeps jeeringly over Father, whips him with the frayed ends of his dress and his jagged hair, tries to turn him where he lies stark on his back, and force his face towards the rising sun, that he may be shamed the more.	The wind sweeps jeeringly over Father, whips him with the frayed ends of his dress and his jagged hair, tries to turn him where he lies stark on his back, and force his face towards the rising sun, that he may be shamed the more.	true	593	606.73	20.743954
501_125127_000046_000005	A lull, and the wind is secret and prying with him; lifts and lets falls a rag; hides palpitating under another rag; runs nimbly through his hair and beard.	A lull, and the wind is secret and prying with him; lifts and lets falls a rag; hides palpitating under another rag; runs nimbly through his hair and beard.	true	607.1	619.36	19.55836
501_125127_000046_000006	Then, in a rush, it cruelly taunts him.	Then, in a rush, it cruelly taunts him.	true	619.61	621.97	15
501_125127_000046_000007	Father, was that you calling me?	Father, was that you calling me?	true	622.46	624.82	23
501_125127_000046_000008	Was it you, the voiceless and the dead?	Was it you, the voiceless and the dead?	true	625.04	628.03	21
501_125127_000046_000009	Was it you, thus buffeted as you lie here in a heap?	Was it you, thus buffeted as you lie here in a heap?	false	628.19	631.93	20.39565
501_125127_000046_000010	Was it you, thus baptized unto Death, with these flying impurities now flung upon your face?	Was it you, thus baptized unto Death, with these flying impurities now flung upon your face?	true	631.94	638.17	19
501_125127_000046_000011	Why not speak, Father?	Why not speak, Father?	true	638.57	640.27	24.11811
501_125127_000046_000012	Soaking into this filthy ground as you lie here, is your own shape.	Soaking into this filthy ground as you lie here, is your own shape.	false	640.4	644.88	19.980804
501_125127_000046_000013	Did you never see such a shape soaked into your boat?	Did you never see such a shape soaked into your boat?	true	644.88	647.89	16
501_125127_000046_000014	Speak, Father.	Speak, Father.	true	648.11	649.275	24.937227
501_125127_000046_000015	Speak to us, the winds, the only listeners left you!	Speak to us, the winds, the only listeners left you!	true	649.275	653.44	18
501_125127_000047_000000	'Now see,' said Mr Inspector, after mature deliberation: kneeling on one knee beside the body, when they had stood looking down on the drowned man, as he had many a time looked down on many another man: 'the way of it was this.	'Now see,' said Mr Inspector, after mature deliberation: kneeling on one knee beside the body, when they had stood looking down on the drowned man, as he had many a time looked down on many another man: 'the way of it was this.	true	654.29	668.11	18.060555
501_125127_000047_000001	Of course you gentlemen hardly failed to observe that he was towing by the neck and arms.'	Of course you gentlemen hardly failed to observe that he was towing by the neck and arms.'	true	668.21	673.12	19
501_125127_000048_000000	They had helped to release the rope, and of course not.	They had helped to release the rope, and of course not.	true	674.18	676.66	21.087326
501_125127_000049_000000	'And you will have observed before, and you will observe now, that this knot, which was drawn chock-tight round his neck by the strain of his own arms, is a slip-knot': holding it up for demonstration.	'And you will have observed before, and you will observe now, that this knot, which was drawn chock tight round his neck by the strain of his own arms, is a slip knot': holding it up for demonstration.	true	677.39	688.66	20.890955
501_125127_000050_000000	Plain enough.	Plain enough.	true	689.12	690.19	17.456778
501_125127_000051_000000	'Likewise you will have observed how he had run the other end of this rope to his boat.'	'Likewise you will have observed how he had run the other end of this rope to his boat.'	true	690.8	695.65	22
501_125127_000052_000000	It had the curves and indentations in it still, where it had been twined and bound.	It had the curves and indentations in it still, where it had been twined and bound.	true	695.93	700.48	17
501_125127_000053_000000	'Now see,' said Mr Inspector, 'see how it works round upon him.	'Now see,' said Mr Inspector, 'see how it works round upon him.	false	701.24	705.63	17.67178
501_125127_000053_000001	It's a wild tempestuous evening when this man that was,' stooping to wipe some hailstones out of his hair with an end of his own drowned jacket, '--there!	It's a wild tempestuous evening when this man that was,' stooping to wipe some hailstones out of his hair with an end of his own drowned jacket, '--there!	true	705.63	714.73	20.962126
501_125127_000053_000002	Now he's more like himself; though he's badly bruised,--when this man that was, rows out upon the river on his usual lay.	Now he's more like himself; though he's badly bruised,--when this man that was, rows out upon the river on his usual lay.	true	715.07	722.8	21.65804
501_125127_000053_000003	He carries with him this coil of rope.	He carries with him this coil of rope.	true	722.99	725.32	21.116083
501_125127_000053_000004	He always carries with him this coil of rope.	He always carries with him this coil of rope.	false	725.54	728.085	23.658382
501_125127_000053_000005	It's as well known to me as he was himself.	It's as well known to me as he was himself.	true	728.085	730.48	19.765764
501_125127_000053_000006	Sometimes it lay in the bottom of his boat.	Sometimes it lay in the bottom of his boat.	false	730.58	733.23	19.886742
501_125127_000053_000007	Sometimes he hung it loose round his neck. He was a light-dresser was this man;--you see?' lifting the loose neckerchief over his breast, and taking the opportunity of wiping the dead lips with it--'and when it was wet, or freezing, or blew cold, he would hang this coil of line round his neck.	Sometimes he hung it loose round his neck. He was a light dresser was this man;--you see?' lifting the loose neckerchief over his breast, and taking the opportunity of wiping the dead lips with it-'and when it was wet, or freezing, or blew cold, he would hang this coil of line round his neck.	false	733.23	748.33	19.488157
501_125127_000053_000008	Last evening he does this. Worse for him!	Last evening he does this. Worse for him!	true	748.61	751.03	21.265957
501_125127_000053_000009	He dodges about in his boat, does this man, till he gets chilled.	He dodges about in his boat, does this man, till he gets chilled.	true	751.64	755.59	24.417038
501_125127_000053_000010	His hands,' taking up one of them, which dropped like a leaden weight, 'get numbed.	His hands,' taking up one of them, which dropped like a leaden weight, 'get numbed.	true	755.78	761.17	19.075605
501_125127_000053_000011	He sees some object that's in his way of business, floating.	He sees some object that's in his way of business, floating.	true	761.54	764.92	20.907295
501_125127_000053_000012	He makes ready to secure that object.	He makes ready to secure that object.	true	765.41	767.47	22.114742
501_125127_000053_000013	He unwinds the end of his coil that he wants to take some turns on in his boat, and he takes turns enough on it to secure that it shan't run out.	He unwinds the end of his coil that he wants to take some turns on in his boat, and he takes turns enough on it to secure that it shan't run out.	false	767.57	775.21	21.83464
501_125127_000053_000014	He makes it too secure, as it happens.	He makes it too secure, as it happens.	true	775.55	777.73	25.403091
501_125127_000053_000015	He is a little longer about this than usual, his hands being numbed.	He is a little longer about this than usual, his hands being numbed.	true	778.07	781.66	18.02093
501_125127_000053_000016	His object drifts up, before he is quite ready for it.	His object drifts up, before he is quite ready for it.	true	781.91	784.57	20.967249
501_125127_000053_000017	He catches at it, thinks he'll make sure of the contents of the pockets anyhow, in case he should be parted from it, bends right over the stern, and in one of these heavy squalls, or in the cross-swell of two steamers, or in not being quite prepared, or through all or most or some, gets a lurch, overbalances and goes head-foremost overboard.	He catches at it, thinks he'll make sure of the contents of the pockets anyhow, in case he should be parted from it, bends right over the stern, and in one of these heavy squalls, or in the cross swell of two steamers, or in not being quite prepared, or through all or most or some, gets a lurch, overbalances and goes head foremost overboard.	false	784.7	804.43	19.530277
501_125127_000053_000018	Now see!	Now see!	true	804.83	805.62	33.27252
501_125127_000053_000019	He can swim, can this man, and instantly he strikes out.	He can swim, can this man, and instantly he strikes out.	true	805.62	808.57	18
501_125127_000053_000020	But in such striking-out he tangles his arms, pulls strong on the slip-knot, and it runs home.	But in such striking out he tangles his arms, pulls strong on the slip knot, and it runs home.	false	808.64	813.25	20
501_125127_000053_000021	The object he had expected to take in tow, floats by, and his own boat tows him dead, to where we found him, all entangled in his own line.	The object he had expected to take in tow, floats by, and his own boat tows him dead, to where we found him, all entangled in his own line.	false	813.74	820.54	20
501_125127_000053_000022	You'll ask me how I make out about the pockets?	You'll ask me how I make out about the pockets?	true	820.76	822.94	24.84094
501_125127_000053_000023	First, I'll tell you more; there was silver in 'em.	First, I'll tell you more; there was silver in 'em.	false	822.95	825.99	19.15395
501_125127_000053_000024	How do I make that out? Simple and satisfactory.	How do I make that out? Simple and satisfactory.	true	825.99	828.79	23.9077
501_125127_000053_000025	Because he's got it here.' The lecturer held up the tightly clenched right hand.	Because he's got it here.' The lecturer held up the tightly clenched right hand.	true	828.86	833.41	22.54348
501_125127_000054_000000	'What is to be done with the remains?' asked Lightwood.	'What is to be done with the remains?' asked Lightwood.	true	833.81	836.47	20.228958
501_125127_000055_000000	'If you wouldn't object to standing by him half a minute, sir,' was the reply, 'I'll find the nearest of our men to come and take charge of him;--I still call it HIM, you see,' said Mr Inspector, looking back as he went, with a philosophical smile upon the force of habit.	'If you wouldn't object to standing by him half a minute, sir,' was the reply, 'I'll find the nearest of our men to come and take charge of him;--I still call it HIM, you see,' said Mr Inspector, looking back as he went, with a philosophical smile upon the force of habit.	true	837.47	851.98	20.298029
501_125127_000056_000000	'Eugene,' said Lightwood and was about to add 'we may wait at a little distance,' when turning his head he found that no Eugene was there.	'Eugene,' said Lightwood and was about to add 'we may wait at a little distance,' when turning his head he found that no Eugene was there.	false	852.62	861.52	19.064034
501_125127_000057_000000	He raised his voice and called 'Eugene!	He raised his voice and called 'Eugene!	true	861.86	864.15	25.98393
501_125127_000057_000001	Holloa!' But no Eugene replied.	Holloa!' But no Eugene replied.	false	864.15	866.98	27.316948
501_125127_000058_000000	It was broad daylight now, and he looked about.	It was broad daylight now, and he looked about.	true	867.95	870.52	23.211283
501_125127_000058_000001	But no Eugene was in all the view.	But no Eugene was in all the view.	true	870.74	872.98	18.193943
501_125127_000059_000000	Mr Inspector speedily returning down the wooden stairs, with a police constable, Lightwood asked him if he had seen his friend leave them?	Mr Inspector speedily returning down the wooden stairs, with a police constable, Lightwood asked him if he had seen his friend leave them?	true	873.8	880.75	19
501_125127_000059_000001	Mr Inspector could not exactly say that he had seen him go, but had noticed that he was restless.	Mr Inspector could not exactly say that he had seen him go, but had noticed that he was restless.	true	881.12	886.75	21.281319
501_125127_000060_000000	'Singular and entertaining combination, sir, your friend.'	'Singular and entertaining combination, sir, your friend.'	true	887.45	890.38	20
501_125127_000061_000000	'I wish it had not been a part of his singular entertaining combination to give me the slip under these dreary circumstances at this time of the morning,' said Lightwood. 'Can we get anything hot to drink?'	'I wish it had not been a part of his singular entertaining combination to give me the slip under these dreary circumstances at this time of the morning,' said Lightwood. 'Can we get anything hot to drink?'	false	890.66	901.48	18.639723
501_125127_000062_000000	We could, and we did.	We could, and we did.	true	902.03	903.58	22.941948
501_125127_000062_000001	In a public-house kitchen with a large fire.	In a public house kitchen with a large fire.	true	904.04	906.55	22.386677
501_125127_000062_000002	We got hot brandy and water, and it revived us wonderfully.	We got hot brandy and water, and it revived us wonderfully.	true	906.74	910	19.314266
