6006_60489_000002_000000	DISEASES OF CATS.	DISEASES OF CATS.
6006_60489_000032_000000	REMEDIES AND STRENGTHENING MEDICINES.	REMEDIES AND STRENGTHENING MEDICINES.
6006_60489_000033_000005	Santonine.	Santonine.
6006_60489_000034_000000	Mr. Frank Upjohn, of Castelnau, Barnes, has also kindly forwarded me his treatment of some few of the cat ailments.	mr Frank Upjohn, of Castelnau, Barnes, has also kindly forwarded me his treatment of some few of the cat ailments.
6006_60489_000034_000001	Mindful of the old proverb that "In a multitude of counsellors there is wisdom," I place all before my friends, and those of the cat, that they may select which remedy they deem best:	Mindful of the old proverb that "In a multitude of counsellors there is wisdom," I place all before my friends, and those of the cat, that they may select which remedy they deem best:
6006_60489_000035_000000	DISTEMPER.	DISTEMPER.
6006_60489_000036_000001	Mix for ointment.	Mix for ointment.
6006_60489_000036_000002	Then give sulphide of mercury, 3 grains, two or three times on alternate nights.	Then give sulphide of mercury, three grains, two or three times on alternate nights.
6006_60489_000037_000000	PURGATIVE.	PURGATIVE.
6006_60489_000038_000000	Nothing like castor oil for purgation; half the quantity of syrup of buckthorn, if necessary, may be added.	Nothing like castor oil for purgation; half the quantity of syrup of buckthorn, if necessary, may be added.
6006_60489_000039_000000	WORMS.	WORMS.
6006_60489_000040_000000	Two or three grains of santonine in a teaspoonful of castor oil, for two or three days.	Two or three grains of santonine in a teaspoonful of castor oil, for two or three days.
6006_60489_000041_000000	CATARRH.	CATARRH.
6006_60489_000042_000001	Mix. Give 1 teaspoonful every two or three hours.	Mix. Give one teaspoonful every two or three hours.
6006_60489_000043_000000	FLEAS, AND IRRITATION OF SKIN.	FLEAS, AND IRRITATION OF SKIN.
6006_60489_000045_000000	EYE OINTMENT.	EYE OINTMENT.
6006_60489_000046_000000	Red oxide of mercury, 12 grains; spermaceti ointment, 1 oz.	Red oxide of mercury, twelve grains; spermaceti ointment, one ounce.
6006_60489_000046_000001	Mix.	Mix.
6006_60489_000047_000000	The above prescription was given to me many years ago by the late Dr. Walsh (Stonehenge), and I have found it of great service, both for my own eyes, also those of animals and birds.	The above prescription was given to me many years ago by the late dr Walsh (Stonehenge), and I have found it of great service, both for my own eyes, also those of animals and birds.
6006_60489_000047_000001	Wash the eyes carefully with warm water, dry off with a soft silk handkerchief, and apply a little of the ointment.	Wash the eyes carefully with warm water, dry off with a soft silk handkerchief, and apply a little of the ointment.
6006_60489_000047_000002	Dr. Walsh informed me that he deemed it excellent for canker in the ear, but of that I have had no experience.	dr Walsh informed me that he deemed it excellent for canker in the ear, but of that I have had no experience.
6006_60489_000048_000000	FOR MANGE.	FOR MANGE.
6006_60489_000050_000000	Another remedy: give a teaspoonful of castor oil; next day give raw meat, dusted over with flowers of sulphur.	Another remedy: give a teaspoonful of castor oil; next day give raw meat, dusted over with flowers of sulphur.
6006_60489_000051_000001	Of all the ailments, both of dogs and cats, distemper is the worst to combat, and is so virulent and contagious that I have thought it well to offer remedies that are at least worthy of a trial, though when the complaint has firm hold, and the attack very severe, the case is generally almost hopeless, especially with high-bred animals.	Of all the ailments, both of dogs and cats, distemper is the worst to combat, and is so virulent and contagious that I have thought it well to offer remedies that are at least worthy of a trial, though when the complaint has firm hold, and the attack very severe, the case is generally almost hopeless, especially with high bred animals.
6006_60489_000052_000000	POISON.	POISON.
6006_60489_000053_000000	It is not generally known that the much-admired laburnum contains a strong poison, and is therefore an exceedingly dangerous plant.	It is not generally known that the much admired laburnum contains a strong poison, and is therefore an exceedingly dangerous plant.
6006_60489_000054_000000	A small dose of juice infused under the skin is quite sufficient to kill a cat or a dog.	A small dose of juice infused under the skin is quite sufficient to kill a cat or a dog.
6006_60489_000054_000001	Children have died from eating the seeds, of which ten or twelve were sufficient to cause death.	Children have died from eating the seeds, of which ten or twelve were sufficient to cause death.
6006_60489_000054_000003	How many cases have happened before the danger was discovered is of course only a matter of conjecture, as few would suspect the cause to come from the lovely plant that so delights the eye.	How many cases have happened before the danger was discovered is of course only a matter of conjecture, as few would suspect the cause to come from the lovely plant that so delights the eye.
