3869_699_000002_000000	Chapter VI.	Chapter six.
3869_699_000028_000001	What makes you say you will have one to-morrow?" Ivan inquired, with a peculiar, irritable curiosity.	What makes you say you will have one to morrow?" Ivan inquired, with a peculiar, irritable curiosity.
3869_699_000029_000000	"That's just so.	"That's just so.
3869_699_000029_000001	You can't tell beforehand."	You can't tell beforehand."
3869_699_000031_000000	"I climb up to the garret every day.	"I climb up to the garret every day.
3869_699_000031_000001	I might fall from the garret again to-morrow.	I might fall from the garret again to morrow.
3869_699_000031_000002	And, if not, I might fall down the cellar steps.	And, if not, I might fall down the cellar steps.
3869_699_000031_000003	I have to go into the cellar every day, too."	I have to go into the cellar every day, too."
3869_699_000032_000000	Ivan took a long look at him.	Ivan took a long look at him.
3869_699_000033_000000	"You are talking nonsense, I see, and I don't quite understand you," he said softly, but with a sort of menace.	"You are talking nonsense, I see, and I don't quite understand you," he said softly, but with a sort of menace.
3869_699_000033_000001	"Do you mean to pretend to be ill to-morrow for three days, eh?"	"Do you mean to pretend to be ill to morrow for three days, eh?"
3869_699_000034_000000	Smerdyakov, who was looking at the ground again, and playing with the toe of his right foot, set the foot down, moved the left one forward, and, grinning, articulated:	Smerdyakov, who was looking at the ground again, and playing with the toe of his right foot, set the foot down, moved the left one forward, and, grinning, articulated:
3869_699_000035_000000	"If I were able to play such a trick, that is, pretend to have a fit--and it would not be difficult for a man accustomed to them--I should have a perfect right to use such a means to save myself from death.	"If I were able to play such a trick, that is, pretend to have a fit-and it would not be difficult for a man accustomed to them-I should have a perfect right to use such a means to save myself from death.
3869_699_000035_000002	He'd be ashamed to."	He'd be ashamed to."
3869_699_000036_000001	All my brother Dmitri's threats are only hasty words and mean nothing.	All my brother Dmitri's threats are only hasty words and mean nothing.
3869_699_000037_000000	"He'd kill me first of all, like a fly.	"He'd kill me first of all, like a fly.
3869_699_000037_000001	But even more than that, I am afraid I shall be taken for an accomplice of his when he does something crazy to his father."	But even more than that, I am afraid I shall be taken for an accomplice of his when he does something crazy to his father."
3869_699_000038_000000	"Why should you be taken for an accomplice?"	"Why should you be taken for an accomplice?"
3869_699_000040_000000	"What signals?	"What signals?
3869_699_000040_000001	Whom did you tell?	Whom did you tell?
3869_699_000040_000002	Confound you, speak more plainly."	Confound you, speak more plainly."
3869_699_000041_000000	"I'm bound to admit the fact," Smerdyakov drawled with pedantic composure, "that I have a secret with Fyodor Pavlovitch in this business.	"I'm bound to admit the fact," Smerdyakov drawled with pedantic composure, "that I have a secret with Fyodor Pavlovitch in this business.
3869_699_000041_000001	As you know yourself (if only you do know it) he has for several days past locked himself in as soon as night or even evening comes on.	As you know yourself (if only you do know it) he has for several days past locked himself in as soon as night or even evening comes on.
3869_699_000041_000002	Of late you've been going upstairs to your room early every evening, and yesterday you did not come down at all, and so perhaps you don't know how carefully he has begun to lock himself in at night, and even if Grigory Vassilyevitch comes to the door he won't open to him till he hears his voice.	Of late you've been going upstairs to your room early every evening, and yesterday you did not come down at all, and so perhaps you don't know how carefully he has begun to lock himself in at night, and even if Grigory Vassilyevitch comes to the door he won't open to him till he hears his voice.
3869_699_000041_000004	That's the arrangement he made himself ever since this to-do with Agrafena Alexandrovna began.	That's the arrangement he made himself ever since this to do with Agrafena Alexandrovna began.
3869_699_000041_000007	You look out for her,' says he, 'till midnight and later; and if she does come, you run up and knock at my door or at the window from the garden.	You look out for her,' says he, 'till midnight and later; and if she does come, you run up and knock at my door or at the window from the garden.
3869_699_000041_000009	At first, two knocks, and then, after an interval, another much louder.	At first, two knocks, and then, after an interval, another much louder.
3869_699_000041_000010	Then he will understand that something has happened suddenly and that I must see him, and he will open to me so that I can go and speak to him.	Then he will understand that something has happened suddenly and that I must see him, and he will open to me so that I can go and speak to him.
3869_699_000041_000011	That's all in case Agrafena Alexandrovna can't come herself, but sends a message.	That's all in case Agrafena Alexandrovna can't come herself, but sends a message.
3869_699_000041_000012	Besides, Dmitri Fyodorovitch might come, too, so I must let him know he is near.	Besides, Dmitri Fyodorovitch might come, too, so I must let him know he is near.
3869_699_000041_000013	His honor is awfully afraid of Dmitri Fyodorovitch, so that even if Agrafena Alexandrovna had come and were locked in with him, and Dmitri Fyodorovitch were to turn up anywhere near at the time, I should be bound to let him know at once, knocking three times.	His honor is awfully afraid of Dmitri Fyodorovitch, so that even if Agrafena Alexandrovna had come and were locked in with him, and Dmitri Fyodorovitch were to turn up anywhere near at the time, I should be bound to let him know at once, knocking three times.
3869_699_000041_000014	So that the first signal of five knocks means Agrafena Alexandrovna has come, while the second signal of three knocks means 'something important to tell you.' His honor has shown me them several times and explained them.	So that the first signal of five knocks means Agrafena Alexandrovna has come, while the second signal of three knocks means 'something important to tell you.' His honor has shown me them several times and explained them.
3869_699_000041_000016	Well, those signals are known to Dmitri Fyodorovitch too, now."	Well, those signals are known to Dmitri Fyodorovitch too, now."
3869_699_000042_000000	"How are they known?	"How are they known?
3869_699_000042_000001	Did you tell him?	Did you tell him?
3869_699_000042_000002	How dared you tell him?"	How dared you tell him?"
3869_699_000043_000001	How could I dare to keep it back from him?	How could I dare to keep it back from him?
3869_699_000043_000003	I'll break both your legs for you.' So I told him those secret signals that he might see my slavish devotion, and might be satisfied that I was not deceiving him, but was telling him all I could."	I'll break both your legs for you.' So I told him those secret signals that he might see my slavish devotion, and might be satisfied that I was not deceiving him, but was telling him all I could."
3869_699_000046_000000	"Hang it!	"Hang it!
3869_699_000046_000001	How can you be so sure you are going to have a fit, confound you?	How can you be so sure you are going to have a fit, confound you?
3869_699_000046_000002	Are you laughing at me?"	Are you laughing at me?"
3869_699_000047_000001	I am in no laughing humor with this fear on me.	I am in no laughing humor with this fear on me.
3869_699_000047_000002	I feel I am going to have a fit.	I feel I am going to have a fit.
3869_699_000047_000003	I have a presentiment.	I have a presentiment.
3869_699_000047_000004	Fright alone will bring it on."	Fright alone will bring it on."
3869_699_000048_000000	"Confound it!	"Confound it!
3869_699_000048_000001	If you are laid up, Grigory will be on the watch.	If you are laid up, Grigory will be on the watch.
3869_699_000048_000002	Let Grigory know beforehand; he will be sure not to let him in."	Let Grigory know beforehand; he will be sure not to let him in."
3869_699_000049_000001	And as for Grigory Vassilyevitch hearing him and not admitting him, he has been ill ever since yesterday, and Marfa Ignatyevna intends to give him medicine to-morrow.	And as for Grigory Vassilyevitch hearing him and not admitting him, he has been ill ever since yesterday, and Marfa Ignatyevna intends to give him medicine to morrow.
3869_699_000049_000003	It's a very strange remedy of hers.	It's a very strange remedy of hers.
3869_699_000049_000004	Marfa Ignatyevna knows of a preparation and always keeps it.	Marfa Ignatyevna knows of a preparation and always keeps it.
3869_699_000049_000006	And when Grigory Vassilyevitch wakes up he is perfectly well after it, but Marfa Ignatyevna always has a headache from it.	And when Grigory Vassilyevitch wakes up he is perfectly well after it, but Marfa Ignatyevna always has a headache from it.
3869_699_000049_000007	So, if Marfa Ignatyevna carries out her intention to-morrow, they won't hear anything and hinder Dmitri Fyodorovitch. They'll be asleep."	So, if Marfa Ignatyevna carries out her intention to morrow, they won't hear anything and hinder Dmitri Fyodorovitch. They'll be asleep."
3869_699_000050_000000	"What a rigmarole!	"What a rigmarole!
3869_699_000050_000001	And it all seems to happen at once, as though it were planned.	And it all seems to happen at once, as though it were planned.
3869_699_000051_000000	"How could I?...	"How could I?...
3869_699_000051_000002	If he means to do anything, he'll do it; but if not, I shan't be thrusting him upon his father."	If he means to do anything, he'll do it; but if not, I shan't be thrusting him upon his father."
3869_699_000052_000001	"You say that yourself, and all the while I've been here, I've felt sure it was all the old man's fancy, and the creature won't come to him.	"You say that yourself, and all the while I've been here, I've felt sure it was all the old man's fancy, and the creature won't come to him.
3869_699_000052_000002	Why should Dmitri break in on him if she doesn't come? Speak, I want to know what you are thinking!"	Why should Dmitri break in on him if she doesn't come? Speak, I want to know what you are thinking!"
3869_699_000053_000000	"You know yourself why he'll come.	"You know yourself why he'll come.
3869_699_000053_000002	His honor will come simply because he is in a rage or suspicious on account of my illness perhaps, and he'll dash in, as he did yesterday through impatience to search the rooms, to see whether she hasn't escaped him on the sly.	His honor will come simply because he is in a rage or suspicious on account of my illness perhaps, and he'll dash in, as he did yesterday through impatience to search the rooms, to see whether she hasn't escaped him on the sly.
3869_699_000053_000003	He is perfectly well aware, too, that Fyodor Pavlovitch has a big envelope with three thousand roubles in it, tied up with ribbon and sealed with three seals.	He is perfectly well aware, too, that Fyodor Pavlovitch has a big envelope with three thousand roubles in it, tied up with ribbon and sealed with three seals.
3869_699_000054_000001	"Dmitri won't come to steal money and kill my father to do it.	"Dmitri won't come to steal money and kill my father to do it.
3869_699_000054_000002	He might have killed him yesterday on account of Grushenka, like the frantic, savage fool he is, but he won't steal."	He might have killed him yesterday on account of Grushenka, like the frantic, savage fool he is, but he won't steal."
3869_699_000055_000001	You don't know in what need he is," Smerdyakov explained, with perfect composure and remarkable distinctness.	You don't know in what need he is," Smerdyakov explained, with perfect composure and remarkable distinctness.
3869_699_000055_000002	"He looks on that three thousand as his own, too.	"He looks on that three thousand as his own, too.
3869_699_000055_000003	He said so to me himself.	He said so to me himself.
3869_699_000055_000004	'My father still owes me just three thousand,' he said.	'My father still owes me just three thousand,' he said.
3869_699_000055_000006	It's as good as certain, so to say, that Agrafena Alexandrovna will force him, if only she cares to, to marry her--the master himself, I mean, Fyodor Pavlovitch--if only she cares to, and of course she may care to.	It's as good as certain, so to say, that Agrafena Alexandrovna will force him, if only she cares to, to marry her-the master himself, I mean, Fyodor Pavlovitch-if only she cares to, and of course she may care to.
3869_699_000055_000007	All I've said is that she won't come, but maybe she's looking for more than that--I mean to be mistress here.	All I've said is that she won't come, but maybe she's looking for more than that-I mean to be mistress here.
3869_699_000055_000009	And she's got plenty of sense.	And she's got plenty of sense.
3869_699_000055_000012	But if your father were to die now, there'd be some forty thousand for sure, even for Dmitri Fyodorovitch whom he hates so, for he's made no will....	But if your father were to die now, there'd be some forty thousand for sure, even for Dmitri Fyodorovitch whom he hates so, for he's made no will....
3869_699_000055_000013	Dmitri Fyodorovitch knows all that very well."	Dmitri Fyodorovitch knows all that very well."
3869_699_000056_000000	A sort of shudder passed over Ivan's face.	A sort of shudder passed over Ivan's face.
3869_699_000056_000001	He suddenly flushed.	He suddenly flushed.
3869_699_000057_000001	What did you mean by that?	What did you mean by that?
3869_699_000058_000000	"Precisely so," said Smerdyakov, softly and reasonably, watching Ivan intently, however.	"Precisely so," said Smerdyakov, softly and reasonably, watching Ivan intently, however.
3869_699_000059_000000	"What do you mean by 'precisely so'?" Ivan questioned him, with a menacing light in his eyes, restraining himself with difficulty.	"What do you mean by 'precisely so'?" Ivan questioned him, with a menacing light in his eyes, restraining himself with difficulty.
3869_699_000060_000000	"I spoke because I felt sorry for you.	"I spoke because I felt sorry for you.
3869_699_000060_000001	If I were in your place I should simply throw it all up ... rather than stay on in such a position," answered Smerdyakov, with the most candid air looking at Ivan's flashing eyes.	If I were in your place I should simply throw it all up ... rather than stay on in such a position," answered Smerdyakov, with the most candid air looking at Ivan's flashing eyes.
3869_699_000060_000002	They were both silent.	They were both silent.
3869_699_000061_000001	He was about to pass straight through the gate, but he stopped short and turned to Smerdyakov.	He was about to pass straight through the gate, but he stopped short and turned to Smerdyakov.
3869_699_000061_000002	Something strange followed.	Something strange followed.
3869_699_000062_000000	"I am going away to Moscow to-morrow, if you care to know--early to-morrow morning.	"I am going away to Moscow to morrow, if you care to know-early to morrow morning.
3869_699_000062_000001	That's all!" he suddenly said aloud angrily, and wondered himself afterwards what need there was to say this then to Smerdyakov.	That's all!" he suddenly said aloud angrily, and wondered himself afterwards what need there was to say this then to Smerdyakov.
3869_699_000063_000000	"That's the best thing you can do," he responded, as though he had expected to hear it; "except that you can always be telegraphed for from Moscow, if anything should happen here."	"That's the best thing you can do," he responded, as though he had expected to hear it; "except that you can always be telegraphed for from Moscow, if anything should happen here."
3869_699_000064_000000	Ivan stopped again, and again turned quickly to Smerdyakov.	Ivan stopped again, and again turned quickly to Smerdyakov.
3869_699_000064_000001	But a change had passed over him, too.	But a change had passed over him, too.
3869_699_000064_000002	All his familiarity and carelessness had completely disappeared.	All his familiarity and carelessness had completely disappeared.
3869_699_000064_000003	His face expressed attention and expectation, intent but timid and cringing.	His face expressed attention and expectation, intent but timid and cringing.
3869_699_000067_000000	"From Tchermashnya, too ... you could be sent for," Smerdyakov muttered, almost in a whisper, looking disconcerted, but gazing intently into Ivan's eyes.	"From Tchermashnya, too ... you could be sent for," Smerdyakov muttered, almost in a whisper, looking disconcerted, but gazing intently into Ivan's eyes.
3869_699_000068_000000	"Only Moscow is farther and Tchermashnya is nearer.	"Only Moscow is farther and Tchermashnya is nearer.
3869_699_000068_000001	Is it to save my spending money on the fare, or to save my going so far out of my way, that you insist on Tchermashnya?"	Is it to save my spending money on the fare, or to save my going so far out of my way, that you insist on Tchermashnya?"
