3869_699_000000_000000	Ivan turned suddenly and went his way without looking back.	Ivan turned suddenly and went his way without looking back.	false	0	1.38	24.14763
3869_699_000007_000003	Afterwards, as he talked, Smerdyakov had been forgotten for the time; but still he had been in his mind, and as soon as Ivan parted with Alyosha and was walking home, the forgotten sensation began to obtrude itself again.	Afterwards, as he talked, Smerdyakov had been forgotten for the time; but still he had been in his mind, and as soon as Ivan parted with Alyosha and was walking home, the forgotten sensation began to obtrude itself again.	true	240.29	254.23	22.538927
3869_699_000007_000004	"Is it possible that a miserable, contemptible creature like that can worry me so much?" he wondered, with insufferable irritation.	"Is it possible that a miserable, contemptible creature like that can worry me so much?" he wondered, with insufferable irritation.	true	254.84	262.93	25.15861
3869_699_000008_000000	It was true that Ivan had come of late to feel an intense dislike for the man, especially during the last few days.	It was true that Ivan had come of late to feel an intense dislike for the man, especially during the last few days.	false	263.48	270.4	23.661512
3869_699_000008_000001	He had even begun to notice in himself a growing feeling that was almost of hatred for the creature. Perhaps this hatred was accentuated by the fact that when Ivan first came to the neighborhood he had felt quite differently.	He had even begun to notice in himself a growing feeling that was almost of hatred for the creature. Perhaps this hatred was accentuated by the fact that when Ivan first came to the neighborhood he had felt quite differently.	true	270.65	283.66	22.61132
3869_699_000008_000002	Then he had taken a marked interest in Smerdyakov, and had even thought him very original.	Then he had taken a marked interest in Smerdyakov, and had even thought him very original.	true	284	289.24	22.841463
3869_699_000008_000003	He had encouraged him to talk to him, although he had always wondered at a certain incoherence, or rather restlessness, in his mind, and could not understand what it was that so continually and insistently worked upon the brain of "the contemplative." They discussed philosophical questions and even how there could have been light on the first day when the sun, moon, and stars were only created on the fourth day, and how that was to be understood.	He had encouraged him to talk to him, although he had always wondered at a certain incoherence, or rather restlessness, in his mind, and could not understand what it was that so continually and insistently worked upon the brain of "the contemplative." They discussed philosophical questions and even how there could have been light on the first day when the sun, moon, and stars were only created on the fourth day, and how that was to be understood.	false	289.61	315.58	22.874762
3869_699_000008_000004	But Ivan soon saw that, though the sun, moon, and stars might be an interesting subject, yet that it was quite secondary to Smerdyakov, and that he was looking for something altogether different.	But Ivan soon saw that, though the sun, moon, and stars might be an interesting subject, yet that it was quite secondary to Smerdyakov, and that he was looking for something altogether different.	false	315.71	327.225	22.285664
3869_699_000008_000005	In one way and another, he began to betray a boundless vanity, and a wounded vanity, too, and that Ivan disliked.	In one way and another, he began to betray a boundless vanity, and a wounded vanity, too, and that Ivan disliked.	false	327.225	334.9	20.31893
3869_699_000008_000006	It had first given rise to his aversion.	It had first given rise to his aversion.	true	335.24	337.54	22.269068
3869_699_000008_000007	Later on, there had been trouble in the house.	Later on, there had been trouble in the house.	true	337.61	340.33	18.656591
3869_699_000008_000008	Grushenka had come on the scene, and there had been the scandals with his brother Dmitri--they discussed that, too.	Grushenka had come on the scene, and there had been the scandals with his brother Dmitri-they discussed that, too.	true	340.34	346.81	24.444519
3869_699_000008_000009	But though Smerdyakov always talked of that with great excitement, it was impossible to discover what he desired to come of it.	But though Smerdyakov always talked of that with great excitement, it was impossible to discover what he desired to come of it.	true	347.21	354.97	23.96024
3869_699_000008_000010	There was, in fact, something surprising in the illogicality and incoherence of some of his desires, accidentally betrayed and always vaguely expressed. Smerdyakov was always inquiring, putting certain indirect but obviously premeditated questions, but what his object was he did not explain, and usually at the most important moment he would break off and relapse into silence or pass to another subject.	There was, in fact, something surprising in the illogicality and incoherence of some of his desires, accidentally betrayed and always vaguely expressed. Smerdyakov was always inquiring, putting certain indirect but obviously premeditated questions, but what his object was he did not explain, and usually at the most important moment he would break off and relapse into silence or pass to another subject.	false	355.19	381.765	23.496113
3869_699_000008_000011	But what finally irritated Ivan most and confirmed his dislike for him was the peculiar, revolting familiarity which Smerdyakov began to show more and more markedly.	But what finally irritated Ivan most and confirmed his dislike for him was the peculiar, revolting familiarity which Smerdyakov began to show more and more markedly.	true	381.765	392.34	22.066614
3869_699_000008_000012	Not that he forgot himself and was rude; on the contrary, he always spoke very respectfully, yet he had obviously begun to consider--goodness knows why!--that there was some sort of understanding between him and Ivan Fyodorovitch.	Not that he forgot himself and was rude; on the contrary, he always spoke very respectfully, yet he had obviously begun to consider-goodness knows why!--that there was some sort of understanding between him and Ivan Fyodorovitch.	false	392.34	406.74	23.14471
3869_699_000008_000013	He always spoke in a tone that suggested that those two had some kind of compact, some secret between them, that had at some time been expressed on both sides, only known to them and beyond the comprehension of those around them.	He always spoke in a tone that suggested that those two had some kind of compact, some secret between them, that had at some time been expressed on both sides, only known to them and beyond the comprehension of those around them.	true	406.74	420.24	23.334854
3869_699_000008_000014	But for a long while Ivan did not recognize the real cause of his growing dislike and he had only lately realized what was at the root of it.	But for a long while Ivan did not recognize the real cause of his growing dislike and he had only lately realized what was at the root of it.	false	420.24	427.66	22.45478
3869_699_000009_000000	With a feeling of disgust and irritation he tried to pass in at the gate without speaking or looking at Smerdyakov.	With a feeling of disgust and irritation he tried to pass in at the gate without speaking or looking at Smerdyakov.	true	428.03	434.89	24.381678
3869_699_000009_000001	But Smerdyakov rose from the bench, and from that action alone, Ivan knew instantly that he wanted particularly to talk to him.	But Smerdyakov rose from the bench, and from that action alone, Ivan knew instantly that he wanted particularly to talk to him.	false	435.23	442.56	24.340849
3869_699_000009_000002	Ivan looked at him and stopped, and the fact that he did stop, instead of passing by, as he meant to the minute before, drove him to fury.	Ivan looked at him and stopped, and the fact that he did stop, instead of passing by, as he meant to the minute before, drove him to fury.	false	442.56	451.27	26.316507
3869_699_000009_000003	With anger and repulsion he looked at Smerdyakov's emasculate, sickly face, with the little curls combed forward on his forehead.	With anger and repulsion he looked at Smerdyakov's emasculate, sickly face, with the little curls combed forward on his forehead.	true	451.79	459.91	23.560453
3869_699_000009_000004	His left eye winked and he grinned as if to say, "Where are you going?	His left eye winked and he grinned as if to say, "Where are you going?	true	460.1	464.62	22.22918
3869_699_000009_000005	You won't pass by; you see that we two clever people have something to say to each other."	You won't pass by; you see that we two clever people have something to say to each other."	true	464.63	470.04	25.762245
3869_699_000010_000000	Ivan shook.	Ivan shook.	false	470.04	471.85	26.699986
3869_699_000010_000001	"Get away, miserable idiot.	"Get away, miserable idiot.	true	472.31	474.19	23.784904
3869_699_000010_000002	What have I to do with you?" was on the tip of his tongue, but to his profound astonishment he heard himself say, "Is my father still asleep, or has he waked?"	What have I to do with you?" was on the tip of his tongue, but to his profound astonishment he heard himself say, "Is my father still asleep, or has he waked?"	true	474.35	484.75	23.390982
3869_699_000011_000000	He asked the question softly and meekly, to his own surprise, and at once, again to his own surprise, sat down on the bench.	He asked the question softly and meekly, to his own surprise, and at once, again to his own surprise, sat down on the bench.	true	485.03	493.39	24.766397
3869_699_000011_000001	For an instant he felt almost frightened; he remembered it afterwards.	For an instant he felt almost frightened; he remembered it afterwards.	true	493.82	497.8	23.9192
3869_699_000011_000002	Smerdyakov stood facing him, his hands behind his back, looking at him with assurance and almost severity.	Smerdyakov stood facing him, his hands behind his back, looking at him with assurance and almost severity.	true	498.11	505.09	24.852844
3869_699_000012_000000	"His honor is still asleep," he articulated deliberately ("You were the first to speak, not I," he seemed to say).	"His honor is still asleep," he articulated deliberately ("You were the first to speak, not I," he seemed to say).	true	505.49	513.61	21.932737
3869_699_000012_000001	"I am surprised at you, sir," he added, after a pause, dropping his eyes affectedly, setting his right foot forward, and playing with the tip of his polished boot.	"I am surprised at you, sir," he added, after a pause, dropping his eyes affectedly, setting his right foot forward, and playing with the tip of his polished boot.	true	514.34	524.53	24.674072
3869_699_000013_000000	"Why are you surprised at me?" Ivan asked abruptly and sullenly, doing his utmost to restrain himself, and suddenly realizing, with disgust, that he was feeling intense curiosity and would not, on any account, have gone away without satisfying it.	"Why are you surprised at me?" Ivan asked abruptly and sullenly, doing his utmost to restrain himself, and suddenly realizing, with disgust, that he was feeling intense curiosity and would not, on any account, have gone away without satisfying it.	false	525.11	541.11	24.658894
3869_699_000014_000000	"Why don't you go to Tchermashnya, sir?" Smerdyakov suddenly raised his eyes and smiled familiarly.	"Why don't you go to Tchermashnya, sir?" Smerdyakov suddenly raised his eyes and smiled familiarly.	false	541.11	548.98	23.439182
3869_699_000014_000001	"Why I smile you must understand of yourself, if you are a clever man," his screwed-up left eye seemed to say.	"Why I smile you must understand of yourself, if you are a clever man," his screwed up left eye seemed to say.	true	549.62	557.08	23.808907
3869_699_000015_000000	"Why should I go to Tchermashnya?" Ivan asked in surprise.	"Why should I go to Tchermashnya?" Ivan asked in surprise.	true	557.3	562.18	22.611547
3869_699_000016_000000	Smerdyakov was silent again.	Smerdyakov was silent again.	true	562.19	564.75	23.755087
3869_699_000017_000000	"Fyodor Pavlovitch himself has so begged you to," he said at last, slowly and apparently attaching no significance to his answer.	"Fyodor Pavlovitch himself has so begged you to," he said at last, slowly and apparently attaching no significance to his answer.	false	564.75	572.08	22.297274
3869_699_000017_000001	"I put you off with a secondary reason," he seemed to suggest, "simply to say something."	"I put you off with a secondary reason," he seemed to suggest, "simply to say something."	true	572.54	578.77	23.352728
3869_699_000018_000000	"Damn you!	"Damn you!	true	579.23	580.215	24.603426
3869_699_000018_000001	Speak out what you want!" Ivan cried angrily at last, passing from meekness to violence.	Speak out what you want!" Ivan cried angrily at last, passing from meekness to violence.	false	580.215	586.39	23.807446
3869_699_000019_000000	Smerdyakov drew his right foot up to his left, pulled himself up, but still looked at him with the same serenity and the same little smile.	Smerdyakov drew his right foot up to his left, pulled himself up, but still looked at him with the same serenity and the same little smile.	true	586.85	595.48	23.03616
3869_699_000020_000000	"Substantially nothing--but just by way of conversation."	"Substantially nothing-but just by way of conversation."	true	595.58	600.42	25.24759
3869_699_000021_000000	Another silence followed.	Another silence followed.	false	600.42	602.41	22.92134
3869_699_000021_000001	They did not speak for nearly a minute.	They did not speak for nearly a minute.	true	602.54	604.47	27.353865
3869_699_000021_000002	Ivan knew that he ought to get up and show anger, and Smerdyakov stood before him and seemed to be waiting as though to see whether he would be angry or not.	Ivan knew that he ought to get up and show anger, and Smerdyakov stood before him and seemed to be waiting as though to see whether he would be angry or not.	false	604.47	613.24	21.448198
3869_699_000021_000003	So at least it seemed to Ivan.	So at least it seemed to Ivan.	false	613.64	616.14	23.074192
3869_699_000021_000004	At last he moved to get up.	At last he moved to get up.	true	616.14	617.95	29.326313
3869_699_000021_000005	Smerdyakov seemed to seize the moment.	Smerdyakov seemed to seize the moment.	true	618.26	621.34	24.86505
3869_699_000022_000000	"I'm in an awful position, Ivan Fyodorovitch.	"I'm in an awful position, Ivan Fyodorovitch.	false	621.44	623.95	21.114305
3869_699_000022_000001	I don't know how to help myself," he said resolutely and distinctly, and at his last word he sighed.	I don't know how to help myself," he said resolutely and distinctly, and at his last word he sighed.	true	624.11	630.66	22.301514
3869_699_000022_000002	Ivan Fyodorovitch sat down again.	Ivan Fyodorovitch sat down again.	false	630.66	633.9	23.824484
3869_699_000023_000000	"They are both utterly crazy, they are no better than little children," Smerdyakov went on.	"They are both utterly crazy, they are no better than little children," Smerdyakov went on.	false	633.9	640.39	23.210993
3869_699_000023_000001	"I am speaking of your parent and your brother Dmitri Fyodorovitch.	"I am speaking of your parent and your brother Dmitri Fyodorovitch.	true	640.88	644.23	24
3869_699_000023_000002	Here Fyodor Pavlovitch will get up directly and begin worrying me every minute, 'Has she come?	Here Fyodor Pavlovitch will get up directly and begin worrying me every minute, 'Has she come?	true	644.63	650.46	22.328476
3869_699_000023_000003	Why hasn't she come?' and so on up till midnight and even after midnight.	Why hasn't she come?' and so on up till midnight and even after midnight.	true	650.46	655.77	22.172607
3869_699_000023_000004	And if Agrafena Alexandrovna doesn't come (for very likely she does not mean to come at all) then he will be at me again to-morrow morning, 'Why hasn't she come?	And if Agrafena Alexandrovna doesn't come (for very likely she does not mean to come at all) then he will be at me again to morrow morning, 'Why hasn't she come?	false	655.77	665.4	22.876244
3869_699_000023_000005	When will she come?'--as though I were to blame for it.	When will she come?'--as though I were to blame for it.	true	665.4	668.95	28.392174
3869_699_000023_000006	On the other side it's no better. As soon as it gets dark, or even before, your brother will appear with his gun in his hands: 'Look out, you rogue, you soup-maker.	On the other side it's no better. As soon as it gets dark, or even before, your brother will appear with his gun in his hands: 'Look out, you rogue, you soup maker.	true	668.99	677.46	21.370644
3869_699_000023_000007	If you miss her and don't let me know she's been--I'll kill you before any one.' When the night's over, in the morning, he, too, like Fyodor Pavlovitch, begins worrying me to death.	If you miss her and don't let me know she's been-I'll kill you before any one.' When the night's over, in the morning, he, too, like Fyodor Pavlovitch, begins worrying me to death.	true	677.46	687.55	24.073486
3869_699_000023_000008	'Why hasn't she come?	'Why hasn't she come?	true	687.83	689.175	23.514477
3869_699_000023_000009	Will she come soon?' And he, too, thinks me to blame because his lady hasn't come.	Will she come soon?' And he, too, thinks me to blame because his lady hasn't come.	true	689.175	694.03	24.862223
3869_699_000023_000010	And every day and every hour they get angrier and angrier, so that I sometimes think I shall kill myself in a fright.	And every day and every hour they get angrier and angrier, so that I sometimes think I shall kill myself in a fright.	true	694.16	699.855	17
3869_699_000023_000011	I can't depend upon them, sir."	I can't depend upon them, sir."	false	699.855	702.34	22.286402
3869_699_000024_000000	"And why have you meddled?	"And why have you meddled?	true	703.01	704.58	21.593555
3869_699_000024_000001	Why did you begin to spy for Dmitri Fyodorovitch?" said Ivan irritably.	Why did you begin to spy for Dmitri Fyodorovitch?" said Ivan irritably.	true	704.58	709.75	24.180136
3869_699_000025_000000	"How could I help meddling?	"How could I help meddling?	true	710.06	711.55	23.135298
3869_699_000025_000001	Though, indeed, I haven't meddled at all, if you want to know the truth of the matter.	Though, indeed, I haven't meddled at all, if you want to know the truth of the matter.	true	711.74	715.15	20.571886
3869_699_000025_000002	I kept quiet from the very beginning, not daring to answer; but he pitched on me to be his servant. He has had only one thing to say since: 'I'll kill you, you scoundrel, if you miss her,' I feel certain, sir, that I shall have a long fit to-morrow."	I kept quiet from the very beginning, not daring to answer; but he pitched on me to be his servant. He has had only one thing to say since: 'I'll kill you, you scoundrel, if you miss her,' I feel certain, sir, that I shall have a long fit to morrow."	true	715.64	731.91	22.971529
3869_699_000026_000000	"What do you mean by 'a long fit'?"	"What do you mean by 'a long fit'?"	false	731.91	734.58	26.337732
3869_699_000027_000000	"A long fit, lasting a long time--several hours, or perhaps a day or two. Once it went on for three days.	"A long fit, lasting a long time-several hours, or perhaps a day or two. Once it went on for three days.	false	734.58	741.72	23.810246
3869_699_000027_000001	I fell from the garret that time.	I fell from the garret that time.	true	741.72	743.68	22.585573
3869_699_000027_000002	The struggling ceased and then began again, and for three days I couldn't come back to my senses.	The struggling ceased and then began again, and for three days I couldn't come back to my senses.	true	743.9	748.93	22.940405
3869_699_000027_000003	Fyodor Pavlovitch sent for Herzenstube, the doctor here, and he put ice on my head and tried another remedy, too....	Fyodor Pavlovitch sent for Herzenstube, the doctor here, and he put ice on my head and tried another remedy, too....	false	749.33	755.59	21.99492
3869_699_000027_000004	I might have died."	I might have died."	true	755.72	757.23	21.355383
3869_699_000028_000000	"But they say one can't tell with epilepsy when a fit is coming.	"But they say one can't tell with epilepsy when a fit is coming.	false	757.23	761.38	23.79867
3869_699_000028_000001	What makes you say you will have one to-morrow?" Ivan inquired, with a peculiar, irritable curiosity.	What makes you say you will have one to morrow?" Ivan inquired, with a peculiar, irritable curiosity.	true	761.57	768.04	21.075157
3869_699_000029_000000	"That's just so.	"That's just so.	true	768.11	769.48	25.464155
3869_699_000029_000001	You can't tell beforehand."	You can't tell beforehand."	true	769.58	771.81	23.849058
3869_699_000030_000000	"Besides, you fell from the garret then."	"Besides, you fell from the garret then."	false	771.81	775.24	22.561152
3869_699_000031_000000	"I climb up to the garret every day.	"I climb up to the garret every day.	true	775.52	777.55	25.257795
3869_699_000031_000001	I might fall from the garret again to-morrow.	I might fall from the garret again to morrow.	true	777.62	780.12	23.474674
3869_699_000031_000002	And, if not, I might fall down the cellar steps.	And, if not, I might fall down the cellar steps.	true	780.12	782.5	21.619555
3869_699_000031_000003	I have to go into the cellar every day, too."	I have to go into the cellar every day, too."	true	782.66	785.62	23.04638
3869_699_000032_000000	Ivan took a long look at him.	Ivan took a long look at him.	true	786.47	788.79	23.242695
3869_699_000033_000000	"You are talking nonsense, I see, and I don't quite understand you," he said softly, but with a sort of menace.	"You are talking nonsense, I see, and I don't quite understand you," he said softly, but with a sort of menace.	true	788.79	795.31	22.46211
3869_699_000033_000001	"Do you mean to pretend to be ill to-morrow for three days, eh?"	"Do you mean to pretend to be ill to morrow for three days, eh?"	true	795.62	799.59	23.935415
3869_699_000034_000000	Smerdyakov, who was looking at the ground again, and playing with the toe of his right foot, set the foot down, moved the left one forward, and, grinning, articulated:	Smerdyakov, who was looking at the ground again, and playing with the toe of his right foot, set the foot down, moved the left one forward, and, grinning, articulated:	true	799.59	808.12	24.465208
3869_699_000035_000000	"If I were able to play such a trick, that is, pretend to have a fit--and it would not be difficult for a man accustomed to them--I should have a perfect right to use such a means to save myself from death.	"If I were able to play such a trick, that is, pretend to have a fit-and it would not be difficult for a man accustomed to them-I should have a perfect right to use such a means to save myself from death.	true	808.43	819.16	25.133242
3869_699_000035_000001	For even if Agrafena Alexandrovna comes to see his father while I am ill, his honor can't blame a sick man for not telling him.	For even if Agrafena Alexandrovna comes to see his father while I am ill, his honor can't blame a sick man for not telling him.	true	819.23	826.54	19
3869_699_000035_000002	He'd be ashamed to."	He'd be ashamed to."	true	826.55	828.73	22.968899
3869_699_000036_000000	"Hang it all!" Ivan cried, his face working with anger, "why are you always in such a funk for your life?	"Hang it all!" Ivan cried, his face working with anger, "why are you always in such a funk for your life?	false	828.77	835.8	22.184805
3869_699_000036_000001	All my brother Dmitri's threats are only hasty words and mean nothing.	All my brother Dmitri's threats are only hasty words and mean nothing.	true	835.8	839.85	24.141153
3869_699_000036_000002	He won't kill you; it's not you he'll kill!"	He won't kill you; it's not you he'll kill!"	false	839.85	843.85	26.4794
3869_699_000037_000000	"He'd kill me first of all, like a fly.	"He'd kill me first of all, like a fly.	true	844.28	846.73	22.726635
3869_699_000037_000001	But even more than that, I am afraid I shall be taken for an accomplice of his when he does something crazy to his father."	But even more than that, I am afraid I shall be taken for an accomplice of his when he does something crazy to his father."	true	846.77	853.18	24.117151
3869_699_000038_000000	"Why should you be taken for an accomplice?"	"Why should you be taken for an accomplice?"	true	853.73	856.38	24.672676
3869_699_000039_000000	"They'll think I am an accomplice, because I let him know the signals as a great secret."	"They'll think I am an accomplice, because I let him know the signals as a great secret."	false	856.38	862.15	19.195225
3869_699_000040_000000	"What signals?	"What signals?	true	862.37	863.44	26.193922
3869_699_000040_000001	Whom did you tell?	Whom did you tell?	true	863.57	864.64	29.281483
3869_699_000040_000002	Confound you, speak more plainly."	Confound you, speak more plainly."	true	864.71	867.36	22.870745
3869_699_000041_000000	"I'm bound to admit the fact," Smerdyakov drawled with pedantic composure, "that I have a secret with Fyodor Pavlovitch in this business.	"I'm bound to admit the fact," Smerdyakov drawled with pedantic composure, "that I have a secret with Fyodor Pavlovitch in this business.	true	867.36	875.92	23.690292
3869_699_000041_000001	As you know yourself (if only you do know it) he has for several days past locked himself in as soon as night or even evening comes on.	As you know yourself (if only you do know it) he has for several days past locked himself in as soon as night or even evening comes on.	true	876.26	884.35	22.72379
3869_699_000041_000002	Of late you've been going upstairs to your room early every evening, and yesterday you did not come down at all, and so perhaps you don't know how carefully he has begun to lock himself in at night, and even if Grigory Vassilyevitch comes to the door he won't open to him till he hears his voice.	Of late you've been going upstairs to your room early every evening, and yesterday you did not come down at all, and so perhaps you don't know how carefully he has begun to lock himself in at night, and even if Grigory Vassilyevitch comes to the door he won't open to him till he hears his voice.	true	884.9	899.95	21.720448
3869_699_000041_000003	But Grigory Vassilyevitch does not come, because I wait upon him alone in his room now.	But Grigory Vassilyevitch does not come, because I wait upon him alone in his room now.	true	900.44	905.11	19.398838
3869_699_000041_000004	That's the arrangement he made himself ever since this to-do with Agrafena Alexandrovna began.	That's the arrangement he made himself ever since this to do with Agrafena Alexandrovna began.	true	905.33	910.72	20.924936
