8677_246948_000000_000000	CHAPTER XXVII.	CHAPTER twenty seven.	false	0.15	17.625	22.606077
8677_246948_000019_000000	The little prophet's head as he stood, did not reach the level of the draper's as he sat, but at this Drew dropped his head on his hands upon the table, as if bowed down by a weight of thought and feeling and worship.	The little prophet's head as he stood, did not reach the level of the draper's as he sat, but at this Drew dropped his head on his hands upon the table, as if bowed down by a weight of thought and feeling and worship.	true	506.51	517.86	17
8677_246948_000020_000000	"I say not," Polwarth went on, "that so doing you will grow a rich man, but I say that so doing you will be saved from growing too rich, and that you will be a fellow-worker with God for the salvation of his world."	"I say not," Polwarth went on, "that so doing you will grow a rich man, but I say that so doing you will be saved from growing too rich, and that you will be a fellow worker with God for the salvation of his world."	false	517.86	528.975	15
8677_246948_000021_000000	"I must live; I cannot give my goods away!" murmured Mr. Drew, thinkingly, as one that sought enlightenment.	"I must live; I cannot give my goods away!" murmured mr Drew, thinkingly, as one that sought enlightenment.	true	528.975	535	17
8677_246948_000022_000000	"That would be to go direct against the order of his world," said Polwarth.	"That would be to go direct against the order of his world," said Polwarth.	true	535.37	539.4	16
8677_246948_000022_000001	"No; a harder task is yours, Mr. Drew--to make your business a gain to you, and at the same time to be not only what is commonly counted just, but interested in, and careful of, and caring for your neighbour, as a servant of the God of bounty who giveth to all men liberally.	"No; a harder task is yours, mr Drew-to make your business a gain to you, and at the same time to be not only what is commonly counted just, but interested in, and careful of, and caring for your neighbour, as a servant of the God of bounty who giveth to all men liberally.	true	539.4	554.59	16
8677_246948_000022_000002	Your calling is to do the best for your neighbour that you reasonably can."	Your calling is to do the best for your neighbour that you reasonably can."	true	555.14	558.46	13
8677_246948_000023_000000	"But who is to fix what is reasonable?" asked Drew.	"But who is to fix what is reasonable?" asked Drew.	true	558.56	561.76	18
8677_246948_000024_000000	"The man himself, thinking in the presence of Jesus Christ.	"The man himself, thinking in the presence of Jesus Christ.	true	562.01	565	18
8677_246948_000024_000001	There is a holy moderation which is of God."	There is a holy moderation which is of God."	true	565.01	567.465	17.780367
8677_246948_000025_000000	"There won't be many fortunes--great fortunes--made after that rule, Mr. Polwarth."	"There won't be many fortunes-great fortunes-made after that rule, mr Polwarth."	true	567.465	572.14	18
8677_246948_000026_000000	"Very few."	"Very few."	true	572.36	573.28	20.348969
8677_246948_000027_000000	"Then do you say that no great fortunes have been righteously made?"	"Then do you say that no great fortunes have been righteously made?"	true	573.86	577.03	17
8677_246948_000028_000000	"If RIGHTEOUSLY means AFTER THE FASHION OF JESUS CHRIST.--But I will not judge: that is for the God-enlightened conscience of the man himself to do--not for his neighbour's.	"If RIGHTEOUSLY means AFTER THE FASHION OF JESUS CHRIST.--But I will not judge: that is for the God enlightened conscience of the man himself to do-not for his neighbour's.	true	577.43	586.42	18.73825
8677_246948_000028_000001	Why should I be judged by another man's conscience?--But you see, Mr. Drew,--and this is what I was driving at--that you have it in your power to SERVE God, through the needs of his children, all the working day, from morning to night, so long as there is a customer in your shop."	Why should I be judged by another man's conscience?--But you see, mr Drew,--and this is what I was driving at-that you have it in your power to SERVE God, through the needs of his children, all the working day, from morning to night, so long as there is a customer in your shop."	true	586.85	600.19	17
8677_246948_000029_000000	"I do think you are right, sir," said the linen-draper.	"I do think you are right, sir," said the linen draper.	true	600.68	603.48	18
8677_246948_000029_000001	"I had a glimpse of the same thing the other night myself.	"I had a glimpse of the same thing the other night myself.	true	603.48	606.57	16
8677_246948_000029_000002	And yet it seems as if you spoke of a purely ideal state--one that could not be realised in this world."	And yet it seems as if you spoke of a purely ideal state-one that could not be realised in this world."	true	606.57	612.1	13
8677_246948_000030_000000	"Purely ideal or not, one thing is certain: it will never be reached by one who is so indifferent to it as to believe it impossible.	"Purely ideal or not, one thing is certain: it will never be reached by one who is so indifferent to it as to believe it impossible.	true	612.59	619.75	17
8677_246948_000030_000001	Whether it may be reached in this world or not, that is a question of NO consequence; whether a man has begun to REACH AFTER it, is of the utmost awfulness of import.	Whether it may be reached in this world or not, that is a question of NO consequence; whether a man has begun to REACH AFTER it, is of the utmost awfulness of import.	true	620.15	629.41	18
8677_246948_000030_000002	And should it be ideal, which I doubt, what else than the ideal have the followers of the ideal man to do with?"	And should it be ideal, which I doubt, what else than the ideal have the followers of the ideal man to do with?"	false	629.42	635.14	18
8677_246948_000031_000000	"Can a man reach anything ideal before he has God dwelling in him--filling every cranny of his soul?" asked the curate with shining eyes.	"Can a man reach anything ideal before he has God dwelling in him-filling every cranny of his soul?" asked the curate with shining eyes.	false	635.24	642.94	17
8677_246948_000032_000000	"Nothing, I do most solemnly believe," answered Polwarth.	"Nothing, I do most solemnly believe," answered Polwarth.	true	643.34	646.27	18
8677_246948_000032_000001	"It weighs on me heavily sometimes," he resumed, after a pause, "to think how far all but a few are from being able even to entertain the idea of the indwelling in them of the original power of their life.	"It weighs on me heavily sometimes," he resumed, after a pause, "to think how far all but a few are from being able even to entertain the idea of the indwelling in them of the original power of their life.	true	646.28	656.77	13
8677_246948_000032_000002	True, God is in every man, else how could he live the life he does live? but that life God keeps alive for the hour when he shall inform the will, the aspiration, the imagination of the man.	True, God is in every man, else how could he live the life he does live? but that life God keeps alive for the hour when he shall inform the will, the aspiration, the imagination of the man.	true	657.02	668.26	19
8677_246948_000032_000003	When the man throws wide his door to the Father of his spirit, when his individual being is thus supplemented--to use a poor miserable word--with the individuality that originated it, then is the man a whole, healthy, complete existence. Then indeed, and then only, will he do no wrong, think no wrong, love perfectly, and be right merry.	When the man throws wide his door to the Father of his spirit, when his individual being is thus supplemented-to use a poor miserable word-with the individuality that originated it, then is the man a whole, healthy, complete existence. Then indeed, and then only, will he do no wrong, think no wrong, love perfectly, and be right merry.	false	668.57	688.3	20
8677_246948_000032_000004	Then will he scarce think of praying, because God is in every thought and enters anew with every sensation. Then will he forgive, and endure, and pour out his soul for the beloved who yet grope their way in doubt and passion.	Then will he scarce think of praying, because God is in every thought and enters anew with every sensation. Then will he forgive, and endure, and pour out his soul for the beloved who yet grope their way in doubt and passion.	true	688.52	700.3	17
8677_246948_000032_000005	Then every man will be dear and precious to him, even the worst, for in him also lies an unknown yearning after the same peace wherein he rests and loves."	Then every man will be dear and precious to him, even the worst, for in him also lies an unknown yearning after the same peace wherein he rests and loves."	true	700.64	710.05	15
8677_246948_000033_000000	He sat down suddenly, and a deep silence filled the room.	He sat down suddenly, and a deep silence filled the room.	true	710.69	713.73	21.686914
8677_246948_000034_000000	CHAPTER XXVIII.	CHAPTER twenty eight.	false	713.73	713.76	-20
8677_246948_000035_000000	A SHOP IN HEAVEN.	A SHOP IN HEAVEN.	false	713.76	713.79	-2
8677_246948_000036_000000	"Uncle," said Rachel, "may I read your visions of the shops in heaven?"	"Uncle," said Rachel, "may I read your visions of the shops in heaven?"	false	713.79	713.97	-20
8677_246948_000037_000000	"Oh no, Rachel.	"Oh no, Rachel.	false	713.97	714	-20
8677_246948_000037_000001	You are not able to read to-night," said her uncle deprecatingly.	You are not able to read to night," said her uncle deprecatingly.	false	714	714.15	-1
8677_246948_000038_000000	"I think I am, uncle.	"I think I am, uncle.	false	714.15	714.21	-20
8677_246948_000038_000001	I should like to try.	I should like to try.	false	714.21	714.27	-20
8677_246948_000038_000002	It will let the gentlemen see what you WOULD think an ideal state of things.--It is something, Mr. Wingfold, my uncle once dictated to me, and I wrote down just as he said it.	It will let the gentlemen see what you WOULD think an ideal state of things.--It is something, mr Wingfold, my uncle once dictated to me, and I wrote down just as he said it.	false	714.27	715.71	30.11381
8677_246948_000038_000003	He can always do better dictating than writing, but this time he was so ill with asthma that he could not talk much faster than I could write; and yet to be so ill I never saw him show so little suffering; his thinking seemed to make him forget it.--Mayn't I read it, uncle?	He can always do better dictating than writing, but this time he was so ill with asthma that he could not talk much faster than I could write; and yet to be so ill I never saw him show so little suffering; his thinking seemed to make him forget it.--Mayn't I read it, uncle?	false	715.71	720.3	22.043934
8677_246948_000038_000004	I know the gentlemen would like to hear it."	I know the gentlemen would like to hear it."	false	720.3	721.05	-20
