114_129317_000000_000000	'You must compose yourself,' said the doctor supporting her.	'You must compose yourself,' said the doctor supporting her.	false	0	2.76	21.442337
114_129317_000020_000000	All this time, Mr. Giles, with the white nightcap on, had been sitting on the steps of the chaise, supporting an elbow on each knee, and wiping his eyes with a blue cotton pocket-handkerchief dotted with white spots.	All this time, mr Giles, with the white nightcap on, had been sitting on the steps of the chaise, supporting an elbow on each knee, and wiping his eyes with a blue cotton pocket handkerchief dotted with white spots.	true	200.48	212.32	22.756277
114_129317_000020_000001	That the honest fellow had not been feigning emotion, was abundantly demonstrated by the very red eyes with which he regarded the young gentleman, when he turned round and addressed him.	That the honest fellow had not been feigning emotion, was abundantly demonstrated by the very red eyes with which he regarded the young gentleman, when he turned round and addressed him.	true	212.78	222.49	20.62074
114_129317_000021_000000	'I think you had better go on to my mother's in the chaise, Giles,' said he.	'I think you had better go on to my mother's in the chaise, Giles,' said he.	true	223.61	227.44	23
114_129317_000021_000001	'I would rather walk slowly on, so as to gain a little time before I see her.	'I would rather walk slowly on, so as to gain a little time before I see her.	true	227.78	232.2	22.711767
114_129317_000021_000002	You can say I am coming.'	You can say I am coming.'	true	232.2	233.65	23.119621
114_129317_000022_000000	'I beg your pardon, Mr. Harry,' said Giles: giving a final polish to his ruffled countenance with the handkerchief; 'but if you would leave the postboy to say that, I should be very much obliged to you.	'I beg your pardon, mr Harry,' said Giles: giving a final polish to his ruffled countenance with the handkerchief; 'but if you would leave the postboy to say that, I should be very much obliged to you.	true	234.59	245.2	22.232956
114_129317_000022_000001	It wouldn't be proper for the maids to see me in this state, sir; I should never have any more authority with them if they did.'	It wouldn't be proper for the maids to see me in this state, sir; I should never have any more authority with them if they did.'	true	245.42	251.8	22.49755
114_129317_000023_000000	'Well,' rejoined Harry Maylie, smiling, 'you can do as you like.	'Well,' rejoined Harry Maylie, smiling, 'you can do as you like.	true	252.62	256.99	21.703718
114_129317_000023_000001	Let him go on with the luggage, if you wish it, and do you follow with us. Only first exchange that nightcap for some more appropriate covering, or we shall be taken for madmen.'	Let him go on with the luggage, if you wish it, and do you follow with us. Only first exchange that nightcap for some more appropriate covering, or we shall be taken for madmen.'	false	257	266.95	22.769873
114_129317_000024_000000	Mr. Giles, reminded of his unbecoming costume, snatched off and pocketed his nightcap; and substituted a hat, of grave and sober shape, which he took out of the chaise.	mr Giles, reminded of his unbecoming costume, snatched off and pocketed his nightcap; and substituted a hat, of grave and sober shape, which he took out of the chaise.	true	267.83	277.66	22
114_129317_000024_000001	This done, the postboy drove off; Giles, Mr. Maylie, and Oliver, followed at their leisure.	This done, the postboy drove off; Giles, mr Maylie, and Oliver, followed at their leisure.	true	278.03	284.23	23.326973
114_129317_000025_000000	As they walked along, Oliver glanced from time to time with much interest and curiosity at the new comer.	As they walked along, Oliver glanced from time to time with much interest and curiosity at the new comer.	true	285.32	290.95	21.758877
114_129317_000025_000001	He seemed about five-and-twenty years of age, and was of the middle height; his countenance was frank and handsome; and his demeanor easy and prepossessing.	He seemed about five and twenty years of age, and was of the middle height; his countenance was frank and handsome; and his demeanor easy and prepossessing.	true	291.56	301	20.87487
114_129317_000025_000002	Notwithstanding the difference between youth and age, he bore so strong a likeness to the old lady, that Oliver would have had no great difficulty in imagining their relationship, if he had not already spoken of her as his mother.	Notwithstanding the difference between youth and age, he bore so strong a likeness to the old lady, that Oliver would have had no great difficulty in imagining their relationship, if he had not already spoken of her as his mother.	true	301.61	313.45	20
114_129317_000026_000000	Mrs. Maylie was anxiously waiting to receive her son when he reached the cottage.	mrs Maylie was anxiously waiting to receive her son when he reached the cottage.	true	314.63	318.88	20
114_129317_000026_000001	The meeting did not take place without great emotion on both sides.	The meeting did not take place without great emotion on both sides.	true	319.22	322.99	23
114_129317_000027_000000	'Mother!' whispered the young man; 'why did you not write before?'	'Mother!' whispered the young man; 'why did you not write before?'	false	324.35	328.06	24.150217
114_129317_000028_000000	'I did,' replied Mrs. Maylie; 'but, on reflection, I determined to keep back the letter until I had heard Mr. Losberne's opinion.'	'I did,' replied mrs Maylie; 'but, on reflection, I determined to keep back the letter until I had heard mr Losberne's opinion.'	true	328.43	336.49	22.324942
114_129317_000029_000000	'But why,' said the young man, 'why run the chance of that occurring which so nearly happened?	'But why,' said the young man, 'why run the chance of that occurring which so nearly happened?	true	336.92	342.04	19.583725
114_129317_000029_000001	If Rose had--I cannot utter that word now--if this illness had terminated differently, how could you ever have forgiven yourself!	If Rose had-I cannot utter that word now-if this illness had terminated differently, how could you ever have forgiven yourself!	false	342.08	350.73	22.656073
114_129317_000029_000002	How could I ever have know happiness again!'	How could I ever have know happiness again!'	false	350.73	353.08	20.12923
114_129317_000030_000000	'If that _had_ been the case, Harry,' said Mrs. Maylie, 'I fear your happiness would have been effectually blighted, and that your arrival here, a day sooner or a day later, would have been of very, very little import.'	'If that underscore had underscore been the case, Harry,' said mrs Maylie, 'I fear your happiness would have been effectually blighted, and that your arrival here, a day sooner or a day later, would have been of very, very little import.'	false	354.53	366.94	20.183237
114_129317_000031_000000	'And who can wonder if it be so, mother?' rejoined the young man; 'or why should I say, _if_?--It is--it is--you know it, mother--you must know it!'	'And who can wonder if it be so, mother?' rejoined the young man; 'or why should I say, underscore if underscore?--It is-it is-you know it, mother-you must know it!'	false	367.52	378.28	24.854681
114_129317_000032_000000	'I know that she deserves the best and purest love the heart of man can offer,' said Mrs. Maylie; 'I know that the devotion and affection of her nature require no ordinary return, but one that shall be deep and lasting.	'I know that she deserves the best and purest love the heart of man can offer,' said mrs Maylie; 'I know that the devotion and affection of her nature require no ordinary return, but one that shall be deep and lasting.	true	379.07	391.6	22.784468
114_129317_000032_000001	If I did not feel this, and know, besides, that a changed behaviour in one she loved would break her heart, I should not feel my task so difficult of performance, or have to encounter so many struggles in my own bosom, when I take what seems to me to be the strict line of duty.'	If I did not feel this, and know, besides, that a changed behaviour in one she loved would break her heart, I should not feel my task so difficult of performance, or have to encounter so many struggles in my own bosom, when I take what seems to me to be the strict line of duty.'	true	391.73	407.83	23.597324
114_129317_000033_000000	'This is unkind, mother,' said Harry. 'Do you still suppose that I am a boy ignorant of my own mind, and mistaking the impulses of my own soul?'	'This is unkind, mother,' said Harry. 'Do you still suppose that I am a boy ignorant of my own mind, and mistaking the impulses of my own soul?'	true	408.83	417.58	21.960073
114_129317_000034_000000	'I think, my dear son,' returned Mrs. Maylie, laying her hand upon his shoulder, 'that youth has many generous impulses which do not last; and that among them are some, which, being gratified, become only the more fleeting.	'I think, my dear son,' returned mrs Maylie, laying her hand upon his shoulder, 'that youth has many generous impulses which do not last; and that among them are some, which, being gratified, become only the more fleeting.	true	418.7	432.82	22.541412
114_129317_000034_000001	Above all, I think' said the lady, fixing her eyes on her son's face, 'that if an enthusiastic, ardent, and ambitious man marry a wife on whose name there is a stain, which, though it originate in no fault of hers, may be visited by cold and sordid people upon her, and upon his children also: and, in exact proportion to his success in the world, be cast in his teeth, and made the subject of sneers against him: he may, no matter how generous and good his nature, one day repent of the connection he formed in early life.	Above all, I think' said the lady, fixing her eyes on her son's face, 'that if an enthusiastic, ardent, and ambitious man marry a wife on whose name there is a stain, which, though it originate in no fault of hers, may be visited by cold and sordid people upon her, and upon his children also: and, in exact proportion to his success in the world, be cast in his teeth, and made the subject of sneers against him: he may, no matter how generous and good his nature, one day repent of the connection he formed in early life.	false	433.01	467.74	21.476152
114_129317_000034_000002	And she may have the pain of knowing that he does so.'	And she may have the pain of knowing that he does so.'	true	468.14	470.98	19
114_129317_000035_000000	'Mother,' said the young man, impatiently, 'he would be a selfish brute, unworthy alike of the name of man and of the woman you describe, who acted thus.'	'Mother,' said the young man, impatiently, 'he would be a selfish brute, unworthy alike of the name of man and of the woman you describe, who acted thus.'	true	472.04	480.88	23.788889
114_129317_000036_000000	'You think so now, Harry,' replied his mother.	'You think so now, Harry,' replied his mother.	true	481.88	484.93	24.189114
114_129317_000037_000000	'And ever will!' said the young man.	'And ever will!' said the young man.	true	485.36	487.6	20.763645
114_129317_000037_000001	'The mental agony I have suffered, during the last two days, wrings from me the avowal to you of a passion which, as you well know, is not one of yesterday, nor one I have lightly formed.	'The mental agony I have suffered, during the last two days, wrings from me the avowal to you of a passion which, as you well know, is not one of yesterday, nor one I have lightly formed.	false	487.67	499.18	21.663168
114_129317_000037_000002	On Rose, sweet, gentle girl!	On Rose, sweet, gentle girl!	true	499.37	502	24.71565
114_129317_000037_000003	my heart is set, as firmly as ever heart of man was set on woman.	my heart is set, as firmly as ever heart of man was set on woman.	true	502.07	506.08	21.857996
114_129317_000037_000004	I have no thought, no view, no hope in life, beyond her; and if you oppose me in this great stake, you take my peace and happiness in your hands, and cast them to the wind.	I have no thought, no view, no hope in life, beyond her; and if you oppose me in this great stake, you take my peace and happiness in your hands, and cast them to the wind.	true	506.18	515.83	22.40305
114_129317_000037_000005	Mother, think better of this, and of me, and do not disregard the happiness of which you seem to think so little.'	Mother, think better of this, and of me, and do not disregard the happiness of which you seem to think so little.'	false	515.9	523.63	23.98389
114_129317_000038_000000	'Harry,' said Mrs. Maylie, 'it is because I think so much of warm and sensitive hearts, that I would spare them from being wounded.	'Harry,' said mrs Maylie, 'it is because I think so much of warm and sensitive hearts, that I would spare them from being wounded.	true	524.72	532.21	21.863884
114_129317_000038_000001	But we have said enough, and more than enough, on this matter, just now.'	But we have said enough, and more than enough, on this matter, just now.'	true	532.58	536.17	20.089748
114_129317_000039_000000	'Let it rest with Rose, then,' interposed Harry.	'Let it rest with Rose, then,' interposed Harry.	true	538.1	541.02	23.549294
114_129317_000039_000001	'You will not press these overstrained opinions of yours, so far, as to throw any obstacle in my way?'	'You will not press these overstrained opinions of yours, so far, as to throw any obstacle in my way?'	true	541.02	546.91	22.38043
114_129317_000040_000000	'I will not,' rejoined Mrs. Maylie; 'but I would have you consider--'	'I will not,' rejoined mrs Maylie; 'but I would have you consider-'	true	547.55	551.95	22.739243
114_129317_000041_000000	'I _have_ considered!' was the impatient reply; 'Mother, I have considered, years and years.	'I underscore have underscore considered!' was the impatient reply; 'Mother, I have considered, years and years.	false	552.26	557.98	23.377434
114_129317_000041_000001	I have considered, ever since I have been capable of serious reflection.	I have considered, ever since I have been capable of serious reflection.	true	558.11	561.58	20
114_129317_000041_000002	My feelings remain unchanged, as they ever will; and why should I suffer the pain of a delay in giving them vent, which can be productive of no earthly good?	My feelings remain unchanged, as they ever will; and why should I suffer the pain of a delay in giving them vent, which can be productive of no earthly good?	true	561.92	571.3	20.835646
114_129317_000041_000003	No!	No!	true	571.43	572.025	26.645355
114_129317_000041_000004	Before I leave this place, Rose shall hear me.'	Before I leave this place, Rose shall hear me.'	true	572.025	574.75	18.729063
114_129317_000042_000000	'She shall,' said Mrs. Maylie.	'She shall,' said mrs Maylie.	true	576.05	578.5	18.065128
114_129317_000043_000000	'There is something in your manner, which would almost imply that she will hear me coldly, mother,' said the young man.	'There is something in your manner, which would almost imply that she will hear me coldly, mother,' said the young man.	true	580.01	586.9	24.105219
114_129317_000044_000000	'Not coldly,' rejoined the old lady; 'far from it.'	'Not coldly,' rejoined the old lady; 'far from it.'	false	587.63	591.61	23.900457
114_129317_000045_000000	'How then?' urged the young man.	'How then?' urged the young man.	true	592.37	594.55	25.55346
114_129317_000045_000001	'She has formed no other attachment?'	'She has formed no other attachment?'	true	594.68	596.98	22.434944
114_129317_000046_000000	'No, indeed,' replied his mother; 'you have, or I mistake, too strong a hold on her affections already.	'No, indeed,' replied his mother; 'you have, or I mistake, too strong a hold on her affections already.	true	597.56	604.15	20.393246
114_129317_000046_000001	What I would say,' resumed the old lady, stopping her son as he was about to speak, 'is this.	What I would say,' resumed the old lady, stopping her son as he was about to speak, 'is this.	false	604.34	610	18.815453
114_129317_000046_000002	Before you stake your all on this chance; before you suffer yourself to be carried to the highest point of hope; reflect for a few moments, my dear child, on Rose's history, and consider what effect the knowledge of her doubtful birth may have on her decision: devoted as she is to us, with all the intensity of her noble mind, and with that perfect sacrifice of self which, in all matters, great or trifling, has always been her characteristic.'	Before you stake your all on this chance; before you suffer yourself to be carried to the highest point of hope; reflect for a few moments, my dear child, on Rose's history, and consider what effect the knowledge of her doubtful birth may have on her decision: devoted as she is to us, with all the intensity of her noble mind, and with that perfect sacrifice of self which, in all matters, great or trifling, has always been her characteristic.'	true	610.22	637.57	22.000803
114_129317_000047_000000	'What do you mean?'	'What do you mean?'	true	637.88	639.07	24.931116
114_129317_000048_000000	'That I leave you to discover,' replied Mrs. Maylie. 'I must go back to her.	'That I leave you to discover,' replied mrs Maylie. 'I must go back to her.	true	639.71	644.26	21.248642
114_129317_000048_000001	God bless you!'	God bless you!'	true	644.27	645.31	22.953531
114_129317_000049_000000	'I shall see you again to-night?' said the young man, eagerly.	'I shall see you again to night?' said the young man, eagerly.	true	646.22	649.36	20
114_129317_000050_000000	'By and by,' replied the lady; 'when I leave Rose.'	'By and by,' replied the lady; 'when I leave Rose.'	false	650.36	653.89	23.510088
114_129317_000051_000000	'You will tell her I am here?' said Harry.	'You will tell her I am here?' said Harry.	true	654.71	657.01	24.084373
114_129317_000052_000000	'Of course,' replied Mrs. Maylie.	'Of course,' replied mrs Maylie.	true	657.32	659.53	24.182312
114_129317_000053_000000	'And say how anxious I have been, and how much I have suffered, and how I long to see her.	'And say how anxious I have been, and how much I have suffered, and how I long to see her.	false	660.65	664.65	20.636227
114_129317_000053_000001	You will not refuse to do this, mother?'	You will not refuse to do this, mother?'	true	664.65	667.24	21.154379
114_129317_000054_000000	'No,' said the old lady; 'I will tell her all.' And pressing her son's hand, affectionately, she hastened from the room.	'No,' said the old lady; 'I will tell her all.' And pressing her son's hand, affectionately, she hastened from the room.	true	667.28	675.7	19.96302
114_129317_000055_000000	Mr. Losberne and Oliver had remained at another end of the apartment while this hurried conversation was proceeding.	mr Losberne and Oliver had remained at another end of the apartment while this hurried conversation was proceeding.	true	677	682.72	19
114_129317_000055_000001	The former now held out his hand to Harry Maylie; and hearty salutations were exchanged between them.	The former now held out his hand to Harry Maylie; and hearty salutations were exchanged between them.	true	683.33	689.14	20.081264
114_129317_000055_000002	The doctor then communicated, in reply to multifarious questions from his young friend, a precise account of his patient's situation; which was quite as consolatory and full of promise, as Oliver's statement had encouraged him to hope; and to the whole of which, Mr. Giles, who affected to be busy about the luggage, listened with greedy ears.	The doctor then communicated, in reply to multifarious questions from his young friend, a precise account of his patient's situation; which was quite as consolatory and full of promise, as Oliver's statement had encouraged him to hope; and to the whole of which, mr Giles, who affected to be busy about the luggage, listened with greedy ears.	true	689.57	708.85	23.418056
114_129317_000056_000000	'Have you shot anything particular, lately, Giles?' inquired the doctor, when he had concluded.	'Have you shot anything particular, lately, Giles?' inquired the doctor, when he had concluded.	true	710.39	715.96	26.46831
114_129317_000057_000000	'Nothing particular, sir,' replied Mr. Giles, colouring up to the eyes.	'Nothing particular, sir,' replied mr Giles, colouring up to the eyes.	true	716.42	720.76	22.529722
114_129317_000058_000000	'Nor catching any thieves, nor identifying any house-breakers?' said the doctor.	'Nor catching any thieves, nor identifying any house breakers?' said the doctor.	true	721.28	726.46	24.991478
114_129317_000059_000000	'None at all, sir,' replied Mr. Giles, with much gravity.	'None at all, sir,' replied mr Giles, with much gravity.	true	727.07	731.17	18.187534
114_129317_000060_000000	'Well,' said the doctor, 'I am sorry to hear it, because you do that sort of thing admirably.	'Well,' said the doctor, 'I am sorry to hear it, because you do that sort of thing admirably.	true	732.44	738.37	21.399357
114_129317_000060_000001	Pray, how is Brittles?'	Pray, how is Brittles?'	true	738.8	740.11	24.938246
114_129317_000061_000000	'The boy is very well, sir,' said Mr. Giles, recovering his usual tone of patronage; 'and sends his respectful duty, sir.'	'The boy is very well, sir,' said mr Giles, recovering his usual tone of patronage; 'and sends his respectful duty, sir.'	true	741.23	749.11	19.405787
114_129317_000062_000000	'That's well,' said the doctor.	'That's well,' said the doctor.	true	750.47	752.56	23.114086
114_129317_000062_000001	'Seeing you here, reminds me, Mr. Giles, that on the day before that on which I was called away so hurriedly, I executed, at the request of your good mistress, a small commission in your favour.	'Seeing you here, reminds me, mr Giles, that on the day before that on which I was called away so hurriedly, I executed, at the request of your good mistress, a small commission in your favour.	true	752.75	764.35	22.618092
114_129317_000062_000002	Just step into this corner a moment, will you?'	Just step into this corner a moment, will you?'	false	764.63	768.04	23.659204
114_129317_000063_000000	Mr. Giles walked into the corner with much importance, and some wonder, and was honoured with a short whispering conference with the doctor, on the termination of which, he made a great many bows, and retired with steps of unusual stateliness.	mr Giles walked into the corner with much importance, and some wonder, and was honoured with a short whispering conference with the doctor, on the termination of which, he made a great many bows, and retired with steps of unusual stateliness.	false	768.23	781.57	21.361292
114_129317_000063_000001	The subject matter of this conference was not disclosed in the parlour, but the kitchen was speedily enlightened concerning it; for Mr. Giles walked straight thither, and having called for a mug of ale, announced, with an air of majesty, which was highly effective, that it had pleased his mistress, in consideration of his gallant behaviour on the occasion of that attempted robbery, to deposit, in the local savings-bank, the sum of five-and-twenty pounds, for his sole use and benefit.	The subject matter of this conference was not disclosed in the parlour, but the kitchen was speedily enlightened concerning it; for mr Giles walked straight thither, and having called for a mug of ale, announced, with an air of majesty, which was highly effective, that it had pleased his mistress, in consideration of his gallant behaviour on the occasion of that attempted robbery, to deposit, in the local savings bank, the sum of five and twenty pounds, for his sole use and benefit.	true	782.06	809.14	22.303547
114_129317_000063_000002	At this, the two women-servants lifted up their hands and eyes, and supposed that Mr. Giles, pulling out his shirt-frill, replied, 'No, no'; and that if they observed that he was at all haughty to his inferiors, he would thank them to tell him so.	At this, the two women servants lifted up their hands and eyes, and supposed that mr Giles, pulling out his shirt frill, replied, 'No, no'; and that if they observed that he was at all haughty to his inferiors, he would thank them to tell him so.	true	809.6	822.82	21.323738
114_129317_000063_000003	And then he made a great many other remarks, no less illustrative of his humility, which were received with equal favour and applause, and were, withal, as original and as much to the purpose, as the remarks of great men commonly are.	And then he made a great many other remarks, no less illustrative of his humility, which were received with equal favour and applause, and were, withal, as original and as much to the purpose, as the remarks of great men commonly are.	true	823.31	836.23	21
114_129317_000064_000000	Above stairs, the remainder of the evening passed cheerfully away; for the doctor was in high spirits; and however fatigued or thoughtful Harry Maylie might have been at first, he was not proof against the worthy gentleman's good humour, which displayed itself in a great variety of sallies and professional recollections, and an abundance of small jokes, which struck Oliver as being the drollest things he had ever heard, and caused him to laugh proportionately; to the evident satisfaction of the doctor, who laughed immoderately at himself, and made Harry laugh almost as heartily, by the very force of sympathy. So, they were as pleasant a party as, under the circumstances, they could well have been; and it was late before they retired, with light and thankful hearts, to take that rest of which, after the doubt and suspense they had recently undergone, they stood much in need.	Above stairs, the remainder of the evening passed cheerfully away; for the doctor was in high spirits; and however fatigued or thoughtful Harry Maylie might have been at first, he was not proof against the worthy gentleman's good humour, which displayed itself in a great variety of sallies and professional recollections, and an abundance of small jokes, which struck Oliver as being the drollest things he had ever heard, and caused him to laugh proportionately; to the evident satisfaction of the doctor, who laughed immoderately at himself, and made Harry laugh almost as heartily, by the very force of sympathy. So, they were as pleasant a party as, under the circumstances, they could well have been; and it was late before they retired, with light and thankful hearts, to take that rest of which, after the doubt and suspense they had recently undergone, they stood much in need.	true	837.17	883.815	22.351032
114_129317_000065_000000	Oliver rose next morning, in better heart, and went about his usual occupations, with more hope and pleasure than he had known for many days.	Oliver rose next morning, in better heart, and went about his usual occupations, with more hope and pleasure than he had known for many days.	true	883.815	891.55	19.281496
114_129317_000065_000001	The birds were once more hung out, to sing, in their old places; and the sweetest wild flowers that could be found, were once more gathered to gladden Rose with their beauty.	The birds were once more hung out, to sing, in their old places; and the sweetest wild flowers that could be found, were once more gathered to gladden Rose with their beauty.	true	892.01	900.52	19
114_129317_000065_000002	The melancholy which had seemed to the sad eyes of the anxious boy to hang, for days past, over every object, beautiful as all were, was dispelled by magic.	The melancholy which had seemed to the sad eyes of the anxious boy to hang, for days past, over every object, beautiful as all were, was dispelled by magic.	true	901.1	910.27	22
114_129317_000065_000003	The dew seemed to sparkle more brightly on the green leaves; the air to rustle among them with a sweeter music; and the sky itself to look more blue and bright.	The dew seemed to sparkle more brightly on the green leaves; the air to rustle among them with a sweeter music; and the sky itself to look more blue and bright.	false	910.55	919.6	22.944275
114_129317_000065_000004	Such is the influence which the condition of our own thoughts, exercise, even over the appearance of external objects.	Such is the influence which the condition of our own thoughts, exercise, even over the appearance of external objects.	false	920.03	926.74	23
