1265_135635_000000_000000	CHAPTER XLVI.	CHAPTER forty six.
1265_135635_000014_000003	The whole edge of the thing had been taken off--it was flatter than walking.	The whole edge of the thing had been taken off-it was flatter than walking.
1265_135635_000015_000000	'Well, Tommy,' said Mrs. Cluppins, 'how's your poor dear mother?'	'Well, Tommy,' said mrs Cluppins, 'how's your poor dear mother?'
1265_135635_000016_000000	'Oh, she's very well,' replied Master Bardell. 'She's in the front parlour, all ready.	'Oh, she's very well,' replied Master Bardell. 'She's in the front parlour, all ready.
1265_135635_000016_000001	I'm ready too, I am.' Here Master Bardell put his hands in his pockets, and jumped off and on the bottom step of the door.	I'm ready too, I am.' Here Master Bardell put his hands in his pockets, and jumped off and on the bottom step of the door.
1265_135635_000018_000000	'Mrs.	'mrs
1265_135635_000018_000001	Sanders is going, she is,' replied Tommy; 'I'm going too, I am.'	Sanders is going, she is,' replied Tommy; 'I'm going too, I am.'
1265_135635_000019_000000	'Drat the boy,' said little Mrs. Cluppins. 'He thinks of nobody but himself.	'Drat the boy,' said little mrs Cluppins. 'He thinks of nobody but himself.
1265_135635_000019_000001	Here, Tommy, dear.'	Here, Tommy, dear.'
1265_135635_000021_000000	'Who else is a-goin', lovey?' said Mrs. Cluppins, in an insinuating manner.	'Who else is a goin', lovey?' said mrs Cluppins, in an insinuating manner.
1265_135635_000022_000000	'Oh! Mrs. Rogers is a-goin',' replied Master Bardell, opening his eyes very wide as he delivered the intelligence.	'Oh! mrs Rogers is a goin',' replied Master Bardell, opening his eyes very wide as he delivered the intelligence.
1265_135635_000023_000000	'What?	'What?
1265_135635_000023_000001	The lady as has taken the lodgings!' ejaculated Mrs. Cluppins.	The lady as has taken the lodgings!' ejaculated mrs Cluppins.
1265_135635_000024_000000	Master Bardell put his hands deeper down into his pockets, and nodded exactly thirty-five times, to imply that it was the lady-lodger, and no other.	Master Bardell put his hands deeper down into his pockets, and nodded exactly thirty five times, to imply that it was the lady lodger, and no other.
1265_135635_000025_000000	'Bless us!' said Mrs. Cluppins.	'Bless us!' said mrs Cluppins.
1265_135635_000025_000001	'It's quite a party!'	'It's quite a party!'
1265_135635_000027_000000	'What is there, Tommy?' said Mrs. Cluppins coaxingly.	'What is there, Tommy?' said mrs Cluppins coaxingly.
1265_135635_000028_000001	Come, Tommy, tell your dear Cluppy.'	Come, Tommy, tell your dear Cluppy.'
1265_135635_000029_000000	'Mother said I wasn't to,' rejoined Master Bardell, 'I'm a-goin' to have some, I am.' Cheered by this prospect, the precocious boy applied himself to his infantile treadmill, with increased vigour.	'Mother said I wasn't to,' rejoined Master Bardell, 'I'm a goin' to have some, I am.' Cheered by this prospect, the precocious boy applied himself to his infantile treadmill, with increased vigour.
1265_135635_000032_000000	'It's put me all over in such a tremble, Betsy,' replied Mrs. Raddle. 'Raddle ain't like a man; he leaves everythink to me.'	'It's put me all over in such a tremble, Betsy,' replied mrs Raddle. 'Raddle ain't like a man; he leaves everythink to me.'
1265_135635_000033_000000	This was scarcely fair upon the unfortunate Mr. Raddle, who had been thrust aside by his good lady in the commencement of the dispute, and peremptorily commanded to hold his tongue.	This was scarcely fair upon the unfortunate mr Raddle, who had been thrust aside by his good lady in the commencement of the dispute, and peremptorily commanded to hold his tongue.
1265_135635_000034_000000	'Ah, poor thing!' said Mrs. Rogers, 'I know what her feelin's is, too well.' 'Ah, poor thing! so do I,' said Mrs. Sanders; and then all the ladies moaned in unison, and said they knew what it was, and they pitied her from their hearts, they did.	'Ah, poor thing!' said mrs Rogers, 'I know what her feelin's is, too well.' 'Ah, poor thing! so do I,' said mrs Sanders; and then all the ladies moaned in unison, and said they knew what it was, and they pitied her from their hearts, they did.
1265_135635_000034_000001	Even the lodger's little servant, who was thirteen years old and three feet high, murmured her sympathy.	Even the lodger's little servant, who was thirteen years old and three feet high, murmured her sympathy.
1265_135635_000036_000000	'Ah, what has decomposed you, ma'am?' inquired Mrs. Rogers.	'Ah, what has decomposed you, ma'am?' inquired mrs Rogers.
1265_135635_000037_000000	'I have been a good deal flurried,' replied Mrs. Raddle, in a reproachful manner.	'I have been a good deal flurried,' replied mrs Raddle, in a reproachful manner.
1265_135635_000037_000001	Thereupon the ladies cast indignant glances at Mr. Raddle.	Thereupon the ladies cast indignant glances at mr Raddle.
1265_135635_000040_000000	All the ladies concurred in this opinion; so Mr. Raddle was pushed out of the room, and requested to give himself an airing in the back yard. Which he did for about a quarter of an hour, when Mrs. Bardell announced to him with a solemn face that he might come in now, but that he must be very careful how he behaved towards his wife.	All the ladies concurred in this opinion; so mr Raddle was pushed out of the room, and requested to give himself an airing in the back yard. Which he did for about a quarter of an hour, when mrs Bardell announced to him with a solemn face that he might come in now, but that he must be very careful how he behaved towards his wife.
1265_135635_000041_000000	'Why, Mrs. Rogers, ma'am,' said Mrs. Bardell, 'you've never been introduced, I declare!	'Why, mrs Rogers, ma'am,' said mrs Bardell, 'you've never been introduced, I declare!
1265_135635_000041_000001	Mr. Raddle, ma'am; Mrs. Cluppins, ma'am; Mrs. Raddle, ma'am.'	mr Raddle, ma'am; mrs Cluppins, ma'am; mrs Raddle, ma'am.'
1265_135635_000042_000000	'Which is Mrs. Cluppins's sister,' suggested Mrs. Sanders.	'Which is mrs Cluppins's sister,' suggested mrs Sanders.
1265_135635_000043_000000	'Oh, indeed!' said Mrs. Rogers graciously; for she was the lodger, and her servant was in waiting, so she was more gracious than intimate, in right of her position.	'Oh, indeed!' said mrs Rogers graciously; for she was the lodger, and her servant was in waiting, so she was more gracious than intimate, in right of her position.
1265_135635_000043_000001	'Oh, indeed!'	'Oh, indeed!'
1265_135635_000044_000000	Mrs. Raddle smiled sweetly, Mr. Raddle bowed, and Mrs. Cluppins said, 'she was sure she was very happy to have an opportunity of being known to a lady which she had heerd so much in favour of, as Mrs. Rogers.' A compliment which the last-named lady acknowledged with graceful condescension.	mrs Raddle smiled sweetly, mr Raddle bowed, and mrs Cluppins said, 'she was sure she was very happy to have an opportunity of being known to a lady which she had heerd so much in favour of, as mrs Rogers.' A compliment which the last named lady acknowledged with graceful condescension.
1265_135635_000045_000000	'Well, Mr. Raddle,' said Mrs. Bardell; 'I'm sure you ought to feel very much honoured at you and Tommy being the only gentlemen to escort so many ladies all the way to the Spaniards, at Hampstead.	'Well, mr Raddle,' said mrs Bardell; 'I'm sure you ought to feel very much honoured at you and Tommy being the only gentlemen to escort so many ladies all the way to the Spaniards, at Hampstead.
1265_135635_000046_000001	'Indeed, to tell you the truth, I said, as we was a-coming along in the cabrioily--'	'Indeed, to tell you the truth, I said, as we was a coming along in the cabrioily-'
1265_135635_000049_000001	Mrs. Bardell was unanimously voted into the chair, and Mrs. Rogers being stationed on her right hand, and Mrs. Raddle on her left, the meal proceeded with great merriment and success.	mrs Bardell was unanimously voted into the chair, and mrs Rogers being stationed on her right hand, and mrs Raddle on her left, the meal proceeded with great merriment and success.
1265_135635_000050_000000	'How sweet the country is, to be sure!' sighed Mrs. Rogers; 'I almost wish I lived in it always.'	'How sweet the country is, to be sure!' sighed mrs Rogers; 'I almost wish I lived in it always.'
1265_135635_000051_000000	'Oh, you wouldn't like that, ma'am,' replied Mrs. Bardell, rather hastily; for it was not at all advisable, with reference to the lodgings, to encourage such notions; 'you wouldn't like it, ma'am.'	'Oh, you wouldn't like that, ma'am,' replied mrs Bardell, rather hastily; for it was not at all advisable, with reference to the lodgings, to encourage such notions; 'you wouldn't like it, ma'am.'
1265_135635_000052_000000	'Oh!	'Oh!
1265_135635_000053_000000	'Perhaps I am, ma'am.	'Perhaps I am, ma'am.
1265_135635_000053_000001	Perhaps I am,' sighed the first-floor lodger.	Perhaps I am,' sighed the first floor lodger.
1265_135635_000054_000000	'For lone people as have got nobody to care for them, or take care of them, or as have been hurt in their mind, or that kind of thing,' observed Mr. Raddle, plucking up a little cheerfulness, and looking round, 'the country is all very well.	'For lone people as have got nobody to care for them, or take care of them, or as have been hurt in their mind, or that kind of thing,' observed mr Raddle, plucking up a little cheerfulness, and looking round, 'the country is all very well.
1265_135635_000054_000001	The country for a wounded spirit, they say.'	The country for a wounded spirit, they say.'
1265_135635_000055_000000	Now, of all things in the world that the unfortunate man could have said, any would have been preferable to this.	Now, of all things in the world that the unfortunate man could have said, any would have been preferable to this.
1265_135635_000055_000001	Of course Mrs. Bardell burst into tears, and requested to be led from the table instantly; upon which the affectionate child began to cry too, most dismally.	Of course mrs Bardell burst into tears, and requested to be led from the table instantly; upon which the affectionate child began to cry too, most dismally.
1265_135635_000056_000000	'Would anybody believe, ma'am,' exclaimed Mrs. Raddle, turning fiercely to the first-floor lodger, 'that a woman could be married to such a unmanly creetur, which can tamper with a woman's feelings as he does, every hour in the day, ma'am?'	'Would anybody believe, ma'am,' exclaimed mrs Raddle, turning fiercely to the first floor lodger, 'that a woman could be married to such a unmanly creetur, which can tamper with a woman's feelings as he does, every hour in the day, ma'am?'
1265_135635_000057_000000	'My dear,' remonstrated Mr. Raddle, 'I didn't mean anything, my dear.'	'My dear,' remonstrated mr Raddle, 'I didn't mean anything, my dear.'
1265_135635_000058_000000	'You didn't mean!' repeated Mrs. Raddle, with great scorn and contempt. 'Go away.	'You didn't mean!' repeated mrs Raddle, with great scorn and contempt. 'Go away.
1265_135635_000058_000001	I can't bear the sight on you, you brute.'	I can't bear the sight on you, you brute.'
1265_135635_000059_000000	'You must not flurry yourself, Mary Ann,' interposed Mrs. Cluppins.	'You must not flurry yourself, Mary Ann,' interposed mrs Cluppins.
1265_135635_000059_000001	'You really must consider yourself, my dear, which you never do.	'You really must consider yourself, my dear, which you never do.
1265_135635_000059_000002	Now go away, Raddle, there's a good soul, or you'll only aggravate her.'	Now go away, Raddle, there's a good soul, or you'll only aggravate her.'
1265_135635_000061_000000	Mrs. Sanders, who, according to custom, was very busy with the bread-and-butter, expressed the same opinion, and Mr. Raddle quietly retired.	mrs Sanders, who, according to custom, was very busy with the bread and butter, expressed the same opinion, and mr Raddle quietly retired.
1265_135635_000062_000001	But that description of fainting fits, which is contagious among ladies, seldom lasts long; so when he had been well kissed, and a little cried over, Mrs. Bardell recovered, set him down again, wondering how she could have been so foolish, and poured out some more tea.	But that description of fainting fits, which is contagious among ladies, seldom lasts long; so when he had been well kissed, and a little cried over, mrs Bardell recovered, set him down again, wondering how she could have been so foolish, and poured out some more tea.
1265_135635_000063_000000	It was at this moment, that the sound of approaching wheels was heard, and that the ladies, looking up, saw a hackney-coach stop at the garden gate.	It was at this moment, that the sound of approaching wheels was heard, and that the ladies, looking up, saw a hackney coach stop at the garden gate.
1265_135635_000064_000000	'More company!' said Mrs. Sanders.	'More company!' said mrs Sanders.
1265_135635_000065_000000	'It's a gentleman,' said Mrs. Raddle.	'It's a gentleman,' said mrs Raddle.
1265_135635_000066_000001	Surely Mr. Pickwick can't have paid the damages.'	Surely mr Pickwick can't have paid the damages.'
1265_135635_000067_000000	'Or hoffered marriage!' said Mrs. Cluppins.	'Or hoffered marriage!' said mrs Cluppins.
1265_135635_000068_000000	'Dear me, how slow the gentleman is,'exclaimed Mrs. Rogers.	'Dear me, how slow the gentleman is,'exclaimed mrs Rogers.
1265_135635_000068_000001	'Why doesn't he make haste!'	'Why doesn't he make haste!'
1265_135635_000069_000000	As the lady spoke these words, Mr. Jackson turned from the coach where he had been addressing some observations to a shabby man in black leggings, who had just emerged from the vehicle with a thick ash stick in his hand, and made his way to the place where the ladies were seated; winding his hair round the brim of his hat, as he came along.	As the lady spoke these words, mr Jackson turned from the coach where he had been addressing some observations to a shabby man in black leggings, who had just emerged from the vehicle with a thick ash stick in his hand, and made his way to the place where the ladies were seated; winding his hair round the brim of his hat, as he came along.
1265_135635_000069_000001	'Is anything the matter?	'Is anything the matter?
1265_135635_000070_000000	'Nothing whatever, ma'am,' replied Mr. Jackson.	'Nothing whatever, ma'am,' replied mr Jackson.
1265_135635_000070_000002	Mrs. Rogers whispered Mrs. Raddle that he was really an elegant young man.	mrs Rogers whispered mrs Raddle that he was really an elegant young man.
1265_135635_000071_000000	'I called in Goswell Street,' resumed Mr. Jackson, 'and hearing that you were here, from the slavey, took a coach and came on.	'I called in Goswell Street,' resumed mr Jackson, 'and hearing that you were here, from the slavey, took a coach and came on.
1265_135635_000072_000000	'Lor!' ejaculated that lady, starting at the sudden nature of the communication.	'Lor!' ejaculated that lady, starting at the sudden nature of the communication.
1265_135635_000073_000000	'Yes,' said Mr. Jackson, biting his lip.	'Yes,' said mr Jackson, biting his lip.
1265_135635_000073_000001	'It's very important and pressing business, which can't be postponed on any account.	'It's very important and pressing business, which can't be postponed on any account.
1265_135635_000073_000003	I've kept the coach on purpose for you to go back in.'	I've kept the coach on purpose for you to go back in.'
1265_135635_000075_000000	The ladies agreed that it WAS very strange, but were unanimously of opinion that it must be very important, or Dodson & Fogg would never have sent; and further, that the business being urgent, she ought to repair to Dodson & Fogg's without any delay.	The ladies agreed that it WAS very strange, but were unanimously of opinion that it must be very important, or Dodson and Fogg would never have sent; and further, that the business being urgent, she ought to repair to Dodson and Fogg's without any delay.
1265_135635_000076_000000	There was a certain degree of pride and importance about being wanted by one's lawyers in such a monstrous hurry, that was by no means displeasing to Mrs. Bardell, especially as it might be reasonably supposed to enhance her consequence in the eyes of the first-floor lodger.	There was a certain degree of pride and importance about being wanted by one's lawyers in such a monstrous hurry, that was by no means displeasing to mrs Bardell, especially as it might be reasonably supposed to enhance her consequence in the eyes of the first floor lodger.
1265_135635_000077_000000	'But won't you refresh yourself after your walk, Mr. Jackson?' said Mrs. Bardell persuasively.	'But won't you refresh yourself after your walk, mr Jackson?' said mrs Bardell persuasively.
1265_135635_000079_000000	'Oh, ask your friend to come here, Sir,' said Mrs. Bardell. 'Pray ask your friend here, Sir.'	'Oh, ask your friend to come here, Sir,' said mrs Bardell. 'Pray ask your friend here, Sir.'
1265_135635_000080_000000	'Why, thank'ee, I'd rather not,' said Mr. Jackson, with some embarrassment of manner.	'Why, thank'ee, I'd rather not,' said mr Jackson, with some embarrassment of manner.
1265_135635_000080_000001	'He's not much used to ladies' society, and it makes him bashful.	'He's not much used to ladies' society, and it makes him bashful.
1265_135635_000080_000002	If you'll order the waiter to deliver him anything short, he won't drink it off at once, won't he!--only try him!' Mr. Jackson's fingers wandered playfully round his nose at this portion of his discourse, to warn his hearers that he was speaking ironically.	If you'll order the waiter to deliver him anything short, he won't drink it off at once, won't he!--only try him!' mr Jackson's fingers wandered playfully round his nose at this portion of his discourse, to warn his hearers that he was speaking ironically.
1265_135635_000081_000000	The waiter was at once despatched to the bashful gentleman, and the bashful gentleman took something; Mr. Jackson also took something, and the ladies took something, for hospitality's sake.	The waiter was at once despatched to the bashful gentleman, and the bashful gentleman took something; mr Jackson also took something, and the ladies took something, for hospitality's sake.
1265_135635_000081_000001	Mr. Jackson then said he was afraid it was time to go; upon which, Mrs. Sanders, Mrs. Cluppins, and Tommy (who it was arranged should accompany Mrs. Bardell, leaving the others to Mr. Raddle's protection), got into the coach.	mr Jackson then said he was afraid it was time to go; upon which, mrs Sanders, mrs Cluppins, and Tommy (who it was arranged should accompany mrs Bardell, leaving the others to mr Raddle's protection), got into the coach.
1265_135635_000082_000000	'Isaac,' said Jackson, as Mrs. Bardell prepared to get in, looking up at the man with the ash stick, who was seated on the box, smoking a cigar.	'Isaac,' said Jackson, as mrs Bardell prepared to get in, looking up at the man with the ash stick, who was seated on the box, smoking a cigar.
1265_135635_000083_000000	'Well?'	'Well?'
1265_135635_000084_000000	'This is Mrs. Bardell.'	'This is mrs Bardell.'
1265_135635_000086_000000	Mrs. Bardell got in, Mr. Jackson got in after her, and away they drove. Mrs. Bardell could not help ruminating on what Mr. Jackson's friend had said.	mrs Bardell got in, mr Jackson got in after her, and away they drove. mrs Bardell could not help ruminating on what mr Jackson's friend had said.
1265_135635_000086_000001	Shrewd creatures, those lawyers.	Shrewd creatures, those lawyers.
1265_135635_000086_000002	Lord bless us, how they find people out!	Lord bless us, how they find people out!
1265_135635_000087_000000	'Sad thing about these costs of our people's, ain't it,' said Jackson, when Mrs. Cluppins and Mrs. Sanders had fallen asleep; 'your bill of costs, I mean.'	'Sad thing about these costs of our people's, ain't it,' said Jackson, when mrs Cluppins and mrs Sanders had fallen asleep; 'your bill of costs, I mean.'
1265_135635_000088_000000	'I'm very sorry they can't get them,' replied Mrs. Bardell. 'But if you law gentlemen do these things on speculation, why you must get a loss now and then, you know.'	'I'm very sorry they can't get them,' replied mrs Bardell. 'But if you law gentlemen do these things on speculation, why you must get a loss now and then, you know.'
1265_135635_000090_000000	'Yes.	'Yes.
1265_135635_000091_000000	'Certainly,' replied Jackson drily.	'Certainly,' replied Jackson drily.
1265_135635_000091_000002	Quite.'	Quite.'
1265_135635_000092_000000	On they drove, and Mrs. Bardell fell asleep.	On they drove, and mrs Bardell fell asleep.
1265_135635_000092_000001	She was awakened, after some time, by the stopping of the coach.	She was awakened, after some time, by the stopping of the coach.
1265_135635_000093_000000	'Bless us!' said the lady.'Are we at Freeman's Court?'	'Bless us!' said the lady.'Are we at Freeman's Court?'
1265_135635_000094_000000	'We're not going quite so far,' replied Jackson.	'We're not going quite so far,' replied Jackson.
1265_135635_000094_000001	'Have the goodness to step out.'	'Have the goodness to step out.'
1265_135635_000095_000000	Mrs. Bardell, not yet thoroughly awake, complied.	mrs Bardell, not yet thoroughly awake, complied.
1265_135635_000096_000000	'Now, ladies,' cried the man with the ash stick, looking into the coach, and shaking Mrs. Sanders to wake her, 'Come!' Rousing her friend, Mrs. Sanders alighted.	'Now, ladies,' cried the man with the ash stick, looking into the coach, and shaking mrs Sanders to wake her, 'Come!' Rousing her friend, mrs Sanders alighted.
1265_135635_000096_000001	Mrs. Bardell, leaning on Jackson's arm, and leading Tommy by the hand, had already entered the porch.	mrs Bardell, leaning on Jackson's arm, and leading Tommy by the hand, had already entered the porch.
1265_135635_000096_000002	They followed.	They followed.
1265_135635_000097_000000	The room they turned into was even more odd-looking than the porch.	The room they turned into was even more odd looking than the porch.
1265_135635_000097_000001	Such a number of men standing about!	Such a number of men standing about!
1265_135635_000097_000002	And they stared so!	And they stared so!
1265_135635_000098_000000	'What place is this?' inquired Mrs. Bardell, pausing.	'What place is this?' inquired mrs Bardell, pausing.
1265_135635_000099_000000	'Only one of our public offices,' replied Jackson, hurrying her through a door, and looking round to see that the other women were following. 'Look sharp, Isaac!'	'Only one of our public offices,' replied Jackson, hurrying her through a door, and looking round to see that the other women were following. 'Look sharp, Isaac!'
1265_135635_000100_000000	'Safe and sound,' replied the man with the ash stick.	'Safe and sound,' replied the man with the ash stick.
1265_135635_000100_000001	The door swung heavily after them, and they descended a small flight of steps.	The door swung heavily after them, and they descended a small flight of steps.
1265_135635_000101_000000	'Here we are at last.	'Here we are at last.
1265_135635_000102_000000	'What do you mean?' said Mrs. Bardell, with a palpitating heart.	'What do you mean?' said mrs Bardell, with a palpitating heart.
1265_135635_000103_000002	It was their duty in the way of business, to take you in execution for them costs; but they were anxious to spare your feelings as much as they could.	It was their duty in the way of business, to take you in execution for them costs; but they were anxious to spare your feelings as much as they could.
1265_135635_000103_000003	What a comfort it must be, to you, to think how it's been done!	What a comfort it must be, to you, to think how it's been done!
1265_135635_000103_000004	This is the Fleet, ma'am. Wish you good-night, Mrs. Bardell.	This is the Fleet, ma'am. Wish you good night, mrs Bardell.
1265_135635_000103_000005	Good-night, Tommy!'	Good night, Tommy!'
1265_135635_000104_000000	As Jackson hurried away in company with the man with the ash stick another man, with a key in his hand, who had been looking on, led the bewildered female to a second short flight of steps leading to a doorway.	As Jackson hurried away in company with the man with the ash stick another man, with a key in his hand, who had been looking on, led the bewildered female to a second short flight of steps leading to a doorway.
1265_135635_000104_000001	Mrs. Bardell screamed violently; Tommy roared; Mrs. Cluppins shrunk within herself; and Mrs. Sanders made off, without more ado.	mrs Bardell screamed violently; Tommy roared; mrs Cluppins shrunk within herself; and mrs Sanders made off, without more ado.
1265_135635_000105_000000	'Don't bother the woman,' said the turnkey to Weller; 'she's just come in.'	'Don't bother the woman,' said the turnkey to Weller; 'she's just come in.'
1265_135635_000106_000000	'A prisoner!' said Sam, quickly replacing his hat.	'A prisoner!' said Sam, quickly replacing his hat.
1265_135635_000106_000001	'Who's the plaintives?	'Who's the plaintives?
1265_135635_000106_000002	What for?	What for?
1265_135635_000106_000003	Speak up, old feller.'	Speak up, old feller.'
1265_135635_000108_000002	I want him directly.	I want him directly.
1265_135635_000108_000003	I see some good in this.	I see some good in this.
