1265_135635_000000_000000	CHAPTER XLVI.	CHAPTER forty six.	true	26.955	28.48	28.482012
1265_135635_000023_000001	The lady as has taken the lodgings!' ejaculated Mrs. Cluppins.	The lady as has taken the lodgings!' ejaculated mrs Cluppins.	true	316.245	320.26	24
1265_135635_000024_000000	Master Bardell put his hands deeper down into his pockets, and nodded exactly thirty-five times, to imply that it was the lady-lodger, and no other.	Master Bardell put his hands deeper down into his pockets, and nodded exactly thirty five times, to imply that it was the lady lodger, and no other.	true	320.66	330.13	26.496382
1265_135635_000025_000000	'Bless us!' said Mrs. Cluppins.	'Bless us!' said mrs Cluppins.	true	330.59	332.505	20.625795
1265_135635_000025_000001	'It's quite a party!'	'It's quite a party!'	true	332.505	333.82	27.110708
1265_135635_000026_000000	'Ah, if you knew what was in the cupboard, you'd say so,' replied Master Bardell.	'Ah, if you knew what was in the cupboard, you'd say so,' replied Master Bardell.	false	334.31	339.12	24.311512
1265_135635_000027_000000	'What is there, Tommy?' said Mrs. Cluppins coaxingly.	'What is there, Tommy?' said mrs Cluppins coaxingly.	true	339.12	342.06	20
1265_135635_000027_000001	'You'll tell ME, Tommy, I know.' 'No, I won't,' replied Master Bardell, shaking his head, and applying himself to the bottom step again.	'You'll tell m e, Tommy, I know.' 'No, I won't,' replied Master Bardell, shaking his head, and applying himself to the bottom step again.	false	342.06	350.74	24.975653
1265_135635_000028_000000	'Drat the child!' muttered Mrs. Cluppins. 'What a prowokin' little wretch it is!	'Drat the child!' muttered mrs Cluppins. 'What a prowokin' little wretch it is!	false	350.96	355.99	26.6449
1265_135635_000028_000001	Come, Tommy, tell your dear Cluppy.'	Come, Tommy, tell your dear Cluppy.'	true	356.03	358.48	25.1304
1265_135635_000029_000000	'Mother said I wasn't to,' rejoined Master Bardell, 'I'm a-goin' to have some, I am.' Cheered by this prospect, the precocious boy applied himself to his infantile treadmill, with increased vigour.	'Mother said I wasn't to,' rejoined Master Bardell, 'I'm a goin' to have some, I am.' Cheered by this prospect, the precocious boy applied himself to his infantile treadmill, with increased vigour.	true	358.67	369.97	23.412678
1265_135635_000030_000000	The above examination of a child of tender years took place while Mr. and Mrs. Raddle and the cab-driver were having an altercation concerning the fare, which, terminating at this point in favour of the cabman, Mrs. Raddle came up tottering.	The above examination of a child of tender years took place while mr and mrs Raddle and the cab driver were having an altercation concerning the fare, which, terminating at this point in favour of the cabman, mrs Raddle came up tottering.	false	370.31	383.94	22
1265_135635_000031_000000	'Lauk, Mary Ann! what's the matter?' said Mrs. Cluppins.	'Lauk, Mary Ann! what's the matter?' said mrs Cluppins.	false	383.94	387.97	24.41078
1265_135635_000032_000000	'It's put me all over in such a tremble, Betsy,' replied Mrs. Raddle. 'Raddle ain't like a man; he leaves everythink to me.'	'It's put me all over in such a tremble, Betsy,' replied mrs Raddle. 'Raddle ain't like a man; he leaves everythink to me.'	true	388.28	395.77	22.42221
1265_135635_000033_000000	This was scarcely fair upon the unfortunate Mr. Raddle, who had been thrust aside by his good lady in the commencement of the dispute, and peremptorily commanded to hold his tongue.	This was scarcely fair upon the unfortunate mr Raddle, who had been thrust aside by his good lady in the commencement of the dispute, and peremptorily commanded to hold his tongue.	true	396.11	405.73	21.244959
1265_135635_000033_000001	He had no opportunity of defending himself, however, for Mrs. Raddle gave unequivocal signs of fainting; which, being perceived from the parlour window, Mrs. Bardell, Mrs. Sanders, the lodger, and the lodger's servant, darted precipitately out, and conveyed her into the house, all talking at the same time, and giving utterance to various expressions of pity and condolence, as if she were one of the most suffering mortals on earth.	He had no opportunity of defending himself, however, for mrs Raddle gave unequivocal signs of fainting; which, being perceived from the parlour window, mrs Bardell, mrs Sanders, the lodger, and the lodger's servant, darted precipitately out, and conveyed her into the house, all talking at the same time, and giving utterance to various expressions of pity and condolence, as if she were one of the most suffering mortals on earth.	false	405.92	430.45	22
1265_135635_000033_000002	Being conveyed into the front parlour, she was there deposited on a sofa; and the lady from the first floor running up to the first floor, returned with a bottle of sal-volatile, which, holding Mrs. Raddle tight round the neck, she applied in all womanly kindness and pity to her nose, until that lady with many plunges and struggles was fain to declare herself decidedly better.	Being conveyed into the front parlour, she was there deposited on a sofa; and the lady from the first floor running up to the first floor, returned with a bottle of sal volatile, which, holding mrs Raddle tight round the neck, she applied in all womanly kindness and pity to her nose, until that lady with many plunges and struggles was fain to declare herself decidedly better.	false	430.73	452.86	23.916227
1265_135635_000034_000000	'Ah, poor thing!' said Mrs. Rogers, 'I know what her feelin's is, too well.' 'Ah, poor thing! so do I,' said Mrs. Sanders; and then all the ladies moaned in unison, and said they knew what it was, and they pitied her from their hearts, they did.	'Ah, poor thing!' said mrs Rogers, 'I know what her feelin's is, too well.' 'Ah, poor thing! so do I,' said mrs Sanders; and then all the ladies moaned in unison, and said they knew what it was, and they pitied her from their hearts, they did.	true	453.2	468.79	21.141396
1265_135635_000034_000001	Even the lodger's little servant, who was thirteen years old and three feet high, murmured her sympathy.	Even the lodger's little servant, who was thirteen years old and three feet high, murmured her sympathy.	true	468.95	474.765	22.878386
1265_135635_000035_000000	'But what's been the matter?' said Mrs. Bardell.	'But what's been the matter?' said mrs Bardell.	false	474.765	477.21	22.826061
1265_135635_000036_000000	'Ah, what has decomposed you, ma'am?' inquired Mrs. Rogers.	'Ah, what has decomposed you, ma'am?' inquired mrs Rogers.	true	477.21	481.24	25
1265_135635_000037_000000	'I have been a good deal flurried,' replied Mrs. Raddle, in a reproachful manner.	'I have been a good deal flurried,' replied mrs Raddle, in a reproachful manner.	true	481.52	486.31	25.308462
1265_135635_000037_000001	Thereupon the ladies cast indignant glances at Mr. Raddle.	Thereupon the ladies cast indignant glances at mr Raddle.	true	486.65	490.57	22.900398
1265_135635_000038_000000	'Why, the fact is,' said that unhappy gentleman, stepping forward, 'when we alighted at this door, a dispute arose with the driver of the cabrioily--' A loud scream from his wife, at the mention of this word, rendered all further explanation inaudible.	'Why, the fact is,' said that unhappy gentleman, stepping forward, 'when we alighted at this door, a dispute arose with the driver of the cabrioily-' A loud scream from his wife, at the mention of this word, rendered all further explanation inaudible.	false	490.85	505.08	23.393276
1265_135635_000039_000000	'You'd better leave us to bring her round, Raddle,' said Mrs. Cluppins. 'She'll never get better as long as you're here.'	'You'd better leave us to bring her round, Raddle,' said mrs Cluppins. 'She'll never get better as long as you're here.'	false	505.08	511.81	21.33534
1265_135635_000040_000000	All the ladies concurred in this opinion; so Mr. Raddle was pushed out of the room, and requested to give himself an airing in the back yard. Which he did for about a quarter of an hour, when Mrs. Bardell announced to him with a solemn face that he might come in now, but that he must be very careful how he behaved towards his wife.	All the ladies concurred in this opinion; so mr Raddle was pushed out of the room, and requested to give himself an airing in the back yard. Which he did for about a quarter of an hour, when mrs Bardell announced to him with a solemn face that he might come in now, but that he must be very careful how he behaved towards his wife.	true	512.12	529.56	23.347113
1265_135635_000040_000001	She knew he didn't mean to be unkind; but Mary Ann was very far from strong, and, if he didn't take care, he might lose her when he least expected it, which would be a very dreadful reflection for him afterwards; and so on.	She knew he didn't mean to be unkind; but Mary Ann was very far from strong, and, if he didn't take care, he might lose her when he least expected it, which would be a very dreadful reflection for him afterwards; and so on.	false	529.56	542.26	22.82794
1265_135635_000040_000002	All this, Mr. Raddle heard with great submission, and presently returned to the parlour in a most lamb-like manner.	All this, mr Raddle heard with great submission, and presently returned to the parlour in a most lamb like manner.	false	542.63	549.1	23.068056
1265_135635_000041_000000	'Why, Mrs. Rogers, ma'am,' said Mrs. Bardell, 'you've never been introduced, I declare!	'Why, mrs Rogers, ma'am,' said mrs Bardell, 'you've never been introduced, I declare!	true	549.35	554.02	22.0901
1265_135635_000041_000001	Mr. Raddle, ma'am; Mrs. Cluppins, ma'am; Mrs. Raddle, ma'am.'	mr Raddle, ma'am; mrs Cluppins, ma'am; mrs Raddle, ma'am.'	true	554.15	559.45	26.458345
1265_135635_000042_000000	'Which is Mrs. Cluppins's sister,' suggested Mrs. Sanders.	'Which is mrs Cluppins's sister,' suggested mrs Sanders.	true	559.46	562.84	22.01615
1265_135635_000043_000000	'Oh, indeed!' said Mrs. Rogers graciously; for she was the lodger, and her servant was in waiting, so she was more gracious than intimate, in right of her position.	'Oh, indeed!' said mrs Rogers graciously; for she was the lodger, and her servant was in waiting, so she was more gracious than intimate, in right of her position.	true	562.91	572.205	22.912275
1265_135635_000043_000001	'Oh, indeed!'	'Oh, indeed!'	true	572.205	573.55	22.952457
1265_135635_000044_000000	Mrs. Raddle smiled sweetly, Mr. Raddle bowed, and Mrs. Cluppins said, 'she was sure she was very happy to have an opportunity of being known to a lady which she had heerd so much in favour of, as Mrs. Rogers.' A compliment which the last-named lady acknowledged with graceful condescension.	mrs Raddle smiled sweetly, mr Raddle bowed, and mrs Cluppins said, 'she was sure she was very happy to have an opportunity of being known to a lady which she had heerd so much in favour of, as mrs Rogers.' A compliment which the last named lady acknowledged with graceful condescension.	true	573.71	590.5	22
1265_135635_000045_000000	'Well, Mr. Raddle,' said Mrs. Bardell; 'I'm sure you ought to feel very much honoured at you and Tommy being the only gentlemen to escort so many ladies all the way to the Spaniards, at Hampstead.	'Well, mr Raddle,' said mrs Bardell; 'I'm sure you ought to feel very much honoured at you and Tommy being the only gentlemen to escort so many ladies all the way to the Spaniards, at Hampstead.	true	590.81	600.945	22
1265_135635_000045_000001	Don't you think he ought, Mrs. Rogers, ma'am?' 'Oh, certainly, ma'am,' replied Mrs. Rogers; after whom all the other ladies responded, 'Oh, certainly.'	Don't you think he ought, mrs Rogers, ma'am?' 'Oh, certainly, ma'am,' replied mrs Rogers; after whom all the other ladies responded, 'Oh, certainly.'	false	600.945	609.82	23.259832
1265_135635_000046_000000	'Of course I feel it, ma'am,' said Mr. Raddle, rubbing his hands, and evincing a slight tendency to brighten up a little.	'Of course I feel it, ma'am,' said mr Raddle, rubbing his hands, and evincing a slight tendency to brighten up a little.	false	610.19	616.365	23.342796
1265_135635_000046_000001	'Indeed, to tell you the truth, I said, as we was a-coming along in the cabrioily--'	'Indeed, to tell you the truth, I said, as we was a coming along in the cabrioily-'	true	616.365	621.22	21
1265_135635_000047_000000	At the recapitulation of the word which awakened so many painful recollections, Mrs. Raddle applied her handkerchief to her eyes again, and uttered a half-suppressed scream; so that Mrs. Bardell frowned upon Mr. Raddle, to intimate that he had better not say anything more, and desired Mrs. Rogers's servant, with an air, to 'put the wine on.'	At the recapitulation of the word which awakened so many painful recollections, mrs Raddle applied her handkerchief to her eyes again, and uttered a half suppressed scream; so that mrs Bardell frowned upon mr Raddle, to intimate that he had better not say anything more, and desired mrs Rogers's servant, with an air, to 'put the wine on.'	false	621.86	641.65	23.664183
1265_135635_000048_000000	This was the signal for displaying the hidden treasures of the closet, which comprised sundry plates of oranges and biscuits, and a bottle of old crusted port--that at one-and-nine--with another of the celebrated East India sherry at fourteen-pence, which were all produced in honour of the lodger, and afforded unlimited satisfaction to everybody.	This was the signal for displaying the hidden treasures of the closet, which comprised sundry plates of oranges and biscuits, and a bottle of old crusted port-that at one and nine-with another of the celebrated East India sherry at fourteen pence, which were all produced in honour of the lodger, and afforded unlimited satisfaction to everybody.	false	641.99	661.75	20
1265_135635_000048_000001	After great consternation had been excited in the mind of Mrs. Cluppins, by an attempt on the part of Tommy to recount how he had been cross-examined regarding the cupboard then in action (which was fortunately nipped in the bud by his imbibing half a glass of the old crusted 'the wrong way,' and thereby endangering his life for some seconds), the party walked forth in quest of a Hampstead stage.	After great consternation had been excited in the mind of mrs Cluppins, by an attempt on the part of Tommy to recount how he had been cross examined regarding the cupboard then in action (which was fortunately nipped in the bud by his imbibing half a glass of the old crusted 'the wrong way,' and thereby endangering his life for some seconds), the party walked forth in quest of a Hampstead stage.	false	662.09	683.41	20
1265_135635_000048_000002	This was soon found, and in a couple of hours they all arrived safely in the Spaniards Tea-gardens, where the luckless Mr. Raddle's very first act nearly occasioned his good lady a relapse; it being neither more nor less than to order tea for seven, whereas (as the ladies one and all remarked), what could have been easier than for Tommy to have drank out of anybody's cup--or everybody's, if that was all--when the waiter wasn't looking, which would have saved one head of tea, and the tea just as good!	This was soon found, and in a couple of hours they all arrived safely in the Spaniards Tea gardens, where the luckless mr Raddle's very first act nearly occasioned his good lady a relapse; it being neither more nor less than to order tea for seven, whereas (as the ladies one and all remarked), what could have been easier than for Tommy to have drank out of anybody's cup-or everybody's, if that was all-when the waiter wasn't looking, which would have saved one head of tea, and the tea just as good!	false	683.54	710.62	21
1265_135635_000049_000000	However, there was no help for it, and the tea-tray came, with seven cups and saucers, and bread-and-butter on the same scale.	However, there was no help for it, and the tea tray came, with seven cups and saucers, and bread and butter on the same scale.	false	710.93	717.58	23.99497
1265_135635_000049_000001	Mrs. Bardell was unanimously voted into the chair, and Mrs. Rogers being stationed on her right hand, and Mrs. Raddle on her left, the meal proceeded with great merriment and success.	mrs Bardell was unanimously voted into the chair, and mrs Rogers being stationed on her right hand, and mrs Raddle on her left, the meal proceeded with great merriment and success.	true	717.65	728.32	23
1265_135635_000050_000000	'How sweet the country is, to be sure!' sighed Mrs. Rogers; 'I almost wish I lived in it always.'	'How sweet the country is, to be sure!' sighed mrs Rogers; 'I almost wish I lived in it always.'	true	728.78	734.38	22.325418
1265_135635_000051_000000	'Oh, you wouldn't like that, ma'am,' replied Mrs. Bardell, rather hastily; for it was not at all advisable, with reference to the lodgings, to encourage such notions; 'you wouldn't like it, ma'am.'	'Oh, you wouldn't like that, ma'am,' replied mrs Bardell, rather hastily; for it was not at all advisable, with reference to the lodgings, to encourage such notions; 'you wouldn't like it, ma'am.'	true	734.81	745.3	23.203087
1265_135635_000052_000000	'Oh!	'Oh!	true	745.7	746.07	100
1265_135635_000052_000001	I should think you was a deal too lively and sought after, to be content with the country, ma'am,' said little Mrs. Cluppins.	I should think you was a deal too lively and sought after, to be content with the country, ma'am,' said little mrs Cluppins.	false	746.07	752.53	21
1265_135635_000053_000000	'Perhaps I am, ma'am.	'Perhaps I am, ma'am.	true	752.9	754.11	26.969038
1265_135635_000053_000001	Perhaps I am,' sighed the first-floor lodger.	Perhaps I am,' sighed the first floor lodger.	true	754.11	756.91	23.463507
1265_135635_000054_000000	'For lone people as have got nobody to care for them, or take care of them, or as have been hurt in their mind, or that kind of thing,' observed Mr. Raddle, plucking up a little cheerfulness, and looking round, 'the country is all very well.	'For lone people as have got nobody to care for them, or take care of them, or as have been hurt in their mind, or that kind of thing,' observed mr Raddle, plucking up a little cheerfulness, and looking round, 'the country is all very well.	true	757.19	769.575	23
1265_135635_000054_000001	The country for a wounded spirit, they say.'	The country for a wounded spirit, they say.'	true	769.575	771.94	22.84485
1265_135635_000055_000000	Now, of all things in the world that the unfortunate man could have said, any would have been preferable to this.	Now, of all things in the world that the unfortunate man could have said, any would have been preferable to this.	true	772.61	778.48	25
1265_135635_000055_000001	Of course Mrs. Bardell burst into tears, and requested to be led from the table instantly; upon which the affectionate child began to cry too, most dismally.	Of course mrs Bardell burst into tears, and requested to be led from the table instantly; upon which the affectionate child began to cry too, most dismally.	true	778.97	788.17	22.538559
1265_135635_000056_000000	'Would anybody believe, ma'am,' exclaimed Mrs. Raddle, turning fiercely to the first-floor lodger, 'that a woman could be married to such a unmanly creetur, which can tamper with a woman's feelings as he does, every hour in the day, ma'am?'	'Would anybody believe, ma'am,' exclaimed mrs Raddle, turning fiercely to the first floor lodger, 'that a woman could be married to such a unmanly creetur, which can tamper with a woman's feelings as he does, every hour in the day, ma'am?'	true	788.51	801.55	20
1265_135635_000057_000000	'My dear,' remonstrated Mr. Raddle, 'I didn't mean anything, my dear.'	'My dear,' remonstrated mr Raddle, 'I didn't mean anything, my dear.'	true	802.04	806.05	20.758127
1265_135635_000058_000000	'You didn't mean!' repeated Mrs. Raddle, with great scorn and contempt. 'Go away.	'You didn't mean!' repeated mrs Raddle, with great scorn and contempt. 'Go away.	true	806.45	810.825	20.797226
1265_135635_000058_000001	I can't bear the sight on you, you brute.'	I can't bear the sight on you, you brute.'	true	810.825	813.46	22.250141
1265_135635_000059_000000	'You must not flurry yourself, Mary Ann,' interposed Mrs. Cluppins.	'You must not flurry yourself, Mary Ann,' interposed mrs Cluppins.	true	813.98	817.575	22.916864
1265_135635_000059_000001	'You really must consider yourself, my dear, which you never do.	'You really must consider yourself, my dear, which you never do.	true	817.575	820.89	21
1265_135635_000059_000002	Now go away, Raddle, there's a good soul, or you'll only aggravate her.'	Now go away, Raddle, there's a good soul, or you'll only aggravate her.'	true	820.89	824.7	20.820848
1265_135635_000060_000000	'You had better take your tea by yourself, Sir, indeed,' said Mrs. Rogers, again applying the smelling-bottle.	'You had better take your tea by yourself, Sir, indeed,' said mrs Rogers, again applying the smelling bottle.	false	824.7	831.1	22.261093
1265_135635_000061_000000	Mrs. Sanders, who, according to custom, was very busy with the bread-and-butter, expressed the same opinion, and Mr. Raddle quietly retired.	mrs Sanders, who, according to custom, was very busy with the bread and butter, expressed the same opinion, and mr Raddle quietly retired.	true	831.2	839.11	22.694763
1265_135635_000062_000000	After this, there was a great hoisting up of Master Bardell, who was rather a large size for hugging, into his mother's arms, in which operation he got his boots in the tea-board, and occasioned some confusion among the cups and saucers.	After this, there was a great hoisting up of Master Bardell, who was rather a large size for hugging, into his mother's arms, in which operation he got his boots in the tea board, and occasioned some confusion among the cups and saucers.	false	839.54	852.525	21
1265_135635_000062_000001	But that description of fainting fits, which is contagious among ladies, seldom lasts long; so when he had been well kissed, and a little cried over, Mrs. Bardell recovered, set him down again, wondering how she could have been so foolish, and poured out some more tea.	But that description of fainting fits, which is contagious among ladies, seldom lasts long; so when he had been well kissed, and a little cried over, mrs Bardell recovered, set him down again, wondering how she could have been so foolish, and poured out some more tea.	true	852.525	868.3	24.178465
1265_135635_000063_000000	It was at this moment, that the sound of approaching wheels was heard, and that the ladies, looking up, saw a hackney-coach stop at the garden gate.	It was at this moment, that the sound of approaching wheels was heard, and that the ladies, looking up, saw a hackney coach stop at the garden gate.	true	868.82	876.4	24.733755
1265_135635_000064_000000	'More company!' said Mrs. Sanders.	'More company!' said mrs Sanders.	true	876.53	878.98	25.849234
1265_135635_000065_000000	'It's a gentleman,' said Mrs. Raddle.	'It's a gentleman,' said mrs Raddle.	true	879.14	881.5	21.158741
1265_135635_000066_000000	'Well, if it ain't Mr. Jackson, the young man from Dodson and Fogg's!' cried Mrs. Bardell. 'Why, gracious!	'Well, if it ain't mr Jackson, the young man from Dodson and Fogg's!' cried mrs Bardell. 'Why, gracious!	false	881.72	887.67	22.654276
1265_135635_000066_000001	Surely Mr. Pickwick can't have paid the damages.'	Surely mr Pickwick can't have paid the damages.'	true	887.67	890.32	24
1265_135635_000067_000000	'Or hoffered marriage!' said Mrs. Cluppins.	'Or hoffered marriage!' said mrs Cluppins.	true	890.48	893.35	21.160162
1265_135635_000068_000000	'Dear me, how slow the gentleman is,'exclaimed Mrs. Rogers.	'Dear me, how slow the gentleman is,'exclaimed mrs Rogers.	true	893.87	897.64	21.278324
