4133_6541_000001_000001	To-night Ponting has photographed the hand.	To night Ponting has photographed the hand.
4133_6541_000029_000001	Out for exercise at this time I was obliged to lean against the wind, my light overall clothes flapping wildly and almost dragged from me; later when the wind rose again it was quite an effort to stagger back to the hut against it.	Out for exercise at this time I was obliged to lean against the wind, my light overall clothes flapping wildly and almost dragged from me; later when the wind rose again it was quite an effort to stagger back to the hut against it.
4133_6541_000031_000000	The work goes on very steadily--the men are making crampons and ski boots of the new style.	The work goes on very steadily-the men are making crampons and ski boots of the new style.
4133_6541_000031_000001	Evans is constructing plans of the Dry Valley and Koettlitz Glacier with the help of the Western Party.	Evans is constructing plans of the Dry Valley and Koettlitz Glacier with the help of the Western Party.
4133_6541_000032_000000	Science cannot be served by 'dilettante' methods, but demands a mind spurred by ambition or the satisfaction of ideals.	Science cannot be served by 'dilettante' methods, but demands a mind spurred by ambition or the satisfaction of ideals.
4133_6541_000033_000000	Our most popular game for evening recreation is chess; so many players have developed that our two sets of chessmen are inadequate.	Our most popular game for evening recreation is chess; so many players have developed that our two sets of chessmen are inadequate.
4133_6541_000035_000000	At noon yesterday one of the best ponies, 'Bones,' suddenly went off his feed--soon after it was evident that he was distressed and there could be no doubt that he was suffering from colic.	At noon yesterday one of the best ponies, 'Bones,' suddenly went off his feed-soon after it was evident that he was distressed and there could be no doubt that he was suffering from colic.
4133_6541_000035_000001	Oates called my attention to it, but we were neither much alarmed, remembering the speedy recovery of 'Jimmy Pigg' under similar circumstances.	Oates called my attention to it, but we were neither much alarmed, remembering the speedy recovery of 'Jimmy Pigg' under similar circumstances.
4133_6541_000035_000002	Later the pony was sent out for exercise with Crean.	Later the pony was sent out for exercise with Crean.
4133_6541_000035_000003	I passed him twice and seemed to gather that things were well, but Crean afterwards told me that he had had considerable trouble.	I passed him twice and seemed to gather that things were well, but Crean afterwards told me that he had had considerable trouble.
4133_6541_000035_000004	Every few minutes the poor beast had been seized with a spasm of pain, had first dashed forward as though to escape it and then endeavoured to lie down.	Every few minutes the poor beast had been seized with a spasm of pain, had first dashed forward as though to escape it and then endeavoured to lie down.
4133_6541_000035_000011	But as hour after hour passed without improvement, it was impossible not to realise that the poor beast was dangerously ill.	But as hour after hour passed without improvement, it was impossible not to realise that the poor beast was dangerously ill.
4133_6541_000037_000003	Within three minutes it had drunk a bucket of water and had started to feed.	Within three minutes it had drunk a bucket of water and had started to feed.
4133_6541_000040_000002	It can scarcely be coincidence that the two ponies which have suffered so far are those which are nearest the stove end of the stable.	It can scarcely be coincidence that the two ponies which have suffered so far are those which are nearest the stove end of the stable.
4133_6541_000042_000001	'Bones' seems to be getting on well, though not yet quite so buckish as he was before his trouble.	'Bones' seems to be getting on well, though not yet quite so buckish as he was before his trouble.
4133_6541_000042_000003	It is not easy to get over the alarm of Thursday night--the situation is altogether too critical.	It is not easy to get over the alarm of Thursday night-the situation is altogether too critical.
4133_6541_000044_000000	Usual Sunday routine.	Usual Sunday routine.
4133_6541_000047_000003	If we can get these people to run about at football all will be well.	If we can get these people to run about at football all will be well.
4133_6541_000047_000004	Anyway the return of the light should cure all ailments physical and mental.	Anyway the return of the light should cure all ailments physical and mental.
4133_6541_000049_000000	This fleeting hour of light is very pleasant, but of course dependent on a clear sky, very rare.	This fleeting hour of light is very pleasant, but of course dependent on a clear sky, very rare.
4133_6541_000050_000003	The course of events is not very clear, but it looks as though the gale pressed up the crack, raising broken pieces of the thin ice formed after recent opening movements.	The course of events is not very clear, but it looks as though the gale pressed up the crack, raising broken pieces of the thin ice formed after recent opening movements.
4133_6541_000050_000005	It is surprising to find such a big disturbance from what appears to be a simple cause.	It is surprising to find such a big disturbance from what appears to be a simple cause.
4133_6541_000051_000003	Yesterday the planet Venus appeared under similar circumstances as a ship's side-light or Japanese lantern.	Yesterday the planet Venus appeared under similar circumstances as a ship's side light or Japanese lantern.
4133_6541_000051_000004	In both cases there was a flickering in the light and a change of colour from deep orange yellow to blood red, but the latter was dominant.	In both cases there was a flickering in the light and a change of colour from deep orange yellow to blood red, but the latter was dominant.
4133_6541_000055_000002	higher.	higher.
4133_6541_000055_000005	We passed a quiet Sunday with the usual Service to break the week-day routine.	We passed a quiet Sunday with the usual Service to break the week day routine.
4133_6541_000055_000008	I went to see the crack at which soundings were taken a week ago--then it was several feet open with thin ice between--now it is pressed up into a sharp ridge 3 to 4 feet high: the edge pressed up shows an 18 inch thickness--this is of course an effect of the warm weather.	I went to see the crack at which soundings were taken a week ago-then it was several feet open with thin ice between-now it is pressed up into a sharp ridge three to four feet high: the edge pressed up shows an eighteen inch thickness-this is of course an effect of the warm weather.
4133_6541_000057_000000	The light comes on apace.	The light comes on apace.
4133_6541_000059_000000	The light, merry humour of our company has never been eclipsed, the good-natured, kindly chaff has never ceased since those early days of enthusiasm which inspired them--they have survived the winter days of stress and already renew themselves with the coming of spring.	The light, merry humour of our company has never been eclipsed, the good-natured, kindly chaff has never ceased since those early days of enthusiasm which inspired them-they have survived the winter days of stress and already renew themselves with the coming of spring.
