7981_112061_000001_000000	Chapter 8 AT COURT	Chapter eight AT COURT
7981_112061_000018_000004	Vincent, aghast, begged her to sit down and talk the matter over, but Madame declined curtly.	Vincent, aghast, begged her to sit down and talk the matter over, but Madame declined curtly.
7981_112061_000019_000000	What was to be done?	What was to be done?
7981_112061_000019_000001	To resist would only provoke; submission seemed the wisest, if not the only course.	To resist would only provoke; submission seemed the wisest, if not the only course.
7981_112061_000022_000002	The form is not drawn up at all!"	The form is not drawn up at all!"
7981_112061_000024_000001	"Suppose you go and make my peace with her," she said pleasantly, despatching the unfortunate Vincent on this very disagreeable errand.	"Suppose you go and make my peace with her," she said pleasantly, despatching the unfortunate Vincent on this very disagreeable errand.
7981_112061_000025_000000	He was shown into the lady's presence and carried out his mission with the greatest possible tact, but the Duchess could not control her fury.	He was shown into the lady's presence and carried out his mission with the greatest possible tact, but the Duchess could not control her fury.
7981_112061_000025_000003	"Come on," said Vincent; "our business lies in another direction." "Is it not strange," he said, smiling, a few moments later, as he tried to staunch the blood with his handkerchief, "to what lengths the affection of a mother for her son will go!"	"Come on," said Vincent; "our business lies in another direction." "Is it not strange," he said, smiling, a few moments later, as he tried to staunch the blood with his handkerchief, "to what lengths the affection of a mother for her son will go!"
7981_112061_000026_000001	As time went on he resolved at any cost to rid the Court of the presence of this man, whose simple, straightforward conduct baffled the wily and defeated their plans; but an attempt to get him ejected from the Council met with such stormy opposition that the Prime Minister determined to change his tactics.	As time went on he resolved at any cost to rid the Court of the presence of this man, whose simple, straightforward conduct baffled the wily and defeated their plans; but an attempt to get him ejected from the Council met with such stormy opposition that the Prime Minister determined to change his tactics.
7981_112061_000027_000000	But the summoning of the Council rested with Mazarin, and the intervals between its meetings became longer and longer.	But the summoning of the Council rested with Mazarin, and the intervals between its meetings became longer and longer.
7981_112061_000027_000001	Anne of Austria's sudden spurt of energy--she was a thoroughly indolent woman by nature--began to die out as she became accustomed to her new responsibilities; she was only too glad to leave all matters of State to a man who declared that his only desire was to save her worry and trouble.	Anne of Austria's sudden spurt of energy-she was a thoroughly indolent woman by nature-began to die out as she became accustomed to her new responsibilities; she was only too glad to leave all matters of State to a man who declared that his only desire was to save her worry and trouble.
