1445_139387_000000_000000	CHAPTER 6 -- Swimming in Glory	CHAPTER six -- Swimming in Glory	false	23.055	26.49	24.139408
1445_139387_000004_000002	But don't, if you do."	But don't, if you do."	true	134.36	136.03	20.962767
1445_139387_000005_000000	"Oh, we don't mind it at all, madam; in our case it was merely misfortune, and nobody's fault.	"Oh, we don't mind it at all, madam; in our case it was merely misfortune, and nobody's fault.	false	137.84	145.45	18.502161
1445_139387_000005_000001	Our parents were well to do, there in Italy, and we were their only child.	Our parents were well to do, there in Italy, and we were their only child.	true	145.85	151.3	11
1445_139387_000005_000002	We were of the old Florentine nobility"--Rowena's heart gave a great bound, her nostrils expanded, and a fine light played in her eyes--"and when the war broke out, my father was on the losing side and had to fly for his life.	We were of the old Florentine nobility"--Rowena's heart gave a great bound, her nostrils expanded, and a fine light played in her eyes-"and when the war broke out, my father was on the losing side and had to fly for his life.	false	151.79	171.58	18.025238
1445_139387_000005_000003	His estates were confiscated, his personal property seized, and there we were, in Germany, strangers, friendless, and in fact paupers.	His estates were confiscated, his personal property seized, and there we were, in Germany, strangers, friendless, and in fact paupers.	true	172.1	184.06	21.682125
1445_139387_000005_000004	My brother and I were ten years old, and well educated for that age, very studious, very fond of our books, and well grounded in the German, French, Spanish, and English languages.	My brother and I were ten years old, and well educated for that age, very studious, very fond of our books, and well grounded in the German, French, Spanish, and English languages.	true	184.76	198.88	16
1445_139387_000005_000005	Also, we were marvelous musical prodigies--if you will allow me to say it, it being only the truth.	Also, we were marvelous musical prodigies-if you will allow me to say it, it being only the truth.	true	199.91	207.52	16
1445_139387_000006_000000	"Our father survived his misfortunes only a month, our mother soon followed him, and we were alone in the world.	"Our father survived his misfortunes only a month, our mother soon followed him, and we were alone in the world.	true	208.49	217.06	17.400469
1445_139387_000006_000001	Our parents could have made themselves comfortable by exhibiting us as a show, and they had many and large offers; but the thought revolted their pride, and they said they would starve and die first.	Our parents could have made themselves comfortable by exhibiting us as a show, and they had many and large offers; but the thought revolted their pride, and they said they would starve and die first.	true	217.64	230.95	18.575718
1445_139387_000006_000002	But what they wouldn't consent to do, we had to do without the formality of consent.	But what they wouldn't consent to do, we had to do without the formality of consent.	true	231.8	237.97	20.742054
1445_139387_000006_000003	We were seized for the debts occasioned by their illness and their funerals, and placed among the attractions of a cheap museum in Berlin to earn the liquidation money.	We were seized for the debts occasioned by their illness and their funerals, and placed among the attractions of a cheap museum in Berlin to earn the liquidation money.	false	238.64	251.01	19.78741
1445_139387_000006_000004	It took us two years to get out of that slavery.	It took us two years to get out of that slavery.	true	251.01	254.41	18
1445_139387_000006_000005	We traveled all about Germany, receiving no wages, and not even our keep.	We traveled all about Germany, receiving no wages, and not even our keep.	true	255.14	260.89	17.337467
1445_139387_000006_000006	We had to be exhibited for nothing, and beg our bread.	We had to be exhibited for nothing, and beg our bread.	true	261.62	265.9	16
1445_139387_000007_000000	"Well, madam, the rest is not of much consequence.	"Well, madam, the rest is not of much consequence.	true	267.8	271.45	17
1445_139387_000007_000001	When we escaped from that slavery at twelve years of age, we were in some respects men.	When we escaped from that slavery at twelve years of age, we were in some respects men.	true	272.09	279.55	23.232882
1445_139387_000007_000002	Experience had taught us some valuable things; among others, how to take care of ourselves, how to avoid and defeat sharks and sharpers, and how to conduct our own business for our own profit and without other people's help.	Experience had taught us some valuable things; among others, how to take care of ourselves, how to avoid and defeat sharks and sharpers, and how to conduct our own business for our own profit and without other people's help.	true	280.34	298.54	22.509367
1445_139387_000007_000003	We traveled everywhere--years and years--picking up smatterings of strange tongues, familiarizing ourselves with strange sights and strange customs, accumulating an education of a wide and varied and curious sort.	We traveled everywhere-years and years-picking up smatterings of strange tongues, familiarizing ourselves with strange sights and strange customs, accumulating an education of a wide and varied and curious sort.	true	299.48	317.56	20
1445_139387_000007_000004	It was a pleasant life.	It was a pleasant life.	true	318.26	320.14	22.192348
1445_139387_000007_000005	We went to Venice--to London, Paris, Russia, India, China, Japan--"	We went to Venice-to London, Paris, Russia, India, China, Japan-"	true	320.63	329.14	20.728214
1445_139387_000008_000000	At this point Nancy, the slave woman, thrust her head in at the door and exclaimed:	At this point Nancy, the slave woman, thrust her head in at the door and exclaimed:	false	330.38	336.49	21.133978
1445_139387_000009_000000	"Ole Missus, de house is plum' jam full o' people, en dey's jes a-spi'lin' to see de gen'lemen!" She indicated the twins with a nod of her head, and tucked it back out of sight again.	"Ole Missus, de house is plum' jam full o' people, en dey's jes a spi'lin' to see de gen'lemen!" She indicated the twins with a nod of her head, and tucked it back out of sight again.	false	336.86	351.31	21.951063
1445_139387_000010_000000	It was a proud occasion for the widow, and she promised herself high satisfaction in showing off her fine foreign birds before her neighbors and friends--simple folk who had hardly ever seen a foreigner of any kind, and never one of any distinction or style.	It was a proud occasion for the widow, and she promised herself high satisfaction in showing off her fine foreign birds before her neighbors and friends-simple folk who had hardly ever seen a foreigner of any kind, and never one of any distinction or style.	false	352.73	372.04	16
1445_139387_000010_000001	Yet her feeling was moderate indeed when contrasted with Rowena's.	Yet her feeling was moderate indeed when contrasted with Rowena's.	true	373.19	377.8	13
1445_139387_000010_000002	Rowena was in the clouds, she walked on air; this was to be the greatest day, the most romantic episode in the colorless history of that dull country town.	Rowena was in the clouds, she walked on air; this was to be the greatest day, the most romantic episode in the colorless history of that dull country town.	true	379.25	392.68	22.191212
1445_139387_000010_000003	She was to be familiarly near the source of its glory and feel the full flood of it pour over her and about her; the other girls could only gaze and envy, not partake.	She was to be familiarly near the source of its glory and feel the full flood of it pour over her and about her; the other girls could only gaze and envy, not partake.	true	393.29	407.41	18.715044
1445_139387_000011_000000	The widow was ready, Rowena was ready, so also were the foreigners.	The widow was ready, Rowena was ready, so also were the foreigners.	true	408.83	415.18	16.786083
1445_139387_000012_000000	The party moved along the hall, the twins in advance, and entered the open parlor door, whence issued a low hum of conversation.	The party moved along the hall, the twins in advance, and entered the open parlor door, whence issued a low hum of conversation.	true	416.75	426.85	18
1445_139387_000012_000001	The twins took a position near the door, the widow stood at Luigi's side, Rowena stood beside Angelo, and the march-past and the introductions began.	The twins took a position near the door, the widow stood at Luigi's side, Rowena stood beside Angelo, and the march past and the introductions began.	true	427.79	440.14	20
1445_139387_000012_000002	The widow was all smiles and contentment.	The widow was all smiles and contentment.	true	441.02	444.43	19
1445_139387_000012_000003	She received the procession and passed it on to Rowena.	She received the procession and passed it on to Rowena.	true	444.83	449.23	18.785358
1445_139387_000013_000000	"Good mornin', Sister Cooper"--handshake.	"Good mornin', Sister Cooper"--handshake.	true	450.92	454.33	26.261404
1445_139387_000014_000000	"Good morning, Brother Higgins--Count Luigi Capello, Mr. Higgins" --handshake, followed by a devouring stare and "I'm glad to see ye," on the part of Higgins, and a courteous inclination of the head and a pleasant "Most happy!" on the part of Count Luigi.	"Good morning, Brother Higgins-Count Luigi Capello, mr Higgins" --handshake, followed by a devouring stare and "I'm glad to see ye," on the part of Higgins, and a courteous inclination of the head and a pleasant "Most happy!" on the part of Count Luigi.	true	455.45	476.14	20.688938
1445_139387_000015_000000	"Good mornin', Roweny"--handshake.	"Good mornin', Roweny"--handshake.	true	477.56	480.7	25.728516
1445_139387_000016_000000	"Good morning, Mr. Higgins--present you to Count Angelo Capello." Handshake, admiring stare, "Glad to see ye"--courteous nod, smily "Most happy!" and Higgins passes on.	"Good morning, mr Higgins-present you to Count Angelo Capello." Handshake, admiring stare, "Glad to see ye"--courteous nod, smily "Most happy!" and Higgins passes on.	false	482.12	500.38	20.919134
1445_139387_000017_000000	None of these visitors was at ease, but, being honest people, they didn't pretend to be.	None of these visitors was at ease, but, being honest people, they didn't pretend to be.	true	502.1	508.63	21
1445_139387_000017_000001	None of them had ever seen a person bearing a title of nobility before, and none had been expecting to see one now, consequently the title came upon them as a kind of pile-driving surprise and caught them unprepared.	None of them had ever seen a person bearing a title of nobility before, and none had been expecting to see one now, consequently the title came upon them as a kind of pile driving surprise and caught them unprepared.	true	509.42	525.73	19
1445_139387_000017_000002	A few tried to rise to the emergency, and got out an awkward "My lord," or "Your lordship," or something of that sort, but the great majority were overwhelmed by the unaccustomed word and its dim and awful associations with gilded courts and stately ceremony and anointed kingship, so they only fumbled through the handshake and passed on, speechless.	A few tried to rise to the emergency, and got out an awkward "My lord," or "Your lordship," or something of that sort, but the great majority were overwhelmed by the unaccustomed word and its dim and awful associations with gilded courts and stately ceremony and anointed kingship, so they only fumbled through the handshake and passed on, speechless.	true	526.97	556	20.582514
1445_139387_000017_000003	Now and then, as happens at all receptions everywhere, a more than ordinary friendly soul blocked the procession and kept it waiting while he inquired how the brothers liked the village, and how long they were going to stay, and if their family was well, and dragged in the weather, and hoped it would get cooler soon, and all that sort of thing, so as to be able to say, when he got home, "I had quite a long talk with them"; but nobody did or said anything of a regrettable kind, and so the great affair went through to the end in a creditable and satisfactory fashion.	Now and then, as happens at all receptions everywhere, a more than ordinary friendly soul blocked the procession and kept it waiting while he inquired how the brothers liked the village, and how long they were going to stay, and if their family was well, and dragged in the weather, and hoped it would get cooler soon, and all that sort of thing, so as to be able to say, when he got home, "I had quite a long talk with them"; but nobody did or said anything of a regrettable kind, and so the great affair went through to the end in a creditable and satisfactory fashion.	false	557.24	598.81	19.909239
1445_139387_000018_000000	General conversation followed, and the twins drifted about from group to group, talking easily and fluently and winning approval, compelling admiration and achieving favor from all.	General conversation followed, and the twins drifted about from group to group, talking easily and fluently and winning approval, compelling admiration and achieving favor from all.	true	600.71	614.95	20
1445_139387_000018_000001	The widow followed their conquering march with a proud eye, and every now and then Rowena said to herself with deep satisfaction, "And to think they are ours--all ours!"	The widow followed their conquering march with a proud eye, and every now and then Rowena said to herself with deep satisfaction, "And to think they are ours-all ours!"	false	616.01	629.95	20
1445_139387_000019_000000	There were no idle moments for mother or daughter.	There were no idle moments for mother or daughter.	true	631.91	635.05	15
1445_139387_000019_000001	Eager inquiries concerning the twins were pouring into their enchanted ears all the time; each was the constant center of a group of breathless listeners; each recognized that she knew now for the first time the real meaning of that great word Glory, and perceived the stupendous value of it, and understood why men in all ages had been willing to throw away meaner happiness, treasure, life itself, to get a taste of its sublime and supreme joy.	Eager inquiries concerning the twins were pouring into their enchanted ears all the time; each was the constant center of a group of breathless listeners; each recognized that she knew now for the first time the real meaning of that great word Glory, and perceived the stupendous value of it, and understood why men in all ages had been willing to throw away meaner happiness, treasure, life itself, to get a taste of its sublime and supreme joy.	false	635.72	671.74	20
1445_139387_000019_000002	Napoleon and all his kind stood accounted for--and justified.	Napoleon and all his kind stood accounted for-and justified.	true	672.32	678.43	21.50327
1445_139387_000020_000000	When Rowena had at last done all her duty by the people in the parlor, she went upstairs to satisfy the longings of an overflow meeting there, for the parlor was not big enough to hold all the comers.	When Rowena had at last done all her duty by the people in the parlor, she went upstairs to satisfy the longings of an overflow meeting there, for the parlor was not big enough to hold all the comers.	true	680.72	694.48	17
1445_139387_000020_000001	Again she was besieged by eager questioners, and again she swam in sunset seas of glory.	Again she was besieged by eager questioners, and again she swam in sunset seas of glory.	true	696.02	704.35	20.696434
1445_139387_000020_000002	When the forenoon was nearly gone, she recognized with a pang that this most splendid episode of her life was almost over, that nothing could prolong it, that nothing quite its equal could ever fall to her fortune again.	When the forenoon was nearly gone, she recognized with a pang that this most splendid episode of her life was almost over, that nothing could prolong it, that nothing quite its equal could ever fall to her fortune again.	true	705.53	722.92	23.215965
1445_139387_000020_000003	But never mind, it was sufficient unto itself, the grand occasion had moved on an ascending scale from the start, and was a noble and memorable success.	But never mind, it was sufficient unto itself, the grand occasion had moved on an ascending scale from the start, and was a noble and memorable success.	true	723.77	736.27	19.02696
1445_139387_000020_000004	If the twins could but do some crowning act now to climax it, something usual, something startling, something to concentrate upon themselves the company's loftiest admiration, something in the nature of an electric surprise--	If the twins could but do some crowning act now to climax it, something usual, something startling, something to concentrate upon themselves the company's loftiest admiration, something in the nature of an electric surprise-	false	737.69	758.62	22.000437
1445_139387_000021_000000	Here a prodigious slam-banging broke out below, and everybody rushed down to see.	Here a prodigious slam banging broke out below, and everybody rushed down to see.	true	759.98	767.4	21.8036
1445_139387_000021_000001	It was the twins, knocking out a classic four-handed piece on the piano in great style.	It was the twins, knocking out a classic four handed piece on the piano in great style.	false	767.4	776.56	24.787994
1445_139387_000021_000002	Rowena was satisfied--satisfied down to the bottom of her heart.	Rowena was satisfied-satisfied down to the bottom of her heart.	true	777.71	784.09	19.841263
1445_139387_000022_000000	The young strangers were kept long at the piano.	The young strangers were kept long at the piano.	true	785.63	788.86	21
1445_139387_000022_000001	The villagers were astonished and enchanted with the magnificence of their performance, and could not bear to have them stop.	The villagers were astonished and enchanted with the magnificence of their performance, and could not bear to have them stop.	true	789.68	797.98	20
1445_139387_000022_000002	All the music that they had ever heard before seemed spiritless prentice-work and barren of grace and charm when compared with these intoxicating floods of melodious sound.	All the music that they had ever heard before seemed spiritless prentice work and barren of grace and charm when compared with these intoxicating floods of melodious sound.	true	798.68	811.9	17
1445_139387_000022_000003	They realized that for once in their lives they were hearing masters.	They realized that for once in their lives they were hearing masters.	true	812.78	819.39	17.807436
1445_139387_000023_000000	CHAPTER 7 -- The Unknown Nymph	CHAPTER seven -- The Unknown Nymph	false	819.39	820.35	-6
1445_139387_000024_000000	_One of the most striking differences between a cat and a lie is that a cat has only nine lives._ --Pudd'nhead Wilson's Calendar	underscore One of the most striking differences between a cat and a lie is that a cat has only nine lives.underscore --Pudd'nhead Wilson's Calendar	false	820.35	822.69	16.187887
1445_139387_000025_000000	The company broke up reluctantly, and drifted toward their several homes, chatting with vivacity and all agreeing that it would be many a long day before Dawson's Landing would see the equal of this one again.	The company broke up reluctantly, and drifted toward their several homes, chatting with vivacity and all agreeing that it would be many a long day before Dawson's Landing would see the equal of this one again.	false	822.69	822.96	35.27847
1445_139387_000025_000001	The twins had accepted several invitations while the reception was in progress, and had also volunteered to play some duets at an amateur entertainment for the benefit of a local charity.	The twins had accepted several invitations while the reception was in progress, and had also volunteered to play some duets at an amateur entertainment for the benefit of a local charity.	false	822.96	824.49	24.608711
1445_139387_000025_000002	Society was eager to receive them to its bosom.	Society was eager to receive them to its bosom.	false	824.49	824.94	-20
1445_139387_000025_000003	Judge Driscoll had the good fortune to secure them for an immediate drive, and to be the first to display them in public.	Judge Driscoll had the good fortune to secure them for an immediate drive, and to be the first to display them in public.	false	824.94	826.08	-20
1445_139387_000025_000004	They entered his buggy with him and were paraded down the main street, everybody flocking to the windows and sidewalks to see.	They entered his buggy with him and were paraded down the main street, everybody flocking to the windows and sidewalks to see.	false	826.08	827.16	-4
