1639_133290_000000_000000	Principal Causes Which Tend To Maintain The Democratic Republic In The United States	Principal Causes Which Tend To Maintain The Democratic Republic In The United States	false	28.905	38.14	19.447697
1639_133290_000019_000001	Of these, 4,104,553 spoke English--that is, they came from Great Britain, Ireland, or the British colonies; 2,643,069 came from Germany or northern Europe; and about half a million from the south of Europe.]]	Of these, four million one hundred four thousand five hundred fifty three spoke English-that is, they came from Great Britain, Ireland, or the British colonies; two million six hundred forty three thousand sixty nine came from Germany or northern Europe; and about half a million from the south of Europe.]]	false	672.6	673.56	16
1639_133290_000020_000000	No event can be compared with this continuous removal of the human race, except perhaps those irruptions which preceded the fall of the Roman Empire.	No event can be compared with this continuous removal of the human race, except perhaps those irruptions which preceded the fall of the Roman Empire.	true	673.56	681.46	13
1639_133290_000020_000001	Then, as well as now, generations of men were impelled forwards in the same direction to meet and struggle on the same spot; but the designs of Providence were not the same; then, every newcomer was the harbinger of destruction and of death; now, every adventurer brings with him the elements of prosperity and of life.	Then, as well as now, generations of men were impelled forwards in the same direction to meet and struggle on the same spot; but the designs of Providence were not the same; then, every newcomer was the harbinger of destruction and of death; now, every adventurer brings with him the elements of prosperity and of life.	true	681.62	700.21	15
1639_133290_000020_000002	The future still conceals from us the ulterior consequences of this emigration of the Americans towards the West; but we can readily apprehend its more immediate results.	The future still conceals from us the ulterior consequences of this emigration of the Americans towards the West; but we can readily apprehend its more immediate results.	true	700.25	709.69	14
1639_133290_000020_000003	As a portion of the inhabitants annually leave the States in which they were born, the population of these States increases very slowly, although they have long been established: thus in Connecticut, which only contains fifty-nine inhabitants to the square mile, the population has not increased by more than one-quarter in forty years, whilst that of England has been augmented by one-third in the lapse of the same period.	As a portion of the inhabitants annually leave the States in which they were born, the population of these States increases very slowly, although they have long been established: thus in Connecticut, which only contains fifty nine inhabitants to the square mile, the population has not increased by more than one quarter in forty years, whilst that of England has been augmented by one third in the lapse of the same period.	false	709.91	732.07	14
1639_133290_000020_000004	The European emigrant always lands, therefore, in a country which is but half full, and where hands are in request: he becomes a workman in easy circumstances; his son goes to seek his fortune in unpeopled regions, and he becomes a rich landowner.	The European emigrant always lands, therefore, in a country which is but half full, and where hands are in request: he becomes a workman in easy circumstances; his son goes to seek his fortune in unpeopled regions, and he becomes a rich landowner.	false	732.14	747.15	19.757051
1639_133290_000020_000005	The former amasses the capital which the latter invests, and the stranger as well as the native is unacquainted with want.	The former amasses the capital which the latter invests, and the stranger as well as the native is unacquainted with want.	false	747.15	753.55	15
1639_133290_000021_000000	The laws of the United States are extremely favorable to the division of property; but a cause which is more powerful than the laws prevents property from being divided to excess.	The laws of the United States are extremely favorable to the division of property; but a cause which is more powerful than the laws prevents property from being divided to excess.	false	755.24	764.31	14
1639_133290_000021_000001	*c This is very perceptible in the States which are beginning to be thickly peopled; Massachusetts is the most populous part of the Union, but it contains only eighty inhabitants to the square mile, which is must less than in France, where 162 are reckoned to the same extent of country.	asterisk c This is very perceptible in the States which are beginning to be thickly peopled; Massachusetts is the most populous part of the Union, but it contains only eighty inhabitants to the square mile, which is must less than in France, where one hundred sixty two are reckoned to the same extent of country.	false	764.31	779.89	16
1639_133290_000021_000002	But in Massachusetts estates are very rarely divided; the eldest son takes the land, and the others go to seek their fortune in the desert.	But in Massachusetts estates are very rarely divided; the eldest son takes the land, and the others go to seek their fortune in the desert.	false	779.96	787.6	17
1639_133290_000021_000003	The law has abolished the rights of primogeniture, but circumstances have concurred to re-establish it under a form of which none can complain, and by which no just rights are impaired.	The law has abolished the rights of primogeniture, but circumstances have concurred to re-establish it under a form of which none can complain, and by which no just rights are impaired.	false	788.63	799.26	17
1639_133290_000022_000000	[Footnote c: In New England the estates are exceedingly small, but they are rarely subjected to further division.]	[Footnote c: In New England the estates are exceedingly small, but they are rarely subjected to further division.]	false	799.26	800.61	15
1639_133290_000023_000000	A single fact will suffice to show the prodigious number of individuals who leave New England, in this manner, to settle themselves in the wilds.	A single fact will suffice to show the prodigious number of individuals who leave New England, in this manner, to settle themselves in the wilds.	true	800.61	808.12	12
1639_133290_000023_000001	We were assured in 1830 that thirty-six of the members of Congress were born in the little State of Connecticut.	We were assured in eighteen thirty that thirty six of the members of Congress were born in the little State of Connecticut.	true	808.22	813.67	13
1639_133290_000023_000002	The population of Connecticut, which constitutes only one forty-third part of that of the United States, thus furnished one-eighth of the whole body of representatives.	The population of Connecticut, which constitutes only one forty third part of that of the United States, thus furnished one eighth of the whole body of representatives.	true	813.83	822.46	16
1639_133290_000023_000003	The States of Connecticut, however, only sends five delegates to Congress; and the thirty-one others sit for the new Western States.	The States of Connecticut, however, only sends five delegates to Congress; and the thirty one others sit for the new Western States.	true	822.59	829.42	16
1639_133290_000023_000004	If these thirty-one individuals had remained in Connecticut, it is probable that instead of becoming rich landowners they would have remained humble laborers, that they would have lived in obscurity without being able to rise into public life, and that, far from becoming useful members of the legislature, they might have been unruly citizens.	If these thirty one individuals had remained in Connecticut, it is probable that instead of becoming rich landowners they would have remained humble laborers, that they would have lived in obscurity without being able to rise into public life, and that, far from becoming useful members of the legislature, they might have been unruly citizens.	true	829.58	847.96	18
1639_133290_000024_000000	These reflections do not escape the observation of the Americans any more than of ourselves.	These reflections do not escape the observation of the Americans any more than of ourselves.	true	848.57	853.72	14
1639_133290_000024_000001	"It cannot be doubted," says Chancellor Kent in his "Treatise on American Law," "that the division of landed estates must produce great evils when it is carried to such excess as that each parcel of land is insufficient to support a family; but these disadvantages have never been felt in the United States, and many generations must elapse before they can be felt.	"It cannot be doubted," says Chancellor Kent in his "Treatise on American Law," "that the division of landed estates must produce great evils when it is carried to such excess as that each parcel of land is insufficient to support a family; but these disadvantages have never been felt in the United States, and many generations must elapse before they can be felt.	true	853.85	873.43	16
1639_133290_000024_000002	The extent of our inhabited territory, the abundance of adjacent land, and the continual stream of emigration flowing from the shores of the Atlantic towards the interior of the country, suffice as yet, and will long suffice, to prevent the parcelling out of estates."	The extent of our inhabited territory, the abundance of adjacent land, and the continual stream of emigration flowing from the shores of the Atlantic towards the interior of the country, suffice as yet, and will long suffice, to prevent the parcelling out of estates."	true	873.44	888.34	18.954788
1639_133290_000025_000000	It is difficult to describe the rapacity with which the American rushes forward to secure the immense booty which fortune proffers to him. In the pursuit he fearlessly braves the arrow of the Indian and the distempers of the forest; he is unimpressed by the silence of the woods; the approach of beasts of prey does not disturb him; for he is goaded onwards by a passion more intense than the love of life.	It is difficult to describe the rapacity with which the American rushes forward to secure the immense booty which fortune proffers to him. In the pursuit he fearlessly braves the arrow of the Indian and the distempers of the forest; he is unimpressed by the silence of the woods; the approach of beasts of prey does not disturb him; for he is goaded onwards by a passion more intense than the love of life.	false	889.67	912.19	17
1639_133290_000025_000001	Before him lies a boundless continent, and he urges onwards as if time pressed, and he was afraid of finding no room for his exertions.	Before him lies a boundless continent, and he urges onwards as if time pressed, and he was afraid of finding no room for his exertions.	true	912.32	920.08	18
1639_133290_000025_000002	I have spoken of the emigration from the older States, but how shall I describe that which takes place from the more recent ones?	I have spoken of the emigration from the older States, but how shall I describe that which takes place from the more recent ones?	true	920.51	927.22	18
1639_133290_000025_000003	Fifty years have scarcely elapsed since that of Ohio was founded; the greater part of its inhabitants were not born within its confines; its capital has only been built thirty years, and its territory is still covered by an immense extent of uncultivated fields; nevertheless the population of Ohio is already proceeding westward, and most of the settlers who descend to the fertile savannahs of Illinois are citizens of Ohio.	Fifty years have scarcely elapsed since that of Ohio was founded; the greater part of its inhabitants were not born within its confines; its capital has only been built thirty years, and its territory is still covered by an immense extent of uncultivated fields; nevertheless the population of Ohio is already proceeding westward, and most of the settlers who descend to the fertile savannahs of Illinois are citizens of Ohio.	false	928.4	951.82	15
1639_133290_000025_000004	These men left their first country to improve their condition; they quit their resting-place to ameliorate it still more; fortune awaits them everywhere, but happiness they cannot attain.	These men left their first country to improve their condition; they quit their resting place to ameliorate it still more; fortune awaits them everywhere, but happiness they cannot attain.	true	952.76	962.38	18
1639_133290_000025_000005	The desire of prosperity is become an ardent and restless passion in their minds which grows by what it gains.	The desire of prosperity is become an ardent and restless passion in their minds which grows by what it gains.	true	962.63	968.29	14
1639_133290_000025_000006	They early broke the ties which bound them to their natal earth, and they have contracted no fresh ones on their way.	They early broke the ties which bound them to their natal earth, and they have contracted no fresh ones on their way.	true	968.39	974.14	19
1639_133290_000025_000007	Emigration was at first necessary to them as a means of subsistence; and it soon becomes a sort of game of chance, which they pursue for the emotions it excites as much as for the gain it procures.	Emigration was at first necessary to them as a means of subsistence; and it soon becomes a sort of game of chance, which they pursue for the emotions it excites as much as for the gain it procures.	true	974.42	986.71	19.065826
1639_133290_000026_000000	Sometimes the progress of man is so rapid that the desert reappears behind him.	Sometimes the progress of man is so rapid that the desert reappears behind him.	true	987.08	991.54	19
