2194_141235_000000_000000	He fed the course tape into the console and scowled.	He fed the course tape into the console and scowled.	false	0	4.62	18.427832
2194_141235_000013_000000	"Because they are so incredibly loathsome, that's why!" Ihjel said. "These aboriginal hotheads have managed to lay their hands on some primitive cobalt bombs.	"Because they are so incredibly loathsome, that's why!" Ihjel said. "These aboriginal hotheads have managed to lay their hands on some primitive cobalt bombs.	false	261.59	271.33	20.183851
2194_141235_000013_000001	They want to light the fuse and drop these bombs on Nyjord, the next planet.	They want to light the fuse and drop these bombs on Nyjord, the next planet.	true	271.55	275.89	23
2194_141235_000013_000002	Nothing said or done can convince them differently.	Nothing said or done can convince them differently.	true	276.2	279.13	20.015928
2194_141235_000013_000003	They demand unconditional surrender, or else.	They demand unconditional surrender, or else.	true	279.26	282.61	21.709717
2194_141235_000013_000004	This is impossible for a lot of reasons--most important, because the Nyjorders would like to keep their planet for their very own.	This is impossible for a lot of reasons-most important, because the Nyjorders would like to keep their planet for their very own.	false	283.07	289.66	19
2194_141235_000013_000005	They have tried every kind of compromise but none of them works.	They have tried every kind of compromise but none of them works.	true	290.39	293.74	24
2194_141235_000013_000006	The Disans are out to commit racial suicide.	The Disans are out to commit racial suicide.	true	293.99	296.91	22
2194_141235_000013_000007	A Nyjord fleet is now over Dis and the deadline has almost expired for the surrender of the cobalt bombs.	A Nyjord fleet is now over Dis and the deadline has almost expired for the surrender of the cobalt bombs.	false	296.91	303.6	21.708942
2194_141235_000013_000008	The Nyjord ships carry enough H-bombs to turn the entire planet into an atomic pile.	The Nyjord ships carry enough H bombs to turn the entire planet into an atomic pile.	false	303.6	309.49	21.72536
2194_141235_000013_000009	That is what we must stop."	That is what we must stop."	true	309.74	312.04	27.29527
2194_141235_000014_000000	Brion looked at the solido on the screen, trying to make some judgment of the man.	Brion looked at the solido on the screen, trying to make some judgment of the man.	true	313.31	317.62	19
2194_141235_000014_000001	Bare, horny feet.	Bare, horny feet.	true	318.02	319.84	20.819685
2194_141235_000014_000002	A bulky, ragged length of cloth around the waist was the only garment.	A bulky, ragged length of cloth around the waist was the only garment.	true	319.85	323.8	21
2194_141235_000014_000003	What looked like a piece of green vine was hooked over one shoulder.	What looked like a piece of green vine was hooked over one shoulder.	true	324.2	328	20.698881
2194_141235_000014_000004	From a plaited belt were suspended a number of odd devices made of hand-beaten metal, drilled stone and looped leather.	From a plaited belt were suspended a number of odd devices made of hand beaten metal, drilled stone and looped leather.	true	328.58	335.74	20
2194_141235_000014_000005	The only recognizable item was a thin knife of unusual design.	The only recognizable item was a thin knife of unusual design.	true	336.65	340.72	16
2194_141235_000014_000006	Loops of piping, flared bells, carved stones tied in senseless patterns of thonging gave the rest of the collection a bizarre appearance.	Loops of piping, flared bells, carved stones tied in senseless patterns of thonging gave the rest of the collection a bizarre appearance.	true	341.18	349.3	18
2194_141235_000014_000007	Perhaps they had some religious significance.	Perhaps they had some religious significance.	true	349.91	352.78	19.113346
2194_141235_000014_000008	But the well-worn and handled look of most of them gave Brion an uneasy sensation.	But the well worn and handled look of most of them gave Brion an uneasy sensation.	false	353.39	358.36	15
2194_141235_000014_000009	If they were used--what in the universe could they be used _for_?	If they were used-what in the universe could they be used underscore for underscore?	false	358.4	363.24	18.166351
2194_141235_000015_000000	"I can't believe it," he finally concluded.	"I can't believe it," he finally concluded.	true	363.24	365.445	17
2194_141235_000015_000001	"Except for the exotic hardware, this lowbrow looks as if he has sunk back into the Stone Age.	"Except for the exotic hardware, this lowbrow looks as if he has sunk back into the Stone Age.	false	365.445	370.78	25.300184
2194_141235_000015_000002	I don't see how his kind can be any real threat to another planet."	I don't see how his kind can be any real threat to another planet."	true	371.12	375.13	21
2194_141235_000016_000000	"The Nyjorders believe it, and that's good enough for me," Ihjel said.	"The Nyjorders believe it, and that's good enough for me," Ihjel said.	false	375.86	379.24	19
2194_141235_000016_000001	"They are paying our Cultural Relationships Foundation a good sum to try and prevent this war.	"They are paying our Cultural Relationships Foundation a good sum to try and prevent this war.	true	379.31	384.45	21
2194_141235_000016_000002	Since they are our employers, we must do what they ask." Brion ignored this large lie, since it was obviously designed as an explanation for Lea.	Since they are our employers, we must do what they ask." Brion ignored this large lie, since it was obviously designed as an explanation for Lea.	false	384.45	394.75	19.79114
2194_141235_000016_000003	But he made a mental note to query Ihjel later about the real situation.	But he made a mental note to query Ihjel later about the real situation.	false	395.03	399.52	19.129923
2194_141235_000017_000000	"Here are the tech reports." Ihjel dropped them on the table.	"Here are the tech reports." Ihjel dropped them on the table.	false	400.73	403.84	26.797115
2194_141235_000017_000001	"Dis has some spacers as well as the cobalt bombs--though these aren't the real threat.	"Dis has some spacers as well as the cobalt bombs-though these aren't the real threat.	true	404.36	409.6	20.240765
2194_141235_000017_000002	A tramp trader was picked up _leaving_ Dis.	A tramp trader was picked up underscore leaving underscore Dis.	false	409.97	412.57	25
2194_141235_000017_000003	It had delivered a jump-space launcher that can drop those bombs on Nyjord while anchored to the bedrock of Dis.	It had delivered a jump space launcher that can drop those bombs on Nyjord while anchored to the bedrock of Dis.	false	412.79	418.96	18
2194_141235_000017_000004	While essentially a peaceful and happy people, the Nyjorders were justifiably annoyed at this and convinced the tramp's captain to give them some more information. It's all here.	While essentially a peaceful and happy people, the Nyjorders were justifiably annoyed at this and convinced the tramp's captain to give them some more information. It's all here.	true	419.63	430.365	21.614798
2194_141235_000017_000005	Boiled down, it gives a minimum deadline by which time the launcher can be set up and start throwing bombs."	Boiled down, it gives a minimum deadline by which time the launcher can be set up and start throwing bombs."	true	430.365	436.06	16
2194_141235_000018_000000	"When is that deadline?" Lea asked.	"When is that deadline?" Lea asked.	true	436.97	439.06	21.454836
2194_141235_000019_000000	"In ten more days.	"In ten more days.	true	439.52	440.89	21.432861
2194_141235_000019_000001	If the situation hasn't been changed drastically by then, the Nyjorders are going to wipe all life from the face of Dis.	If the situation hasn't been changed drastically by then, the Nyjorders are going to wipe all life from the face of Dis.	false	441.32	447.85	17
2194_141235_000019_000002	I assure you they don't want to do it.	I assure you they don't want to do it.	true	448.4	450.49	19.886463
2194_141235_000019_000003	But they will drop the bombs in order to assure their own survival."	But they will drop the bombs in order to assure their own survival."	true	450.74	454.3	21.987991
2194_141235_000020_000000	"What am I supposed to do?" Lea asked, flipping the pages of the report.	"What am I supposed to do?" Lea asked, flipping the pages of the report.	true	455.18	458.98	21.63482
2194_141235_000020_000001	"I don't know a thing about nucleonics or jump-space.	"I don't know a thing about nucleonics or jump space.	true	459.29	462.34	17
2194_141235_000020_000002	I'm an exobiologist, with a supplementary degree in anthropology.	I'm an exobiologist, with a supplementary degree in anthropology.	true	462.47	466.42	22
2194_141235_000020_000003	What help could I possibly be?"	What help could I possibly be?"	false	466.76	469.17	25.310001
2194_141235_000021_000000	Ihjel looked down at her, stroking his jaw, fingers sunk deep into the rolls of flesh.	Ihjel looked down at her, stroking his jaw, fingers sunk deep into the rolls of flesh.	false	469.17	475.09	24.49419
2194_141235_000021_000001	"My faith in our recruiters is restored," he said.	"My faith in our recruiters is restored," he said.	true	475.82	478.69	24
2194_141235_000021_000002	"That's a combination that is probably rare--even on Earth. You're as scrawny as an underfed chicken, but young enough to survive if we keep a close eye on you." He cut off Lea's angry protest with a raised hand.	"That's a combination that is probably rare-even on Earth. You're as scrawny as an underfed chicken, but young enough to survive if we keep a close eye on you." He cut off Lea's angry protest with a raised hand.	false	478.91	492.315	22.443998
2194_141235_000021_000003	"No more bickering.	"No more bickering.	true	492.315	493.395	25
2194_141235_000021_000004	There isn't time. The Nyjorders must have lost over thirty agents trying to find the bombs.	There isn't time. The Nyjorders must have lost over thirty agents trying to find the bombs.	true	493.395	499.06	19.150957
2194_141235_000021_000005	Our foundation has had six people killed--including my late predecessor in charge of the project.	Our foundation has had six people killed-including my late predecessor in charge of the project.	true	499.25	505.39	21.267666
2194_141235_000021_000006	He was a good man, but I think he went at this problem the wrong way.	He was a good man, but I think he went at this problem the wrong way.	true	505.52	509.74	23.84492
2194_141235_000021_000007	I think it is a cultural one, not a physical one."	I think it is a cultural one, not a physical one."	true	510.56	514.86	21.197817
2194_141235_000022_000000	"Run it through again with the power turned up," Lea said, frowning. "All I hear is static."	"Run it through again with the power turned up," Lea said, frowning. "All I hear is static."	true	514.86	520.81	22.152325
2194_141235_000023_000000	"It's the old problem of genesis.	"It's the old problem of genesis.	true	521.36	523.27	19.619255
2194_141235_000023_000001	Like Newton and the falling apple, Levy and the hysteresis in the warp field.	Like Newton and the falling apple, Levy and the hysteresis in the warp field.	true	523.31	527.98	20
2194_141235_000023_000002	Everything has a beginning.	Everything has a beginning.	true	528.17	530.02	22.222992
2194_141235_000023_000003	If we can find out why these people are so hell-bent on suicide we might be able to change the reasons.	If we can find out why these people are so hell bent on suicide we might be able to change the reasons.	true	530.6	538.66	20.617332
2194_141235_000023_000004	Not that I intend to stop looking for the bombs or the jump-space generator either. We are going to try anything that will avert this planetary murder."	Not that I intend to stop looking for the bombs or the jump space generator either. We are going to try anything that will avert this planetary murder."	true	539.24	548.32	23.102959
2194_141235_000024_000000	"You're a lot brighter than you look," Lea said, rising and carefully stacking the sheets of the report.	"You're a lot brighter than you look," Lea said, rising and carefully stacking the sheets of the report.	true	549.68	554.8	18
2194_141235_000024_000001	"You can count on me for complete cooperation.	"You can count on me for complete cooperation.	true	554.99	557.77	22.755686
2194_141235_000024_000002	Now I'll study all this in bed if one of you overweight gentlemen will show me to a room with a strong lock on the inside of the door.	Now I'll study all this in bed if one of you overweight gentlemen will show me to a room with a strong lock on the inside of the door.	false	558.32	565.54	15
2194_141235_000024_000003	Don't call me; I'll call you when I want breakfast."	Don't call me; I'll call you when I want breakfast."	true	566.06	569.14	24.501009
2194_141235_000025_000000	Brion wasn't sure how much of her barbed speech was humor and how much was serious, so he said nothing.	Brion wasn't sure how much of her barbed speech was humor and how much was serious, so he said nothing.	true	570.08	576.37	19.612425
2194_141235_000025_000001	He showed her to an empty cabin--she did lock the door--then looked for Ihjel.	He showed her to an empty cabin-she did lock the door-then looked for Ihjel.	false	577.01	582.54	26.777744
2194_141235_000025_000002	The Winner was in the galley adding to his girth with an immense gelatin dessert that filled a good-sized tureen.	The Winner was in the galley adding to his girth with an immense gelatin dessert that filled a good sized tureen.	true	582.54	588.67	18
2194_141235_000026_000000	"Is she short for a native Terran?" Brion asked.	"Is she short for a native Terran?" Brion asked.	true	589.85	592.96	17
2194_141235_000026_000001	"The top of her head is below my chin."	"The top of her head is below my chin."	true	593.06	595.27	23
2194_141235_000027_000000	"That's the norm.	"That's the norm.	true	595.64	596.89	28.200264
2194_141235_000027_000001	Earth is a reservoir of tired genes.	Earth is a reservoir of tired genes.	true	597.05	599.625	21.384886
2194_141235_000027_000002	Weak backs, vermiform appendixes, bad eyes.	Weak backs, vermiform appendixes, bad eyes.	true	599.625	603.19	23.465956
2194_141235_000027_000003	If they didn't have the universities and the trained people we need I would never use them."	If they didn't have the universities and the trained people we need I would never use them."	true	603.71	608.23	20.592154
2194_141235_000028_000000	"Why did you lie to her about the Foundation?"	"Why did you lie to her about the Foundation?"	true	609.29	612.07	22.506777
2194_141235_000029_000000	"Because it's a secret--isn't that reason enough?" Ihjel rumbled angrily, scraping the last dregs from the bowl.	"Because it's a secret-isn't that reason enough?" Ihjel rumbled angrily, scraping the last dregs from the bowl.	false	612.65	619.21	20
2194_141235_000029_000001	"Better eat something.	"Better eat something.	true	619.67	620.85	27.159988
2194_141235_000029_000002	Build up the strength.	Build up the strength.	true	620.85	622.33	26.719671
2194_141235_000029_000003	The Foundation has to maintain its undercover status if it is going to accomplish anything.	The Foundation has to maintain its undercover status if it is going to accomplish anything.	true	622.91	627.73	18
2194_141235_000029_000004	If she returns to Earth after this it's better that she should know nothing of our real work.	If she returns to Earth after this it's better that she should know nothing of our real work.	false	628.16	633.13	22
2194_141235_000029_000005	If she joins up, there'll be time enough to tell her.	If she joins up, there'll be time enough to tell her.	true	633.5	636.31	23.468658
2194_141235_000029_000006	But I doubt if she will like the way we operate.	But I doubt if she will like the way we operate.	true	636.86	639.46	21.73833
2194_141235_000029_000007	Particularly since I plan to drop some H-bombs on Dis myself--if we can't turn off the war."	Particularly since I plan to drop some H bombs on Dis myself-if we can't turn off the war."	true	639.77	645.67	22.842218
2194_141235_000030_000000	"I don't believe it!"	"I don't believe it!"	true	645.89	647.05	25.964458
2194_141235_000031_000000	"You heard me correctly.	"You heard me correctly.	true	647.39	648.82	27.269241
2194_141235_000031_000001	Don't bulge your eyes and look moronic. As a last resort I'll drop the bombs myself rather than let the Nyjorders do it.	Don't bulge your eyes and look moronic. As a last resort I'll drop the bombs myself rather than let the Nyjorders do it.	true	648.95	656.46	20.733286
2194_141235_000031_000002	That might save them."	That might save them."	true	656.46	657.91	27.283941
2194_141235_000032_000000	"Save them--they'd all be radiated and dead!" Brion's voice rose in anger.	"Save them-they'd all be radiated and dead!" Brion's voice rose in anger.	true	658.19	662.95	21.691887
2194_141235_000033_000000	"Not the Disans.	"Not the Disans.	true	663.44	664.635	24.363676
2194_141235_000033_000001	I want to save the Nyjorders.	I want to save the Nyjorders.	true	664.635	666.31	22
2194_141235_000033_000002	Stop clenching your fists and sit down and have some of this cake.	Stop clenching your fists and sit down and have some of this cake.	true	666.65	669.825	18
2194_141235_000033_000003	It's delicious.	It's delicious.	true	669.825	670.96	23.883722
2194_141235_000033_000004	The Nyjorders are all that counts here.	The Nyjorders are all that counts here.	true	671.87	673.9	20.666794
2194_141235_000033_000005	They have a planet blessed by the laws of chance.	They have a planet blessed by the laws of chance.	true	674.21	677.11	25
2194_141235_000033_000006	When Dis was cut off from outside contact, the survivors turned into a gang of swampcrawling homicidals.	When Dis was cut off from outside contact, the survivors turned into a gang of swampcrawling homicidals.	false	677.6	683.86	17
2194_141235_000033_000007	It did the opposite for Nyjord.	It did the opposite for Nyjord.	false	684.32	686.49	26.677748
2194_141235_000033_000008	You can survive there just by pulling fruit off a tree.	You can survive there just by pulling fruit off a tree.	true	686.49	689.41	20
2194_141235_000033_000009	The population was small, educated, intelligent.	The population was small, educated, intelligent.	true	689.9	693.61	24.343386
2194_141235_000033_000010	Instead of sinking into an eternal siesta they matured into a vitally different society.	Instead of sinking into an eternal siesta they matured into a vitally different society.	false	693.71	698.95	17
2194_141235_000033_000011	Not mechanical--they weren't even using the wheel when they were rediscovered.	Not mechanical-they weren't even using the wheel when they were rediscovered.	true	699.29	703.48	18.896915
2194_141235_000033_000012	They became sort of cultural specialists, digging deep into the philosophical aspects of interrelationship--the thing that machine societies never have had time for.	They became sort of cultural specialists, digging deep into the philosophical aspects of interrelationship-the thing that machine societies never have had time for.	false	703.58	714.07	22.152458
2194_141235_000033_000013	Of course this was ready-made for the Cultural Relationships Foundation, and we have been working with them ever since.	Of course this was ready made for the Cultural Relationships Foundation, and we have been working with them ever since.	false	714.5	720.52	19
2194_141235_000033_000014	Not guiding so much as protecting them from any blows that might destroy this growing idea.	Not guiding so much as protecting them from any blows that might destroy this growing idea.	true	721.01	726.61	21
2194_141235_000033_000015	But we've fallen down on the job.	But we've fallen down on the job.	true	727.13	729.55	21.096859
2194_141235_000033_000016	Nonviolence is essential to these people--they have vitality without needing destruction.	Nonviolence is essential to these people-they have vitality without needing destruction.	true	729.68	735.555	20.110023
2194_141235_000033_000017	But if they are forced to blow up Dis for their own survival--against every one of their basic tenets--their philosophy won't endure.	But if they are forced to blow up Dis for their own survival-against every one of their basic tenets-their philosophy won't endure.	true	735.555	743.86	23.169838
2194_141235_000033_000018	Physically they'll live on, as just one more dog-eat-dog planet with an A-bomb for any of the competition who drop behind."	Physically they'll live on, as just one more dog eat dog planet with an A bomb for any of the competition who drop behind."	true	744.17	752.14	22.666086
2194_141235_000034_000000	"Sounds like paradise now."	"Sounds like paradise now."	false	752.33	754.3	23.764275
2194_141235_000035_000000	"Don't be smug.	"Don't be smug.	true	754.58	756.015	25.26313
2194_141235_000035_000001	It's just another worldful of people with the same old likes, dislikes and hatreds.	It's just another worldful of people with the same old likes, dislikes and hatreds.	false	756.015	761.19	25.048117
2194_141235_000035_000002	But they are evolving a way of living together, without violence, that may some day form the key to mankind's survival.	But they are evolving a way of living together, without violence, that may some day form the key to mankind's survival.	false	761.19	768.63	19
2194_141235_000035_000003	They are worth looking after.	They are worth looking after.	false	768.63	770.65	20.938396
2194_141235_000035_000004	Now get below and study your Disan and read the reports.	Now get below and study your Disan and read the reports.	true	770.72	774.46	22.01566
2194_141235_000035_000005	Get it all pat before we land."	Get it all pat before we land."	false	774.86	780.15	23.469814
