492_131882_000000_000000	XXXV IN WHICH PHILEAS FOGG DOES NOT HAVE TO REPEAT HIS ORDERS TO PASSEPARTOUT TWICE	thirty five IN WHICH PHILEAS FOGG DOES NOT HAVE TO REPEAT HIS ORDERS TO PASSEPARTOUT TWICE	false	0	7.35	17.280922
492_131882_000006_000003	His name was strange to the scientific and learned societies, and he never was known to take part in the sage deliberations of the Royal Institution or the London Institution, the Artisan's Association, or the Institution of Arts and Sciences.	His name was strange to the scientific and learned societies, and he never was known to take part in the sage deliberations of the Royal Institution or the London Institution, the Artisan's Association, or the Institution of Arts and Sciences.	false	127.14	150.46	17
492_131882_000006_000004	He belonged, in fact, to none of the numerous societies which swarm in the English capital, from the Harmonic to that of the Entomologists, founded mainly for the purpose of abolishing pernicious insects.	He belonged, in fact, to none of the numerous societies which swarm in the English capital, from the Harmonic to that of the Entomologists, founded mainly for the purpose of abolishing pernicious insects.	false	150.92	172.42	19.374756
492_131882_000007_000000	Phileas Fogg was a member of the Reform, and that was all.	Phileas Fogg was a member of the Reform, and that was all.	true	172.7	175.78	17
492_131882_000008_000000	The way in which he got admission to this exclusive club was simple enough.	The way in which he got admission to this exclusive club was simple enough.	false	176.09	180.975	15
492_131882_000009_000000	He was recommended by the Barings, with whom he had an open credit. His cheques were regularly paid at sight from his account current, which was always flush.	He was recommended by the Barings, with whom he had an open credit. His cheques were regularly paid at sight from his account current, which was always flush.	false	180.975	195.51	18.870804
492_131882_000010_000000	Was Phileas Fogg rich?	Was Phileas Fogg rich?	false	195.51	197.11	20.505943
492_131882_000010_000001	Undoubtedly.	Undoubtedly.	true	197.15	198.225	15
492_131882_000010_000002	But those who knew him best could not imagine how he had made his fortune, and Mr. Fogg was the last person to whom to apply for the information.	But those who knew him best could not imagine how he had made his fortune, and mr Fogg was the last person to whom to apply for the information.	false	198.225	209.295	16
492_131882_000010_000003	He was not lavish, nor, on the contrary, avaricious; for, whenever he knew that money was needed for a noble, useful, or benevolent purpose, he supplied it quietly and sometimes anonymously.	He was not lavish, nor, on the contrary, avaricious; for, whenever he knew that money was needed for a noble, useful, or benevolent purpose, he supplied it quietly and sometimes anonymously.	false	209.295	226.6	17
492_131882_000010_000004	He was, in short, the least communicative of men.	He was, in short, the least communicative of men.	true	226.97	230.5	15
492_131882_000010_000005	He talked very little, and seemed all the more mysterious for his taciturn manner.	He talked very little, and seemed all the more mysterious for his taciturn manner.	true	230.93	236.32	17
492_131882_000010_000006	His daily habits were quite open to observation; but whatever he did was so exactly the same thing that he had always done before, that the wits of the curious were fairly puzzled.	His daily habits were quite open to observation; but whatever he did was so exactly the same thing that he had always done before, that the wits of the curious were fairly puzzled.	false	236.48	251.2	16
492_131882_000011_000000	Had he travelled?	Had he travelled?	true	251.81	252.885	20.1057
492_131882_000011_000001	It was likely, for no one seemed to know the world more familiarly; there was no spot so secluded that he did not appear to have an intimate acquaintance with it.	It was likely, for no one seemed to know the world more familiarly; there was no spot so secluded that he did not appear to have an intimate acquaintance with it.	false	252.885	266.1	18
492_131882_000011_000002	He often corrected, with a few clear words, the thousand conjectures advanced by members of the club as to lost and unheard-of travellers, pointing out the true probabilities, and seeming as if gifted with a sort of second sight, so often did events justify his predictions.	He often corrected, with a few clear words, the thousand conjectures advanced by members of the club as to lost and unheard of travellers, pointing out the true probabilities, and seeming as if gifted with a sort of second sight, so often did events justify his predictions.	false	266.1	291.75	19.296991
492_131882_000011_000003	He must have travelled everywhere, at least in the spirit.	He must have travelled everywhere, at least in the spirit.	true	291.75	295.96	18
492_131882_000012_000000	It was at least certain that Phileas Fogg had not absented himself from London for many years.	It was at least certain that Phileas Fogg had not absented himself from London for many years.	true	296.03	304.21	17
492_131882_000012_000001	Those who were honoured by a better acquaintance with him than the rest, declared that nobody could pretend to have ever seen him anywhere else.	Those who were honoured by a better acquaintance with him than the rest, declared that nobody could pretend to have ever seen him anywhere else.	false	304.64	316.78	19
492_131882_000012_000002	His sole pastimes were reading the papers and playing whist.	His sole pastimes were reading the papers and playing whist.	false	317.06	321.85	16
492_131882_000012_000003	He often won at this game, which, as a silent one, harmonised with his nature; but his winnings never went into his purse, being reserved as a fund for his charities.	He often won at this game, which, as a silent one, harmonised with his nature; but his winnings never went into his purse, being reserved as a fund for his charities.	false	322.46	336.31	19
492_131882_000012_000004	Mr. Fogg played, not to win, but for the sake of playing.	mr Fogg played, not to win, but for the sake of playing.	true	336.47	340.54	18
492_131882_000012_000005	The game was in his eyes a contest, a struggle with a difficulty, yet a motionless, unwearying struggle, congenial to his tastes.	The game was in his eyes a contest, a struggle with a difficulty, yet a motionless, unwearying struggle, congenial to his tastes.	false	340.94	351.22	17
492_131882_000013_000000	Phileas Fogg was not known to have either wife or children, which may happen to the most honest people; either relatives or near friends, which is certainly more unusual.	Phileas Fogg was not known to have either wife or children, which may happen to the most honest people; either relatives or near friends, which is certainly more unusual.	true	352.13	366.7	18.251566
492_131882_000013_000001	He lived alone in his house in Saville Row, whither none penetrated.	He lived alone in his house in Saville Row, whither none penetrated.	false	366.89	373.15	18.563381
492_131882_000013_000002	A single domestic sufficed to serve him.	A single domestic sufficed to serve him.	true	373.46	377.05	16
492_131882_000013_000003	He breakfasted and dined at the club, at hours mathematically fixed, in the same room, at the same table, never taking his meals with other members, much less bringing a guest with him; and went home at exactly midnight, only to retire at once to bed.	He breakfasted and dined at the club, at hours mathematically fixed, in the same room, at the same table, never taking his meals with other members, much less bringing a guest with him; and went home at exactly midnight, only to retire at once to bed.	false	377.54	396.67	19
492_131882_000013_000004	He never used the cosy chambers which the Reform provides for its favoured members.	He never used the cosy chambers which the Reform provides for its favoured members.	false	396.77	401.86	15
492_131882_000013_000005	He passed ten hours out of the twenty-four in Saville Row, either in sleeping or making his toilet.	He passed ten hours out of the twenty four in Saville Row, either in sleeping or making his toilet.	false	402.05	410.52	19.985058
492_131882_000013_000006	When he chose to take a walk it was with a regular step in the entrance hall with its mosaic flooring, or in the circular gallery with its dome supported by twenty red porphyry Ionic columns, and illumined by blue painted windows. When he breakfasted or dined all the resources of the club--its kitchens and pantries, its buttery and dairy--aided to crowd his table with their most succulent stores; he was served by the gravest waiters, in dress coats, and shoes with swan-skin soles, who proffered the viands in special porcelain, and on the finest linen; club decanters, of a lost mould, contained his sherry, his port, and his cinnamon-spiced claret; while his beverages were refreshingly cooled with ice, brought at great cost from the American lakes.	When he chose to take a walk it was with a regular step in the entrance hall with its mosaic flooring, or in the circular gallery with its dome supported by twenty red porphyry Ionic columns, and illumined by blue painted windows. When he breakfasted or dined all the resources of the club-its kitchens and pantries, its buttery and dairy-aided to crowd his table with their most succulent stores; he was served by the gravest waiters, in dress coats, and shoes with swan skin soles, who proffered the viands in special porcelain, and on the finest linen; club decanters, of a lost mould, contained his sherry, his port, and his cinnamon spiced claret; while his beverages were refreshingly cooled with ice, brought at great cost from the American lakes.	false	410.52	482.65	19.08876
492_131882_000014_000000	If to live in this style is to be eccentric, it must be confessed that there is something good in eccentricity.	If to live in this style is to be eccentric, it must be confessed that there is something good in eccentricity.	true	482.9	491.92	16
492_131882_000015_000000	The mansion in Saville Row, though not sumptuous, was exceedingly comfortable.	The mansion in Saville Row, though not sumptuous, was exceedingly comfortable.	false	491.96	499.81	19.745953
492_131882_000015_000001	The habits of its occupant were such as to demand but little from the sole domestic, but Phileas Fogg required him to be almost superhumanly prompt and regular.	The habits of its occupant were such as to demand but little from the sole domestic, but Phileas Fogg required him to be almost superhumanly prompt and regular.	false	500.03	512.83	18
492_131882_000015_000002	On this very 2nd of October he had dismissed James Forster, because that luckless youth had brought him shaving-water at eighty-four degrees Fahrenheit instead of eighty-six; and he was awaiting his successor, who was due at the house between eleven and half-past.	On this very second of October he had dismissed james Forster, because that luckless youth had brought him shaving water at eighty four degrees Fahrenheit instead of eighty six; and he was awaiting his successor, who was due at the house between eleven and half past.	false	512.96	535.815	19.657152
492_131882_000016_000000	Phileas Fogg was seated squarely in his armchair, his feet close together like those of a grenadier on parade, his hands resting on his knees, his body straight, his head erect; he was steadily watching a complicated clock which indicated the hours, the minutes, the seconds, the days, the months, and the years.	Phileas Fogg was seated squarely in his armchair, his feet close together like those of a grenadier on parade, his hands resting on his knees, his body straight, his head erect; he was steadily watching a complicated clock which indicated the hours, the minutes, the seconds, the days, the months, and the years.	true	535.815	560.26	18.736805
492_131882_000016_000001	At exactly half-past eleven Mr. Fogg would, according to his daily habit, quit Saville Row, and repair to the Reform.	At exactly half past eleven mr Fogg would, according to his daily habit, quit Saville Row, and repair to the Reform.	false	560.45	568.51	18.208685
492_131882_000017_000000	A rap at this moment sounded on the door of the cosy apartment where Phileas Fogg was seated, and James Forster, the dismissed servant, appeared.	A rap at this moment sounded on the door of the cosy apartment where Phileas Fogg was seated, and james Forster, the dismissed servant, appeared.	true	568.55	579.78	15
492_131882_000018_000000	"The new servant," said he.	"The new servant," said he.	true	579.78	581.34	16
492_131882_000019_000000	A young man of thirty advanced and bowed.	A young man of thirty advanced and bowed.	false	581.34	584.16	18.84946
492_131882_000020_000000	"You are a Frenchman, I believe," asked Phileas Fogg, "and your name is John?"	"You are a Frenchman, I believe," asked Phileas Fogg, "and your name is john?"	false	584.16	589.06	18
492_131882_000021_000000	"Jean, if monsieur pleases," replied the newcomer, "Jean Passepartout, a surname which has clung to me because I have a natural aptness for going out of one business into another.	"Jean, if monsieur pleases," replied the newcomer, "Jean Passepartout, a surname which has clung to me because I have a natural aptness for going out of one business into another.	true	589.4	602.68	19.848167
492_131882_000021_000001	I believe I'm honest, monsieur, but, to be outspoken, I've had several trades.	I believe I'm honest, monsieur, but, to be outspoken, I've had several trades.	false	602.78	609.81	20.561491
492_131882_000021_000002	I've been an itinerant singer, a circus-rider, when I used to vault like Leotard, and dance on a rope like Blondin.	I've been an itinerant singer, a circus rider, when I used to vault like Leotard, and dance on a rope like Blondin.	true	609.81	620.92	20
492_131882_000021_000003	Then I got to be a professor of gymnastics, so as to make better use of my talents; and then I was a sergeant fireman at Paris, and assisted at many a big fire.	Then I got to be a professor of gymnastics, so as to make better use of my talents; and then I was a sergeant fireman at Paris, and assisted at many a big fire.	false	621.5	636.52	20.026596
492_131882_000021_000004	But I quitted France five years ago, and, wishing to taste the sweets of domestic life, took service as a valet here in England.	But I quitted France five years ago, and, wishing to taste the sweets of domestic life, took service as a valet here in England.	false	636.68	645.19	19
492_131882_000021_000005	Finding myself out of place, and hearing that Monsieur Phileas Fogg was the most exact and settled gentleman in the United Kingdom, I have come to monsieur in the hope of living with him a tranquil life, and forgetting even the name of Passepartout."	Finding myself out of place, and hearing that Monsieur Phileas Fogg was the most exact and settled gentleman in the United Kingdom, I have come to monsieur in the hope of living with him a tranquil life, and forgetting even the name of Passepartout."	false	645.5	665.35	19
492_131882_000022_000000	"Passepartout suits me," responded Mr. Fogg.	"Passepartout suits me," responded mr Fogg.	true	665.69	668.58	17.55813
492_131882_000022_000001	"You are well recommended to me; I hear a good report of you.	"You are well recommended to me; I hear a good report of you.	true	668.58	672.46	16
492_131882_000022_000002	You know my conditions?"	You know my conditions?"	true	672.83	674.2	17
492_131882_000023_000000	"Yes, monsieur."	"Yes, monsieur."	true	674.36	675.4	16
492_131882_000024_000000	"Good!	"Good!	true	675.77	676.455	18.41341
492_131882_000024_000001	What time is it?"	What time is it?"	true	676.455	677.26	19.636395
492_131882_000025_000000	"Twenty-two minutes after eleven," returned Passepartout, drawing an enormous silver watch from the depths of his pocket.	"Twenty two minutes after eleven," returned Passepartout, drawing an enormous silver watch from the depths of his pocket.	false	677.3	684.99	13
492_131882_000026_000000	"You are too slow," said Mr. Fogg.	"You are too slow," said mr Fogg.	false	684.99	686.98	14.445258
492_131882_000027_000000	"Pardon me, monsieur, it is impossible--"	"Pardon me, monsieur, it is impossible-"	true	687.08	689.53	17.365032
492_131882_000028_000000	"You are four minutes too slow.	"You are four minutes too slow.	true	689.84	691.545	20
492_131882_000028_000001	No matter; it's enough to mention the error.	No matter; it's enough to mention the error.	true	691.545	694.57	19
492_131882_000028_000002	Now from this moment, twenty-nine minutes after eleven, a.m., this Wednesday, 2nd October, you are in my service."	Now from this moment, twenty nine minutes after eleven, a.m., this wednesday the second of october, you are in my service."	false	695.24	703.93	17
492_131882_000029_000000	Phileas Fogg got up, took his hat in his left hand, put it on his head with an automatic motion, and went off without a word.	Phileas Fogg got up, took his hat in his left hand, put it on his head with an automatic motion, and went off without a word.	true	704.39	713.68	19.290619
492_131882_000030_000000	Passepartout heard the street door shut once; it was his new master going out.	Passepartout heard the street door shut once; it was his new master going out.	true	713.87	719.83	16
492_131882_000030_000001	He heard it shut again; it was his predecessor, James Forster, departing in his turn.	He heard it shut again; it was his predecessor, james Forster, departing in his turn.	true	719.96	727.08	18.760237
492_131882_000030_000002	Passepartout remained alone in the house in Saville Row.	Passepartout remained alone in the house in Saville Row.	false	727.08	736.89	19.74075
