7981_112058_000000_000000	Chapter 5 MISSION WORK	Chapter five MISSION WORK	true	19.86	23.56	24.855822
7981_112058_000009_000001	For "fine sermons" Vincent had the greatest contempt; he would use his merry wit to make fun of the pompous preachers whose only thought was to impress their audience with an idea of their own eloquence.	For "fine sermons" Vincent had the greatest contempt; he would use his merry wit to make fun of the pompous preachers whose only thought was to impress their audience with an idea of their own eloquence.	true	264.89	276.46	23.000017
7981_112058_000010_000000	"Of what good is a display of rhetoric?" he would ask; "who is the better for it?	"Of what good is a display of rhetoric?" he would ask; "who is the better for it?	true	276.86	280.92	23.3097
7981_112058_000010_000001	It serves no purpose but self-advertisement."	It serves no purpose but self advertisement."	true	280.92	283.81	23.67086
7981_112058_000011_000000	The Mission Priests did good wherever they went; everybody wanted them, and it was hard to satisfy the appeals for missions which came from all over the country.	The Mission Priests did good wherever they went; everybody wanted them, and it was hard to satisfy the appeals for missions which came from all over the country.	true	284.3	292.78	22.101105
7981_112058_000011_000001	In due time the Congregation outgrew the College des Bons Enfants, and was transferred to a large Augustinian priory which had originally been a leper hospital, and still bore the name of St. Lazare.	In due time the Congregation outgrew the College des Bons Enfants, and was transferred to a large Augustinian priory which had originally been a leper hospital, and still bore the name of st Lazare.	false	293.48	305.47	23.201265
7981_112058_000012_000000	Up to this time the Mission Priests had contented themselves with ministering to the peasantry, but in the course of their travels it had become painfully apparent that the clergy themselves were in urgent need of some awakening force.	Up to this time the Mission Priests had contented themselves with ministering to the peasantry, but in the course of their travels it had become painfully apparent that the clergy themselves were in urgent need of some awakening force.	false	305.66	317.53	22.876228
7981_112058_000012_000001	Those of good family led, for the most part, worldly and frivolous lives, while the humbler sort were as ignorant as the peasants among whom they lived.	Those of good family led, for the most part, worldly and frivolous lives, while the humbler sort were as ignorant as the peasants among whom they lived.	false	317.78	326.1	21.841606
7981_112058_000012_000002	The religious wars had led to laxity and carelessness; drunkenness and vice were fearfully prevalent.	The religious wars had led to laxity and carelessness; drunkenness and vice were fearfully prevalent.	true	326.1	331.84	23.199549
7981_112058_000013_000000	To Vincent, with his high ideals of the priesthood, this was a terrible revelation.	To Vincent, with his high ideals of the priesthood, this was a terrible revelation.	true	332.09	337.06	22.479473
7981_112058_000013_000001	The old custom of giving a retreat to priests who were about to be ordained had fallen into disuse.	The old custom of giving a retreat to priests who were about to be ordained had fallen into disuse.	true	337.55	343.45	25.645515
7981_112058_000013_000002	With the assistance of some of the French bishops he determined to revive it, and retreats of ten or fourteen days were organized at St. Lazare for candidates to the priesthood.	With the assistance of some of the French bishops he determined to revive it, and retreats of ten or fourteen days were organized at st Lazare for candidates to the priesthood.	false	343.64	353.29	23.872467
7981_112058_000013_000003	Here, in an atmosphere of prayer and recollection, those who were about to be ordained had every opportunity of realizing the greatness of the step that they were taking and of making resolutions for their future lives.	Here, in an atmosphere of prayer and recollection, those who were about to be ordained had every opportunity of realizing the greatness of the step that they were taking and of making resolutions for their future lives.	true	353.63	365.11	22.15506
7981_112058_000014_000000	The Mission Priests were to help in this work more by example than by precept; they were to preach by humility and simplicity.	The Mission Priests were to help in this work more by example than by precept; they were to preach by humility and simplicity.	true	365.3	373.06	25.08625
7981_112058_000014_000001	"It is not by knowledge that you will do them good," Vincent often repeated, "or by the fine things you say, for they are more learned than you--they have read or heard it all before.	"It is not by knowledge that you will do them good," Vincent often repeated, "or by the fine things you say, for they are more learned than you-they have read or heard it all before.	true	373.7	384.46	20.569307
7981_112058_000014_000002	It is by what they see of your lives that you will help them; if you yourselves are striving for perfection, God will use you to lead these gentlemen in the right way."	It is by what they see of your lives that you will help them; if you yourselves are striving for perfection, God will use you to lead these gentlemen in the right way."	true	384.56	393.49	22.773521
7981_112058_000015_000000	The blessing of God seemed, indeed, to rest upon the ordination retreats; nearly all who made them carried away something of Vincent's noble ideal of the priestly life.	The blessing of God seemed, indeed, to rest upon the ordination retreats; nearly all who made them carried away something of Vincent's noble ideal of the priestly life.	false	394.19	403.18	18.845509
7981_112058_000015_000001	Many to whom they had been the turning point of a lifetime, felt the need of further help and instruction from the man who had awakened all that was noblest in their natures.	Many to whom they had been the turning point of a lifetime, felt the need of further help and instruction from the man who had awakened all that was noblest in their natures.	true	403.25	412.03	24.55901
7981_112058_000016_000000	To meet this necessity Vincent inaugurated a kind of guild for young priests who desire to live worthy of their vocation.	To meet this necessity Vincent inaugurated a kind of guild for young priests who desire to live worthy of their vocation.	true	413.21	421.06	22.264618
7981_112058_000016_000001	Weekly gatherings were held at St. Lazare under the name of "Tuesday Conferences," where difficulties were discussed, debates held and counsels given.	Weekly gatherings were held at st Lazare under the name of "Tuesday Conferences," where difficulties were discussed, debates held and counsels given.	false	421.67	429.94	24.434322
7981_112058_000016_000002	It was not easy to belong to the "Conferences." Members were pledged to offer their lives completely to God and to renounce all self-interest. Nevertheless, they increased rapidly in number, and the Conferences were attended by all the most influential priests in Paris.	It was not easy to belong to the "Conferences." Members were pledged to offer their lives completely to God and to renounce all self interest. Nevertheless, they increased rapidly in number, and the Conferences were attended by all the most influential priests in Paris.	true	430.79	445.24	22.803867
7981_112058_000017_000000	But Vincent's zeal was boundless, and one good work grew out of another.	But Vincent's zeal was boundless, and one good work grew out of another.	true	445.43	449.25	18
7981_112058_000017_000001	The retreats for ordination candidates having been so successful, he conceived the idea of giving retreats on the same lines for the laity.	The retreats for ordination candidates having been so successful, he conceived the idea of giving retreats on the same lines for the laity.	false	449.25	456.97	21.32546
7981_112058_000017_000002	The work thrived beyond all expectation.	The work thrived beyond all expectation.	true	457.55	460.12	26.443544
7981_112058_000017_000003	All were admitted without exception: noblemen and beggars, young men and old, the learned and the ignorant, priests and laymen.	All were admitted without exception: noblemen and beggars, young men and old, the learned and the ignorant, priests and laymen.	false	460.25	468	21.474415
7981_112058_000017_000004	St. Lazare at such times, Vincent once said, was like Noah's ark: every kind of creature was to be found in it.	st Lazare at such times, Vincent once said, was like Noah's ark: every kind of creature was to be found in it.	false	468	474.7	21.13583
7981_112058_000018_000000	The only difficulty was the expense entailed, for many of the retreatants could pay nothing toward their board and lodging, and Vincent would refuse nobody.	The only difficulty was the expense entailed, for many of the retreatants could pay nothing toward their board and lodging, and Vincent would refuse nobody.	true	475.28	482.98	20
7981_112058_000018_000001	Here, as in so many other cases, it was the Congregation of the Ladies of Charity, founded by Vincent in Paris, that came nobly to his rescue.	Here, as in so many other cases, it was the Congregation of the Ladies of Charity, founded by Vincent in Paris, that came nobly to his rescue.	false	483.86	491.98	21.380667
7981_112058_000018_000002	There was Madame de Maignelais, sister of M. de Gondi, who, left a widow at the age of twenty, devoted herself and her enormous fortune to alms and good works.	There was Madame de Maignelais, sister of m de Gondi, who, left a widow at the age of twenty, devoted herself and her enormous fortune to alms and good works.	false	492.41	502.09	20.068014
7981_112058_000018_000003	There was the Duchesse d'Aiguillon, niece of the great Richelieu; Madame de Miramion, beautiful and pious; Madame Goussault, the first President of the Dames de Charite; and many others, whose purses were always at Vincent's disposal.	There was the Duchesse d'Aiguillon, niece of the great Richelieu; Madame de Miramion, beautiful and pious; Madame Goussault, the first President of the Dames de Charite; and many others, whose purses were always at Vincent's disposal.	false	502.31	517.42	23.618872
7981_112058_000019_000000	The Congregation of the Mission Priests was to inaugurate another good work for which there was an urgent necessity in the world of Vincent's day.	The Congregation of the Mission Priests was to inaugurate another good work for which there was an urgent necessity in the world of Vincent's day.	true	517.88	524.89	20.111084
7981_112058_000019_000001	While yet at the College des Bons Enfants, he had realized how great was the need of a special training for young men destined for the priesthood and had founded a small seminary.	While yet at the College des Bons Enfants, he had realized how great was the need of a special training for young men destined for the priesthood and had founded a small seminary.	false	525.68	535.48	24.8386
7981_112058_000019_000002	After the move to St. Lazare the undertaking had grown and prospered.	After the move to st Lazare the undertaking had grown and prospered.	false	536.33	540.13	25.71641
7981_112058_000019_000003	A college of the same kind had been lately founded by M. Olier, the zealous cure of St. Sulpice; and these two institutions, the first of the famous seminaries which were later to spread all over France, were powerful for the reform of the clergy.	A college of the same kind had been lately founded by m Olier, the zealous cure of st Sulpice; and these two institutions, the first of the famous seminaries which were later to spread all over France, were powerful for the reform of the clergy.	false	540.47	556.69	21.78731
7981_112058_000019_000004	One hundred and fifty years later the Mission Priests of St. Lazare alone were at the head of sixty such seminaries.	One hundred and fifty years later the Mission Priests of st Lazare alone were at the head of sixty such seminaries.	false	557.75	563.86	20.469276
7981_112058_000020_000000	So the work of the Congregation increased and multiplied until it seemed almost too much for human capacity.	So the work of the Congregation increased and multiplied until it seemed almost too much for human capacity.	true	564.38	569.85	23
7981_112058_000020_000001	But Vincent knew wherein lay the strength of the Mission Priests.	But Vincent knew wherein lay the strength of the Mission Priests.	false	569.85	573.64	19.153643
7981_112058_000020_000002	"How may we hope to do our work?" he would ask.	"How may we hope to do our work?" he would ask.	false	574.91	577.69	20.381004
7981_112058_000020_000003	"How can we lead souls to God?	"How can we lead souls to God?	true	577.79	580	22.29998
7981_112058_000020_000004	How can we stem the tide of wickedness among the people?	How can we stem the tide of wickedness among the people?	true	580.07	583	27.716715
7981_112058_000020_000005	Let us realize that this is not man's work at all, it is God's.	Let us realize that this is not man's work at all, it is God's.	false	583.49	588.1	23.52812
7981_112058_000020_000006	Human energy will only hinder it unless directed by God.	Human energy will only hinder it unless directed by God.	true	588.47	591.94	20.582964
7981_112058_000020_000007	The most important point of all is that we should be in touch with Our Lord in prayer."	The most important point of all is that we should be in touch with Our Lord in prayer."	true	592.49	597.67	25.784384
7981_112058_000021_000000	Dearest to his heart of all his undertakings was the first and chief work of the Congregation--the holding of missions for the poor.	Dearest to his heart of all his undertakings was the first and chief work of the Congregation-the holding of missions for the poor.	true	598.55	606.67	22.231762
7981_112058_000021_000001	By twos and threes he would send out his sons to their labors, bidding them travel to their destination in the cheapest possible way.	By twos and threes he would send out his sons to their labors, bidding them travel to their destination in the cheapest possible way.	true	607.22	614.26	21.64975
7981_112058_000021_000002	They were to accept neither free quarters nor gifts of any kind.	They were to accept neither free quarters nor gifts of any kind.	true	614.84	618.43	21.887846
7981_112058_000021_000003	All their thoughts and prayers were to be concentrated on their work: they were to live for their mission.	All their thoughts and prayers were to be concentrated on their work: they were to live for their mission.	false	618.92	624.13	24.481403
7981_112058_000021_000004	Two sermons were to be preached daily--simple instructions on the great truths--and those who had not yet made their First Communion were to be catechized.	Two sermons were to be preached daily-simple instructions on the great truths-and those who had not yet made their First Communion were to be catechized.	true	624.44	633.4	22.006033
7981_112058_000021_000005	The mission lasted ten or fourteen days, during which the Mission Priests were to have as much personal contact with the people as possible, visiting the sick and the infirm, reconciling enemies and showing themselves as the friends of all.	The mission lasted ten or fourteen days, during which the Mission Priests were to have as much personal contact with the people as possible, visiting the sick and the infirm, reconciling enemies and showing themselves as the friends of all.	true	633.89	648.61	23.278513
7981_112058_000022_000000	It was no easy task to be a good Mission Priest.	It was no easy task to be a good Mission Priest.	true	649.94	653.2	19.243256
7981_112058_000022_000001	It meant self-mastery, self-renunciation, self-forgetfulness total and complete.	It meant self mastery, self renunciation, self forgetfulness total and complete.	true	653.69	659.8	24.322243
7981_112058_000022_000002	It meant the laying aside of much that lies very close to a man's heart.	It meant the laying aside of much that lies very close to a man's heart.	false	660.29	663.94	21.654045
7981_112058_000022_000003	"Unless the Congregation of the Mission is humble," said Vincent, "and realizes that it can accomplish nothing of any value, but that it is more apt to mar than to make, it will never be of much effect; but when it has this spirit it will be fit for the purposes of God."	"Unless the Congregation of the Mission is humble," said Vincent, "and realizes that it can accomplish nothing of any value, but that it is more apt to mar than to make, it will never be of much effect; but when it has this spirit it will be fit for the purposes of God."	true	665.15	681.25	23.131891
7981_112058_000023_000000	Yet, in spite of all that such a vocation meant of self-renunciation, year after year the Mission Priests increased in number.	Yet, in spite of all that such a vocation meant of self renunciation, year after year the Mission Priests increased in number.	true	682.01	689.35	22.918581
7981_112058_000023_000001	"This work is not human, it is from God," was Vincent's answer to those who marvelled at the power of the company for good.	"This work is not human, it is from God," was Vincent's answer to those who marvelled at the power of the company for good.	false	690.2	704.85	19.751106
