7540_101262_000000_000000	(Volksmarchen der Serben.)	(Volksmarchen der Serben.)	false	0	15.285	24.149734
7540_101262_000009_000000	When he had recovered from his surprise at the unexpected disappearance of the maiden, the prince exclaimed, 'What can be the matter?' and, looking about him, discovered the old witch hidden under the bed.	When he had recovered from his surprise at the unexpected disappearance of the maiden, the prince exclaimed, 'What can be the matter?' and, looking about him, discovered the old witch hidden under the bed.	true	212.63	224.5	22.730986
7540_101262_000009_000001	He dragged her out, and in his fury called his guards, and ordered them to put her to death as fast as possible.	He dragged her out, and in his fury called his guards, and ordered them to put her to death as fast as possible.	true	224.78	231.19	22.845196
7540_101262_000009_000002	But that did no good as far as the pea-hens went.	But that did no good as far as the pea hens went.	true	231.68	235.09	23.081598
7540_101262_000009_000003	They never came back any more, though the prince returned to the tree every night, and wept his heart out for his lost love.	They never came back any more, though the prince returned to the tree every night, and wept his heart out for his lost love.	true	235.49	242.59	25.529667
7540_101262_000009_000004	This went on for some time, till the prince could bear it no longer, and made up his mind he would search the world through for her.	This went on for some time, till the prince could bear it no longer, and made up his mind he would search the world through for her.	true	242.93	249.4	23.893356
7540_101262_000009_000005	In vain his father tried to persuade him that his task was hopeless, and that other girls were to be found as beautiful as this one.	In vain his father tried to persuade him that his task was hopeless, and that other girls were to be found as beautiful as this one.	true	249.71	257.32	22.18392
7540_101262_000009_000006	The prince would listen to nothing, and, accompanied by only one servant, set out on his quest.	The prince would listen to nothing, and, accompanied by only one servant, set out on his quest.	true	257.78	264.16	21.667286
7540_101262_000010_000000	After travelling for many days, he arrived at length before a large gate, and through the bars he could see the streets of a town, and even the palace.	After travelling for many days, he arrived at length before a large gate, and through the bars he could see the streets of a town, and even the palace.	true	264.38	273.34	22.934473
7540_101262_000010_000001	The prince tried to pass in, but the way was barred by the keeper of the gate, who wanted to know who he was, why he was there, and how he had learnt the way, and he was not allowed to enter unless the empress herself came and gave him leave.	The prince tried to pass in, but the way was barred by the keeper of the gate, who wanted to know who he was, why he was there, and how he had learnt the way, and he was not allowed to enter unless the empress herself came and gave him leave.	true	273.95	289.18	22.731348
7540_101262_000010_000002	A message was sent to her, and when she stood at the gate the prince thought he had lost his wits, for there was the maiden he had left his home to seek.	A message was sent to her, and when she stood at the gate the prince thought he had lost his wits, for there was the maiden he had left his home to seek.	false	289.49	299.26	23.175945
7540_101262_000010_000003	And she hastened to him, and took his hand, and drew him into the palace.	And she hastened to him, and took his hand, and drew him into the palace.	true	300.05	304.57	20.45513
7540_101262_000010_000004	In a few days they were married, and the prince forgot his father and his brothers, and made up his mind that he would live and die in the castle.	In a few days they were married, and the prince forgot his father and his brothers, and made up his mind that he would live and die in the castle.	true	305.12	313.99	20.062159
7540_101262_000011_000000	One morning the empress told him that she was going to take a walk by herself, and that she would leave the keys of twelve cellars to his care.	One morning the empress told him that she was going to take a walk by herself, and that she would leave the keys of twelve cellars to his care.	false	314.72	322.21	21.06203
7540_101262_000011_000001	'If you wish to enter the first eleven cellars,' said she, 'you can; but beware of even unlocking the door of the twelfth, or it will be the worse for you.'	'If you wish to enter the first eleven cellars,' said she, 'you can; but beware of even unlocking the door of the twelfth, or it will be the worse for you.'	false	322.7	332.89	22.56914
7540_101262_000012_000000	The prince, who was left alone in the castle, soon got tired of being by himself, and began to look about for something to amuse him.	The prince, who was left alone in the castle, soon got tired of being by himself, and began to look about for something to amuse him.	true	333.68	341.14	24.697886
7540_101262_000013_000000	'What CAN there be in that twelfth cellar,' he thought to himself, 'which I must not see?' And he went downstairs and unlocked the doors, one after the other.	'What CAN there be in that twelfth cellar,' he thought to himself, 'which I must not see?' And he went downstairs and unlocked the doors, one after the other.	false	341.66	352.51	22.433615
7540_101262_000013_000001	When he got to the twelfth he paused, but his curiosity was too much for him, and in another instant the key was turned and the cellar lay open before him.	When he got to the twelfth he paused, but his curiosity was too much for him, and in another instant the key was turned and the cellar lay open before him.	true	352.85	362.83	24.826895
7540_101262_000013_000002	It was empty, save for a large cask, bound with iron hoops, and out of the cask a voice was saying entreatingly, 'For goodness' sake, brother, fetch me some water; I am dying of thirst!'	It was empty, save for a large cask, bound with iron hoops, and out of the cask a voice was saying entreatingly, 'For goodness' sake, brother, fetch me some water; I am dying of thirst!'	true	363.02	375.58	23.134184
7540_101262_000014_000000	The prince, who was very tender-hearted, brought some water at once, and pushed it through a hole in the barrel; and as he did so one of the iron hoops burst.	The prince, who was very tender hearted, brought some water at once, and pushed it through a hole in the barrel; and as he did so one of the iron hoops burst.	true	376.22	385.96	22.402298
7540_101262_000015_000000	He was turning away, when a voice cried the second time, 'Brother, for pity's sake fetch me some water; I'm dying of thirst!'	He was turning away, when a voice cried the second time, 'Brother, for pity's sake fetch me some water; I'm dying of thirst!'	true	386.81	394.21	24.988253
7540_101262_000016_000000	So the prince went back, and brought some more water, and again a hoop sprang.	So the prince went back, and brought some more water, and again a hoop sprang.	true	395.09	399.96	23.256248
7540_101262_000017_000000	And for the third time the voice still called for water; and when water was given it the last hoop was rent, the cask fell in pieces, and out flew a dragon, who snatched up the empress just as she was returning from her walk, and carried her off.	And for the third time the voice still called for water; and when water was given it the last hoop was rent, the cask fell in pieces, and out flew a dragon, who snatched up the empress just as she was returning from her walk, and carried her off.	false	399.96	416.23	23.412142
7540_101262_000017_000001	Some servants who saw what had happened came rushing to the prince, and the poor young man went nearly mad when he heard the result of his own folly, and could only cry out that he would follow the dragon to the ends of the earth, until he got his wife again.	Some servants who saw what had happened came rushing to the prince, and the poor young man went nearly mad when he heard the result of his own folly, and could only cry out that he would follow the dragon to the ends of the earth, until he got his wife again.	false	416.45	431.53	20.545786
7540_101262_000018_000000	For months and months he wandered about, first in this direction and then in that, without finding any traces of the dragon or his captive. At last he came to a stream, and as he stopped for a moment to look at it he noticed a little fish lying on the bank, beating its tail convulsively, in a vain effort to get back into the water.	For months and months he wandered about, first in this direction and then in that, without finding any traces of the dragon or his captive. At last he came to a stream, and as he stopped for a moment to look at it he noticed a little fish lying on the bank, beating its tail convulsively, in a vain effort to get back into the water.	false	432.05	453.07	22.372728
7540_101262_000019_000000	'Oh, for pity's sake, my brother,' shrieked the little creature, 'help me, and put me back into the river, and I will repay you some day.	'Oh, for pity's sake, my brother,' shrieked the little creature, 'help me, and put me back into the river, and I will repay you some day.	true	453.41	461.56	25.117445
7540_101262_000019_000001	Take one of my scales, and when you are in danger twist it in your fingers, and I will come!'	Take one of my scales, and when you are in danger twist it in your fingers, and I will come!'	true	462.02	467.95	21.900383
7540_101262_000020_000000	The prince picked up the fish and threw it into the water; then he took off one of its scales, as he had been told, and put it in his pocket, carefully wrapped in a cloth.	The prince picked up the fish and threw it into the water; then he took off one of its scales, as he had been told, and put it in his pocket, carefully wrapped in a cloth.	true	468.5	478.63	24.31203
7540_101262_000020_000001	Then he went on his way till, some miles further down the road, he found a fox caught in a trap.	Then he went on his way till, some miles further down the road, he found a fox caught in a trap.	true	479.24	486.18	22.591772
7540_101262_000021_000000	'Oh! be a brother to me!' called the fox, 'and free me from this trap, and I will help you when you are in need.	'Oh! be a brother to me!' called the fox, 'and free me from this trap, and I will help you when you are in need.	true	486.18	493	23.432707
7540_101262_000021_000001	Pull out one of my hairs, and when you are in danger twist it in your fingers, and I will come.'	Pull out one of my hairs, and when you are in danger twist it in your fingers, and I will come.'	true	493.31	498.76	19.86179
7540_101262_000022_000000	So the prince unfastened the trap, pulled out one of the fox's hairs, and continued his journey.	So the prince unfastened the trap, pulled out one of the fox's hairs, and continued his journey.	true	499.19	504.7	22.87021
7540_101262_000022_000001	And as he was going over the mountain he passed a wolf entangled in a snare, who begged to be set at liberty.	And as he was going over the mountain he passed a wolf entangled in a snare, who begged to be set at liberty.	true	505.16	511.6	23.775616
7540_101262_000023_000000	'Only deliver me from death,' he said, 'and you will never be sorry for it.	'Only deliver me from death,' he said, 'and you will never be sorry for it.	false	512.12	516.34	21.020939
7540_101262_000023_000001	Take a lock of my fur, and when you need me twist it in your fingers.' And the prince undid the snare and let the wolf go.	Take a lock of my fur, and when you need me twist it in your fingers.' And the prince undid the snare and let the wolf go.	true	516.5	523.6	20.719233
7540_101262_000024_000000	For a long time he walked on, without having any more adventures, till at length he met a man travelling on the same road.	For a long time he walked on, without having any more adventures, till at length he met a man travelling on the same road.	false	524.33	532.33	22.93182
7540_101262_000025_000000	'Oh, brother!' asked the prince, 'tell me, if you can, where the dragon-emperor lives?'	'Oh, brother!' asked the prince, 'tell me, if you can, where the dragon emperor lives?'	true	532.52	537.87	20.843405
7540_101262_000026_000000	The man told him where he would find the palace, and how long it would take him to get there, and the prince thanked him, and followed his directions, till that same evening he reached the town where the dragon-emperor lived.	The man told him where he would find the palace, and how long it would take him to get there, and the prince thanked him, and followed his directions, till that same evening he reached the town where the dragon emperor lived.	false	537.87	549.79	22.402433
7540_101262_000026_000001	When he entered the palace, to his great joy he found his wife sitting alone in a vast hall, and they began hastily to invent plans for her escape.	When he entered the palace, to his great joy he found his wife sitting alone in a vast hall, and they began hastily to invent plans for her escape.	true	550.52	559.72	20.064714
7540_101262_000027_000000	There was no time to waste, as the dragon might return directly, so they took two horses out of the stable, and rode away at lightning speed. Hardly were they out of sight of the palace than the dragon came home and found that his prisoner had flown.	There was no time to waste, as the dragon might return directly, so they took two horses out of the stable, and rode away at lightning speed. Hardly were they out of sight of the palace than the dragon came home and found that his prisoner had flown.	true	559.76	573.82	21.810713
7540_101262_000027_000001	He sent at once for his talking horse, and said to him:	He sent at once for his talking horse, and said to him:	true	574.16	577.45	22.427721
7540_101262_000028_000000	'Give me your advice; what shall I do--have my supper as usual, or set out in pursuit of them?'	'Give me your advice; what shall I do-have my supper as usual, or set out in pursuit of them?'	true	577.58	583.81	23.949297
7540_101262_000029_000000	'Eat your supper with a free mind first,' answered the horse, 'and follow them afterwards.'	'Eat your supper with a free mind first,' answered the horse, 'and follow them afterwards.'	true	584.12	589.81	22.712605
7540_101262_000030_000000	So the dragon ate till it was past mid-day, and when he could eat no more he mounted his horse and set out after the fugitives.	So the dragon ate till it was past mid day, and when he could eat no more he mounted his horse and set out after the fugitives.	true	590.6	597.91	21.196796
7540_101262_000030_000001	In a short time he had come up with them, and as he snatched the empress out of her saddle he said to the prince:	In a short time he had come up with them, and as he snatched the empress out of her saddle he said to the prince:	true	598.7	604.63	22.65603
7540_101262_000031_000000	'This time I will forgive you, because you brought me the water when I was in the cask; but beware how you return here, or you will pay for it with your life.'	'This time I will forgive you, because you brought me the water when I was in the cask; but beware how you return here, or you will pay for it with your life.'	true	605.18	614.14	23.226295
7540_101262_000032_000000	Half mad with grief, the prince rode sadly on a little further, hardly knowing what he was doing.	Half mad with grief, the prince rode sadly on a little further, hardly knowing what he was doing.	true	614.66	621.1	20.44989
7540_101262_000032_000001	Then he could bear it no longer and turned back to the palace, in spite of the dragon's threats.	Then he could bear it no longer and turned back to the palace, in spite of the dragon's threats.	true	621.89	626.92	24.231333
7540_101262_000032_000002	Again the empress was sitting alone, and once more they began to think of a scheme by which they could escape the dragon's power.	Again the empress was sitting alone, and once more they began to think of a scheme by which they could escape the dragon's power.	true	627.38	634.66	22.319988
7540_101262_000033_000000	'Ask the dragon when he comes home,' said the prince, 'where he got that wonderful horse from, and then you can tell me, and I will try to find another like it.'	'Ask the dragon when he comes home,' said the prince, 'where he got that wonderful horse from, and then you can tell me, and I will try to find another like it.'	true	634.97	644.41	21.057486
7540_101262_000034_000000	Then, fearing to meet his enemy, he stole out of the castle.	Then, fearing to meet his enemy, he stole out of the castle.	true	644.9	649.15	23.790157
7540_101262_000035_000000	Soon after the dragon came home, and the empress sat down near him, and began to coax and flatter him into a good humour, and at last she said:	Soon after the dragon came home, and the empress sat down near him, and began to coax and flatter him into a good humour, and at last she said:	true	649.34	658.36	23.429869
7540_101262_000036_000000	'But tell me about that wonderful horse you were riding yesterday. There cannot be another like it in the whole world.	'But tell me about that wonderful horse you were riding yesterday. There cannot be another like it in the whole world.	false	658.82	665.11	22.799694
7540_101262_000036_000001	Where did you get it from?'	Where did you get it from?'	true	665.15	666.58	20.432014
7540_101262_000037_000000	And he answered:	And he answered:	true	666.8	668.08	25.759697
7540_101262_000038_000000	'The way I got it is a way which no one else can take.	'The way I got it is a way which no one else can take.	false	668.39	672.16	22.326189
7540_101262_000038_000001	On the top of a high mountain dwells an old woman, who has in her stables twelve horses, each one more beautiful than the other.	On the top of a high mountain dwells an old woman, who has in her stables twelve horses, each one more beautiful than the other.	false	672.44	680.68	21.32406
7540_101262_000038_000002	And in one corner is a thin, wretched-looking animal whom no one would glance at a second time, but he is in reality the best of the lot.	And in one corner is a thin, wretched looking animal whom no one would glance at a second time, but he is in reality the best of the lot.	true	681.05	690.13	23.694616
7540_101262_000038_000003	He is twin brother to my own horse, and can fly as high as the clouds themselves.	He is twin brother to my own horse, and can fly as high as the clouds themselves.	true	690.53	695.59	21.263727
7540_101262_000038_000004	But no one can ever get this horse without first serving the old woman for three whole days. And besides the horses she has a foal and its mother, and the man who serves her must look after them for three whole days, and if he does not let them run away he will in the end get the choice of any horse as a present from the old woman.	But no one can ever get this horse without first serving the old woman for three whole days. And besides the horses she has a foal and its mother, and the man who serves her must look after them for three whole days, and if he does not let them run away he will in the end get the choice of any horse as a present from the old woman.	true	695.69	715.45	22.230743
7540_101262_000038_000005	But if he fails to keep the foal and its mother safe on any one of the three nights his head will pay.'	But if he fails to keep the foal and its mother safe on any one of the three nights his head will pay.'	true	715.94	722.11	22.52812
7540_101262_000039_000000	The next day the prince watched till the dragon left the house, and then he crept in to the empress, who told him all she had learnt from her gaoler.	The next day the prince watched till the dragon left the house, and then he crept in to the empress, who told him all she had learnt from her gaoler.	false	722.78	731.47	21.4201
7540_101262_000039_000001	The prince at once determined to seek the old woman on the top of the mountain, and lost no time in setting out.	The prince at once determined to seek the old woman on the top of the mountain, and lost no time in setting out.	false	731.96	738.52	20.253012
7540_101262_000039_000002	It was a long and steep climb, but at last he found her, and with a low bow he began:	It was a long and steep climb, but at last he found her, and with a low bow he began:	true	738.95	744.76	22.70788
7540_101262_000040_000000	'Good greeting to you, little mother!'	'Good greeting to you, little mother!'	true	745.25	747.07	19.480097
7540_101262_000041_000000	'Good greeting to you, my son!	'Good greeting to you, my son!	true	747.56	749.35	18.250319
7540_101262_000041_000001	What are you doing here?'	What are you doing here?'	true	749.63	750.94	21.16234
7540_101262_000042_000000	'I wish to become your servant,' answered he.	'I wish to become your servant,' answered he.	true	751.28	753.64	23.515804
7540_101262_000043_000000	'So you shall,' said the old woman.	'So you shall,' said the old woman.	true	754.16	756.31	21.610752
7540_101262_000043_000001	'If you can take care of my mare for three days I will give you a horse for wages, but if you let her stray you will lose your head'; and as she spoke she led him into a courtyard surrounded with palings, and on every post a man's head was stuck.	'If you can take care of my mare for three days I will give you a horse for wages, but if you let her stray you will lose your head'; and as she spoke she led him into a courtyard surrounded with palings, and on every post a man's head was stuck.	false	756.32	771.04	23.636614
7540_101262_000043_000002	One post only was empty, and as they passed it cried out:	One post only was empty, and as they passed it cried out:	true	771.35	775.36	21.712254
7540_101262_000044_000000	'Woman, give me the head I am waiting for!'	'Woman, give me the head I am waiting for!'	true	775.49	778.03	19.617151
7540_101262_000045_000000	The old woman made no answer, but turned to the prince and said:	The old woman made no answer, but turned to the prince and said:	true	778.19	781.93	24.020636
7540_101262_000046_000000	'Look! all those men took service with me, on the same conditions as you, but not one was able to guard the mare!'	'Look! all those men took service with me, on the same conditions as you, but not one was able to guard the mare!'	false	782.18	789.58	21.621323
7540_101262_000047_000000	But the prince did not waver, and declared he would abide by his words.	But the prince did not waver, and declared he would abide by his words.	true	790.01	794.23	23.276236
7540_101262_000048_000000	When evening came he led the mare out of the stable and mounted her, and the colt ran behind.	When evening came he led the mare out of the stable and mounted her, and the colt ran behind.	false	795.11	801.31	23.038658
7540_101262_000048_000001	He managed to keep his seat for a long time, in spite of all her efforts to throw him, but at length he grew so weary that he fell fast asleep, and when he woke he found himself sitting on a log, with the halter in his hands.	He managed to keep his seat for a long time, in spite of all her efforts to throw him, but at length he grew so weary that he fell fast asleep, and when he woke he found himself sitting on a log, with the halter in his hands.	true	801.86	815.53	23.60028
7540_101262_000048_000002	He jumped up in terror, but the mare was nowhere to be seen, and he started with a beating heart in search of her.	He jumped up in terror, but the mare was nowhere to be seen, and he started with a beating heart in search of her.	true	815.87	822.73	22.02891
7540_101262_000048_000003	He had gone some way without a single trace to guide him, when he came to a little river.	He had gone some way without a single trace to guide him, when he came to a little river.	true	823.28	827.76	19.205658
7540_101262_000048_000004	The sight of the water brought back to his mind the fish whom he had saved from death, and he hastily drew the scale from his pocket.	The sight of the water brought back to his mind the fish whom he had saved from death, and he hastily drew the scale from his pocket.	false	827.76	835.9	21.763376
7540_101262_000048_000005	It had hardly touched his fingers when the fish appeared in the stream beside him.	It had hardly touched his fingers when the fish appeared in the stream beside him.	true	836.45	840.85	20.776236
7540_101262_000049_000000	'What is it, my brother?' asked the fish anxiously.	'What is it, my brother?' asked the fish anxiously.	true	841.19	843.85	22.545597
7540_101262_000050_000000	'The old woman's mare strayed last night, and I don't know where to look for her.'	'The old woman's mare strayed last night, and I don't know where to look for her.'	true	844.7	848.53	20.845156
7540_101262_000051_000000	'Oh, I can tell you that: she has changed herself into a big fish, and her foal into a little one.	'Oh, I can tell you that: she has changed herself into a big fish, and her foal into a little one.	false	849.08	855.97	22.720507
7540_101262_000051_000001	But strike the water with the halter and say, "Come here, O mare of the mountain witch!" and she will come.'	But strike the water with the halter and say, "Come here, O mare of the mountain witch!" and she will come.'	true	856.37	862.54	23.866486
7540_101262_000052_000000	The prince did as he was bid, and the mare and her foal stood before him.	The prince did as he was bid, and the mare and her foal stood before him.	true	862.82	867.28	24.410318
7540_101262_000052_000001	Then he put the halter round her neck, and rode her home, the foal always trotting behind them.	Then he put the halter round her neck, and rode her home, the foal always trotting behind them.	false	867.56	873.13	22.314117
7540_101262_000052_000002	The old woman was at the door to receive them, and gave the prince some food while she led the mare back to the stable.	The old woman was at the door to receive them, and gave the prince some food while she led the mare back to the stable.	true	873.95	880.63	19.935347
7540_101262_000053_000000	'You should have gone among the fishes,' cried the old woman, striking the animal with a stick.	'You should have gone among the fishes,' cried the old woman, striking the animal with a stick.	true	881.09	885.85	22.138393
7540_101262_000054_000000	'I did go among the fishes,' replied the mare; 'but they are no friends of mine, for they betrayed me at once.'	'I did go among the fishes,' replied the mare; 'but they are no friends of mine, for they betrayed me at once.'	false	886.37	892.75	22.097004
7540_101262_000055_000000	'Well, go among the foxes this time,' said she, and returned to the house, not knowing that the prince had overheard her.	'Well, go among the foxes this time,' said she, and returned to the house, not knowing that the prince had overheard her.	true	893.33	901.42	23.614117
7540_101262_000056_000000	So when it began to grow dark the prince mounted the mare for the second time and rode into the meadows, and the foal trotted behind its mother. Again he managed to stick on till midnight: then a sleep overtook him that he could not battle against, and when he woke up he found himself, as before, sitting on the log, with the halter in his hands.	So when it began to grow dark the prince mounted the mare for the second time and rode into the meadows, and the foal trotted behind its mother. Again he managed to stick on till midnight: then a sleep overtook him that he could not battle against, and when he woke up he found himself, as before, sitting on the log, with the halter in his hands.	true	902.03	923.59	23.665802
7540_101262_000056_000001	He gave a shriek of dismay, and sprang up in search of the wanderers.	He gave a shriek of dismay, and sprang up in search of the wanderers.	true	924.38	928.06	23.100374
7540_101262_000056_000002	As he went he suddenly remembered the words that the old woman had said to the mare, and he drew out the fox hair and twisted it in his fingers.	As he went he suddenly remembered the words that the old woman had said to the mare, and he drew out the fox hair and twisted it in his fingers.	false	928.34	935.89	19.76013
7540_101262_000057_000000	'What is it, my brother?' asked the fox, who instantly appeared before him.	'What is it, my brother?' asked the fox, who instantly appeared before him.	true	936.74	940.81	21.772457
7540_101262_000058_000000	'The old witch's mare has run away from me, and I do not know where to look for her.'	'The old witch's mare has run away from me, and I do not know where to look for her.'	true	941.72	945.67	20.601435
7540_101262_000059_000000	'She is with us,' replied the fox, 'and has changed herself into a big fox, and her foal into a little one, but strike the ground with a halter and say, "Come here, O mare of the mountain witch!"'	'She is with us,' replied the fox, 'and has changed herself into a big fox, and her foal into a little one, but strike the ground with a halter and say, "Come here, O mare of the mountain witch!"'	false	946.04	957.91	23.137695
7540_101262_000060_000000	The prince did so, and in a moment the fox became a mare and stood before him, with the little foal at her heels.	The prince did so, and in a moment the fox became a mare and stood before him, with the little foal at her heels.	false	958.28	964.93	22.720564
7540_101262_000060_000001	He mounted and rode back, and the old woman placed food on the table, and led the mare back to the stable.	He mounted and rode back, and the old woman placed food on the table, and led the mare back to the stable.	true	965.57	971.05	23.253714
7540_101262_000061_000000	'You should have gone to the foxes, as I told you,' said she, striking the mare with a stick.	'You should have gone to the foxes, as I told you,' said she, striking the mare with a stick.	true	971.21	976.05	21.4586
7540_101262_000062_000000	'I did go to the foxes,' replied the mare, 'but they are no friends of mine and betrayed me.'	'I did go to the foxes,' replied the mare, 'but they are no friends of mine and betrayed me.'	true	976.05	981.34	22.09768
7540_101262_000063_000000	'Well, this time you had better go to the wolves,' said she, not knowing that the prince had heard all she had been saying.	'Well, this time you had better go to the wolves,' said she, not knowing that the prince had heard all she had been saying.	false	981.89	988.54	20.567234
7540_101262_000064_000000	The third night the prince mounted the mare and rode her out to the meadows, with the foal trotting after.	The third night the prince mounted the mare and rode her out to the meadows, with the foal trotting after.	false	989.21	994.72	24.89505
7540_101262_000064_000001	He tried hard to keep awake, but it was of no use, and in the morning there he was again on the log, grasping the halter.	He tried hard to keep awake, but it was of no use, and in the morning there he was again on the log, grasping the halter.	true	995.36	1003.81	21.582113
7540_101262_000064_000002	He started to his feet, and then stopped, for he remembered what the old woman had said, and pulled out the wolf's grey lock.	He started to his feet, and then stopped, for he remembered what the old woman had said, and pulled out the wolf's grey lock.	false	1004.24	1011.79	23.628382
7540_101262_000065_000000	'What is it, my brother?' asked the wolf as it stood before him.	'What is it, my brother?' asked the wolf as it stood before him.	true	1012.31	1015.51	21.630533
7540_101262_000066_000000	'The old witch's mare has run away from me,' replied the prince, 'and I don't know where to find her.'	'The old witch's mare has run away from me,' replied the prince, 'and I don't know where to find her.'	false	1016.21	1021.63	22.371365
