362_123047_000000_000000	Part IV	Part four	false	29.19	31.2	15.007119
362_123047_000018_000001	"Come on, Blackie." I put down my head, and threw my whole weight against the collar; I spared no strength; the load moved on, and I pulled it steadily up the hill, and then stopped to take breath.	"Come on, Blackie." I put down my head, and threw my whole weight against the collar; I spared no strength; the load moved on, and I pulled it steadily up the hill, and then stopped to take breath.	false	285.2	302.8	19.568104
362_123047_000019_000000	The lady had walked along the footpath, and now came across into the road.	The lady had walked along the footpath, and now came across into the road.	true	303.5	308.89	19.12684
362_123047_000019_000001	She stroked and patted my neck, as I had not been patted for many a long day.	She stroked and patted my neck, as I had not been patted for many a long day.	true	309.14	315.4	18
362_123047_000020_000000	"You see he was quite willing when you gave him the chance; I am sure he is a fine-tempered creature, and I dare say has known better days.	"You see he was quite willing when you gave him the chance; I am sure he is a fine tempered creature, and I dare say has known better days.	false	316.07	327.19	18.68393
362_123047_000020_000001	You won't put that rein on again, will you?" for he was just going to hitch it up on the old plan.	You won't put that rein on again, will you?" for he was just going to hitch it up on the old plan.	true	327.77	334.27	20.658579
362_123047_000021_000000	"Well, ma'am, I can't deny that having his head has helped him up the hill, and I'll remember it another time, and thank you, ma'am; but if he went without a check-rein I should be the laughing-stock of all the carters; it is the fashion, you see."	"Well, ma'am, I can't deny that having his head has helped him up the hill, and I'll remember it another time, and thank you, ma'am; but if he went without a check rein I should be the laughing stock of all the carters; it is the fashion, you see."	true	335.6	353.35	19.508724
362_123047_000022_000000	"Is it not better," she said, "to lead a good fashion than to follow a bad one?	"Is it not better," she said, "to lead a good fashion than to follow a bad one?	true	354.92	361.18	18.925629
362_123047_000022_000001	A great many gentlemen do not use check-reins now; our carriage horses have not worn them for fifteen years, and work with much less fatigue than those who have them; besides," she added in a very serious voice, "we have no right to distress any of God's creatures without a very good reason; we call them dumb animals, and so they are, for they cannot tell us how they feel, but they do not suffer less because they have no words.	A great many gentlemen do not use check reins now; our carriage horses have not worn them for fifteen years, and work with much less fatigue than those who have them; besides," she added in a very serious voice, "we have no right to distress any of God's creatures without a very good reason; we call them dumb animals, and so they are, for they cannot tell us how they feel, but they do not suffer less because they have no words.	false	361.73	397.24	18.042707
362_123047_000022_000002	But I must not detain you now; I thank you for trying my plan with your good horse, and I am sure you will find it far better than the whip.	But I must not detain you now; I thank you for trying my plan with your good horse, and I am sure you will find it far better than the whip.	true	398.24	407.29	19.443644
362_123047_000022_000003	Good-day," and with another soft pat on my neck she stepped lightly across the path, and I saw her no more.	Good day," and with another soft pat on my neck she stepped lightly across the path, and I saw her no more.	true	407.45	415.99	19.457418
362_123047_000023_000000	"That was a real lady, I'll be bound for it," said Jakes to himself; "she spoke just as polite as if I was a gentleman, and I'll try her plan, uphill, at any rate;" and I must do him the justice to say that he let my rein out several holes, and going uphill after that, he always gave me my head; but the heavy loads went on.	"That was a real lady, I'll be bound for it," said Jakes to himself; "she spoke just as polite as if I was a gentleman, and I'll try her plan, uphill, at any rate;" and I must do him the justice to say that he let my rein out several holes, and going uphill after that, he always gave me my head; but the heavy loads went on.	true	416.99	445.63	18.79653
362_123047_000023_000001	Good feed and fair rest will keep up one's strength under full work, but no horse can stand against overloading; and I was getting so thoroughly pulled down from this cause that a younger horse was bought in my place.	Good feed and fair rest will keep up one's strength under full work, but no horse can stand against overloading; and I was getting so thoroughly pulled down from this cause that a younger horse was bought in my place.	false	446.21	462.01	18.68124
362_123047_000023_000002	I may as well mention here what I suffered at this time from another cause.	I may as well mention here what I suffered at this time from another cause.	true	463.07	467.71	15
362_123047_000023_000003	I had heard horses speak of it, but had never myself had experience of the evil; this was a badly-lighted stable; there was only one very small window at the end, and the consequence was that the stalls were almost dark.	I had heard horses speak of it, but had never myself had experience of the evil; this was a badly lighted stable; there was only one very small window at the end, and the consequence was that the stalls were almost dark.	true	468.2	483.64	18.869503
362_123047_000024_000000	Besides the depressing effect this had on my spirits, it very much weakened my sight, and when I was suddenly brought out of the darkness into the glare of daylight it was very painful to my eyes.	Besides the depressing effect this had on my spirits, it very much weakened my sight, and when I was suddenly brought out of the darkness into the glare of daylight it was very painful to my eyes.	true	484.28	496.99	19.046274
362_123047_000024_000001	Several times I stumbled over the threshold, and could scarcely see where I was going.	Several times I stumbled over the threshold, and could scarcely see where I was going.	true	497.45	502.96	16
362_123047_000025_000000	I believe, had I stayed there very long, I should have become purblind, and that would have been a great misfortune, for I have heard men say that a stone-blind horse was safer to drive than one which had imperfect sight, as it generally makes them very timid.	I believe, had I stayed there very long, I should have become purblind, and that would have been a great misfortune, for I have heard men say that a stone blind horse was safer to drive than one which had imperfect sight, as it generally makes them very timid.	false	503.6	521.38	19.418118
362_123047_000025_000001	However, I escaped without any permanent injury to my sight, and was sold to a large cab owner.	However, I escaped without any permanent injury to my sight, and was sold to a large cab owner.	true	521.78	528.54	19.62297
362_123047_000026_000000	47 Hard Times	forty seven Hard Times	false	528.54	528.84	-20
362_123047_000027_000000	My new master I shall never forget; he had black eyes and a hooked nose, his mouth was as full of teeth as a bull-dog's, and his voice was as harsh as the grinding of cart wheels over graveled stones.	My new master I shall never forget; he had black eyes and a hooked nose, his mouth was as full of teeth as a bull dog's, and his voice was as harsh as the grinding of cart wheels over graveled stones.	false	528.84	532.29	17.572897
362_123047_000027_000001	His name was Nicholas Skinner, and I believe he was the man that poor Seedy Sam drove for.	His name was Nicholas Skinner, and I believe he was the man that poor Seedy Sam drove for.	false	532.29	533.97	-7
