1259_27120_000000_000000	When the clock struck three, Elizabeth felt that she must go, and very unwillingly said so.	When the clock struck three, Elizabeth felt that she must go, and very unwillingly said so.	false	0	2.49	18
1259_27120_000022_000001	On entering the drawing-room she found the whole party at loo, and was immediately invited to join them; but suspecting them to be playing high she declined it, and making her sister the excuse, said she would amuse herself for the short time she could stay below, with a book.	On entering the drawing room she found the whole party at loo, and was immediately invited to join them; but suspecting them to be playing high she declined it, and making her sister the excuse, said she would amuse herself for the short time she could stay below, with a book.	true	298.4	313.57	14
1259_27120_000022_000002	Mr. Hurst looked at her with astonishment.	mr Hurst looked at her with astonishment.	true	313.64	316.15	12
1259_27120_000023_000000	"Do you prefer reading to cards?" said he; "that is rather singular."	"Do you prefer reading to cards?" said he; "that is rather singular."	true	316.64	321.97	20.484999
1259_27120_000024_000000	"Miss Eliza Bennet," said Miss Bingley, "despises cards.	"Miss Eliza Bennet," said Miss Bingley, "despises cards.	true	322.73	327.94	19.814878
1259_27120_000024_000001	She is a great reader, and has no pleasure in anything else."	She is a great reader, and has no pleasure in anything else."	true	327.95	332.73	18
1259_27120_000025_000000	"I deserve neither such praise nor such censure," cried Elizabeth; "I am _not_ a great reader, and I have pleasure in many things."	"I deserve neither such praise nor such censure," cried Elizabeth; "I am underscore not underscore a great reader, and I have pleasure in many things."	false	332.73	341.65	17.150612
1259_27120_000026_000000	"In nursing your sister I am sure you have pleasure," said Bingley; "and I hope it will be soon increased by seeing her quite well."	"In nursing your sister I am sure you have pleasure," said Bingley; "and I hope it will be soon increased by seeing her quite well."	false	342.2	349.66	18.779562
1259_27120_000027_000000	Elizabeth thanked him from her heart, and then walked towards the table where a few books were lying.	Elizabeth thanked him from her heart, and then walked towards the table where a few books were lying.	true	350.18	355.3	14
1259_27120_000027_000001	He immediately offered to fetch her others--all that his library afforded.	He immediately offered to fetch her others-all that his library afforded.	true	355.4	359.4	17
1259_27120_000028_000000	"And I wish my collection were larger for your benefit and my own credit; but I am an idle fellow, and though I have not many, I have more than I ever looked into."	"And I wish my collection were larger for your benefit and my own credit; but I am an idle fellow, and though I have not many, I have more than I ever looked into."	true	359.4	368.68	15
1259_27120_000029_000000	Elizabeth assured him that she could suit herself perfectly with those in the room.	Elizabeth assured him that she could suit herself perfectly with those in the room.	true	369.02	373	18
1259_27120_000030_000000	"I am astonished," said Miss Bingley, "that my father should have left so small a collection of books.	"I am astonished," said Miss Bingley, "that my father should have left so small a collection of books.	true	373.43	379.99	18
1259_27120_000030_000001	What a delightful library you have at Pemberley, Mr. Darcy!"	What a delightful library you have at Pemberley, mr Darcy!"	true	380.18	383.8	15
1259_27120_000031_000000	"It ought to be good," he replied, "it has been the work of many generations."	"It ought to be good," he replied, "it has been the work of many generations."	true	384.32	389.02	17.742224
1259_27120_000032_000000	"And then you have added so much to it yourself, you are always buying books."	"And then you have added so much to it yourself, you are always buying books."	true	389.48	394.87	14
1259_27120_000033_000000	"I cannot comprehend the neglect of a family library in such days as these."	"I cannot comprehend the neglect of a family library in such days as these."	true	395.45	399.64	17
1259_27120_000034_000000	"Neglect!	"Neglect!	true	400.16	401.53	18
1259_27120_000034_000001	I am sure you neglect nothing that can add to the beauties of that noble place.	I am sure you neglect nothing that can add to the beauties of that noble place.	false	401.66	406.03	11
1259_27120_000034_000002	Charles, when you build _your_ house, I wish it may be half as delightful as Pemberley."	Charles, when you build underscore your underscore house, I wish it may be half as delightful as Pemberley."	false	406.31	411.99	19.467531
1259_27120_000035_000000	"I wish it may."	"I wish it may."	true	411.99	413.14	17
1259_27120_000036_000000	"But I would really advise you to make your purchase in that neighbourhood, and take Pemberley for a kind of model.	"But I would really advise you to make your purchase in that neighbourhood, and take Pemberley for a kind of model.	true	413.72	419.89	11
1259_27120_000036_000001	There is not a finer county in England than Derbyshire."	There is not a finer county in England than Derbyshire."	true	420.05	423.73	12
1259_27120_000037_000000	"With all my heart; I will buy Pemberley itself if Darcy will sell it."	"With all my heart; I will buy Pemberley itself if Darcy will sell it."	true	424.28	429.04	19.462893
1259_27120_000038_000000	"I am talking of possibilities, Charles."	"I am talking of possibilities, Charles."	true	429.65	432.82	14
1259_27120_000039_000000	"Upon my word, Caroline, I should think it more possible to get Pemberley by purchase than by imitation."	"Upon my word, Caroline, I should think it more possible to get Pemberley by purchase than by imitation."	true	433.25	439.27	18
1259_27120_000040_000000	Elizabeth was so much caught with what passed, as to leave her very little attention for her book; and soon laying it wholly aside, she drew near the card-table, and stationed herself between Mr. Bingley and his eldest sister, to observe the game.	Elizabeth was so much caught with what passed, as to leave her very little attention for her book; and soon laying it wholly aside, she drew near the card table, and stationed herself between mr Bingley and his eldest sister, to observe the game.	false	439.91	453.49	13
1259_27120_000041_000000	"Is Miss Darcy much grown since the spring?" said Miss Bingley; "will she be as tall as I am?"	"Is Miss Darcy much grown since the spring?" said Miss Bingley; "will she be as tall as I am?"	false	454.04	461.49	19.89812
1259_27120_000042_000000	"I think she will.	"I think she will.	true	461.49	462.49	19
1259_27120_000042_000001	She is now about Miss Elizabeth Bennet's height, or rather taller."	She is now about Miss Elizabeth Bennet's height, or rather taller."	true	462.65	466.51	21.35185
1259_27120_000043_000000	"How I long to see her again!	"How I long to see her again!	true	466.97	469.48	11
1259_27120_000043_000001	I never met with anybody who delighted me so much.	I never met with anybody who delighted me so much.	false	469.67	472.48	15
1259_27120_000043_000002	Such a countenance, such manners!	Such a countenance, such manners!	true	472.52	475.3	13
1259_27120_000043_000003	And so extremely accomplished for her age!	And so extremely accomplished for her age!	true	475.43	478.305	11
1259_27120_000043_000004	Her performance on the pianoforte is exquisite."	Her performance on the pianoforte is exquisite."	true	478.305	481.96	17
1259_27120_000044_000000	"It is amazing to me," said Bingley, "how young ladies can have patience to be so very accomplished as they all are."	"It is amazing to me," said Bingley, "how young ladies can have patience to be so very accomplished as they all are."	true	482.57	489.48	17
1259_27120_000045_000000	"All young ladies accomplished!	"All young ladies accomplished!	false	489.48	492.255	19.800623
1259_27120_000045_000001	My dear Charles, what do you mean?"	My dear Charles, what do you mean?"	true	492.255	494.86	18
1259_27120_000046_000000	"Yes, all of them, I think.	"Yes, all of them, I think.	true	495.2	497.46	21.658772
1259_27120_000046_000001	They all paint tables, cover screens, and net purses.	They all paint tables, cover screens, and net purses.	true	497.46	501.61	14
1259_27120_000046_000002	I scarcely know anyone who cannot do all this, and I am sure I never heard a young lady spoken of for the first time, without being informed that she was very accomplished."	I scarcely know anyone who cannot do all this, and I am sure I never heard a young lady spoken of for the first time, without being informed that she was very accomplished."	true	501.71	510.73	15
1259_27120_000047_000000	"Your list of the common extent of accomplishments," said Darcy, "has too much truth.	"Your list of the common extent of accomplishments," said Darcy, "has too much truth.	false	511.22	516.82	18.47455
1259_27120_000047_000001	The word is applied to many a woman who deserves it no otherwise than by netting a purse or covering a screen.	The word is applied to many a woman who deserves it no otherwise than by netting a purse or covering a screen.	true	516.86	522.63	15
1259_27120_000047_000002	But I am very far from agreeing with you in your estimation of ladies in general.	But I am very far from agreeing with you in your estimation of ladies in general.	false	522.63	526.66	16.103052
1259_27120_000047_000003	I cannot boast of knowing more than half-a-dozen, in the whole range of my acquaintance, that are really accomplished."	I cannot boast of knowing more than half a dozen, in the whole range of my acquaintance, that are really accomplished."	false	526.76	532.6	14
1259_27120_000048_000000	"Nor I, I am sure," said Miss Bingley.	"Nor I, I am sure," said Miss Bingley.	true	533.09	536.62	17.976238
1259_27120_000049_000000	"Then," observed Elizabeth, "you must comprehend a great deal in your idea of an accomplished woman."	"Then," observed Elizabeth, "you must comprehend a great deal in your idea of an accomplished woman."	true	537.14	543.16	12
1259_27120_000050_000000	"Yes, I do comprehend a great deal in it."	"Yes, I do comprehend a great deal in it."	true	543.56	546.57	17
1259_27120_000051_000000	"Oh! certainly," cried his faithful assistant, "no one can be really esteemed accomplished who does not greatly surpass what is usually met with.	"Oh! certainly," cried his faithful assistant, "no one can be really esteemed accomplished who does not greatly surpass what is usually met with.	false	546.57	556.36	16
1259_27120_000051_000001	A woman must have a thorough knowledge of music, singing, drawing, dancing, and the modern languages, to deserve the word; and besides all this, she must possess a certain something in her air and manner of walking, the tone of her voice, her address and expressions, or the word will be but half-deserved."	A woman must have a thorough knowledge of music, singing, drawing, dancing, and the modern languages, to deserve the word; and besides all this, she must possess a certain something in her air and manner of walking, the tone of her voice, her address and expressions, or the word will be but half deserved."	false	556.55	577.81	14
1259_27120_000052_000000	"All this she must possess," added Darcy, "and to all this she must yet add something more substantial, in the improvement of her mind by extensive reading."	"All this she must possess," added Darcy, "and to all this she must yet add something more substantial, in the improvement of her mind by extensive reading."	true	578.48	589.57	17.960001
1259_27120_000053_000000	"I am no longer surprised at your knowing _only_ six accomplished women. I rather wonder now at your knowing _any_."	"I am no longer surprised at your knowing underscore only underscore six accomplished women. I rather wonder now at your knowing underscore any underscore."	false	590	597.15	17.905073
1259_27120_000054_000000	"Are you so severe upon your own sex as to doubt the possibility of all this?"	"Are you so severe upon your own sex as to doubt the possibility of all this?"	false	597.15	600.94	18.09596
1259_27120_000055_000000	"I never saw such a woman.	"I never saw such a woman.	true	601.67	603.16	13
1259_27120_000055_000001	I never saw such capacity, and taste, and application, and elegance, as you describe united."	I never saw such capacity, and taste, and application, and elegance, as you describe united."	true	603.26	608.74	13
1259_27120_000056_000000	Mrs. Hurst and Miss Bingley both cried out against the injustice of her implied doubt, and were both protesting that they knew many women who answered this description, when Mr. Hurst called them to order, with bitter complaints of their inattention to what was going forward.	mrs Hurst and Miss Bingley both cried out against the injustice of her implied doubt, and were both protesting that they knew many women who answered this description, when mr Hurst called them to order, with bitter complaints of their inattention to what was going forward.	true	609.38	623.23	13
1259_27120_000056_000001	As all conversation was thereby at an end, Elizabeth soon afterwards left the room.	As all conversation was thereby at an end, Elizabeth soon afterwards left the room.	true	623.42	628.51	16
1259_27120_000057_000000	"Elizabeth Bennet," said Miss Bingley, when the door was closed on her, "is one of those young ladies who seek to recommend themselves to the other sex by undervaluing their own; and with many men, I dare say, it succeeds.	"Elizabeth Bennet," said Miss Bingley, when the door was closed on her, "is one of those young ladies who seek to recommend themselves to the other sex by undervaluing their own; and with many men, I dare say, it succeeds.	true	629.09	642.16	17
1259_27120_000057_000001	But, in my opinion, it is a paltry device, a very mean art."	But, in my opinion, it is a paltry device, a very mean art."	true	642.26	647.47	18
1259_27120_000058_000000	"Undoubtedly," replied Darcy, to whom this remark was chiefly addressed, "there is a meanness in _all_ the arts which ladies sometimes condescend to employ for captivation.	"Undoubtedly," replied Darcy, to whom this remark was chiefly addressed, "there is a meanness in underscore all underscore the arts which ladies sometimes condescend to employ for captivation.	false	647.96	658.15	15
1259_27120_000058_000001	Whatever bears affinity to cunning is despicable."	Whatever bears affinity to cunning is despicable."	true	658.43	661.75	18.367504
1259_27120_000059_000000	Miss Bingley was not so entirely satisfied with this reply as to continue the subject.	Miss Bingley was not so entirely satisfied with this reply as to continue the subject.	true	662.69	667.51	12
1259_27120_000060_000000	Elizabeth joined them again only to say that her sister was worse, and that she could not leave her.	Elizabeth joined them again only to say that her sister was worse, and that she could not leave her.	false	668.06	673.35	13
1259_27120_000060_000001	Bingley urged Mr. Jones being sent for immediately; while his sisters, convinced that no country advice could be of any service, recommended an express to town for one of the most eminent physicians.	Bingley urged mr Jones being sent for immediately; while his sisters, convinced that no country advice could be of any service, recommended an express to town for one of the most eminent physicians.	false	673.35	683.86	13
1259_27120_000060_000002	This she would not hear of; but she was not so unwilling to comply with their brother's proposal; and it was settled that Mr. Jones should be sent for early in the morning, if Miss Bennet were not decidedly better.	This she would not hear of; but she was not so unwilling to comply with their brother's proposal; and it was settled that mr Jones should be sent for early in the morning, if Miss Bennet were not decidedly better.	true	683.99	694.18	13
1259_27120_000060_000003	Bingley was quite uncomfortable; his sisters declared that they were miserable.	Bingley was quite uncomfortable; his sisters declared that they were miserable.	true	694.55	698.8	15
1259_27120_000060_000004	They solaced their wretchedness, however, by duets after supper, while he could find no better relief to his feelings than by giving his housekeeper directions that every attention might be paid to the sick lady and her sister.	They solaced their wretchedness, however, by duets after supper, while he could find no better relief to his feelings than by giving his housekeeper directions that every attention might be paid to the sick lady and her sister.	false	699.05	718.77	17.0202
