7247_101864_000006_000000	CHAPTER XII	CHAPTER twelve
7247_101864_000023_000001	You were twelve years old when he married a widow by the name of Kendall who lived in Houghtonsville where he had been practising.	You were twelve years old when he married a widow by the name of Kendall who lived in Houghtonsville where he had been practising.
7247_101864_000023_000002	As it chanced, none of us went to the wedding.	As it chanced, none of us went to the wedding.
7247_101864_000023_000003	You were taken suddenly ill, and neither Della nor myself would leave you, and father was in Bermuda that winter for his health.	You were taken suddenly ill, and neither Della nor myself would leave you, and father was in Bermuda that winter for his health.
7247_101864_000023_000004	Mrs. Kendall had a daughter, Margaret, about ten years old, who was at school somewhere in the Berkshires.	mrs Kendall had a daughter, Margaret, about ten years old, who was at school somewhere in the Berkshires.
7247_101864_000023_000005	It was to that school that I went when the terrible news came that Harry and his new wife had lost their lives in that awful railroad accident.	It was to that school that I went when the terrible news came that Harry and his new wife had lost their lives in that awful railroad accident.
7247_101864_000023_000006	That was the first time that I saw Margaret.	That was the first time that I saw Margaret.
7247_101864_000024_000000	"The poor child was, of course, heartbroken and inconsolable; but her grief took a peculiar turn.	"The poor child was, of course, heartbroken and inconsolable; but her grief took a peculiar turn.
7247_101864_000024_000001	The mere sight of me drove her almost into hysterics.	The mere sight of me drove her almost into hysterics.
7247_101864_000024_000002	She would have nothing whatever to do with me, or with any of her stepfather's people.	She would have nothing whatever to do with me, or with any of her stepfather's people.
7247_101864_000024_000003	She reasoned that if her mother had not married, there would have been no wedding journey; and if there had been no wedding journey there would have been no accident, and that her mother would then have been alive, and well.	She reasoned that if her mother had not married, there would have been no wedding journey; and if there had been no wedding journey there would have been no accident, and that her mother would then have been alive, and well.
7247_101864_000025_000000	"Arguments, pleadings, and entreaties were in vain.	"Arguments, pleadings, and entreaties were in vain.
7247_101864_000025_000001	She would not listen to me, or even see me.	She would not listen to me, or even see me.
7247_101864_000025_000002	She held her hands before her face and screamed if I so much as came into the room.	She held her hands before her face and screamed if I so much as came into the room.
7247_101864_000025_000003	She was nothing but a child, of course, and not even a normal one at that, for she had had a very strange life.	She was nothing but a child, of course, and not even a normal one at that, for she had had a very strange life.
7247_101864_000025_000004	At five she was lost in New York City, and for four years she lived on the streets and in the sweat shops, enduring almost unbelievable poverty and hardships."	At five she was lost in New York City, and for four years she lived on the streets and in the sweat shops, enduring almost unbelievable poverty and hardships."
7247_101864_000026_000000	"By Jove!" exclaimed Ned under his breath.	"By Jove!" exclaimed Ned under his breath.
7247_101864_000027_000000	"It was only seven or eight months before the wedding that she was found," went on Frank, "and of course the influence of the wild life she had led was still with her more or less, and made her not easily subject to control.	"It was only seven or eight months before the wedding that she was found," went on Frank, "and of course the influence of the wild life she had led was still with her more or less, and made her not easily subject to control.
7247_101864_000027_000001	There was nothing for me to do but to leave the poor little thing where she was, particularly as there seemed to be no other place for her.	There was nothing for me to do but to leave the poor little thing where she was, particularly as there seemed to be no other place for her.
7247_101864_000027_000002	She would not come with me, and she had no people of her own to whom she could turn for love and sympathy.	She would not come with me, and she had no people of her own to whom she could turn for love and sympathy.
7247_101864_000028_000000	"As you know, poor Harry was conscious for some hours after the accident, long enough to make his will and dictate the letter to me, leaving Margaret to my care--boy though I was.	"As you know, poor Harry was conscious for some hours after the accident, long enough to make his will and dictate the letter to me, leaving Margaret to my care-boy though I was.
7247_101864_000028_000001	I was only twenty, you see; but, really, there was no one else to whom he could leave her.	I was only twenty, you see; but, really, there was no one else to whom he could leave her.
7247_101864_000028_000002	That was something over thirteen years ago.	That was something over thirteen years ago.
7247_101864_000028_000003	Margaret must be about twenty-three now."	Margaret must be about twenty three now."
7247_101864_000029_000000	"And you've not seen her since?" There was keen reproach in Ned's voice.	"And you've not seen her since?" There was keen reproach in Ned's voice.
7247_101864_000030_000000	Frank smiled.	Frank smiled.
7247_101864_000031_000000	"Yes, I've seen her twice," he replied.	"Yes, I've seen her twice," he replied.
7247_101864_000031_000001	"And of course I've written to her many times, and have always kept in touch with those she was with. She stayed at the Berkshire school five years; then--with some fear and trembling, I own--I went to see her.	"And of course I've written to her many times, and have always kept in touch with those she was with. She stayed at the Berkshire school five years; then-with some fear and trembling, I own-I went to see her.
7247_101864_000031_000002	I found a grave-eyed little miss who answered my questions with studied politeness, and who agreed without comment to the proposition that I place her in a school where she might remain until she was ready for college--should she elect to go to college."	I found a grave eyed little miss who answered my questions with studied politeness, and who agreed without comment to the proposition that I place her in a school where she might remain until she was ready for college-should she elect to go to college."
7247_101864_000032_000000	"But her vacations--did she never come then?" questioned Ned.	"But her vacations-did she never come then?" questioned Ned.
7247_101864_000033_000000	"No.	"no
7247_101864_000033_000001	At first I did not ask her, of course.	At first I did not ask her, of course.
7247_101864_000033_000002	It was out of the question, as she was feeling.	It was out of the question, as she was feeling.
7247_101864_000033_000003	Some one of her teachers always looked out for her. They all pitied her, and naturally did everything they could for her, as did her mates at school.	Some one of her teachers always looked out for her. They all pitied her, and naturally did everything they could for her, as did her mates at school.
7247_101864_000033_000005	She wrote me stiff little notes in which she informed me that she was to spend the holidays with some Blanche or Dorothy or Mabel of her acquaintance.	She wrote me stiff little notes in which she informed me that she was to spend the holidays with some Blanche or Dorothy or Mabel of her acquaintance.
7247_101864_000034_000000	"She was nineteen when I saw her again.	"She was nineteen when I saw her again.
7247_101864_000034_000001	I found now a charming, graceful girl, with peculiarly haunting blue eyes, and heavy coils of bronze-gold hair that kinked and curled about her little pink ears in a most distracting fashion.	I found now a charming, graceful girl, with peculiarly haunting blue eyes, and heavy coils of bronze gold hair that kinked and curled about her little pink ears in a most distracting fashion.
7247_101864_000034_000002	Even now, though, she would not come to my home. She was going abroad with friends.	Even now, though, she would not come to my home. She was going abroad with friends.
7247_101864_000034_000003	The party included an irreproachable chaperon, so of course I had nothing to say; while as for money--she had all of her mother's not inconsiderable fortune besides everything that had been her stepfather's; so of course there was no question on that score.	The party included an irreproachable chaperon, so of course I had nothing to say; while as for money-she had all of her mother's not inconsiderable fortune besides everything that had been her stepfather's; so of course there was no question on that score.
7247_101864_000035_000001	When she came of age she specially requested me to make no change in her affairs, but to regard herself as my ward for the present, just as she had been.	When she came of age she specially requested me to make no change in her affairs, but to regard herself as my ward for the present, just as she had been.
7247_101864_000035_000002	So I still call myself her guardian.	So I still call myself her guardian.
7247_101864_000035_000003	This June was her graduation.	This June was her graduation.
7247_101864_000035_000004	I had forgotten the fact until I received the little engraved invitation a week or two ago.	I had forgotten the fact until I received the little engraved invitation a week or two ago.
7247_101864_000035_000005	I thought of running down for it, but I couldn't get away very well, and--well, I didn't go, that's all. But I did write and ask her to make this house her home, and here is her reply.	I thought of running down for it, but I couldn't get away very well, and-well, I didn't go, that's all. But I did write and ask her to make this house her home, and here is her reply.
7247_101864_000035_000006	She thanks me, and will come next Tuesday.	She thanks me, and will come next Tuesday.
7247_101864_000035_000007	There! now you have it.	There! now you have it.
7247_101864_000035_000008	You know all that I do." And Frank Spencer leaned back in his chair with a long sigh.	You know all that I do." And Frank Spencer leaned back in his chair with a long sigh.
7247_101864_000037_000000	"Neither do I."	"Neither do i"
7247_101864_000038_000000	"Oh, but you've seen her."	"Oh, but you've seen her."
7247_101864_000039_000000	"Yes; and how?	"Yes; and how?
7247_101864_000039_000001	Do you suppose that those two or three meetings were very illuminating?	Do you suppose that those two or three meetings were very illuminating?
7247_101864_000039_000002	No.	no
7247_101864_000039_000003	I've been told this, however," he added.	I've been told this, however," he added.
7247_101864_000039_000005	She even carried her distress over their condition to such an extent that her mother really feared for her reason.	She even carried her distress over their condition to such an extent that her mother really feared for her reason.
7247_101864_000039_000006	All her teachers, therefore, were instructed to keep from her all further knowledge of poverty and trouble; and particularly to instil into her mind the fact that there was really in the world a great deal of pleasure and happiness."	All her teachers, therefore, were instructed to keep from her all further knowledge of poverty and trouble; and particularly to instil into her mind the fact that there was really in the world a great deal of pleasure and happiness."
7247_101864_000040_000000	Over across the table Mrs. Merideth shivered a little.	Over across the table mrs Merideth shivered a little.
7247_101864_000041_000000	"Dear me!" she sighed.	"Dear me!" she sighed.
7247_101864_000041_000001	"I do hope the child is well over those notions. I shouldn't want her to mix up here with the mill people.	"I do hope the child is well over those notions. I shouldn't want her to mix up here with the mill people.
7247_101864_000041_000002	I never did quite like those settlement women, anyway, and only think what might happen with one in one's own family!"	I never did quite like those settlement women, anyway, and only think what might happen with one in one's own family!"
7247_101864_000042_000000	"I don't think I should worry, sister sweet," laughed Frank.	"I don't think I should worry, sister sweet," laughed Frank.
7247_101864_000042_000001	"I haven't seen much of the young lady, but I think I have seen enough for that.	"I haven't seen much of the young lady, but I think I have seen enough for that.
7247_101864_000042_000003	As near as I can judge, Miss Margaret Kendall does not resemble your dreaded 'settlement worker' in the least.	As near as I can judge, Miss Margaret Kendall does not resemble your dreaded 'settlement worker' in the least.
