5154_26558_000000_000000	Perhaps you do not know it, but the monkeys think that all the bananas belong to them.	Perhaps you do not know it, but the monkeys think that all the bananas belong to them.	true	24.03	29.14	23.503214
5154_26558_000019_000001	The monkeys were to climb up into the biggest tree and pile themselves one on top of another until they made a pyramid of monkeys.	The monkeys were to climb up into the biggest tree and pile themselves one on top of another until they made a pyramid of monkeys.	true	325.07	331.71	20
5154_26558_000019_000002	The monkey with the very loudest voice of all was to be on top and he was to shout his very loudest to the sun and ask the sun to come and help the biggest monkey out of his dreadful difficulty.	The monkey with the very loudest voice of all was to be on top and he was to shout his very loudest to the sun and ask the sun to come and help the biggest monkey out of his dreadful difficulty.	false	331.71	344.77	20.352097
5154_26558_000020_000000	This is what all the big-sized, little-sized, middle-sized monkeys did.	This is what all the big sized, little sized, middle sized monkeys did.	true	345.59	349.87	21.2162
5154_26558_000020_000001	The monkey with the loudest voice on top of the pyramid made the sun hear.	The monkey with the loudest voice on top of the pyramid made the sun hear.	true	350.87	354.58	20.43009
5154_26558_000020_000002	The sun came at once.	The sun came at once.	true	354.77	356.53	24.690971
5154_26558_000021_000000	The sun poured his hottest rays down upon the wax.	The sun poured his hottest rays down upon the wax.	true	357.08	359.89	16
5154_26558_000021_000001	After a while the wax began to melt.	After a while the wax began to melt.	true	360.32	362.8	25.163797
5154_26558_000021_000002	The monkey was at last able to pull out one of his hands.	The monkey was at last able to pull out one of his hands.	true	363.11	366.19	22.382711
5154_26558_000021_000003	The sun poured down more of his hottest rays and soon the monkey was able to pull out his two hands.	The sun poured down more of his hottest rays and soon the monkey was able to pull out his two hands.	true	366.83	372.01	21.769026
5154_26558_000021_000004	Then he could pull out one foot, then another, and in a little while his body, too.	Then he could pull out one foot, then another, and in a little while his body, too.	true	372.47	377.91	20.522253
5154_26558_000021_000005	At last he was free.	At last he was free.	false	377.91	379.6	20.33856
5154_26558_000022_000000	When the little old woman saw what had happened she was very much discouraged about raising bananas.	When the little old woman saw what had happened she was very much discouraged about raising bananas.	true	380.93	387.49	21.765923
5154_26558_000022_000001	She decided to move to another part of the world where she raised cabbages instead of bananas.	She decided to move to another part of the world where she raised cabbages instead of bananas.	true	387.62	392.38	21.459057
5154_26558_000022_000002	The monkeys were left in possession of the big garden full of banana trees.	The monkeys were left in possession of the big garden full of banana trees.	false	392.99	396.91	19.738993
5154_26558_000022_000003	From that day to this the monkeys have thought that they own all the bananas.	From that day to this the monkeys have thought that they own all the bananas.	false	397.13	410.46	21.536806
