1100_124547_000000_000000	"For an hour, in Minneapolis, I must have been near Erik.	"For an hour, in Minneapolis, I must have been near Erik.	false	5.13	10.68	15
1100_124547_000019_000001	When Kennicott boasted, "We went through the mission at Santa Barbara," Harry broke in, "Yeh, that's an interesting old mission.	When Kennicott boasted, "We went through the mission at Santa Barbara," Harry broke in, "Yeh, that's an interesting old mission.	true	336.14	342.57	16
1100_124547_000019_000002	Say, I'll never forget that hotel there, doc.	Say, I'll never forget that hotel there, doc.	true	342.57	344.91	12
1100_124547_000019_000003	It was swell.	It was swell.	true	344.91	345.97	19
1100_124547_000019_000004	Why, the rooms were made just like these old monasteries.	Why, the rooms were made just like these old monasteries.	false	346.1	349.57	14
1100_124547_000019_000005	Juanita and I went from Santa Barbara to San Luis Obispo.	Juanita and I went from Santa Barbara to San Luis Obispo.	true	349.7	352.725	14
1100_124547_000019_000006	You folks go to San Luis Obispo?"	You folks go to San Luis Obispo?"	true	352.725	354.76	18
1100_124547_000020_000000	"No, but----"	"No, but----"	true	354.77	355.96	21.827633
1100_124547_000021_000000	"Well you ought to gone to San Luis Obispo.	"Well you ought to gone to San Luis Obispo.	true	355.97	358.54	15
1100_124547_000021_000001	And then we went from there to a ranch, least they called it a ranch----"	And then we went from there to a ranch, least they called it a ranch----"	true	358.67	362.53	16
1100_124547_000022_000000	Kennicott got in only one considerable narrative, which began:	Kennicott got in only one considerable narrative, which began:	true	362.69	366.19	16
1100_124547_000023_000000	"Say, I never knew--did you, Harry?--that in the Chicago district the Kutz Kar sells as well as the Overland?	"Say, I never knew-did you, Harry?--that in the Chicago district the Kutz Kar sells as well as the Overland?	true	366.68	373.66	17
1100_124547_000023_000001	I never thought much of the Kutz.	I never thought much of the Kutz.	true	373.76	375.48	19
1100_124547_000023_000002	But I met a gentleman on the train--it was when we were pulling out of Albuquerque, and I was sitting on the back platform of the observation car, and this man was next to me and he asked me for a light, and we got to talking, and come to find out, he came from Aurora, and when he found out I came from Minnesota he asked me if I knew Dr. Clemworth of Red Wing, and of course, while I've never met him, I've heard of Clemworth lots of times, and seems he's this man's brother! Quite a coincidence!	But I met a gentleman on the train-it was when we were pulling out of Albuquerque, and I was sitting on the back platform of the observation car, and this man was next to me and he asked me for a light, and we got to talking, and come to find out, he came from Aurora, and when he found out I came from Minnesota he asked me if I knew dr Clemworth of Red Wing, and of course, while I've never met him, I've heard of Clemworth lots of times, and seems he's this man's brother! Quite a coincidence!	false	375.48	404.5	20
1100_124547_000023_000003	Well, we got to talking, and we called the porter--that was a pretty good porter on that car--and we had a couple bottles of ginger ale, and I happened to mention the Kutz Kar, and this man--seems he's driven a lot of different kinds of cars--he's got a Franklin now--and he said that he'd tried the Kutz and liked it first-rate.	Well, we got to talking, and we called the porter-that was a pretty good porter on that car-and we had a couple bottles of ginger ale, and I happened to mention the Kutz Kar, and this man-seems he's driven a lot of different kinds of cars-he's got a Franklin now-and he said that he'd tried the Kutz and liked it first rate.	false	404.54	424.42	18
1100_124547_000023_000004	Well, when we got into a station--I don't remember the name of it--Carrie, what the deuce was the name of that first stop we made the other side of Albuquerque?--well, anyway, I guess we must have stopped there to take on water, and this man and I got out to stretch our legs, and darned if there wasn't a Kutz drawn right up at the depot platform, and he pointed out something I'd never noticed, and I was glad to learn about it: seems that the gear lever in the Kutz is an inch longer----"	Well, when we got into a station-I don't remember the name of it-Carrie, what the deuce was the name of that first stop we made the other side of Albuquerque?--well, anyway, I guess we must have stopped there to take on water, and this man and I got out to stretch our legs, and darned if there wasn't a Kutz drawn right up at the depot platform, and he pointed out something I'd never noticed, and I was glad to learn about it: seems that the gear lever in the Kutz is an inch longer----"	false	424.49	452.865	18
1100_124547_000024_000000	Even this chronicle of voyages Harry interrupted, with remarks on the advantages of the ball-gear-shift.	Even this chronicle of voyages Harry interrupted, with remarks on the advantages of the ball gear shift.	true	452.865	458.59	16
1100_124547_000025_000000	Kennicott gave up hope of adequate credit for being a traveled man, and telephoned to a garage for a Ford taxicab, while Juanita kissed Carol and made sure of being the first to tell the latest, which included seven distinct and proven scandals about Mrs. Swiftwaite, and one considerable doubt as to the chastity of Cy Bogart.	Kennicott gave up hope of adequate credit for being a traveled man, and telephoned to a garage for a Ford taxicab, while Juanita kissed Carol and made sure of being the first to tell the latest, which included seven distinct and proven scandals about mrs Swiftwaite, and one considerable doubt as to the chastity of Cy Bogart.	false	458.87	480.55	17
1100_124547_000026_000000	They saw the Ford sedan making its way over the water-lined ice, through the snow-storm, like a tug-boat in a fog.	They saw the Ford sedan making its way over the water lined ice, through the snow storm, like a tug boat in a fog.	true	480.74	487.6	14
1100_124547_000026_000001	The driver stopped at a corner.	The driver stopped at a corner.	true	487.64	489.345	22.67543
1100_124547_000026_000002	The car skidded, it turned about with comic reluctance, crashed into a tree, and stood tilted on a broken wheel.	The car skidded, it turned about with comic reluctance, crashed into a tree, and stood tilted on a broken wheel.	false	489.345	497.115	18
1100_124547_000027_000000	The Kennicotts refused Harry Haydock's not too urgent offer to take them home in his car "if I can manage to get it out of the garage--terrible day--stayed home from the store--but if you say so, I'll take a shot at it." Carol gurgled, "No, I think we'd better walk; probably make better time, and I'm just crazy to see my baby." With their suit-cases they waddled on.	The Kennicotts refused Harry Haydock's not too urgent offer to take them home in his car "if I can manage to get it out of the garage-terrible day-stayed home from the store-but if you say so, I'll take a shot at it." Carol gurgled, "No, I think we'd better walk; probably make better time, and I'm just crazy to see my baby." With their suit cases they waddled on.	true	497.115	519.105	16
1100_124547_000027_000001	Their coats were soaked through.	Their coats were soaked through.	true	519.105	520.785	20.997057
1100_124547_000028_000000	Carol had forgotten her facile hopes.	Carol had forgotten her facile hopes.	true	520.785	523.755	20
1100_124547_000028_000001	She looked about with impersonal eyes.	She looked about with impersonal eyes.	true	523.755	526.23	18
1100_124547_000028_000002	But Kennicott, through rain-blurred lashes, caught the glory that was Back Home.	But Kennicott, through rain blurred lashes, caught the glory that was Back Home.	true	526.23	530.68	16
1100_124547_000029_000000	She noted bare tree-trunks, black branches, the spongy brown earth between patches of decayed snow on the lawns.	She noted bare tree trunks, black branches, the spongy brown earth between patches of decayed snow on the lawns.	false	531.05	539.11	21
1100_124547_000029_000001	The vacant lots were full of tall dead weeds.	The vacant lots were full of tall dead weeds.	true	539.18	541.95	15
1100_124547_000029_000002	Stripped of summer leaves the houses were hopeless--temporary shelters.	Stripped of summer leaves the houses were hopeless-temporary shelters.	true	541.95	546.73	21.667048
1100_124547_000030_000000	Kennicott chuckled, "By golly, look down there!	Kennicott chuckled, "By golly, look down there!	true	547.22	550.32	20.802284
1100_124547_000030_000001	Jack Elder must have painted his garage.	Jack Elder must have painted his garage.	false	550.32	552.39	17
1100_124547_000030_000002	And look!	And look!	true	552.39	553.23	23.290146
1100_124547_000030_000003	Martin Mahoney has put up a new fence around his chicken yard.	Martin Mahoney has put up a new fence around his chicken yard.	true	553.23	556.695	18
1100_124547_000030_000004	Say, that's a good fence, eh?	Say, that's a good fence, eh?	true	556.695	558.25	15
1100_124547_000030_000005	Chicken-tight and dog-tight.	Chicken tight and dog tight.	true	558.35	560.235	21
1100_124547_000030_000006	That's certainly a dandy fence.	That's certainly a dandy fence.	true	560.235	562.15	16
1100_124547_000030_000007	Wonder how much it cost a yard?	Wonder how much it cost a yard?	true	562.22	563.76	17
1100_124547_000030_000008	Yes, sir, they been building right along, even in winter.	Yes, sir, they been building right along, even in winter.	false	563.76	567.43	15
1100_124547_000030_000009	Got more enterprise than these Californians.	Got more enterprise than these Californians.	true	567.47	569.97	13
1100_124547_000030_000010	Pretty good to be home, eh?"	Pretty good to be home, eh?"	false	569.97	572.19	18.523375
1100_124547_000031_000000	She noted that all winter long the citizens had been throwing garbage into their back yards, to be cleaned up in spring.	She noted that all winter long the citizens had been throwing garbage into their back yards, to be cleaned up in spring.	true	572.19	578.29	13
1100_124547_000031_000001	The recent thaw had disclosed heaps of ashes, dog-bones, torn bedding, clotted paint-cans, all half covered by the icy pools which filled the hollows of the yards. The refuse had stained the water to vile colors of waste: thin red, sour yellow, streaky brown.	The recent thaw had disclosed heaps of ashes, dog bones, torn bedding, clotted paint cans, all half covered by the icy pools which filled the hollows of the yards. The refuse had stained the water to vile colors of waste: thin red, sour yellow, streaky brown.	false	578.42	596.32	15
1100_124547_000032_000000	Kennicott chuckled, "Look over there on Main Street!	Kennicott chuckled, "Look over there on Main Street!	false	596.66	600.46	22.446709
1100_124547_000032_000001	They got the feed store all fixed up, and a new sign on it, black and gold.	They got the feed store all fixed up, and a new sign on it, black and gold.	true	600.56	605.565	20.481867
1100_124547_000032_000002	That'll improve the appearance of the block a lot."	That'll improve the appearance of the block a lot."	true	605.565	608.38	15
1100_124547_000033_000000	She noted that the few people whom they passed wore their raggedest coats for the evil day.	She noted that the few people whom they passed wore their raggedest coats for the evil day.	true	608.96	613.69	14
1100_124547_000033_000001	They were scarecrows in a shanty town. . . .	They were scarecrows in a shanty town. . . .	true	614.03	616.41	17
1100_124547_000033_000002	"To think," she marveled, "of coming two thousand miles, past mountains and cities, to get off here, and to plan to stay here!	"To think," she marveled, "of coming two thousand miles, past mountains and cities, to get off here, and to plan to stay here!	true	616.41	624.55	19.231766
1100_124547_000033_000003	What conceivable reason for choosing this particular place?"	What conceivable reason for choosing this particular place?"	true	624.71	628.27	18
1100_124547_000034_000000	She noted a figure in a rusty coat and a cloth cap.	She noted a figure in a rusty coat and a cloth cap.	false	629.09	632.53	18.07602
1100_124547_000035_000000	Kennicott chuckled, "Look who's coming!	Kennicott chuckled, "Look who's coming!	true	632.63	634.47	20.085707
1100_124547_000035_000001	It's Sam Clark!	It's Sam Clark!	true	634.47	635.745	19
1100_124547_000035_000002	Gosh, all rigged out for the weather."	Gosh, all rigged out for the weather."	true	635.745	637.93	15
1100_124547_000036_000000	The two men shook hands a dozen times and, in the Western fashion, bumbled, "Well, well, well, well, you old hell-hound, you old devil, how are you, anyway?	The two men shook hands a dozen times and, in the Western fashion, bumbled, "Well, well, well, well, you old hell hound, you old devil, how are you, anyway?	false	638.12	646.84	16
1100_124547_000036_000001	You old horse-thief, maybe it ain't good to see you again!" While Sam nodded at her over Kennicott's shoulder, she was embarrassed.	You old horse thief, maybe it ain't good to see you again!" While Sam nodded at her over Kennicott's shoulder, she was embarrassed.	false	646.88	654.79	19.250221
1100_124547_000037_000000	"Perhaps I should never have gone away.	"Perhaps I should never have gone away.	true	655.4	657.81	20
1100_124547_000037_000001	I'm out of practise in lying.	I'm out of practise in lying.	true	657.81	659.56	17
1100_124547_000037_000002	I wish they would get it over!	I wish they would get it over!	true	659.96	661.66	20.446144
1100_124547_000037_000003	Just a block more and--my baby!"	Just a block more and-my baby!"	true	661.85	664.36	18
1100_124547_000038_000000	They were home.	They were home.	true	665.06	666.12	19.495787
1100_124547_000038_000001	She brushed past the welcoming Aunt Bessie and knelt by Hugh.	She brushed past the welcoming Aunt Bessie and knelt by Hugh.	true	666.12	669.55	16
1100_124547_000038_000002	As he stammered, "O mummy, mummy, don't go away!	As he stammered, "O mummy, mummy, don't go away!	true	670.01	672.78	12
1100_124547_000038_000003	Stay with me, mummy!" she cried, "No, I'll never leave you again!"	Stay with me, mummy!" she cried, "No, I'll never leave you again!"	true	672.78	676.21	11
1100_124547_000039_000000	He volunteered, "That's daddy."	He volunteered, "That's daddy."	true	676.55	678.76	18
1100_124547_000040_000000	"By golly, he knows us just as if we'd never been away!" said Kennicott. "You don't find any of these California kids as bright as he is, at his age!"	"By golly, he knows us just as if we'd never been away!" said Kennicott. "You don't find any of these California kids as bright as he is, at his age!"	true	678.89	688.3	16
1100_124547_000041_000000	When the trunk came they piled about Hugh the bewhiskered little wooden men fitting one inside another, the miniature junk, and the Oriental drum, from San Francisco Chinatown; the blocks carved by the old Frenchman in San Diego; the lariat from San Antonio.	When the trunk came they piled about Hugh the bewhiskered little wooden men fitting one inside another, the miniature junk, and the Oriental drum, from San Francisco Chinatown; the blocks carved by the old Frenchman in San Diego; the lariat from San Antonio.	false	688.55	704.59	17
1100_124547_000042_000000	"Will you forgive mummy for going away?	"Will you forgive mummy for going away?	true	704.93	706.935	7
1100_124547_000042_000001	Will you?" she whispered.	Will you?" she whispered.	true	706.935	708.28	17
1100_124547_000043_000000	Absorbed in Hugh, asking a hundred questions about him--had he had any colds?	Absorbed in Hugh, asking a hundred questions about him-had he had any colds?	true	708.44	713.62	16
1100_124547_000043_000001	did he still dawdle over his oatmeal?	did he still dawdle over his oatmeal?	true	713.69	715.63	18
1100_124547_000043_000002	what about unfortunate morning incidents?	what about unfortunate morning incidents?	false	715.82	718.32	18.565681
1100_124547_000043_000003	she viewed Aunt Bessie only as a source of information, and was able to ignore her hint, pointed by a coyly shaken finger, "Now that you've had such a fine long trip and spent so much money and all, I hope you're going to settle down and be satisfied and not----"	she viewed Aunt Bessie only as a source of information, and was able to ignore her hint, pointed by a coyly shaken finger, "Now that you've had such a fine long trip and spent so much money and all, I hope you're going to settle down and be satisfied and not----"	true	718.32	733.21	15
1100_124547_000044_000000	"Does he like carrots yet?" replied Carol.	"Does he like carrots yet?" replied Carol.	true	733.61	736.21	21.191662
1100_124547_000045_000000	She was cheerful as the snow began to conceal the slatternly yards.	She was cheerful as the snow began to conceal the slatternly yards.	true	736.91	741.25	16
1100_124547_000045_000001	She assured herself that the streets of New York and Chicago were as ugly as Gopher Prairie in such weather; she dismissed the thought, "But they do have charming interiors for refuge." She sang as she energetically looked over Hugh's clothes.	She assured herself that the streets of New York and Chicago were as ugly as Gopher Prairie in such weather; she dismissed the thought, "But they do have charming interiors for refuge." She sang as she energetically looked over Hugh's clothes.	false	741.59	756.46	20
1100_124547_000046_000000	The afternoon grew old and dark.	The afternoon grew old and dark.	true	756.71	758.895	18
1100_124547_000046_000001	Aunt Bessie went home.	Aunt Bessie went home.	false	758.895	760.35	16
1100_124547_000046_000002	Carol took the baby into her own room.	Carol took the baby into her own room.	true	760.35	762.55	16
1100_124547_000046_000003	The maid came in complaining, "I can't get no extra milk to make chipped beef for supper." Hugh was sleepy, and he had been spoiled by Aunt Bessie.	The maid came in complaining, "I can't get no extra milk to make chipped beef for supper." Hugh was sleepy, and he had been spoiled by Aunt Bessie.	true	762.65	771.7	19
1100_124547_000046_000004	Even to a returned mother, his whining and his trick of seven times snatching her silver brush were fatiguing.	Even to a returned mother, his whining and his trick of seven times snatching her silver brush were fatiguing.	true	772.31	778.18	14
1100_124547_000046_000005	As a background, behind the noises of Hugh and the kitchen, the house reeked with a colorless stillness.	As a background, behind the noises of Hugh and the kitchen, the house reeked with a colorless stillness.	false	778.7	785.26	16
1100_124547_000047_000000	From the window she heard Kennicott greeting the Widow Bogart as he had always done, always, every snowy evening: "Guess this 'll keep up all night." She waited.	From the window she heard Kennicott greeting the Widow Bogart as he had always done, always, every snowy evening: "Guess this 'l l keep up all night." She waited.	false	785.57	796.42	20.416874
1100_124547_000047_000001	There they were, the furnace sounds, unalterable, eternal: removing ashes, shoveling coal.	There they were, the furnace sounds, unalterable, eternal: removing ashes, shoveling coal.	true	796.46	803.56	18.061605
1100_124547_000048_000000	Yes.	Yes.	true	803.93	804.78	17.129227
1100_124547_000048_000001	She was back home!	She was back home!	true	804.78	805.99	19
1100_124547_000048_000002	Nothing had changed.	Nothing had changed.	true	806.27	807.855	20.578848
1100_124547_000048_000003	She had never been away. California?	She had never been away. California?	true	807.855	810.43	19.669153
1100_124547_000048_000004	Had she seen it?	Had she seen it?	true	810.44	811.78	18.775412
1100_124547_000048_000005	Had she for one minute left this scraping sound of the small shovel in the ash-pit of the furnace?	Had she for one minute left this scraping sound of the small shovel in the ash pit of the furnace?	true	811.82	817.54	18
1100_124547_000048_000006	But Kennicott preposterously supposed that she had.	But Kennicott preposterously supposed that she had.	false	817.85	821.68	20.76764
1100_124547_000048_000007	Never had she been quite so far from going away as now when he believed she had just come back.	Never had she been quite so far from going away as now when he believed she had just come back.	true	822.17	828.7	16
1100_124547_000048_000008	She felt oozing through the walls the spirit of small houses and righteous people.	She felt oozing through the walls the spirit of small houses and righteous people.	true	829.34	833.41	18
1100_124547_000048_000009	At that instant she knew that in running away she had merely hidden her doubts behind the officious stir of travel.	At that instant she knew that in running away she had merely hidden her doubts behind the officious stir of travel.	true	833.66	840.13	15
1100_124547_000049_000000	"Dear God, don't let me begin agonizing again!" she sobbed.	"Dear God, don't let me begin agonizing again!" she sobbed.	true	840.62	844.53	16
1100_124547_000049_000001	Hugh wept with her.	Hugh wept with her.	true	844.53	845.74	16
1100_124547_000050_000000	"Wait for mummy a second!" She hastened down to the cellar, to Kennicott.	"Wait for mummy a second!" She hastened down to the cellar, to Kennicott.	true	845.96	849.76	17
1100_124547_000051_000000	He was standing before the furnace.	He was standing before the furnace.	true	850.31	852.28	20.337019
1100_124547_000051_000001	However inadequate the rest of the house, he had seen to it that the fundamental cellar should be large and clean, the square pillars whitewashed, and the bins for coal and potatoes and trunks convenient.	However inadequate the rest of the house, he had seen to it that the fundamental cellar should be large and clean, the square pillars whitewashed, and the bins for coal and potatoes and trunks convenient.	true	852.47	864.13	18
1100_124547_000051_000002	A glow from the drafts fell on the smooth gray cement floor at his feet.	A glow from the drafts fell on the smooth gray cement floor at his feet.	true	864.59	868.99	17
1100_124547_000051_000003	He was whistling tenderly, staring at the furnace with eyes which saw the black-domed monster as a symbol of home and of the beloved routine to which he had returned--his gipsying decently accomplished, his duty of viewing "sights" and "curios" performed with thoroughness.	He was whistling tenderly, staring at the furnace with eyes which saw the black domed monster as a symbol of home and of the beloved routine to which he had returned-his gipsying decently accomplished, his duty of viewing "sights" and "curios" performed with thoroughness.	false	869.06	888.01	19
1100_124547_000051_000004	Unconscious of her, he stooped and peered in at the blue flames among the coals.	Unconscious of her, he stooped and peered in at the blue flames among the coals.	true	888.29	892.51	16
1100_124547_000051_000005	He closed the door briskly, and made a whirling gesture with his right hand, out of pure bliss.	He closed the door briskly, and made a whirling gesture with his right hand, out of pure bliss.	true	893.18	898.42	14
