2573_178449_000001_000000	CHAPTER XIX	CHAPTER nineteen
2573_178449_000022_000001	"I have a lunch-basket to carry with me, which is aristocratic and no advantage.	"I have a lunch basket to carry with me, which is aristocratic and no advantage.
2573_178449_000022_000002	The other workmen have tin buckets, and tin buckets are better.	The other workmen have tin buckets, and tin buckets are better.
2573_178449_000022_000003	I leave the house at six-thirty, and I'm at work in my overalls at seven.	I leave the house at six thirty, and I'm at work in my overalls at seven.
2573_178449_000023_000000	"But the work itself?"	"But the work itself?"
2573_178449_000024_000000	"It wasn't muscularly exhausting--not at all.	"It wasn't muscularly exhausting-not at all.
2573_178449_000024_000001	They couldn't give me a heavier job because I wasn't good enough."	They couldn't give me a heavier job because I wasn't good enough."
2573_178449_000025_000000	"But what will you do?	"But what will you do?
2573_178449_000025_000001	I want to know."	I want to know."
2573_178449_000027_000000	"But what is it?" she insisted.	"But what is it?" she insisted.
2573_178449_000028_000000	Bibbs explained.	Bibbs explained.
2573_178449_000028_000001	"It's very simple and very easy.	"It's very simple and very easy.
2573_178449_000028_000002	I feed long strips of zinc into a pair of steel jaws, and the jaws bite the zinc into little circles.	I feed long strips of zinc into a pair of steel jaws, and the jaws bite the zinc into little circles.
2573_178449_000029_000000	He had kept his voice cheerful as he spoke, but he had grown a shade paler, and there was a latent anguish deep in his eyes.	He had kept his voice cheerful as he spoke, but he had grown a shade paler, and there was a latent anguish deep in his eyes.
2573_178449_000029_000001	He may have known it and wished her not to see it, for he turned away.	He may have known it and wished her not to see it, for he turned away.
2573_178449_000030_000003	She broke off, and then, after a keen glance at his face, she said: "I should think you WOULD have been a 'bad hand at it'!"	She broke off, and then, after a keen glance at his face, she said: "I should think you WOULD have been a 'bad hand at it'!"
2573_178449_000031_000000	He laughed ruefully.	He laughed ruefully.
2573_178449_000031_000001	"I think it's the noise, though I'm ashamed to say it.	"I think it's the noise, though I'm ashamed to say it.
2573_178449_000032_000000	"How often is that?"	"How often is that?"
2573_178449_000033_000000	"The thing should make about sixty-eight disks a minute--a little more than one a second."	"The thing should make about sixty eight disks a minute-a little more than one a second."
2573_178449_000034_000000	"And you're close to it?"	"And you're close to it?"
2573_178449_000035_000000	"Oh, the workman has to sit in its lap," he said, turning to her more gaily.	"Oh, the workman has to sit in its lap," he said, turning to her more gaily.
2573_178449_000035_000001	"The others don't mind.	"The others don't mind.
2573_178449_000035_000003	I have an idiotic way of flinching from the confounded thing--I flinch and duck a little every time the crash comes, and I couldn't get over it.	I have an idiotic way of flinching from the confounded thing-I flinch and duck a little every time the crash comes, and I couldn't get over it.
2573_178449_000035_000004	I was a treat to the other workmen in that room; they'll be glad to see me back.	I was a treat to the other workmen in that room; they'll be glad to see me back.
2573_178449_000036_000001	She was staring at the wall, and her eyes had a burning brightness in them.	She was staring at the wall, and her eyes had a burning brightness in them.
2573_178449_000037_000000	"It doesn't seem possible any one could do that to you," she said, in a low voice.	"It doesn't seem possible any one could do that to you," she said, in a low voice.
2573_178449_000037_000001	"No.	"no
2573_178449_000037_000002	He's not kind.	He's not kind.
2573_178449_000037_000003	He ought to be proud to help you to the leisure to write books; it should be his greatest privilege to have them published for you--"	He ought to be proud to help you to the leisure to write books; it should be his greatest privilege to have them published for you-"
2573_178449_000038_000000	"Can't you SEE him?" Bibbs interrupted, a faint ripple of hilarity in his voice.	"Can't you SEE him?" Bibbs interrupted, a faint ripple of hilarity in his voice.
2573_178449_000038_000001	"If he could understand what you're saying--and if you can imagine his taking such a notion, he'd have had R. T. Bloss put up posters all over the country: 'Read B. Sheridan.	"If he could understand what you're saying-and if you can imagine his taking such a notion, he'd have had r t Bloss put up posters all over the country: 'Read b Sheridan.
2573_178449_000038_000002	Read the Poet with a Punch!' No.	Read the Poet with a Punch!' no
2573_178449_000038_000003	It's just as well he never got the--But what's the use?	It's just as well he never got the-But what's the use?
2573_178449_000038_000004	I've never written anything worth printing, and I never shall."	I've never written anything worth printing, and I never shall."
2573_178449_000039_000000	"You could!" she said.	"You could!" she said.
2573_178449_000040_000000	"That's because you've never seen the poor little things I've tried to do."	"That's because you've never seen the poor little things I've tried to do."
2573_178449_000041_000000	"You wouldn't let me, but I KNOW you could!	"You wouldn't let me, but I KNOW you could!
2573_178449_000042_000000	"It isn't," said BIBBS, honestly.	"It isn't," said BIBBS, honestly.
2573_178449_000043_000000	She gave him a flashing glance, and it was as kind as he said she was. "That sounds wrong," she said, impulsively.	She gave him a flashing glance, and it was as kind as he said she was. "That sounds wrong," she said, impulsively.
2573_178449_000043_000002	Wouldn't you rather call me 'Mary'?"	Wouldn't you rather call me 'Mary'?"
2573_178449_000044_000000	Bibbs was dazzled; he drew a long, deep breath and did not speak.	Bibbs was dazzled; he drew a long, deep breath and did not speak.
2573_178449_000045_000000	"Wouldn't you?" she asked, without a trace of coquetry.	"Wouldn't you?" she asked, without a trace of coquetry.
2573_178449_000046_000000	"If I CAN!" he said, in a low voice.	"If I CAN!" he said, in a low voice.
2573_178449_000047_000000	"Ah, that's very pretty!" she laughed.	"Ah, that's very pretty!" she laughed.
2573_178449_000047_000001	"You're such an honest person, it's pleasant to have you gallant sometimes, by way of variety." She became grave again immediately.	"You're such an honest person, it's pleasant to have you gallant sometimes, by way of variety." She became grave again immediately.
2573_178449_000047_000002	"I hear myself laughing as if it were some one else.	"I hear myself laughing as if it were some one else.
2573_178449_000047_000003	It sounds like laughter on the eve of a great calamity." She got up restlessly, crossed the room and leaned against the wall, facing him.	It sounds like laughter on the eve of a great calamity." She got up restlessly, crossed the room and leaned against the wall, facing him.
2573_178449_000047_000004	"You've GOT to go back to that place?"	"You've GOT to go back to that place?"
2573_178449_000048_000000	He nodded.	He nodded.
2573_178449_000049_000000	"And the other time you did it--"	"And the other time you did it-"
2573_178449_000050_000000	"Just over it," said Bibbs.	"Just over it," said Bibbs.
2573_178449_000050_000001	"Two years.	"Two years.
2573_178449_000052_000001	"I want to say it, but--but I come to a dead balk when I try.	"I want to say it, but-but I come to a dead balk when I try.
2573_178449_000052_000002	I--"	I-"
2573_178449_000053_000000	"Go on.	"Go on.
2573_178449_000053_000001	Say it, whatever it is," she bade him.	Say it, whatever it is," she bade him.
2573_178449_000053_000002	"You wouldn't know how to say anything I shouldn't like."	"You wouldn't know how to say anything I shouldn't like."
2573_178449_000054_000000	"I doubt if you'd either like or dislike what I want to say," he returned, moving uncomfortably in his chair and looking at his feet--he seemed to feel awkward, thoroughly.	"I doubt if you'd either like or dislike what I want to say," he returned, moving uncomfortably in his chair and looking at his feet-he seemed to feel awkward, thoroughly.
2573_178449_000054_000001	"You see, all my life--until I met you--if I ever felt like saying anything, I wrote it instead.	"You see, all my life-until I met you-if I ever felt like saying anything, I wrote it instead.
2573_178449_000054_000002	Saying things is a new trick for me, and this--well, it's just this: I used to feel as if I hadn't ever had any sort of a life at all.	Saying things is a new trick for me, and this-well, it's just this: I used to feel as if I hadn't ever had any sort of a life at all.
2573_178449_000054_000004	But now it's different--I'm still of no use to anybody, and I don't see any prospect of being useful, but I have had something for myself.	But now it's different-I'm still of no use to anybody, and I don't see any prospect of being useful, but I have had something for myself.
2573_178449_000054_000006	That's all; it's your letting me be near you sometimes, as you have, this strange, beautiful, happy little while!"	That's all; it's your letting me be near you sometimes, as you have, this strange, beautiful, happy little while!"
2573_178449_000055_000001	She did not speak, but a soft rustling of her garments let him know that she had gone back to her chair again.	She did not speak, but a soft rustling of her garments let him know that she had gone back to her chair again.
2573_178449_000055_000002	The house was still; the shabby old room was so quiet that the sound of a creaking in the wall seemed sharp and loud.	The house was still; the shabby old room was so quiet that the sound of a creaking in the wall seemed sharp and loud.
2573_178449_000056_000000	And yet, when Mary spoke at last, her voice was barely audible.	And yet, when Mary spoke at last, her voice was barely audible.
2573_178449_000056_000001	"If you think it has been--happy--to be friends with me--you'd want to--to make it last."	"If you think it has been-happy-to be friends with me-you'd want to-to make it last."
2573_178449_000057_000000	"Yes," said Bibbs, as faintly.	"Yes," said Bibbs, as faintly.
2573_178449_000058_000000	"You'd want to go on being my friend as long as we live, wouldn't you?"	"You'd want to go on being my friend as long as we live, wouldn't you?"
2573_178449_000059_000000	"Yes," he gulped.	"Yes," he gulped.
2573_178449_000060_000000	"But you make that kind of speech to me because you think it's over."	"But you make that kind of speech to me because you think it's over."
2573_178449_000061_000000	He tried to evade her.	He tried to evade her.
2573_178449_000061_000001	"Oh, a day-laborer can't come in his overalls--"	"Oh, a day laborer can't come in his overalls-"
2573_178449_000062_000000	"No," she interrupted, with a sudden sharpness.	"No," she interrupted, with a sudden sharpness.
2573_178449_000062_000001	"You said what you did because you think the shop's going to kill you."	"You said what you did because you think the shop's going to kill you."
2573_178449_000063_000000	"No, no!"	"No, no!"
2573_178449_000064_000000	"Yes, you do think that!" She rose to her feet again and came and stood before him.	"Yes, you do think that!" She rose to her feet again and came and stood before him.
2573_178449_000064_000001	"Or you think it's going to send you back to the sanitarium. Don't deny it, Bibbs.	"Or you think it's going to send you back to the sanitarium. Don't deny it, Bibbs.
2573_178449_000064_000002	There!	There!
2573_178449_000064_000004	You see I'm a friend, or I couldn't do it.	You see I'm a friend, or I couldn't do it.
2573_178449_000064_000005	Well, if you meant what you said--and you did mean it, I know it!--you're not going to go back to the sanitarium. The shop sha'n't hurt you.	Well, if you meant what you said-and you did mean it, I know it!--you're not going to go back to the sanitarium. The shop sha'n't hurt you.
2573_178449_000065_000000	And now Bibbs looked up.	And now Bibbs looked up.
2573_178449_000065_000001	She stood before him, straight and tall, splendid in generous strength, her eyes shining and wet.	She stood before him, straight and tall, splendid in generous strength, her eyes shining and wet.
2573_178449_000066_000000	"If I mean THAT much to you," she cried, "they can't harm you!	"If I mean THAT much to you," she cried, "they can't harm you!
2573_178449_000066_000001	Go back to the shop--but come to me when your day's work is done.	Go back to the shop-but come to me when your day's work is done.
2573_178449_000067_000001	"You say--" he gasped.	"You say-" he gasped.
2573_178449_000068_000000	"Every evening, dear Bibbs!"	"Every evening, dear Bibbs!"
2573_178449_000069_000000	He could only stare, bewildered.	He could only stare, bewildered.
2573_178449_000070_000001	I want you.	I want you.
2573_178449_000070_000003	"If I could, I'd go and feed the strips of zinc to the machine with you," she said.	"If I could, I'd go and feed the strips of zinc to the machine with you," she said.
2573_178449_000070_000004	"But all day long I'll send my thoughts to you.	"But all day long I'll send my thoughts to you.
2573_178449_000070_000005	You must keep remembering that your friend stands beside you.	You must keep remembering that your friend stands beside you.
2573_178449_000070_000006	And when the work is done--won't the night make up for the day?"	And when the work is done-won't the night make up for the day?"
2573_178449_000071_000000	Light seemed to glow from her; he was blinded by that radiance of kindness.	Light seemed to glow from her; he was blinded by that radiance of kindness.
2573_178449_000071_000001	But all he could say was, huskily, "To think you're there--with me--standing beside the old zinc-eater--"	But all he could say was, huskily, "To think you're there-with me-standing beside the old zinc eater-"
2573_178449_000072_000000	And they laughed and looked at each other, and at last Bibbs found what it meant not to be alone in the world.	And they laughed and looked at each other, and at last Bibbs found what it meant not to be alone in the world.
