7286_92935_000000_000000	Again a subscription was collected and a monument was erected in her honor.	Again a subscription was collected and a monument was erected in her honor.	false	0	2.94	27.578964
7286_92935_000008_000003	This was the state of affairs when Florence Nightingale became the Superintendent of the Home.	This was the state of affairs when Florence Nightingale became the Superintendent of the Home.	true	238.815	244.39	23
7286_92935_000009_000000	In a very short time the Home was completely changed.	In a very short time the Home was completely changed.	true	245.39	249.58	24.780338
7286_92935_000009_000001	Miss Nightingale had personally visited the former subscribers, and secured once more their help and patronage.	Miss Nightingale had personally visited the former subscribers, and secured once more their help and patronage.	true	249.65	256.63	22.372248
7286_92935_000009_000002	She had changed the system on which the Home had been run to such an extent that it served as a model for institutions of its kind, and where the unfortunate women that lived there had been on the verge of actual physical suffering, they were now well cared for and contented.	She had changed the system on which the Home had been run to such an extent that it served as a model for institutions of its kind, and where the unfortunate women that lived there had been on the verge of actual physical suffering, they were now well cared for and contented.	false	256.76	273.58	23.44423
7286_92935_000010_000000	Then war broke out between England, France and Turkey on the one side and Russia on the other,--a war that was brought about among other reasons by the desire of the Russian Czar to seize and hold the port of Constantinople.	Then war broke out between England, France and Turkey on the one side and Russia on the other,--a war that was brought about among other reasons by the desire of the Russian Czar to seize and hold the port of Constantinople.	true	274.61	288.37	21
7286_92935_000010_000001	Great Britain and France supported the Turks and active fighting commenced.	Great Britain and France supported the Turks and active fighting commenced.	true	288.44	292.99	26.364761
7286_92935_000010_000002	The theater of war soon shifted to the Crimean Peninsula where the British and French laid siege to the town of Sebastopol which was Russia's most important fortress and chief base of supplies.	The theater of war soon shifted to the Crimean Peninsula where the British and French laid siege to the town of Sebastopol which was Russia's most important fortress and chief base of supplies.	true	293.21	305.2	21
7286_92935_000010_000003	Before the walls of Sebastopol there took place severe fighting, which continued until bitter winter rendered further campaigning impossible.	Before the walls of Sebastopol there took place severe fighting, which continued until bitter winter rendered further campaigning impossible.	true	305.42	314.8	21.362488
7286_92935_000011_000000	While the war was going on thousands of sick and wounded British soldiers were pouring into the base hospitals at Scutari, where no provision for their care had been made.	While the war was going on thousands of sick and wounded British soldiers were pouring into the base hospitals at Scutari, where no provision for their care had been made.	true	315.74	326.68	22.304491
7286_92935_000011_000001	With the constant flood of wounded men, and men who were dying of dysentery and cholera, with no medical supplies and little food, with no nurses and only a few doctors, the condition of the British wounded soon became terrible beyond description.	With the constant flood of wounded men, and men who were dying of dysentery and cholera, with no medical supplies and little food, with no nurses and only a few doctors, the condition of the British wounded soon became terrible beyond description.	true	326.69	341.83	22
7286_92935_000011_000002	As there were no field dressing stations they had to be carried for days with their wounds undressed before they reached the hospital, and when they arrived it was often some time before the harassed doctors could care for them.	As there were no field dressing stations they had to be carried for days with their wounds undressed before they reached the hospital, and when they arrived it was often some time before the harassed doctors could care for them.	true	341.99	354.315	21
7286_92935_000011_000003	They were brought in with their uniforms covered with filth and blood, and were laid in long rows on the floors of the hospital where few cots were to be found.	They were brought in with their uniforms covered with filth and blood, and were laid in long rows on the floors of the hospital where few cots were to be found.	true	354.315	363.45	22.902628
7286_92935_000011_000004	Vermin crawled over the floors, over the walls and over the bodies of the helpless men.	Vermin crawled over the floors, over the walls and over the bodies of the helpless men.	true	363.45	369.01	23.018398
7286_92935_000011_000005	Rats gnawed the fingers of the wounded who were too weak to drive them away.	Rats gnawed the fingers of the wounded who were too weak to drive them away.	true	369.02	373.63	24
7286_92935_000011_000006	There were no conveniences of any kind and many men died of exhaustion because no food adequate for the sick could be prepared.	There were no conveniences of any kind and many men died of exhaustion because no food adequate for the sick could be prepared.	true	373.64	381.97	24.078897
7286_92935_000011_000007	All the food, we are told, consisted of beef and vegetables boiled together in one huge caldron, into which new supplies were thrown indiscriminately as fast as they were delivered.	All the food, we are told, consisted of beef and vegetables boiled together in one huge caldron, into which new supplies were thrown indiscriminately as fast as they were delivered.	true	382.01	393.765	22.500078
7286_92935_000011_000008	The bread was moldy and the beef too tough even for well men to eat.	The bread was moldy and the beef too tough even for well men to eat.	true	393.765	399.31	20.285776
7286_92935_000012_000000	Owing to the efforts of a war correspondent of the London _Times_, the people at home were soon informed of the state of affairs in the Crimea, and gifts and supplies poured in profusely.	Owing to the efforts of a war correspondent of the London underscore Times underscore, the people at home were soon informed of the state of affairs in the Crimea, and gifts and supplies poured in profusely.	false	399.32	410.535	21
7286_92935_000012_000001	But owing to the inefficiency and red tape of the War Department, the supplies were not delivered, but lay rotting in warehouses and in the holds of vessels while men died for the want of them.	But owing to the inefficiency and red tape of the War Department, the supplies were not delivered, but lay rotting in warehouses and in the holds of vessels while men died for the want of them.	true	410.535	422.22	22
7286_92935_000012_000002	On one occasion, we are told, a consignment of shoes for the soldiers turned out to be in women's sizes.	On one occasion, we are told, a consignment of shoes for the soldiers turned out to be in women's sizes.	true	422.22	428.77	20
7286_92935_000012_000003	Improper inspections resulted in high profits, for the army contractors made uniforms out of shoddy and leather accouterments from paper, filled the cores of hay bales with kale stocks and cheated the Government right and left without forbearance or conscience.	Improper inspections resulted in high profits, for the army contractors made uniforms out of shoddy and leather accouterments from paper, filled the cores of hay bales with kale stocks and cheated the Government right and left without forbearance or conscience.	true	428.84	445.09	22
7286_92935_000013_000000	Then the newspapers began calling for English women to go to the Crimea and care for the sick, and Florence Nightingale heard the call.	Then the newspapers began calling for English women to go to the Crimea and care for the sick, and Florence Nightingale heard the call.	true	446	454.06	25.493793
7286_92935_000013_000001	She wrote a letter to Sydney Herbert who was Minister of War, volunteering to organize a body of nurses and go out to the Crimea to care for the wounded.	She wrote a letter to Sydney Herbert who was Minister of War, volunteering to organize a body of nurses and go out to the Crimea to care for the wounded.	true	454.13	463.63	23.02369
7286_92935_000014_000000	Right then a curious thing happened.	Right then a curious thing happened.	true	464.21	466.66	27.284096
7286_92935_000014_000001	The War Department had already decided that Miss Nightingale was the one person who could take charge of the reorganization of the hospitals in the Crimea, and had written a letter requesting her services.	The War Department had already decided that Miss Nightingale was the one person who could take charge of the reorganization of the hospitals in the Crimea, and had written a letter requesting her services.	true	466.7	479.085	22
7286_92935_000014_000002	Offer and request crossed each other in the mails.	Offer and request crossed each other in the mails.	true	479.085	482.35	22.63639
7286_92935_000014_000003	On the following day her appointment was officially announced, and she was overwhelmed with proffers of assistance from all sides.	On the following day her appointment was officially announced, and she was overwhelmed with proffers of assistance from all sides.	true	482.39	490.48	23.25269
7286_92935_000015_000000	A large number of patriotic women volunteered to aid her, but only a very few possessed the necessary qualifications for such a task.	A large number of patriotic women volunteered to aid her, but only a very few possessed the necessary qualifications for such a task.	true	491.45	500.265	22
7286_92935_000015_000001	Of all that offered to go Miss Nightingale was only able to accept thirty that she considered would be capable of performing the severe tasks that lay ahead, for she knew only too well the grim welcome she would receive at the Crimea.	Of all that offered to go Miss Nightingale was only able to accept thirty that she considered would be capable of performing the severe tasks that lay ahead, for she knew only too well the grim welcome she would receive at the Crimea.	true	500.265	515.95	24.795618
7286_92935_000016_000000	Without farewells, quietly and at night, seen off only by a few intimate relatives, the little group of nurses started on their mission--the first one where women were to care for the soldiers who had fallen in war.	Without farewells, quietly and at night, seen off only by a few intimate relatives, the little group of nurses started on their mission-the first one where women were to care for the soldiers who had fallen in war.	true	516.77	531.49	21.378302
7286_92935_000017_000000	They crossed the English Channel and arrived at Boulogne in France on the following morning, where they were given a rousing greeting by the voluble French fish-wives, who had heard of their mission and who crowded around them to get a sight of the angels of mercy.	They crossed the English Channel and arrived at Boulogne in France on the following morning, where they were given a rousing greeting by the voluble French fish wives, who had heard of their mission and who crowded around them to get a sight of the angels of mercy.	false	532.37	546.9	19
7286_92935_000017_000001	From there they made their way to the seat of the war, and Miss Nightingale looked for the first time on the hospital where she was so soon to acquire immortal fame.	From there they made their way to the seat of the war, and Miss Nightingale looked for the first time on the hospital where she was so soon to acquire immortal fame.	true	546.9	556.93	20
7286_92935_000018_000000	It may well be thought that her heart sank when she saw the enormity of the task that lay before her, for she had been sent to bring order from chaos, plenty from want, comfort from torture and cleanliness from wholesale filth.	It may well be thought that her heart sank when she saw the enormity of the task that lay before her, for she had been sent to bring order from chaos, plenty from want, comfort from torture and cleanliness from wholesale filth.	true	557.3	571.36	22.453806
7286_92935_000018_000001	She had to contend not only with these awful conditions, but with the dislike and distrust of the medical officers with whom she was to work, who resented the fact that a woman had been sent out to reorganize what they considered a part of their department, and who doubted, because she was a woman, that she would be capable of doing so efficiently.	She had to contend not only with these awful conditions, but with the dislike and distrust of the medical officers with whom she was to work, who resented the fact that a woman had been sent out to reorganize what they considered a part of their department, and who doubted, because she was a woman, that she would be capable of doing so efficiently.	true	571.49	591.04	22
7286_92935_000019_000000	And when she arrived there was no time to spend in preliminary planning, for active fighting had been going on at the front and the wounded from recent battles were pouring in, adding to the confusion that already existed.	And when she arrived there was no time to spend in preliminary planning, for active fighting had been going on at the front and the wounded from recent battles were pouring in, adding to the confusion that already existed.	true	591.68	605.13	22.690315
7286_92935_000019_000001	They were laid groaning in hallways and on the bare ground until such time as the doctors could look after them.	They were laid groaning in hallways and on the bare ground until such time as the doctors could look after them.	true	605.13	611.5	23
7286_92935_000020_000000	Then Florence Nightingale, hardly taking breath, plunged into the task that awaited her and sent her nurses to the quarters where they were most needed.	Then Florence Nightingale, hardly taking breath, plunged into the task that awaited her and sent her nurses to the quarters where they were most needed.	true	612.32	621.315	22.249172
7286_92935_000020_000001	With their own hands these brave Englishwomen scrubbed the reeking floors and supervised the work of the orderlies.	With their own hands these brave Englishwomen scrubbed the reeking floors and supervised the work of the orderlies.	true	621.315	627.85	19
7286_92935_000020_000002	They visited the quartermasters and obtained the supplies that had been tied up through faulty administration and through army red tape, and in a short time they had established a diet kitchen where several hundred sick and wounded men could have the food they required, food that would save their lives.	They visited the quartermasters and obtained the supplies that had been tied up through faulty administration and through army red tape, and in a short time they had established a diet kitchen where several hundred sick and wounded men could have the food they required, food that would save their lives.	true	627.89	645.61	23.570768
7286_92935_000021_000000	The death rate, we are told, before this woman nurse and her little company arrived at the hospital was sixty percent of all the cases that were treated there--and after she had effected the changes that she saw were necessary, the death rate was only one percent--a fact in itself that speaks more loudly than any words for her efficiency and her bravery.	The death rate, we are told, before this woman nurse and her little company arrived at the hospital was sixty percent of all the cases that were treated there-and after she had effected the changes that she saw were necessary, the death rate was only one percent--a fact in itself that speaks more loudly than any words for her efficiency and her bravery.	false	646.34	668.05	23.57764
7286_92935_000022_000000	At times this indomitable woman was on her feet for twenty hours out of the twenty-four, supervising, directing, taking the last message of some dying soldier for his family, feeding another who was too weak to feed himself.	At times this indomitable woman was on her feet for twenty hours out of the twenty four, supervising, directing, taking the last message of some dying soldier for his family, feeding another who was too weak to feed himself.	false	669.08	683.775	21.734072
7286_92935_000022_000001	The doctors who had been her opponents soon looked up to her and became her devoted friends, and the men who had been through such terrible sufferings thought she was indeed an angel from heaven, and, as she passed down the long wards would furtively kiss her shadow as it fell across their blankets.	The doctors who had been her opponents soon looked up to her and became her devoted friends, and the men who had been through such terrible sufferings thought she was indeed an angel from heaven, and, as she passed down the long wards would furtively kiss her shadow as it fell across their blankets.	true	683.775	700.45	21
7286_92935_000022_000002	Many a time she took charge of cases that had been given up by the doctors, who turned their attention always to those whom they believed had a fighting chance for life, and she nursed them back to life with a patience and a tenderness that the doctors could not spare.	Many a time she took charge of cases that had been given up by the doctors, who turned their attention always to those whom they believed had a fighting chance for life, and she nursed them back to life with a patience and a tenderness that the doctors could not spare.	true	700.67	715.24	20
7286_92935_000023_000000	From the ships and warehouses there commenced to appear the comforts that sick men demanded--sheets and nightgowns, socks and pillows; in the place of the nauseous beef stew, the wounded began to get broths and jellies.	From the ships and warehouses there commenced to appear the comforts that sick men demanded-sheets and nightgowns, socks and pillows; in the place of the nauseous beef stew, the wounded began to get broths and jellies.	true	716.51	730	23
7286_92935_000023_000001	Should they die they were sure of a woman's hand and a kindly ministration at the last, for Florence Nightingale had resolved that no man should die unattended in her hospital.	Should they die they were sure of a woman's hand and a kindly ministration at the last, for Florence Nightingale had resolved that no man should die unattended in her hospital.	true	730.13	740.59	19
7286_92935_000023_000002	And the wonders she performed were heard of back in England, where her name became national.	And the wonders she performed were heard of back in England, where her name became national.	true	740.75	745.99	21.24562
7286_92935_000024_000000	She had gone to Scutari in 1854.	She had gone to Scutari in eighteen fifty four.	true	746.9	750.22	22.646887
7286_92935_000024_000001	In May, 1855, she visited other hospitals that were nearer the seat of war and went into the trenches themselves before Sebastopol.	In May, eighteen fifty five, she visited other hospitals that were nearer the seat of war and went into the trenches themselves before Sebastopol.	true	750.47	759.46	20
7286_92935_000024_000002	One of her biographers tells us that when she entered the trenches she was warned by a sentinel to go no further, because the enemy had the place under close watch and would certainly open fire when they beheld a group of people at that particular point.	One of her biographers tells us that when she entered the trenches she was warned by a sentinel to go no further, because the enemy had the place under close watch and would certainly open fire when they beheld a group of people at that particular point.	true	759.74	774.58	21
7286_92935_000025_000000	"My good young man," replied Miss Nightingale, "more dead and wounded have passed through my hands than I hope you will ever see on the battlefield during the whole of your military career; believe me, I have no fear of death."	"My good young man," replied Miss Nightingale, "more dead and wounded have passed through my hands than I hope you will ever see on the battlefield during the whole of your military career; believe me, I have no fear of death."	true	774.59	788.11	19.293556
7286_92935_000026_000000	Then she fell ill with Crimean fever, and through the army the news was received with more consternation than a severe defeat.	Then she fell ill with Crimean fever, and through the army the news was received with more consternation than a severe defeat.	true	788.9	796.81	20.64656
7286_92935_000026_000001	Men broke down and cried like children when they heard that Miss Nightingale lay at the point of death, and the Commander in Chief, Lord Raglan, rode through sleet and mud for hours to visit her personally.	Men broke down and cried like children when they heard that Miss Nightingale lay at the point of death, and the Commander in Chief, Lord Raglan, rode through sleet and mud for hours to visit her personally.	true	796.94	809.23	23.223488
7286_92935_000026_000002	She did not die, however, but recovered to take up again her duties as chief nurse and organizer.	She did not die, however, but recovered to take up again her duties as chief nurse and organizer.	true	809.33	815.89	23.555248
7286_92935_000027_000000	When the war was ended Miss Nightingale remained at the Crimea until the last soldiers were sent home, and then, and not till then, she followed them.	When the war was ended Miss Nightingale remained at the Crimea until the last soldiers were sent home, and then, and not till then, she followed them.	true	816.71	826.18	23.658758
7286_92935_000027_000001	After most of the men had left and only a few remained she still worked faithfully to serve them, establishing "reading huts" and places of recreation such as the Red Cross and the Y.M.C.A. established in France and Belgium in the course of the World War some sixty years later.	After most of the men had left and only a few remained she still worked faithfully to serve them, establishing "reading huts" and places of recreation such as the Red Cross and the y m c a established in France and Belgium in the course of the World War some sixty years later.	true	826.34	844.75	21.216986
7286_92935_000028_000000	As a matter of fact the work performed by Miss Nightingale was indirectly responsible for the birth of the Red Cross which was organized in Switzerland some four years after she had finished her work at the Crimea, and certainly no name in the Red Cross, in spite of the host of noble men and women who have served there, has ever equaled the glory of her own.	As a matter of fact the work performed by Miss Nightingale was indirectly responsible for the birth of the Red Cross which was organized in Switzerland some four years after she had finished her work at the Crimea, and certainly no name in the Red Cross, in spite of the host of noble men and women who have served there, has ever equaled the glory of her own.	true	845.57	865.81	20
7286_92935_000029_000000	She returned to England quietly as she had left, although a British Government placed a battleship at her service--and she lived in England engaged in useful and philanthropic work for a great many years.	She returned to England quietly as she had left, although a British Government placed a battleship at her service-and she lived in England engaged in useful and philanthropic work for a great many years.	true	866.57	879.19	23
7286_92935_000029_000001	With a fund of about $250,000 she founded the Nightingale Home for the proper training of nurses, a fund that she could have doubled or trebled had she so desired, or if the needs of the home had required it.	With a fund of about two hundred fifty thousand dollars she founded the Nightingale Home for the proper training of nurses, a fund that she could have doubled or trebled had she so desired, or if the needs of the home had required it.	true	879.29	892.75	21.550112
7286_92935_000029_000002	In the following years she was frequently consulted on hospital organization in the armies not only of Great Britain but of Continental nations as well.	In the following years she was frequently consulted on hospital organization in the armies not only of Great Britain but of Continental nations as well.	true	892.76	902.38	22
7286_92935_000029_000003	She died in 1910, one of the great figures among the heroines of history.	She died in nineteen ten, one of the great figures among the heroines of history.	false	902.63	915.87	21.205248
