7286_92935_000001_000000	CHAPTER XXV	CHAPTER twenty five
7286_92935_000015_000000	A large number of patriotic women volunteered to aid her, but only a very few possessed the necessary qualifications for such a task.	A large number of patriotic women volunteered to aid her, but only a very few possessed the necessary qualifications for such a task.
7286_92935_000015_000001	Of all that offered to go Miss Nightingale was only able to accept thirty that she considered would be capable of performing the severe tasks that lay ahead, for she knew only too well the grim welcome she would receive at the Crimea.	Of all that offered to go Miss Nightingale was only able to accept thirty that she considered would be capable of performing the severe tasks that lay ahead, for she knew only too well the grim welcome she would receive at the Crimea.
7286_92935_000016_000000	Without farewells, quietly and at night, seen off only by a few intimate relatives, the little group of nurses started on their mission--the first one where women were to care for the soldiers who had fallen in war.	Without farewells, quietly and at night, seen off only by a few intimate relatives, the little group of nurses started on their mission-the first one where women were to care for the soldiers who had fallen in war.
7286_92935_000017_000001	From there they made their way to the seat of the war, and Miss Nightingale looked for the first time on the hospital where she was so soon to acquire immortal fame.	From there they made their way to the seat of the war, and Miss Nightingale looked for the first time on the hospital where she was so soon to acquire immortal fame.
7286_92935_000018_000000	It may well be thought that her heart sank when she saw the enormity of the task that lay before her, for she had been sent to bring order from chaos, plenty from want, comfort from torture and cleanliness from wholesale filth.	It may well be thought that her heart sank when she saw the enormity of the task that lay before her, for she had been sent to bring order from chaos, plenty from want, comfort from torture and cleanliness from wholesale filth.
7286_92935_000018_000001	She had to contend not only with these awful conditions, but with the dislike and distrust of the medical officers with whom she was to work, who resented the fact that a woman had been sent out to reorganize what they considered a part of their department, and who doubted, because she was a woman, that she would be capable of doing so efficiently.	She had to contend not only with these awful conditions, but with the dislike and distrust of the medical officers with whom she was to work, who resented the fact that a woman had been sent out to reorganize what they considered a part of their department, and who doubted, because she was a woman, that she would be capable of doing so efficiently.
7286_92935_000019_000000	And when she arrived there was no time to spend in preliminary planning, for active fighting had been going on at the front and the wounded from recent battles were pouring in, adding to the confusion that already existed.	And when she arrived there was no time to spend in preliminary planning, for active fighting had been going on at the front and the wounded from recent battles were pouring in, adding to the confusion that already existed.
7286_92935_000019_000001	They were laid groaning in hallways and on the bare ground until such time as the doctors could look after them.	They were laid groaning in hallways and on the bare ground until such time as the doctors could look after them.
7286_92935_000020_000000	Then Florence Nightingale, hardly taking breath, plunged into the task that awaited her and sent her nurses to the quarters where they were most needed.	Then Florence Nightingale, hardly taking breath, plunged into the task that awaited her and sent her nurses to the quarters where they were most needed.
7286_92935_000020_000002	They visited the quartermasters and obtained the supplies that had been tied up through faulty administration and through army red tape, and in a short time they had established a diet kitchen where several hundred sick and wounded men could have the food they required, food that would save their lives.	They visited the quartermasters and obtained the supplies that had been tied up through faulty administration and through army red tape, and in a short time they had established a diet kitchen where several hundred sick and wounded men could have the food they required, food that would save their lives.
7286_92935_000022_000001	The doctors who had been her opponents soon looked up to her and became her devoted friends, and the men who had been through such terrible sufferings thought she was indeed an angel from heaven, and, as she passed down the long wards would furtively kiss her shadow as it fell across their blankets.	The doctors who had been her opponents soon looked up to her and became her devoted friends, and the men who had been through such terrible sufferings thought she was indeed an angel from heaven, and, as she passed down the long wards would furtively kiss her shadow as it fell across their blankets.
7286_92935_000022_000002	Many a time she took charge of cases that had been given up by the doctors, who turned their attention always to those whom they believed had a fighting chance for life, and she nursed them back to life with a patience and a tenderness that the doctors could not spare.	Many a time she took charge of cases that had been given up by the doctors, who turned their attention always to those whom they believed had a fighting chance for life, and she nursed them back to life with a patience and a tenderness that the doctors could not spare.
7286_92935_000023_000000	From the ships and warehouses there commenced to appear the comforts that sick men demanded--sheets and nightgowns, socks and pillows; in the place of the nauseous beef stew, the wounded began to get broths and jellies.	From the ships and warehouses there commenced to appear the comforts that sick men demanded-sheets and nightgowns, socks and pillows; in the place of the nauseous beef stew, the wounded began to get broths and jellies.
7286_92935_000023_000002	And the wonders she performed were heard of back in England, where her name became national.	And the wonders she performed were heard of back in England, where her name became national.
7286_92935_000024_000000	She had gone to Scutari in 1854.	She had gone to Scutari in eighteen fifty four.
7286_92935_000024_000001	In May, 1855, she visited other hospitals that were nearer the seat of war and went into the trenches themselves before Sebastopol.	In May, eighteen fifty five, she visited other hospitals that were nearer the seat of war and went into the trenches themselves before Sebastopol.
7286_92935_000024_000002	One of her biographers tells us that when she entered the trenches she was warned by a sentinel to go no further, because the enemy had the place under close watch and would certainly open fire when they beheld a group of people at that particular point.	One of her biographers tells us that when she entered the trenches she was warned by a sentinel to go no further, because the enemy had the place under close watch and would certainly open fire when they beheld a group of people at that particular point.
7286_92935_000026_000000	Then she fell ill with Crimean fever, and through the army the news was received with more consternation than a severe defeat.	Then she fell ill with Crimean fever, and through the army the news was received with more consternation than a severe defeat.
7286_92935_000026_000001	Men broke down and cried like children when they heard that Miss Nightingale lay at the point of death, and the Commander in Chief, Lord Raglan, rode through sleet and mud for hours to visit her personally.	Men broke down and cried like children when they heard that Miss Nightingale lay at the point of death, and the Commander in Chief, Lord Raglan, rode through sleet and mud for hours to visit her personally.
7286_92935_000026_000002	She did not die, however, but recovered to take up again her duties as chief nurse and organizer.	She did not die, however, but recovered to take up again her duties as chief nurse and organizer.
7286_92935_000027_000000	When the war was ended Miss Nightingale remained at the Crimea until the last soldiers were sent home, and then, and not till then, she followed them.	When the war was ended Miss Nightingale remained at the Crimea until the last soldiers were sent home, and then, and not till then, she followed them.
7286_92935_000027_000001	After most of the men had left and only a few remained she still worked faithfully to serve them, establishing "reading huts" and places of recreation such as the Red Cross and the Y.M.C.A. established in France and Belgium in the course of the World War some sixty years later.	After most of the men had left and only a few remained she still worked faithfully to serve them, establishing "reading huts" and places of recreation such as the Red Cross and the y m c a established in France and Belgium in the course of the World War some sixty years later.
7286_92935_000028_000000	As a matter of fact the work performed by Miss Nightingale was indirectly responsible for the birth of the Red Cross which was organized in Switzerland some four years after she had finished her work at the Crimea, and certainly no name in the Red Cross, in spite of the host of noble men and women who have served there, has ever equaled the glory of her own.	As a matter of fact the work performed by Miss Nightingale was indirectly responsible for the birth of the Red Cross which was organized in Switzerland some four years after she had finished her work at the Crimea, and certainly no name in the Red Cross, in spite of the host of noble men and women who have served there, has ever equaled the glory of her own.
7286_92935_000029_000000	She returned to England quietly as she had left, although a British Government placed a battleship at her service--and she lived in England engaged in useful and philanthropic work for a great many years.	She returned to England quietly as she had left, although a British Government placed a battleship at her service-and she lived in England engaged in useful and philanthropic work for a great many years.
7286_92935_000029_000001	With a fund of about $250,000 she founded the Nightingale Home for the proper training of nurses, a fund that she could have doubled or trebled had she so desired, or if the needs of the home had required it.	With a fund of about two hundred fifty thousand dollars she founded the Nightingale Home for the proper training of nurses, a fund that she could have doubled or trebled had she so desired, or if the needs of the home had required it.
7286_92935_000029_000002	In the following years she was frequently consulted on hospital organization in the armies not only of Great Britain but of Continental nations as well.	In the following years she was frequently consulted on hospital organization in the armies not only of Great Britain but of Continental nations as well.
