1079_128632_000001_000000	Salt the fish and dip in equal parts of flour and corn-meal, thoroughly mixed.	Salt the fish and dip in equal parts of flour and corn meal, thoroughly mixed.
1079_128632_000017_000000	Clean a large sea or lake trout.	Clean a large sea or lake trout.
1079_128632_000017_000002	Cook the stuffing for ten minutes, using as little water as possible.	Cook the stuffing for ten minutes, using as little water as possible.
1079_128632_000017_000003	Stuff the fish, put into a buttered baking-pan with enough hot water to keep from burning.	Stuff the fish, put into a buttered baking pan with enough hot water to keep from burning.
1079_128632_000017_000004	Cover the fish with thin slices of salt pork and bake until done, adding more hot water if required.	Cover the fish with thin slices of salt pork and bake until done, adding more hot water if required.
1079_128632_000017_000006	Season with salt and pepper, add a few capers, pour around the fish, and serve.	Season with salt and pepper, add a few capers, pour around the fish, and serve.
1079_128632_000019_000000	Stuff a large sea or lake trout with mashed potatoes, seasoning with butter, pepper, salt, and grated onion.	Stuff a large sea or lake trout with mashed potatoes, seasoning with butter, pepper, salt, and grated onion.
1079_128632_000019_000001	Butter a baking-pan and cover the bottom with thin slices of tomatoes.	Butter a baking pan and cover the bottom with thin slices of tomatoes.
1079_128632_000019_000002	Lay the fish upon it, sprinkle with salt and pepper, add two tablespoonfuls of butter and enough water to keep from burning.	Lay the fish upon it, sprinkle with salt and pepper, add two tablespoonfuls of butter and enough water to keep from burning.
1079_128632_000019_000003	Bake until done and serve with the tomatoes and sliced hard-boiled eggs.	Bake until done and serve with the tomatoes and sliced hard boiled eggs.
1079_128632_000021_000000	Clean and score small trout, dip in seasoned melted butter, and put in a buttered baking-pan.	Clean and score small trout, dip in seasoned melted butter, and put in a buttered baking pan.
1079_128632_000021_000002	Serve with any preferred sauce.	Serve with any preferred sauce.
1079_128632_000023_000001	Put in a buttered baking-pan, sprinkle with minced parsley, and pour over half a cupful of stock to which two tablespoonfuls of butter have been added.	Put in a buttered baking pan, sprinkle with minced parsley, and pour over half a cupful of stock to which two tablespoonfuls of butter have been added.
1079_128632_000023_000002	Bake for half an hour, basting as required.	Bake for half an hour, basting as required.
1079_128632_000025_000000	Soak a cupful of bread-crumbs in milk, squeeze dry, add two tablespoonfuls of butter, the yolk of an egg, and pepper, salt, thyme, and lemon-juice to season.	Soak a cupful of bread crumbs in milk, squeeze dry, add two tablespoonfuls of butter, the yolk of an egg, and pepper, salt, thyme, and lemon juice to season.
1079_128632_000025_000001	Stuff the fish, sew up, put in a buttered baking-pan, dredge with flour, dot with butter, and bake.	Stuff the fish, sew up, put in a buttered baking pan, dredge with flour, dot with butter, and bake.
1079_128632_000027_000001	Cover with buttered paper and bake, basting with the liquid.	Cover with buttered paper and bake, basting with the liquid.
1079_128632_000029_000000	Take the fillets from a three-pound trout and bake for ten minutes in a buttered baking-pan.	Take the fillets from a three pound trout and bake for ten minutes in a buttered baking pan.
1079_128632_000029_000002	Cook until thick, stirring constantly, and add two tablespoonfuls of butter, broken into bits.	Cook until thick, stirring constantly, and add two tablespoonfuls of butter, broken into bits.
1079_128632_000029_000003	Pour the sauce over the fillets and bake for fifteen minutes longer.	Pour the sauce over the fillets and bake for fifteen minutes longer.
1079_128632_000031_000000	Split and bone the cleaned fish and put in a buttered baking-pan skin side down.	Split and bone the cleaned fish and put in a buttered baking pan skin side down.
1079_128632_000031_000001	Sprinkle with salt, pepper, and crumbs, and put into the oven.	Sprinkle with salt, pepper, and crumbs, and put into the oven.
1079_128632_000031_000002	Cover the bones and trimmings with cold water, adding two tablespoonfuls of butter, a sliced onion, and two cupfuls of stock. Boil for half an hour, strain, add a can of mushrooms, chopped, and enough crumbs to thicken.	Cover the bones and trimmings with cold water, adding two tablespoonfuls of butter, a sliced onion, and two cupfuls of stock. Boil for half an hour, strain, add a can of mushrooms, chopped, and enough crumbs to thicken.
1079_128632_000031_000003	Season with salt, pepper, and anchovy paste.	Season with salt, pepper, and anchovy paste.
1079_128632_000033_000000	Put half a dozen cleaned trout in a buttered baking-dish with half a glassful of white wine, and a finely chopped shallot.	Put half a dozen cleaned trout in a buttered baking dish with half a glassful of white wine, and a finely chopped shallot.
1079_128632_000033_000002	Add also a small chopped onion, two shallots, twice the quantity of mushrooms, and a bean of garlic, all minced and fried in butter.	Add also a small chopped onion, two shallots, twice the quantity of mushrooms, and a bean of garlic, all minced and fried in butter.
1079_128632_000033_000003	Season with salt, pepper, minced parsley, and lemon-juice; pour over the fish and serve.	Season with salt, pepper, minced parsley, and lemon juice; pour over the fish and serve.
1079_128632_000034_000000	BAKED TROUT WITH MUSHROOM SAUCE	BAKED TROUT WITH MUSHROOM SAUCE
1079_128632_000035_000000	Butter a baking-dish, sprinkle with bread-crumbs, lay a sea-trout upon it, cover with crumbs, dot with butter, squeeze over the juice of half a lemon, and bake, adding enough water to keep from burning. Brown a tablespoonful of flour in butter, add the liquid drained from the fish, one cupful each of mushroom and oyster liquor, and a wineglassful of Madeira.	Butter a baking dish, sprinkle with bread crumbs, lay a sea trout upon it, cover with crumbs, dot with butter, squeeze over the juice of half a lemon, and bake, adding enough water to keep from burning. Brown a tablespoonful of flour in butter, add the liquid drained from the fish, one cupful each of mushroom and oyster liquor, and a wineglassful of Madeira.
1079_128632_000035_000001	Cook until thick, stirring constantly, take from the fire, and add a few cooked oysters, shrimps, and mushrooms.	Cook until thick, stirring constantly, take from the fire, and add a few cooked oysters, shrimps, and mushrooms.
1079_128632_000035_000002	Season with salt and pepper and serve separately.	Season with salt and pepper and serve separately.
1079_128632_000036_000000	BAKED TROUT WITH POLISH SAUCE	BAKED TROUT WITH POLISH SAUCE
1079_128632_000037_000002	Sprinkle with crumbs, dot with butter, and bake slowly until done.	Sprinkle with crumbs, dot with butter, and bake slowly until done.
1079_128632_000037_000003	Melt one and one-half cupfuls of butter and add a tablespoonful of minced parsley, and three hard-boiled eggs chopped very fine.	Melt one and one half cupfuls of butter and add a tablespoonful of minced parsley, and three hard boiled eggs chopped very fine.
1079_128632_000037_000004	Serve the sauce separately.	Serve the sauce separately.
1079_128632_000038_000000	STUFFED TROUT	STUFFED TROUT
1079_128632_000039_000001	Put in a buttered baking-dish, lay in the fish, season with salt and pepper, cover with crumbs, dot with butter, pour over a little white wine, and bake in the oven.	Put in a buttered baking dish, lay in the fish, season with salt and pepper, cover with crumbs, dot with butter, pour over a little white wine, and bake in the oven.
1079_128632_000039_000002	Serve in the dish in which they were baked.	Serve in the dish in which they were baked.
1079_128632_000041_000000	Stuff trout with seasoned crumbs, cover each one with a thin slice of salt pork, and wrap in buttered paper, fastening the papers securely; bake and serve in the papers.	Stuff trout with seasoned crumbs, cover each one with a thin slice of salt pork, and wrap in buttered paper, fastening the papers securely; bake and serve in the papers.
1079_128632_000043_000001	Lay a very thin slice of salt pork on each fish and wrap in buttered paper.	Lay a very thin slice of salt pork on each fish and wrap in buttered paper.
1079_128632_000043_000002	Bake in a hot oven.	Bake in a hot oven.
1079_128632_000043_000003	Remove the string and serve in the paper.	Remove the string and serve in the paper.
1079_128632_000044_000000	TROUT IN CASES	TROUT IN CASES
1079_128632_000045_000000	Clean, parboil, and trim the fish, wrap in buttered paper, bake, and serve with Fine Herb Sauce.	Clean, parboil, and trim the fish, wrap in buttered paper, bake, and serve with Fine Herb Sauce.
1079_128632_000047_000000	Boil and skin the fish, put on a serving-dish, cover with Allemande Sauce, and the chopped yolks of hard-boiled eggs.	Boil and skin the fish, put on a serving dish, cover with Allemande Sauce, and the chopped yolks of hard boiled eggs.
1079_128632_000047_000001	Brown in the oven and serve with Aurora Sauce.	Brown in the oven and serve with Aurora Sauce.
1079_128632_000049_000000	Prepare six trout according to directions given in the recipe for Trout with Shrimp Sauce.	Prepare six trout according to directions given in the recipe for Trout with Shrimp Sauce.
1079_128632_000049_000001	Serve with one cupful of Spanish Sauce, adding two chopped truffles, half a dozen chopped mushrooms, a dozen chopped olives, and three tablespoonfuls of stewed and strained tomato.	Serve with one cupful of Spanish Sauce, adding two chopped truffles, half a dozen chopped mushrooms, a dozen chopped olives, and three tablespoonfuls of stewed and strained tomato.
1079_128632_000049_000002	Pour over the fish and serve.	Pour over the fish and serve.
1079_128632_000051_000000	Stuff cleaned trout with chopped oysters or seasoned crumbs, and put into a buttered baking-dish.	Stuff cleaned trout with chopped oysters or seasoned crumbs, and put into a buttered baking dish.
1079_128632_000051_000001	Add half a wineglassful of white wine, a sprig of celery, a bay-leaf, a sprig of thyme, two cloves, and salt and pepper to season.	Add half a wineglassful of white wine, a sprig of celery, a bay leaf, a sprig of thyme, two cloves, and salt and pepper to season.
1079_128632_000051_000002	Bake in the oven, basting frequently. Take up the fish, strain the liquid, and add it to a cupful of Spanish Sauce, with a chopped truffle, four cooked mushrooms, chopped, and a dozen cooked oysters.	Bake in the oven, basting frequently. Take up the fish, strain the liquid, and add it to a cupful of Spanish Sauce, with a chopped truffle, four cooked mushrooms, chopped, and a dozen cooked oysters.
1079_128632_000051_000003	Pour the sauce over the fish and serve.	Pour the sauce over the fish and serve.
1079_128632_000053_000000	Boil, skin, trim the fish, cover with very thick Cream Sauce and let cool.	Boil, skin, trim the fish, cover with very thick Cream Sauce and let cool.
1079_128632_000055_000001	Broil carefully.	Broil carefully.
1079_128632_000055_000003	Pour over the fish and serve.	Pour over the fish and serve.
1079_128632_000059_000000	Stuff a cleaned trout through the mouth with butter mixed with finely chopped sweet herbs.	Stuff a cleaned trout through the mouth with butter mixed with finely chopped sweet herbs.
1079_128632_000061_000000	Boil a large sea-trout in salted water, drain, skin, and serve with Italian Sauce, seasoned with butter, anchovy paste, nutmeg, and lemon-juice.	Boil a large sea trout in salted water, drain, skin, and serve with Italian Sauce, seasoned with butter, anchovy paste, nutmeg, and lemon juice.
1079_128632_000063_000002	Strain over the fish, garnish with olives, and serve.	Strain over the fish, garnish with olives, and serve.
1079_128632_000065_000000	Stuff a large trout with seasoned crumbs, and cover it with Claret, adding mushrooms, parsley, chopped onion, thyme, a bay-leaf, pepper-corns, and mace to season.	Stuff a large trout with seasoned crumbs, and cover it with Claret, adding mushrooms, parsley, chopped onion, thyme, a bay leaf, pepper corns, and mace to season.
1079_128632_000065_000001	Drain the fish and reduce the liquid by rapid boiling to one cupful.	Drain the fish and reduce the liquid by rapid boiling to one cupful.
