6233_61742_000000_000000	To whom did he belong?	To whom did he belong?	false	0	2.04	18.169743
6233_61742_000037_000001	The landlord of the Rough and Ready, who had come uncalled to the council, after forcing his way through the crowd, proclaimed himself willing to communicate some facts worth their hearing--in short, the very facts they were endeavouring to find out: when Henry Poindexter had been last seen, and what the direction he had taken.	The landlord of the Rough and Ready, who had come uncalled to the council, after forcing his way through the crowd, proclaimed himself willing to communicate some facts worth their hearing-in short, the very facts they were endeavouring to find out: when Henry Poindexter had been last seen, and what the direction he had taken.	true	313.94	331.99	21.749573
6233_61742_000038_000000	Oberdoffer's testimony, delivered in a semi-Teutonic tongue, was to the effect: that Maurice the mustanger--who had been staying at his hotel ever since his fight with Captain Calhoun--had that night ridden out at a late hour, as he had done for several nights before.	Oberdoffer's testimony, delivered in a semi Teutonic tongue, was to the effect: that Maurice the mustanger-who had been staying at his hotel ever since his fight with Captain Calhoun-had that night ridden out at a late hour, as he had done for several nights before.	true	332.45	348.28	23
6233_61742_000039_000000	He had returned to the hotel at a still later hour; and finding it open--on account of a party of _bons vivants_ who had supped there--had done that which he had not done for a long time before--demanded his bill, and to Old Duffer's astonishment--as the latter naively confessed--settled every cent of it!	He had returned to the hotel at a still later hour; and finding it open-on account of a party of underscore bons vivants underscore who had supped there-had done that which he had not done for a long time before-demanded his bill, and to Old Duffer's astonishment-as the latter naively confessed-settled every cent of it!	false	348.71	367.69	22.595419
6233_61742_000040_000000	Where he had procured the money "Gott" only knew, or why he left the hotel in such a hurry.	Where he had procured the money "Gott" only knew, or why he left the hotel in such a hurry.	true	368.69	374.23	21
6233_61742_000040_000001	Oberdoffer himself only knew that he had left it, and taken all his `trapsh' along with him--just as he was in the habit of doing, whenever he went off upon one of his horse-catching expeditions.	Oberdoffer himself only knew that he had left it, and taken all his backquote trapsh' along with him-just as he was in the habit of doing, whenever he went off upon one of his horse catching expeditions.	false	374.81	386.17	20.23924
6233_61742_000041_000000	On one of these the village Boniface supposed him to have gone.	On one of these the village Boniface supposed him to have gone.	true	388.4	391.84	23
6233_61742_000042_000000	What had all this to do with the question before the council?	What had all this to do with the question before the council?	true	392.39	395.385	26.028526
6233_61742_000042_000001	Much indeed; though it did not appear till the last moment of his examination, when the witness revealed the more pertinent facts:--that about twenty minutes after the mustanger had taken his departure from the hotel, "Heinrich Poindexter" knocked at the door, and inquired after Mr Maurice Gerald;--that on being told the latter was gone, as also the time, and probable direction he had taken, the "young gentlemans" rode off a a quick pace, as if with the intention of overtaking him.	Much indeed; though it did not appear till the last moment of his examination, when the witness revealed the more pertinent facts:--that about twenty minutes after the mustanger had taken his departure from the hotel, "Heinrich Poindexter" knocked at the door, and inquired after Mr Maurice Gerald;--that on being told the latter was gone, as also the time, and probable direction he had taken, the "young gentlemans" rode off a a quick pace, as if with the intention of overtaking him.	false	395.385	424.75	22.85943
6233_61742_000043_000000	This was all Mr Oberdoffer knew of the matter; and all he could be expected to tell.	This was all Mr Oberdoffer knew of the matter; and all he could be expected to tell.	true	425.15	430	27
6233_61742_000044_000000	The intelligence, though containing several points but ill understood, was nevertheless a guide to the expeditionary party.	The intelligence, though containing several points but ill understood, was nevertheless a guide to the expeditionary party.	true	430.73	437.38	18
6233_61742_000044_000001	It furnished a sort of clue to the direction they ought to take.	It furnished a sort of clue to the direction they ought to take.	true	437.72	441.07	24.587397
6233_61742_000044_000002	If the missing man had gone off with Maurice the mustanger, or after him, he should be looked for on the road the latter himself would be likely to have taken.	If the missing man had gone off with Maurice the mustanger, or after him, he should be looked for on the road the latter himself would be likely to have taken.	true	441.29	449.92	22
6233_61742_000045_000000	Did any one know where the horse-hunter had his home?	Did any one know where the horse hunter had his home?	true	451.16	453.85	20.839342
6233_61742_000046_000000	No one could state the exact locality; though there were several who believed it was somewhere among the head-waters of the Nueces, on a creek called the "Alamo."	No one could state the exact locality; though there were several who believed it was somewhere among the head waters of the Nueces, on a creek called the "Alamo."	true	454.25	463.24	19.191252
6233_61742_000047_000000	To the Alamo, then, did they determine upon proceeding in quest of the missing man, or his dead body--perhaps, also, to find that of Maurice the mustanger; and, at the same time, avenge upon the savage assassins two murders instead of one.	To the Alamo, then, did they determine upon proceeding in quest of the missing man, or his dead body-perhaps, also, to find that of Maurice the mustanger; and, at the same time, avenge upon the savage assassins two murders instead of one.	false	463.73	489.75	19.78661
