6233_61742_000004_000000	CHAPTER THIRTY EIGHT.	CHAPTER THIRTY EIGHT.
6233_61742_000035_000000	Whatever was the reason, the truth was shunned; and an answer given, the sincerity of which was suspected by more than one who listened to it.	Whatever was the reason, the truth was shunned; and an answer given, the sincerity of which was suspected by more than one who listened to it.
6233_61742_000037_000000	While the inquiry was going on, light came in from a quartet hitherto unthought of.	While the inquiry was going on, light came in from a quartet hitherto unthought of.
6233_61742_000037_000001	The landlord of the Rough and Ready, who had come uncalled to the council, after forcing his way through the crowd, proclaimed himself willing to communicate some facts worth their hearing--in short, the very facts they were endeavouring to find out: when Henry Poindexter had been last seen, and what the direction he had taken.	The landlord of the Rough and Ready, who had come uncalled to the council, after forcing his way through the crowd, proclaimed himself willing to communicate some facts worth their hearing-in short, the very facts they were endeavouring to find out: when Henry Poindexter had been last seen, and what the direction he had taken.
6233_61742_000038_000000	Oberdoffer's testimony, delivered in a semi-Teutonic tongue, was to the effect: that Maurice the mustanger--who had been staying at his hotel ever since his fight with Captain Calhoun--had that night ridden out at a late hour, as he had done for several nights before.	Oberdoffer's testimony, delivered in a semi Teutonic tongue, was to the effect: that Maurice the mustanger-who had been staying at his hotel ever since his fight with Captain Calhoun-had that night ridden out at a late hour, as he had done for several nights before.
6233_61742_000040_000000	Where he had procured the money "Gott" only knew, or why he left the hotel in such a hurry.	Where he had procured the money "Gott" only knew, or why he left the hotel in such a hurry.
6233_61742_000041_000000	On one of these the village Boniface supposed him to have gone.	On one of these the village Boniface supposed him to have gone.
6233_61742_000042_000000	What had all this to do with the question before the council?	What had all this to do with the question before the council?
6233_61742_000043_000000	This was all Mr Oberdoffer knew of the matter; and all he could be expected to tell.	This was all Mr Oberdoffer knew of the matter; and all he could be expected to tell.
6233_61742_000044_000001	It furnished a sort of clue to the direction they ought to take.	It furnished a sort of clue to the direction they ought to take.
6233_61742_000044_000002	If the missing man had gone off with Maurice the mustanger, or after him, he should be looked for on the road the latter himself would be likely to have taken.	If the missing man had gone off with Maurice the mustanger, or after him, he should be looked for on the road the latter himself would be likely to have taken.
6233_61742_000045_000000	Did any one know where the horse-hunter had his home?	Did any one know where the horse hunter had his home?
