6075_57154_000000_000000	"There is not a man you see who couldn't give a reason for his being there.	"There is not a man you see who couldn't give a reason for his being there.	false	0	5.67	17.75292
6075_57154_000003_000006	But he was not so dull but that he knew how to make use of his accomplishment, so as always to be able to get a mount on a friend's horses.	But he was not so dull but that he knew how to make use of his accomplishment, so as always to be able to get a mount on a friend's horses.	true	129.68	138.01	18
6075_57154_000003_000007	If a man wanted to make a horse, or to try a horse, or to sell a horse, or to buy a horse, he delighted to put Major Caneback up.	If a man wanted to make a horse, or to try a horse, or to sell a horse, or to buy a horse, he delighted to put Major Caneback up.	true	138.44	147.07	18.619963
6075_57154_000003_000008	The Major was sympathetic and made his friend's horses, and tried them, and sold them.	The Major was sympathetic and made his friend's horses, and tried them, and sold them.	true	147.38	152.44	17
6075_57154_000003_000009	Then he would take his two bottles of wine,--of course from his friend's cellar,--and when asked about the day's sport would be oracular in two words, "Rather slow," "Quick spurt," "Goodish thing," "Regularly mulled," and such like.	Then he would take his two bottles of wine,--of course from his friend's cellar,--and when asked about the day's sport would be oracular in two words, "Rather slow," "Quick spurt," "Goodish thing," "Regularly mulled," and such like.	false	152.9	170.35	19.741255
6075_57154_000003_000010	Nevertheless it was a great thing to have Major Caneback with you.	Nevertheless it was a great thing to have Major Caneback with you.	true	170.9	174.7	16
6075_57154_000003_000011	To the list of those who rode well and quietly must in justice be added our friend Larry Twentyman, who was in truth a good horseman.	To the list of those who rode well and quietly must in justice be added our friend Larry Twentyman, who was in truth a good horseman.	true	174.98	183.25	18
6075_57154_000003_000012	And he had three things to do which it was difficult enough to combine.	And he had three things to do which it was difficult enough to combine.	true	183.59	187.45	16
6075_57154_000003_000013	He had a young horse which he would have liked to sell; he had to coach Kate Masters on his pony;--and he desired to ride like Major Caneback.	He had a young horse which he would have liked to sell; he had to coach Kate Masters on his pony;--and he desired to ride like Major Caneback.	false	187.76	196.9	18.233612
6075_57154_000004_000000	From Impington Park they went in a straight line to Littleton Gorse skirting certain small woods which the fox disdained to enter.	From Impington Park they went in a straight line to Littleton Gorse skirting certain small woods which the fox disdained to enter.	true	197.72	205.78	16
6075_57154_000004_000001	Here the pace was very good, and the country was all grass.	Here the pace was very good, and the country was all grass.	false	206.15	209.77	18.974937
6075_57154_000004_000002	It was the very cream of the U. R. U.; and could the Senator have read the feelings of the dozen leading men in the run, he would have owned that they were for the time satisfied with their amusement.	It was the very cream of the u r u; and could the Senator have read the feelings of the dozen leading men in the run, he would have owned that they were for the time satisfied with their amusement.	true	210.02	222.16	16
6075_57154_000004_000003	Could he have read Kate Masters' feelings he would have had to own that she was in an earthly Paradise.	Could he have read Kate Masters' feelings he would have had to own that she was in an earthly Paradise.	true	222.32	228.49	17
6075_57154_000004_000004	When the pony paused at the big brook, brought his four legs steadily down on the brink as though he were going to bathe, then with a bend of his back leaped to the other side, dropping his hind legs in and instantly recovering them, and when she saw that Larry had waited just a moment for her, watching to see what might be her fate, she was in heaven.	When the pony paused at the big brook, brought his four legs steadily down on the brink as though he were going to bathe, then with a bend of his back leaped to the other side, dropping his hind legs in and instantly recovering them, and when she saw that Larry had waited just a moment for her, watching to see what might be her fate, she was in heaven.	false	228.8	250.26	18.616549
6075_57154_000004_000005	"Wasn't it a big one, Larry?" she asked in her triumph.	"Wasn't it a big one, Larry?" she asked in her triumph.	true	250.26	253.06	15
6075_57154_000004_000006	"He did go in behind!" "Those cats of things always do it somehow," Larry replied darting forward again and keeping the Major well in his eye.	"He did go in behind!" "Those cats of things always do it somehow," Larry replied darting forward again and keeping the Major well in his eye.	true	253.16	262.03	16.786066
6075_57154_000004_000007	The brook had stopped one or two, and tidings came up that Ned Botsey had broken his horse's back. The knowledge of the brook had sent some round by the road,--steady riding men such as Mr. Runciman and Doctor Nupper.	The brook had stopped one or two, and tidings came up that Ned Botsey had broken his horse's back. The knowledge of the brook had sent some round by the road,--steady riding men such as mr Runciman and Doctor Nupper.	true	262.49	276.49	17
6075_57154_000004_000008	Captain Glomax had got into it and came up afterwards wet through, with temper by no means improved.	Captain Glomax had got into it and came up afterwards wet through, with temper by no means improved.	true	277.01	283.18	18
6075_57154_000004_000009	But the glory of the day had been the way in which Lord Rufford's young bay mare, who had never seen a brook before, had flown over it with the Major on her back, taking it, as Larry afterwards described, "just in her stride, without condescending to look at it.	But the glory of the day had been the way in which Lord Rufford's young bay mare, who had never seen a brook before, had flown over it with the Major on her back, taking it, as Larry afterwards described, "just in her stride, without condescending to look at it.	false	283.34	298.6	16
6075_57154_000004_000010	I was just behind the Major, and saw her do it." Larry understood that a man should never talk of his own place in a run, but he didn't quite understand that neither should he talk of having been close to another man who was supposed to have had the best of it.	I was just behind the Major, and saw her do it." Larry understood that a man should never talk of his own place in a run, but he didn't quite understand that neither should he talk of having been close to another man who was supposed to have had the best of it.	true	298.88	312.61	16
6075_57154_000004_000011	Lord Rufford, who didn't talk much of these things, quite understood that he had received full value for his billet and mount in the improved character of his mare.	Lord Rufford, who didn't talk much of these things, quite understood that he had received full value for his billet and mount in the improved character of his mare.	true	313.04	322.12	15
6075_57154_000005_000000	Then there was a little difficulty at the boundary fence of Impington Hall Farm.	Then there was a little difficulty at the boundary fence of Impington Hall Farm.	false	323.06	327.4	14
6075_57154_000005_000001	The Major who didn't know the ground, tried it at an impracticable place, and brought his mare down.	The Major who didn't know the ground, tried it at an impracticable place, and brought his mare down.	false	327.65	333.73	18
6075_57154_000005_000002	But she fell at the right side, and he was quick enough in getting away from her, not to fall under her in the ditch.	But she fell at the right side, and he was quick enough in getting away from her, not to fall under her in the ditch.	true	333.86	339.97	15
6075_57154_000005_000003	Tony Tuppet, who knew every foot of that double ditch and bank, and every foot in the hedge above, kept well to the left and crept through a spot where one ditch ran into the other, intersecting of the fence.	Tony Tuppet, who knew every foot of that double ditch and bank, and every foot in the hedge above, kept well to the left and crept through a spot where one ditch ran into the other, intersecting of the fence.	false	340.52	353.02	17
6075_57154_000005_000004	Tony, like a knowing huntsman as he was, rode always for the finish and not for immediate glory.	Tony, like a knowing huntsman as he was, rode always for the finish and not for immediate glory.	false	353.42	359.35	15
6075_57154_000005_000005	Both Lord Rufford and Hampton, who in spite of their affected nonchalance were in truth rather riding against one another, took it all in a fly, choosing a lighter spot than that which the Major had encountered.	Both Lord Rufford and Hampton, who in spite of their affected nonchalance were in truth rather riding against one another, took it all in a fly, choosing a lighter spot than that which the Major had encountered.	false	359.99	372.67	15
6075_57154_000005_000006	Larry had longed to follow them, or rather to take it alongside of them, but was mindful at last of Kate and hurried down the ditch to the spot which Tony had chosen and which was now crowded by horsemen.	Larry had longed to follow them, or rather to take it alongside of them, but was mindful at last of Kate and hurried down the ditch to the spot which Tony had chosen and which was now crowded by horsemen.	false	373.1	385.36	15
6075_57154_000005_000007	"He would have done it as well as the best of them," said Kate, panting for breath.	"He would have done it as well as the best of them," said Kate, panting for breath.	true	385.97	389.89	17.484993
6075_57154_000006_000000	"We're all right," said Larry.	"We're all right," said Larry.	true	390.68	392.145	15
6075_57154_000006_000001	"Follow me.	"Follow me.	true	392.145	392.98	18.185507
6075_57154_000006_000002	Don't let them hustle you out.	Don't let them hustle you out.	true	393.11	394.63	16
6075_57154_000006_000003	Now, Mat, can't you make way for a lady half a minute?" Mat growled, quite understanding the use which was being made of Kate Masters; but he did give way and was rewarded with a gracious smile. "You are going uncommon well, Miss Kate," said Mat, "and I won't stop you." "I am so much obliged to you, Mr. Ruggles," said Kate, not scrupling for a moment to take the advantage offered her.	Now, Mat, can't you make way for a lady half a minute?" Mat growled, quite understanding the use which was being made of Kate Masters; but he did give way and was rewarded with a gracious smile. "You are going uncommon well, Miss Kate," said Mat, "and I won't stop you." "I am so much obliged to you, mr Ruggles," said Kate, not scrupling for a moment to take the advantage offered her.	true	394.79	417.76	16.979336
6075_57154_000006_000004	The fox had turned a little to the left, which was in Larry's favour, and the Major was now close to him, covered on one side with mud, but still looking as though the mud were all right.	The fox had turned a little to the left, which was in Larry's favour, and the Major was now close to him, covered on one side with mud, but still looking as though the mud were all right.	false	418.22	428.08	15
6075_57154_000006_000005	There are some men who can crush their hats, have their boots and breeches full of water, and be covered with dirt from their faces downwards, and yet look as though nothing were amiss, while, with others, the marks of a fall are always provocative either of pity or ridicule.	There are some men who can crush their hats, have their boots and breeches full of water, and be covered with dirt from their faces downwards, and yet look as though nothing were amiss, while, with others, the marks of a fall are always provocative either of pity or ridicule.	true	428.51	443.92	15
6075_57154_000006_000006	"I hope you're not hurt, Major Caneback," said Larry, glad of the occasion to speak to so distinguished an individual.	"I hope you're not hurt, Major Caneback," said Larry, glad of the occasion to speak to so distinguished an individual.	true	444.47	450.97	13
6075_57154_000006_000007	The Major grunted as he rode on, finding no necessity here even for his customary two words.	The Major grunted as he rode on, finding no necessity here even for his customary two words.	true	451.31	457.33	11
6075_57154_000006_000008	Little accidents, such as that, were the price he paid for his day's entertainment.	Little accidents, such as that, were the price he paid for his day's entertainment.	true	457.76	462.37	16
6075_57154_000007_000000	As they got within view of Littleton Gorse Hampton, Lord Rufford, and Tony had the best of it, though two or three farmers were very close to them.	As they got within view of Littleton Gorse Hampton, Lord Rufford, and Tony had the best of it, though two or three farmers were very close to them.	true	463.28	471.79	15.888327
6075_57154_000007_000001	At this moment Tony's mind was much disturbed, and he looked round more than once for Captain Glomax.	At this moment Tony's mind was much disturbed, and he looked round more than once for Captain Glomax.	true	471.95	478.24	15
6075_57154_000007_000002	Captain Glomax had got into the brook, and had then ridden down to the high road which ran here near to them and which, as he knew, ran within one field of the gorse.	Captain Glomax had got into the brook, and had then ridden down to the high road which ran here near to them and which, as he knew, ran within one field of the gorse.	false	478.52	489.37	15
6075_57154_000007_000003	He had lost his place and had got a ducking and was a little out of humour with things in general.	He had lost his place and had got a ducking and was a little out of humour with things in general.	true	489.62	494.98	17
6075_57154_000007_000004	It had not been his purpose to go to Impington on this day, and he was still, in his mind, saying evil things of the U. R. U. respecting that poisoned fox.	It had not been his purpose to go to Impington on this day, and he was still, in his mind, saying evil things of the u r u respecting that poisoned fox.	false	495.29	505.54	14
6075_57154_000007_000005	Perhaps he was thinking, as itinerant masters often must think, that it was very hard to have to bear so many unpleasant things for a poor L2,000 a year, and meditating, as he had done for the last two seasons, a threat that unless the money were increased, he wouldn't hunt the country more than three times a week.	Perhaps he was thinking, as itinerant masters often must think, that it was very hard to have to bear so many unpleasant things for a poor L two thousand a year, and meditating, as he had done for the last two seasons, a threat that unless the money were increased, he wouldn't hunt the country more than three times a week.	false	505.94	525.94	15
6075_57154_000007_000006	As Tony got near to the gorse and also near to the road he managed with infinite skill to get the hounds off the scent, and to make a fictitious cast to the left as though he thought the fox had traversed that way.	As Tony got near to the gorse and also near to the road he managed with infinite skill to get the hounds off the scent, and to make a fictitious cast to the left as though he thought the fox had traversed that way.	true	526.4	539.05	16
6075_57154_000007_000007	Tony knew well enough that the fox was at that moment in Littleton Gorse;--but he knew also that the gorse was only six acres, that such a fox as he had before him wouldn't stay there two minutes after the first hound was in it, and that Dillsborough Wood,--which to his imagination was full of poison,--would then be only a mile and a half before him. Tony, whose fault was a tendency to mystery,--as is the fault of most huntsmen,--having accomplished his object in stopping the hounds, pretended to cast about with great diligence.	Tony knew well enough that the fox was at that moment in Littleton Gorse;--but he knew also that the gorse was only six acres, that such a fox as he had before him wouldn't stay there two minutes after the first hound was in it, and that Dillsborough Wood,--which to his imagination was full of poison,--would then be only a mile and a half before him. Tony, whose fault was a tendency to mystery,--as is the fault of most huntsmen,--having accomplished his object in stopping the hounds, pretended to cast about with great diligence.	true	539.39	571.54	18.703192
6075_57154_000007_000008	He crossed the road and was down one side of a field and along another, looking anxiously for the Captain.	He crossed the road and was down one side of a field and along another, looking anxiously for the Captain.	true	571.85	577.57	17
6075_57154_000007_000009	"The fox has gone on to the gorse," said the elder Botsey; "what a stupid old pig he is;"--meaning that Tony Tuppett was the pig.	"The fox has gone on to the gorse," said the elder Botsey; "what a stupid old pig he is;"--meaning that Tony Tuppett was the pig.	true	577.91	585.52	18.571194
6075_57154_000008_000000	"He was seen going on," said Larry, who had come across a man mending a drain.	"He was seen going on," said Larry, who had come across a man mending a drain.	true	586.13	590.8	16.797884
6075_57154_000009_000000	"It would be his run of course," said Hampton, who was generally up to Tony's wiles, but who was now as much in the dark as others. Then four or five rode up to the huntsman and told him that the fox had been seen heading for the gorse.	"It would be his run of course," said Hampton, who was generally up to Tony's wiles, but who was now as much in the dark as others. Then four or five rode up to the huntsman and told him that the fox had been seen heading for the gorse.	false	591.26	604.54	17.582365
6075_57154_000009_000001	Tony said not a word but bit his lips and scratched his head and bethought himself what fools men might be even though they did ride well to hounds.	Tony said not a word but bit his lips and scratched his head and bethought himself what fools men might be even though they did ride well to hounds.	false	604.88	613.57	15
6075_57154_000009_000002	One word of explanation would have settled it all, but he would not speak that word till he whispered it to Captain Glomax.	One word of explanation would have settled it all, but he would not speak that word till he whispered it to Captain Glomax.	false	614.18	621.22	18
6075_57154_000010_000000	In the meantime there was a crowd in the road waiting to see the result of Tony's manoeuvres.	In the meantime there was a crowd in the road waiting to see the result of Tony's manoeuvres.	true	621.86	626.38	12
6075_57154_000010_000001	And then, as is usual on such occasions, a little mild repartee went about,--what the sportsmen themselves would have called "chaff." Ned Botsey came up, not having broken his horse's back as had been rumoured, but having had to drag the brute out of the brook with the help of two countrymen, and the Major was asked about his fall till he was forced to open his mouth. "Double ditch;--mare fell;--matter of course." And then he got himself out of the crowd, disgusted with the littleness of mankind. Lord Rufford had been riding a very big chestnut horse, and had watched the anxious struggles of Kate Masters to hold her place. Kate, though fifteen, and quite up to that age in intelligence and impudence, was small and looked almost a child.	And then, as is usual on such occasions, a little mild repartee went about,--what the sportsmen themselves would have called "chaff." Ned Botsey came up, not having broken his horse's back as had been rumoured, but having had to drag the brute out of the brook with the help of two countrymen, and the Major was asked about his fall till he was forced to open his mouth. "Double ditch;--mare fell;--matter of course." And then he got himself out of the crowd, disgusted with the littleness of mankind. Lord Rufford had been riding a very big chestnut horse, and had watched the anxious struggles of Kate Masters to hold her place. Kate, though fifteen, and quite up to that age in intelligence and impudence, was small and looked almost a child.	false	626.69	672.88	19.01443
6075_57154_000010_000002	"That's a nice pony of yours, my dear," said the Lord.	"That's a nice pony of yours, my dear," said the Lord.	true	673.31	676.06	19
6075_57154_000010_000003	Kate, who didn't quite like being called "my dear," but who knew that a lord has privileges, said that it was a very good pony.	Kate, who didn't quite like being called "my dear," but who knew that a lord has privileges, said that it was a very good pony.	true	676.31	684.01	17.339287
6075_57154_000010_000004	"Suppose we change," said his lordship. "Could you ride my horse?" "He's very big," said Kate.	"Suppose we change," said his lordship. "Could you ride my horse?" "He's very big," said Kate.	true	684.29	690.19	15.905005
6075_57154_000010_000005	"You'd look like a tom-tit on a haystack," said his lordship.	"You'd look like a tom tit on a haystack," said his lordship.	true	690.83	694.15	18.983347
6075_57154_000010_000006	"And if you got on my pony, you'd look like a haystack on a tom-tit," said Kate.	"And if you got on my pony, you'd look like a haystack on a tom tit," said Kate.	true	694.58	698.77	16
6075_57154_000010_000007	Then it was felt that Kate Masters had had the best of that little encounter. "Yes;--I got one there," said Lord Rufford, while his friends were laughing at him.	Then it was felt that Kate Masters had had the best of that little encounter. "Yes;--I got one there," said Lord Rufford, while his friends were laughing at him.	true	699.29	708.37	18.422293
6075_57154_000011_000000	At length Captain Glomax was seen in the road and Tony was with him at once, whispering in his ear that the hounds if allowed to go on would certainly run into Dillsborough Wood.	At length Captain Glomax was seen in the road and Tony was with him at once, whispering in his ear that the hounds if allowed to go on would certainly run into Dillsborough Wood.	true	708.86	719.31	18.143017
6075_57154_000011_000001	"D---- the hounds," muttered the Captain; but he knew too well what he was about to face--so terrible a danger.	"D---- the hounds," muttered the Captain; but he knew too well what he was about to face-so terrible a danger.	false	719.31	726.37	18.300486
6075_57154_000011_000002	"They're going home," he said as soon as he had joined Lord Rufford and the crowd.	"They're going home," he said as soon as he had joined Lord Rufford and the crowd.	true	726.5	730.6	16.10073
6075_57154_000012_000000	"Going home!" exclaimed a pink-coated young rider of a hired horse which had been going well with him; and as he said so he looked at his watch.	"Going home!" exclaimed a pink coated young rider of a hired horse which had been going well with him; and as he said so he looked at his watch.	true	731.06	739.6	16.580807
6075_57154_000013_000000	"Unless you particularly wish me to take the hounds to some covert twenty miles off," answered the sarcastic Master.	"Unless you particularly wish me to take the hounds to some covert twenty miles off," answered the sarcastic Master.	false	740.33	747.07	16
6075_57154_000014_000000	"The fox certainly went on to Littleton," said the elder Botsey.	"The fox certainly went on to Littleton," said the elder Botsey.	true	747.74	751.18	15
6075_57154_000015_000000	"My dear fellow," said the Captain, "I can tell you where the fox went quite as well as you can tell me.	"My dear fellow," said the Captain, "I can tell you where the fox went quite as well as you can tell me.	true	751.67	757	16.601728
6075_57154_000015_000001	Do allow a man to know what he's about some times."	Do allow a man to know what he's about some times."	true	757.04	760.03	17
6075_57154_000016_000000	"It isn't generally the custom here to take the hounds off a running fox," continued Botsey, who subscribed L50, and did not like being snubbed.	"It isn't generally the custom here to take the hounds off a running fox," continued Botsey, who subscribed l fifty, and did not like being snubbed.	false	760.97	769.87	18
6075_57154_000017_000000	"And it isn't generally the custom to have fox-coverts poisoned," said the Captain, assuming to himself the credit due to Tony's sagacity.	"And it isn't generally the custom to have fox coverts poisoned," said the Captain, assuming to himself the credit due to Tony's sagacity.	true	770.66	778.6	18
6075_57154_000017_000001	"If you wish to be Master of these hounds I haven't the slightest objection, but while I'm responsible you must allow me to do my work according to my own judgment." Then the thing was understood and Captain Glomax was allowed to carry off the hounds and his ill-humour without another word.	"If you wish to be Master of these hounds I haven't the slightest objection, but while I'm responsible you must allow me to do my work according to my own judgment." Then the thing was understood and Captain Glomax was allowed to carry off the hounds and his ill humour without another word.	false	778.97	794.92	18.985928
6075_57154_000018_000000	But just at that moment, while the hounds and the master, and Lord Rufford and his friends, were turning back in their own direction, John Morton came up with his carriage and the Senator.	But just at that moment, while the hounds and the master, and Lord Rufford and his friends, were turning back in their own direction, john Morton came up with his carriage and the Senator.	true	795.62	805.36	15
6075_57154_000018_000001	"Is it all over?" asked the Senator.	"Is it all over?" asked the Senator.	true	805.73	807.76	19.784761
6075_57154_000019_000000	"All over for to-day," said Lord Rufford.	"All over for to day," said Lord Rufford.	true	808.28	810.435	17
6075_57154_000020_000000	"Did you catch the animal?"	"Did you catch the animal?"	true	810.435	811.66	19.140747
6075_57154_000021_000000	"No, Mr. Gotobed; we couldn't catch him.	"No, mr Gotobed; we couldn't catch him.	true	812.42	814.87	20
6075_57154_000021_000001	To tell the truth we didn't try; but we had a nice little skurry for four or five miles."	To tell the truth we didn't try; but we had a nice little skurry for four or five miles."	true	814.97	819.94	17.958006
6075_57154_000022_000000	"Some of you look very wet." Captain Glomax and Ned Botsey were standing near the carriage; but the Captain as soon as he heard this, broke into a trot and followed the hounds.	"Some of you look very wet." Captain Glomax and Ned Botsey were standing near the carriage; but the Captain as soon as he heard this, broke into a trot and followed the hounds.	true	820.82	829.66	16
6075_57154_000023_000000	"Some of us are very wet," said Ned.	"Some of us are very wet," said Ned.	true	830.15	832.095	16
6075_57154_000023_000001	"That's part of the fun."	"That's part of the fun."	true	832.095	833.26	18.577814
6075_57154_000024_000000	"Oh;--that's part of the fun.	"Oh;--that's part of the fun.	true	833.6	835.3	20.02573
6075_57154_000024_000001	You found one fox dead and you didn't kill another because you didn't try.	You found one fox dead and you didn't kill another because you didn't try.	true	835.46	838.995	11
6075_57154_000024_000002	Well; Mr. Morton, I don't think I shall take to fox hunting even though they should introduce it in Mickewa.	Well; mr Morton, I don't think I shall take to fox hunting even though they should introduce it in Mickewa.	true	838.995	844.72	17
6075_57154_000024_000003	What's become of the rest of the men?"	What's become of the rest of the men?"	true	845.18	846.76	22.011065
6075_57154_000025_000000	"Most of them are in the brook," said Ned Botsey as he rode on towards Dillsborough.	"Most of them are in the brook," said Ned Botsey as he rode on towards Dillsborough.	true	847.37	851.5	14
6075_57154_000026_000000	Mr. Runciman was also there and trotted on homewards with Botsey, Larry, and Kate Masters.	mr Runciman was also there and trotted on homewards with Botsey, Larry, and Kate Masters.	true	852.41	857.86	13
6075_57154_000026_000001	"I think I've won my bet," said the hotel-keeper.	"I think I've won my bet," said the hotel keeper.	false	858.32	860.86	19.534115
6075_57154_000027_000000	"I don't see that at all.	"I don't see that at all.	true	861.44	862.695	16.353916
6075_57154_000027_000001	We didn't find in Dillsborough Wood."	We didn't find in Dillsborough Wood."	true	862.695	864.67	15
6075_57154_000028_000000	"I say we did find in Dillsborough Wood.	"I say we did find in Dillsborough Wood.	true	865.49	867.855	16
6075_57154_000028_000001	We found a fox though unfortunately the poor brute was dead."	We found a fox though unfortunately the poor brute was dead."	true	867.855	871.3	16
6075_57154_000029_000000	"The bet's off I should say.	"The bet's off I should say.	true	871.64	873.135	16
6075_57154_000029_000001	What do you say, Larry?"	What do you say, Larry?"	true	873.135	874.27	18
6075_57154_000030_000000	Then Runciman argued his case at great length and with much ability. It had been intended that the bet should be governed by the fact whether Dillsborough Wood did or did not contain a fox on that morning.	Then Runciman argued his case at great length and with much ability. It had been intended that the bet should be governed by the fact whether Dillsborough Wood did or did not contain a fox on that morning.	true	875.27	887.02	15
6075_57154_000030_000001	He himself had backed the wood, and Botsey had been strong in his opinion against the wood.	He himself had backed the wood, and Botsey had been strong in his opinion against the wood.	true	887.3	892.18	18.857613
6075_57154_000030_000002	Which of them had been practically right?	Which of them had been practically right?	true	892.46	894.55	19
6075_57154_000030_000003	Had not the presence of the poisoned fox shown that he was right?	Had not the presence of the poisoned fox shown that he was right?	true	894.83	898.42	16
6075_57154_000030_000004	"I think you ought to pay," said Larry.	"I think you ought to pay," said Larry.	true	898.88	900.82	17
6075_57154_000031_000000	"All right," said Botsey riding on, and telling himself that that was what came from making a bet with a man who was not a gentleman.	"All right," said Botsey riding on, and telling himself that that was what came from making a bet with a man who was not a gentleman.	true	901.46	908.71	15
6075_57154_000032_000000	"He's as unhappy about that hat," said Runciman, "as though beer had gone down a penny a gallon."	"He's as unhappy about that hat," said Runciman, "as though beer had gone down a penny a gallon."	true	909.59	919.89	15.215901
6075_57154_000033_000000	CHAPTER XII.	CHAPTER twelve.	false	919.89	919.89	
6075_57154_000034_000000	ARABELLA TREFOIL.	ARABELLA TREFOIL.	false	919.89	919.89	
6075_57154_000035_000000	On the Sunday the party from Bragton went to the parish church,--and found it very cold.	On the Sunday the party from Bragton went to the parish church,--and found it very cold.	false	919.89	919.89	
6075_57154_000035_000001	The duty was done by a young curate who lived in Dillsborough, there being no house in Bragton for him.	The duty was done by a young curate who lived in Dillsborough, there being no house in Bragton for him.	false	919.89	919.89	
6075_57154_000035_000002	The rector himself had not been in the church for the last six months, being an invalid.	The rector himself had not been in the church for the last six months, being an invalid.	false	919.89	919.89	
6075_57154_000035_000003	At present he and his wife were away in London, but the vicarage was kept up for his use.	At present he and his wife were away in London, but the vicarage was kept up for his use.	false	919.89	919.89	
6075_57154_000035_000004	The service was certainly not alluring.	The service was certainly not alluring.	false	919.89	919.89	
6075_57154_000035_000005	It was a very wet morning and the curate had ridden over from Dillsborough on a little pony which the rector kept for him in addition to the L100 per annum paid for his services.	It was a very wet morning and the curate had ridden over from Dillsborough on a little pony which the rector kept for him in addition to the l one hundred per annum paid for his services.	false	919.89	919.89	
6075_57154_000035_000006	That he should have got over his service quickly was not a matter of surprise,--nor was it wonderful that there should have been no soul-stirring matter in his discourse as he had two sermons to preach every week and to perform single-handed all the other clerical duties of a parish lying four miles distant from his lodgings.	That he should have got over his service quickly was not a matter of surprise,--nor was it wonderful that there should have been no soul stirring matter in his discourse as he had two sermons to preach every week and to perform single handed all the other clerical duties of a parish lying four miles distant from his lodgings.	false	919.89	919.89	
6075_57154_000035_000007	Perhaps had he expected the presence of so distinguished a critic as the Senator from Mickewa he might have done better.	Perhaps had he expected the presence of so distinguished a critic as the Senator from Mickewa he might have done better.	false	919.89	919.89	
6075_57154_000035_000008	As it was, being nearly wet through and muddy up to his knees, he did not do the work very well.	As it was, being nearly wet through and muddy up to his knees, he did not do the work very well.	false	919.89	919.89	
6075_57154_000035_000009	When Morton and his friends left the church and got into the carriage for their half-mile drive home across the park, Mrs. Morton was the first to speak.	When Morton and his friends left the church and got into the carriage for their half mile drive home across the park, mrs Morton was the first to speak.	false	919.89	919.89	
6075_57154_000035_000010	"John," she said, "that church is enough to give any woman her death.	"john," she said, "that church is enough to give any woman her death.	false	919.89	919.89	
6075_57154_000035_000011	I won't go there any more."	I won't go there any more."	false	919.89	919.89	
