7117_86732_000002_000000	Chapter 28.	Chapter twenty eight.
7117_86732_000027_000000	"Well, sir, I was educated at home by a poor devil of an abbe, who disappeared suddenly.	"Well, sir, I was educated at home by a poor devil of an abbe, who disappeared suddenly.
7117_86732_000028_000000	"What was his name?"	"What was his name?"
7117_86732_000029_000000	"The Abbe Faria."	"The Abbe Faria."
7117_86732_000032_000000	"Oh, he was, decidedly."	"Oh, he was, decidedly."
7117_86732_000033_000000	"Very possibly; but what sort of madness was it?"	"Very possibly; but what sort of madness was it?"
7117_86732_000034_000000	"He pretended to know of an immense treasure, and offered vast sums to the government if they would liberate him."	"He pretended to know of an immense treasure, and offered vast sums to the government if they would liberate him."
7117_86732_000035_000000	"Poor devil!--and he is dead?"	"Poor devil!--and he is dead?"
7117_86732_000036_000000	"Yes, sir, five or six months ago--last February."	"Yes, sir, five or six months ago-last February."
7117_86732_000037_000000	"You have a good memory, sir, to recollect dates so well."	"You have a good memory, sir, to recollect dates so well."
7117_86732_000038_000000	"I recollect this, because the poor devil's death was accompanied by a singular incident."	"I recollect this, because the poor devil's death was accompanied by a singular incident."
7117_86732_000041_000000	"Indeed!" said the Englishman.	"Indeed!" said the Englishman.
7117_86732_000042_000001	That man made a deep impression on me; I shall never forget his countenance!"	That man made a deep impression on me; I shall never forget his countenance!"
7117_86732_000042_000002	The Englishman smiled imperceptibly.	The Englishman smiled imperceptibly.
7117_86732_000043_000000	"And you say, sir," he interposed, "that the two dungeons"--	"And you say, sir," he interposed, "that the two dungeons"--
7117_86732_000045_000000	"This dangerous man's name was"--	"This dangerous man's name was"--
7117_86732_000046_000000	"Edmond Dantes.	"Edmond Dantes.
7117_86732_000046_000001	It appears, sir, that this Edmond Dantes had procured tools, or made them, for they found a tunnel through which the prisoners held communication with one another."	It appears, sir, that this Edmond Dantes had procured tools, or made them, for they found a tunnel through which the prisoners held communication with one another."
7117_86732_000047_000000	"This tunnel was dug, no doubt, with an intention of escape?"	"This tunnel was dug, no doubt, with an intention of escape?"
7117_86732_000048_000000	"No doubt; but unfortunately for the prisoners, the Abbe Faria had an attack of catalepsy, and died."	"No doubt; but unfortunately for the prisoners, the Abbe Faria had an attack of catalepsy, and died."
7117_86732_000049_000000	"That must have cut short the projects of escape."	"That must have cut short the projects of escape."
7117_86732_000052_000000	"As I have already told you, sir, he was a very dangerous man; and, fortunately, by his own act disembarrassed the government of the fears it had on his account."	"As I have already told you, sir, he was a very dangerous man; and, fortunately, by his own act disembarrassed the government of the fears it had on his account."
7117_86732_000053_000000	"How was that?"	"How was that?"
7117_86732_000054_000000	"How?	"How?
7117_86732_000054_000001	Do you not comprehend?"	Do you not comprehend?"
7117_86732_000055_000000	"No."	"no"
7117_86732_000056_000000	"The Chateau d'If has no cemetery, and they simply throw the dead into the sea, after fastening a thirty-six pound cannon-ball to their feet."	"The Chateau d'If has no cemetery, and they simply throw the dead into the sea, after fastening a thirty six pound cannon ball to their feet."
7117_86732_000057_000000	"Well," observed the Englishman as if he were slow of comprehension.	"Well," observed the Englishman as if he were slow of comprehension.
7117_86732_000058_000000	"Well, they fastened a thirty-six pound ball to his feet, and threw him into the sea."	"Well, they fastened a thirty six pound ball to his feet, and threw him into the sea."
7117_86732_000059_000000	"Really!" exclaimed the Englishman.	"Really!" exclaimed the Englishman.
7117_86732_000060_000000	"Yes, sir," continued the inspector of prisons.	"Yes, sir," continued the inspector of prisons.
7117_86732_000060_000002	I should like to have seen his face at that moment."	I should like to have seen his face at that moment."
7117_86732_000061_000000	"That would have been difficult."	"That would have been difficult."
7117_86732_000063_000000	"So can I," said the Englishman, and he laughed too; but he laughed as the English do, "at the end of his teeth."	"So can I," said the Englishman, and he laughed too; but he laughed as the English do, "at the end of his teeth."
7117_86732_000064_000000	"And so," continued the Englishman who first gained his composure, "he was drowned?"	"And so," continued the Englishman who first gained his composure, "he was drowned?"
7117_86732_000065_000000	"Unquestionably."	"Unquestionably."
7117_86732_000066_000000	"So that the governor got rid of the dangerous and the crazy prisoner at the same time?"	"So that the governor got rid of the dangerous and the crazy prisoner at the same time?"
7117_86732_000067_000000	"Precisely."	"Precisely."
7117_86732_000068_000000	"But some official document was drawn up as to this affair, I suppose?" inquired the Englishman.	"But some official document was drawn up as to this affair, I suppose?" inquired the Englishman.
7117_86732_000069_000000	"Yes, yes, the mortuary deposition.	"Yes, yes, the mortuary deposition.
7117_86732_000069_000001	You understand, Dantes' relations, if he had any, might have some interest in knowing if he were dead or alive."	You understand, Dantes' relations, if he had any, might have some interest in knowing if he were dead or alive."
7117_86732_000071_000000	"Oh, yes; and they may have the fact attested whenever they please."	"Oh, yes; and they may have the fact attested whenever they please."
7117_86732_000072_000001	"But to return to these registers."	"But to return to these registers."
7117_86732_000073_000000	"True, this story has diverted our attention from them.	"True, this story has diverted our attention from them.
7117_86732_000073_000001	Excuse me."	Excuse me."
7117_86732_000074_000000	"Excuse you for what?	"Excuse you for what?
7117_86732_000074_000001	For the story?	For the story?
7117_86732_000077_000006	Then he saw through the whole thing.	Then he saw through the whole thing.
7117_86732_000077_000008	He was no longer astonished when he searched on to find in the register this note, placed in a bracket against his name:--	He was no longer astonished when he searched on to find in the register this note, placed in a bracket against his name:--
7117_86732_000078_000000	Edmond Dantes.	Edmond Dantes.
7117_86732_000079_000000	An inveterate Bonapartist; took an active part in the return from the Island of Elba.	An inveterate Bonapartist; took an active part in the return from the Island of Elba.
7117_86732_000080_000000	To be kept in strict solitary confinement, and to be closely watched and guarded.	To be kept in strict solitary confinement, and to be closely watched and guarded.
7117_86732_000081_000000	Beneath these lines was written in another hand: "See note above--nothing can be done." He compared the writing in the bracket with the writing of the certificate placed beneath Morrel's petition, and discovered that the note in the bracket was the same writing as the certificate--that is to say, was in Villefort's handwriting.	Beneath these lines was written in another hand: "See note above-nothing can be done." He compared the writing in the bracket with the writing of the certificate placed beneath Morrel's petition, and discovered that the note in the bracket was the same writing as the certificate-that is to say, was in Villefort's handwriting.
7117_86732_000082_000000	As we have said, the inspector, from discretion, and that he might not disturb the Abbe Faria's pupil in his researches, had seated himself in a corner, and was reading Le Drapeau Blanc.	As we have said, the inspector, from discretion, and that he might not disturb the Abbe Faria's pupil in his researches, had seated himself in a corner, and was reading Le Drapeau Blanc.
7117_86732_000083_000000	"Thanks," said the latter, closing the register with a slam, "I have all I want; now it is for me to perform my promise.	"Thanks," said the latter, closing the register with a slam, "I have all I want; now it is for me to perform my promise.
