7117_86732_000000_000000	"In what way?"	"In what way?"	false	0	1.53	19.718533
7117_86732_000005_000002	The Englishman, with the coolness of his nation, addressed him in terms nearly similar to those with which he had accosted the mayor of Marseilles.	The Englishman, with the coolness of his nation, addressed him in terms nearly similar to those with which he had accosted the mayor of Marseilles.	true	165.77	173.5	19
7117_86732_000005_000003	"Oh, sir," exclaimed M. de Boville, "your fears are unfortunately but too well founded, and you see before you a man in despair.	"Oh, sir," exclaimed m de Boville, "your fears are unfortunately but too well founded, and you see before you a man in despair.	false	174.26	182.95	22.317324
7117_86732_000005_000004	I had two hundred thousand francs placed in the hands of Morrel & Son; these two hundred thousand francs were the dowry of my daughter, who was to be married in a fortnight, and these two hundred thousand francs were payable, half on the 15th of this month, and the other half on the 15th of next month.	I had two hundred thousand francs placed in the hands of Morrel and Son; these two hundred thousand francs were the dowry of my daughter, who was to be married in a fortnight, and these two hundred thousand francs were payable, half on the fifteenth of this month, and the other half on the fifteenth of next month.	false	183.2	198.91	22.023447
7117_86732_000005_000005	I had informed M. Morrel of my desire to have these payments punctually, and he has been here within the last half-hour to tell me that if his ship, the Pharaon, did not come into port on the 15th, he would be wholly unable to make this payment."	I had informed m Morrel of my desire to have these payments punctually, and he has been here within the last half hour to tell me that if his ship, the Pharaon, did not come into port on the fifteenth, he would be wholly unable to make this payment."	false	199.25	212.95	21.482485
7117_86732_000006_000000	"But," said the Englishman, "this looks very much like a suspension of payment."	"But," said the Englishman, "this looks very much like a suspension of payment."	true	214.22	218.74	23.036846
7117_86732_000007_000000	"It looks more like bankruptcy!" exclaimed M. de Boville despairingly.	"It looks more like bankruptcy!" exclaimed m de Boville despairingly.	false	218.96	223.36	23.172483
7117_86732_000008_000000	The Englishman appeared to reflect a moment, and then said,--"From which it would appear, sir, that this credit inspires you with considerable apprehension?"	The Englishman appeared to reflect a moment, and then said,--"From which it would appear, sir, that this credit inspires you with considerable apprehension?"	true	224.27	233.23	22.375326
7117_86732_000009_000000	"To tell you the truth, I consider it lost."	"To tell you the truth, I consider it lost."	true	233.9	236.47	21.044611
7117_86732_000010_000000	"Well, then, I will buy it of you!"	"Well, then, I will buy it of you!"	true	237.08	239.32	21.477678
7117_86732_000011_000000	"You?"	"You?"	true	239.6	240.34	27.69721
7117_86732_000012_000000	"Yes, I!"	"Yes, I!"	true	240.59	241.81	23.585066
7117_86732_000013_000000	"But at a tremendous discount, of course?"	"But at a tremendous discount, of course?"	true	242.33	244.57	24.424162
7117_86732_000014_000000	"No, for two hundred thousand francs.	"No, for two hundred thousand francs.	true	244.85	247.635	23.366203
7117_86732_000014_000001	Our house," added the Englishman with a laugh, "does not do things in that way."	Our house," added the Englishman with a laugh, "does not do things in that way."	true	247.635	251.71	20.915998
7117_86732_000015_000000	"And you will pay"--	"And you will pay"--	true	252.17	253.54	26.056128
7117_86732_000016_000000	"Ready money." And the Englishman drew from his pocket a bundle of bank-notes, which might have been twice the sum M. de Boville feared to lose.	"Ready money." And the Englishman drew from his pocket a bundle of bank notes, which might have been twice the sum m de Boville feared to lose.	false	253.91	262.48	21.303558
7117_86732_000016_000001	A ray of joy passed across M. de Boville's countenance, yet he made an effort at self-control, and said,--"Sir, I ought to tell you that, in all probability, you will not realize six per cent of this sum."	A ray of joy passed across m de Boville's countenance, yet he made an effort at self control, and said,--"Sir, I ought to tell you that, in all probability, you will not realize six per cent of this sum."	false	262.79	275.29	21.828773
7117_86732_000017_000000	"That's no affair of mine," replied the Englishman, "that is the affair of the house of Thomson & French, in whose name I act.	"That's no affair of mine," replied the Englishman, "that is the affair of the house of Thomson and French, in whose name I act.	true	276.11	283.09	21.409021
7117_86732_000017_000001	They have, perhaps, some motive to serve in hastening the ruin of a rival firm. But all I know, sir, is, that I am ready to hand you over this sum in exchange for your assignment of the debt.	They have, perhaps, some motive to serve in hastening the ruin of a rival firm. But all I know, sir, is, that I am ready to hand you over this sum in exchange for your assignment of the debt.	true	283.13	294.45	20
7117_86732_000017_000002	I only ask a brokerage."	I only ask a brokerage."	true	294.45	296.05	23.533897
7117_86732_000018_000000	"Of course, that is perfectly just," cried M. de Boville.	"Of course, that is perfectly just," cried m de Boville.	false	296.36	300.1	22.87518
7117_86732_000018_000001	"The commission is usually one and a half; will you have two--three--five per cent, or even more?	"The commission is usually one and a half; will you have two-three-five per cent, or even more?	false	300.56	306.79	23.123955
7117_86732_000018_000002	Whatever you say."	Whatever you say."	true	307.76	308.92	21.155333
7117_86732_000019_000000	"Sir," replied the Englishman, laughing, "I am like my house, and do not do such things--no, the commission I ask is quite different."	"Sir," replied the Englishman, laughing, "I am like my house, and do not do such things-no, the commission I ask is quite different."	true	309.86	317.47	21.704851
7117_86732_000020_000000	"Name it, sir, I beg."	"Name it, sir, I beg."	true	317.72	319.42	24.548388
7117_86732_000021_000000	"You are the inspector of prisons?"	"You are the inspector of prisons?"	true	319.85	321.85	20.525856
7117_86732_000022_000000	"I have been so these fourteen years."	"I have been so these fourteen years."	true	322.07	324.31	20.78579
7117_86732_000023_000000	"You keep the registers of entries and departures?"	"You keep the registers of entries and departures?"	true	324.92	327.67	22.648537
7117_86732_000024_000000	"I do."	"I do."	true	327.74	328.6	23.240223
7117_86732_000025_000000	"To these registers there are added notes relative to the prisoners?"	"To these registers there are added notes relative to the prisoners?"	true	329.57	333.22	19
7117_86732_000026_000000	"There are special reports on every prisoner."	"There are special reports on every prisoner."	true	333.71	336.4	23.550827
7117_86732_000027_000000	"Well, sir, I was educated at home by a poor devil of an abbe, who disappeared suddenly.	"Well, sir, I was educated at home by a poor devil of an abbe, who disappeared suddenly.	true	337.25	342.97	20.801317
7117_86732_000027_000001	I have since learned that he was confined in the Chateau d'If, and I should like to learn some particulars of his death."	I have since learned that he was confined in the Chateau d'If, and I should like to learn some particulars of his death."	false	343.25	349.57	21.46034
7117_86732_000028_000000	"What was his name?"	"What was his name?"	true	350.18	351.46	20.970625
7117_86732_000029_000000	"The Abbe Faria."	"The Abbe Faria."	true	352.04	353.38	24.197382
7117_86732_000030_000000	"Oh, I recollect him perfectly," cried M. de Boville; "he was crazy."	"Oh, I recollect him perfectly," cried m de Boville; "he was crazy."	false	353.57	358.06	23.439497
7117_86732_000031_000000	"So they said."	"So they said."	true	358.37	359.625	19.159178
7117_86732_000032_000000	"Oh, he was, decidedly."	"Oh, he was, decidedly."	true	359.625	361.24	20.934385
7117_86732_000033_000000	"Very possibly; but what sort of madness was it?"	"Very possibly; but what sort of madness was it?"	true	361.49	364.75	21.425348
7117_86732_000034_000000	"He pretended to know of an immense treasure, and offered vast sums to the government if they would liberate him."	"He pretended to know of an immense treasure, and offered vast sums to the government if they would liberate him."	true	364.97	370.27	20
7117_86732_000035_000000	"Poor devil!--and he is dead?"	"Poor devil!--and he is dead?"	true	370.91	373.15	21.80071
7117_86732_000036_000000	"Yes, sir, five or six months ago--last February."	"Yes, sir, five or six months ago-last February."	true	373.43	376.75	21.32367
7117_86732_000037_000000	"You have a good memory, sir, to recollect dates so well."	"You have a good memory, sir, to recollect dates so well."	true	377.24	380.26	22.41698
7117_86732_000038_000000	"I recollect this, because the poor devil's death was accompanied by a singular incident."	"I recollect this, because the poor devil's death was accompanied by a singular incident."	true	380.54	385.18	21.45039
7117_86732_000039_000000	"May I ask what that was?" said the Englishman with an expression of curiosity, which a close observer would have been astonished at discovering in his phlegmatic countenance.	"May I ask what that was?" said the Englishman with an expression of curiosity, which a close observer would have been astonished at discovering in his phlegmatic countenance.	false	385.61	394.99	21.538359
7117_86732_000040_000000	"Oh dear, yes, sir; the abbe's dungeon was forty or fifty feet distant from that of one of Bonaparte's emissaries,--one of those who had contributed the most to the return of the usurper in 1815,--a very resolute and very dangerous man."	"Oh dear, yes, sir; the abbe's dungeon was forty or fifty feet distant from that of one of Bonaparte's emissaries,--one of those who had contributed the most to the return of the usurper in eighteen fifteen,--a very resolute and very dangerous man."	false	395.57	409.93	20.922697
7117_86732_000041_000000	"Indeed!" said the Englishman.	"Indeed!" said the Englishman.	true	410.33	412.24	22.57351
7117_86732_000042_000000	"Yes," replied M. de Boville; "I myself had occasion to see this man in 1816 or 1817, and we could only go into his dungeon with a file of soldiers.	"Yes," replied m de Boville; "I myself had occasion to see this man in eighteen sixteen or eighteen seventeen, and we could only go into his dungeon with a file of soldiers.	false	412.4	423.19	20.66086
7117_86732_000042_000001	That man made a deep impression on me; I shall never forget his countenance!"	That man made a deep impression on me; I shall never forget his countenance!"	true	423.38	427.78	21.277777
7117_86732_000042_000002	The Englishman smiled imperceptibly.	The Englishman smiled imperceptibly.	true	428.66	430.87	23.635782
7117_86732_000043_000000	"And you say, sir," he interposed, "that the two dungeons"--	"And you say, sir," he interposed, "that the two dungeons"--	true	431.42	435.54	20.233938
7117_86732_000044_000000	"Were separated by a distance of fifty feet; but it appears that this Edmond Dantes"--	"Were separated by a distance of fifty feet; but it appears that this Edmond Dantes"--	false	435.54	440.89	22.49202
7117_86732_000045_000000	"This dangerous man's name was"--	"This dangerous man's name was"--	true	441.2	443.05	20.603138
7117_86732_000046_000000	"Edmond Dantes.	"Edmond Dantes.	true	443.27	444.49	23.666788
7117_86732_000046_000001	It appears, sir, that this Edmond Dantes had procured tools, or made them, for they found a tunnel through which the prisoners held communication with one another."	It appears, sir, that this Edmond Dantes had procured tools, or made them, for they found a tunnel through which the prisoners held communication with one another."	true	444.83	453.22	20
7117_86732_000047_000000	"This tunnel was dug, no doubt, with an intention of escape?"	"This tunnel was dug, no doubt, with an intention of escape?"	true	454.13	457.81	22.303589
7117_86732_000048_000000	"No doubt; but unfortunately for the prisoners, the Abbe Faria had an attack of catalepsy, and died."	"No doubt; but unfortunately for the prisoners, the Abbe Faria had an attack of catalepsy, and died."	true	457.97	463.6	23.369545
7117_86732_000049_000000	"That must have cut short the projects of escape."	"That must have cut short the projects of escape."	true	464.21	467.02	22.046545
7117_86732_000050_000000	"For the dead man, yes," replied M. de Boville, "but not for the survivor; on the contrary, this Dantes saw a means of accelerating his escape.	"For the dead man, yes," replied m de Boville, "but not for the survivor; on the contrary, this Dantes saw a means of accelerating his escape.	false	467.18	477.1	20.28851
7117_86732_000050_000001	He, no doubt, thought that prisoners who died in the Chateau d'If were interred in an ordinary burial-ground, and he conveyed the dead man into his own cell, took his place in the sack in which they had sewed up the corpse, and awaited the moment of interment."	He, no doubt, thought that prisoners who died in the Chateau d'If were interred in an ordinary burial ground, and he conveyed the dead man into his own cell, took his place in the sack in which they had sewed up the corpse, and awaited the moment of interment."	false	477.14	490.15	19
7117_86732_000051_000000	"It was a bold step, and one that showed some courage," remarked the Englishman.	"It was a bold step, and one that showed some courage," remarked the Englishman.	false	491.03	494.98	20.842468
7117_86732_000052_000000	"As I have already told you, sir, he was a very dangerous man; and, fortunately, by his own act disembarrassed the government of the fears it had on his account."	"As I have already told you, sir, he was a very dangerous man; and, fortunately, by his own act disembarrassed the government of the fears it had on his account."	true	495.47	504.49	20.392076
7117_86732_000053_000000	"How was that?"	"How was that?"	true	505.19	506.26	24.962145
7117_86732_000054_000000	"How?	"How?	true	507.29	508.065	28.828438
7117_86732_000054_000001	Do you not comprehend?"	Do you not comprehend?"	true	508.065	509.59	25.919695
7117_86732_000055_000000	"No."	"no"	true	509.72	510.49	23.513851
7117_86732_000056_000000	"The Chateau d'If has no cemetery, and they simply throw the dead into the sea, after fastening a thirty-six pound cannon-ball to their feet."	"The Chateau d'If has no cemetery, and they simply throw the dead into the sea, after fastening a thirty six pound cannon ball to their feet."	true	510.98	518.38	20.072105
7117_86732_000057_000000	"Well," observed the Englishman as if he were slow of comprehension.	"Well," observed the Englishman as if he were slow of comprehension.	true	518.84	522.82	21.749573
7117_86732_000058_000000	"Well, they fastened a thirty-six pound ball to his feet, and threw him into the sea."	"Well, they fastened a thirty six pound ball to his feet, and threw him into the sea."	true	523.04	527.7	21.471102
7117_86732_000059_000000	"Really!" exclaimed the Englishman.	"Really!" exclaimed the Englishman.	true	527.7	529.93	20.23711
7117_86732_000060_000000	"Yes, sir," continued the inspector of prisons.	"Yes, sir," continued the inspector of prisons.	true	530.33	532.99	22.671034
7117_86732_000060_000001	"You may imagine the amazement of the fugitive when he found himself flung headlong over the rocks!	"You may imagine the amazement of the fugitive when he found himself flung headlong over the rocks!	true	533.15	538.09	17
7117_86732_000060_000002	I should like to have seen his face at that moment."	I should like to have seen his face at that moment."	true	538.31	540.97	23.262663
7117_86732_000061_000000	"That would have been difficult."	"That would have been difficult."	true	541.61	543.34	23.614193
7117_86732_000062_000000	"No matter," replied De Boville, in supreme good-humor at the certainty of recovering his two hundred thousand francs,--"no matter, I can fancy it." And he shouted with laughter.	"No matter," replied De Boville, in supreme good humor at the certainty of recovering his two hundred thousand francs,--"no matter, I can fancy it." And he shouted with laughter.	false	543.38	553.36	23.071201
7117_86732_000063_000000	"So can I," said the Englishman, and he laughed too; but he laughed as the English do, "at the end of his teeth."	"So can I," said the Englishman, and he laughed too; but he laughed as the English do, "at the end of his teeth."	true	553.73	559.9	20.5502
7117_86732_000064_000000	"And so," continued the Englishman who first gained his composure, "he was drowned?"	"And so," continued the Englishman who first gained his composure, "he was drowned?"	true	560.39	565.75	20.670197
7117_86732_000065_000000	"Unquestionably."	"Unquestionably."	true	566.18	567.43	21.413158
7117_86732_000066_000000	"So that the governor got rid of the dangerous and the crazy prisoner at the same time?"	"So that the governor got rid of the dangerous and the crazy prisoner at the same time?"	true	568.01	572.74	20
7117_86732_000067_000000	"Precisely."	"Precisely."	true	572.99	574.03	21.488283
7117_86732_000068_000000	"But some official document was drawn up as to this affair, I suppose?" inquired the Englishman.	"But some official document was drawn up as to this affair, I suppose?" inquired the Englishman.	true	575.03	580.36	21.635742
7117_86732_000069_000000	"Yes, yes, the mortuary deposition.	"Yes, yes, the mortuary deposition.	true	580.73	583.09	20.451143
7117_86732_000069_000001	You understand, Dantes' relations, if he had any, might have some interest in knowing if he were dead or alive."	You understand, Dantes' relations, if he had any, might have some interest in knowing if he were dead or alive."	true	583.25	589.93	20.83279
7117_86732_000070_000000	"So that now, if there were anything to inherit from him, they may do so with easy conscience.	"So that now, if there were anything to inherit from him, they may do so with easy conscience.	true	590.6	595.39	18
7117_86732_000070_000001	He is dead, and no mistake about it."	He is dead, and no mistake about it."	false	595.58	598	23.229557
7117_86732_000071_000000	"Oh, yes; and they may have the fact attested whenever they please."	"Oh, yes; and they may have the fact attested whenever they please."	true	598.04	601.87	23.595716
7117_86732_000072_000000	"So be it," said the Englishman.	"So be it," said the Englishman.	true	602.81	604.78	19.435368
7117_86732_000072_000001	"But to return to these registers."	"But to return to these registers."	true	604.82	606.67	23.206547
7117_86732_000073_000000	"True, this story has diverted our attention from them.	"True, this story has diverted our attention from them.	true	607.13	609.72	21.737015
7117_86732_000073_000001	Excuse me."	Excuse me."	true	609.72	610.66	25.000765
7117_86732_000074_000000	"Excuse you for what?	"Excuse you for what?	true	611.18	612.675	21.52839
7117_86732_000074_000001	For the story?	For the story?	true	612.675	613.57	29
7117_86732_000074_000002	By no means; it really seems to me very curious."	By no means; it really seems to me very curious."	true	613.76	616.66	19.588955
7117_86732_000075_000000	"Yes, indeed.	"Yes, indeed.	true	616.79	618.16	18.221008
7117_86732_000075_000001	So, sir, you wish to see all relating to the poor abbe, who really was gentleness itself."	So, sir, you wish to see all relating to the poor abbe, who really was gentleness itself."	true	618.17	623.08	19.360472
7117_86732_000076_000000	"Yes, you will much oblige me."	"Yes, you will much oblige me."	false	623.39	625.03	20.075117
7117_86732_000077_000000	"Go into my study here, and I will show it to you." And they both entered M. de Boville's study.	"Go into my study here, and I will show it to you." And they both entered m de Boville's study.	false	625.91	631.665	20.402386
7117_86732_000077_000001	Everything was here arranged in perfect order; each register had its number, each file of papers its place.	Everything was here arranged in perfect order; each register had its number, each file of papers its place.	true	631.665	638.11	19.557814
7117_86732_000077_000002	The inspector begged the Englishman to seat himself in an arm-chair, and placed before him the register and documents relative to the Chateau d'If, giving him all the time he desired for the examination, while De Boville seated himself in a corner, and began to read his newspaper.	The inspector begged the Englishman to seat himself in an arm chair, and placed before him the register and documents relative to the Chateau d'If, giving him all the time he desired for the examination, while De Boville seated himself in a corner, and began to read his newspaper.	false	638.33	652.54	18
7117_86732_000077_000003	The Englishman easily found the entries relative to the Abbe Faria; but it seemed that the history which the inspector had related interested him greatly, for after having perused the first documents he turned over the leaves until he reached the deposition respecting Edmond Dantes.	The Englishman easily found the entries relative to the Abbe Faria; but it seemed that the history which the inspector had related interested him greatly, for after having perused the first documents he turned over the leaves until he reached the deposition respecting Edmond Dantes.	false	653.18	668.2	18
7117_86732_000077_000004	There he found everything arranged in due order,--the accusation, examination, Morrel's petition, M. de Villefort's marginal notes.	There he found everything arranged in due order,--the accusation, examination, Morrel's petition, m de Villefort's marginal notes.	false	669.56	677.98	20.966116
7117_86732_000077_000005	He folded up the accusation quietly, and put it as quietly in his pocket; read the examination, and saw that the name of Noirtier was not mentioned in it; perused, too, the application dated 10th April, 1815, in which Morrel, by the deputy procureur's advice, exaggerated with the best intentions (for Napoleon was then on the throne) the services Dantes had rendered to the imperial cause--services which Villefort's certificates rendered indispensable.	He folded up the accusation quietly, and put it as quietly in his pocket; read the examination, and saw that the name of Noirtier was not mentioned in it; perused, too, the application dated the tenth of april eighteen fifteen, in which Morrel, by the deputy procureur's advice, exaggerated with the best intentions (for Napoleon was then on the throne) the services Dantes had rendered to the imperial cause-services which Villefort's certificates rendered indispensable.	false	678.32	706.21	21.152395
7117_86732_000077_000006	Then he saw through the whole thing.	Then he saw through the whole thing.	true	706.67	708.58	23.595196
7117_86732_000077_000007	This petition to Napoleon, kept back by Villefort, had become, under the second restoration, a terrible weapon against him in the hands of the king's attorney.	This petition to Napoleon, kept back by Villefort, had become, under the second restoration, a terrible weapon against him in the hands of the king's attorney.	false	709.25	718.6	22.526571
7117_86732_000077_000008	He was no longer astonished when he searched on to find in the register this note, placed in a bracket against his name:--	He was no longer astonished when he searched on to find in the register this note, placed in a bracket against his name:--	true	719.12	725.35	21.964825
7117_86732_000078_000000	Edmond Dantes.	Edmond Dantes.	true	725.84	727.15	21.710306
7117_86732_000079_000000	An inveterate Bonapartist; took an active part in the return from the Island of Elba.	An inveterate Bonapartist; took an active part in the return from the Island of Elba.	true	727.64	732.67	21.479357
7117_86732_000080_000000	To be kept in strict solitary confinement, and to be closely watched and guarded.	To be kept in strict solitary confinement, and to be closely watched and guarded.	true	732.92	737.32	23.277725
7117_86732_000081_000000	Beneath these lines was written in another hand: "See note above--nothing can be done." He compared the writing in the bracket with the writing of the certificate placed beneath Morrel's petition, and discovered that the note in the bracket was the same writing as the certificate--that is to say, was in Villefort's handwriting.	Beneath these lines was written in another hand: "See note above-nothing can be done." He compared the writing in the bracket with the writing of the certificate placed beneath Morrel's petition, and discovered that the note in the bracket was the same writing as the certificate-that is to say, was in Villefort's handwriting.	true	738.08	755.56	20.062101
7117_86732_000081_000001	As to the note which accompanied this, the Englishman understood that it might have been added by some inspector who had taken a momentary interest in Dantes' situation, but who had, from the remarks we have quoted, found it impossible to give any effect to the interest he had felt.	As to the note which accompanied this, the Englishman understood that it might have been added by some inspector who had taken a momentary interest in Dantes' situation, but who had, from the remarks we have quoted, found it impossible to give any effect to the interest he had felt.	false	757.04	772.09	21
7117_86732_000082_000000	As we have said, the inspector, from discretion, and that he might not disturb the Abbe Faria's pupil in his researches, had seated himself in a corner, and was reading Le Drapeau Blanc.	As we have said, the inspector, from discretion, and that he might not disturb the Abbe Faria's pupil in his researches, had seated himself in a corner, and was reading Le Drapeau Blanc.	true	773.6	784.24	20.17505
7117_86732_000082_000001	He did not see the Englishman fold up and place in his pocket the accusation written by Danglars under the arbor of La Reserve, and which had the postmark, "Marseilles, 27th Feb., delivery 6 o'clock, P.M." But it must be said that if he had seen it, he attached so little importance to this scrap of paper, and so much importance to his two hundred thousand francs, that he would not have opposed whatever the Englishman might do, however irregular it might be.	He did not see the Englishman fold up and place in his pocket the accusation written by Danglars under the arbor of La Reserve, and which had the postmark, "Marseilles, the twenty seventh of february, delivery six o'clock, p m" But it must be said that if he had seen it, he attached so little importance to this scrap of paper, and so much importance to his two hundred thousand francs, that he would not have opposed whatever the Englishman might do, however irregular it might be.	false	784.49	810.91	20.910559
7117_86732_000083_000000	"Thanks," said the latter, closing the register with a slam, "I have all I want; now it is for me to perform my promise.	"Thanks," said the latter, closing the register with a slam, "I have all I want; now it is for me to perform my promise.	true	812.36	819.58	21.950512
7117_86732_000083_000001	Give me a simple assignment of your debt; acknowledge therein the receipt of the cash, and I will hand you over the money." He rose, gave his seat to M. de Boville, who took it without ceremony, and quickly drew up the required assignment, while the Englishman counted out the bank-notes on the other side of the desk.	Give me a simple assignment of your debt; acknowledge therein the receipt of the cash, and I will hand you over the money." He rose, gave his seat to m de Boville, who took it without ceremony, and quickly drew up the required assignment, while the Englishman counted out the bank notes on the other side of the desk.	false	819.77	844.02	19.449875
