4598_6176_000002_000000	VIII.	eight.
4598_6176_000012_000000	As she said this, she turned her back with disdain upon the picture of her home, and setting herself before the picture of the palace, stared at it with wide ambitious eyes, and a heart whose every beat was a throb of arrogant self-esteem.	As she said this, she turned her back with disdain upon the picture of her home, and setting herself before the picture of the palace, stared at it with wide ambitious eyes, and a heart whose every beat was a throb of arrogant self esteem.
4598_6176_000013_000000	The shepherd-child was now worse than ever the poor princess had been. For the wise woman had given her a terrible lesson one of which the princess was not capable, and she had known what it meant; yet here she was as bad as ever, therefore worse than before.	The shepherd child was now worse than ever the poor princess had been. For the wise woman had given her a terrible lesson one of which the princess was not capable, and she had known what it meant; yet here she was as bad as ever, therefore worse than before.
4598_6176_000013_000002	Nestling in her very heart, where most of all she had her company, and least of all could see her.	Nestling in her very heart, where most of all she had her company, and least of all could see her.
4598_6176_000014_000000	After gazing a while at the palace picture, during which her ambitious pride rose and rose, she turned yet again in condescending mood, and honored the home picture with one stare more.	After gazing a while at the palace picture, during which her ambitious pride rose and rose, she turned yet again in condescending mood, and honored the home picture with one stare more.
4598_6176_000015_000000	"What a poor, miserable spot it is compared with this lordly palace!" she said.	"What a poor, miserable spot it is compared with this lordly palace!" she said.
4598_6176_000016_000000	But presently she spied something in it she had not seen before, and drew nearer.	But presently she spied something in it she had not seen before, and drew nearer.
4598_6176_000016_000001	It was the form of a little girl, building a bridge of stones over one of the hill-brooks.	It was the form of a little girl, building a bridge of stones over one of the hill brooks.
4598_6176_000017_000000	"Ah, there I am myself!" she said.	"Ah, there I am myself!" she said.
4598_6176_000017_000001	"That is just how I used to do.--No," she resumed, "it is not me.	"That is just how I used to do.--No," she resumed, "it is not me.
4598_6176_000017_000002	That snub-nosed little fright could never be meant for me!	That snub nosed little fright could never be meant for me!
4598_6176_000017_000005	What a dull, dirty, insignificant spot it is!	What a dull, dirty, insignificant spot it is!
4598_6176_000017_000006	And what a life to lead there!"	And what a life to lead there!"
4598_6176_000018_000000	She turned once more to the city picture.	She turned once more to the city picture.
4598_6176_000018_000001	And now a strange thing took place.	And now a strange thing took place.
4598_6176_000018_000002	In proportion as the other, to the eyes of her mind, receded into the background, this, to her present bodily eyes, appeared to come forward and assume reality.	In proportion as the other, to the eyes of her mind, receded into the background, this, to her present bodily eyes, appeared to come forward and assume reality.
4598_6176_000019_000000	"I do believe it is real!	"I do believe it is real!
4598_6176_000019_000001	That frame is only a trick of the woman to make me fancy it a picture lest I should go and make my fortune.	That frame is only a trick of the woman to make me fancy it a picture lest I should go and make my fortune.
4598_6176_000019_000002	She is a witch, the ugly old creature!	She is a witch, the ugly old creature!
4598_6176_000019_000003	It would serve her right to tell the king and have her punished for not taking me to the palace--one of his poor lost children he is so fond of!	It would serve her right to tell the king and have her punished for not taking me to the palace-one of his poor lost children he is so fond of!
4598_6176_000019_000004	I should like to see her ugly old head cut off.	I should like to see her ugly old head cut off.
4598_6176_000019_000005	Anyhow I will try my luck without asking her leave.	Anyhow I will try my luck without asking her leave.
4598_6176_000019_000006	How she has ill used me!"	How she has ill used me!"
4598_6176_000020_000000	But at that moment, she heard the voice of the wise woman calling, "Agnes!" and, smoothing her face, she tried to look as good as she could, and walked back into the cottage.	But at that moment, she heard the voice of the wise woman calling, "Agnes!" and, smoothing her face, she tried to look as good as she could, and walked back into the cottage.
4598_6176_000020_000001	There stood the wise woman, looking all round the place, and examining her work.	There stood the wise woman, looking all round the place, and examining her work.
4598_6176_000020_000002	She fixed her eyes upon Agnes in a way that confused her, and made her cast hers down, for she felt as if she were reading her thoughts.	She fixed her eyes upon Agnes in a way that confused her, and made her cast hers down, for she felt as if she were reading her thoughts.
4598_6176_000020_000003	The wise woman, however, asked no questions, but began to talk about her work, approving of some of it, which filled her with arrogance, and showing how some of it might have been done better, which filled her with resentment.	The wise woman, however, asked no questions, but began to talk about her work, approving of some of it, which filled her with arrogance, and showing how some of it might have been done better, which filled her with resentment.
4598_6176_000020_000004	But the wise woman seemed to take no care of what she might be thinking, and went straight on with her lesson.	But the wise woman seemed to take no care of what she might be thinking, and went straight on with her lesson.
4598_6176_000020_000006	Ere it had time to sink down again, the wise woman caught up the little mirror, and held it before her: Agnes saw her Somebody--the very embodiment of miserable conceit and ugly ill-temper.	Ere it had time to sink down again, the wise woman caught up the little mirror, and held it before her: Agnes saw her Somebody-the very embodiment of miserable conceit and ugly ill temper.
4598_6176_000020_000007	She gave such a scream of horror that the wise woman pitied her, and laying aside the mirror, took her upon her knees, and talked to her most kindly and solemnly; in particular about the necessity of destroying the ugly things that come out of the heart--so ugly that they make the very face over them ugly also.	She gave such a scream of horror that the wise woman pitied her, and laying aside the mirror, took her upon her knees, and talked to her most kindly and solemnly; in particular about the necessity of destroying the ugly things that come out of the heart-so ugly that they make the very face over them ugly also.
4598_6176_000021_000001	Would you believe it?--instead of thinking how to kill the ugly things in her heart, she was with all her might resolving to be more careful of her face, that is, to keep down the things in her heart so that they should not show in her face, she was resolving to be a hypocrite as well as a self-worshipper.	Would you believe it?--instead of thinking how to kill the ugly things in her heart, she was with all her might resolving to be more careful of her face, that is, to keep down the things in her heart so that they should not show in her face, she was resolving to be a hypocrite as well as a self worshipper.
4598_6176_000021_000002	Her heart was wormy, and the worms were eating very fast at it now.	Her heart was wormy, and the worms were eating very fast at it now.
4598_6176_000022_000000	Then the wise woman laid her gently down upon the heather-bed, and she fell fast asleep, and had an awful dream about her Somebody.	Then the wise woman laid her gently down upon the heather bed, and she fell fast asleep, and had an awful dream about her Somebody.
4598_6176_000023_000000	When she woke in the morning, instead of getting up to do the work of the house, she lay thinking--to evil purpose.	When she woke in the morning, instead of getting up to do the work of the house, she lay thinking-to evil purpose.
4598_6176_000023_000001	In place of taking her dream as a warning, and thinking over what the wise woman had said the night before, she communed with herself in this fashion:--	In place of taking her dream as a warning, and thinking over what the wise woman had said the night before, she communed with herself in this fashion:--
4598_6176_000024_000000	"If I stay here longer, I shall be miserable, It is nothing better than slavery.	"If I stay here longer, I shall be miserable, It is nothing better than slavery.
4598_6176_000024_000002	If I don't run away, that frightful blue prison and the disgusting girl will come back, and I shall go out of my mind.	If I don't run away, that frightful blue prison and the disgusting girl will come back, and I shall go out of my mind.
4598_6176_000024_000003	How I do wish I could find the way to the good king's palace!	How I do wish I could find the way to the good king's palace!
4598_6176_000024_000004	I shall go and look at the picture again--if it be a picture--as soon as I've got my clothes on.	I shall go and look at the picture again-if it be a picture-as soon as I've got my clothes on.
4598_6176_000024_000005	The work can wait.	The work can wait.
4598_6176_000024_000006	It's not my work.	It's not my work.
4598_6176_000024_000007	It's the old witch's; and she ought to do it herself."	It's the old witch's; and she ought to do it herself."
4598_6176_000025_000000	She jumped out of bed, and hurried on her clothes.	She jumped out of bed, and hurried on her clothes.
4598_6176_000025_000001	There was no wise woman to be seen; and she hastened into the hall.	There was no wise woman to be seen; and she hastened into the hall.
4598_6176_000025_000002	There was the picture, with the marble palace, and the proclamation shining in letters of gold upon its gates of brass.	There was the picture, with the marble palace, and the proclamation shining in letters of gold upon its gates of brass.
4598_6176_000025_000003	She stood before it, and gazed and gazed; and all the time it kept growing upon her in some strange way, until at last she was fully persuaded that it was no picture, but a real city, square, and marble palace, seen through a framed opening in the wall.	She stood before it, and gazed and gazed; and all the time it kept growing upon her in some strange way, until at last she was fully persuaded that it was no picture, but a real city, square, and marble palace, seen through a framed opening in the wall.
4598_6176_000025_000005	FREE was she, with that creature inside her?	FREE was she, with that creature inside her?
4598_6176_000026_000000	The same moment a terrible storm of thunder and lightning, wind and rain, came on.	The same moment a terrible storm of thunder and lightning, wind and rain, came on.
4598_6176_000026_000001	The uproar was appalling.	The uproar was appalling.
4598_6176_000026_000002	Agnes threw herself upon the ground, hid her face in her hands, and there lay until it was over.	Agnes threw herself upon the ground, hid her face in her hands, and there lay until it was over.
4598_6176_000026_000004	There was the city far away on the horizon.	There was the city far away on the horizon.
4598_6176_000026_000005	Without once turning to take a farewell look of the place she was leaving, she set off, as fast as her feet would carry her, in the direction of the city.	Without once turning to take a farewell look of the place she was leaving, she set off, as fast as her feet would carry her, in the direction of the city.
