6683_63839_000001_000000	SIR HENRY COLE.	SIR HENRY COLE.
6683_63839_000007_000000	At length, about the year 1845, he entered upon the course of proceedings which rendered him one of the most influential and useful persons of his time.	At length, about the year eighteen forty five, he entered upon the course of proceedings which rendered him one of the most influential and useful persons of his time.
6683_63839_000007_000001	He had long lamented the backward condition of arts of design in England, and the consequent ugliness of the various objects in the sight and use of which human beings pass their lives.	He had long lamented the backward condition of arts of design in England, and the consequent ugliness of the various objects in the sight and use of which human beings pass their lives.
6683_63839_000007_000002	English furniture, wall-papers, carpets, curtains, cutlery, garments, upholstery, ranged from the tolerable to the hideous, and were inferior to the manufactures of France and Germany.	English furniture, wall papers, carpets, curtains, cutlery, garments, upholstery, ranged from the tolerable to the hideous, and were inferior to the manufactures of France and Germany.
6683_63839_000007_000003	He organized a series of exhibitions on a small scale, somewhat similar to those of the American Institute in New York, which has held a competitive exhibition of natural and manufactured objects every autumn for the last fifty years.	He organized a series of exhibitions on a small scale, somewhat similar to those of the American Institute in New York, which has held a competitive exhibition of natural and manufactured objects every autumn for the last fifty years.
6683_63839_000008_000000	His exhibitions attracted attention, and they led at length to the Crystal Palace Exhibition of 1851.	His exhibitions attracted attention, and they led at length to the Crystal Palace Exhibition of eighteen fifty one.
6683_63839_000008_000001	The merit of that scheme must be shared between Henry Cole and Prince Albert.	The merit of that scheme must be shared between Henry Cole and Prince Albert.
6683_63839_000008_000003	Yes, said Prince Albert, and let us also invite competition from foreign countries on equal terms with native products.	Yes, said Prince Albert, and let us also invite competition from foreign countries on equal terms with native products.
6683_63839_000009_000000	The Exhibition of 1851 was admirably managed, and had every kind of success.	The Exhibition of eighteen fifty one was admirably managed, and had every kind of success.
6683_63839_000009_000001	It benefited England more than all other nations put together, because it revealed to her people their inferiority in many branches both of workmanship and design.	It benefited England more than all other nations put together, because it revealed to her people their inferiority in many branches both of workmanship and design.
6683_63839_000009_000002	We all know how conceited people are apt to become who have no opportunity to compare themselves with superiors. John Bull, never over-modest, surveyed the Exhibition of 1851, and discovered, to his great surprise, that he was not the unapproachable Bull of the universe which he had fondly supposed.	We all know how conceited people are apt to become who have no opportunity to compare themselves with superiors. john Bull, never over modest, surveyed the Exhibition of eighteen fifty one, and discovered, to his great surprise, that he was not the unapproachable Bull of the universe which he had fondly supposed.
6683_63839_000009_000003	He saw himself beaten in some things by the French, in some by the Germans, in others by the Italians, and in a few (O wonder!) by the Yankees.	He saw himself beaten in some things by the French, in some by the Germans, in others by the Italians, and in a few (O wonder!) by the Yankees.
6683_63839_000010_000000	Happily he had the candor to admit this humiliating fact to himself, and he put forth earnest and steadfast exertions to bring himself up to the level of modern times.	Happily he had the candor to admit this humiliating fact to himself, and he put forth earnest and steadfast exertions to bring himself up to the level of modern times.
6683_63839_000011_000000	Henry Cole was the life and soul of the movement.	Henry Cole was the life and soul of the movement.
6683_63839_000011_000001	It was he who called attention to the obstacles placed in the way of improvement by the patent laws, and some of those obstacles, through him, were speedily removed.	It was he who called attention to the obstacles placed in the way of improvement by the patent laws, and some of those obstacles, through him, were speedily removed.
6683_63839_000012_000000	During this series of services to his country, he remained in the office of Public Records.	During this series of services to his country, he remained in the office of Public Records.
6683_63839_000012_000002	They asked him to undertake the reconstruction of the schools of design, and they gave him an office which placed him practically at the head of the various institutions designed to promote the application of art to manufacture.	They asked him to undertake the reconstruction of the schools of design, and they gave him an office which placed him practically at the head of the various institutions designed to promote the application of art to manufacture.
6683_63839_000012_000003	The chief of these now is the Museum of South Kensington, which is to many Americans the most interesting object in London.	The chief of these now is the Museum of South Kensington, which is to many Americans the most interesting object in London.
6683_63839_000013_000000	It came to pass in this way: After the close of the Crystal Palace in 1851, Parliament gave five thousand pounds for the purchase of the objects exhibited which were thought best calculated to raise the standard of taste in the nation.	It came to pass in this way: After the close of the Crystal Palace in eighteen fifty one, Parliament gave five thousand pounds for the purchase of the objects exhibited which were thought best calculated to raise the standard of taste in the nation.
6683_63839_000013_000001	These objects, chiefly selected by Cole, were arranged by him for exhibition in temporary buildings of such extreme and repulsive inconvenience as to bring opprobrium and ridicule upon the undertaking.	These objects, chiefly selected by Cole, were arranged by him for exhibition in temporary buildings of such extreme and repulsive inconvenience as to bring opprobrium and ridicule upon the undertaking.
6683_63839_000013_000002	It was one of the most difficult things in the world to excite public interest in the exhibition.	It was one of the most difficult things in the world to excite public interest in the exhibition.
6683_63839_000013_000003	But by that energy which comes of strong conviction and patriotic feeling, and of the opportunity given him by his public employment, Henry Cole wrung from a reluctant Parliament the annual grants necessary to make South Kensington Museum what it now is.	But by that energy which comes of strong conviction and patriotic feeling, and of the opportunity given him by his public employment, Henry Cole wrung from a reluctant Parliament the annual grants necessary to make South Kensington Museum what it now is.
6683_63839_000014_000000	Magnificent buildings, filled with a vast collection of precious and interesting objects, greet the visitor.	Magnificent buildings, filled with a vast collection of precious and interesting objects, greet the visitor.
6683_63839_000014_000001	There are collections of armor, relics, porcelain, enamel, fabrics, paintings, statues, carvings in wood and ivory, machines, models, and every conceivable object of use or beauty.	There are collections of armor, relics, porcelain, enamel, fabrics, paintings, statues, carvings in wood and ivory, machines, models, and every conceivable object of use or beauty.
6683_63839_000014_000002	Some of the most celebrated pictures in the world are there, and there is an art library of thirty thousand volumes.	Some of the most celebrated pictures in the world are there, and there is an art library of thirty thousand volumes.
6683_63839_000014_000003	There are schools for instruction in every branch of art and science which can be supposed to enter into the products of industry.	There are schools for instruction in every branch of art and science which can be supposed to enter into the products of industry.
6683_63839_000014_000004	The prizes which are offered for excellence in design and invention have attracted, in some years, as many as two hundred thousand objects.	The prizes which are offered for excellence in design and invention have attracted, in some years, as many as two hundred thousand objects.
6683_63839_000014_000005	During three days of every week admission to this superb assemblage of exhibitions is free, and on the other three days sixpence is charged.	During three days of every week admission to this superb assemblage of exhibitions is free, and on the other three days sixpence is charged.
6683_63839_000015_000000	The influence of this institution upon British manufactures has been in many branches revolutionary.	The influence of this institution upon British manufactures has been in many branches revolutionary.
6683_63839_000015_000001	As the London "Times" said some time ago:--	As the London "Times" said some time ago:--
6683_63839_000017_000000	The formation of this Museum, the chief work of Sir Henry Cole's useful life, was far from exhausting his energies.	The formation of this Museum, the chief work of Sir Henry Cole's useful life, was far from exhausting his energies.
6683_63839_000017_000001	He has borne a leading part in all the industrial exhibitions held in London during the last quarter of a century, and served as English commissioner at the Paris exhibitions of 1855 and 1867.	He has borne a leading part in all the industrial exhibitions held in London during the last quarter of a century, and served as English commissioner at the Paris exhibitions of eighteen fifty five and eighteen sixty seven.
6683_63839_000018_000000	This man was enabled to render all this service to his country, to Europe, and to us, because he was not obliged to waste any of his energies in efforts to keep his place.	This man was enabled to render all this service to his country, to Europe, and to us, because he was not obliged to waste any of his energies in efforts to keep his place.
6683_63839_000018_000001	Administrations might change, and Parliaments might dissolve; but he was a fixture as long as he did his duty.	Administrations might change, and Parliaments might dissolve; but he was a fixture as long as he did his duty.
6683_63839_000018_000003	Henceforth he was called Sir Henry Cole, K. C. B.	Henceforth he was called Sir Henry Cole, k c b
