3258_169291_000000_000000	Chapter XII.	Chapter twelve.	false	0.6	24.48	21.268993
3258_169291_000003_000004	Imagine my surprise when the General told me, further, that these meetings were to be held, not in the interests of Hampton, but in the interests of Tuskegee, and that the Hampton Institute was to be responsible for all the expenses.	Imagine my surprise when the General told me, further, that these meetings were to be held, not in the interests of Hampton, but in the interests of Tuskegee, and that the Hampton Institute was to be responsible for all the expenses.	true	168.2	183.7	22
3258_169291_000004_000000	Although he never told me so in so many words, I found that General Armstrong took this method of introducing me to the people of the North, as well as for the sake of securing some immediate funds to be used in the erection of Alabama Hall.	Although he never told me so in so many words, I found that General Armstrong took this method of introducing me to the people of the North, as well as for the sake of securing some immediate funds to be used in the erection of Alabama Hall.	true	183.77	198.76	18
3258_169291_000004_000001	A weak and narrow man would have reasoned that all the money which came to Tuskegee in this way would be just so much taken from the Hampton Institute; but none of these selfish or short-sighted feelings ever entered the breast of General Armstrong.	A weak and narrow man would have reasoned that all the money which came to Tuskegee in this way would be just so much taken from the Hampton Institute; but none of these selfish or short sighted feelings ever entered the breast of General Armstrong.	true	199.25	214.84	21
3258_169291_000004_000002	He was too big to be little, too good to be mean.	He was too big to be little, too good to be mean.	true	215.09	219.01	22.343357
3258_169291_000004_000003	He knew that the people in the North who gave money gave it for the purpose of helping the whole cause of Negro civilization, and not merely for the advancement of any one school.	He knew that the people in the North who gave money gave it for the purpose of helping the whole cause of Negro civilization, and not merely for the advancement of any one school.	true	219.32	229.84	18
3258_169291_000004_000004	The General knew, too, that the way to strengthen Hampton was to make it a centre of unselfish power in the working out of the whole Southern problem.	The General knew, too, that the way to strengthen Hampton was to make it a centre of unselfish power in the working out of the whole Southern problem.	true	230.54	240.18	23.484566
3258_169291_000005_000000	In regard to the addresses which I was to make in the North, I recall just one piece of advice which the General gave me.	In regard to the addresses which I was to make in the North, I recall just one piece of advice which the General gave me.	false	240.18	248.71	22.305717
3258_169291_000005_000001	He said: "Give them an idea for every word." I think it would be hard to improve upon this advice; and it might be made to apply to all public speaking.	He said: "Give them an idea for every word." I think it would be hard to improve upon this advice; and it might be made to apply to all public speaking.	true	248.81	259.48	22.837349
3258_169291_000005_000002	From that time to the present I have always tried to keep his advice in mind.	From that time to the present I have always tried to keep his advice in mind.	true	259.7	264.55	21
3258_169291_000006_000000	Meetings were held in New York, Brooklyn, Boston, Philadelphia, and other large cities, and at all of these meetings General Armstrong pleased, together with myself, for help, not for Hampton, but for Tuskegee.	Meetings were held in New York, Brooklyn, Boston, Philadelphia, and other large cities, and at all of these meetings General Armstrong pleased, together with myself, for help, not for Hampton, but for Tuskegee.	true	265.16	280.99	21.657936
3258_169291_000006_000001	At these meetings an especial effort was made to secure help for the building of Alabama Hall, as well as to introduce the school to the attention of the general public.	At these meetings an especial effort was made to secure help for the building of Alabama Hall, as well as to introduce the school to the attention of the general public.	true	281.54	292.27	20
3258_169291_000006_000002	In both these respects the meetings proved successful.	In both these respects the meetings proved successful.	true	292.67	296.38	23
3258_169291_000007_000000	After that kindly introduction I began going North alone to secure funds.	After that kindly introduction I began going North alone to secure funds.	true	296.72	301.63	17
3258_169291_000007_000001	During the last fifteen years I have been compelled to spend a large proportion of my time away from the school, in an effort to secure money to provide for the growing needs of the institution.	During the last fifteen years I have been compelled to spend a large proportion of my time away from the school, in an effort to secure money to provide for the growing needs of the institution.	false	301.82	313.39	19
3258_169291_000007_000002	In my efforts to get funds I have had some experiences that may be of interest to my readers.	In my efforts to get funds I have had some experiences that may be of interest to my readers.	true	313.58	318.7	18
3258_169291_000007_000003	Time and time again I have been asked, by people who are trying to secure money for philanthropic purposes, what rule or rules I followed to secure the interest and help of people who were able to contribute money to worthy objects.	Time and time again I have been asked, by people who are trying to secure money for philanthropic purposes, what rule or rules I followed to secure the interest and help of people who were able to contribute money to worthy objects.	true	318.83	333.64	19
3258_169291_000007_000004	As far as the science of what is called begging can be reduced to rules, I would say that I have had but two rules.	As far as the science of what is called begging can be reduced to rules, I would say that I have had but two rules.	true	334.25	341.65	20.053429
3258_169291_000007_000005	First, always to do my whole duty regarding making our work known to individuals and organizations; and, second, not to worry about the results.	First, always to do my whole duty regarding making our work known to individuals and organizations; and, second, not to worry about the results.	true	342.02	352.66	21.47012
3258_169291_000007_000006	This second rule has been the hardest for me to live up to. When bills are on the eve of falling due, with not a dollar in hand with which to meet them, it is pretty difficult to learn not to worry, although I think I am learning more and more each year that all worry simply consumes, and to no purpose, just so much physical and mental strength that might otherwise be given to effective work.	This second rule has been the hardest for me to live up to. When bills are on the eve of falling due, with not a dollar in hand with which to meet them, it is pretty difficult to learn not to worry, although I think I am learning more and more each year that all worry simply consumes, and to no purpose, just so much physical and mental strength that might otherwise be given to effective work.	true	353	377.32	21.769455
3258_169291_000007_000007	After considerable experience in coming into contact with wealthy and noted men, I have observed that those who have accomplished the greatest results are those who "keep under the body"; are those who never grow excited or lose self-control, but are always calm, self-possessed, patient, and polite.	After considerable experience in coming into contact with wealthy and noted men, I have observed that those who have accomplished the greatest results are those who "keep under the body"; are those who never grow excited or lose self control, but are always calm, self possessed, patient, and polite.	false	377.57	399.4	20.793617
3258_169291_000007_000008	I think that President William McKinley is the best example of a man of this class that I have ever seen.	I think that President William McKinley is the best example of a man of this class that I have ever seen.	true	399.65	405.76	18
3258_169291_000008_000000	In order to be successful in any kind of undertaking, I think the main thing is for one to grow to the point where he completely forgets himself; that is, to lose himself in a great cause.	In order to be successful in any kind of undertaking, I think the main thing is for one to grow to the point where he completely forgets himself; that is, to lose himself in a great cause.	true	406.25	419.56	21.432024
3258_169291_000008_000001	In proportion as one loses himself in the way, in the same degree does he get the highest happiness out of his work.	In proportion as one loses himself in the way, in the same degree does he get the highest happiness out of his work.	true	419.69	427.48	18.286959
3258_169291_000009_000000	My experience in getting money for Tuskegee has taught me to have no patience with those people who are always condemning the rich because they are rich, and because they do not give more to objects of charity. In the first place, those who are guilty of such sweeping criticisms do not know how many people would be made poor, and how much suffering would result, if wealthy people were to part all at once with any large proportion of their wealth in a way to disorganize and cripple great business enterprises.	My experience in getting money for Tuskegee has taught me to have no patience with those people who are always condemning the rich because they are rich, and because they do not give more to objects of charity. In the first place, those who are guilty of such sweeping criticisms do not know how many people would be made poor, and how much suffering would result, if wealthy people were to part all at once with any large proportion of their wealth in a way to disorganize and cripple great business enterprises.	true	427.58	459.31	21
3258_169291_000009_000001	Then very few persons have any idea of the large number of applications for help that rich people are constantly being flooded with.	Then very few persons have any idea of the large number of applications for help that rich people are constantly being flooded with.	true	459.44	467.38	17
3258_169291_000009_000002	I know wealthy people who receive as much as twenty calls a day for help.	I know wealthy people who receive as much as twenty calls a day for help.	true	467.66	472.27	20.183025
3258_169291_000009_000003	More than once when I have gone into the offices of rich men, I have found half a dozen persons waiting to see them, and all come for the same purpose, that of securing money.	More than once when I have gone into the offices of rich men, I have found half a dozen persons waiting to see them, and all come for the same purpose, that of securing money.	true	472.61	483.7	21.88745
3258_169291_000009_000004	And all these calls in person, to say nothing of the applications received through the mails. Very few people have any idea of the amount of money given away by persons who never permit their names to be known.	And all these calls in person, to say nothing of the applications received through the mails. Very few people have any idea of the amount of money given away by persons who never permit their names to be known.	true	483.74	497.71	21.505531
3258_169291_000009_000005	I have often heard persons condemned for not giving away money, who, to my own knowledge, were giving away thousands of dollars every year so quietly that the world knew nothing about it.	I have often heard persons condemned for not giving away money, who, to my own knowledge, were giving away thousands of dollars every year so quietly that the world knew nothing about it.	false	497.78	510.01	17
3258_169291_000010_000000	As an example of this, there are two ladies in New York, whose names rarely appear in print, but who, in a quiet way, have given us the means with which to erect three large and important buildings during the last eight years.	As an example of this, there are two ladies in New York, whose names rarely appear in print, but who, in a quiet way, have given us the means with which to erect three large and important buildings during the last eight years.	true	510.59	525.7	20
3258_169291_000010_000001	Besides the gift of these buildings, they have made other generous donations to the school.	Besides the gift of these buildings, they have made other generous donations to the school.	true	526.19	531.31	16
3258_169291_000010_000002	And they not only help Tuskegee, but they are constantly seeking opportunities to help other worthy causes.	And they not only help Tuskegee, but they are constantly seeking opportunities to help other worthy causes.	true	531.62	538.455	20.874691
3258_169291_000011_000000	Although it has been my privilege to be the medium through which a good many hundred thousand dollars have been received for the work at Tuskegee, I have always avoided what the world calls "begging." I often tell people that I have never "begged" any money, and that I am not a "beggar." My experience and observation have convinced me that persistent asking outright for money from the rich does not, as a rule, secure help.	Although it has been my privilege to be the medium through which a good many hundred thousand dollars have been received for the work at Tuskegee, I have always avoided what the world calls "begging." I often tell people that I have never "begged" any money, and that I am not a "beggar." My experience and observation have convinced me that persistent asking outright for money from the rich does not, as a rule, secure help.	false	538.455	569.98	21.532862
3258_169291_000011_000001	I have usually proceeded on the principle that persons who possess sense enough to earn money have sense enough to know how to give it away, and that the mere making known of the facts regarding Tuskegee, and especially the facts regarding the work of the graduates, has been more effective than outright begging.	I have usually proceeded on the principle that persons who possess sense enough to earn money have sense enough to know how to give it away, and that the mere making known of the facts regarding Tuskegee, and especially the facts regarding the work of the graduates, has been more effective than outright begging.	true	570.23	589.27	21.40799
3258_169291_000011_000002	I think that the presentation of facts, on a high, dignified plane, is all the begging that most rich people care for.	I think that the presentation of facts, on a high, dignified plane, is all the begging that most rich people care for.	true	589.67	597.58	19
3258_169291_000012_000000	While the work of going from door to door and from office to office is hard, disagreeable, and costly in bodily strength, yet it has some compensations.	While the work of going from door to door and from office to office is hard, disagreeable, and costly in bodily strength, yet it has some compensations.	false	597.89	608.41	19.743858
3258_169291_000012_000001	Such work gives one a rare opportunity to study human nature.	Such work gives one a rare opportunity to study human nature.	true	608.69	613	23
3258_169291_000012_000002	It also has its compensations in giving one an opportunity to meet some of the best people in the world--to be more correct, I think I should say the best people in the world.	It also has its compensations in giving one an opportunity to meet some of the best people in the world-to be more correct, I think I should say the best people in the world.	true	613.28	624.88	20.840538
3258_169291_000012_000003	When one takes a broad survey of the country, he will find that the most useful and influential people in it are those who take the deepest interest in institutions that exist for the purpose of making the world better.	When one takes a broad survey of the country, he will find that the most useful and influential people in it are those who take the deepest interest in institutions that exist for the purpose of making the world better.	false	625.07	639.07	21.505209
3258_169291_000013_000000	At one time, when I was in Boston, I called at the door of a rather wealthy lady, and was admitted to the vestibule and sent up my card. While I was waiting for an answer, her husband came in, and asked me in the most abrupt manner what I wanted.	At one time, when I was in Boston, I called at the door of a rather wealthy lady, and was admitted to the vestibule and sent up my card. While I was waiting for an answer, her husband came in, and asked me in the most abrupt manner what I wanted.	true	639.71	655.3	19.661499
3258_169291_000013_000001	When I tried to explain the object of my call, he became still more ungentlemanly in his words and manner, and finally grew so excited that I left the house without waiting for a reply from the lady.	When I tried to explain the object of my call, he became still more ungentlemanly in his words and manner, and finally grew so excited that I left the house without waiting for a reply from the lady.	true	655.43	667.99	18
3258_169291_000013_000002	A few blocks from that house I called to see a gentleman who received me in the most cordial manner.	A few blocks from that house I called to see a gentleman who received me in the most cordial manner.	true	668.33	673.66	16
3258_169291_000013_000003	He wrote me his check for a generous sum, and then, before I had had an opportunity to thank him, said: "I am so grateful to you, Mr. Washington, for giving me the opportunity to help a good cause.	He wrote me his check for a generous sum, and then, before I had had an opportunity to thank him, said: "I am so grateful to you, mr Washington, for giving me the opportunity to help a good cause.	false	674	686.5	19
3258_169291_000013_000004	It is a privilege to have a share in it.	It is a privilege to have a share in it.	true	686.75	688.96	23.057693
3258_169291_000013_000005	We in Boston are constantly indebted to you for doing our work." My experience in securing money convinces me that the first type of man is growing more rare all the time, and that the latter type is increasing; that is, that, more and more, rich people are coming to regard men and women who apply to them for help for worthy objects, not as beggars, but as agents for doing their work.	We in Boston are constantly indebted to you for doing our work." My experience in securing money convinces me that the first type of man is growing more rare all the time, and that the latter type is increasing; that is, that, more and more, rich people are coming to regard men and women who apply to them for help for worthy objects, not as beggars, but as agents for doing their work.	true	689.09	715.005	20
3258_169291_000014_000000	In the city of Boston I have rarely called upon an individual for funds that I have not been thanked for calling, usually before I could get an opportunity to thank the donor for the money.	In the city of Boston I have rarely called upon an individual for funds that I have not been thanked for calling, usually before I could get an opportunity to thank the donor for the money.	true	715.005	725.95	16
3258_169291_000014_000001	In that city the donors seem to feel, in a large degree, that an honour is being conferred upon them in their being permitted to give.	In that city the donors seem to feel, in a large degree, that an honour is being conferred upon them in their being permitted to give.	false	726.44	735.1	20.23032
3258_169291_000014_000002	Nowhere else have I met with, in so large a measure, this fine and Christlike spirit as in the city of Boston, although there are many notable instances of it outside that city.	Nowhere else have I met with, in so large a measure, this fine and Christlike spirit as in the city of Boston, although there are many notable instances of it outside that city.	true	735.38	746.86	19.521654
3258_169291_000014_000003	I repeat my belief that the world is growing in the direction of giving.	I repeat my belief that the world is growing in the direction of giving.	true	747.17	751.39	15
3258_169291_000014_000004	I repeat that the main rule by which I have been guided in collecting money is to do my full duty in regard to giving people who have money an opportunity for help.	I repeat that the main rule by which I have been guided in collecting money is to do my full duty in regard to giving people who have money an opportunity for help.	true	751.82	762.97	18
3258_169291_000015_000000	In the early years of the Tuskegee school I walked the streets or travelled country roads in the North for days and days without receiving a dollar.	In the early years of the Tuskegee school I walked the streets or travelled country roads in the North for days and days without receiving a dollar.	true	764.21	773.1	21.795422
3258_169291_000015_000001	Often as it happened, when during the week I had been disappointed in not getting a cent from the very individuals from whom I most expected help, and when I was almost broken down and discouraged, that generous help has come from some one who I had had little idea would give at all.	Often as it happened, when during the week I had been disappointed in not getting a cent from the very individuals from whom I most expected help, and when I was almost broken down and discouraged, that generous help has come from some one who I had had little idea would give at all.	true	773.1	791.08	19
3258_169291_000016_000000	I recall that on one occasion I obtained information that led me to believe that a gentleman who lived about two miles out in the country from Stamford, Conn., might become interested in our efforts at Tuskegee if our conditions and needs were presented to him.	I recall that on one occasion I obtained information that led me to believe that a gentleman who lived about two miles out in the country from stamford connecticut, might become interested in our efforts at Tuskegee if our conditions and needs were presented to him.	true	791.48	807.87	17
3258_169291_000016_000001	On an unusually cold and stormy day I walked the two miles to see him.	On an unusually cold and stormy day I walked the two miles to see him.	false	807.87	813.79	20.915852
3258_169291_000016_000002	After some difficulty I succeeded in securing an interview with him.	After some difficulty I succeeded in securing an interview with him.	true	814.1	818.41	20.255928
3258_169291_000016_000003	He listened with some degree of interest to what I had to say, but did not give me anything. I could not help having the feeling that, in a measure, the three hours that I had spent in seeing him had been thrown away.	He listened with some degree of interest to what I had to say, but did not give me anything. I could not help having the feeling that, in a measure, the three hours that I had spent in seeing him had been thrown away.	true	818.54	832.6	19.782635
3258_169291_000016_000004	Still, I had followed my usual rule of doing my duty.	Still, I had followed my usual rule of doing my duty.	true	833.09	836.92	17
3258_169291_000016_000005	If I had not seen him, I should have felt unhappy over neglect of duty.	If I had not seen him, I should have felt unhappy over neglect of duty.	true	837.23	842.05	15.8329735
3258_169291_000017_000000	Two years after this visit a letter came to Tuskegee from this man, which read like this: "Enclosed I send you a New York draft for ten thousand dollars, to be used in furtherance of your work.	Two years after this visit a letter came to Tuskegee from this man, which read like this: "Enclosed I send you a New York draft for ten thousand dollars, to be used in furtherance of your work.	true	842.27	855.34	21
3258_169291_000017_000001	I had placed this sum in my will for your school, but deem it wiser to give it to you while I live.	I had placed this sum in my will for your school, but deem it wiser to give it to you while I live.	true	855.62	862.06	19.685028
3258_169291_000017_000002	I recall with pleasure your visit to me two years ago."	I recall with pleasure your visit to me two years ago."	true	862.13	866.05	20
3258_169291_000018_000000	I can hardly imagine any occurrence which could have given me more genuine satisfaction than the receipt of this draft.	I can hardly imagine any occurrence which could have given me more genuine satisfaction than the receipt of this draft.	true	867.47	874.66	19
3258_169291_000018_000001	It was by far the largest single donation which up to that time the school had ever received.	It was by far the largest single donation which up to that time the school had ever received.	true	874.82	881.11	21.393953
3258_169291_000018_000002	It came at a time when an unusually long period had passed since we had received any money.	It came at a time when an unusually long period had passed since we had received any money.	true	881.45	886.99	15
3258_169291_000018_000003	We were in great distress because of lack of funds, and the nervous strain was tremendous.	We were in great distress because of lack of funds, and the nervous strain was tremendous.	true	887.54	892.99	19
3258_169291_000018_000004	It is difficult for me to think of any situation that is more trying on the nerves than that of conducting a large institution, with heavy obligations to meet, without knowing where the money is to come from to meet these obligations from month to month.	It is difficult for me to think of any situation that is more trying on the nerves than that of conducting a large institution, with heavy obligations to meet, without knowing where the money is to come from to meet these obligations from month to month.	true	893.21	909.64	19
3258_169291_000019_000000	In our case I felt a double responsibility, and this made the anxiety all the more intense.	In our case I felt a double responsibility, and this made the anxiety all the more intense.	true	909.92	916.3	21.482738
3258_169291_000019_000001	If the institution had been officered by white persons, and had failed, it would have injured the cause of Negro education; but I knew that the failure of our institution, officered by Negroes, would not only mean the loss of a school, but would cause people, in a large degree, to lose faith in the ability of the entire race.	If the institution had been officered by white persons, and had failed, it would have injured the cause of Negro education; but I knew that the failure of our institution, officered by Negroes, would not only mean the loss of a school, but would cause people, in a large degree, to lose faith in the ability of the entire race.	true	916.49	937.57	20.000328
3258_169291_000019_000002	The receipt of this draft for ten thousand dollars, under all these circumstances, partially lifted a burden that had been pressing down upon me for days.	The receipt of this draft for ten thousand dollars, under all these circumstances, partially lifted a burden that had been pressing down upon me for days.	true	937.82	948.22	21.924866
3258_169291_000020_000000	From the beginning of our work to the present I have always had the feeling, and lose no opportunity to impress our teachers with the same idea, that the school will always be supported in proportion as the inside of the institution is kept clean and pure and wholesome.	From the beginning of our work to the present I have always had the feeling, and lose no opportunity to impress our teachers with the same idea, that the school will always be supported in proportion as the inside of the institution is kept clean and pure and wholesome.	true	948.5	966.37	21.490616
3258_169291_000021_000000	The first time I ever saw the late Collis P. Huntington, the great railroad man, he gave me two dollars for our school.	The first time I ever saw the late Collis p Huntington, the great railroad man, he gave me two dollars for our school.	true	966.68	974.71	22
3258_169291_000021_000001	The last time I saw him, which was a few months before he died, he gave me fifty thousand dollars toward our endowment fund.	The last time I saw him, which was a few months before he died, he gave me fifty thousand dollars toward our endowment fund.	true	974.93	983.62	17
3258_169291_000021_000002	Between these two gifts there were others of generous proportions which came every year from both Mr. and Mrs. Huntington.	Between these two gifts there were others of generous proportions which came every year from both mr and mrs Huntington.	true	984.41	991.66	20
3258_169291_000022_000000	Some people may say that it was Tuskegee's good luck that brought to us this gift of fifty thousand dollars.	Some people may say that it was Tuskegee's good luck that brought to us this gift of fifty thousand dollars.	false	992.24	998.2	22
3258_169291_000022_000001	No, it was not luck.	No, it was not luck.	true	998.48	1000.56	22.096775
3258_169291_000022_000002	It was hard work.	It was hard work.	true	1000.56	1002.31	19.732996
3258_169291_000022_000003	Nothing ever comes to me, that is worth having, except as the result of hard work.	Nothing ever comes to me, that is worth having, except as the result of hard work.	true	1002.53	1008.52	21.607508
3258_169291_000022_000004	When Mr. Huntington gave me the first two dollars, I did not blame him for not giving me more, but made up my mind that I was going to convince him by tangible results that we were worthy of larger gifts.	When mr Huntington gave me the first two dollars, I did not blame him for not giving me more, but made up my mind that I was going to convince him by tangible results that we were worthy of larger gifts.	true	1008.71	1022.29	17
3258_169291_000022_000005	For a dozen years I made a strong effort to convince Mr. Huntington of the value of our work.	For a dozen years I made a strong effort to convince mr Huntington of the value of our work.	true	1022.84	1029.16	17
3258_169291_000022_000006	I noted that just in proportion as the usefulness of the school grew, his donations increased.	I noted that just in proportion as the usefulness of the school grew, his donations increased.	true	1029.62	1036.21	22.08797
3258_169291_000022_000007	Never did I meet an individual who took a more kindly and sympathetic interest in our school than did Mr. Huntington.	Never did I meet an individual who took a more kindly and sympathetic interest in our school than did mr Huntington.	true	1036.4	1044.22	20
3258_169291_000022_000008	He not only gave money to us, but took time in which to advise me, as a father would a son, about the general conduct of the school.	He not only gave money to us, but took time in which to advise me, as a father would a son, about the general conduct of the school.	true	1044.44	1053.79	22.247768
3258_169291_000023_000000	More than once I have found myself in some pretty tight places while collecting money in the North.	More than once I have found myself in some pretty tight places while collecting money in the North.	true	1054.16	1059.94	21
3258_169291_000023_000001	The following incident I have never related but once before, for the reason that I feared that people would not believe it.	The following incident I have never related but once before, for the reason that I feared that people would not believe it.	true	1060.16	1067.16	18
3258_169291_000023_000002	One morning I found myself in Providence, Rhode Island, without a cent of money with which to buy breakfast.	One morning I found myself in providence rhode island, without a cent of money with which to buy breakfast.	true	1067.16	1073.65	20
3258_169291_000023_000003	In crossing the street to see a lady from whom I hoped to get some money, I found a bright new twenty-five-cent piece in the middle of the street track.	In crossing the street to see a lady from whom I hoped to get some money, I found a bright new twenty five cent piece in the middle of the street track.	true	1073.93	1083.7	20.63164
3258_169291_000023_000004	I not only had this twenty-five cents for my breakfast, but within a few minutes I had a donation from the lady on whom I had started to call.	I not only had this twenty five cents for my breakfast, but within a few minutes I had a donation from the lady on whom I had started to call.	true	1084.1	1092.55	17
3258_169291_000024_000000	At one of our Commencements I was bold enough to invite the Rev. E. Winchester Donald, D.D., rector of Trinity Church, Boston, to preach the Commencement sermon.	At one of our Commencements I was bold enough to invite the Rev. e Winchester Donald, d d, rector of Trinity Church, Boston, to preach the Commencement sermon.	true	1093.22	1104.55	21
3258_169291_000024_000001	As we then had no room large enough to accommodate all who would be present, the place of meeting was under a large improvised arbour, built partly of brush and partly of rough boards. Soon after Dr. Donald had begun speaking, the rain came down in torrents, and he had to stop, while someone held an umbrella over him.	As we then had no room large enough to accommodate all who would be present, the place of meeting was under a large improvised arbour, built partly of brush and partly of rough boards. Soon after dr Donald had begun speaking, the rain came down in torrents, and he had to stop, while someone held an umbrella over him.	true	1105.46	1127.2	19
3258_169291_000025_000000	The boldness of what I had done never dawned upon me until I saw the picture made by the rector of Trinity Church standing before that large audience under an old umbrella, waiting for the rain to cease so that he could go on with his address.	The boldness of what I had done never dawned upon me until I saw the picture made by the rector of Trinity Church standing before that large audience under an old umbrella, waiting for the rain to cease so that he could go on with his address.	false	1127.36	1142.85	19.77152
3258_169291_000026_000000	It was not very long before the rain ceased and Dr. Donald finished his sermon; and an excellent sermon it was, too, in spite of the weather. After he had gone to his room, and had gotten the wet threads of his clothes dry, Dr. Donald ventured the remark that a large chapel at Tuskegee would not be out of place.	It was not very long before the rain ceased and dr Donald finished his sermon; and an excellent sermon it was, too, in spite of the weather. After he had gone to his room, and had gotten the wet threads of his clothes dry, dr Donald ventured the remark that a large chapel at Tuskegee would not be out of place.	true	1142.85	1162.36	20
3258_169291_000026_000001	The next day a letter came from two ladies who were then travelling in Italy, saying that they had decided to give us the money for such a chapel as we needed.	The next day a letter came from two ladies who were then travelling in Italy, saying that they had decided to give us the money for such a chapel as we needed.	false	1162.85	1172.59	20.584427
3258_169291_000027_000000	A short time ago we received twenty thousand dollars from Mr. Andrew Carnegie, to be used for the purpose of erecting a new library building. Our first library and reading-room were in a corner of a shanty, and the whole thing occupied a space about five by twelve feet.	A short time ago we received twenty thousand dollars from mr Andrew Carnegie, to be used for the purpose of erecting a new library building. Our first library and reading room were in a corner of a shanty, and the whole thing occupied a space about five by twelve feet.	true	1172.9	1190.5	21
3258_169291_000027_000001	It required ten years of work before I was able to secure Mr. Carnegie's interest and help.	It required ten years of work before I was able to secure mr Carnegie's interest and help.	true	1190.87	1197.02	21
3258_169291_000027_000002	The first time I saw him, ten years ago, he seemed to take but little interest in our school, but I was determined to show him that we were worthy of his help.	The first time I saw him, ten years ago, he seemed to take but little interest in our school, but I was determined to show him that we were worthy of his help.	true	1197.02	1206.64	21.933992
3258_169291_000027_000003	After ten years of hard work I wrote him a letter reading as follows:	After ten years of hard work I wrote him a letter reading as follows:	true	1206.86	1211.92	18
3258_169291_000028_000000	December 15, 1900.	december fifteenth nineteen hundred.	true	1212.5	1215.67	19.826902
3258_169291_000029_000000	Mr. Andrew Carnegie, 5 W. Fifty-first St., New York.	mr Andrew Carnegie, five w Fifty first st, New York.	false	1215.83	1221.64	24.87261
3258_169291_000030_000000	Dear Sir: Complying with the request which you made of me when I saw you at your residence a few days ago, I now submit in writing an appeal for a library building for our institution.	Dear Sir: Complying with the request which you made of me when I saw you at your residence a few days ago, I now submit in writing an appeal for a library building for our institution.	true	1222.58	1235.26	19.972786
3258_169291_000031_000000	We have 1100 students, 86 officers and instructors, together with their families, and about 200 coloured people living near the school, all of whom would make use of the library building.	We have eleven hundred students, eighty six officers and instructors, together with their families, and about two hundred coloured people living near the school, all of whom would make use of the library building.	false	1235.84	1249.99	20
