2999_156968_000001_000000	AIM OF THE BIBLICAL WRITERS IN RECOUNTING THE FLOOD STORY.	AIM OF THE BIBLICAL WRITERS IN RECOUNTING THE FLOOD STORY.
2999_156968_000007_000001	This was because they had grasped universal principles.	This was because they had grasped universal principles.
2999_156968_000009_000000	This principle, since that day, has been thoroughly worked out in practically all the important fields of both the plant and animal world.	This principle, since that day, has been thoroughly worked out in practically all the important fields of both the plant and animal world.
2999_156968_000009_000001	Moreover, the doctrine of evolution, dependent upon this principle, has exerted so great an influence upon the process of investigation and thinking in all fields of activity that the resulting change in method has amounted to a revolution.	Moreover, the doctrine of evolution, dependent upon this principle, has exerted so great an influence upon the process of investigation and thinking in all fields of activity that the resulting change in method has amounted to a revolution.
2999_156968_000009_000002	The principle is applied not only in the field of biology, but also in the realm of astronomy, where we study the evolution of worlds, and in psychology, history, social science, where we speak of the development of human traits and of the growth of economic, political and social institutions.	The principle is applied not only in the field of biology, but also in the realm of astronomy, where we study the evolution of worlds, and in psychology, history, social science, where we speak of the development of human traits and of the growth of economic, political and social institutions.
2999_156968_000011_000001	It is, therefore, one of the most suggestive and interesting of the writings of the early Israelites.	It is, therefore, one of the most suggestive and interesting of the writings of the early Israelites.
2999_156968_000015_000002	Business success in the long run, is so strongly based upon mutual confidence and trust, that, especially in these later days of credit organization, the dishonest man or even the tricky man cannot prosper long.	Business success in the long run, is so strongly based upon mutual confidence and trust, that, especially in these later days of credit organization, the dishonest man or even the tricky man cannot prosper long.
2999_156968_000015_000003	A sales manager of a prominent institution said lately that the chief difficulty that he had with his men was to make them always tell the truth.	A sales manager of a prominent institution said lately that the chief difficulty that he had with his men was to make them always tell the truth.
2999_156968_000015_000004	For the sake of making an important sale they were often inclined to misrepresent his goods.	For the sake of making an important sale they were often inclined to misrepresent his goods.
2999_156968_000016_000000	It may perhaps have been true in the days of Machiavelli that cruelty and treachery would aid the unscrupulous petty despot of Italy to secure and at times to maintain his dukedom; but certainly in modern days, when in all civilized countries permanently prosperous government is based ultimately upon the will of the people, the successful ruler can no longer be treacherous and cruel.	It may perhaps have been true in the days of Machiavelli that cruelty and treachery would aid the unscrupulous petty despot of Italy to secure and at times to maintain his dukedom; but certainly in modern days, when in all civilized countries permanently prosperous government is based ultimately upon the will of the people, the successful ruler can no longer be treacherous and cruel.
2999_156968_000016_000001	Even among our so-called "spoils" politicians and corrupt bosses, who hold their positions by playing upon the selfishness of their followers and the ignorance and apathy of the public, there must be rigid faithfulness to promises, and, at any rate, the appearance of promoting the public welfare.	Even among our so-called "spoils" politicians and corrupt bosses, who hold their positions by playing upon the selfishness of their followers and the ignorance and apathy of the public, there must be rigid faithfulness to promises, and, at any rate, the appearance of promoting the public welfare.
2999_156968_000016_000002	Otherwise their term of power is short.	Otherwise their term of power is short.
2999_156968_000017_000000	If we look back through the history of modern times, we shall find that the statesmen who rank high among the successful rulers of their countries are men of unselfish patriotism, and almost invariably men of personal uprightness and morality, and usually of deep religious feeling.	If we look back through the history of modern times, we shall find that the statesmen who rank high among the successful rulers of their countries are men of unselfish patriotism, and almost invariably men of personal uprightness and morality, and usually of deep religious feeling.
2999_156968_000017_000002	Pick out the leading statesmen of the last half century in England, Germany and Italy. Do they not all stand for unselfish, patriotic purpose in their actions, and in character for individual honor and integrity?	Pick out the leading statesmen of the last half century in England, Germany and Italy. Do they not all stand for unselfish, patriotic purpose in their actions, and in character for individual honor and integrity?
2999_156968_000018_000000	The same is true in our social intercourse.	The same is true in our social intercourse.
2999_156968_000018_000001	Brilliancy of intellect, however important in many fields of activity, counts for relatively little in home and social life, if not accompanied by graciousness of manner, kindness of heart, uprightness of character.	Brilliancy of intellect, however important in many fields of activity, counts for relatively little in home and social life, if not accompanied by graciousness of manner, kindness of heart, uprightness of character.
2999_156968_000018_000002	It may sometimes seem that the brilliant rascal succeeds, that the unscrupulous business man becomes rich, and that the hypocrite prospers through his hypocrisy.	It may sometimes seem that the brilliant rascal succeeds, that the unscrupulous business man becomes rich, and that the hypocrite prospers through his hypocrisy.
2999_156968_000018_000005	Or, even there, would the adage, "There must be honor among thieves," hold, when it came to permanent organization?	Or, even there, would the adage, "There must be honor among thieves," hold, when it came to permanent organization?
2999_156968_000018_000006	But, whatever your answer, society fortunately is not made up of hypocrites or rascals of any kind.	But, whatever your answer, society fortunately is not made up of hypocrites or rascals of any kind.
2999_156968_000018_000007	With all the weakness of human nature found in every society, the growing success of the rule of the people throughout the world proves that fundamentally men and women are honest and true.	With all the weakness of human nature found in every society, the growing success of the rule of the people throughout the world proves that fundamentally men and women are honest and true.
2999_156968_000018_000008	Generally common human nature is for the right.	Generally common human nature is for the right.
2999_156968_000018_000009	Almost universally, if a mooted question touching morals can be put simply and squarely before the people, they will see and choose the right.	Almost universally, if a mooted question touching morals can be put simply and squarely before the people, they will see and choose the right.
2999_156968_000021_000001	How do you explain the striking points of similarity between the flood stories of peoples far removed from each other?	How do you explain the striking points of similarity between the flood stories of peoples far removed from each other?
2999_156968_000022_000000	Is there geological evidence that the earth, during human history, has been completely inundated?	Is there geological evidence that the earth, during human history, has been completely inundated?
2999_156968_000023_000000	What do you mean by a calamity?	What do you mean by a calamity?
2999_156968_000025_000000	What were the effects of the Chicago fire and the San Francisco earthquake upon these cities?	What were the effects of the Chicago fire and the San Francisco earthquake upon these cities?
2999_156968_000026_000000	To what extent is the modern progress in sanitation due to natural calamities?	To what extent is the modern progress in sanitation due to natural calamities?
2999_156968_000026_000001	What calamities?	What calamities?
2999_156968_000027_000001	What illustrations can you cite?	What illustrations can you cite?
2999_156968_000028_000001	How do circumstances affect the kind of act that will be successful?	How do circumstances affect the kind of act that will be successful?
2999_156968_000028_000002	During the Chinese revolution of 1912 in Peking and Nanking, looting leaders of mobs and plundering soldiers when captured were promptly decapitated without trial.	During the Chinese revolution of nineteen twelve in Peking and Nanking, looting leaders of mobs and plundering soldiers when captured were promptly decapitated without trial.
2999_156968_000028_000003	Was such an act right?	Was such an act right?
2999_156968_000028_000004	Was it necessary?	Was it necessary?
2999_156968_000028_000006	Would the same act tend equally to preserve the government in both countries?	Would the same act tend equally to preserve the government in both countries?
2999_156968_000030_000000	(1) Flood Stories among Primitive Peoples.	(one) Flood Stories among Primitive Peoples.
2999_156968_000034_000000	Did these different methods under the special circumstances result in the survival of the fittest?	Did these different methods under the special circumstances result in the survival of the fittest?
2999_156968_000034_000001	The fittest morally?	The fittest morally?
