2999_156968_000000_000000	IV.	i v.	false	14.82	30.585	21.511658
2999_156968_000016_000001	Even among our so-called "spoils" politicians and corrupt bosses, who hold their positions by playing upon the selfishness of their followers and the ignorance and apathy of the public, there must be rigid faithfulness to promises, and, at any rate, the appearance of promoting the public welfare.	Even among our so-called "spoils" politicians and corrupt bosses, who hold their positions by playing upon the selfishness of their followers and the ignorance and apathy of the public, there must be rigid faithfulness to promises, and, at any rate, the appearance of promoting the public welfare.	true	596.78	616.42	21.90319
2999_156968_000016_000002	Otherwise their term of power is short.	Otherwise their term of power is short.	true	616.52	619.3	20.620161
2999_156968_000017_000000	If we look back through the history of modern times, we shall find that the statesmen who rank high among the successful rulers of their countries are men of unselfish patriotism, and almost invariably men of personal uprightness and morality, and usually of deep religious feeling.	If we look back through the history of modern times, we shall find that the statesmen who rank high among the successful rulers of their countries are men of unselfish patriotism, and almost invariably men of personal uprightness and morality, and usually of deep religious feeling.	true	619.97	639.88	20.592234
2999_156968_000017_000001	Think over the names of the great men of the United States, and note their characters.	Think over the names of the great men of the United States, and note their characters.	false	640.67	645.94	21.666117
2999_156968_000017_000002	Pick out the leading statesmen of the last half century in England, Germany and Italy. Do they not all stand for unselfish, patriotic purpose in their actions, and in character for individual honor and integrity?	Pick out the leading statesmen of the last half century in England, Germany and Italy. Do they not all stand for unselfish, patriotic purpose in their actions, and in character for individual honor and integrity?	true	646.76	661.33	21.137169
2999_156968_000018_000000	The same is true in our social intercourse.	The same is true in our social intercourse.	true	661.91	664.69	20.726189
2999_156968_000018_000001	Brilliancy of intellect, however important in many fields of activity, counts for relatively little in home and social life, if not accompanied by graciousness of manner, kindness of heart, uprightness of character.	Brilliancy of intellect, however important in many fields of activity, counts for relatively little in home and social life, if not accompanied by graciousness of manner, kindness of heart, uprightness of character.	true	665.18	679.57	20.805243
2999_156968_000018_000002	It may sometimes seem that the brilliant rascal succeeds, that the unscrupulous business man becomes rich, and that the hypocrite prospers through his hypocrisy.	It may sometimes seem that the brilliant rascal succeeds, that the unscrupulous business man becomes rich, and that the hypocrite prospers through his hypocrisy.	true	680.24	690.97	20.671099
2999_156968_000018_000003	If all society were made up of men of these low moral types, would such cases perhaps be more often found than now?	If all society were made up of men of these low moral types, would such cases perhaps be more often found than now?	false	691.76	699.16	19.453537
2999_156968_000018_000004	In a society of hypocrites, would the fittest for survival be the most skilful deceiver?	In a society of hypocrites, would the fittest for survival be the most skilful deceiver?	true	700.07	706.3	19.359394
2999_156968_000018_000005	Or, even there, would the adage, "There must be honor among thieves," hold, when it came to permanent organization?	Or, even there, would the adage, "There must be honor among thieves," hold, when it came to permanent organization?	true	706.49	714.04	20.631424
2999_156968_000018_000006	But, whatever your answer, society fortunately is not made up of hypocrites or rascals of any kind.	But, whatever your answer, society fortunately is not made up of hypocrites or rascals of any kind.	true	714.59	721.57	20.32135
2999_156968_000018_000007	With all the weakness of human nature found in every society, the growing success of the rule of the people throughout the world proves that fundamentally men and women are honest and true.	With all the weakness of human nature found in every society, the growing success of the rule of the people throughout the world proves that fundamentally men and women are honest and true.	true	721.79	734.5	21.50069
2999_156968_000018_000008	Generally common human nature is for the right.	Generally common human nature is for the right.	true	735.02	738.46	23.619576
2999_156968_000018_000009	Almost universally, if a mooted question touching morals can be put simply and squarely before the people, they will see and choose the right.	Almost universally, if a mooted question touching morals can be put simply and squarely before the people, they will see and choose the right.	true	738.86	748.39	20.37711
2999_156968_000019_000000	Fortunate it is for the world that the lessons taught by the early Hebrew writers regarding the survival of the moral and upright are true, and that good sense and religion both agree that in the long run, honor and virtue and righteousness not only pay the individual, but are essential to the prosperity of a nation.	Fortunate it is for the world that the lessons taught by the early Hebrew writers regarding the survival of the moral and upright are true, and that good sense and religion both agree that in the long run, honor and virtue and righteousness not only pay the individual, but are essential to the prosperity of a nation.	false	749.3	770.46	20.48128
2999_156968_000020_000000	_Questions for Further Consideration_.	underscore Questions for Further Consideration underscore.	false	770.46	775.05	18.189266
2999_156968_000021_000000	Had most primitive peoples a tradition regarding the flood?	Had most primitive peoples a tradition regarding the flood?	true	775.05	778.51	19.7777
2999_156968_000021_000001	How do you explain the striking points of similarity between the flood stories of peoples far removed from each other?	How do you explain the striking points of similarity between the flood stories of peoples far removed from each other?	true	779.33	788.26	21.167238
2999_156968_000022_000000	Is there geological evidence that the earth, during human history, has been completely inundated?	Is there geological evidence that the earth, during human history, has been completely inundated?	true	788.27	794.86	21.529722
2999_156968_000023_000000	What do you mean by a calamity?	What do you mean by a calamity?	true	795.47	797.65	23.122042
2999_156968_000023_000001	Is it a mere accident, or an essential factor in the realization of the divine purpose in human history?	Is it a mere accident, or an essential factor in the realization of the divine purpose in human history?	true	798.17	804.96	19.831049
2999_156968_000024_000000	Are appalling calamities, like floods and earthquakes, the result of the working out of natural laws?	Are appalling calamities, like floods and earthquakes, the result of the working out of natural laws?	false	804.96	812.59	20.459312
2999_156968_000024_000001	Are they unmitigated evils? Were the floods in China and the plagues in India, which destroyed millions of lives, seemingly essential to the welfare of the surviving inhabitants of those overpopulated lands?	Are they unmitigated evils? Were the floods in China and the plagues in India, which destroyed millions of lives, seemingly essential to the welfare of the surviving inhabitants of those overpopulated lands?	true	813.14	828.4	19.59934
2999_156968_000025_000000	What were the effects of the Chicago fire and the San Francisco earthquake upon these cities?	What were the effects of the Chicago fire and the San Francisco earthquake upon these cities?	true	828.95	834.43	20.37525
2999_156968_000025_000001	How far was the development of the modern commission form of city government one of the direct results of the Galveston flood?	How far was the development of the modern commission form of city government one of the direct results of the Galveston flood?	true	835.4	843.31	19.716436
2999_156968_000026_000000	To what extent is the modern progress in sanitation due to natural calamities?	To what extent is the modern progress in sanitation due to natural calamities?	true	844.01	849.46	21.589163
2999_156968_000026_000001	What calamities?	What calamities?	true	849.92	851.47	23.111172
2999_156968_000027_000000	Is a great calamity often necessary to arouse the inhabitants of a city or nation to the development of their resources and to the realisation of their highest possibilities?	Is a great calamity often necessary to arouse the inhabitants of a city or nation to the development of their resources and to the realisation of their highest possibilities?	true	852.65	864.13	19.744677
2999_156968_000027_000001	What illustrations can you cite?	What illustrations can you cite?	true	865.1	867.22	20.954987
2999_156968_000028_000000	How do changes in the environment of men affect the moral quality of their acts?	How do changes in the environment of men affect the moral quality of their acts?	false	868.37	873.82	22.008398
2999_156968_000028_000001	How do circumstances affect the kind of act that will be successful?	How do circumstances affect the kind of act that will be successful?	true	874.67	879.25	21.582285
2999_156968_000028_000002	During the Chinese revolution of 1912 in Peking and Nanking, looting leaders of mobs and plundering soldiers when captured were promptly decapitated without trial.	During the Chinese revolution of nineteen twelve in Peking and Nanking, looting leaders of mobs and plundering soldiers when captured were promptly decapitated without trial.	true	880.16	891.97	21.032883
2999_156968_000028_000003	Was such an act right?	Was such an act right?	true	892.61	894.43	21.382504
2999_156968_000028_000004	Was it necessary?	Was it necessary?	true	894.86	896.38	21.776814
2999_156968_000028_000005	What conditions would justify such an act in the United States?	What conditions would justify such an act in the United States?	true	896.69	901	19.752996
2999_156968_000028_000006	Would the same act tend equally to preserve the government in both countries?	Would the same act tend equally to preserve the government in both countries?	true	901.49	906.42	21.68882
2999_156968_000029_000000	_Subjects for Further Study_.	underscore Subjects for Further Study underscore.	false	906.42	910.89	19.520567
2999_156968_000030_000000	(1) Flood Stories among Primitive Peoples.	(one) Flood Stories among Primitive Peoples.	true	910.89	914.71	21.475204
2999_156968_000030_000001	Worcester, _Genesis_ 361-373; Hastings, _Dict. of Bible_ Vol.	Worcester, underscore genesis underscore three hundred sixty one to three hundred seventy three; Hastings, underscore Dict. of Bible underscore vol	false	915.41	925.98	20.199245
2999_156968_000030_000002	II, 18-22; Extra Vol. 181-182; _Encyc.	two, eighteen to twenty two; Extra vol one hundred eighty one to one hundred eighty two; underscore e n c y c.	false	925.98	937.59	20.794384
2999_156968_000030_000003	Brit_.	Brit underscore.	false	937.59	938.64	10.000369
2999_156968_000031_000000	(2) The Scientific Basis of the Biblical Account of the Flood. Ryle, _Early Narratives of Gen_. 112-113; Davis, _Gen. and Semitic Traditions_ 130-131; Driver, _Genesis_ 82-83, 99; Sollas, _Age of the Earth_, 316 ff.	(two) The Scientific Basis of the Biblical Account of the Flood. Ryle, underscore Early Narratives of Gen underscore. one hundred twelve to one hundred thirteen; Davis, underscore Gen. and Semitic Traditions underscore one hundred thirty to one hundred thirty one; Driver, underscore genesis underscore eighty two to eighty three, ninety nine; Sollas, underscore Age of the Earth underscore, three hundred sixteen f f.	false	938.64	973.89	20.428581
2999_156968_000032_000000	(3) Compare the treatment accorded their rivals and competitors for power in their various fields by the following persons: Solomon, Caesar Borgia, the late Empress Dowager of China (Tz'u-hsi), Bismarck, the great political leaders of today in Great Britain and the United States and the modern combinations of capital known as trusts.	(three) Compare the treatment accorded their rivals and competitors for power in their various fields by the following persons: Solomon, Caesar Borgia, the late Empress Dowager of China (Tz'u hsi), Bismarck, the great political leaders of today in Great Britain and the United States and the modern combinations of capital known as trusts.	false	973.89	1003.71	20.140951
2999_156968_000033_000000	I Kings 1; Machiavelli, _The Prince_; Douglas, _Europe and the Far East_, Ch. 17.	first kings chapter one; Machiavelli, underscore The Prince underscore; Douglas, underscore Europe and the Far East underscore, c h. seventeen.	false	1003.71	1014.55	21.097275
2999_156968_000034_000000	Did these different methods under the special circumstances result in the survival of the fittest?	Did these different methods under the special circumstances result in the survival of the fittest?	true	1015.88	1022.56	21.041378
2999_156968_000034_000001	The fittest morally?	The fittest morally?	true	1023.29	1024.77	21.230742
2999_156968_000035_000000	STUDY V	STUDY V	false	1024.77	1025.01	-20
2999_156968_000036_000000	THE PIONEER'S INFLUENCE UPON A NATION'S IDEALS.	THE PIONEER'S INFLUENCE UPON A NATION'S IDEALS.	false	1025.01	1025.85	0
2999_156968_000037_000000	ABRAHAM, THE TRADITIONAL FATHER OF HIS RACE.--Gen. 12:1-8; 13:1-13; 16; 18, 19; 21:7; 22:1-19.	ABRAHAM, THE TRADITIONAL FATHER OF HIS RACE.--Gen. twelve to one minus eight; thirteen to one minus thirteen; sixteen; eighteen, nineteen; twenty one to seven; twenty two to one minus nineteen.	false	1025.85	1031.04	21.708082
