543_133212_000000_000000	"I should be glad to see such a rarity," said Martin.	"I should be glad to see such a rarity," said Martin.	false	0	2.97	15.466057
543_133212_000016_000000	"I grant," said the Senator, "that the second, fourth, and sixth books of his _AEneid_ are excellent, but as for his pious AEneas, his strong Cloanthus, his friend Achates, his little Ascanius, his silly King Latinus, his bourgeois Amata, his insipid Lavinia, I think there can be nothing more flat and disagreeable.	"I grant," said the Senator, "that the second, fourth, and sixth books of his underscore AEneid underscore are excellent, but as for his pious AEneas, his strong Cloanthus, his friend Achates, his little Ascanius, his silly King Latinus, his bourgeois Amata, his insipid Lavinia, I think there can be nothing more flat and disagreeable.	false	300.72	325.155	18
543_133212_000016_000001	I prefer Tasso a good deal, or even the soporific tales of Ariosto."	I prefer Tasso a good deal, or even the soporific tales of Ariosto."	true	325.155	331.15	15
543_133212_000017_000000	"May I presume to ask you, sir," said Candide, "whether you do not receive a great deal of pleasure from reading Horace?"	"May I presume to ask you, sir," said Candide, "whether you do not receive a great deal of pleasure from reading Horace?"	true	331.46	338.92	13
543_133212_000018_000000	"There are maxims in this writer," answered Pococurante, "from which a man of the world may reap great benefit, and being written in energetic verse they are more easily impressed upon the memory.	"There are maxims in this writer," answered Pococurante, "from which a man of the world may reap great benefit, and being written in energetic verse they are more easily impressed upon the memory.	false	339.02	352.03	17
543_133212_000018_000001	But I care little for his journey to Brundusium, and his account of a bad dinner, or of his low quarrel between one Rupilius whose words he says were full of poisonous filth, and another whose language was imbued with vinegar.	But I care little for his journey to Brundusium, and his account of a bad dinner, or of his low quarrel between one Rupilius whose words he says were full of poisonous filth, and another whose language was imbued with vinegar.	false	352.1	369.465	13
543_133212_000018_000002	I have read with much distaste his indelicate verses against old women and witches; nor do I see any merit in telling his friend Maecenas that if he will but rank him in the choir of lyric poets, his lofty head shall touch the stars.	I have read with much distaste his indelicate verses against old women and witches; nor do I see any merit in telling his friend Maecenas that if he will but rank him in the choir of lyric poets, his lofty head shall touch the stars.	false	369.465	386.94	16
543_133212_000018_000003	Fools admire everything in an author of reputation.	Fools admire everything in an author of reputation.	true	386.94	391.05	15
543_133212_000018_000004	For my part, I read only to please myself.	For my part, I read only to please myself.	false	391.05	394.605	19
543_133212_000018_000005	I like only that which serves my purpose."	I like only that which serves my purpose."	true	394.605	398.44	19
543_133212_000019_000000	Candide, having been educated never to judge for himself, was much surprised at what he heard.	Candide, having been educated never to judge for himself, was much surprised at what he heard.	true	398.48	405.18	14
543_133212_000019_000001	Martin found there was a good deal of reason in Pococurante's remarks.	Martin found there was a good deal of reason in Pococurante's remarks.	true	405.18	410.32	13
543_133212_000020_000000	"Oh! here is Cicero," said Candide.	"Oh! here is Cicero," said Candide.	true	410.39	412.875	16
543_133212_000020_000001	"Here is the great man whom I fancy you are never tired of reading."	"Here is the great man whom I fancy you are never tired of reading."	false	412.875	417.37	14
543_133212_000021_000000	"I never read him," replied the Venetian.	"I never read him," replied the Venetian.	true	417.5	420.24	17.106886
543_133212_000021_000001	"What is it to me whether he pleads for Rabirius or Cluentius?	"What is it to me whether he pleads for Rabirius or Cluentius?	true	420.24	424.56	14
543_133212_000021_000002	I try causes enough myself; his philosophical works seem to me better, but when I found that he doubted of everything, I concluded that I knew as much as he, and that I had no need of a guide to learn ignorance."	I try causes enough myself; his philosophical works seem to me better, but when I found that he doubted of everything, I concluded that I knew as much as he, and that I had no need of a guide to learn ignorance."	true	424.56	440.74	15
543_133212_000022_000000	"Ha! here are four-score volumes of the Academy of Sciences," cried Martin.	"Ha! here are four score volumes of the Academy of Sciences," cried Martin.	true	440.99	446.235	18
543_133212_000022_000001	"Perhaps there is something valuable in this collection."	"Perhaps there is something valuable in this collection."	true	446.235	449.29	17
543_133212_000023_000000	"There might be," said Pococurante, "if only one of those rakers of rubbish had shown how to make pins; but in all these volumes there is nothing but chimerical systems, and not a single useful thing."	"There might be," said Pococurante, "if only one of those rakers of rubbish had shown how to make pins; but in all these volumes there is nothing but chimerical systems, and not a single useful thing."	false	449.33	464.92	17
543_133212_000024_000000	"And what dramatic works I see here," said Candide, "in Italian, Spanish, and French."	"And what dramatic works I see here," said Candide, "in Italian, Spanish, and French."	true	465.08	471.22	16
543_133212_000025_000000	"Yes," replied the Senator, "there are three thousand, and not three dozen of them good for anything.	"Yes," replied the Senator, "there are three thousand, and not three dozen of them good for anything.	true	471.26	478.42	18
543_133212_000025_000001	As to those collections of sermons, which altogether are not worth a single page of Seneca, and those huge volumes of theology, you may well imagine that neither I nor any one else ever opens them."	As to those collections of sermons, which altogether are not worth a single page of Seneca, and those huge volumes of theology, you may well imagine that neither I nor any one else ever opens them."	true	478.49	493.06	18
543_133212_000026_000000	Martin saw some shelves filled with English books.	Martin saw some shelves filled with English books.	true	493.13	496.845	18
543_133212_000027_000000	"I have a notion," said he, "that a Republican must be greatly pleased with most of these books, which are written with a spirit of freedom."	"I have a notion," said he, "that a Republican must be greatly pleased with most of these books, which are written with a spirit of freedom."	true	496.845	505.56	17
543_133212_000028_000000	"Yes," answered Pococurante, "it is noble to write as one thinks; this is the privilege of humanity.	"Yes," answered Pococurante, "it is noble to write as one thinks; this is the privilege of humanity.	false	505.56	513.9	20.090988
543_133212_000028_000001	In all our Italy we write only what we do not think; those who inhabit the country of the Caesars and the Antoninuses dare not acquire a single idea without the permission of a Dominican friar.	In all our Italy we write only what we do not think; those who inhabit the country of the Caesars and the Antoninuses dare not acquire a single idea without the permission of a Dominican friar.	true	513.9	527.205	15
543_133212_000028_000002	I should be pleased with the liberty which inspires the English genius if passion and party spirit did not corrupt all that is estimable in this precious liberty."	I should be pleased with the liberty which inspires the English genius if passion and party spirit did not corrupt all that is estimable in this precious liberty."	false	527.205	538.71	22
543_133212_000029_000000	Candide, observing a Milton, asked whether he did not look upon this author as a great man.	Candide, observing a Milton, asked whether he did not look upon this author as a great man.	true	538.71	545.01	16
543_133212_000030_000000	"Who?" said Pococurante, "that barbarian, who writes a long commentary in ten books of harsh verse on the first chapter of Genesis; that coarse imitator of the Greeks, who disfigures the Creation, and who, while Moses represents the Eternal producing the world by a word, makes the Messiah take a great pair of compasses from the armoury of heaven to circumscribe His work?	"Who?" said Pococurante, "that barbarian, who writes a long commentary in ten books of harsh verse on the first chapter of genesis; that coarse imitator of the Greeks, who disfigures the Creation, and who, while Moses represents the Eternal producing the world by a word, makes the Messiah take a great pair of compasses from the armoury of heaven to circumscribe His work?	false	545.01	573.88	17
543_133212_000030_000001	How can I have any esteem for a writer who has spoiled Tasso's hell and the devil, who transforms Lucifer sometimes into a toad and other times into a pigmy, who makes him repeat the same things a hundred times, who makes him dispute on theology, who, by a serious imitation of Ariosto's comic invention of firearms, represents the devils cannonading in heaven?	How can I have any esteem for a writer who has spoiled Tasso's hell and the devil, who transforms Lucifer sometimes into a toad and other times into a pigmy, who makes him repeat the same things a hundred times, who makes him dispute on theology, who, by a serious imitation of Ariosto's comic invention of firearms, represents the devils cannonading in heaven?	true	574.04	602.46	14
543_133212_000030_000002	Neither I nor any man in Italy could take pleasure in those melancholy extravagances; and the marriage of Sin and Death, and the snakes brought forth by Sin, are enough to turn the stomach of any one with the least taste, [and his long description of a pest-house is good only for a grave-digger].	Neither I nor any man in Italy could take pleasure in those melancholy extravagances; and the marriage of Sin and Death, and the snakes brought forth by Sin, are enough to turn the stomach of any one with the least taste, [and his long description of a pest house is good only for a grave digger].	true	602.46	625.24	18
543_133212_000030_000003	This obscure, whimsical, and disagreeable poem was despised upon its first publication, and I only treat it now as it was treated in its own country by contemporaries.	This obscure, whimsical, and disagreeable poem was despised upon its first publication, and I only treat it now as it was treated in its own country by contemporaries.	true	625.52	637.965	13
543_133212_000030_000004	For the matter of that I say what I think, and I care very little whether others think as I do."	For the matter of that I say what I think, and I care very little whether others think as I do."	true	637.965	645.58	20
543_133212_000031_000000	Candide was grieved at this speech, for he had a respect for Homer and was fond of Milton.	Candide was grieved at this speech, for he had a respect for Homer and was fond of Milton.	true	645.8	651.73	16
543_133212_000032_000000	"Alas!" said he softly to Martin, "I am afraid that this man holds our German poets in very great contempt."	"Alas!" said he softly to Martin, "I am afraid that this man holds our German poets in very great contempt."	true	651.77	660.1	19.760834
543_133212_000033_000000	"There would not be much harm in that," said Martin.	"There would not be much harm in that," said Martin.	true	660.2	663.85	21
543_133212_000034_000000	"Oh! what a superior man," said Candide below his breath.	"Oh! what a superior man," said Candide below his breath.	true	664.01	668.265	18
543_133212_000034_000001	"What a great genius is this Pococurante!	"What a great genius is this Pococurante!	false	668.265	671.4	16
543_133212_000034_000002	Nothing can please him."	Nothing can please him."	true	671.4	673.48	16
543_133212_000035_000000	After their survey of the library they went down into the garden, where Candide praised its several beauties.	After their survey of the library they went down into the garden, where Candide praised its several beauties.	true	673.61	680.53	14
543_133212_000036_000000	"I know of nothing in so bad a taste," said the master.	"I know of nothing in so bad a taste," said the master.	true	680.72	684.24	18.550026
543_133212_000036_000001	"All you see here is merely trifling.	"All you see here is merely trifling.	false	684.24	686.925	17
543_133212_000036_000002	After to-morrow I will have it planted with a nobler design."	After to morrow I will have it planted with a nobler design."	true	686.925	690.67	17
543_133212_000037_000000	"Well," said Candide to Martin when they had taken their leave, "you will agree that this is the happiest of mortals, for he is above everything he possesses."	"Well," said Candide to Martin when they had taken their leave, "you will agree that this is the happiest of mortals, for he is above everything he possesses."	true	691.04	699.51	14
543_133212_000038_000000	"But do you not see," answered Martin, "that he is disgusted with all he possesses?	"But do you not see," answered Martin, "that he is disgusted with all he possesses?	true	699.51	704.95	15
543_133212_000038_000001	Plato observed a long while ago that those stomachs are not the best that reject all sorts of food."	Plato observed a long while ago that those stomachs are not the best that reject all sorts of food."	true	704.99	712.335	17
543_133212_000039_000000	"But is there not a pleasure," said Candide, "in criticising everything, in pointing out faults where others see nothing but beauties?"	"But is there not a pleasure," said Candide, "in criticising everything, in pointing out faults where others see nothing but beauties?"	true	712.335	721.095	16
543_133212_000040_000000	"That is to say," replied Martin, "that there is some pleasure in having no pleasure."	"That is to say," replied Martin, "that there is some pleasure in having no pleasure."	true	721.095	727.95	17
543_133212_000041_000000	"Well, well," said Candide, "I find that I shall be the only happy man when I am blessed with the sight of my dear Cunegonde."	"Well, well," said Candide, "I find that I shall be the only happy man when I am blessed with the sight of my dear Cunegonde."	false	727.95	737.43	17
543_133212_000042_000000	"It is always well to hope," said Martin.	"It is always well to hope," said Martin.	true	737.43	740.62	18.83604
543_133212_000043_000000	However, the days and the weeks passed.	However, the days and the weeks passed.	true	740.63	743.46	18.643595
543_133212_000043_000001	Cacambo did not come, and Candide was so overwhelmed with grief that he did not even reflect that Paquette and Friar Giroflee did not return to thank him.	Cacambo did not come, and Candide was so overwhelmed with grief that he did not even reflect that Paquette and Friar Giroflee did not return to thank him.	false	743.46	783.81	18.686995
