3866_9920_000000_000000	CHAPTER V--BASQUE AND NICOLETTE	CHAPTER five-BASQUE AND NICOLETTE	false	1.53	34.87	20.238981
3866_9920_000001_000010	He had two servants, "a male and a female." When a servant entered his establishment, M. Gillenormand re-baptized him.	He had two servants, "a male and a female." When a servant entered his establishment, m Gillenormand re baptized him.	false	191.48	200.47	17.855042
3866_9920_000001_000011	He bestowed on the men the name of their province: Nimois, Comtois, Poitevin, Picard.	He bestowed on the men the name of their province: Nimois, Comtois, Poitevin, Picard.	false	200.6	208.69	19.681204
3866_9920_000001_000012	His last valet was a big, foundered, short-winded fellow of fifty-five, who was incapable of running twenty paces; but, as he had been born at Bayonne, M. Gillenormand called him Basque.	His last valet was a big, foundered, short winded fellow of fifty five, who was incapable of running twenty paces; but, as he had been born at Bayonne, m Gillenormand called him Basque.	false	208.79	223.33	20.931507
3866_9920_000001_000013	All the female servants in his house were called Nicolette (even the Magnon, of whom we shall hear more farther on).	All the female servants in his house were called Nicolette (even the Magnon, of whom we shall hear more farther on).	false	223.94	232.48	20.228804
3866_9920_000001_000014	One day, a haughty cook, a cordon bleu, of the lofty race of porters, presented herself. "How much wages do you want a month?" asked M. Gillenormand.	One day, a haughty cook, a cordon bleu, of the lofty race of porters, presented herself. "How much wages do you want a month?" asked m Gillenormand.	false	232.85	243.58	19.027744
3866_9920_000001_000015	"Thirty francs."	"Thirty francs."	true	243.92	244.93	23.814594
3866_9920_000001_000016	"What is your name?" "Olympie." "You shall have fifty francs, and you shall be called Nicolette."	"What is your name?" "Olympie." "You shall have fifty francs, and you shall be called Nicolette."	true	245.48	252.91	20.523611
3866_9920_000002_000000	CHAPTER VI--IN WHICH MAGNON AND HER TWO CHILDREN ARE SEEN	CHAPTER six-IN WHICH MAGNON AND HER TWO CHILDREN ARE SEEN	false	254.36	258.58	18.612255
3866_9920_000003_000000	With M. Gillenormand, sorrow was converted into wrath; he was furious at being in despair.	With m Gillenormand, sorrow was converted into wrath; he was furious at being in despair.	false	259.4	267.04	18.13677
3866_9920_000003_000001	He had all sorts of prejudices and took all sorts of liberties.	He had all sorts of prejudices and took all sorts of liberties.	true	267.5	271.87	20.168213
3866_9920_000003_000002	One of the facts of which his exterior relief and his internal satisfaction was composed, was, as we have just hinted, that he had remained a brisk spark, and that he passed energetically for such. This he called having "royal renown."	One of the facts of which his exterior relief and his internal satisfaction was composed, was, as we have just hinted, that he had remained a brisk spark, and that he passed energetically for such. This he called having "royal renown."	true	272.33	291.49	19.950087
3866_9920_000003_000003	This royal renown sometimes drew down upon him singular windfalls.	This royal renown sometimes drew down upon him singular windfalls.	true	291.8	297.16	16.498
3866_9920_000003_000004	One day, there was brought to him in a basket, as though it had been a basket of oysters, a stout, newly born boy, who was yelling like the deuce, and duly wrapped in swaddling-clothes, which a servant-maid, dismissed six months previously, attributed to him.	One day, there was brought to him in a basket, as though it had been a basket of oysters, a stout, newly born boy, who was yelling like the deuce, and duly wrapped in swaddling clothes, which a servant maid, dismissed six months previously, attributed to him.	true	297.47	315.96	18.719967
3866_9920_000003_000005	M. Gillenormand had, at that time, fully completed his eighty-fourth year.	M. Gillenormand had, at that time, fully completed his eighty fourth year.	false	315.96	323.08	18.960419
3866_9920_000003_000006	Indignation and uproar in the establishment.	Indignation and uproar in the establishment.	true	323.39	326.415	18
3866_9920_000003_000007	And whom did that bold hussy think she could persuade to believe that?	And whom did that bold hussy think she could persuade to believe that?	true	326.415	330.49	17
3866_9920_000003_000008	What audacity!	What audacity!	true	330.53	331.96	17.566055
3866_9920_000003_000009	What an abominable calumny!	What an abominable calumny!	true	332.09	334.44	19.574543
3866_9920_000003_000010	M. Gillenormand himself was not at all enraged.	M. Gillenormand himself was not at all enraged.	false	334.44	338.95	17.547682
3866_9920_000003_000011	He gazed at the brat with the amiable smile of a good man who is flattered by the calumny, and said in an aside: "Well, what now?	He gazed at the brat with the amiable smile of a good man who is flattered by the calumny, and said in an aside: "Well, what now?	true	339.05	347.47	19.005253
3866_9920_000003_000012	What's the matter?	What's the matter?	true	347.72	348.78	17.362734
3866_9920_000003_000013	You are finely taken aback, and really, you are excessively ignorant.	You are finely taken aback, and really, you are excessively ignorant.	true	348.78	353.01	21
3866_9920_000003_000014	M. le Duc d'Angouleme, the bastard of his Majesty Charles IX., married a silly jade of fifteen when he was eighty-five; M. Virginal, Marquis d'Alluye, brother to the Cardinal de Sourdis, Archbishop of Bordeaux, had, at the age of eighty-three, by the maid of Madame la Presidente Jacquin, a son, a real child of love, who became a Chevalier of Malta and a counsellor of state; one of the great men of this century, the Abbe Tabaraud, is the son of a man of eighty-seven.	M. le Duc d'Angouleme, the bastard of his Majesty Charles the ninth., married a silly jade of fifteen when he was eighty five; m Virginal, Marquis d'Alluye, brother to the Cardinal de Sourdis, Archbishop of Bordeaux, had, at the age of eighty three, by the maid of Madame la Presidente Jacquin, a son, a real child of love, who became a Chevalier of Malta and a counsellor of state; one of the great men of this century, the Abbe Tabaraud, is the son of a man of eighty seven.	false	353.01	389.89	19.811655
3866_9920_000003_000015	There is nothing out of the ordinary in these things.	There is nothing out of the ordinary in these things.	true	390.29	393.49	15.419603
3866_9920_000003_000016	And then, the Bible!	And then, the Bible!	true	393.59	395.44	19.96896
3866_9920_000003_000017	Upon that I declare that this little gentleman is none of mine.	Upon that I declare that this little gentleman is none of mine.	true	395.66	399.79	15
3866_9920_000003_000018	Let him be taken care of.	Let him be taken care of.	true	400.37	402.105	19.987865
3866_9920_000003_000019	It is not his fault."	It is not his fault."	true	402.105	403.78	19.913454
3866_9920_000003_000020	This manner of procedure was good-tempered.	This manner of procedure was good tempered.	true	404	406.72	22.109476
3866_9920_000003_000021	The woman, whose name was Magnon, sent him another parcel in the following year.	The woman, whose name was Magnon, sent him another parcel in the following year.	false	406.82	412.03	18.460434
3866_9920_000003_000022	It was a boy again.	It was a boy again.	false	412.46	414.6	19.458254
3866_9920_000003_000023	Thereupon, M. Gillenormand capitulated.	Thereupon, m Gillenormand capitulated.	false	414.6	417.81	19.691887
3866_9920_000003_000024	He sent the two brats back to their mother, promising to pay eighty francs a month for their maintenance, on the condition that the said mother would not do so any more.	He sent the two brats back to their mother, promising to pay eighty francs a month for their maintenance, on the condition that the said mother would not do so any more.	true	417.81	427.51	17
3866_9920_000003_000025	He added: "I insist upon it that the mother shall treat them well. I shall go to see them from time to time." And this he did.	He added: "I insist upon it that the mother shall treat them well. I shall go to see them from time to time." And this he did.	true	428.06	436.42	20.162584
3866_9920_000003_000026	He had had a brother who was a priest, and who had been rector of the Academy of Poitiers for three and thirty years, and had died at seventy-nine. "I lost him young," said he.	He had had a brother who was a priest, and who had been rector of the Academy of Poitiers for three and thirty years, and had died at seventy nine. "I lost him young," said he.	true	436.79	447.52	18.714249
3866_9920_000003_000027	This brother, of whom but little memory remains, was a peaceable miser, who, being a priest, thought himself bound to bestow alms on the poor whom he met, but he never gave them anything except bad or demonetized sous, thereby discovering a means of going to hell by way of paradise.	This brother, of whom but little memory remains, was a peaceable miser, who, being a priest, thought himself bound to bestow alms on the poor whom he met, but he never gave them anything except bad or demonetized sous, thereby discovering a means of going to hell by way of paradise.	false	447.8	468.91	19.380272
3866_9920_000003_000028	As for M. Gillenormand the elder, he never haggled over his alms-giving, but gave gladly and nobly.	As for m Gillenormand the elder, he never haggled over his alms giving, but gave gladly and nobly.	false	469.28	477.22	19.901499
3866_9920_000003_000029	He was kindly, abrupt, charitable, and if he had been rich, his turn of mind would have been magnificent.	He was kindly, abrupt, charitable, and if he had been rich, his turn of mind would have been magnificent.	true	477.5	485.11	19.60217
3866_9920_000003_000030	He desired that all which concerned him should be done in a grand manner, even his rogueries.	He desired that all which concerned him should be done in a grand manner, even his rogueries.	true	485.57	492.91	18
3866_9920_000003_000031	One day, having been cheated by a business man in a matter of inheritance, in a gross and apparent manner, he uttered this solemn exclamation: "That was indecently done!	One day, having been cheated by a business man in a matter of inheritance, in a gross and apparent manner, he uttered this solemn exclamation: "That was indecently done!	true	493.25	505.09	18.840425
3866_9920_000003_000032	I am really ashamed of this pilfering.	I am really ashamed of this pilfering.	true	505.22	507.97	16.500479
3866_9920_000003_000033	Everything has degenerated in this century, even the rascals.	Everything has degenerated in this century, even the rascals.	false	508.19	512.07	15.978928
3866_9920_000003_000034	Morbleu! this is not the way to rob a man of my standing.	Morbleu! this is not the way to rob a man of my standing.	true	512.07	516.4	19.5364
3866_9920_000003_000035	I am robbed as though in a forest, but badly robbed.	I am robbed as though in a forest, but badly robbed.	true	516.41	520.18	17.265684
3866_9920_000003_000036	Silva, sint consule dignae!"	Silva, sint consule dignae!"	false	520.7	523.9	20.050955
3866_9920_000003_000037	He had had two wives, as we have already mentioned; by the first he had had a daughter, who had remained unmarried, and by the second another daughter, who had died at about the age of thirty, who had wedded, through love, or chance, or otherwise, a soldier of fortune who had served in the armies of the Republic and of the Empire, who had won the cross at Austerlitz and had been made colonel at Waterloo.	He had had two wives, as we have already mentioned; by the first he had had a daughter, who had remained unmarried, and by the second another daughter, who had died at about the age of thirty, who had wedded, through love, or chance, or otherwise, a soldier of fortune who had served in the armies of the Republic and of the Empire, who had won the cross at Austerlitz and had been made colonel at Waterloo.	false	524.9	549.4	18.600653
3866_9920_000003_000038	"He is the disgrace of my family," said the old bourgeois.	"He is the disgrace of my family," said the old bourgeois.	true	549.74	553.51	19
3866_9920_000003_000039	He took an immense amount of snuff, and had a particularly graceful manner of plucking at his lace ruffle with the back of one hand.	He took an immense amount of snuff, and had a particularly graceful manner of plucking at his lace ruffle with the back of one hand.	true	553.82	561.22	20
3866_9920_000003_000040	He believed very little in God.	He believed very little in God.	true	561.68	563.83	16.242239
3866_9920_000004_000000	CHAPTER VII--RULE: RECEIVE NO ONE EXCEPT IN THE EVENING	CHAPTER seven-RULE: RECEIVE NO ONE EXCEPT IN THE EVENING	true	564.86	570.55	18.623266
3866_9920_000005_000000	Such was M. Luc-Esprit Gillenormand, who had not lost his hair,--which was gray rather than white,--and which was always dressed in "dog's ears." To sum up, he was venerable in spite of all this.	Such was m Luc Esprit Gillenormand, who had not lost his hair,--which was gray rather than white,--and which was always dressed in "dog's ears." To sum up, he was venerable in spite of all this.	false	571.46	587.02	19.86122
3866_9920_000006_000000	He had something of the eighteenth century about him; frivolous and great.	He had something of the eighteenth century about him; frivolous and great.	true	588.05	593.14	18.997557
3866_9920_000007_000000	In 1814 and during the early years of the Restoration, M. Gillenormand, who was still young,--he was only seventy-four,--lived in the Faubourg Saint Germain, Rue Servandoni, near Saint-Sulpice.	In eighteen fourteen and during the early years of the Restoration, m Gillenormand, who was still young,--he was only seventy four,--lived in the Faubourg Saint Germain, Rue Servandoni, near Saint Sulpice.	false	593.69	608.04	18.520027
3866_9920_000007_000001	He had only retired to the Marais when he quitted society, long after attaining the age of eighty.	He had only retired to the Marais when he quitted society, long after attaining the age of eighty.	true	608.04	614.08	16.575027
3866_9920_000008_000000	And, on abandoning society, he had immured himself in his habits.	And, on abandoning society, he had immured himself in his habits.	true	614.9	619.54	14
3866_9920_000008_000001	The principal one, and that which was invariable, was to keep his door absolutely closed during the day, and never to receive any one whatever except in the evening.	The principal one, and that which was invariable, was to keep his door absolutely closed during the day, and never to receive any one whatever except in the evening.	true	620.09	632.74	19.616188
3866_9920_000008_000002	He dined at five o'clock, and after that his door was open.	He dined at five o'clock, and after that his door was open.	true	633.5	638.44	22.200863
3866_9920_000008_000003	That had been the fashion of his century, and he would not swerve from it.	That had been the fashion of his century, and he would not swerve from it.	false	639.02	644.26	19.099056
3866_9920_000008_000004	"The day is vulgar," said he, "and deserves only a closed shutter.	"The day is vulgar," said he, "and deserves only a closed shutter.	true	644.93	650.08	19.719576
3866_9920_000008_000005	Fashionable people only light up their minds when the zenith lights up its stars." And he barricaded himself against every one, even had it been the king himself.	Fashionable people only light up their minds when the zenith lights up its stars." And he barricaded himself against every one, even had it been the king himself.	false	650.27	662.2	19.10366
3866_9920_000008_000006	This was the antiquated elegance of his day.	This was the antiquated elegance of his day.	true	662.54	665.77	18.324272
3866_9920_000009_000000	CHAPTER VIII--TWO DO NOT MAKE A PAIR	CHAPTER eight-TWO DO NOT MAKE A PAIR	true	666.95	670.45	18.976095
3866_9920_000010_000000	We have just spoken of M. Gillenormand's two daughters.	We have just spoken of m Gillenormand's two daughters.	false	671.18	674.98	17
3866_9920_000010_000001	They had come into the world ten years apart.	They had come into the world ten years apart.	true	675.29	678.01	21.237648
3866_9920_000010_000002	In their youth they had borne very little resemblance to each other, either in character or countenance, and had also been as little like sisters to each other as possible.	In their youth they had borne very little resemblance to each other, either in character or countenance, and had also been as little like sisters to each other as possible.	true	678.26	688.9	19.335768
3866_9920_000010_000003	The youngest had a charming soul, which turned towards all that belongs to the light, was occupied with flowers, with verses, with music, which fluttered away into glorious space, enthusiastic, ethereal, and was wedded from her very youth, in ideal, to a vague and heroic figure.	The youngest had a charming soul, which turned towards all that belongs to the light, was occupied with flowers, with verses, with music, which fluttered away into glorious space, enthusiastic, ethereal, and was wedded from her very youth, in ideal, to a vague and heroic figure.	true	689.3	710.35	19.101332
3866_9920_000010_000004	The elder had also her chimera; she espied in the azure some very wealthy purveyor, a contractor, a splendidly stupid husband, a million made man, or even a prefect; the receptions of the Prefecture, an usher in the antechamber with a chain on his neck, official balls, the harangues of the town-hall, to be "Madame la Prefete,"--all this had created a whirlwind in her imagination.	The elder had also her chimera; she espied in the azure some very wealthy purveyor, a contractor, a splendidly stupid husband, a million made man, or even a prefect; the receptions of the Prefecture, an usher in the antechamber with a chain on his neck, official balls, the harangues of the town hall, to be "Madame la Prefete,"--all this had created a whirlwind in her imagination.	false	710.87	740.77	19.825504
3866_9920_000010_000005	Thus the two sisters strayed, each in her own dream, at the epoch when they were young girls.	Thus the two sisters strayed, each in her own dream, at the epoch when they were young girls.	true	741.2	748	19.088984
3866_9920_000010_000006	Both had wings, the one like an angel, the other like a goose.	Both had wings, the one like an angel, the other like a goose.	true	748.22	753.34	19.175997
3866_9920_000011_000000	No ambition is ever fully realized, here below at least.	No ambition is ever fully realized, here below at least.	true	753.98	758.89	18.000126
3866_9920_000011_000001	No paradise becomes terrestrial in our day.	No paradise becomes terrestrial in our day.	true	759.17	762.58	21.427557
3866_9920_000011_000002	The younger wedded the man of her dreams, but she died.	The younger wedded the man of her dreams, but she died.	true	762.89	766.99	20.853226
3866_9920_000011_000003	The elder did not marry at all.	The elder did not marry at all.	true	767.42	769.21	16.949451
3866_9920_000012_000000	At the moment when she makes her entrance into this history which we are relating, she was an antique virtue, an incombustible prude, with one of the sharpest noses, and one of the most obtuse minds that it is possible to see.	At the moment when she makes her entrance into this history which we are relating, she was an antique virtue, an incombustible prude, with one of the sharpest noses, and one of the most obtuse minds that it is possible to see.	true	769.88	784.81	19.475023
3866_9920_000012_000001	A characteristic detail; outside of her immediate family, no one had ever known her first name.	A characteristic detail; outside of her immediate family, no one had ever known her first name.	true	785.33	793.42	18.992268
3866_9920_000012_000002	She was called Mademoiselle Gillenormand, the elder.	She was called Mademoiselle Gillenormand, the elder.	false	793.67	797.8	18.34296
3866_9920_000013_000000	In the matter of cant, Mademoiselle Gillenormand could have given points to a miss.	In the matter of cant, Mademoiselle Gillenormand could have given points to a miss.	false	798.62	804.13	18.74351
3866_9920_000013_000001	Her modesty was carried to the other extreme of blackness. She cherished a frightful memory of her life; one day, a man had beheld her garter.	Her modesty was carried to the other extreme of blackness. She cherished a frightful memory of her life; one day, a man had beheld her garter.	true	804.59	816.7	20.309034
3866_9920_000014_000000	Age had only served to accentuate this pitiless modesty.	Age had only served to accentuate this pitiless modesty.	true	817.31	821.47	21
3866_9920_000014_000001	Her guimpe was never sufficiently opaque, and never ascended sufficiently high.	Her guimpe was never sufficiently opaque, and never ascended sufficiently high.	true	822.32	828.55	19.083714
3866_9920_000014_000002	She multiplied clasps and pins where no one would have dreamed of looking. The peculiarity of prudery is to place all the more sentinels in proportion as the fortress is the less menaced.	She multiplied clasps and pins where no one would have dreamed of looking. The peculiarity of prudery is to place all the more sentinels in proportion as the fortress is the less menaced.	false	828.71	841.51	19
3866_9920_000015_000000	Nevertheless, let him who can explain these antique mysteries of innocence, she allowed an officer of the Lancers, her grand nephew, named Theodule, to embrace her without displeasure.	Nevertheless, let him who can explain these antique mysteries of innocence, she allowed an officer of the Lancers, her grand nephew, named Theodule, to embrace her without displeasure.	true	842.78	855.82	19.772917
3866_9920_000016_000000	In spite of this favored Lancer, the label: Prude, under which we have classed her, suited her to absolute perfection.	In spite of this favored Lancer, the label: Prude, under which we have classed her, suited her to absolute perfection.	true	856.34	864.76	20.424881
3866_9920_000016_000001	Mademoiselle Gillenormand was a sort of twilight soul.	Mademoiselle Gillenormand was a sort of twilight soul.	true	865.19	869.56	18
3866_9920_000016_000002	Prudery is a demi-virtue and a demi-vice.	Prudery is a demi virtue and a demi vice.	true	869.84	874	19.693796
3866_9920_000017_000000	To prudery she added bigotry, a well-assorted lining.	To prudery she added bigotry, a well assorted lining.	true	874.76	879.55	18.224922
3866_9920_000017_000001	She belonged to the society of the Virgin, wore a white veil on certain festivals, mumbled special orisons, revered "the holy blood," venerated "the sacred heart," remained for hours in contemplation before a rococo-jesuit altar in a chapel which was inaccessible to the rank and file of the faithful, and there allowed her soul to soar among little clouds of marble, and through great rays of gilded wood.	She belonged to the society of the Virgin, wore a white veil on certain festivals, mumbled special orisons, revered "the holy blood," venerated "the sacred heart," remained for hours in contemplation before a rococo jesuit altar in a chapel which was inaccessible to the rank and file of the faithful, and there allowed her soul to soar among little clouds of marble, and through great rays of gilded wood.	true	879.65	911.59	18.152536
3866_9920_000018_000000	She had a chapel friend, an ancient virgin like herself, named Mademoiselle Vaubois, who was a positive blockhead, and beside whom Mademoiselle Gillenormand had the pleasure of being an eagle.	She had a chapel friend, an ancient virgin like herself, named Mademoiselle Vaubois, who was a positive blockhead, and beside whom Mademoiselle Gillenormand had the pleasure of being an eagle.	true	911.66	925.51	18.342382
3866_9920_000018_000001	Beyond the Agnus Dei and Ave Maria, Mademoiselle Vaubois had no knowledge of anything except of the different ways of making preserves.	Beyond the Agnus Dei and Ave Maria, Mademoiselle Vaubois had no knowledge of anything except of the different ways of making preserves.	true	925.85	936.49	18.104343
3866_9920_000018_000002	Mademoiselle Vaubois, perfect in her style, was the ermine of stupidity without a single spot of intelligence.	Mademoiselle Vaubois, perfect in her style, was the ermine of stupidity without a single spot of intelligence.	true	937.1	945.49	20.256325
3866_9920_000019_000000	Let us say it plainly, Mademoiselle Gillenormand had gained rather than lost as she grew older.	Let us say it plainly, Mademoiselle Gillenormand had gained rather than lost as she grew older.	true	946.25	953.2	18.81177
3866_9920_000019_000001	This is the case with passive natures.	This is the case with passive natures.	true	953.78	956.32	20
3866_9920_000019_000002	She had never been malicious, which is relative kindness; and then, years wear away the angles, and the softening which comes with time had come to her.	She had never been malicious, which is relative kindness; and then, years wear away the angles, and the softening which comes with time had come to her.	true	956.42	968.02	17.958637
3866_9920_000019_000003	She was melancholy with an obscure sadness of which she did not herself know the secret.	She was melancholy with an obscure sadness of which she did not herself know the secret.	true	968.69	974.65	17
3866_9920_000019_000004	There breathed from her whole person the stupor of a life that was finished, and which had never had a beginning.	There breathed from her whole person the stupor of a life that was finished, and which had never had a beginning.	true	975.32	983.23	20.306343
3866_9920_000020_000000	She kept house for her father.	She kept house for her father.	true	984.53	986.43	16
3866_9920_000020_000001	M. Gillenormand had his daughter near him, as we have seen that Monseigneur Bienvenu had his sister with him. These households comprised of an old man and an old spinster are not rare, and always have the touching aspect of two weaknesses leaning on each other for support.	M. Gillenormand had his daughter near him, as we have seen that Monseigneur Bienvenu had his sister with him. These households comprised of an old man and an old spinster are not rare, and always have the touching aspect of two weaknesses leaning on each other for support.	false	986.43	1007.14	16
3866_9920_000021_000000	There was also in this house, between this elderly spinster and this old man, a child, a little boy, who was always trembling and mute in the presence of M. Gillenormand.	There was also in this house, between this elderly spinster and this old man, a child, a little boy, who was always trembling and mute in the presence of m Gillenormand.	false	1007.78	1020.36	19.378382
3866_9920_000021_000001	M. Gillenormand never addressed this child except in a severe voice, and sometimes, with uplifted cane: "Here, sir! rascal, scoundrel, come here!--Answer me, you scamp!	M. Gillenormand never addressed this child except in a severe voice, and sometimes, with uplifted cane: "Here, sir! rascal, scoundrel, come here!--Answer me, you scamp!	false	1020.36	1032.04	20.740038
3866_9920_000021_000002	Just let me see you, you good-for-nothing!" etc., etc.	Just let me see you, you good for nothing!" etc, etc	true	1032.14	1035.85	18.52739
3866_9920_000021_000003	He idolized him.	He idolized him.	true	1036.43	1038.34	18.058462
3866_9920_000022_000000	This was his grandson.	This was his grandson.	true	1038.71	1040.62	20.012274
3866_9920_000022_000001	We shall meet with this child again later on.	We shall meet with this child again later on.	true	1041.08	1044.18	13
3866_9920_000023_000000	BOOK THIRD.--THE GRANDFATHER AND THE GRANDSON	BOOK THIRD.--THE GRANDFATHER AND THE GRANDSON	false	1044.18	1047.18	29.312382
3866_9920_000024_000000	CHAPTER I--AN ANCIENT SALON	CHAPTER one-AN ANCIENT SALON	false	1047.18	1047.18	
3866_9920_000025_000000	When M. Gillenormand lived in the Rue Servandoni, he had frequented many very good and very aristocratic salons.	When m Gillenormand lived in the Rue Servandoni, he had frequented many very good and very aristocratic salons.	false	1047.18	1047.18	
3866_9920_000025_000001	Although a bourgeois, M. Gillenormand was received in society.	Although a bourgeois, m Gillenormand was received in society.	false	1047.18	1047.18	
3866_9920_000025_000002	As he had a double measure of wit, in the first place, that which was born with him, and secondly, that which was attributed to him, he was even sought out and made much of.	As he had a double measure of wit, in the first place, that which was born with him, and secondly, that which was attributed to him, he was even sought out and made much of.	false	1047.18	1048.59	19.845379
3866_9920_000025_000003	He never went anywhere except on condition of being the chief person there. There are people who will have influence at any price, and who will have other people busy themselves over them; when they cannot be oracles, they turn wags.	He never went anywhere except on condition of being the chief person there. There are people who will have influence at any price, and who will have other people busy themselves over them; when they cannot be oracles, they turn wags.	false	1048.59	1050.15	15
3866_9920_000025_000004	M. Gillenormand was not of this nature; his domination in the Royalist salons which he frequented cost his self-respect nothing.	M. Gillenormand was not of this nature; his domination in the Royalist salons which he frequented cost his self respect nothing.	false	1050.15	1050.96	12
3866_9920_000025_000005	He was an oracle everywhere.	He was an oracle everywhere.	false	1050.96	1051.14	23
3866_9920_000025_000006	It had happened to him to hold his own against M. de Bonald, and even against M. Bengy-Puy-Vallee.	It had happened to him to hold his own against m de Bonald, and even against m Bengy Puy Vallee.	false	1051.14	1051.92	17.819422
