479_107479_000000_000000	III	three
479_107479_000028_000000	"She'll skip now," said I.	"She'll skip now," said i
479_107479_000029_000001	"To disappear now would be a confession of guilt.	"To disappear now would be a confession of guilt.
479_107479_000030_000000	"Where then?" I asked.	"Where then?" I asked.
479_107479_000031_000001	"The fact is," she added, "I have already engaged her.	"The fact is," she added, "I have already engaged her.
479_107479_000033_000000	"All right, Bunny, I'll remember," smiled Mrs. Van Raffles, and there the matter was dropped for the moment.	"All right, Bunny, I'll remember," smiled mrs Van Raffles, and there the matter was dropped for the moment.
479_107479_000034_000003	The woman's presence in our household could not be but a source of danger to our peace of mind as well as to our profits, and for the life of me I could not see why Henriette should want her there.	The woman's presence in our household could not be but a source of danger to our peace of mind as well as to our profits, and for the life of me I could not see why Henriette should want her there.
479_107479_000035_000000	A week after Fiametta's arrival Mrs. Raffles rang hurriedly for me.	A week after Fiametta's arrival mrs Raffles rang hurriedly for me.
479_107479_000036_000000	"Yes, madam," I said, responding immediately to her call.	"Yes, madam," I said, responding immediately to her call.
479_107479_000037_000001	I have just sent Fiametta on an errand to Providence.	I have just sent Fiametta on an errand to Providence.
479_107479_000038_000000	"Yes!" said I. "What of it?"	"Yes!" said i "What of it?"
479_107479_000039_000000	"I want you during her absence to go with me to her room--"	"I want you during her absence to go with me to her room-"
479_107479_000041_000000	"Yes!" I cried, breathlessly.	"Yes!" I cried, breathlessly.
479_107479_000041_000001	"And search her trunks?"	"And search her trunks?"
479_107479_000042_000000	"No, Bunny, no--the eaves," whispered Henriette.	"No, Bunny, no-the eaves," whispered Henriette.
479_107479_000042_000002	I am inclined to think--well, the moment she leaves the city let me know.	I am inclined to think-well, the moment she leaves the city let me know.
479_107479_000043_000000	Oh, that woman!	Oh, that woman!
479_107479_000043_000001	If I had not adored her before I--but enough.	If I had not adored her before I-but enough.
479_107479_000043_000002	This is no place for sentiment.	This is no place for sentiment.
479_107479_000044_000000	I followed out Henriette's instructions to the letter, and an hour later returned with the information that Fiametta was, indeed, safely on her way.	I followed out Henriette's instructions to the letter, and an hour later returned with the information that Fiametta was, indeed, safely on her way.
479_107479_000045_000001	"And now, Bunny, for the Gaster jewels."	"And now, Bunny, for the Gaster jewels."
479_107479_000046_000002	There were religious pictures upon the bureau, prayer-books, and some volumes of essays of a spiritual nature were scattered about--nothing was there to indicate that the occupant was anything but a simple, sweet child of innocence except--	There were religious pictures upon the bureau, prayer books, and some volumes of essays of a spiritual nature were scattered about-nothing was there to indicate that the occupant was anything but a simple, sweet child of innocence except-
479_107479_000047_000000	Well, Henriette was right--except the Gaster jewels.	Well, Henriette was right-except the Gaster jewels.
