2004_147173_000001_000000	HOW MARY PASSED THE NIGHT.	HOW MARY PASSED THE NIGHT.
2004_147173_000032_000001	She used quite different expressions to those she intended.	She used quite different expressions to those she intended.
2004_147173_000032_000002	So she kept silent, while Mrs. Sturgis (for that was the name of her hostess) talked away, and put her tea-things by, and moved about incessantly, in a manner that increased the dizziness in Mary's head. She felt as if she ought to take leave for the night and go.	So she kept silent, while mrs Sturgis (for that was the name of her hostess) talked away, and put her tea things by, and moved about incessantly, in a manner that increased the dizziness in Mary's head. She felt as if she ought to take leave for the night and go.
2004_147173_000033_000000	Presently the old man came back, crosser and gruffer than when he went away.	Presently the old man came back, crosser and gruffer than when he went away.
2004_147173_000033_000002	Mary attributed this to his finding her still there, and gathered up her strength for an effort to leave the house.	Mary attributed this to his finding her still there, and gathered up her strength for an effort to leave the house.
2004_147173_000033_000003	But she was mistaken.	But she was mistaken.
2004_147173_000033_000004	By-and-bye, he said (looking right into the fire, as if addressing it), "Wind's right against them!"	By and bye, he said (looking right into the fire, as if addressing it), "Wind's right against them!"
2004_147173_000034_000002	I'd bet a penny it has changed sin' thou looked."	I'd bet a penny it has changed sin' thou looked."
2004_147173_000037_000000	"No one!" answered Mary.	"No one!" answered Mary.
2004_147173_000040_000000	Sturgis saw it.	Sturgis saw it.
2004_147173_000041_000000	"Don't bother her with thy questions," said he to his wife.	"Don't bother her with thy questions," said he to his wife.
2004_147173_000041_000002	I'll see after the wind, hang it, and the weather-cock, too.	I'll see after the wind, hang it, and the weather cock, too.
2004_147173_000041_000003	Tide will help 'em when it turns."	Tide will help 'em when it turns."
2004_147173_000042_000003	The sheets looked made out of sail-cloth, but were fresh and clean in spite of their brownness.	The sheets looked made out of sail cloth, but were fresh and clean in spite of their brownness.
2004_147173_000044_000000	"I cannot sleep, thank you.	"I cannot sleep, thank you.
2004_147173_000046_000001	Her looks won her suit.	Her looks won her suit.
2004_147173_000047_000000	"Well, I suppose I mun.	"Well, I suppose I mun.
2004_147173_000047_000001	I shall catch it down stairs, I know.	I shall catch it down stairs, I know.
2004_147173_000048_000000	And quietly, noiselessly, Mary watched the unchanging weather-cock through the night.	And quietly, noiselessly, Mary watched the unchanging weather cock through the night.
2004_147173_000048_000001	She sat on the little window-seat, her hand holding back the curtain which shaded the room from the bright moonlight without; her head resting its weariness against the corner of the window-frame; her eyes burning and stiff with the intensity of her gaze.	She sat on the little window seat, her hand holding back the curtain which shaded the room from the bright moonlight without; her head resting its weariness against the corner of the window frame; her eyes burning and stiff with the intensity of her gaze.
