2061_147110_000000_000000	CHAPTER II	CHAPTER two	true	24.24	25.36	21
2061_147110_000004_000001	In 1744, when Frederick the Great had begun the War of the Austrian Succession and France had taken arms against Great Britain, du Quesnel, the governor of Louisbourg, who had received the intelligence of these events some weeks before the alert Bostonians, at once decided to win credit by striking the first blow.	In seventeen forty four, when Frederick the Great had begun the War of the Austrian Succession and France had taken arms against Great Britain, du Quesnel, the governor of Louisbourg, who had received the intelligence of these events some weeks before the alert Bostonians, at once decided to win credit by striking the first blow.	true	95.84	115.09	16
2061_147110_000004_000002	He was much disliked in Louisbourg.	He was much disliked in Louisbourg.	true	115.34	117.645	21.6947
2061_147110_000004_000003	He drank hard, cursed his subordinates when in his cups, and set the whole place by the ears.	He drank hard, cursed his subordinates when in his cups, and set the whole place by the ears.	true	117.645	122.89	14
2061_147110_000004_000004	Moreover, many of those under him wished to avoid giving the British Americans any provocation, in the hope that the war might be confined to Europe.	Moreover, many of those under him wished to avoid giving the British Americans any provocation, in the hope that the war might be confined to Europe.	true	123.23	131.895	18
2061_147110_000004_000005	But none dared to refuse a legal and positive order.	But none dared to refuse a legal and positive order.	true	131.895	135.43	17
2061_147110_000004_000006	So in May his expedition left for Canso, where there was a little home-made British fort on the strait between Cape Breton and the mainland of Nova Scotia.	So in May his expedition left for Canso, where there was a little home-made British fort on the strait between Cape Breton and the mainland of Nova Scotia.	false	135.53	144.97	19
2061_147110_000004_000007	The eighty fishermen in Canso surrendered to du Vivier, the French commander, who sent them on to Boston, after burning their fort to the ground.	The eighty fishermen in Canso surrendered to du Vivier, the French commander, who sent them on to Boston, after burning their fort to the ground.	false	145.31	153.73	15
2061_147110_000004_000008	Elated by this somewhat absurd success, and strengthened by nearly a hundred regulars and four hundred Indians, who raised his total force to at least a thousand men, du Vivier next proceeded against Annapolis on the west side of Nova Scotia.	Elated by this somewhat absurd success, and strengthened by nearly a hundred regulars and four hundred Indians, who raised his total force to at least a thousand men, du Vivier next proceeded against Annapolis on the west side of Nova Scotia.	false	153.98	168.97	14
2061_147110_000004_000009	But Mascarene, the British commander there, stood fast on his defence, though his men were few and his means small.	But Mascarene, the British commander there, stood fast on his defence, though his men were few and his means small.	true	169.13	176.05	18
2061_147110_000004_000010	The Acadian French in the vicinity were afraid to join du Vivier openly.	The Acadian French in the vicinity were afraid to join du Vivier openly.	false	176.3	180.67	14
2061_147110_000004_000011	The siege dragged on.	The siege dragged on.	true	180.8	182.38	18
2061_147110_000004_000012	The British received a slight reinforcement.	The British received a slight reinforcement.	true	182.51	184.725	15
2061_147110_000004_000013	The French did not.	The French did not.	true	184.725	186.07	21
2061_147110_000004_000014	And in September du Vivier suddenly retired without attempting an assault.	And in September du Vivier suddenly retired without attempting an assault.	false	186.14	190.78	18
2061_147110_000005_000000	The burning of Canso and the attack on Annapolis stirred up the wrath of New England.	The burning of Canso and the attack on Annapolis stirred up the wrath of New England.	true	191.33	196.33	20
2061_147110_000005_000001	A wild enthusiast, William Vaughan, urged Governor Shirley of Massachusetts to make an immediate counter-attack.	A wild enthusiast, William Vaughan, urged Governor Shirley of Massachusetts to make an immediate counter-attack.	true	196.43	203.71	20
2061_147110_000005_000002	Shirley was an English lawyer, good at his own work, but very anxious to become famous as a conqueror.	Shirley was an English lawyer, good at his own work, but very anxious to become famous as a conqueror.	true	203.84	209.68	16
2061_147110_000005_000003	He lent a willing ear to Vaughan, and astounded the General Court of Massachusetts on January 21, 1745, by first inducing the members to swear secrecy and then asking them to consider a plan for a colonial expedition against Louisbourg.	He lent a willing ear to Vaughan, and astounded the General Court of Massachusetts on january twenty first seventeen forty five, by first inducing the members to swear secrecy and then asking them to consider a plan for a colonial expedition against Louisbourg.	true	210.02	225.675	18
2061_147110_000005_000004	He and they were on very good terms.	He and they were on very good terms.	true	225.675	228.255	15
2061_147110_000005_000005	But they were provincial, cautious, and naturally slow when it came to planning campaigns and pledging their credit for what was then an enormous sum of money.	But they were provincial, cautious, and naturally slow when it came to planning campaigns and pledging their credit for what was then an enormous sum of money.	true	228.255	236.89	14
2061_147110_000005_000006	Nor could they be blamed.	Nor could they be blamed.	true	237.38	239.23	22.691393
2061_147110_000005_000007	None of them knew much about armies and navies; most thought Louisbourg was a real transatlantic Dunkirk; and all knew that they were quite insolvent already.	None of them knew much about armies and navies; most thought Louisbourg was a real transatlantic Dunkirk; and all knew that they were quite insolvent already.	true	239.42	248.53	17
2061_147110_000005_000008	Their joint committee of the two Houses reported against the scheme; whereupon each House carried a secret adverse vote by a large majority.	Their joint committee of the two Houses reported against the scheme; whereupon each House carried a secret adverse vote by a large majority.	false	248.69	257.08	19
2061_147110_000006_000000	But, just before these votes were taken, a Puritan member from a country district wrestled in what he thought confidential prayer with such loud ejaculations that an eavesdropper overheard him and passed the secret on.	But, just before these votes were taken, a Puritan member from a country district wrestled in what he thought confidential prayer with such loud ejaculations that an eavesdropper overheard him and passed the secret on.	true	257.6	270.55	15
2061_147110_000006_000001	Of course the momentous news at once began to run like wildfire through the province.	Of course the momentous news at once began to run like wildfire through the province.	true	270.92	275.32	16
2061_147110_000006_000002	Still, the 'Noes had it,' both in the country and the House.	Still, the 'Noes had it,' both in the country and the House.	true	275.42	279.34	18
2061_147110_000006_000003	Shirley was dejected and in doubt what to do next.	Shirley was dejected and in doubt what to do next.	true	279.41	282.58	20
2061_147110_000006_000004	But James Gibson, the merchant militiaman, suddenly hit on the idea of getting up a petition among the business community.	But james Gibson, the merchant militiaman, suddenly hit on the idea of getting up a petition among the business community.	true	282.65	289.57	16
2061_147110_000006_000005	The result surpassed every expectation.	The result surpassed every expectation.	true	289.85	292.66	18
2061_147110_000006_000006	All the merchants were eager for attack.	All the merchants were eager for attack.	true	293.03	295.335	25.619677
2061_147110_000006_000007	Louisbourg embodied everything they feared and hated: interference with seaborne commerce, rank popery, French domination, trouble with Acadia, and the chance of being themselves attacked.	Louisbourg embodied everything they feared and hated: interference with seaborne commerce, rank popery, French domination, trouble with Acadia, and the chance of being themselves attacked.	true	295.335	307.06	18
2061_147110_000006_000008	When the petition was presented to both Houses, the whole subject was again debated.	When the petition was presented to both Houses, the whole subject was again debated.	true	307.22	312.1	18
2061_147110_000006_000009	Provincial insolvency and the absence of either a fleet or an army were urged by the Opposition.	Provincial insolvency and the absence of either a fleet or an army were urged by the Opposition.	true	312.2	318.04	13
2061_147110_000006_000010	But the fighting party put forth all their strength and pleaded that delay meant reinforcements for Louisbourg and a good chance lost for ever.	But the fighting party put forth all their strength and pleaded that delay meant reinforcements for Louisbourg and a good chance lost for ever.	true	318.23	325.87	16
2061_147110_000006_000011	The vote would have been a tie if a member of the Opposition had not slipped and broken his leg as he was hurrying down to the House.	The vote would have been a tie if a member of the Opposition had not slipped and broken his leg as he was hurrying down to the House.	true	326.15	332.62	13
2061_147110_000006_000012	Once the decision had been reached, however, all did their best to ensure success.	Once the decision had been reached, however, all did their best to ensure success.	true	332.99	337.69	16
2061_147110_000007_000000	Shirley wrote to his brother governors.	Shirley wrote to his brother governors.	true	338.87	341.02	19
2061_147110_000007_000001	Vaughan galloped off post-haste to New Hampshire with the first official letter.	Vaughan galloped off post haste to New Hampshire with the first official letter.	true	341.24	346.21	18
2061_147110_000007_000002	Gibson led the merchants in local military zeal. The result was that Massachusetts, which then included Maine, raised over 3,000 men, while New Hampshire and Connecticut raised about 500 each.	Gibson led the merchants in local military zeal. The result was that Massachusetts, which then included Maine, raised over three thousand men, while New Hampshire and Connecticut raised about five hundred each.	true	346.49	359.02	18
2061_147110_000007_000003	Rhode Island concurred, but ungraciously and ineffectually late.	Rhode Island concurred, but ungraciously and ineffectually late.	true	359.12	363.4	19
2061_147110_000007_000004	She nursed two grudges against Massachusetts, one about the undeniably harsh treatment meted out to her great founder, Roger Williams, the other about that most fruitful source of inter-provincial mischief-making, a disputed boundary. New York lent some guns, which proved very useful.	She nursed two grudges against Massachusetts, one about the undeniably harsh treatment meted out to her great founder, Roger Williams, the other about that most fruitful source of inter-provincial mischief making, a disputed boundary. New York lent some guns, which proved very useful.	false	363.41	380.08	17
2061_147110_000007_000005	The remaining colonies did nothing.	The remaining colonies did nothing.	true	380.18	382.33	19.702667
2061_147110_000008_000000	Shirley's choice of a commander-in-chief wisely fell on William Pepperrell.	Shirley's choice of a commander in chief wisely fell on William Pepperrell.	true	382.79	386.86	14
2061_147110_000008_000001	There was no military leader in the whole of New England.	There was no military leader in the whole of New England.	true	387.08	390.1	14
2061_147110_000008_000002	So the next most suitable man was the civilian who best combined the necessary qualities of good sense, sound knowledge of men and affairs, firmness, diplomacy, and popularity.	So the next most suitable man was the civilian who best combined the necessary qualities of good sense, sound knowledge of men and affairs, firmness, diplomacy, and popularity.	false	390.17	400.6	14
2061_147110_000008_000003	Popularity was essential, because all the men were volunteers.	Popularity was essential, because all the men were volunteers.	true	400.94	404.71	15
2061_147110_000008_000004	Pepperrell, who answered every reasonable test, went through the campaign with flying colours and came out of it as the first and only baronet of Massachusetts.	Pepperrell, who answered every reasonable test, went through the campaign with flying colours and came out of it as the first and only baronet of Massachusetts.	true	404.9	413.56	16
2061_147110_000008_000005	He was commissioned as major-general by all three contributing provinces, since none of them recognized any common authority except that of the crown.	He was commissioned as major general by all three contributing provinces, since none of them recognized any common authority except that of the crown.	true	413.72	421.99	16
2061_147110_000008_000006	He was ably seconded by many leading men who, if not trained soldiers, were at least accustomed to the organization of public life; for in those days the word politician had not become a term of reproach in America, and the people were often represented by men of the highest character.	He was ably seconded by many leading men who, if not trained soldiers, were at least accustomed to the organization of public life; for in those days the word politician had not become a term of reproach in America, and the people were often represented by men of the highest character.	true	422.54	438.58	17
2061_147110_000009_000000	The financial difficulty was overcome by issuing letters of credit, which were afterwards redeemed by the Imperial government, at a total cost of nearly a quarter of a million sterling.	The financial difficulty was overcome by issuing letters of credit, which were afterwards redeemed by the Imperial government, at a total cost of nearly a quarter of a million sterling.	true	439.04	449.29	15
2061_147110_000009_000001	There was no time and there were no means to change the militia into an army.	There was no time and there were no means to change the militia into an army.	true	449.6	453.88	12
2061_147110_000009_000002	But many compensating advantages helped to make up for its deficiencies.	But many compensating advantages helped to make up for its deficiencies.	true	454.04	458.47	19
2061_147110_000009_000003	The men volunteered eagerly.	The men volunteered eagerly.	true	458.72	460.66	20.601326
2061_147110_000009_000004	They were all very keen to fight the French.	They were all very keen to fight the French.	true	460.82	463.27	19.46521
2061_147110_000009_000005	Most of them understood the individual use of firearms.	Most of them understood the individual use of firearms.	true	463.28	466.57	14
2061_147110_000009_000006	Many of them had been to sea and had learned to work together as a crew.	Many of them had been to sea and had learned to work together as a crew.	true	466.58	470.59	14
2061_147110_000009_000007	Nearly all of them had the handiness then required for life in a new country.	Nearly all of them had the handiness then required for life in a new country.	true	470.75	474.91	15
2061_147110_000009_000008	And, what with conviction and what with prejudice, they were also quite disposed to look upon the expedition as a sort of Crusade against idolatrous papists, and therefore as a very proper climax to the Great Awakening which had recently roused New England to the heights of religious zealotry under the leadership of the famous George Whitefield himself.	And, what with conviction and what with prejudice, they were also quite disposed to look upon the expedition as a sort of Crusade against idolatrous papists, and therefore as a very proper climax to the Great Awakening which had recently roused New England to the heights of religious zealotry under the leadership of the famous George Whitefield himself.	true	475.04	495.16	15
2061_147110_000010_000000	Strangely enough, neither Whitefield nor his friend Pepperrell was at all sure that the expedition was a wise or even a godly venture.	Strangely enough, neither Whitefield nor his friend Pepperrell was at all sure that the expedition was a wise or even a godly venture.	false	495.62	503.56	13
2061_147110_000010_000001	Whitefield warned Pepperrell that he would be envied if he succeeded and abused if he failed.	Whitefield warned Pepperrell that he would be envied if he succeeded and abused if he failed.	true	503.78	509.2	18
2061_147110_000010_000002	The Reverend Thomas Prince openly regretted the change of enemy.	The Reverend Thomas Prince openly regretted the change of enemy.	true	509.3	512.95	16
2061_147110_000010_000003	'The Heavenly shower is over.	'The Heavenly shower is over.	true	513.11	515.085	13
2061_147110_000010_000004	From fighting the Devil they needs must turn to fighting the French.' But Parson Moody, most truculent of Puritans, had no doubts whatever.	From fighting the Devil they needs must turn to fighting the French.' But Parson Moody, most truculent of Puritans, had no doubts whatever.	false	515.085	523.92	20
2061_147110_000010_000005	The French, the pope, and the Devil were all one to him; and when he embarked as senior chaplain he took a hatchet with which to break down the graven images of Louisbourg.	The French, the pope, and the Devil were all one to him; and when he embarked as senior chaplain he took a hatchet with which to break down the graven images of Louisbourg.	true	523.92	534.04	18
2061_147110_000010_000006	In the end Whitefield warmed up enough to give the expedition its official motto: 'Nil desperandum Christo Duce.' The 'Never Despair' heartened the worldlings.	In the end Whitefield warmed up enough to give the expedition its official motto: 'Nil desperandum Christo Duce.' The 'Never Despair' heartened the worldlings.	true	534.26	544.93	18
2061_147110_000010_000007	The 'Christ our Commander' appealed to the 'Great Awakened.' And the whole saying committed him to nothing particular concerning the issue at stake.	The 'Christ our Commander' appealed to the 'Great Awakened.' And the whole saying committed him to nothing particular concerning the issue at stake.	false	545	553.72	16
2061_147110_000011_000000	The three militia contingents numbered 4,270 men.	The three militia contingents numbered four thousand two hundred seventy men.	true	554.12	558.64	13
2061_147110_000011_000001	The three naval contingents had 13 vessels mounting 216 guns. In addition to both these forces there were the transports, which had considerable crews.	The three naval contingents had thirteen vessels mounting two hundred sixteen guns. In addition to both these forces there were the transports, which had considerable crews.	false	558.86	569.47	17
2061_147110_000011_000002	But all these together, if caught on the open sea, would be no match for a few regular men-of-war.	But all these together, if caught on the open sea, would be no match for a few regular men of war.	true	569.48	575.14	14
2061_147110_000011_000003	New England had no navy, though the New Englanders had enjoyed a good deal of experience in minor privateering against the Spaniards during the last few years, as well as a certain amount of downright piracy in time of peace, whenever a Frenchman or a Spaniard could be safely taken at a disadvantage.	New England had no navy, though the New Englanders had enjoyed a good deal of experience in minor privateering against the Spaniards during the last few years, as well as a certain amount of downright piracy in time of peace, whenever a Frenchman or a Spaniard could be safely taken at a disadvantage.	true	575.42	591.88	14
2061_147110_000011_000004	So Shirley asked Commodore Warren, commanding the North American station, to lend his aid.	So Shirley asked Commodore Warren, commanding the North American station, to lend his aid.	true	592.1	597.49	17
2061_147110_000011_000005	Warren had married an American and was very well disposed towards the colonists.	Warren had married an American and was very well disposed towards the colonists.	true	597.56	601.96	12
2061_147110_000011_000006	But, having no orders from England, he at first felt obliged to refuse. Within a short time, however, he was given a free hand by the Imperial government, which authorized him to concert measures with Shirley 'for the annoyance of the enemy, and for his Majesty's Service in North America.'	But, having no orders from England, he at first felt obliged to refuse. Within a short time, however, he was given a free hand by the Imperial government, which authorized him to concert measures with Shirley 'for the annoyance of the enemy, and for his Majesty's Service in North America.'	false	602.21	618.25	15
2061_147110_000012_000000	Warren immediately sailed for Canso with three men-of-war and sent for another to join him.	Warren immediately sailed for Canso with three men of war and sent for another to join him.	true	619.34	624.82	16
2061_147110_000012_000001	His wait for orders made him nearly three weeks later than the New Englanders in arriving at the rendezvous.	His wait for orders made him nearly three weeks later than the New Englanders in arriving at the rendezvous.	true	624.95	630.16	10
2061_147110_000012_000002	But this delay, due to no fault of his own, was really an advantage to the New England militia, who thus had a chance of learning a little more drill and discipline.	But this delay, due to no fault of his own, was really an advantage to the New England militia, who thus had a chance of learning a little more drill and discipline.	true	630.38	639.04	14
2061_147110_000012_000003	His four vessels carried 180 guns and 1,150 men at full strength.	His four vessels carried one hundred eighty guns and one thousand one hundred fifty men at full strength.	false	639.26	644.98	13
2061_147110_000012_000004	The thirteen Provincial armed vessels carried more than 1,000 men.	The thirteen Provincial armed vessels carried more than one thousand men.	false	645.08	648.88	13
2061_147110_000012_000005	No exact returns were ever made out for the transports.	No exact returns were ever made out for the transports.	true	649.19	652.42	18
2061_147110_000012_000006	But as '68 lay at anchor' in Canso harbour, while others 'came dropping in from day to day,' as there were 4,270 militiamen on board, in addition to all the stores, and as the French counted '96 transports' making for Gabarus Bay, there could not have been less than 100, while the crews could hardly have mustered less than an average of 20 men each.	But as 'sixty eight lay at anchor' in Canso harbour, while others 'came dropping in from day to day,' as there were four thousand two hundred seventy militiamen on board, in addition to all the stores, and as the French counted 'ninety six transports' making for Gabarus Bay, there could not have been less than one hundred, while the crews could hardly have mustered less than an average of twenty men each.	false	652.49	674.86	13
2061_147110_000012_000007	The grand total, at the beginning of the expedition, could not, therefore, have been less than 8,000 men, of all sorts put together--over 4,000 American Provincial militia, over 1,000 men of the Royal Navy, quite 1,000 men aboard the Provincial fighting vessels, and at least 2,000 more as crews to work the transports.	The grand total, at the beginning of the expedition, could not, therefore, have been less than eight thousand men, of all sorts put together-over four thousand American Provincial militia, over one thousand men of the Royal Navy, quite one thousand men aboard the Provincial fighting vessels, and at least two thousand more as crews to work the transports.	true	675.17	694.12	13
2061_147110_000013_000000	May 1, the first Sunday the Provincials spent at Canso, was a day of great and multifarious activity, both sacred and profane.	may first, the first Sunday the Provincials spent at Canso, was a day of great and multifarious activity, both sacred and profane.	true	694.97	703.84	16
2061_147110_000013_000001	Parson Moody, the same who had taken the war-path with his iconoclastic hatchet, delivered a tremendous philippic from the text, 'Thy people shall be willing in the day of Thy power.' Luckily for his congregation he had the voice of a Stentor, as there were several mundane competitors in an adjoining field, each bawling the word of command at the full pitch of his lungs.	Parson Moody, the same who had taken the war path with his iconoclastic hatchet, delivered a tremendous philippic from the text, 'Thy people shall be willing in the day of Thy power.' Luckily for his congregation he had the voice of a Stentor, as there were several mundane competitors in an adjoining field, each bawling the word of command at the full pitch of his lungs.	true	703.94	725.59	17
2061_147110_000013_000002	A conscientious diarist, though full of sabbatarian zeal, was fain to admit that 'Severall sorts of Busnesses was a-Going on: Sum a-Exercising, Sum a-Hearing o' the Preaching.'	A conscientious diarist, though full of sabbatarian zeal, was fain to admit that 'Severall sorts of Busnesses was a Going on: Sum a Exercising, Sum a Hearing o' the Preaching.'	false	725.78	736.36	13
2061_147110_000014_000000	On May 5 Warren sailed into Canso.	On may fifth Warren sailed into Canso.	true	736.82	739.66	20
2061_147110_000014_000001	The Provincials thought the date of his arrival a very happy omen, as it fell on what was then, according to the Old Style calendar, St George's Day, April 23.	The Provincials thought the date of his arrival a very happy omen, as it fell on what was then, according to the Old Style calendar, saint George's Day, april twenty third.	true	739.82	749.32	14
2061_147110_000014_000002	After a conference with Pepperrell he hurried off to begin the blockade of Louisbourg.	After a conference with Pepperrell he hurried off to begin the blockade of Louisbourg.	true	749.57	754.86	22.588972
2061_147110_000014_000003	A week later, May 21, the transports joined him there, and landed their militiamen for one of the most eccentric sieges ever known.	A week later, may twenty first, the transports joined him there, and landed their militiamen for one of the most eccentric sieges ever known.	true	754.86	763.42	17
2061_147110_000015_000000	While the British had been spending the first four months of 1745 in preparing 8,000 men, the French authorities in Louisbourg, whose force was less than 2,000, had been wasting the same precious time in ridiculous councils of war.	While the British had been spending the first four months of seventeen forty five in preparing eight thousand men, the French authorities in Louisbourg, whose force was less than two thousand, had been wasting the same precious time in ridiculous councils of war.	true	764.21	778.03	15
2061_147110_000015_000001	It is a well-known saying that councils of war never fight.	It is a well-known saying that councils of war never fight.	true	778.31	781.93	18
2061_147110_000015_000002	But these Louisbourg councils did not even prepare to fight.	But these Louisbourg councils did not even prepare to fight.	true	781.97	785.29	17
2061_147110_000015_000003	The news from Boston was not heeded.	The news from Boston was not heeded.	true	785.48	787.62	20.72494
2061_147110_000015_000004	Worse yet, no attention was paid to the American scouting vessels, which had been hovering off the coast for more than a month.	Worse yet, no attention was paid to the American scouting vessels, which had been hovering off the coast for more than a month.	false	787.62	794.53	16
2061_147110_000015_000005	The bibulous du Quesnel had died in October.	The bibulous du Quesnel had died in October.	true	794.66	797.65	20
2061_147110_000015_000006	But his successor, du Chambon, was no better as a commandant. Perhaps the kindest thing to say of du Chambon is that he was the foolish father of a knavish son--of that du Chambon de Vergor who, in the next war, surrendered Fort Beausejour without a siege and left one sleepy sentry to watch Wolfe's Cove the night before the Battle of the Plains.	But his successor, du Chambon, was no better as a commandant. Perhaps the kindest thing to say of du Chambon is that he was the foolish father of a knavish son-of that du Chambon de Vergor who, in the next war, surrendered Fort Beausejour without a siege and left one sleepy sentry to watch Wolfe's Cove the night before the Battle of the Plains.	true	797.72	817.63	17
2061_147110_000016_000000	It is true that du Chambon had succeeded to a thoroughly bad command.	It is true that du Chambon had succeeded to a thoroughly bad command.	true	818.3	822.58	15
2061_147110_000016_000001	He had no naval force whatever; and the military force had become worse instead of better.	He had no naval force whatever; and the military force had become worse instead of better.	false	822.71	828.1	19
2061_147110_000016_000002	The mutiny in December had left the 560 regulars in a very sullen frame of mind.	The mutiny in December had left the five hundred sixty regulars in a very sullen frame of mind.	false	828.29	833.92	13
2061_147110_000016_000003	They knew that acquisitive government officials were cheating them out of their proper rations of bacon and beans.	They knew that acquisitive government officials were cheating them out of their proper rations of bacon and beans.	true	834.14	839.92	15
2061_147110_000016_000004	The officials knew that the soldiers knew.	The officials knew that the soldiers knew.	true	840.11	842.5	18
2061_147110_000016_000005	And so suspicion and resentment grew strong between them.	And so suspicion and resentment grew strong between them.	true	842.51	845.77	14
2061_147110_000016_000006	The only other force was the militia, which, with certain exceptions, comprised every male inhabitant of Cape Breton who could stand on two legs and hold a musket with both hands.	The only other force was the militia, which, with certain exceptions, comprised every male inhabitant of Cape Breton who could stand on two legs and hold a musket with both hands.	true	845.96	856	16
2061_147110_000016_000007	There were boys in their early teens and old men in their sixties.	There were boys in their early teens and old men in their sixties.	true	856.19	859.75	14
2061_147110_000016_000008	Nearly 1,800 ought to have been available.	Nearly one thousand eight hundred ought to have been available.	true	859.82	862.9	15
2061_147110_000016_000009	But four or five hundred that might have been brought in never received their marching orders.	But four or five hundred that might have been brought in never received their marching orders.	true	862.97	867.82	13
2061_147110_000016_000010	So the total combatants only amounted to some 1,900, of whom 1,350 were militia.	So the total combatants only amounted to some one thousand nine hundred, of whom one thousand three hundred fifty were militia.	false	868.04	874.96	14
2061_147110_000016_000011	The non-combatants numbered nearly as many.	The non combatants numbered nearly as many.	true	875.18	877.63	16
2061_147110_000016_000012	The cramped hundred acres of imprisoned Louisbourg thus contained almost 4,000 people--mutineers and militia, women and children, drones and other officials, all huddled up together.	The cramped hundred acres of imprisoned Louisbourg thus contained almost four thousand people-mutineers and militia, women and children, drones and other officials, all huddled up together.	true	877.67	889.09	18
2061_147110_000017_000000	No reinforcements arrived after the first appearance of the British fleet.	No reinforcements arrived after the first appearance of the British fleet.	true	890.45	894.43	23.43234
2061_147110_000017_000001	Marin, a well-known guerilla leader, had been sent down from Quebec, through the bush, with six or seven hundred whites and Indians, to join the two thousand men whom the French government had promised du Vivier for a second, and this time a general, attack on Acadia.	Marin, a well-known guerilla leader, had been sent down from Quebec, through the bush, with six or seven hundred whites and Indians, to join the two thousand men whom the French government had promised du Vivier for a second, and this time a general, attack on Acadia.	false	894.62	909.55	17
2061_147110_000017_000002	But these other two thousand were never sent; and Marin, having failed to take Annapolis by the first week in June, was too late and too weak to help Louisbourg afterwards.	But these other two thousand were never sent; and Marin, having failed to take Annapolis by the first week in June, was too late and too weak to help Louisbourg afterwards.	true	909.86	919.12	17
2061_147110_000017_000003	The same ill luck pursued the French by sea. On April 30 the Renommee, a very smart frigate bringing out dispatches, was chased off by the Provincial cruisers; while all subsequent arrivals from the outside world were intercepted by Warren.	The same ill luck pursued the French by sea. On april thirtieth the Renommee, a very smart frigate bringing out dispatches, was chased off by the Provincial cruisers; while all subsequent arrivals from the outside world were intercepted by Warren.	false	919.28	934.9	19
2061_147110_000018_000000	The landing effected on May 12 was not managed according to Shirley's written instructions; nor was the siege. Shirley had been playing a little war game in his study, with all the inconvenient obstacles left out--the wind, the weather, the crashing surf in Gabarus Bay, the rocks and bogs of the surrounding country, the difficulties of entering a narrow-necked harbour under a combination of end-on and broadside fire, the terrible lee shore off the islands, reefs, and Lighthouse Point, the commonest vigilance of the most slovenly garrison, and even the offensive power of the guns on the walls of Louisbourg itself.	The landing effected on may twelfth was not managed according to Shirley's written instructions; nor was the siege. Shirley had been playing a little war game in his study, with all the inconvenient obstacles left out-the wind, the weather, the crashing surf in Gabarus Bay, the rocks and bogs of the surrounding country, the difficulties of entering a narrow necked harbour under a combination of end on and broadside fire, the terrible lee shore off the islands, reefs, and Lighthouse Point, the commonest vigilance of the most slovenly garrison, and even the offensive power of the guns on the walls of Louisbourg itself.	false	935.93	973.54	18
2061_147110_000018_000001	Shirley's plan was that Pepperrell should arrive in the offing too late to be seen, land unobserved, and march on Louisbourg in four detachments while the garrison was wrapped in slumber.	Shirley's plan was that Pepperrell should arrive in the offing too late to be seen, land unobserved, and march on Louisbourg in four detachments while the garrison was wrapped in slumber.	true	973.76	985.06	18
2061_147110_000018_000002	Two of these detachments were to march within striking distance and then 'halt and keep a profound silence.' The third was to march 'under cover of said hills' until it came opposite the Royal Battery, which it was to assault on a given signal; while the 'profound silence' men rushed the western gate.	Two of these detachments were to march within striking distance and then 'halt and keep a profound silence.' The third was to march 'under cover of said hills' until it came opposite the Royal Battery, which it was to assault on a given signal; while the 'profound silence' men rushed the western gate.	false	985.34	1002.76	17
2061_147110_000018_000003	The fourth detachment was to race along the shore, scale a certain spot in the wall, 'and secure the windows of the Governor's Apartments.' All this was to be done by raw militia, on ground they had never reconnoitred, and in the dead of night.	The fourth detachment was to race along the shore, scale a certain spot in the wall, 'and secure the windows of the Governor's Apartments.' All this was to be done by raw militia, on ground they had never reconnoitred, and in the dead of night.	true	1003.04	1016.62	16
2061_147110_000019_000000	Needless to say, Pepperrell tried something quite different. At daybreak of the 12th the whole fleet stood into Gabarus Bay, a large open roadstead running west from the little Louisbourg peninsula.	Needless to say, Pepperrell tried something quite different. At daybreak of the twelfth the whole fleet stood into Gabarus Bay, a large open roadstead running west from the little Louisbourg peninsula.	false	1017.8	1028.92	20
