510_130560_000000_000000	V. Karmu and Dharmu.	V. Karmu and Dharmu.	false	24.555	32.85	21.13823
510_130560_000003_000004	We will not work for them anymore; come, let us undo the work we did to-day, you cut down the embankments you repaired, and I will uproot the seedlings which I planted." So they went out into the night to do this.	We will not work for them anymore; come, let us undo the work we did to day, you cut down the embankments you repaired, and I will uproot the seedlings which I planted." So they went out into the night to do this.	true	217.85	232.09	22.508926
510_130560_000003_000005	But whenever Dharmu raised his spade a voice called out "Hold, hold!" And whenever his wife put out her hand to pull up the rice a voice called out "Hold, hold!"	But whenever Dharmu raised his spade a voice called out "Hold, hold!" And whenever his wife put out her hand to pull up the rice a voice called out "Hold, hold!"	true	232.43	244.87	19.1374
510_130560_000003_000006	Then they said "Who are you who stop us?" And the voice answered "You have done evil and offended Karam Gosain by scalding him; this is why you have become poor and to-day have worked without food and without wages; he has gone to the Ganges and you must go and propitiate him." And they asked how they should propitiate him, and the voice said "Grind turmeric and put it on a plate, and buy new cloth and dye it with turmeric and make ready oil and take these things to the Ganges and call on Karam Gosain." And they believed the voice and the next day did as it commanded, and set off, leaving their children in charge of Karmu.	Then they said "Who are you who stop us?" And the voice answered "You have done evil and offended Karam Gosain by scalding him; this is why you have become poor and to day have worked without food and without wages; he has gone to the Ganges and you must go and propitiate him." And they asked how they should propitiate him, and the voice said "Grind turmeric and put it on a plate, and buy new cloth and dye it with turmeric and make ready oil and take these things to the Ganges and call on Karam Gosain." And they believed the voice and the next day did as it commanded, and set off, leaving their children in charge of Karmu.	false	245.66	292.69	21.641438
510_130560_000003_000007	On the way they came to a fig-tree full of figs and they went to eat the fruit; but when they got near they found that all the figs were full of grubs, and they sang:--	On the way they came to a fig tree full of figs and they went to eat the fruit; but when they got near they found that all the figs were full of grubs, and they sang:--	true	293.57	305.17	21.52381
510_130560_000004_000000	"Exhausted by hunger we came to a fig-tree, And found it full of grubs, O Karam Gosain, how far off are you?"	"Exhausted by hunger we came to a fig tree, And found it full of grubs, O Karam Gosain, how far off are you?"	true	305.69	315.4	21.512506
510_130560_000005_000000	Then they came to a mango tree and the same thing happened.	Then they came to a mango tree and the same thing happened.	true	316.64	320.77	23.433512
510_130560_000005_000001	And they went on and saw a cow with a calf; and they thought that they would milk the cow and drink the milk, but when they went to catch it it ran away from them and would not let itself be caught; and they sang:--	And they went on and saw a cow with a calf; and they thought that they would milk the cow and drink the milk, but when they went to catch it it ran away from them and would not let itself be caught; and they sang:--	true	321.62	334.42	22.720144
510_130560_000006_000000	"We go to catch the cow and it runs away, We go to catch the calf and it runs away, O Karam Gosain how far off are you?"	"We go to catch the cow and it runs away, We go to catch the calf and it runs away, O Karam Gosain how far off are you?"	false	335.15	345.4	22.930666
510_130560_000007_000000	But the cow said to them--"Go to the banks of the Ganges." Then they came to a buffalo and went to milk it, but it lowered its head and charged them; and Dharam cried but his wife said "Don't cry" and sang:--	But the cow said to them-"Go to the banks of the Ganges." Then they came to a buffalo and went to milk it, but it lowered its head and charged them; and Dharam cried but his wife said "Don't cry" and sang:--	false	346.28	361.45	23.399767
510_130560_000008_000000	"If you go to catch the buffalo, Dharmu, It will kill you. How shall we drink milk?	"If you go to catch the buffalo, Dharmu, It will kill you. How shall we drink milk?	true	361.97	368.05	22.65915
510_130560_000008_000001	How shall we drink milk? How far off are you, O our Karam Gosain?"	How shall we drink milk? How far off are you, O our Karam Gosain?"	false	368.15	375.69	18.204092
510_130560_000009_000000	And the buffalo said "Go on to the bank of the Ganges." Then they came to a horse and they thought that they would catch it and mount it, but it kicked and snorted; and they sang:--	And the buffalo said "Go on to the bank of the Ganges." Then they came to a horse and they thought that they would catch it and mount it, but it kicked and snorted; and they sang:--	false	375.69	389.16	20.43783
510_130560_000010_000000	"Dharmu tries to catch the horse: But it kicks and runs away. How shall we reach the Ganges? O Karam Gosain, how far off are you?"	"Dharmu tries to catch the horse: But it kicks and runs away. How shall we reach the Ganges? O Karam Gosain, how far off are you?"	false	389.16	399.82	21.867
510_130560_000011_000000	And the horse said "Go to the banks of the Ganges." Then they saw an elephant but it would not let them approach, so they decided to push on straight for the river; and they saw under a banyan tree a large pot full of rupees, but they were so disheartened that they made no attempt to touch it; then they met a woman who asked where they were going and when she heard, she said "For twelve years I have had a _pai_ measure stuck on my throat; ask Karam Gosain for me how I am to get rid of it," and they promised; and going on they met a woman with a bundle of thatching grass stuck to her head; and she made them promise to ask Karam Gosain how she could be freed; then they met a woman with both her feet burning in a fire and another with a stool stuck fast to her back and they promised to enquire how these might be delivered.	And the horse said "Go to the banks of the Ganges." Then they saw an elephant but it would not let them approach, so they decided to push on straight for the river; and they saw under a banyan tree a large pot full of rupees, but they were so disheartened that they made no attempt to touch it; then they met a woman who asked where they were going and when she heard, she said "For twelve years I have had a underscore pai underscore measure stuck on my throat; ask Karam Gosain for me how I am to get rid of it," and they promised; and going on they met a woman with a bundle of thatching grass stuck to her head; and she made them promise to ask Karam Gosain how she could be freed; then they met a woman with both her feet burning in a fire and another with a stool stuck fast to her back and they promised to enquire how these might be delivered.	false	400.79	460.63	20.178133
510_130560_000012_000000	So at last they came to the Ganges and they stood on the bank and called to Karam Gosain; and when he came they caught hold of him and he said "Fie, what low caste person is touching me?"	So at last they came to the Ganges and they stood on the bank and called to Karam Gosain; and when he came they caught hold of him and he said "Fie, what low caste person is touching me?"	false	461.69	474.64	21.305046
510_130560_000012_000001	But they said.	But they said.	true	475.07	476.17	20.606934
510_130560_000012_000002	"It is no low caste person, but Dharmu." Then they bathed him and anointed him with oil and turmeric and wrapped him in the new cloth which they had brought, and thus they persuaded him to return; so they rose up to go back, and Dharmu asked about the women whom they had met, and Karam Gosain said: "The woman has a stool stuck to her back because when visitors came she never offered them a seat; let her do so in future, and she will be freed; and the woman has her feet burning in the fire because she pushed the fuel into the fire with her foot; let her not do so in future, and she will be freed; and the woman has the thatching grass stuck to her head because when she saw a friend with straw sticking in her hair she did not tell her about it; let her do so in future and she will be freed; and the woman has the pai measure stuck to her throat because, when her neighbour wanted to borrow her measure, she would not lend it; let her do so in future and she will be freed." And Karam Gosain asked whether they had seen an elephant and a horse and a buffalo and a cow and money and mangoes and figs and Dharmu said "Yes," but that he had not been able to catch the animals and the fruit was bad.	"It is no low caste person, but Dharmu." Then they bathed him and anointed him with oil and turmeric and wrapped him in the new cloth which they had brought, and thus they persuaded him to return; so they rose up to go back, and Dharmu asked about the women whom they had met, and Karam Gosain said: "The woman has a stool stuck to her back because when visitors came she never offered them a seat; let her do so in future, and she will be freed; and the woman has her feet burning in the fire because she pushed the fuel into the fire with her foot; let her not do so in future, and she will be freed; and the woman has the thatching grass stuck to her head because when she saw a friend with straw sticking in her hair she did not tell her about it; let her do so in future and she will be freed; and the woman has the pai measure stuck to her throat because, when her neighbour wanted to borrow her measure, she would not lend it; let her do so in future and she will be freed." And Karam Gosain asked whether they had seen an elephant and a horse and a buffalo and a cow and money and mangoes and figs and Dharmu said "Yes," but that he had not been able to catch the animals and the fruit was bad.	true	476.27	564.25	21.44216
510_130560_000012_000003	Karam Gosain promised them that on their way back they should take possession of all; and they did so and mounted on the elephant and returned to their home with great wealth.	Karam Gosain promised them that on their way back they should take possession of all; and they did so and mounted on the elephant and returned to their home with great wealth.	true	565.25	576.64	22.051805
510_130560_000012_000004	On their way they met the four women and told them how they could be saved from their troubles.	On their way they met the four women and told them how they could be saved from their troubles.	true	577.88	583.57	21.40399
510_130560_000012_000005	The villagers welcomed Dharmu and he arranged a great feast and gave paddy to all the villagers to husk; but when they had boiled it the weather became cloudy so that they could not dry it, so they prayed to the sun and he at once shone out and dried the paddy.	The villagers welcomed Dharmu and he arranged a great feast and gave paddy to all the villagers to husk; but when they had boiled it the weather became cloudy so that they could not dry it, so they prayed to the sun and he at once shone out and dried the paddy.	false	584.6	601.45	22.156012
510_130560_000013_000000	Then a day was fixed and they prepared rice beer, and worshipped Karam Gosain and they danced all night and got very drunk and enjoyed themselves.	Then a day was fixed and they prepared rice beer, and worshipped Karam Gosain and they danced all night and got very drunk and enjoyed themselves.	false	602.24	613.29	22.450562
510_130560_000014_000000	VI.	VI.	false	613.29	613.35	-20
510_130560_000014_000001	The Jealous Stepmother.	The Jealous Stepmother.	false	613.35	613.62	-20
510_130560_000015_000000	There was once a man whose wife died leaving him with one son and after a year he married again.	There was once a man whose wife died leaving him with one son and after a year he married again.	false	613.62	615.36	-20
510_130560_000015_000001	The second wife was very jealous of the son and she told her husband that she would not stay with him unless he killed the boy; at first he refused but she insisted and then he said that he was frightened to do the deed, but she might kill the boy herself if she liked.	The second wife was very jealous of the son and she told her husband that she would not stay with him unless he killed the boy; at first he refused but she insisted and then he said that he was frightened to do the deed, but she might kill the boy herself if she liked.	false	615.36	618.72	22.229948
510_130560_000015_000002	She said, "No: he is your son and you must kill him; if he were mine I would do it.	She said, "No: he is your son and you must kill him; if he were mine I would do it.	false	618.72	619.11	21
510_130560_000015_000003	You need not be frightened; when you take him out ploughing make him drive the front plough, and you sharpen your plough pole to a point and drive it into him from behind and kill him and then it will seem to be an accident." So the man promised and made a sharp point to his plough pole but whenever they ploughed, the son drove his plough so fast that the father could not catch him up and so the boy was not killed; then the woman abused her husband and said that he was deceiving her.	You need not be frightened; when you take him out ploughing make him drive the front plough, and you sharpen your plough pole to a point and drive it into him from behind and kill him and then it will seem to be an accident." So the man promised and made a sharp point to his plough pole but whenever they ploughed, the son drove his plough so fast that the father could not catch him up and so the boy was not killed; then the woman abused her husband and said that he was deceiving her.	false	619.11	619.44	12
510_130560_000015_000004	So he promised to finish the business the next day and told her to give the boy a good hot breakfast before they started, so that he might receive one last kindness, and he said that they must find some other way of killing him because all the ploughing was finished; but his wife told him he could plough down their crop of _goondli_, the bullocks would stop to eat the _goondli_ as they went along and so he would easily catch up his son.	So he promised to finish the business the next day and told her to give the boy a good hot breakfast before they started, so that he might receive one last kindness, and he said that they must find some other way of killing him because all the ploughing was finished; but his wife told him he could plough down their crop of underscore goondli underscore, the bullocks would stop to eat the underscore goondli underscore as they went along and so he would easily catch up his son.	false	619.44	619.59	10
510_130560_000015_000005	Accordingly the next morning father and son took out the ploughs and the boy asked where they should plough, and the father said that they would plough down the field of _goondli_.	Accordingly the next morning father and son took out the ploughs and the boy asked where they should plough, and the father said that they would plough down the field of underscore goondli underscore.	false	619.59	619.59	
510_130560_000015_000006	But the boy said "Why should we do that?	But the boy said "Why should we do that?	false	619.59	619.86	26
510_130560_000015_000007	it is a good crop and will be ripe in a day or two; it is too late to sow again, we shall lose this crop and who knows whether we shall get anything in its place?"	it is a good crop and will be ripe in a day or two; it is too late to sow again, we shall lose this crop and who knows whether we shall get anything in its place?"	false	619.86	625.23	18.372768
