4110_11533_000003_000000	CHAPTER XIX	CHAPTER nineteen
4110_11533_000027_000001	Upon this area had struck the strange blue light from the deep Cone of the Moon.	Upon this area had struck the strange blue light from the deep Cone of the Moon.
4110_11533_000028_000000	Here, however, the light was invisible, and Sarka flew on in fear that somehow his aircars would blunder into it, and be destroyed--for that the blue light was an agent of ghastly destruction became instantly apparent.	Here, however, the light was invisible, and Sarka flew on in fear that somehow his aircars would blunder into it, and be destroyed-for that the blue light was an agent of ghastly destruction became instantly apparent.
4110_11533_000029_000000	The dwellings of the Gens of Dalis were broken and smashed into chaotic ruins.	The dwellings of the Gens of Dalis were broken and smashed into chaotic ruins.
4110_11533_000029_000003	For, in order for the Gens of Dalis to be in position to launch their attack against the Moon, he had managed, by manipulating the speed of the Beryls, to bring that area into position directly opposite the Moon.	For, in order for the Gens of Dalis to be in position to launch their attack against the Moon, he had managed, by manipulating the speed of the Beryls, to bring that area into position directly opposite the Moon.
4110_11533_000030_000000	Had it been otherwise, the blue column might have struck anywhere, and wiped out millions of lives!	Had it been otherwise, the blue column might have struck anywhere, and wiped out millions of lives!
4110_11533_000031_000000	"God, Jaska," murmured Sarka.	"God, Jaska," murmured Sarka.
4110_11533_000031_000001	"Look!"	"Look!"
4110_11533_000032_000000	Think of a shoreline, once lined with mighty buildings, after the passage of a tidal wave greater than ever before known to man.	Think of a shoreline, once lined with mighty buildings, after the passage of a tidal wave greater than ever before known to man.
4110_11533_000032_000001	The devastation would be indescribable.	The devastation would be indescribable.
4110_11533_000032_000002	Multiply that shoreline by the vast area which had housed the Gens of Dalis, and the mental picture is almost too big to grasp.	Multiply that shoreline by the vast area which had housed the Gens of Dalis, and the mental picture is almost too big to grasp.
4110_11533_000032_000003	Chaos, catastrophe, approaching an infinity of destruction.	Chaos, catastrophe, approaching an infinity of destruction.
4110_11533_000034_000000	Yet, Sarka knew, remembering the murmuring of the blue column as it came out of the cone, all this devastation had been caused in almost absolute silence.	Yet, Sarka knew, remembering the murmuring of the blue column as it came out of the cone, all this devastation had been caused in almost absolute silence.
4110_11533_000034_000001	People could have watched and seen these deserted buildings slowly fuse together, run together as molten metal runs together, like the lava from a volcano of long ago under the ponderous moving to and fro of some invisible, juggernautlike agency.	People could have watched and seen these deserted buildings slowly fuse together, run together as molten metal runs together, like the lava from a volcano of long ago under the ponderous moving to and fro of some invisible, juggernautlike agency.
4110_11533_000035_000000	Sarka shuddered, trying to picture in his mind the massing of the minions of Mars, who thus saw a new country given into their hands--if they could take it.	Sarka shuddered, trying to picture in his mind the massing of the minions of Mars, who thus saw a new country given into their hands-if they could take it.
4110_11533_000035_000001	Had the Earth been taken by surprise?	Had the Earth been taken by surprise?
4110_11533_000035_000002	Had Sarka the Second been able to prepare for the approaching catastrophe?	Had Sarka the Second been able to prepare for the approaching catastrophe?
4110_11533_000036_000000	"Father," he sent his thoughts racing on ahead of him, "are those lights which are striking the Earth causing any damage?"	"Father," he sent his thoughts racing on ahead of him, "are those lights which are striking the Earth causing any damage?"
4110_11533_000037_000000	"Only," came back the instant answer, "in that they destroy the courage of the people of the Earth!	"Only," came back the instant answer, "in that they destroy the courage of the people of the Earth!
4110_11533_000037_000001	The people, however, now know that Sarka is returning, and their courage rises again!	The people, however, now know that Sarka is returning, and their courage rises again!
4110_11533_000037_000002	The flames are merely a hint of what faces us; but the people will rise and follow you wherever you lead!"	The flames are merely a hint of what faces us; but the people will rise and follow you wherever you lead!"
4110_11533_000038_000000	So, as they raced across the area of devastation, the face of Sarka became calm again.	So, as they raced across the area of devastation, the face of Sarka became calm again.
4110_11533_000038_000001	On a chance, he sent a single sentence of strange meaning to his father.	On a chance, he sent a single sentence of strange meaning to his father.
4110_11533_000039_000000	"The ruler of the Moon is a woman called Luar, which seems a contraction of Lunar!"	"The ruler of the Moon is a woman called Luar, which seems a contraction of Lunar!"
4110_11533_000040_000000	For many minutes Sarka the Second made no answer.	For many minutes Sarka the Second made no answer.
