1472_142848_000000_000000	_Time_.--From 1-1/4 to 1-1/2 hour.	underscore Time underscore.--From one minus one quarter to one minus one half hour.	false	0	4.32	17.667067
1472_142848_000014_000006	We have in tea, of many kinds, a beverage which contains the active constituents of the most powerful mineral springs, and, however small the amount of iron may be which we daily take in this form, it cannot be destitute of influence on the vital processes."	We have in tea, of many kinds, a beverage which contains the active constituents of the most powerful mineral springs, and, however small the amount of iron may be which we daily take in this form, it cannot be destitute of influence on the vital processes."	true	313.94	327.81	20.041351
1472_142848_000015_000000	1797.	seventeen ninety seven.	false	327.81	329.49	0
1472_142848_000015_000001	Chinese tea has frequently been adulterated in this country, by the admixture of the dried leaves of certain plants.	Chinese tea has frequently been adulterated in this country, by the admixture of the dried leaves of certain plants.	false	329.49	335.02	16
1472_142848_000015_000002	The leaves of the sloe, white thorn, ash, elder, and some others, have been employed for this purpose; such as the leaves of the speedwell, wild germander, black currants, syringa, purple-spiked willow-herb, sweet-brier, and cherry-tree.	The leaves of the sloe, white thorn, ash, elder, and some others, have been employed for this purpose; such as the leaves of the speedwell, wild germander, black currants, syringa, purple spiked willow herb, sweet brier, and cherry tree.	true	335.33	350.53	21.143461
1472_142848_000015_000003	Some of these are harmless, others are to a certain degree poisonous; as, for example, are the leaves of all the varieties of the plum and cherry tribe, to which the sloe belongs.	Some of these are harmless, others are to a certain degree poisonous; as, for example, are the leaves of all the varieties of the plum and cherry tribe, to which the sloe belongs.	true	351.32	360.97	20.679556
1472_142848_000015_000004	Adulteration by means of these leaves is by no means a new species of fraud; and several acts of parliament, from the time of George II., have been passed, specifying severe penalties against those guilty of the offence, which, notwithstanding numerous convictions, continues to the present time.	Adulteration by means of these leaves is by no means a new species of fraud; and several acts of parliament, from the time of George the second., have been passed, specifying severe penalties against those guilty of the offence, which, notwithstanding numerous convictions, continues to the present time.	true	361.52	377.43	20.254526
1472_142848_000016_000000	1798.	seventeen ninety eight.	false	377.43	378.48	-5
1472_142848_000016_000001	In the purchase of tea, that should be chosen which possesses an agreeable odour and is as whole as possible, in order that the leaf may be easily examined.	In the purchase of tea, that should be chosen which possesses an agreeable odour and is as whole as possible, in order that the leaf may be easily examined.	true	378.48	386.65	19.883219
1472_142848_000016_000002	The greatest care should be taken that it has not been exposed to the air, which destroys its flavour.	The greatest care should be taken that it has not been exposed to the air, which destroys its flavour.	true	387.05	392.19	22.594604
1472_142848_000017_000000	1799.	seventeen ninety nine.	false	392.19	394.68	-20
1472_142848_000017_000001	It would be impossible, in the space at our command, to enumerate the various modes adopted in different countries for "making coffee;" that is, the phrase commonly understood to mean the complete preparation of this delicious beverage for drinking.	It would be impossible, in the space at our command, to enumerate the various modes adopted in different countries for "making coffee;" that is, the phrase commonly understood to mean the complete preparation of this delicious beverage for drinking.	true	394.68	406.63	21
1472_142848_000017_000002	For performing this operation, such recipes or methods as we have found most practical will be inserted in their proper place; but the following facts connected with coffee will be found highly interesting.	For performing this operation, such recipes or methods as we have found most practical will be inserted in their proper place; but the following facts connected with coffee will be found highly interesting.	true	407.33	417.84	20.621237
1472_142848_000018_000000	1800.	eighteen hundred.	false	417.84	418.65	-20
1472_142848_000018_000001	The introduction of coffee into this country is comparatively of recent date.	The introduction of coffee into this country is comparatively of recent date.	true	418.65	422.5	19
1472_142848_000018_000002	We are assured by Bruce that the coffee-tree is a native of Abyssinia, and it is said to have been cultivated in that country from time immemorial.	We are assured by Bruce that the coffee tree is a native of Abyssinia, and it is said to have been cultivated in that country from time immemorial.	true	422.93	430.38	19
1472_142848_000019_000000	1801.	eighteen o one.	false	430.38	431.37	-20
1472_142848_000019_000001	It appears that coffee was first introduced into England by Daniel Edwards, a Turkey merchant, whose servant, Pasqua, a Greek, understood the manner of roasting it.	It appears that coffee was first introduced into England by Daniel Edwards, a Turkey merchant, whose servant, Pasqua, a Greek, understood the manner of roasting it.	true	431.37	440.44	21
1472_142848_000019_000002	This servant, under the patronage of Edwards, established the first coffee-house in London, in George Yard, Lombard Street.	This servant, under the patronage of Edwards, established the first coffee house in London, in George Yard, Lombard Street.	true	440.99	447.91	21.29059
1472_142848_000019_000003	Coffee was then sold at four or five guineas a pound, and a duty was soon afterwards laid upon it of fourpence a gallon, when made into a beverage.	Coffee was then sold at four or five guineas a pound, and a duty was soon afterwards laid upon it of fourpence a gallon, when made into a beverage.	true	448.49	456.61	19.631912
1472_142848_000019_000004	In the course of two centuries, however, this berry, unknown originally as an article of food, except to some savage tribes on the confines of Abyssinia, has made its way through the whole of the civilized world.	In the course of two centuries, however, this berry, unknown originally as an article of food, except to some savage tribes on the confines of Abyssinia, has made its way through the whole of the civilized world.	true	457.19	468.97	19.241692
1472_142848_000019_000005	Mahommedans of all ranks drink coffee twice a day; it is in universal request in France; and the demand for it throughout the British isles is daily increasing, the more especially since so much attention has been given to mechanical contrivances for roasting and grinding the berry and preparing the beverage.	Mahommedans of all ranks drink coffee twice a day; it is in universal request in France; and the demand for it throughout the British isles is daily increasing, the more especially since so much attention has been given to mechanical contrivances for roasting and grinding the berry and preparing the beverage.	false	469.4	486.45	20
1472_142848_000020_000000	1802.	eighteen o two.	false	486.45	487.905	-20
1472_142848_000020_000001	Of the various kinds of coffee the Arabian is considered the best. It is grown chiefly in the districts of Aden and Mocha; whence the name of our Mocha coffee.	Of the various kinds of coffee the Arabian is considered the best. It is grown chiefly in the districts of Aden and Mocha; whence the name of our Mocha coffee.	true	487.905	497.44	20.098167
1472_142848_000020_000002	Mocha coffee has a smaller and rounder bean than any other, and likewise a more agreeable smell and taste.	Mocha coffee has a smaller and rounder bean than any other, and likewise a more agreeable smell and taste.	true	498.02	503.98	20.119799
1472_142848_000020_000003	The next in reputation and quality is the Java and Ceylon coffee, and then the coffees of Bourbon and Martinique, and that of Berbice, a district of the colony of British Guiana.	The next in reputation and quality is the Java and Ceylon coffee, and then the coffees of Bourbon and Martinique, and that of Berbice, a district of the colony of British Guiana.	false	504.56	514.93	21.443398
1472_142848_000020_000004	The Jamaica and St. Domingo coffees are less esteemed.	The Jamaica and st Domingo coffees are less esteemed.	false	515.51	518.76	20.753546
1472_142848_000021_000000	1803.	eighteen o three.	false	518.76	520.29	-12
1472_142848_000021_000001	A considerable change takes place in the arrangement of the constituents of coffee by the application of heat in roasting it. Independently of one of the objects of roasting, namely, that of destroying its toughness and rendering it easily ground, its tannin and other principles are rendered partly soluble in water; and it is to the tannin that the brown colour of the decoction of coffee is owing.	A considerable change takes place in the arrangement of the constituents of coffee by the application of heat in roasting it. Independently of one of the objects of roasting, namely, that of destroying its toughness and rendering it easily ground, its tannin and other principles are rendered partly soluble in water; and it is to the tannin that the brown colour of the decoction of coffee is owing.	true	520.29	541.39	21.228527
1472_142848_000021_000002	An aromatic flavour is likewise developed during torrefaction, which is not perceived in the raw berry, and which is not produced in the greatest perfection until the heat has arrived at a certain degree of temperature; but, if the heat be increased beyond this, the flavour is again dissipated, and little remains but a bitter and astringent matter with carbon.	An aromatic flavour is likewise developed during torrefaction, which is not perceived in the raw berry, and which is not produced in the greatest perfection until the heat has arrived at a certain degree of temperature; but, if the heat be increased beyond this, the flavour is again dissipated, and little remains but a bitter and astringent matter with carbon.	false	542.63	561.18	20.568699
1472_142848_000022_000000	1804.	eighteen o four.	false	561.18	562.53	-20
1472_142848_000022_000001	The roasting of coffee in the best manner requires great nicety, and much of the qualities of the beverage depends upon the operation. The roasting of coffee for the dealers in London and Paris has now become a separate branch of business, and some of the roasters perform the operation on a great scale, with considerable skill.	The roasting of coffee in the best manner requires great nicety, and much of the qualities of the beverage depends upon the operation. The roasting of coffee for the dealers in London and Paris has now become a separate branch of business, and some of the roasters perform the operation on a great scale, with considerable skill.	true	562.53	579.58	20.995077
1472_142848_000022_000002	Roasted coffee loses from 20 to 30 per cent, by sufficient roasting, and the powder suffers much by exposure to the air; but, while raw, it not only does not lose its flavour for a year or two, but improves by keeping.	Roasted coffee loses from twenty to thirty per cent, by sufficient roasting, and the powder suffers much by exposure to the air; but, while raw, it not only does not lose its flavour for a year or two, but improves by keeping.	true	580.4	593.11	21.140116
1472_142848_000022_000003	If a cup of the best coffee be placed upon a table boiling hot, it will fill the room with its fragrance; but the coffee, when warmed again after being cold, will be found to have lost most of its flavour.	If a cup of the best coffee be placed upon a table boiling hot, it will fill the room with its fragrance; but the coffee, when warmed again after being cold, will be found to have lost most of its flavour.	true	593.42	604.44	20.152706
1472_142848_000023_000000	1805.	eighteen o five.	false	604.44	605.7	-2
1472_142848_000023_000001	To have coffee in perfection, it should be roasted and ground just before it is used, and more should not be ground at a time than is wanted for immediate use, or, if it be necessary to grind more, it should be kept closed from the air.	To have coffee in perfection, it should be roasted and ground just before it is used, and more should not be ground at a time than is wanted for immediate use, or, if it be necessary to grind more, it should be kept closed from the air.	true	605.7	618.7	20.591816
1472_142848_000023_000002	Coffee readily imbibes exhalations from other substances, and thus often acquires a bad flavour: brown sugar placed near it will communicate a disagreeable flavour.	Coffee readily imbibes exhalations from other substances, and thus often acquires a bad flavour: brown sugar placed near it will communicate a disagreeable flavour.	true	619.55	629.41	19.701857
1472_142848_000023_000003	It is stated that the coffee in the West Indies has often been injured by being laid in rooms near the sugar-works, or where rum is distilled; and the same effect has been produced by bringing over coffee in the same ships with rum and sugar.	It is stated that the coffee in the West Indies has often been injured by being laid in rooms near the sugar works, or where rum is distilled; and the same effect has been produced by bringing over coffee in the same ships with rum and sugar.	false	630.14	642.34	20.103374
1472_142848_000023_000004	Dr. Moseley mentions that a few bags of pepper, on board a ship from India, spoiled a whole cargo of coffee.	dr Moseley mentions that a few bags of pepper, on board a ship from India, spoiled a whole cargo of coffee.	true	642.74	649.41	19.992994
1472_142848_000024_000000	1806.	eighteen o six.	false	649.41	651.03	-20
1472_142848_000024_000001	With respect to the quantity of coffee used in making the decoction, much depends upon the taste of the consumer.	With respect to the quantity of coffee used in making the decoction, much depends upon the taste of the consumer.	true	651.03	656.95	21.50585
1472_142848_000024_000002	The greatest and most common fault in English coffee is the too small quantity of the ingredient.	The greatest and most common fault in English coffee is the too small quantity of the ingredient.	true	657.44	662.56	19
1472_142848_000024_000003	Count Rumford says that to make good coffee for drinking after dinner, a pound of good Mocha coffee, which, when roasted and ground, weighs only thirteen ounces, serves to make fifty-six full cups, or a little less than a quarter of an ounce to a coffee-cup of moderate size.	Count Rumford says that to make good coffee for drinking after dinner, a pound of good Mocha coffee, which, when roasted and ground, weighs only thirteen ounces, serves to make fifty six full cups, or a little less than a quarter of an ounce to a coffee cup of moderate size.	false	662.84	686.73	20.179296
