3046_137739_000002_000003	It is the story of the Butterfly that Stamped.	It is the story of the Butterfly that Stamped.
3046_137739_000019_000000	Suleiman-bin-Daoud smiled in his beard and said, 'Yes, I know, little brother.	Suleiman bin Daoud smiled in his beard and said, 'Yes, I know, little brother.
3046_137739_000020_000001	I said that to quiet her.'	I said that to quiet her.'
3046_137739_000021_000001	Go back to your wife, little brother, and let me hear what you say.'	Go back to your wife, little brother, and let me hear what you say.'
3046_137739_000022_000000	Back flew the Butterfly to his wife, who was all of a twitter behind a leaf, and she said, 'He heard you!	Back flew the Butterfly to his wife, who was all of a twitter behind a leaf, and she said, 'He heard you!
3046_137739_000026_000000	'Gracious!' said his wife, and sat quite quiet; but Suleiman-bin-Daoud laughed till the tears ran down his face at the impudence of the bad little Butterfly.	'Gracious!' said his wife, and sat quite quiet; but Suleiman bin Daoud laughed till the tears ran down his face at the impudence of the bad little Butterfly.
3046_137739_000027_000001	She thought, 'If I am wise I can yet save my Lord from the persecutions of these quarrelsome Queens,' and she held out her finger and whispered softly to the Butterfly's Wife, 'Little woman, come here.' Up flew the Butterfly's Wife, very frightened, and clung to Balkis's white hand.	She thought, 'If I am wise I can yet save my Lord from the persecutions of these quarrelsome Queens,' and she held out her finger and whispered softly to the Butterfly's Wife, 'Little woman, come here.' Up flew the Butterfly's Wife, very frightened, and clung to Balkis's white hand.
3046_137739_000029_000000	The Butterfly's Wife looked at Balkis, and saw the most beautiful Queen's eyes shining like deep pools with starlight on them, and she picked up her courage with both wings and said, 'O Queen, be lovely for ever.	The Butterfly's Wife looked at Balkis, and saw the most beautiful Queen's eyes shining like deep pools with starlight on them, and she picked up her courage with both wings and said, 'O Queen, be lovely for ever.
3046_137739_000031_000001	They never mean half they say.	They never mean half they say.
3046_137739_000031_000002	If it pleases my husband to believe that I believe he can make Suleiman-bin-Daoud's Palace disappear by stamping his foot, I'm sure I don't care.	If it pleases my husband to believe that I believe he can make Suleiman bin Daoud's Palace disappear by stamping his foot, I'm sure I don't care.
3046_137739_000031_000003	He'll forget all about it to-morrow.'	He'll forget all about it to morrow.'
3046_137739_000032_000001	Ask him to stamp, and see what will happen.	Ask him to stamp, and see what will happen.
3046_137739_000032_000002	We know what men-folk are like, don't we?	We know what men folk are like, don't we?
3046_137739_000033_000000	Away flew the Butterfly's Wife to her husband, and in five minutes they were quarrelling worse than ever.	Away flew the Butterfly's Wife to her husband, and in five minutes they were quarrelling worse than ever.
3046_137739_000034_000000	'Remember!' said the Butterfly.	'Remember!' said the Butterfly.
3046_137739_000034_000001	'Remember what I can do if I stamp my foot.'	'Remember what I can do if I stamp my foot.'
3046_137739_000035_000000	'I don't believe you one little bit,' said the Butterfly's Wife.	'I don't believe you one little bit,' said the Butterfly's Wife.
3046_137739_000035_000001	'I should very much like to see it done.	'I should very much like to see it done.
3046_137739_000035_000002	Suppose you stamp now.'	Suppose you stamp now.'
3046_137739_000036_000000	'I promised Suleiman-bin-Daoud that I wouldn't,' said the Butterfly, 'and I don't want to break my promise.'	'I promised Suleiman bin Daoud that I wouldn't,' said the Butterfly, 'and I don't want to break my promise.'
3046_137739_000037_000000	'It wouldn't matter if you did,' said his wife.	'It wouldn't matter if you did,' said his wife.
3046_137739_000037_000001	'You couldn't bend a blade of grass with your stamping.	'You couldn't bend a blade of grass with your stamping.
3046_137739_000037_000002	I dare you to do it,' she said. Stamp!	I dare you to do it,' she said. Stamp!
3046_137739_000037_000003	Stamp!	Stamp!
3046_137739_000037_000004	Stamp!'	Stamp!'
3046_137739_000038_000000	Suleiman-bin-Daoud, sitting under the camphor-tree, heard every word of this, and he laughed as he had never laughed in his life before.	Suleiman bin Daoud, sitting under the camphor tree, heard every word of this, and he laughed as he had never laughed in his life before.
3046_137739_000038_000002	He just laughed with joy, and Balkis, on the other side of the tree, smiled because her own true love was so joyful.	He just laughed with joy, and Balkis, on the other side of the tree, smiled because her own true love was so joyful.
3046_137739_000039_000000	Presently the Butterfly, very hot and puffy, came whirling back under the shadow of the camphor-tree and said to Suleiman, 'She wants me to stamp!	Presently the Butterfly, very hot and puffy, came whirling back under the shadow of the camphor tree and said to Suleiman, 'She wants me to stamp!
3046_137739_000041_000000	'Slaves,' said Suleiman-bin-Daoud, 'when this gentleman on my finger' (that was where the impudent Butterfly was sitting) 'stamps his left front forefoot you will make my Palace and these gardens disappear in a clap of thunder.	'Slaves,' said Suleiman bin Daoud, 'when this gentleman on my finger' (that was where the impudent Butterfly was sitting) 'stamps his left front forefoot you will make my Palace and these gardens disappear in a clap of thunder.
3046_137739_000041_000001	When he stamps again you will bring them back carefully.'	When he stamps again you will bring them back carefully.'
3046_137739_000042_000000	'Now, little brother,' he said, 'go back to your wife and stamp all you've a mind to.'	'Now, little brother,' he said, 'go back to your wife and stamp all you've a mind to.'
3046_137739_000043_000000	Away flew the Butterfly to his wife, who was crying, 'I dare you to do it!	Away flew the Butterfly to his wife, who was crying, 'I dare you to do it!
3046_137739_000043_000001	I dare you to do it!	I dare you to do it!
3046_137739_000043_000002	Stamp!	Stamp!
3046_137739_000043_000003	Stamp now!	Stamp now!
3046_137739_000044_000001	The Djinns jerked the Palace and the gardens a thousand miles into the air: there was a most awful thunder-clap, and everything grew inky-black.	The Djinns jerked the Palace and the gardens a thousand miles into the air: there was a most awful thunder clap, and everything grew inky black.
3046_137739_000044_000002	The Butterfly's Wife fluttered about in the dark, crying, 'Oh, I'll be good!	The Butterfly's Wife fluttered about in the dark, crying, 'Oh, I'll be good!
3046_137739_000044_000003	I'm so sorry I spoke.	I'm so sorry I spoke.
3046_137739_000045_000000	The Butterfly was nearly as frightened as his wife, and Suleiman-bin-Daoud laughed so much that it was several minutes before he found breath enough to whisper to the Butterfly, 'Stamp again, little brother.	The Butterfly was nearly as frightened as his wife, and Suleiman bin Daoud laughed so much that it was several minutes before he found breath enough to whisper to the Butterfly, 'Stamp again, little brother.
3046_137739_000045_000001	Give me back my Palace, most great magician.'	Give me back my Palace, most great magician.'
3046_137739_000046_000000	'Yes, give him back his Palace,' said the Butterfly's Wife, still flying about in the dark like a moth.	'Yes, give him back his Palace,' said the Butterfly's Wife, still flying about in the dark like a moth.
3046_137739_000047_000001	Of course it doesn't make any difference to me--I'm used to this kind of thing--but as a favour to you and to Suleiman-bin-Daoud I don't mind putting things right.'	Of course it doesn't make any difference to me-I'm used to this kind of thing-but as a favour to you and to Suleiman bin Daoud I don't mind putting things right.'
3046_137739_000048_000000	So he stamped once more, and that instant the Djinns let down the Palace and the gardens, without even a bump.	So he stamped once more, and that instant the Djinns let down the Palace and the gardens, without even a bump.
3046_137739_000048_000001	The sun shone on the dark-green orange leaves; the fountains played among the pink Egyptian lilies; the birds went on singing, and the Butterfly's Wife lay on her side under the camphor-tree waggling her wings and panting, 'Oh, I'll be good!	The sun shone on the dark green orange leaves; the fountains played among the pink Egyptian lilies; the birds went on singing, and the Butterfly's Wife lay on her side under the camphor tree waggling her wings and panting, 'Oh, I'll be good!
3046_137739_000048_000002	I'll be good!'	I'll be good!'
3046_137739_000049_000001	He leaned back all weak and hiccoughy, and shook his finger at the Butterfly and said, 'O great wizard, what is the sense of returning to me my Palace if at the same time you slay me with mirth!'	He leaned back all weak and hiccoughy, and shook his finger at the Butterfly and said, 'O great wizard, what is the sense of returning to me my Palace if at the same time you slay me with mirth!'
3046_137739_000051_000000	They stood on the marble steps one hundred abreast and shouted, 'What is our trouble?	They stood on the marble steps one hundred abreast and shouted, 'What is our trouble?
3046_137739_000051_000001	We were living peacefully in our golden palace, as is our custom, when upon a sudden the Palace disappeared, and we were left sitting in a thick and noisome darkness; and it thundered, and Djinns and Afrits moved about in the darkness!	We were living peacefully in our golden palace, as is our custom, when upon a sudden the Palace disappeared, and we were left sitting in a thick and noisome darkness; and it thundered, and Djinns and Afrits moved about in the darkness!
3046_137739_000051_000002	That is our trouble, O Head Queen, and we are most extremely troubled on account of that trouble, for it was a troublesome trouble, unlike any trouble we have known.'	That is our trouble, O Head Queen, and we are most extremely troubled on account of that trouble, for it was a troublesome trouble, unlike any trouble we have known.'
3046_137739_000053_000000	Then up and spoke an Egyptian Queen--the daughter of a Pharoah--and she said, 'Our Palace cannot be plucked up by the roots like a leek for the sake of a little insect.	Then up and spoke an Egyptian Queen-the daughter of a Pharoah-and she said, 'Our Palace cannot be plucked up by the roots like a leek for the sake of a little insect.
3046_137739_000053_000001	No! Suleiman-bin-Daoud must be dead, and what we heard and saw was the earth thundering and darkening at the news.'	No! Suleiman bin Daoud must be dead, and what we heard and saw was the earth thundering and darkening at the news.'
3046_137739_000055_000001	Go in peace, little folk!' And he kissed them on the wings, and they flew away.	Go in peace, little folk!' And he kissed them on the wings, and they flew away.
3046_137739_000057_000000	Then they put their veils over their heads, and they put their hands over their mouths, and they tiptoed back to the Palace most mousy-quiet.	Then they put their veils over their heads, and they put their hands over their mouths, and they tiptoed back to the Palace most mousy quiet.
3046_137739_000059_000000	And Suleiman-bin-Daoud, still looking after the Butterflies where they played in the sunlight, said, 'O my Lady and Jewel of my Felicity, when did this happen?	And Suleiman bin Daoud, still looking after the Butterflies where they played in the sunlight, said, 'O my Lady and Jewel of my Felicity, when did this happen?
3046_137739_000060_000000	Balkis--The tender and Most Lovely Balkis--said, 'O my Lord and Regent of my Existence, I hid behind the camphor-tree and saw it all.	Balkis-The tender and Most Lovely Balkis-said, 'O my Lord and Regent of my Existence, I hid behind the camphor tree and saw it all.
3046_137739_000060_000001	It was I who told the Butterfly's Wife to ask the Butterfly to stamp, because I hoped that for the sake of the jest my Lord would make some great magic and that the Queens would see it and be frightened.' And she told him what the Queens had said and seen and thought.	It was I who told the Butterfly's Wife to ask the Butterfly to stamp, because I hoped that for the sake of the jest my Lord would make some great magic and that the Queens would see it and be frightened.' And she told him what the Queens had said and seen and thought.
3046_137739_000061_000000	Then Suleiman-bin-Daoud rose up from his seat under the camphor-tree, and stretched his arms and rejoiced and said, 'O my Lady and Sweetener of my Days, know that if I had made a magic against my Queens for the sake of pride or anger, as I made that feast for all the animals, I should certainly have been put to shame.	Then Suleiman bin Daoud rose up from his seat under the camphor tree, and stretched his arms and rejoiced and said, 'O my Lady and Sweetener of my Days, know that if I had made a magic against my Queens for the sake of pride or anger, as I made that feast for all the animals, I should certainly have been put to shame.
3046_137739_000061_000001	But by means of your wisdom I made the magic for the sake of a jest and for the sake of a little Butterfly, and--behold--it has also delivered me from the vexations of my vexatious wives!	But by means of your wisdom I made the magic for the sake of a jest and for the sake of a little Butterfly, and-behold-it has also delivered me from the vexations of my vexatious wives!
3046_137739_000061_000002	Tell me, therefore, O my Lady and Heart of my Heart, how did you come to be so wise?' And Balkis the Queen, beautiful and tall, looked up into Suleiman-bin-Daoud's eyes and put her head a little on one side, just like the Butterfly, and said, 'First, O my Lord, because I loved you; and secondly, O my Lord, because I know what women-folk are.'	Tell me, therefore, O my Lady and Heart of my Heart, how did you come to be so wise?' And Balkis the Queen, beautiful and tall, looked up into Suleiman bin Daoud's eyes and put her head a little on one side, just like the Butterfly, and said, 'First, O my Lord, because I loved you; and secondly, O my Lord, because I know what women folk are.'
3046_137739_000065_000000	There was never a King like Solomon, Not since the world began; But Solomon talked to a butterfly As a man would talk to a man.	There was never a King like Solomon, Not since the world began; But Solomon talked to a butterfly As a man would talk to a man.
