3046_137739_000000_000000	THE BUTTERFLY THAT STAMPED	THE BUTTERFLY THAT STAMPED	false	4.44	23.085	18.805534
3046_137739_000006_000005	We heard that you were going to feed all the animals in all the world, and my brothers sent me to ask when dinner would be ready.' Suleiman-bin-Daoud was more surprised than ever and said, 'O Animal, you have eaten all the dinner that I made ready for all the animals in the world.' And the Animal said, 'O King, live for ever, but do you really call that a dinner? Where I come from we each eat twice as much as that between meals.' Then Suleiman-bin-Daoud fell flat on his face and said, 'O Animal!	We heard that you were going to feed all the animals in all the world, and my brothers sent me to ask when dinner would be ready.' Suleiman bin Daoud was more surprised than ever and said, 'O Animal, you have eaten all the dinner that I made ready for all the animals in the world.' And the Animal said, 'O King, live for ever, but do you really call that a dinner? Where I come from we each eat twice as much as that between meals.' Then Suleiman bin Daoud fell flat on his face and said, 'O Animal!	true	161.48	191.68	20.15467
3046_137739_000006_000006	I gave that dinner to show what a great and rich king I was, and not because I really wanted to be kind to the animals.	I gave that dinner to show what a great and rich king I was, and not because I really wanted to be kind to the animals.	true	191.78	198.37	15
3046_137739_000006_000007	Now I am ashamed, and it serves me right.	Now I am ashamed, and it serves me right.	true	198.47	201.79	19.441965
3046_137739_000006_000008	Suleiman-bin-Daoud was a really truly wise man, Best Beloved. After that he never forgot that it was silly to show off; and now the real story part of my story begins.	Suleiman bin Daoud was a really truly wise man, Best Beloved. After that he never forgot that it was silly to show off; and now the real story part of my story begins.	true	202.4	215.2	19.616459
3046_137739_000007_000000	He married ever so many wifes.	He married ever so many wifes.	false	215.54	218.28	18.05047
3046_137739_000007_000001	He married nine hundred and ninety-nine wives, besides the Most Beautiful Balkis; and they all lived in a great golden palace in the middle of a lovely garden with fountains.	He married nine hundred and ninety nine wives, besides the Most Beautiful Balkis; and they all lived in a great golden palace in the middle of a lovely garden with fountains.	false	218.28	229.93	18
3046_137739_000007_000002	He didn't really want nine-hundred and ninety-nine wives, but in those days everybody married ever so many wives, and of course the King had to marry ever so many more just to show that he was the King.	He didn't really want nine hundred and ninety nine wives, but in those days everybody married ever so many wives, and of course the King had to marry ever so many more just to show that he was the King.	true	230.24	243.48	19
3046_137739_000008_000000	Some of the wives were nice, but some were simply horrid, and the horrid ones quarrelled with the nice ones and made them horrid too, and then they would all quarrel with Suleiman-bin-Daoud, and that was horrid for him.	Some of the wives were nice, but some were simply horrid, and the horrid ones quarrelled with the nice ones and made them horrid too, and then they would all quarrel with Suleiman bin Daoud, and that was horrid for him.	false	243.48	256.48	18.95948
3046_137739_000008_000001	But Balkis the Most Beautiful never quarrelled with Suleiman-bin-Daoud.	But Balkis the Most Beautiful never quarrelled with Suleiman bin Daoud.	true	256.61	260.505	18
3046_137739_000008_000002	She loved him too much.	She loved him too much.	true	260.505	262.21	18
3046_137739_000008_000003	She sat in her rooms in the Golden Palace, or walked in the Palace garden, and was truly sorry for him.	She sat in her rooms in the Golden Palace, or walked in the Palace garden, and was truly sorry for him.	true	262.25	268.75	19
3046_137739_000009_000000	Of course if he had chosen to turn his ring on his finger and call up the Djinns and the Afrits they would have magicked all those nine hundred and ninety-nine quarrelsome wives into white mules of the desert or greyhounds or pomegranate seeds; but Suleiman-bin-Daoud thought that that would be showing off.	Of course if he had chosen to turn his ring on his finger and call up the Djinns and the Afrits they would have magicked all those nine hundred and ninety nine quarrelsome wives into white mules of the desert or greyhounds or pomegranate seeds; but Suleiman bin Daoud thought that that would be showing off.	true	269.21	288.36	19.605232
3046_137739_000009_000001	So, when they quarrelled too much, he only walked by himself in one part of the beautiful Palace gardens and wished he had never been born.	So, when they quarrelled too much, he only walked by himself in one part of the beautiful Palace gardens and wished he had never been born.	true	288.36	296.71	22.394875
3046_137739_000010_000000	One day, when they had quarrelled for three weeks--all nine hundred and ninety-nine wives together--Suleiman-bin-Daoud went out for peace and quiet as usual; and among the orange trees he met Balkis the Most Beautiful, very sorrowful because Suleiman-bin-Daoud was so worried. And she said to him, 'O my Lord and Light of my Eyes, turn the ring upon your finger and show these Queens of Egypt and Mesopotamia and Persia and China that you are the great and terrible King.' But Suleiman-bin-Daoud shook his head and said, 'O my Lady and Delight of my Life, remember the Animal that came out of the sea and made me ashamed before all the animals in all the world because I showed off.	One day, when they had quarrelled for three weeks-all nine hundred and ninety nine wives together-Suleiman bin Daoud went out for peace and quiet as usual; and among the orange trees he met Balkis the Most Beautiful, very sorrowful because Suleiman bin Daoud was so worried. And she said to him, 'O my Lord and Light of my Eyes, turn the ring upon your finger and show these Queens of Egypt and Mesopotamia and Persia and China that you are the great and terrible King.' But Suleiman bin Daoud shook his head and said, 'O my Lady and Delight of my Life, remember the Animal that came out of the sea and made me ashamed before all the animals in all the world because I showed off.	true	297.56	339.46	18
3046_137739_000010_000001	Now, if I showed off before these Queens of Persia and Egypt and Abyssinia and China, merely because they worry me, I might be made even more ashamed than I have been.'	Now, if I showed off before these Queens of Persia and Egypt and Abyssinia and China, merely because they worry me, I might be made even more ashamed than I have been.'	true	339.56	350.53	19
3046_137739_000011_000000	And Balkis the Most Beautiful said, 'O my Lord and Treasure of my Soul, what will you do?'	And Balkis the Most Beautiful said, 'O my Lord and Treasure of my Soul, what will you do?'	true	350.84	356.23	20
3046_137739_000012_000000	And Suleiman-bin-Daoud said, 'O my Lady and Content of my Heart, I shall continue to endure my fate at the hands of these nine hundred and ninety-nine Queens who vex me with their continual quarrelling.'	And Suleiman bin Daoud said, 'O my Lady and Content of my Heart, I shall continue to endure my fate at the hands of these nine hundred and ninety nine Queens who vex me with their continual quarrelling.'	true	356.75	369.25	16
3046_137739_000013_000000	So he went on between the lilies and the loquats and the roses and the cannas and the heavy-scented ginger-plants that grew in the garden, till he came to the great camphor-tree that was called the Camphor Tree of Suleiman-bin-Daoud.	So he went on between the lilies and the loquats and the roses and the cannas and the heavy scented ginger plants that grew in the garden, till he came to the great camphor tree that was called the Camphor Tree of Suleiman bin Daoud.	true	370.67	383.25	15
3046_137739_000013_000001	But Balkis hid among the tall irises and the spotted bamboos and the red lillies behind the camphor-tree, so as to be near her own true love, Suleiman-bin-Daoud.	But Balkis hid among the tall irises and the spotted bamboos and the red lillies behind the camphor tree, so as to be near her own true love, Suleiman bin Daoud.	false	383.25	394.45	19.927979
3046_137739_000014_000000	Presently two Butterflies flew under the tree, quarrelling.	Presently two Butterflies flew under the tree, quarrelling.	true	395.03	398.29	20
3046_137739_000015_000000	Suleiman-bin-Daoud heard one say to the other, 'I wonder at your presumption in talking like this to me.	Suleiman bin Daoud heard one say to the other, 'I wonder at your presumption in talking like this to me.	true	398.6	404.5	18
3046_137739_000015_000001	Don't you know that if I stamped with my foot all Suleiman-bin-Daoud's Palace and this garden here would immediately vanish in a clap of thunder.'	Don't you know that if I stamped with my foot all Suleiman bin Daoud's Palace and this garden here would immediately vanish in a clap of thunder.'	true	405.11	415	20.741632
3046_137739_000016_000000	Then Suleiman-bin-Daoud forgot his nine hundred and ninety-nine bothersome wives, and laughed, till the camphor-tree shook, at the Butterfly's boast.	Then Suleiman bin Daoud forgot his nine hundred and ninety nine bothersome wives, and laughed, till the camphor tree shook, at the Butterfly's boast.	true	415.31	423.76	19
3046_137739_000016_000001	And he held out his finger and said, 'Little man, come here.'	And he held out his finger and said, 'Little man, come here.'	false	423.86	427.84	19.192606
3046_137739_000017_000000	The Butterfly was dreadfully frightened, but he managed to fly up to the hand of Suleiman-bin-Daoud, and clung there, fanning himself. Suleiman-bin-Daoud bent his head and whispered very softly, 'Little man, you know that all your stamping wouldn't bend one blade of grass.	The Butterfly was dreadfully frightened, but he managed to fly up to the hand of Suleiman bin Daoud, and clung there, fanning himself. Suleiman bin Daoud bent his head and whispered very softly, 'Little man, you know that all your stamping wouldn't bend one blade of grass.	true	428.48	445.9	19.918783
3046_137739_000017_000001	What made you tell that awful fib to your wife?--for doubtless she is your wife.'	What made you tell that awful fib to your wife?--for doubtless she is your wife.'	true	446.03	451	20.752779
3046_137739_000018_000000	The Butterfly looked at Suleiman-bin-Daoud and saw the most wise King's eye twinkle like stars on a frosty night, and he picked up his courage with both wings, and he put his head on one side and said, 'O King, live for ever.	The Butterfly looked at Suleiman bin Daoud and saw the most wise King's eye twinkle like stars on a frosty night, and he picked up his courage with both wings, and he put his head on one side and said, 'O King, live for ever.	false	451.61	466.56	22.693565
3046_137739_000018_000001	She is my wife; and you know what wives are like.	She is my wife; and you know what wives are like.	true	466.56	469.84	22.55683
3046_137739_000019_000000	Suleiman-bin-Daoud smiled in his beard and said, 'Yes, I know, little brother.	Suleiman bin Daoud smiled in his beard and said, 'Yes, I know, little brother.	true	470.3	476.14	20.8172
3046_137739_000020_000000	'One must keep them in order somehow, said the Butterfly, and she has been quarrelling with me all the morning.	'One must keep them in order somehow, said the Butterfly, and she has been quarrelling with me all the morning.	true	476.57	482.91	19.560194
3046_137739_000020_000001	I said that to quiet her.'	I said that to quiet her.'	true	482.91	484.69	21.221752
3046_137739_000021_000000	And Suleiman-bin-Daoud said, 'May it quiet her.	And Suleiman bin Daoud said, 'May it quiet her.	true	484.97	488.115	19.903534
3046_137739_000021_000001	Go back to your wife, little brother, and let me hear what you say.'	Go back to your wife, little brother, and let me hear what you say.'	true	488.115	491.86	21
3046_137739_000022_000000	Back flew the Butterfly to his wife, who was all of a twitter behind a leaf, and she said, 'He heard you!	Back flew the Butterfly to his wife, who was all of a twitter behind a leaf, and she said, 'He heard you!	true	492.62	499.32	22.685574
3046_137739_000022_000001	Suleiman-bin-Daoud himself heard you!'	Suleiman bin Daoud himself heard you!'	true	499.32	501.85	17.902927
3046_137739_000023_000000	'Heard me!' said the Butterfly.	'Heard me!' said the Butterfly.	true	501.92	503.55	18.630913
3046_137739_000023_000001	'Of course he did.	'Of course he did.	true	503.55	504.435	17.636889
3046_137739_000023_000002	I meant him to hear me.'	I meant him to hear me.'	true	504.435	506.32	17.724558
3046_137739_000024_000000	'And what did he say?	'And what did he say?	true	506.36	507.63	19
3046_137739_000024_000001	Oh, what did he say?'	Oh, what did he say?'	false	507.63	509.56	17.4887
3046_137739_000025_000000	'Well,' said the Butterfly, fanning himself most importantly, 'between you and me, my dear--of course I don't blame him, because his Palace must have cost a great deal and the oranges are just ripening,--he asked me not to stamp, and I promised I wouldn't.'	'Well,' said the Butterfly, fanning himself most importantly, 'between you and me, my dear-of course I don't blame him, because his Palace must have cost a great deal and the oranges are just ripening,--he asked me not to stamp, and I promised I wouldn't.'	false	509.78	524.505	21.922735
3046_137739_000026_000000	'Gracious!' said his wife, and sat quite quiet; but Suleiman-bin-Daoud laughed till the tears ran down his face at the impudence of the bad little Butterfly.	'Gracious!' said his wife, and sat quite quiet; but Suleiman bin Daoud laughed till the tears ran down his face at the impudence of the bad little Butterfly.	true	524.505	534.93	21.028708
3046_137739_000027_000000	Balkis the Most Beautiful stood up behind the tree among the red lilies and smiled to herself, for she had heard all this talk.	Balkis the Most Beautiful stood up behind the tree among the red lilies and smiled to herself, for she had heard all this talk.	false	534.93	542.97	21.51412
3046_137739_000027_000001	She thought, 'If I am wise I can yet save my Lord from the persecutions of these quarrelsome Queens,' and she held out her finger and whispered softly to the Butterfly's Wife, 'Little woman, come here.' Up flew the Butterfly's Wife, very frightened, and clung to Balkis's white hand.	She thought, 'If I am wise I can yet save my Lord from the persecutions of these quarrelsome Queens,' and she held out her finger and whispered softly to the Butterfly's Wife, 'Little woman, come here.' Up flew the Butterfly's Wife, very frightened, and clung to Balkis's white hand.	true	542.97	562.36	21.592247
3046_137739_000028_000000	Balkis bent her beautiful head down and whispered, 'Little woman, do you believe what your husband has just said?'	Balkis bent her beautiful head down and whispered, 'Little woman, do you believe what your husband has just said?'	true	562.73	569.62	19.631704
3046_137739_000029_000000	The Butterfly's Wife looked at Balkis, and saw the most beautiful Queen's eyes shining like deep pools with starlight on them, and she picked up her courage with both wings and said, 'O Queen, be lovely for ever.	The Butterfly's Wife looked at Balkis, and saw the most beautiful Queen's eyes shining like deep pools with starlight on them, and she picked up her courage with both wings and said, 'O Queen, be lovely for ever.	true	570.02	582.67	22.436678
3046_137739_000029_000001	You know what men-folk are like.'	You know what men folk are like.'	true	582.77	585.31	19.346188
3046_137739_000030_000000	And the Queen Balkis, the Wise Balkis of Sheba, put her hand to her lips to hide a smile and said, 'Little sister, I know.'	And the Queen Balkis, the Wise Balkis of Sheba, put her hand to her lips to hide a smile and said, 'Little sister, I know.'	false	585.74	594.58	21.434887
3046_137739_000031_000000	'They get angry,' said the Butterfly's Wife, fanning herself quickly, 'over nothing at all, but we must humour them, O Queen.	'They get angry,' said the Butterfly's Wife, fanning herself quickly, 'over nothing at all, but we must humour them, O Queen.	true	595.19	602.5	19.790312
3046_137739_000031_000001	They never mean half they say.	They never mean half they say.	true	602.6	604.78	20.276476
3046_137739_000031_000002	If it pleases my husband to believe that I believe he can make Suleiman-bin-Daoud's Palace disappear by stamping his foot, I'm sure I don't care.	If it pleases my husband to believe that I believe he can make Suleiman bin Daoud's Palace disappear by stamping his foot, I'm sure I don't care.	true	605	614.17	20
3046_137739_000031_000003	He'll forget all about it to-morrow.'	He'll forget all about it to morrow.'	true	614.39	616.66	21.033056
3046_137739_000032_000000	'Little sister,' said Balkis, 'you are quite right; but next time he begins to boast, take him at his word.	'Little sister,' said Balkis, 'you are quite right; but next time he begins to boast, take him at his word.	false	617.39	624.67	21.70696
3046_137739_000032_000001	Ask him to stamp, and see what will happen.	Ask him to stamp, and see what will happen.	true	624.74	628	23.036133
3046_137739_000032_000002	We know what men-folk are like, don't we?	We know what men folk are like, don't we?	true	628.25	631.21	20
3046_137739_000032_000003	He'll be very much ashamed.'	He'll be very much ashamed.'	true	631.4	633.58	17.051228
3046_137739_000033_000000	Away flew the Butterfly's Wife to her husband, and in five minutes they were quarrelling worse than ever.	Away flew the Butterfly's Wife to her husband, and in five minutes they were quarrelling worse than ever.	true	633.8	639.79	22
3046_137739_000034_000000	'Remember!' said the Butterfly.	'Remember!' said the Butterfly.	true	639.83	641.565	22.56451
3046_137739_000034_000001	'Remember what I can do if I stamp my foot.'	'Remember what I can do if I stamp my foot.'	true	641.565	644.8	21.981953
3046_137739_000035_000000	'I don't believe you one little bit,' said the Butterfly's Wife.	'I don't believe you one little bit,' said the Butterfly's Wife.	true	644.81	649	21.843424
3046_137739_000035_000001	'I should very much like to see it done.	'I should very much like to see it done.	true	649.04	651.555	20
3046_137739_000035_000002	Suppose you stamp now.'	Suppose you stamp now.'	true	651.555	653.35	20.824163
3046_137739_000036_000000	'I promised Suleiman-bin-Daoud that I wouldn't,' said the Butterfly, 'and I don't want to break my promise.'	'I promised Suleiman bin Daoud that I wouldn't,' said the Butterfly, 'and I don't want to break my promise.'	true	653.81	660.34	21.89211
3046_137739_000037_000000	'It wouldn't matter if you did,' said his wife.	'It wouldn't matter if you did,' said his wife.	true	660.53	663.7	26.167995
3046_137739_000037_000001	'You couldn't bend a blade of grass with your stamping.	'You couldn't bend a blade of grass with your stamping.	true	663.74	667.42	26.115097
3046_137739_000037_000002	I dare you to do it,' she said. Stamp!	I dare you to do it,' she said. Stamp!	true	667.55	670.425	20.981745
3046_137739_000037_000003	Stamp!	Stamp!	true	670.425	671.175	31.957867
3046_137739_000037_000004	Stamp!'	Stamp!'	true	671.175	672.07	25.987902
3046_137739_000038_000000	Suleiman-bin-Daoud, sitting under the camphor-tree, heard every word of this, and he laughed as he had never laughed in his life before.	Suleiman bin Daoud, sitting under the camphor tree, heard every word of this, and he laughed as he had never laughed in his life before.	true	673.04	682	20.007692
3046_137739_000038_000001	He forgot all about his Queens; he forgot all about the Animal that came out of the sea; he forgot about showing off.	He forgot all about his Queens; he forgot all about the Animal that came out of the sea; he forgot about showing off.	false	682.16	689.115	18.885773
3046_137739_000038_000002	He just laughed with joy, and Balkis, on the other side of the tree, smiled because her own true love was so joyful.	He just laughed with joy, and Balkis, on the other side of the tree, smiled because her own true love was so joyful.	true	689.115	696.67	22
3046_137739_000039_000000	Presently the Butterfly, very hot and puffy, came whirling back under the shadow of the camphor-tree and said to Suleiman, 'She wants me to stamp!	Presently the Butterfly, very hot and puffy, came whirling back under the shadow of the camphor tree and said to Suleiman, 'She wants me to stamp!	true	697.19	706.95	22.162931
3046_137739_000039_000001	She wants to see what will happen, O Suleiman-bin-Daoud!	She wants to see what will happen, O Suleiman bin Daoud!	true	706.95	711.22	17
3046_137739_000039_000002	You know I can't do it, and now she'll never believe a word I say.	You know I can't do it, and now she'll never believe a word I say.	true	711.32	715.32	17
3046_137739_000039_000003	She'll laugh at me to the end of my days!'	She'll laugh at me to the end of my days!'	true	715.32	718.2	17
3046_137739_000040_000000	'No, little brother,' said Suleiman-bin-Daoud, 'she will never laugh at you again,' and he turned the ring on his finger--just for the little Butterfly's sake, not for the sake of showing off,--and, lo and behold, four huge Djinns came out of the earth!	'No, little brother,' said Suleiman bin Daoud, 'she will never laugh at you again,' and he turned the ring on his finger-just for the little Butterfly's sake, not for the sake of showing off,--and, lo and behold, four huge Djinns came out of the earth!	false	718.2	734.83	20.585794
3046_137739_000041_000000	'Slaves,' said Suleiman-bin-Daoud, 'when this gentleman on my finger' (that was where the impudent Butterfly was sitting) 'stamps his left front forefoot you will make my Palace and these gardens disappear in a clap of thunder.	'Slaves,' said Suleiman bin Daoud, 'when this gentleman on my finger' (that was where the impudent Butterfly was sitting) 'stamps his left front forefoot you will make my Palace and these gardens disappear in a clap of thunder.	true	734.93	749.29	22.85553
3046_137739_000041_000001	When he stamps again you will bring them back carefully.'	When he stamps again you will bring them back carefully.'	true	749.45	752.71	21.717144
3046_137739_000042_000000	'Now, little brother,' he said, 'go back to your wife and stamp all you've a mind to.'	'Now, little brother,' he said, 'go back to your wife and stamp all you've a mind to.'	true	754.04	759.52	21.312536
3046_137739_000043_000000	Away flew the Butterfly to his wife, who was crying, 'I dare you to do it!	Away flew the Butterfly to his wife, who was crying, 'I dare you to do it!	true	760.01	764.415	23.592783
3046_137739_000043_000001	I dare you to do it!	I dare you to do it!	true	764.415	765.99	20.706757
3046_137739_000043_000002	Stamp!	Stamp!	true	765.99	766.62	30.76141
3046_137739_000043_000003	Stamp now!	Stamp now!	true	766.62	767.55	23.031443
3046_137739_000043_000004	Stamp!' Balkis saw the four vast Djinns stoop down to the four corners of the gardens with the Palace in the middle, and she clapped her hands softly and said, 'At last Suleiman-bin-Daoud will do for the sake of a Butterfly what he ought to have done long ago for his own sake, and the quarrelsome Queens will be frightened!'	Stamp!' Balkis saw the four vast Djinns stoop down to the four corners of the gardens with the Palace in the middle, and she clapped her hands softly and said, 'At last Suleiman bin Daoud will do for the sake of a Butterfly what he ought to have done long ago for his own sake, and the quarrelsome Queens will be frightened!'	false	767.55	789.84	22.641705
3046_137739_000044_000000	The the butterfly stamped.	The the butterfly stamped.	false	789.84	792.88	17.792387
3046_137739_000044_000001	The Djinns jerked the Palace and the gardens a thousand miles into the air: there was a most awful thunder-clap, and everything grew inky-black.	The Djinns jerked the Palace and the gardens a thousand miles into the air: there was a most awful thunder clap, and everything grew inky black.	true	792.98	802.27	22
3046_137739_000044_000002	The Butterfly's Wife fluttered about in the dark, crying, 'Oh, I'll be good!	The Butterfly's Wife fluttered about in the dark, crying, 'Oh, I'll be good!	true	802.4	807.555	24.222572
3046_137739_000044_000003	I'm so sorry I spoke.	I'm so sorry I spoke.	true	807.555	809.385	21
3046_137739_000044_000004	Only bring the gardens back, my dear darling husband, and I'll never contradict again.'	Only bring the gardens back, my dear darling husband, and I'll never contradict again.'	true	809.385	814.45	15
3046_137739_000045_000000	The Butterfly was nearly as frightened as his wife, and Suleiman-bin-Daoud laughed so much that it was several minutes before he found breath enough to whisper to the Butterfly, 'Stamp again, little brother.	The Butterfly was nearly as frightened as his wife, and Suleiman bin Daoud laughed so much that it was several minutes before he found breath enough to whisper to the Butterfly, 'Stamp again, little brother.	true	814.79	826.15	20
3046_137739_000045_000001	Give me back my Palace, most great magician.'	Give me back my Palace, most great magician.'	true	826.28	829.33	20
3046_137739_000046_000000	'Yes, give him back his Palace,' said the Butterfly's Wife, still flying about in the dark like a moth.	'Yes, give him back his Palace,' said the Butterfly's Wife, still flying about in the dark like a moth.	true	829.73	835.485	24.145702
3046_137739_000046_000001	'Give him back his Palace, and don't let's have any more horrid.magic.'	'Give him back his Palace, and don't let's have any more horrid dot magic.'	false	835.485	840.16	23.196533
3046_137739_000047_000000	'Well, my dear,' said the Butterfly as bravely as he could, 'you see what your nagging has led to.	'Well, my dear,' said the Butterfly as bravely as he could, 'you see what your nagging has led to.	true	840.53	847.12	19.650295
3046_137739_000047_000001	Of course it doesn't make any difference to me--I'm used to this kind of thing--but as a favour to you and to Suleiman-bin-Daoud I don't mind putting things right.'	Of course it doesn't make any difference to me-I'm used to this kind of thing-but as a favour to you and to Suleiman bin Daoud I don't mind putting things right.'	true	847.22	857.83	21.37314
3046_137739_000048_000000	So he stamped once more, and that instant the Djinns let down the Palace and the gardens, without even a bump.	So he stamped once more, and that instant the Djinns let down the Palace and the gardens, without even a bump.	true	857.99	865.54	24.394089
3046_137739_000048_000001	The sun shone on the dark-green orange leaves; the fountains played among the pink Egyptian lilies; the birds went on singing, and the Butterfly's Wife lay on her side under the camphor-tree waggling her wings and panting, 'Oh, I'll be good!	The sun shone on the dark green orange leaves; the fountains played among the pink Egyptian lilies; the birds went on singing, and the Butterfly's Wife lay on her side under the camphor tree waggling her wings and panting, 'Oh, I'll be good!	true	865.64	882.375	21.24898
3046_137739_000048_000002	I'll be good!'	I'll be good!'	true	882.375	883.66	22.993637
3046_137739_000049_000000	Suleiman-bin-Daolld could hardly speak for laughing.	Suleiman bin Daolld could hardly speak for laughing.	false	883.76	887.14	19.742514
3046_137739_000049_000001	He leaned back all weak and hiccoughy, and shook his finger at the Butterfly and said, 'O great wizard, what is the sense of returning to me my Palace if at the same time you slay me with mirth!'	He leaned back all weak and hiccoughy, and shook his finger at the Butterfly and said, 'O great wizard, what is the sense of returning to me my Palace if at the same time you slay me with mirth!'	true	887.33	900.25	22.909885
3046_137739_000050_000000	Then came a terrible noise, for all the nine hundred and ninety-nine Queens ran out of the Palace shrieking and shouting and calling for their babies.	Then came a terrible noise, for all the nine hundred and ninety nine Queens ran out of the Palace shrieking and shouting and calling for their babies.	true	900.59	909.67	15
3046_137739_000050_000001	They hurried down the great marble steps below the fountain, one hundred abreast, and the Most Wise Balkis went statelily forward to meet them and said, 'What is your trouble, O Queens?'	They hurried down the great marble steps below the fountain, one hundred abreast, and the Most Wise Balkis went statelily forward to meet them and said, 'What is your trouble, O Queens?'	false	909.89	921.46	21.569738
3046_137739_000051_000000	They stood on the marble steps one hundred abreast and shouted, 'What is our trouble?	They stood on the marble steps one hundred abreast and shouted, 'What is our trouble?	true	921.8	926.38	22.998772
3046_137739_000051_000001	We were living peacefully in our golden palace, as is our custom, when upon a sudden the Palace disappeared, and we were left sitting in a thick and noisome darkness; and it thundered, and Djinns and Afrits moved about in the darkness!	We were living peacefully in our golden palace, as is our custom, when upon a sudden the Palace disappeared, and we were left sitting in a thick and noisome darkness; and it thundered, and Djinns and Afrits moved about in the darkness!	true	926.6	942.345	22.408812
3046_137739_000051_000002	That is our trouble, O Head Queen, and we are most extremely troubled on account of that trouble, for it was a troublesome trouble, unlike any trouble we have known.'	That is our trouble, O Head Queen, and we are most extremely troubled on account of that trouble, for it was a troublesome trouble, unlike any trouble we have known.'	true	942.345	953.56	21.85602
