836_131106_000000_000000	Macaulay, in his "Lays of Ancient Rome," thus alludes to the legend:	Macaulay, in his "Lays of Ancient Rome," thus alludes to the legend:	false	0	2.73	10.659387
836_131106_000006_000011	The words escaped, and he could neither unsay his promise nor her request.	The words escaped, and he could neither unsay his promise nor her request.	true	102.89	108.01	21
836_131106_000006_000012	In deep distress he left her and returned to the upper regions.	In deep distress he left her and returned to the upper regions.	true	108.74	112.75	16
836_131106_000006_000013	There he clothed himself in his splendors, not putting on all his terrors, as when he overthrew the giants, but what is known among the gods as his lesser panoply.	There he clothed himself in his splendors, not putting on all his terrors, as when he overthrew the giants, but what is known among the gods as his lesser panoply.	true	113.09	124.33	18
836_131106_000006_000014	Arrayed in this, he entered the chamber of Semele. Her mortal frame could not endure the splendors of the immortal radiance.	Arrayed in this, he entered the chamber of Semele. Her mortal frame could not endure the splendors of the immortal radiance.	true	125.03	132.85	20
836_131106_000006_000015	She was consumed to ashes.	She was consumed to ashes.	true	132.86	137.44	20.873064
836_131106_000007_000000	Jove took the infant Bacchus and gave him in charge to the Nysaean nymphs, who nourished his infancy and childhood, and for their care were rewarded by Jupiter by being placed, as the Hyades, among the stars.	Jove took the infant Bacchus and gave him in charge to the n y s a e a n nymphs, who nourished his infancy and childhood, and for their care were rewarded by Jupiter by being placed, as the Hyades, among the stars.	false	137.84	152.08	16
836_131106_000007_000001	When Bacchus grew up he discovered the culture of the vine and the mode of extracting its precious juice; but Juno struck him with madness, and drove him forth a wanderer through various parts of the earth.	When Bacchus grew up he discovered the culture of the vine and the mode of extracting its precious juice; but Juno struck him with madness, and drove him forth a wanderer through various parts of the earth.	true	152.75	165.94	20
836_131106_000007_000002	In Phrygia the goddess Rhea cured him and taught him her religious rites, and he set out on a progress through Asia, teaching the people the cultivation of the vine.	In Phrygia the goddess Rhea cured him and taught him her religious rites, and he set out on a progress through Asia, teaching the people the cultivation of the vine.	true	166.73	177.4	16
836_131106_000007_000003	The most famous part of his wanderings is his expedition to India, which is said to have lasted several years.	The most famous part of his wanderings is his expedition to India, which is said to have lasted several years.	true	177.92	184.99	17
836_131106_000007_000004	Returning in triumph, he undertook to introduce his worship into Greece, but was opposed by some princes, who dreaded its introduction on account of the disorders and madness it brought with it.	Returning in triumph, he undertook to introduce his worship into Greece, but was opposed by some princes, who dreaded its introduction on account of the disorders and madness it brought with it.	true	185.63	197.35	20
836_131106_000008_000000	As he approached his native city Thebes, Pentheus the king, who had no respect for the new worship, forbade its rites to be performed.	As he approached his native city Thebes, Pentheus the king, who had no respect for the new worship, forbade its rites to be performed.	true	199.31	208	19
836_131106_000008_000001	But when it was known that Bacchus was advancing, men and women, but chiefly the latter, young and old, poured forth to meet him and to join his triumphal march.	But when it was known that Bacchus was advancing, men and women, but chiefly the latter, young and old, poured forth to meet him and to join his triumphal march.	true	208.16	220	20.936043
836_131106_000009_000000	Mr. Longfellow in his "Drinking Song" thus describes the march of Bacchus:	mr Longfellow in his "Drinking Song" thus describes the march of Bacchus:	true	221.06	226.3	20
836_131106_000010_000000	"Fauns with youthful Bacchus follow; Ivy crowns that brow, supernal As the forehead of Apollo, And possessing youth eternal.	"Fauns with youthful Bacchus follow; Ivy crowns that brow, supernal As the forehead of Apollo, And possessing youth eternal.	true	227.39	235.99	19
836_131106_000011_000000	"Round about him fair Bacchantes, Bearing cymbals, flutes and thyrses, Wild from Naxian groves of Zante's Vineyards, sing delirious verses,"	"Round about him fair Bacchantes, Bearing cymbals, flutes and thyrses, Wild from Naxian groves of Zante's Vineyards, sing delirious verses,"	false	236.21	246.85	19
836_131106_000012_000000	It was in vain Pentheus remonstrated, commanded, and threatened. "Go," said he to his attendants, "seize this vagabond leader of the rout and bring him to me.	It was in vain Pentheus remonstrated, commanded, and threatened. "Go," said he to his attendants, "seize this vagabond leader of the rout and bring him to me.	true	248.33	258.67	18.987888
836_131106_000012_000001	I will soon make him confess his false claim of heavenly parentage and renounce his counterfeit worship." It was in vain his nearest friends and wisest counsellors remonstrated and begged him not to oppose the god. Their remonstrances only made him more violent.	I will soon make him confess his false claim of heavenly parentage and renounce his counterfeit worship." It was in vain his nearest friends and wisest counsellors remonstrated and begged him not to oppose the god. Their remonstrances only made him more violent.	true	259.1	276.37	19
836_131106_000013_000000	But now the attendants returned whom he had despatched to seize Bacchus.	But now the attendants returned whom he had despatched to seize Bacchus.	true	278.15	282.58	16
836_131106_000013_000001	They had been driven away by the Bacchanals, but had succeeded in taking one of them prisoner, whom, with his hands tied behind him, they brought before the king.	They had been driven away by the Bacchanals, but had succeeded in taking one of them prisoner, whom, with his hands tied behind him, they brought before the king.	true	283.01	292.54	18
836_131106_000013_000002	Pentheus, beholding him with wrathful countenance, said, "Fellow! you shall speedily be put to death, that your fate may be a warning to others; but though I grudge the delay of your punishment, speak, tell us who you are, and what are these new rites you presume to celebrate."	Pentheus, beholding him with wrathful countenance, said, "Fellow! you shall speedily be put to death, that your fate may be a warning to others; but though I grudge the delay of your punishment, speak, tell us who you are, and what are these new rites you presume to celebrate."	true	292.97	309.37	22.645546
836_131106_000014_000000	The prisoner, unterrified, responded, "My name is Acetes; my country is Maeonia; my parents were poor people, who had no fields or flocks to leave me, but they left me their fishing rods and nets and their fisherman's trade.	The prisoner, unterrified, responded, "My name is Acetes; my country is Maeonia; my parents were poor people, who had no fields or flocks to leave me, but they left me their fishing rods and nets and their fisherman's trade.	false	310.58	326.14	22.376467
836_131106_000014_000001	This I followed for some time, till growing weary of remaining in one place, I learned the pilot's art and how to guide my course by the stars.	This I followed for some time, till growing weary of remaining in one place, I learned the pilot's art and how to guide my course by the stars.	true	326.81	334.75	16
836_131106_000014_000002	It happened as I was sailing for Delos we touched at the island of Dia and went ashore.	It happened as I was sailing for Delos we touched at the island of Dia and went ashore.	true	335.33	340.87	18
836_131106_000014_000003	Next morning I sent the men for fresh water, and myself mounted the hill to observe the wind; when my men returned bringing with them a prize, as they thought, a boy of delicate appearance, whom they had found asleep.	Next morning I sent the men for fresh water, and myself mounted the hill to observe the wind; when my men returned bringing with them a prize, as they thought, a boy of delicate appearance, whom they had found asleep.	true	341.78	354.73	21
836_131106_000014_000004	They judged he was a noble youth, perhaps a king's son, and they might get a liberal ransom for him.	They judged he was a noble youth, perhaps a king's son, and they might get a liberal ransom for him.	true	355.01	360.85	18
836_131106_000014_000005	I observed his dress, his walk, his face.	I observed his dress, his walk, his face.	true	361.19	363.85	17
836_131106_000014_000006	There was something in them which I felt sure was more than mortal.	There was something in them which I felt sure was more than mortal.	true	364.37	368.2	14
836_131106_000014_000007	I said to my men, 'What god there is concealed in that form I know not, but some one there certainly is.	I said to my men, 'What god there is concealed in that form I know not, but some one there certainly is.	true	369.08	376.12	21
836_131106_000014_000008	Pardon us, gentle deity, for the violence we have done you, and give success to our undertakings.' Dictys, one of my best hands for climbing the mast and coming down by the ropes, and Melanthus, my steersman, and Epopeus, the leader of the sailor's cry, one and all exclaimed, 'Spare your prayers for us.' So blind is the lust of gain!	Pardon us, gentle deity, for the violence we have done you, and give success to our undertakings.' Dictys, one of my best hands for climbing the mast and coming down by the ropes, and Melanthus, my steersman, and Epopeus, the leader of the sailor's cry, one and all exclaimed, 'Spare your prayers for us.' So blind is the lust of gain!	false	376.46	400.66	22.734102
836_131106_000014_000009	When they proceeded to put him on board I resisted them.	When they proceeded to put him on board I resisted them.	true	400.91	403.75	19
836_131106_000014_000010	'This ship shall not be profaned by such impiety,' said I. 'I have a greater share in her than any of you.' But Lycabas, a turbulent fellow, seized me by the throat and attempted to throw me overboard, and I scarcely saved myself by clinging to the ropes.	'This ship shall not be profaned by such impiety,' said i 'I have a greater share in her than any of you.' But Lycabas, a turbulent fellow, seized me by the throat and attempted to throw me overboard, and I scarcely saved myself by clinging to the ropes.	false	404.09	420.58	21.312683
836_131106_000014_000011	The rest approved the deed.	The rest approved the deed.	true	420.68	422.47	19.937962
836_131106_000015_000000	"Then Bacchus (for it was indeed he), as if shaking off his drowsiness, exclaimed, 'What are you doing with me?	"Then Bacchus (for it was indeed he), as if shaking off his drowsiness, exclaimed, 'What are you doing with me?	true	423.98	430.9	20.472397
836_131106_000015_000001	What is this fighting about?	What is this fighting about?	true	430.94	432.435	20.739
836_131106_000015_000002	Who brought me here?	Who brought me here?	true	432.435	433.57	23.590147
836_131106_000015_000003	Where are you going to carry me?' One of them replied, 'Fear nothing; tell us where you wish to go and we will take you there.' 'Naxos is my home,' said Bacchus; 'take me there and you shall be well rewarded.' They promised so to do, and told me to pilot the ship to Naxos.	Where are you going to carry me?' One of them replied, 'Fear nothing; tell us where you wish to go and we will take you there.' 'Naxos is my home,' said Bacchus; 'take me there and you shall be well rewarded.' They promised so to do, and told me to pilot the ship to Naxos.	true	433.82	450.94	22.566767
836_131106_000015_000004	Naxos lay to the right, and I was trimming the sails to carry us there, when some by signs and others by whispers signified to me their will that I should sail in the opposite direction, and take the boy to Egypt to sell him for a slave.	Naxos lay to the right, and I was trimming the sails to carry us there, when some by signs and others by whispers signified to me their will that I should sail in the opposite direction, and take the boy to Egypt to sell him for a slave.	true	451.31	464.5	19
836_131106_000015_000005	I was confounded and said, 'Let some one else pilot the ship;' withdrawing myself from any further agency in their wickedness.	I was confounded and said, 'Let some one else pilot the ship;' withdrawing myself from any further agency in their wickedness.	true	464.96	472.33	21.957603
836_131106_000015_000006	They cursed me, and one of them, exclaiming, 'Don't flatter yourself that we depend on you for our safety;' took any place as pilot, and bore away from Naxos.	They cursed me, and one of them, exclaiming, 'Don't flatter yourself that we depend on you for our safety;' took any place as pilot, and bore away from Naxos.	true	472.58	482.5	21.591705
836_131106_000016_000000	"Then the god, pretending that he had just become aware of their treachery, looked out over the sea and said in a voice of weeping, 'Sailors, these are not the shores you promised to take me to; yonder island is not my home.	"Then the god, pretending that he had just become aware of their treachery, looked out over the sea and said in a voice of weeping, 'Sailors, these are not the shores you promised to take me to; yonder island is not my home.	true	484.13	497.8	22.029177
836_131106_000016_000001	What have I done that you should treat me so?	What have I done that you should treat me so?	true	498.29	500.62	18.397009
836_131106_000016_000002	It is small glory you will gain by cheating a poor boy.' I wept to hear him, but the crew laughed at both of us, and sped the vessel fast over the sea.	It is small glory you will gain by cheating a poor boy.' I wept to hear him, but the crew laughed at both of us, and sped the vessel fast over the sea.	false	501.11	510.94	21.47254
836_131106_000016_000003	All at once--strange as it may seem, it is true,--the vessel stopped, in the mid sea, as fast as if it was fixed on the ground.	All at once-strange as it may seem, it is true,--the vessel stopped, in the mid sea, as fast as if it was fixed on the ground.	true	511.46	519.31	20
836_131106_000016_000004	The men, astonished, pulled at their oars, and spread more sail, trying to make progress by the aid of both, but all in vain.	The men, astonished, pulled at their oars, and spread more sail, trying to make progress by the aid of both, but all in vain.	true	520.19	527.17	19
836_131106_000016_000005	Ivy twined round the oars and hindered their motion, and clung to the sails, with heavy clusters of berries.	Ivy twined round the oars and hindered their motion, and clung to the sails, with heavy clusters of berries.	false	527.66	533.71	16
836_131106_000016_000006	A vine, laden with grapes, ran up the mast, and along the sides of the vessel.	A vine, laden with grapes, ran up the mast, and along the sides of the vessel.	true	534.53	539.53	17
836_131106_000016_000007	The sound of flutes was heard and the odor of fragrant wine spread all around.	The sound of flutes was heard and the odor of fragrant wine spread all around.	true	539.78	544.33	15
836_131106_000016_000008	The god himself had a chaplet of vine leaves, and bore in his hand a spear wreathed with ivy.	The god himself had a chaplet of vine leaves, and bore in his hand a spear wreathed with ivy.	true	544.64	550.09	16
836_131106_000016_000009	Tigers crouched at his feet, and forms of lynxes and spotted panthers played around him.	Tigers crouched at his feet, and forms of lynxes and spotted panthers played around him.	true	551.21	556.51	18
836_131106_000016_000010	The men were seized with terror or madness; some leaped overboard; others preparing to do the same beheld their companions in the water undergoing a change, their bodies becoming flattened and ending in a crooked tail.	The men were seized with terror or madness; some leaped overboard; others preparing to do the same beheld their companions in the water undergoing a change, their bodies becoming flattened and ending in a crooked tail.	true	556.82	570.43	18
836_131106_000016_000011	One exclaimed, 'What miracle is this!' and as he spoke his mouth widened, his nostrils expanded, and scales covered all his body. Another, endeavoring to pull the oar, felt his hands shrink up and presently to be no longer hands but fins; another, trying to raise his arms to a rope, found he had no arms, and curving his mutilated body, jumped into the sea.	One exclaimed, 'What miracle is this!' and as he spoke his mouth widened, his nostrils expanded, and scales covered all his body. Another, endeavoring to pull the oar, felt his hands shrink up and presently to be no longer hands but fins; another, trying to raise his arms to a rope, found he had no arms, and curving his mutilated body, jumped into the sea.	false	570.86	595.75	20
836_131106_000016_000012	What had been his legs became the two ends of a crescent-shaped tail.	What had been his legs became the two ends of a crescent shaped tail.	true	596.66	601.51	18
836_131106_000016_000013	The whole crew became dolphins and swam about the ship, now upon the surface, now under it, scattering the spray, and spouting the water from their broad nostrils.	The whole crew became dolphins and swam about the ship, now upon the surface, now under it, scattering the spray, and spouting the water from their broad nostrils.	true	601.82	611.02	17
836_131106_000016_000014	Of twenty men I alone was left.	Of twenty men I alone was left.	true	611.54	614.23	19.562511
836_131106_000016_000015	Trembling with fear, the god cheered me.	Trembling with fear, the god cheered me.	true	614.45	617.53	20.283363
836_131106_000016_000016	'Fear not,' said he; 'steer towards Naxos.' I obeyed, and when we arrived there, I kindled the altars and celebrated the sacred rites of Bacchus."	'Fear not,' said he; 'steer towards Naxos.' I obeyed, and when we arrived there, I kindled the altars and celebrated the sacred rites of Bacchus."	true	617.78	628.54	22.821747
836_131106_000017_000000	Pentheus here exclaimed, "We have wasted time enough on this silly story.	Pentheus here exclaimed, "We have wasted time enough on this silly story.	true	630.08	634.69	23
836_131106_000017_000001	Take him away and have him executed without delay." Acetes was led away by the attendants and shut up fast in prison; but while they were getting ready the instruments of execution the prison doors came open of their own accord and the chains fell from his limbs, and when they looked for him he was nowhere to be found.	Take him away and have him executed without delay." Acetes was led away by the attendants and shut up fast in prison; but while they were getting ready the instruments of execution the prison doors came open of their own accord and the chains fell from his limbs, and when they looked for him he was nowhere to be found.	false	634.82	653.83	19
836_131106_000018_000000	Pentheus would take no warning, but instead of sending others, determined to go himself to the scene of the solemnities.	Pentheus would take no warning, but instead of sending others, determined to go himself to the scene of the solemnities.	true	655.43	661.93	16
836_131106_000018_000001	The mountain Citheron was all alive with worshippers, and the cries of the Bacchanals resounded on every side.	The mountain Citheron was all alive with worshippers, and the cries of the Bacchanals resounded on every side.	false	662.54	670.09	18
836_131106_000018_000002	The noise roused the anger of Pentheus as the sound of a trumpet does the fire of a war- horse.	The noise roused the anger of Pentheus as the sound of a trumpet does the fire of a war horse.	true	670.52	675.82	16
836_131106_000018_000003	He penetrated through the wood and reached an open space where the chief scene of the orgies met his eyes.	He penetrated through the wood and reached an open space where the chief scene of the orgies met his eyes.	true	678.65	684.37	16
836_131106_000018_000004	At the same moment the women saw him; and first among them his own mother, Agave, blinded by the god, cried out, "See there the wild boar, the hugest monster that prowls in these woods!	At the same moment the women saw him; and first among them his own mother, Agave, blinded by the god, cried out, "See there the wild boar, the hugest monster that prowls in these woods!	true	684.86	696.6	19.505852
836_131106_000018_000005	Come on, sisters!	Come on, sisters!	true	696.6	697.72	17
836_131106_000018_000006	I will be the first to strike the wild boar." The whole band rushed upon him, and while he now talks less arrogantly, now excuses himself, and now confesses his crime and implores pardon, they press upon him and wound him.	I will be the first to strike the wild boar." The whole band rushed upon him, and while he now talks less arrogantly, now excuses himself, and now confesses his crime and implores pardon, they press upon him and wound him.	true	697.73	711.64	19
836_131106_000018_000007	In vain he cries to his aunts to protect him from his mother.	In vain he cries to his aunts to protect him from his mother.	true	711.98	715.69	21
836_131106_000018_000008	Autonoe seized one arm, Ino the other, and between them he was torn to pieces, while his mother shouted, "Victory!	Autonoe seized one arm, Ino the other, and between them he was torn to pieces, while his mother shouted, "Victory!	true	716.45	725.205	21.833143
836_131106_000018_000009	Victory! we have done it; the glory is ours!"	Victory! we have done it; the glory is ours!"	true	725.205	727.93	20
836_131106_000019_000000	So the worship of Bacchus was established in Greece.	So the worship of Bacchus was established in Greece.	true	728.87	731.92	18
836_131106_000020_000000	There is an allusion to the story of Bacchus and the mariners in Milton's "Comus," at line 46, The story of Circe will be found in	There is an allusion to the story of Bacchus and the mariners in Milton's "Comus," at line forty six, The story of Circe will be found in	true	733.67	742.08	17
836_131106_000021_000000	CHAPTER XXIX.	CHAPTER twenty nine.	true	742.08	743.47	22.813322
836_131106_000022_000000	"Bacchus that first from out the purple grapes Crushed the sweet poison of misused wine, After the Tuscan manners transformed, Coasting the Tyrrhene shore as the winds listed On Circe's island fell (who knows not Circe, The daughter of the Sun? whose charmed cup Whoever tasted lost his upright shape, And downward fell into a grovelling swine)."	"Bacchus that first from out the purple grapes Crushed the sweet poison of misused wine, After the Tuscan manners transformed, Coasting the Tyrrhene shore as the winds listed On Circe's island fell (who knows not Circe, The daughter of the Sun? whose charmed cup Whoever tasted lost his upright shape, And downward fell into a grovelling swine)."	true	744.92	769.27	19
836_131106_000023_000000	ARIADNE	ARIADNE	true	772.28	773.38	20.727365
836_131106_000024_000000	We have seen in the story of Theseus how Ariadne, the daughter of King Minos, after helping Theseus to escape from the labyrinth, was carried by him to the island of Naxos and was left there asleep, while the ungrateful Theseus pursued his way home without her.	We have seen in the story of Theseus how Ariadne, the daughter of King Minos, after helping Theseus to escape from the labyrinth, was carried by him to the island of Naxos and was left there asleep, while the ungrateful Theseus pursued his way home without her.	true	776.36	793.75	18
836_131106_000024_000001	Ariadne, on waking and finding herself deserted, abandoned herself to grief.	Ariadne, on waking and finding herself deserted, abandoned herself to grief.	true	794.3	799.33	18.345787
836_131106_000024_000002	But Venus took pity on her, and consoled her with the promise that she should have an immortal lover, instead of the mortal one she had lost.	But Venus took pity on her, and consoled her with the promise that she should have an immortal lover, instead of the mortal one she had lost.	false	799.55	807.94	16
836_131106_000025_000000	The island where Ariadne was left was the favorite island of Bacchus, the same that he wished the Tyrrhenian mariners to carry him to, when they so treacherously attempted to make prize of him. As Ariadne sat lamenting her fate, Bacchus found her, consoled her, and made her his wife.	The island where Ariadne was left was the favorite island of Bacchus, the same that he wished the Tyrrhenian mariners to carry him to, when they so treacherously attempted to make prize of him. As Ariadne sat lamenting her fate, Bacchus found her, consoled her, and made her his wife.	true	809.09	828.22	20
836_131106_000025_000001	As a marriage present he gave her a golden crown, enriched with gems, and when she died, he took her crown and threw it up into the sky.	As a marriage present he gave her a golden crown, enriched with gems, and when she died, he took her crown and threw it up into the sky.	true	828.65	836.92	17
836_131106_000025_000002	As it mounted the gems grew brighter and were turned into stars, and preserving its form Ariadne's crown remains fixed in the heavens as a constellation, between the kneeling Hercules and the man who holds the serpent.	As it mounted the gems grew brighter and were turned into stars, and preserving its form Ariadne's crown remains fixed in the heavens as a constellation, between the kneeling Hercules and the man who holds the serpent.	true	837.38	850.9	17
836_131106_000026_000000	Spenser alludes to Ariadne's crown, though he has made some mistakes in his mythology.	Spenser alludes to Ariadne's crown, though he has made some mistakes in his mythology.	true	851.66	857.71	19
836_131106_000026_000001	It was at the wedding of Pirithous, and not Theseus, that the Centaurs and Lapithae quarrelled.	It was at the wedding of Pirithous, and not Theseus, that the Centaurs and Lapithae quarrelled.	false	858.23	865.3	22
836_131106_000027_000000	"Look how the crown which Ariadne wore Upon her ivory forehead that same day That Theseus her unto his bridal bore, Then the bold Centaurs made that bloody fray With the fierce Lapiths which did them dismay; Being now placed in the firmament, Through the bright heaven doth her beams display, And is unto the stars an ornament, Which round about her move in order excellent."	"Look how the crown which Ariadne wore Upon her ivory forehead that same day That Theseus her unto his bridal bore, Then the bold Centaurs made that bloody fray With the fierce Lapiths which did them dismay; Being now placed in the firmament, Through the bright heaven doth her beams display, And is unto the stars an ornament, Which round about her move in order excellent."	false	866.45	895.26	20.70822
