7688_105390_000000_000000	"I am ready to go," she said, taking his arm.	"I am ready to go," she said, taking his arm.	false	0	1.68	20.486242
7688_105390_000011_000000	But, above all, Chauvelin had a purpose at heart.	But, above all, Chauvelin had a purpose at heart.	false	208.77	211.81	18.598986
7688_105390_000011_000001	He firmly believed that the French aristocrat was the most bitter enemy of France; he would have wished to see every one of them annihilated: he was one of those who, during this awful Reign of Terror, had been the first to utter the historic and ferocious desire "that aristocrats might have but one head between them, so that it might be cut off with a single stroke of the guillotine." And thus he looked upon every French aristocrat, who had succeeded in escaping from France, as so much prey of which the guillotine had been unwarrantably cheated.	He firmly believed that the French aristocrat was the most bitter enemy of France; he would have wished to see every one of them annihilated: he was one of those who, during this awful Reign of Terror, had been the first to utter the historic and ferocious desire "that aristocrats might have but one head between them, so that it might be cut off with a single stroke of the guillotine." And thus he looked upon every French aristocrat, who had succeeded in escaping from France, as so much prey of which the guillotine had been unwarrantably cheated.	false	212.18	245.41	19
7688_105390_000011_000002	There is no doubt that those royalist EMIGRES, once they had managed to cross the frontier, did their very best to stir up foreign indignation against France.	There is no doubt that those royalist EMIGRES, once they had managed to cross the frontier, did their very best to stir up foreign indignation against France.	true	245.96	254.95	13
7688_105390_000011_000003	Plots without end were hatched in England, in Belgium, in Holland, to try and induce some great power to send troops into revolutionary Paris, to free King Louis, and to summarily hang the bloodthirsty leaders of that monster republic.	Plots without end were hatched in England, in Belgium, in Holland, to try and induce some great power to send troops into revolutionary Paris, to free King Louis, and to summarily hang the bloodthirsty leaders of that monster republic.	false	255.5	269.23	12
7688_105390_000012_000000	Small wonder, therefore, that the romantic and mysterious personality of the Scarlet Pimpernel was a source of bitter hatred to Chauvelin.	Small wonder, therefore, that the romantic and mysterious personality of the Scarlet Pimpernel was a source of bitter hatred to Chauvelin.	false	269.54	278.19	20
7688_105390_000012_000001	He and the few young jackanapes under his command, well furnished with money, armed with boundless daring, and acute cunning, had succeeded in rescuing hundreds of aristocrats from France.	He and the few young jackanapes under his command, well furnished with money, armed with boundless daring, and acute cunning, had succeeded in rescuing hundreds of aristocrats from France.	false	278.19	290.2	17
7688_105390_000012_000002	Nine-tenths of the EMIGRES, who were FETED at the English court, owed their safety to that man and to his league.	Nine tenths of the EMIGRES, who were FETED at the English court, owed their safety to that man and to his league.	true	290.72	297.33	16
7688_105390_000013_000000	Chauvelin had sworn to his colleagues in Paris that he would discover the identity of that meddlesome Englishman, entice him over to France, and then . . .	Chauvelin had sworn to his colleagues in Paris that he would discover the identity of that meddlesome Englishman, entice him over to France, and then . . .	false	297.33	307	17.79593
7688_105390_000013_000001	Chauvelin drew a deep breath of satisfaction at the very thought of seeing that enigmatic head falling under the knife of the guillotine, as easily as that of any other man.	Chauvelin drew a deep breath of satisfaction at the very thought of seeing that enigmatic head falling under the knife of the guillotine, as easily as that of any other man.	false	307.04	316.72	15
7688_105390_000014_000000	Suddenly there was a great stir on the handsome staircase, all conversation stopped for a moment as the majordomo's voice outside announced,--	Suddenly there was a great stir on the handsome staircase, all conversation stopped for a moment as the majordomo's voice outside announced,--	false	317.6	327.43	20
7688_105390_000015_000000	"His Royal Highness the Prince of Wales and suite, Sir Percy Blakeney, Lady Blakeney."	"His Royal Highness the Prince of Wales and suite, Sir Percy Blakeney, Lady Blakeney."	true	328.07	334.96	20.564302
7688_105390_000016_000000	Lord Grenville went quickly to the door to receive his exalted guest.	Lord Grenville went quickly to the door to receive his exalted guest.	true	335.87	339.91	16
7688_105390_000017_000000	The Prince of Wales, dressed in a magnificent court suit of salmon-coloured velvet richly embroidered with gold, entered with Marguerite Blakeney on his arm; and on his left Sir Percy, in gorgeous shimmering cream satin, cut in the extravagant "Incroyable" style, his fair hair free from powder, priceless lace at his neck and wrists, and the flat CHAPEAU-BRAS under his arm.	The Prince of Wales, dressed in a magnificent court suit of salmon coloured velvet richly embroidered with gold, entered with Marguerite Blakeney on his arm; and on his left Sir Percy, in gorgeous shimmering cream satin, cut in the extravagant "Incroyable" style, his fair hair free from powder, priceless lace at his neck and wrists, and the flat CHAPEAU BRAS under his arm.	false	340.58	364.69	18
7688_105390_000018_000000	After the few conventional words of deferential greeting, Lord Grenville said to his royal guest,--	After the few conventional words of deferential greeting, Lord Grenville said to his royal guest,--	false	365	370.84	17
7688_105390_000019_000000	"Will your Highness permit me to introduce M. Chauvelin, the accredited agent of the French Government?"	"Will your Highness permit me to introduce m Chauvelin, the accredited agent of the French Government?"	false	371.12	377.91	18.600779
7688_105390_000020_000000	Chauvelin, immediately the Prince entered, had stepped forward, expecting this introduction.	Chauvelin, immediately the Prince entered, had stepped forward, expecting this introduction.	false	377.91	383.14	18
7688_105390_000020_000001	He bowed very low, whilst the Prince returned his salute with a curt nod of the head.	He bowed very low, whilst the Prince returned his salute with a curt nod of the head.	false	383.66	388.74	16
7688_105390_000021_000000	"Monsieur," said His Royal Highness coldly, "we will try to forget the government that sent you, and look upon you merely as our guest--a private gentleman from France.	"Monsieur," said His Royal Highness coldly, "we will try to forget the government that sent you, and look upon you merely as our guest-a private gentleman from France.	false	388.74	401.29	18.204634
7688_105390_000021_000001	As such you are welcome, Monsieur."	As such you are welcome, Monsieur."	false	401.6	405.51	22.874514
7688_105390_000022_000000	"Monseigneur," rejoined Chauvelin, bowing once again.	"Monseigneur," rejoined Chauvelin, bowing once again.	false	405.51	408.79	10
7688_105390_000022_000001	"Madame," he added, bowing ceremoniously before Marguerite.	"Madame," he added, bowing ceremoniously before Marguerite.	true	409.1	412.8	12
7688_105390_000023_000000	"Ah! my little Chauvelin!" she said with unconcerned gaiety, and extending her tiny hand to him.	"Ah! my little Chauvelin!" she said with unconcerned gaiety, and extending her tiny hand to him.	false	412.8	419.13	17.964737
7688_105390_000023_000001	"Monsieur and I are old friends, your Royal Highness."	"Monsieur and I are old friends, your Royal Highness."	false	419.13	422.44	16.059132
7688_105390_000024_000000	"Ah, then," said the Prince, this time very graciously, "you are doubly welcome, Monsieur."	"Ah, then," said the Prince, this time very graciously, "you are doubly welcome, Monsieur."	false	422.69	428.49	18.283865
7688_105390_000025_000000	"There is someone else I would crave permission to present to your Royal Highness," here interposed Lord Grenville.	"There is someone else I would crave permission to present to your Royal Highness," here interposed Lord Grenville.	false	428.49	434.2	15
7688_105390_000026_000000	"Ah! who is it?" asked the Prince.	"Ah! who is it?" asked the Prince.	true	434.48	436.66	20.10094
7688_105390_000027_000000	"Madame la Comtesse de Tournay de Basserive and her family, who have but recently come from France."	"Madame la Comtesse de Tournay de Basserive and her family, who have but recently come from France."	false	437.12	443.65	12
7688_105390_000028_000000	"By all means!--They are among the lucky ones then!"	"By all means!--They are among the lucky ones then!"	true	443.87	447.34	16
7688_105390_000029_000000	Lord Grenville turned in search of the Comtesse, who sat at the further end of the room.	Lord Grenville turned in search of the Comtesse, who sat at the further end of the room.	true	447.65	452.47	16
7688_105390_000030_000000	"Lud love me!" whispered his Royal Highness to Marguerite, as soon as he had caught sight of the rigid figure of the old lady; "Lud love me!	"Lud love me!" whispered his Royal Highness to Marguerite, as soon as he had caught sight of the rigid figure of the old lady; "Lud love me!	true	452.72	460.29	17
7688_105390_000030_000001	she looks very virtuous and very melancholy."	she looks very virtuous and very melancholy."	true	460.29	463.96	18.78534
7688_105390_000031_000000	"Faith, your Royal Highness," she rejoined with a smile, "virtue is like precious odours, most fragrant when it is crushed."	"Faith, your Royal Highness," she rejoined with a smile, "virtue is like precious odours, most fragrant when it is crushed."	false	464.36	471.61	18
7688_105390_000032_000000	"Virtue, alas!" sighed the Prince, "is mostly unbecoming to your charming sex, Madame."	"Virtue, alas!" sighed the Prince, "is mostly unbecoming to your charming sex, Madame."	true	471.83	477.31	17
7688_105390_000033_000000	"Madame la Comtesse de Tournay de Basserive," said Lord Grenville, introducing the lady.	"Madame la Comtesse de Tournay de Basserive," said Lord Grenville, introducing the lady.	false	477.65	483.46	17
7688_105390_000034_000000	"This is a pleasure, Madame; my royal father, as you know, is ever glad to welcome those of your compatriots whom France has driven from her shores."	"This is a pleasure, Madame; my royal father, as you know, is ever glad to welcome those of your compatriots whom France has driven from her shores."	true	484.19	493.06	18
7688_105390_000035_000000	"Your Royal Highness is ever gracious," replied the Comtesse with becoming dignity.	"Your Royal Highness is ever gracious," replied the Comtesse with becoming dignity.	true	494.12	498.67	12
7688_105390_000035_000001	Then, indicating her daughter, who stood timidly by her side: "My daughter Suzanne, Monseigneur," she said.	Then, indicating her daughter, who stood timidly by her side: "My daughter Suzanne, Monseigneur," she said.	true	498.89	505.59	18
7688_105390_000036_000000	"Ah! charming!--charming!" said the Prince, "and now allow me, Comtesse, to introduce you, Lady Blakeney, who honours us with her friendship.	"Ah! charming!--charming!" said the Prince, "and now allow me, Comtesse, to introduce you, Lady Blakeney, who honours us with her friendship.	false	505.59	515.38	18.954887
7688_105390_000036_000001	You and she will have much to say to one another, I vow.	You and she will have much to say to one another, I vow.	true	515.45	518.53	12
7688_105390_000036_000002	Every compatriot of Lady Blakeney's is doubly welcome for her sake . . . her friends are our friends . . . her enemies, the enemies of England."	Every compatriot of Lady Blakeney's is doubly welcome for her sake . . . her friends are our friends . . . her enemies, the enemies of England."	true	519.23	527.83	18
7688_105390_000037_000000	Marguerite's blue eyes had twinkled with merriment at this gracious speech from her exalted friend.	Marguerite's blue eyes had twinkled with merriment at this gracious speech from her exalted friend.	true	528.62	533.83	14
7688_105390_000037_000001	The Comtesse de Tournay, who lately had so flagrantly insulted her, was here receiving a public lesson, at which Marguerite could not help but rejoice.	The Comtesse de Tournay, who lately had so flagrantly insulted her, was here receiving a public lesson, at which Marguerite could not help but rejoice.	false	534.17	543.22	16
7688_105390_000037_000002	But the Comtesse, for whom respect of royalty amounted almost to a religion, was too well-schooled in courtly etiquette to show the slightest sign of embarrassment, as the two ladies curtsied ceremoniously to one another.	But the Comtesse, for whom respect of royalty amounted almost to a religion, was too well schooled in courtly etiquette to show the slightest sign of embarrassment, as the two ladies curtsied ceremoniously to one another.	true	543.59	556.42	14
7688_105390_000038_000000	"His Royal Highness is ever gracious, Madame," said Marguerite, demurely, and with a wealth of mischief in her twinkling blue eyes, "but there is no need for his kind of mediation. . . .	"His Royal Highness is ever gracious, Madame," said Marguerite, demurely, and with a wealth of mischief in her twinkling blue eyes, "but there is no need for his kind of mediation. . . .	false	556.64	566.56	13
7688_105390_000038_000001	Your amiable reception of me at our last meeting still dwells pleasantly in my memory."	Your amiable reception of me at our last meeting still dwells pleasantly in my memory."	true	566.75	572.14	14
7688_105390_000039_000000	"We poor exiles, Madame," rejoined the Comtesse, frigidly, "show our gratitude to England by devotion to the wishes of Monseigneur."	"We poor exiles, Madame," rejoined the Comtesse, frigidly, "show our gratitude to England by devotion to the wishes of Monseigneur."	true	572.78	582.01	17
7688_105390_000040_000000	"Madame!" said Marguerite, with another ceremonious curtsey.	"Madame!" said Marguerite, with another ceremonious curtsey.	true	582.59	586.3	12
7688_105390_000041_000000	"Madame," responded the Comtesse with equal dignity.	"Madame," responded the Comtesse with equal dignity.	true	586.97	590.74	15
7688_105390_000042_000000	The Prince in the meanwhile was saying a few gracious words to the young Vicomte.	The Prince in the meanwhile was saying a few gracious words to the young Vicomte.	true	591.8	596.17	14
7688_105390_000043_000000	"I am happy to know you, Monsieur le Vicomte," he said.	"I am happy to know you, Monsieur le Vicomte," he said.	false	596.54	599.62	17
7688_105390_000043_000001	"I knew your father well when he was ambassador in London."	"I knew your father well when he was ambassador in London."	true	599.69	602.88	14
7688_105390_000044_000000	"Ah, Monseigneur!" replied the Vicomte, "I was a leetle boy then . . . and now I owe the honour of this meeting to our protector, the Scarlet Pimpernel."	"Ah, Monseigneur!" replied the Vicomte, "I was a leetle boy then . . . and now I owe the honour of this meeting to our protector, the Scarlet Pimpernel."	false	602.88	612.66	17.688383
7688_105390_000045_000000	"Hush!" said the Prince, earnestly and quickly, as he indicated Chauvelin, who had stood a little on one side throughout the whole of this little scene, watching Marguerite and the Comtesse with an amused, sarcastic little smile around his thin lips.	"Hush!" said the Prince, earnestly and quickly, as he indicated Chauvelin, who had stood a little on one side throughout the whole of this little scene, watching Marguerite and the Comtesse with an amused, sarcastic little smile around his thin lips.	false	612.66	627.75	16
7688_105390_000046_000000	"Nay, Monseigneur," he said now, as if in direct response to the Prince's challenge, "pray do not check this gentleman's display of gratitude; the name of that interesting red flower is well known to me--and to France."	"Nay, Monseigneur," he said now, as if in direct response to the Prince's challenge, "pray do not check this gentleman's display of gratitude; the name of that interesting red flower is well known to me-and to France."	false	627.75	640.06	16
7688_105390_000047_000000	The Prince looked at him keenly for a moment or two.	The Prince looked at him keenly for a moment or two.	true	640.97	643.71	14
7688_105390_000048_000000	"Faith, then, Monsieur," he said, "perhaps you know more about our national hero than we do ourselves . . . perchance you know who he is. . . .	"Faith, then, Monsieur," he said, "perhaps you know more about our national hero than we do ourselves . . . perchance you know who he is. . . .	false	643.71	652.54	17.485971
7688_105390_000048_000001	See!" he added, turning to the groups round the room, "the ladies hang upon your lips . . . you would render yourself popular among the fair sex if you were to gratify their curiosity."	See!" he added, turning to the groups round the room, "the ladies hang upon your lips . . . you would render yourself popular among the fair sex if you were to gratify their curiosity."	false	652.76	663.51	15
7688_105390_000049_000000	"Ah, Monseigneur," said Chauvelin, significantly, "rumour has it in France that your Highness could--an you would--give the truest account of that enigmatical wayside flower."	"Ah, Monseigneur," said Chauvelin, significantly, "rumour has it in France that your Highness could-an you would-give the truest account of that enigmatical wayside flower."	false	663.51	674.8	17.334412
7688_105390_000050_000000	He looked quickly and keenly at Marguerite as he spoke; but she betrayed no emotion, and her eyes met his quite fearlessly.	He looked quickly and keenly at Marguerite as he spoke; but she betrayed no emotion, and her eyes met his quite fearlessly.	true	675.44	682.77	17
7688_105390_000051_000000	"Nay, man," replied the Prince, "my lips are sealed! and the members of the league jealously guard the secret of their chief . . . so his fair adorers have to be content with worshipping a shadow.	"Nay, man," replied the Prince, "my lips are sealed! and the members of the league jealously guard the secret of their chief . . . so his fair adorers have to be content with worshipping a shadow.	false	682.77	694	16.145744
7688_105390_000051_000001	Here in England, Monsieur," he added, with wonderful charm and dignity, "we but name the Scarlet Pimpernel, and every fair cheek is suffused with a blush of enthusiasm.	Here in England, Monsieur," he added, with wonderful charm and dignity, "we but name the Scarlet Pimpernel, and every fair cheek is suffused with a blush of enthusiasm.	false	694.34	704.62	15
7688_105390_000051_000002	None have seen him save his faithful lieutenants.	None have seen him save his faithful lieutenants.	true	704.96	708.13	16
7688_105390_000051_000003	We know not if he be tall or short, fair or dark, handsome or ill-formed; but we know that he is the bravest gentleman in all the world, and we all feel a little proud, Monsieur, when we remember that he is an Englishman.	We know not if he be tall or short, fair or dark, handsome or ill formed; but we know that he is the bravest gentleman in all the world, and we all feel a little proud, Monsieur, when we remember that he is an Englishman.	false	708.8	724.32	18.367014
7688_105390_000052_000000	"Ah, Monsieur Chauvelin," added Marguerite, looking almost with defiance across at the placid, sphinx-like face of the Frenchman, "His Royal Highness should add that we ladies think of him as of a hero of old . . . we worship him . . . we wear his badge . . . we tremble for him when he is in danger, and exult with him in the hour of his victory."	"Ah, Monsieur Chauvelin," added Marguerite, looking almost with defiance across at the placid, sphinx like face of the Frenchman, "His Royal Highness should add that we ladies think of him as of a hero of old . . . we worship him . . . we wear his badge . . . we tremble for him when he is in danger, and exult with him in the hour of his victory."	false	724.32	745.9	17
7688_105390_000053_000000	Chauvelin did no more than bow placidly both to the Prince and to Marguerite; he felt that both speeches were intended--each in their way--to convey contempt or defiance.	Chauvelin did no more than bow placidly both to the Prince and to Marguerite; he felt that both speeches were intended-each in their way-to convey contempt or defiance.	true	747.17	757.51	15
7688_105390_000053_000001	The pleasure-loving, idle Prince he despised: the beautiful woman, who in her golden hair wore a spray of small red flowers composed of rubies and diamonds--her he held in the hollow of his hand: he could afford to remain silent and to wait events.	The pleasure loving, idle Prince he despised: the beautiful woman, who in her golden hair wore a spray of small red flowers composed of rubies and diamonds-her he held in the hollow of his hand: he could afford to remain silent and to wait events.	false	757.91	773.92	17
7688_105390_000054_000000	A long, jovial, inane laugh broke the sudden silence which had fallen over everyone.	A long, jovial, inane laugh broke the sudden silence which had fallen over everyone.	true	774.74	779.98	14
7688_105390_000054_000001	"And we poor husbands," came in slow, affected accents from gorgeous Sir Percy, "we have to stand by . . . while they worship a demmed shadow."	"And we poor husbands," came in slow, affected accents from gorgeous Sir Percy, "we have to stand by . . . while they worship a demmed shadow."	false	780.17	789.79	18
7688_105390_000055_000000	Everyone laughed--the Prince more loudly than anyone.	Everyone laughed-the Prince more loudly than anyone.	true	790.58	793.72	16
7688_105390_000055_000001	The tension of subdued excitement was relieved, and the next moment everyone was laughing and chatting merrily as the gay crowd broke up and dispersed in the adjoining rooms.	The tension of subdued excitement was relieved, and the next moment everyone was laughing and chatting merrily as the gay crowd broke up and dispersed in the adjoining rooms.	false	793.76	814.8	17.235062
