5147_32135_000000_000000	PART V.	PART five	true	30.105	31.095	14
5147_32135_000024_000000	"That they should be capable of accurately adjusting their festivals by the movements of the heavenly bodies, and should fix the true length of the tropical year with a precision unknown to the great philosophers of antiquity, could be the result only of a long series of nice and patient observations, evincing no slight progress in civilization."	"That they should be capable of accurately adjusting their festivals by the movements of the heavenly bodies, and should fix the true length of the tropical year with a precision unknown to the great philosophers of antiquity, could be the result only of a long series of nice and patient observations, evincing no slight progress in civilization."	true	530.09	548.11	14
5147_32135_000025_000000	"Their women," says the same author, "are described by the Spaniards as pretty, though with a serious and rather melancholy cast of countenance. Their long, black hair might generally be seen wreathed with flowers, or, among the richer people, with strings of precious stones and pearls from the Gulf of California.	"Their women," says the same author, "are described by the Spaniards as pretty, though with a serious and rather melancholy cast of countenance. Their long, black hair might generally be seen wreathed with flowers, or, among the richer people, with strings of precious stones and pearls from the Gulf of California.	true	549.65	566.56	16
5147_32135_000025_000001	They appear to have been treated with much consideration by their husbands; and passed their time in indolent tranquillity, or in such feminine occupations as spinning, embroidery, and the like; while their maidens beguiled the hours by the rehearsal of traditionary tales and ballads.	They appear to have been treated with much consideration by their husbands; and passed their time in indolent tranquillity, or in such feminine occupations as spinning, embroidery, and the like; while their maidens beguiled the hours by the rehearsal of traditionary tales and ballads.	true	567.11	581.59	15
5147_32135_000026_000000	"Numerous attendants of both sexes waited at the banquets.	"Numerous attendants of both sexes waited at the banquets.	true	581.69	585.01	19
5147_32135_000026_000001	The balls were scented with perfumes, and the courts strewed with odoriferous herbs and flowers, which were distributed in profusion among the guests as they arrived.	The balls were scented with perfumes, and the courts strewed with odoriferous herbs and flowers, which were distributed in profusion among the guests as they arrived.	true	585.35	594.04	15
5147_32135_000026_000002	Cotton napkins and ewers of water were placed before them as they took their seats at the board.	Cotton napkins and ewers of water were placed before them as they took their seats at the board.	true	594.38	599.59	20.344496
5147_32135_000026_000003	Tobacco was then offered, in pipes, mixed with aromatic substances, or in the form of cigars inserted in tubes of tortoise-shell or silver.	Tobacco was then offered, in pipes, mixed with aromatic substances, or in the form of cigars inserted in tubes of tortoise shell or silver.	false	599.75	608.2	15
5147_32135_000026_000004	It is a curious fact that the Aztecs also took the dried tobacco leaf in the pulverized form of snuff.	It is a curious fact that the Aztecs also took the dried tobacco leaf in the pulverized form of snuff.	true	608.72	614.71	17
5147_32135_000027_000000	"The table was well supplied with substantial meats, especially game, among which the most conspicuous was the turkey.	"The table was well supplied with substantial meats, especially game, among which the most conspicuous was the turkey.	true	615.29	621.73	17
5147_32135_000027_000001	Also, there were found very delicious vegetables and fruits of every variety native to the continent.	Also, there were found very delicious vegetables and fruits of every variety native to the continent.	true	622.1	627.82	15
5147_32135_000027_000002	Their palate was still further regaled by confections and pastry, for which their maize-flower and sugar furnished them ample materials.	Their palate was still further regaled by confections and pastry, for which their maize flower and sugar furnished them ample materials.	false	628.1	635.29	12
5147_32135_000027_000003	The meats were kept warm with chafing-dishes.	The meats were kept warm with chafing dishes.	true	636.08	638.53	13
5147_32135_000027_000004	The table was ornamented with vases of silver and sometimes gold of delicate workmanship.	The table was ornamented with vases of silver and sometimes gold of delicate workmanship.	true	639.11	643.545	18
5147_32135_000027_000005	The favorite beverage was chocolatl, flavored with vanilla and different spices.	The favorite beverage was chocolatl, flavored with vanilla and different spices.	true	643.545	647.98	16
5147_32135_000027_000006	The fermented juice of the maguey, with a mixture of sweets and acids, supplied various agreeable drinks of different degrees of strength."	The fermented juice of the maguey, with a mixture of sweets and acids, supplied various agreeable drinks of different degrees of strength."	true	648.2	655.87	18
5147_32135_000028_000000	It is not necessary to describe their great public works, their floating gardens, their aqueducts, bridges, forts, temples,	It is not necessary to describe their great public works, their floating gardens, their aqueducts, bridges, forts, temples,	true	656.48	663.6	18
5147_32135_000029_000000	COMMON FORM OF ARCH, CENTRAL AMERICA.	COMMON FORM OF ARCH, CENTRAL AMERICA.	false	663.6	664.14	1
5147_32135_000030_000000	palaces, and gigantic pyramids, all ornamented with wonderful statuary.	palaces, and gigantic pyramids, all ornamented with wonderful statuary.	true	664.14	668.22	14
5147_32135_000031_000000	SECTION OF THE TREASURE-HOUSE OF ATREUS AT MYCENAE	SECTION OF THE TREASURE HOUSE OF ATREUS AT MYCENAE	false	668.22	669.06	12
5147_32135_000032_000000	We find a strong resemblance between the form of arch used in the architecture of Central America and that of the oldest buildings of Greece.	We find a strong resemblance between the form of arch used in the architecture of Central America and that of the oldest buildings of Greece.	true	669.06	676.24	14
5147_32135_000032_000001	The Palenque arch is made by the gradual overlapping of the strata of the building, as shown in the accompanying cut from Baldwin's "Ancient America," page 100.	The Palenque arch is made by the gradual overlapping of the strata of the building, as shown in the accompanying cut from Baldwin's "Ancient America," page one hundred.	true	676.91	685.57	15
5147_32135_000032_000002	It was the custom of these ancient architects to fill in the arch itself with masonry, as shown in the picture	It was the custom of these ancient architects to fill in the arch itself with masonry, as shown in the picture	true	686.24	691.41	14
5147_32135_000033_000000	ARCH OF LAS MONJAS, PALENQUE, CENTRAL AMERICA	ARCH OF l a s MONJAS, PALENQUE, CENTRAL AMERICA	false	691.41	692.145	7
5147_32135_000034_000000	on page 355 of the Arch of Las Monjas, Palenque.	on page three hundred fifty five of the Arch of Las Monjas, Palenque.	true	692.145	696.64	18
5147_32135_000034_000001	If now we look at the representation of the "Treasure-house of Atreus" at Mycenae, on page 354--one of the oldest structures in Greece--we find precisely the same form of arch, filled in in the same way.	If now we look at the representation of the "Treasure house of Atreus" at Mycenae, on page three hundred fifty four--one of the oldest structures in Greece-we find precisely the same form of arch, filled in in the same way.	false	696.92	709.9	17
5147_32135_000035_000000	Rosengarten ("Architectural Styles," p. 59) says:	Rosengarten ("Architectural Styles," p. fifty nine) says:	false	711.53	716.32	19.245388
5147_32135_000036_000000	"The base of these treasure-houses is circular, and the covering of a dome shape; it does not, however, form an arch, but courses of stone are laid horizontally over one another in such a way that each course projects beyond the one below it, till the space at the highest course becomes so narrow that a single stone covers it.	"The base of these treasure houses is circular, and the covering of a dome shape; it does not, however, form an arch, but courses of stone are laid horizontally over one another in such a way that each course projects beyond the one below it, till the space at the highest course becomes so narrow that a single stone covers it.	true	716.75	734.44	15
5147_32135_000036_000001	Of all those that have survived to the present day the treasure-house at Atreus is the most venerable."	Of all those that have survived to the present day the treasure house at Atreus is the most venerable."	false	734.78	739.87	15
5147_32135_000037_000000	The same form of arch is found among the ruins of that interesting people, the Etruscans.	The same form of arch is found among the ruins of that interesting people, the Etruscans.	true	741.2	745.54	14
5147_32135_000038_000000	"Etruscan vaults are of two kinds.	"Etruscan vaults are of two kinds.	true	746.69	748.9	17.044611
5147_32135_000038_000001	The more curious and probably the most ancient are false arches, formed of horizontal courses of stone, each a little overlapping the other, and carried on until the aperture at the top could be closed by a single superincumbent slab.	The more curious and probably the most ancient are false arches, formed of horizontal courses of stone, each a little overlapping the other, and carried on until the aperture at the top could be closed by a single superincumbent slab.	true	749.09	762.55	16
5147_32135_000038_000002	Such is the construction of the Regulini-Galassi vault, at Cervetere, the ancient Caere." (Rawlinson's "Origin of Nations," p. 117.)	Such is the construction of the Regulini Galassi vault, at Cervetere, the ancient Caere." (Rawlinson's "Origin of Nations," p. one hundred seventeen.)	false	762.95	775.23	19.582788
5147_32135_000039_000000	It is sufficient to say, in conclusion, that Mexico, under European rule, or under her own leaders, has never again risen to her former standard of refinement, wealth, prosperity, or civilization.	It is sufficient to say, in conclusion, that Mexico, under European rule, or under her own leaders, has never again risen to her former standard of refinement, wealth, prosperity, or civilization.	true	775.23	786.78	16
5147_32135_000040_000000	CHAPTER II.	CHAPTER two.	false	786.78	787.17	0
5147_32135_000041_000000	THE EGYPTIAN COLONY.	THE EGYPTIAN COLONY.	false	787.17	787.77	-3
5147_32135_000042_000000	What proofs have we that the Egyptians were a colony from Atlantis?	What proofs have we that the Egyptians were a colony from Atlantis?	false	787.77	790.23	18.356264
5147_32135_000043_000000	1.	one.	true	790.23	790.71	3
5147_32135_000043_000001	They claimed descent from "the twelve great gods," which must have meant the twelve gods of Atlantis, to wit, Poseidon and Cleito and their ten sons.	They claimed descent from "the twelve great gods," which must have meant the twelve gods of Atlantis, to wit, Poseidon and Cleito and their ten sons.	false	790.71	803.91	15.437767
