8119_115687_000000_000000	The message ended with a repetition of the warning to other airmen to avoid the valley.	The message ended with a repetition of the warning to other airmen to avoid the valley.	false	2.22	22.95	21.65815
8119_115687_000009_000001	On our return, we had a camp of our own, of course.	On our return, we had a camp of our own, of course.	true	126.17	130.45	24.08752
8119_115687_000009_000002	We were assigned to location 1017.	We were assigned to location ten seventeen.	true	131.09	133.9	23
8119_115687_000009_000003	And as might be expected, we had a great deal of banter over which one of us was Camp Boss.	And as might be expected, we had a great deal of banter over which one of us was Camp Boss.	true	134.21	140.71	24.26659
8119_115687_000009_000004	The title stood after my name on the Big Boss' records, and those of the Big Camboss, of course, but Wilma airily held that this meant nothing at all--and generally succeeded in making me admit it whenever she chose.	The title stood after my name on the Big Boss' records, and those of the Big Camboss, of course, but Wilma airily held that this meant nothing at all-and generally succeeded in making me admit it whenever she chose.	false	141.65	156.64	21.632177
8119_115687_000010_000000	I found myself a full-fledged member of the Gang now, for I had elected to search no farther for a permanent alliance, much as I would have liked to familiarize myself with this 25th Century life in other sections of the country.	I found myself a full fledged member of the Gang now, for I had elected to search no farther for a permanent alliance, much as I would have liked to familiarize myself with this twenty fifth Century life in other sections of the country.	true	157.49	172.12	21.08653
8119_115687_000010_000001	The Wyomings had a high morale, and had prospered under the rule of Big Boss Hart for many years.	The Wyomings had a high morale, and had prospered under the rule of Big Boss Hart for many years.	true	172.85	178.9	21.472603
8119_115687_000010_000002	But many of the gangs, I found, were badly organized, lacked strong hands in authority, and were rife with intrigue.	But many of the gangs, I found, were badly organized, lacked strong hands in authority, and were rife with intrigue.	true	179.45	188.14	20.17142
8119_115687_000010_000003	On the whole, I thought I would be wise to stay with a group which had already proved its friendliness, and in which I seemed to have prospects of advancement.	On the whole, I thought I would be wise to stay with a group which had already proved its friendliness, and in which I seemed to have prospects of advancement.	true	188.63	197.02	20.907595
8119_115687_000010_000004	Under these modern social and economic conditions, the kind of individual freedom to which I had been accustomed in the 20th Century was impossible.	Under these modern social and economic conditions, the kind of individual freedom to which I had been accustomed in the twentieth Century was impossible.	true	197.63	206.32	20
8119_115687_000010_000005	I would have been as much of a nonentity in every phase of human relationship by attempting to avoid alliances, as any man of the 20th Century would have been politically, who aligned himself with no political party.	I would have been as much of a nonentity in every phase of human relationship by attempting to avoid alliances, as any man of the twentieth Century would have been politically, who aligned himself with no political party.	true	206.66	220.3	18
8119_115687_000011_000000	This entire modern life, it appeared to me, judging from my ancient viewpoint, was organized along what I called "political" lines.	This entire modern life, it appeared to me, judging from my ancient viewpoint, was organized along what I called "political" lines.	true	221.27	230.71	24.678522
8119_115687_000011_000001	And in this connection, it amused me to notice how universal had become the use of the word "boss." The leader, the person in charge or authority over anything, was a "boss." There was as little formality in his relations with his followers as there was in the case of the 20th Century political boss, and the same high respect paid him by his followers as well as the same high consideration by him of their interests.	And in this connection, it amused me to notice how universal had become the use of the word "boss." The leader, the person in charge or authority over anything, was a "boss." There was as little formality in his relations with his followers as there was in the case of the twentieth Century political boss, and the same high respect paid him by his followers as well as the same high consideration by him of their interests.	true	231.02	260.14	21.437366
8119_115687_000011_000002	He was just as much of an autocrat, and just as much dependent upon the general popularity of his actions for the ability to maintain his autocracy.	He was just as much of an autocrat, and just as much dependent upon the general popularity of his actions for the ability to maintain his autocracy.	false	261.11	271	24
8119_115687_000012_000000	The sub-boss who could not command the loyalty of his followers was as quickly deposed, either by them or by his superiors, as the ancient ward leader of the 20th Century who lost control of his votes.	The sub boss who could not command the loyalty of his followers was as quickly deposed, either by them or by his superiors, as the ancient ward leader of the twentieth Century who lost control of his votes.	true	272.12	285.22	19.38421
8119_115687_000013_000000	As society was organized in the 20th Century, I do not believe the system could have worked in anything but politics.	As society was organized in the twentieth Century, I do not believe the system could have worked in anything but politics.	true	287.42	295.23	21.163982
8119_115687_000013_000001	I tremble to think what would have happened, had the attempt been made to handle the A. E. F. this way during the First World War, instead of by that rigid military discipline and complete assumption of the individual as a mere standardized cog in the machine.	I tremble to think what would have happened, had the attempt been made to handle the a e f this way during the First World War, instead of by that rigid military discipline and complete assumption of the individual as a mere standardized cog in the machine.	false	295.23	310.84	20
8119_115687_000014_000000	But owing to the centuries of desperate suffering the people had endured at the hands of the Hans, there developed a spirit of self-sacrifice and consideration for the common good that made the scheme applicable and efficient in all forms of human co-operation.	But owing to the centuries of desperate suffering the people had endured at the hands of the Hans, there developed a spirit of self sacrifice and consideration for the common good that made the scheme applicable and efficient in all forms of human co-operation.	true	312.62	328.66	21
8119_115687_000015_000000	I have a little heresy about all this, however.	I have a little heresy about all this, however.	false	329.6	332.8	20.585054
8119_115687_000015_000001	My associates regard the thought with as much horror as many worthy people of the 20th Century felt in regard to any heretical suggestion that the original outline of government as laid down in the First Constitution did not apply as well to 20th Century conditions as to those of the early 19th.	My associates regard the thought with as much horror as many worthy people of the twentieth Century felt in regard to any heretical suggestion that the original outline of government as laid down in the First Constitution did not apply as well to twentieth Century conditions as to those of the early nineteenth.	false	332.84	352.81	18
8119_115687_000016_000000	In later years, I felt that there was a certain softening of moral fiber among the people, since the Hans had been finally destroyed with all their works; and Americans have developed a new luxury economy.	In later years, I felt that there was a certain softening of moral fiber among the people, since the Hans had been finally destroyed with all their works; and Americans have developed a new luxury economy.	false	353.66	366.79	21.858501
8119_115687_000016_000001	I have seen signs of the reawakening of greed, of selfishness.	I have seen signs of the reawakening of greed, of selfishness.	false	367.34	372.94	21.011908
8119_115687_000016_000002	The eternal cycle seems to be at work.	The eternal cycle seems to be at work.	true	373.46	376.24	26.136349
8119_115687_000016_000003	I fear that slowly, though surely, private wealth is reappearing, codes of inflexibility are developing; they will be followed by corruption, degradation; and in the end some cataclysmic event will end this era and usher in a new one.	I fear that slowly, though surely, private wealth is reappearing, codes of inflexibility are developing; they will be followed by corruption, degradation; and in the end some cataclysmic event will end this era and usher in a new one.	false	376.58	396.46	21.661062
8119_115687_000017_000000	All this, however, is wandering afar from my story, which concerns our early battles against the Hans, and not our more modern problems of self-control.	All this, however, is wandering afar from my story, which concerns our early battles against the Hans, and not our more modern problems of self control.	true	397.73	408.88	20.56352
8119_115687_000018_000000	Our victory over the seven Han ships had set the country ablaze.	Our victory over the seven Han ships had set the country ablaze.	true	410.06	414.37	21.155802
8119_115687_000018_000001	The secret had been carefully communicated to the other gangs, and the country was agog from one end to the other.	The secret had been carefully communicated to the other gangs, and the country was agog from one end to the other.	true	414.56	421.66	17
8119_115687_000018_000002	There was feverish activity in the ammunition plants, and the hunting of stray Han ships became an enthusiastic sport.	There was feverish activity in the ammunition plants, and the hunting of stray Han ships became an enthusiastic sport.	true	422.09	430	20
8119_115687_000018_000003	The results were disastrous to our hereditary enemies.	The results were disastrous to our hereditary enemies.	true	430.19	433.84	18
8119_115687_000019_000000	From the Pacific Coast came the report of a great transpacific liner of 75,000 tons "lift" being brought to earth from a position of invisibility above the clouds.	From the Pacific Coast came the report of a great transpacific liner of seventy five thousand tons "lift" being brought to earth from a position of invisibility above the clouds.	true	435.02	446.65	20
8119_115687_000019_000001	A dozen Sacramentos had caught the hazy outlines of its rep rays approaching them, head-on, in the twilight, like ghostly pillars reaching into the sky.	A dozen Sacramentos had caught the hazy outlines of its rep rays approaching them, head on, in the twilight, like ghostly pillars reaching into the sky.	true	446.96	457.48	23.903769
8119_115687_000019_000002	They had fired rockets into it with ease, whereas they would have had difficulty in hitting it if it had been moving at right angles to their position.	They had fired rockets into it with ease, whereas they would have had difficulty in hitting it if it had been moving at right angles to their position.	false	457.76	466.33	22.845919
8119_115687_000019_000003	They got one rep ray. The other was not strong enough to hold it up.	They got one rep ray. The other was not strong enough to hold it up.	true	466.76	471.49	20.944183
8119_115687_000019_000004	It floated to earth, nose down, and since it was unarmed and unarmored, they had no difficulty in shooting it to pieces and massacring its crew and passengers.	It floated to earth, nose down, and since it was unarmed and unarmored, they had no difficulty in shooting it to pieces and massacring its crew and passengers.	true	471.92	484.42	22.98978
8119_115687_000019_000005	It seemed barbarous to me.	It seemed barbarous to me.	true	484.88	486.91	20.503067
8119_115687_000019_000006	But then I did not have centuries of bitter persecution in my blood.	But then I did not have centuries of bitter persecution in my blood.	true	487.58	492.52	19.956516
8119_115687_000020_000000	From the Jersey Beaches we received news of the destruction of a Nu-yok-A-lan-a liner.	From the Jersey Beaches we received news of the destruction of a Nu y o k A lan a liner.	false	493.94	499.09	15
8119_115687_000020_000001	The Sand-snipers, practically invisible in their sand-colored clothing, and half buried along the beaches, lay in wait for days, risking the play of dis beams along the route, and finally registering four hits within a week.	The Sand snipers, practically invisible in their sand colored clothing, and half buried along the beaches, lay in wait for days, risking the play of dis beams along the route, and finally registering four hits within a week.	true	499.43	515.08	22.991812
8119_115687_000020_000002	The Hans discontinued their service along this route, and as evidence that they were badly shaken by our success, sent no raiders down the Beaches.	The Hans discontinued their service along this route, and as evidence that they were badly shaken by our success, sent no raiders down the Beaches.	false	515.12	524.62	20.157013
8119_115687_000021_000000	It was a few weeks later that Big Boss Hart sent for me.	It was a few weeks later that Big Boss Hart sent for me.	false	525.44	528.46	21.718729
8119_115687_000022_000000	"Tony," he said, "There are two things I want to talk to you about.	"Tony," he said, "There are two things I want to talk to you about.	true	529.19	533.83	25.078873
8119_115687_000022_000001	One of them will become public property in a few days, I think.	One of them will become public property in a few days, I think.	true	534.62	538.15	23.821228
8119_115687_000022_000002	We aren't going to get any more Han ships by shooting up their repellor rays unless we use much larger rockets.	We aren't going to get any more Han ships by shooting up their repellor rays unless we use much larger rockets.	true	538.61	544.41	14
8119_115687_000022_000003	They are wise to us now.	They are wise to us now.	false	544.41	546.76	18.806467
8119_115687_000022_000004	They're putting armor of great thickness in the hulls of their ships below the rep-ray machines.	They're putting armor of great thickness in the hulls of their ships below the rep ray machines.	true	547.16	552.28	21.689587
8119_115687_000022_000005	Near Bah-flo this morning a party of Eries shot one without success.	Near Bah flo this morning a party of Eries shot one without success.	true	552.68	556.77	14
8119_115687_000022_000006	The explosions staggered her, but did not penetrate.	The explosions staggered her, but did not penetrate.	false	556.77	560.95	21.80396
8119_115687_000022_000007	As near as we can gather from their reports, their laboratories have developed a new alloy of great tensile strength and elasticity which nevertheless lets the rep rays through like a sieve.	As near as we can gather from their reports, their laboratories have developed a new alloy of great tensile strength and elasticity which nevertheless lets the rep rays through like a sieve.	true	561.05	573.16	22.545778
8119_115687_000022_000008	Our reports indicate that the Eries' rockets bounced off harmlessly.	Our reports indicate that the Eries' rockets bounced off harmlessly.	true	573.41	577.63	23.803051
8119_115687_000022_000009	Most of the party was wiped out as the dis rays went into action on them.	Most of the party was wiped out as the dis rays went into action on them.	false	578.24	582.58	21
8119_115687_000023_000000	"This is going to mean real business for all of the gangs before long. The Big Bosses have just held a national ultrophone council.	"This is going to mean real business for all of the gangs before long. The Big Bosses have just held a national ultrophone council.	true	583.46	590.74	19.053886
8119_115687_000023_000001	It was decided that America must organize on a national basis.	It was decided that America must organize on a national basis.	true	590.81	594.58	18
8119_115687_000023_000002	The first move is to develop sectional organization by Zones.	The first move is to develop sectional organization by Zones.	true	594.92	598.815	19
8119_115687_000023_000003	I have been made Superboss of the Mid-Atlantic Zone.	I have been made Superboss of the Mid Atlantic Zone.	true	598.815	602.11	20
8119_115687_000024_000000	"We're in for it now.	"We're in for it now.	true	603.53	605.02	19.845509
8119_115687_000024_000001	The Hans are sure to launch reprisal expeditions. If we're to save the race we must keep them away from our camps and plants.	The Hans are sure to launch reprisal expeditions. If we're to save the race we must keep them away from our camps and plants.	false	605.15	613.06	22.004911
8119_115687_000024_000002	I'm thinking of developing a permanent field force, along the lines of the regular armies of the 20th Century you told me about.	I'm thinking of developing a permanent field force, along the lines of the regular armies of the twentieth Century you told me about.	true	613.37	621.16	21.725483
8119_115687_000024_000003	Its business will be twofold: to carry the warfare as much as possible to the Hans, and to serve as a decoy, to beep their attention from our plants.	Its business will be twofold: to carry the warfare as much as possible to the Hans, and to serve as a decoy, to beep their attention from our plants.	false	621.5	631.87	22.585838
8119_115687_000024_000004	I'm going to need your help in this.	I'm going to need your help in this.	false	632.54	634.57	22.643404
8119_115687_000025_000000	"The other thing I wanted to talk to you about is this: Amazing and impossible as it seems, there is a group, or perhaps an entire gang, somewhere among us, that is betraying us to the Hans.	"The other thing I wanted to talk to you about is this: Amazing and impossible as it seems, there is a group, or perhaps an entire gang, somewhere among us, that is betraying us to the Hans.	false	636.35	651.58	22.587994
8119_115687_000025_000001	It may be the Bad Bloods, or it may be one of those gangs who live near one of the Han cities.	It may be the Bad Bloods, or it may be one of those gangs who live near one of the Han cities.	true	652.76	658.96	17.337807
8119_115687_000025_000002	You know, a hundred and fifteen or twenty years ago there were certain of these people's ancestors who actually degraded themselves by mating with the Hans, sometimes even serving them as slaves, in the days before they brought all their service machinery to perfection.	You know, a hundred and fifteen or twenty years ago there were certain of these people's ancestors who actually degraded themselves by mating with the Hans, sometimes even serving them as slaves, in the days before they brought all their service machinery to perfection.	true	659.21	677.23	20.367817
8119_115687_000026_000000	"There is such a gang, called the Nagras, up near Bah-flo, and another in Mid-Jersey that men call the Pineys.	"There is such a gang, called the Nagras, up near Bah flo, and another in Mid Jersey that men call the Pineys.	true	679.01	687.01	18.667274
8119_115687_000026_000001	But I hardly suspect the Pineys. There is little intelligence among them.	But I hardly suspect the Pineys. There is little intelligence among them.	true	687.53	692.77	21.89622
8119_115687_000026_000002	They wouldn't have the information to give the Hans, nor would they be capable of imparting it. They're absolute savages."	They wouldn't have the information to give the Hans, nor would they be capable of imparting it. They're absolute savages."	true	692.78	700.33	20.25257
8119_115687_000027_000000	"Just what evidence is there that anybody has been clearing information to the Hans?" I asked.	"Just what evidence is there that anybody has been clearing information to the Hans?" I asked.	true	701.21	706.93	20.342733
8119_115687_000028_000000	"Well," he replied, "first of all there was that raid upon us.	"Well," he replied, "first of all there was that raid upon us.	true	707.72	713.41	22.006588
8119_115687_000028_000001	That first Han ship knew the location of our plants exactly.	That first Han ship knew the location of our plants exactly.	true	713.69	717.76	25.262705
8119_115687_000028_000002	You remember it floated directly into position above the valley and began a systematic beaming.	You remember it floated directly into position above the valley and began a systematic beaming.	true	718.01	723.79	19.505188
8119_115687_000028_000003	Then, the Hans quite obviously have learned that we are picking up their electrophone waves, for they've gone back to their old, but extremely accurate, system of directional control.	Then, the Hans quite obviously have learned that we are picking up their electrophone waves, for they've gone back to their old, but extremely accurate, system of directional control.	true	724.16	735.01	21.241234
8119_115687_000028_000004	But we've been getting them for the past week by installing automatic re-broadcast units along the scar paths.	But we've been getting them for the past week by installing automatic re broadcast units along the scar paths.	true	735.26	741.4	18
8119_115687_000028_000005	This is what the Americans called those strips of country directly under the regular ship routes of the Hans, who as a matter of precaution frequently blasted them with their dis beams to prevent the growth of foliage which might give shelter to the Americans.	This is what the Americans called those strips of country directly under the regular ship routes of the Hans, who as a matter of precaution frequently blasted them with their dis beams to prevent the growth of foliage which might give shelter to the Americans.	false	742.61	755.71	19
8119_115687_000028_000006	But they've been beaming those paths so hard, it looks as though they even had information of this strategy.	But they've been beaming those paths so hard, it looks as though they even had information of this strategy.	true	757.19	764.26	20.471924
8119_115687_000028_000007	And in addition, they've been using code.	And in addition, they've been using code.	true	764.93	768.52	19.836613
8119_115687_000028_000008	Finally, we've picked up three of their messages in which they discuss, with some nervousness, the existence of our 'mysterious' ultrophone."	Finally, we've picked up three of their messages in which they discuss, with some nervousness, the existence of our 'mysterious' ultrophone."	true	769.07	778.93	22.005016
8119_115687_000029_000000	"But they still have no knowledge of the nature and control of ultronic activity?" I asked.	"But they still have no knowledge of the nature and control of ultronic activity?" I asked.	true	779.72	784.84	19.466164
8119_115687_000030_000000	"No," said the Big Boss thoughtfully, "they don't seem to have a bit of information about it."	"No," said the Big Boss thoughtfully, "they don't seem to have a bit of information about it."	true	785.54	791.53	16.493528
8119_115687_000031_000000	"Then it's quite clear," I ventured, "that whoever is 'clearing' us to them is doing it piecemeal.	"Then it's quite clear," I ventured, "that whoever is 'clearing' us to them is doing it piecemeal.	true	792.35	799.48	22.487026
8119_115687_000031_000001	It sounds like a bit of occasional barter, rather than an out-and-out alliance.	It sounds like a bit of occasional barter, rather than an out and out alliance.	true	799.94	805.15	23
8119_115687_000031_000002	They're holding back as much information as possible for future bartering, perhaps."	They're holding back as much information as possible for future bartering, perhaps."	true	805.37	810.13	19.691076
8119_115687_000032_000000	"Yes," Hart said, "and it isn't information the Hans are giving in return, but some form of goods, or privilege.	"Yes," Hart said, "and it isn't information the Hans are giving in return, but some form of goods, or privilege.	false	811.31	820.36	20.130228
8119_115687_000032_000001	The trick would be to locate the goods.	The trick would be to locate the goods.	true	820.94	823.36	26.044716
8119_115687_000032_000002	I guess I'll have to make a personal trip around among the Big Bosses."	I guess I'll have to make a personal trip around among the Big Bosses."	true	823.94	827.88	15
8119_115687_000033_000000	CHAPTER VIII	CHAPTER eight	false	827.88	828.18	-20
8119_115687_000034_000000	The Han City	The Han City	false	828.18	828.66	-20
8119_115687_000035_000000	This conversation set me thinking.	This conversation set me thinking.	false	828.66	829.47	100
8119_115687_000035_000001	All of the Han electrophone inter-communication had been an open record to the Americans for a good many years, and the Hans were just finding it out.	All of the Han electrophone inter communication had been an open record to the Americans for a good many years, and the Hans were just finding it out.	false	829.47	833.1	21.858646
8119_115687_000035_000002	For centuries they had not regarded us as any sort of a menace.	For centuries they had not regarded us as any sort of a menace.	false	833.1	833.1	
8119_115687_000035_000003	Unquestionably it had never occurred to them to secrete their own records.	Unquestionably it had never occurred to them to secrete their own records.	false	833.1	833.1	
8119_115687_000035_000004	Somewhere in Nu-yok or Bah-flo, or possibly in Lo-Tan itself, the record of this traitorous transaction would be more or less openly filed.	Somewhere in Nu y o k or Bah flo, or possibly in Lo Tan itself, the record of this traitorous transaction would be more or less openly filed.	false	833.1	833.1	
8119_115687_000035_000005	If we could only get at it!	If we could only get at it!	false	833.1	833.1	
8119_115687_000035_000006	I wondered if a raid might not be possible.	I wondered if a raid might not be possible.	false	833.1	833.1	
