1365_134825_000000_000000	At that moment there was a movement just beside the President; a voice was heard crying:--	At that moment there was a movement just beside the President; a voice was heard crying:--	false	0	5.07	18.25699
1365_134825_000011_000000	Not a mouth breathed; the first commotion of astonishment had been followed by a silence like that of the grave; those within the hall experienced that sort of religious terror which seizes the masses when something grand has been done.	Not a mouth breathed; the first commotion of astonishment had been followed by a silence like that of the grave; those within the hall experienced that sort of religious terror which seizes the masses when something grand has been done.	true	129.36	142.96	15
1365_134825_000012_000000	In the meantime, the face of the President was stamped with sympathy and sadness; he had exchanged a rapid sign with the district-attorney and a few low-toned words with the assistant judges; he addressed the public, and asked in accents which all understood:--	In the meantime, the face of the President was stamped with sympathy and sadness; he had exchanged a rapid sign with the district attorney and a few low toned words with the assistant judges; he addressed the public, and asked in accents which all understood:--	true	144.5	160.45	17
1365_134825_000013_000000	"Is there a physician present?"	"Is there a physician present?"	true	161.21	163.78	21
1365_134825_000014_000000	The district-attorney took the word:--	The district attorney took the word:--	true	164.39	166.39	16
1365_134825_000015_000000	"Gentlemen of the jury, the very strange and unexpected incident which disturbs the audience inspires us, like yourselves, only with a sentiment which it is unnecessary for us to express.	"Gentlemen of the jury, the very strange and unexpected incident which disturbs the audience inspires us, like yourselves, only with a sentiment which it is unnecessary for us to express.	true	167.51	179.32	19
1365_134825_000015_000001	You all know, by reputation at least, the honorable M. Madeleine, mayor of M. sur M.; if there is a physician in the audience, we join the President in requesting him to attend to M. Madeleine, and to conduct him to his home."	You all know, by reputation at least, the honorable m Madeleine, mayor of m sur m; if there is a physician in the audience, we join the President in requesting him to attend to m Madeleine, and to conduct him to his home."	false	179.57	193.92	18
1365_134825_000016_000000	M. Madeleine did not allow the district-attorney to finish; he interrupted him in accents full of suavity and authority.	M. Madeleine did not allow the district attorney to finish; he interrupted him in accents full of suavity and authority.	false	193.92	201.97	18.00884
1365_134825_000016_000001	These are the words which he uttered; here they are literally, as they were written down, immediately after the trial by one of the witnesses to this scene, and as they now ring in the ears of those who heard them nearly forty years ago:--	These are the words which he uttered; here they are literally, as they were written down, immediately after the trial by one of the witnesses to this scene, and as they now ring in the ears of those who heard them nearly forty years ago:--	true	202.28	215.35	16
1365_134825_000017_000000	"I thank you, Mr. District-Attorney, but I am not mad; you shall see; you were on the point of committing a great error; release this man!	"I thank you, mr District Attorney, but I am not mad; you shall see; you were on the point of committing a great error; release this man!	true	216.86	225.57	16
1365_134825_000017_000001	I am fulfilling a duty; I am that miserable criminal.	I am fulfilling a duty; I am that miserable criminal.	true	225.57	229.45	18
1365_134825_000017_000002	I am the only one here who sees the matter clearly, and I am telling you the truth.	I am the only one here who sees the matter clearly, and I am telling you the truth.	true	229.79	234.76	13
1365_134825_000017_000003	God, who is on high, looks down on what I am doing at this moment, and that suffices.	God, who is on high, looks down on what I am doing at this moment, and that suffices.	false	235.22	240.75	14
1365_134825_000017_000004	You can take me, for here I am: but I have done my best; I concealed myself under another name; I have become rich; I have become a mayor; I have tried to re-enter the ranks of the honest.	You can take me, for here I am: but I have done my best; I concealed myself under another name; I have become rich; I have become a mayor; I have tried to re-enter the ranks of the honest.	true	240.75	252.64	15
1365_134825_000017_000005	It seems that that is not to be done.	It seems that that is not to be done.	true	252.89	255.16	16
1365_134825_000017_000006	In short, there are many things which I cannot tell.	In short, there are many things which I cannot tell.	true	256.1	258.97	16
1365_134825_000017_000007	I will not narrate the story of my life to you; you will hear it one of these days.	I will not narrate the story of my life to you; you will hear it one of these days.	true	259.01	263.53	15
1365_134825_000017_000008	I robbed Monseigneur the Bishop, it is true; it is true that I robbed Little Gervais; they were right in telling you that Jean Valjean was a very vicious wretch.	I robbed Monseigneur the Bishop, it is true; it is true that I robbed Little Gervais; they were right in telling you that Jean Valjean was a very vicious wretch.	true	263.87	273.55	17.939217
1365_134825_000017_000009	Perhaps it was not altogether his fault.	Perhaps it was not altogether his fault.	true	273.77	276.16	19
1365_134825_000017_000010	Listen, honorable judges! a man who has been so greatly humbled as I have has neither any remonstrances to make to Providence, nor any advice to give to society; but, you see, the infamy from which I have tried to escape is an injurious thing; the galleys make the convict what he is; reflect upon that, if you please.	Listen, honorable judges! a man who has been so greatly humbled as I have has neither any remonstrances to make to Providence, nor any advice to give to society; but, you see, the infamy from which I have tried to escape is an injurious thing; the galleys make the convict what he is; reflect upon that, if you please.	true	276.32	297.01	17
1365_134825_000017_000011	Before going to the galleys, I was a poor peasant, with very little intelligence, a sort of idiot; the galleys wrought a change in me.	Before going to the galleys, I was a poor peasant, with very little intelligence, a sort of idiot; the galleys wrought a change in me.	true	297.41	305.23	18
1365_134825_000017_000012	I was stupid; I became vicious: I was a block of wood; I became a firebrand.	I was stupid; I became vicious: I was a block of wood; I became a firebrand.	true	305.3	311.62	19
1365_134825_000017_000013	Later on, indulgence and kindness saved me, as severity had ruined me.	Later on, indulgence and kindness saved me, as severity had ruined me.	true	312.14	317.5	19.109621
1365_134825_000017_000014	But, pardon me, you cannot understand what I am saying.	But, pardon me, you cannot understand what I am saying.	true	317.87	321.52	20
1365_134825_000017_000015	You will find at my house, among the ashes in the fireplace, the forty-sou piece which I stole, seven years ago, from little Gervais.	You will find at my house, among the ashes in the fireplace, the forty sou piece which I stole, seven years ago, from little Gervais.	false	321.77	329.26	12
1365_134825_000017_000016	I have nothing farther to add; take me.	I have nothing farther to add; take me.	true	329.66	332.32	17
1365_134825_000017_000017	Good God! the district-attorney shakes his head; you say, 'M. Madeleine has gone mad!' you do not believe me! that is distressing.	Good God! the district attorney shakes his head; you say, 'M. Madeleine has gone mad!' you do not believe me! that is distressing.	false	332.51	341.17	18
1365_134825_000017_000018	Do not, at least, condemn this man!	Do not, at least, condemn this man!	true	341.36	343.66	20
1365_134825_000017_000019	What! these men do not recognize me!	What! these men do not recognize me!	true	343.88	346.33	18.736311
1365_134825_000017_000020	I wish Javert were here; he would recognize me."	I wish Javert were here; he would recognize me."	true	346.34	349.78	18.741322
1365_134825_000018_000000	Nothing can reproduce the sombre and kindly melancholy of tone which accompanied these words.	Nothing can reproduce the sombre and kindly melancholy of tone which accompanied these words.	true	351.08	356.23	12
1365_134825_000019_000000	He turned to the three convicts, and said:--	He turned to the three convicts, and said:--	true	356.93	359.56	14
1365_134825_000020_000000	"Well, I recognize you; do you remember, Brevet?"	"Well, I recognize you; do you remember, Brevet?"	false	359.78	364.5	19.62774
1365_134825_000021_000000	He paused, hesitated for an instant, and said:--	He paused, hesitated for an instant, and said:--	true	364.5	367.45	11
1365_134825_000022_000000	"Do you remember the knitted suspenders with a checked pattern which you wore in the galleys?"	"Do you remember the knitted suspenders with a checked pattern which you wore in the galleys?"	true	367.88	372.33	12
1365_134825_000023_000000	Brevet gave a start of surprise, and surveyed him from head to foot with a frightened air.	Brevet gave a start of surprise, and surveyed him from head to foot with a frightened air.	false	372.33	378.4	16.74898
1365_134825_000023_000001	He continued:--	He continued:--	true	378.65	379.77	14
1365_134825_000024_000000	"Chenildieu, you who conferred on yourself the name of 'Jenie-Dieu,' your whole right shoulder bears a deep burn, because you one day laid your shoulder against the chafing-dish full of coals, in order to efface the three letters T. F. P., which are still visible, nevertheless; answer, is this true?"	"Chenildieu, you who conferred on yourself the name of 'Jenie Dieu,' your whole right shoulder bears a deep burn, because you one day laid your shoulder against the chafing dish full of coals, in order to efface the three letters t f p, which are still visible, nevertheless; answer, is this true?"	false	379.77	399.76	19
1365_134825_000025_000000	"It is true," said Chenildieu.	"It is true," said Chenildieu.	false	401.09	404.82	21.365118
1365_134825_000026_000000	He addressed himself to Cochepaille:--	He addressed himself to Cochepaille:--	true	404.82	406.63	13
1365_134825_000027_000000	"Cochepaille, you have, near the bend in your left arm, a date stamped in blue letters with burnt powder; the date is that of the landing of the Emperor at Cannes, March 1, 1815; pull up your sleeve!"	"Cochepaille, you have, near the bend in your left arm, a date stamped in blue letters with burnt powder; the date is that of the landing of the Emperor at Cannes, march first eighteen fifteen; pull up your sleeve!"	false	407.51	421.12	19
1365_134825_000028_000000	Cochepaille pushed up his sleeve; all eyes were focused on him and on his bare arm.	Cochepaille pushed up his sleeve; all eyes were focused on him and on his bare arm.	false	421.79	427.51	18.190426
1365_134825_000029_000000	A gendarme held a light close to it; there was the date.	A gendarme held a light close to it; there was the date.	true	427.91	431.86	14
1365_134825_000030_000000	The unhappy man turned to the spectators and the judges with a smile which still rends the hearts of all who saw it whenever they think of it.	The unhappy man turned to the spectators and the judges with a smile which still rends the hearts of all who saw it whenever they think of it.	true	432.53	440.11	12
1365_134825_000030_000001	It was a smile of triumph; it was also a smile of despair.	It was a smile of triumph; it was also a smile of despair.	true	440.54	444.61	18.545443
1365_134825_000031_000000	"You see plainly," he said, "that I am Jean Valjean."	"You see plainly," he said, "that I am Jean Valjean."	false	445.7	451.17	17.897173
1365_134825_000032_000000	In that chamber there were no longer either judges, accusers, nor gendarmes; there was nothing but staring eyes and sympathizing hearts. No one recalled any longer the part that each might be called upon to play; the district-attorney forgot he was there for the purpose of prosecuting, the President that he was there to preside, the counsel for the defence that he was there to defend.	In that chamber there were no longer either judges, accusers, nor gendarmes; there was nothing but staring eyes and sympathizing hearts. No one recalled any longer the part that each might be called upon to play; the district attorney forgot he was there for the purpose of prosecuting, the President that he was there to preside, the counsel for the defence that he was there to defend.	true	451.17	473.47	18
1365_134825_000032_000001	It was a striking circumstance that no question was put, that no authority intervened.	It was a striking circumstance that no question was put, that no authority intervened.	true	473.72	478.81	12
1365_134825_000032_000002	The peculiarity of sublime spectacles is, that they capture all souls and turn witnesses into spectators.	The peculiarity of sublime spectacles is, that they capture all souls and turn witnesses into spectators.	true	478.97	485.77	15
1365_134825_000032_000003	No one, probably, could have explained what he felt; no one, probably, said to himself that he was witnessing the splendid outburst of a grand light: all felt themselves inwardly dazzled.	No one, probably, could have explained what he felt; no one, probably, said to himself that he was witnessing the splendid outburst of a grand light: all felt themselves inwardly dazzled.	true	486.08	498.73	19
1365_134825_000033_000000	It was evident that they had Jean Valjean before their eyes.	It was evident that they had Jean Valjean before their eyes.	true	499.46	502.99	14
1365_134825_000033_000001	That was clear.	That was clear.	true	503.27	504.4	20
1365_134825_000033_000002	The appearance of this man had sufficed to suffuse with light that matter which had been so obscure but a moment previously, without any further explanation: the whole crowd, as by a sort of electric revelation, understood instantly and at a single glance the simple and magnificent history of a man who was delivering himself up so that another man might not be condemned in his stead.	The appearance of this man had sufficed to suffuse with light that matter which had been so obscure but a moment previously, without any further explanation: the whole crowd, as by a sort of electric revelation, understood instantly and at a single glance the simple and magnificent history of a man who was delivering himself up so that another man might not be condemned in his stead.	true	504.8	528.4	14
1365_134825_000033_000003	The details, the hesitations, little possible oppositions, were swallowed up in that vast and luminous fact.	The details, the hesitations, little possible oppositions, were swallowed up in that vast and luminous fact.	true	528.8	537.4	19.394865
1365_134825_000034_000000	It was an impression which vanished speedily, but which was irresistible at the moment.	It was an impression which vanished speedily, but which was irresistible at the moment.	true	537.56	543.61	23
1365_134825_000035_000000	"I do not wish to disturb the court further," resumed Jean Valjean.	"I do not wish to disturb the court further," resumed Jean Valjean.	true	543.65	547.75	17
1365_134825_000035_000001	"I shall withdraw, since you do not arrest me.	"I shall withdraw, since you do not arrest me.	true	548.09	550.6	15
1365_134825_000035_000002	I have many things to do. The district-attorney knows who I am; he knows whither I am going; he can have me arrested when he likes."	I have many things to do. The district attorney knows who I am; he knows whither I am going; he can have me arrested when he likes."	true	550.64	558.85	16
1365_134825_000036_000000	He directed his steps towards the door.	He directed his steps towards the door.	true	559.85	562.15	19
1365_134825_000036_000001	Not a voice was raised, not an arm extended to hinder him.	Not a voice was raised, not an arm extended to hinder him.	true	562.37	566.08	11
1365_134825_000036_000002	All stood aside.	All stood aside.	true	566.33	567.79	19.049173
1365_134825_000036_000003	At that moment there was about him that divine something which causes multitudes to stand aside and make way for a man.	At that moment there was about him that divine something which causes multitudes to stand aside and make way for a man.	true	568.01	574.6	10
1365_134825_000036_000004	He traversed the crowd slowly.	He traversed the crowd slowly.	true	575.12	577.33	21
1365_134825_000036_000005	It was never known who opened the door, but it is certain that he found the door open when he reached it.	It was never known who opened the door, but it is certain that he found the door open when he reached it.	true	577.79	583.15	14
1365_134825_000036_000006	On arriving there he turned round and said:--	On arriving there he turned round and said:--	true	583.52	586	13
1365_134825_000037_000000	"I am at your command, Mr. District-Attorney."	"I am at your command, mr District Attorney."	true	586.52	589.3	16
1365_134825_000038_000000	Then he addressed the audience:--	Then he addressed the audience:--	true	589.91	591.64	22
1365_134825_000039_000000	"All of you, all who are present--consider me worthy of pity, do you not?	"All of you, all who are present-consider me worthy of pity, do you not?	true	592.79	597.61	22.399782
1365_134825_000039_000001	Good God!	Good God!	true	597.77	598.99	19.031107
1365_134825_000039_000002	When I think of what I was on the point of doing, I consider that I am to be envied.	When I think of what I was on the point of doing, I consider that I am to be envied.	true	599.03	603.64	16
1365_134825_000039_000003	Nevertheless, I should have preferred not to have had this occur."	Nevertheless, I should have preferred not to have had this occur."	true	603.8	607.39	19
1365_134825_000040_000000	He withdrew, and the door closed behind him as it had opened, for those who do certain sovereign things are always sure of being served by some one in the crowd.	He withdrew, and the door closed behind him as it had opened, for those who do certain sovereign things are always sure of being served by some one in the crowd.	true	608.54	617.86	16
1365_134825_000041_000000	Less than an hour after this, the verdict of the jury freed the said Champmathieu from all accusations; and Champmathieu, being at once released, went off in a state of stupefaction, thinking that all men were fools, and comprehending nothing of this vision.	Less than an hour after this, the verdict of the jury freed the said Champmathieu from all accusations; and Champmathieu, being at once released, went off in a state of stupefaction, thinking that all men were fools, and comprehending nothing of this vision.	false	618.53	640.05	18.373524
