7802_104391_000000_000000	There they came to a high gray stone wall, blocking their way, and stood still.	There they came to a high gray stone wall, blocking their way, and stood still.	false	2.76	7.59	19
7802_104391_000010_000004	Oh, how these heels bother!"	Oh, how these heels bother!"	true	201.71	204.22	22
7802_104391_000011_000000	"Silly girl!" cried the old woman, smiling more than ever, and looking more disagreeable than ever at the same time.	"Silly girl!" cried the old woman, smiling more than ever, and looking more disagreeable than ever at the same time.	false	204.56	210.88	11
7802_104391_000011_000001	"Your place is where you were born-in a fine house and wearing clothes like other people.	"Your place is where you were born in a fine house and wearing clothes like other people.	true	211.07	216.09	20.960842
7802_104391_000011_000002	Heels indeed!	Heels indeed!	true	216.09	217.6	18.795527
7802_104391_000011_000003	Did you expect them to do any thing else but bother?	Did you expect them to do any thing else but bother?	true	217.61	220.69	23.447075
7802_104391_000011_000004	Mine have bothered for sixty years, but you haven't heard _me_ complain."	Mine have bothered for sixty years, but you haven't heard underscore me underscore complain."	false	220.88	226.12	19.34461
7802_104391_000012_000000	"Neither would I," Helma said, "if I didn't know about other kinds of shoes that don't hurt.	"Neither would I," Helma said, "if I didn't know about other kinds of shoes that don't hurt.	true	226.61	232.51	18
7802_104391_000012_000001	Those sandals I wore when you caught me didn't hurt.	Those sandals I wore when you caught me didn't hurt.	true	233.15	236.01	16.520302
7802_104391_000012_000002	Why can't I wear those, at least when I walk in the garden?"	Why can't I wear those, at least when I walk in the garden?"	false	236.01	239.65	18
7802_104391_000013_000000	"Well, you might," began the old woman, a little more kindly, and smiling less, "if you promise always to put on the high heels before coming into the drawing room--"	"Well, you might," began the old woman, a little more kindly, and smiling less, "if you promise always to put on the high heels before coming into the drawing room-"	true	239.9	251.13	19
7802_104391_000014_000000	"No," said the young man sharply.	"No," said the young man sharply.	false	251.13	253.785	17.89551
7802_104391_000014_000001	"Let her once into the garden in her sandals and she'll climb the wall and be off.	"Let her once into the garden in her sandals and she'll climb the wall and be off.	true	253.785	258.79	17.86127
7802_104391_000014_000002	I say that we give her no chance to escape.	I say that we give her no chance to escape.	true	258.83	261.7	19.149263
7802_104391_000014_000003	After she has been to a hundred or so balls and worn these beautiful and appropriate clothes long enough she'll be glad of her luck, and nothing could drag her into the forest.	After she has been to a hundred or so balls and worn these beautiful and appropriate clothes long enough she'll be glad of her luck, and nothing could drag her into the forest.	false	261.71	272.835	20
7802_104391_000014_000004	Believe me!"	Believe me!"	true	272.835	274.63	17.247705
7802_104391_000015_000000	Now Helma stopped pleading, and laughed at the young man.	Now Helma stopped pleading, and laughed at the young man.	true	275.87	279.72	19.431894
7802_104391_000015_000001	"Do you think high heels, or even a hat that weighs down my head like this horrid one can keep me much longer from my little daughter, and that dear new little boy?	"Do you think high heels, or even a hat that weighs down my head like this horrid one can keep me much longer from my little daughter, and that dear new little boy?	true	279.72	290.89	17
7802_104391_000015_000002	What they are doing without me all this time--I wonder!" She stopped laughing to sigh.	What they are doing without me all this time-I wonder!" She stopped laughing to sigh.	true	291.29	297.31	16
7802_104391_000016_000000	The old woman took her hand not unkindly.	The old woman took her hand not unkindly.	true	297.92	300.76	15
7802_104391_000016_000001	"My poor, dear girl," she said, "how many times must I tell you it is only a dream, that house in the woods and the little girl and boy?	"My poor, dear girl," she said, "how many times must I tell you it is only a dream, that house in the woods and the little girl and boy?	true	300.95	310.875	16
7802_104391_000016_000002	They aren't really there at all, you know.	They aren't really there at all, you know.	true	310.875	313.53	15
7802_104391_000016_000003	You have dreamed them.	You have dreamed them.	true	313.53	314.73	14
7802_104391_000016_000004	Come, cheer up.	Come, cheer up.	true	314.73	316.02	22.147192
7802_104391_000016_000005	Be a brave girl.	Be a brave girl.	true	316.02	317.16	19.28266
7802_104391_000016_000006	We have parties and good times enough here, if you will only get into the spirit of them, to make up for all your forest foolishness."	We have parties and good times enough here, if you will only get into the spirit of them, to make up for all your forest foolishness."	false	317.16	323.98	15
7802_104391_000017_000000	Helma answered in a low even voice, that showed well enough how sure she was of the truth of what she was saying--"No, they are realer than you. Ivra is realer than all the people in that mansion put together, cousins, uncles, aunts, guests, servants and all.	Helma answered in a low even voice, that showed well enough how sure she was of the truth of what she was saying-"No, they are realer than you. Ivra is realer than all the people in that mansion put together, cousins, uncles, aunts, guests, servants and all.	true	324.59	343.93	18
7802_104391_000017_000001	She is my little fairy daughter."	She is my little fairy daughter."	true	344.63	346.51	16
7802_104391_000018_000000	"No," said the young man.	"No," said the young man.	true	347.12	349.42	16.333574
7802_104391_000019_000000	The wings of the Wind Creatures on the top of the wall rustled just then in a gust of cold north wind.	The wings of the Wind Creatures on the top of the wall rustled just then in a gust of cold north wind.	true	350.03	355.78	14
7802_104391_000019_000001	Helma threw up her head as at a familiar sound, and her eyes slowly lifted to the faces of the children looking down.	Helma threw up her head as at a familiar sound, and her eyes slowly lifted to the faces of the children looking down.	false	356.54	363.43	18
7802_104391_000019_000002	For a minute she looked steadily at them without believing, and then it was as though her pale face suddenly burst into song.	For a minute she looked steadily at them without believing, and then it was as though her pale face suddenly burst into song.	true	363.86	374.89	20.141426
7802_104391_000019_000003	But the old woman and the young man were not looking at her and so they noticed nothing.	But the old woman and the young man were not looking at her and so they noticed nothing.	true	375.38	380.07	17
7802_104391_000019_000004	The young man said, "The neighbors have talked about us enough already for all your queer ideas and doings.	The young man said, "The neighbors have talked about us enough already for all your queer ideas and doings.	false	380.07	386.19	18
7802_104391_000019_000005	So you'll wear no sandals, no, nor sleep with your skylight open, as you're always asking, nor go one step outside the wall until you have come to your senses and are more like other people.	So you'll wear no sandals, no, nor sleep with your skylight open, as you're always asking, nor go one step outside the wall until you have come to your senses and are more like other people.	false	386.19	397.8	20
7802_104391_000019_000006	So there!"	So there!"	true	397.8	398.62	20
7802_104391_000020_000000	But Helma laughed, her head thrown back, so that the children could look into her happy eyes and see the glow of her short hair under her grotesque hat.	But Helma laughed, her head thrown back, so that the children could look into her happy eyes and see the glow of her short hair under her grotesque hat.	true	399.44	409.18	18
7802_104391_000021_000000	"Keep your keys, cousin," she said, "and your old skylight keep shut tight as tight.	"Keep your keys, cousin," she said, "and your old skylight keep shut tight as tight.	true	409.34	415.57	19
7802_104391_000021_000001	I shall find a way out.	I shall find a way out.	true	416.18	418.51	17
7802_104391_000021_000002	But my children must be patient, and Ivra must teach Eric to keep his face and body clean.	But my children must be patient, and Ivra must teach Eric to keep his face and body clean.	true	418.94	427.42	19
7802_104391_000021_000003	They must not forget meal-times, and when anything goes wrong, or they think it is going wrong, they must ask the Tree Man's advice.	They must not forget meal times, and when anything goes wrong, or they think it is going wrong, they must ask the Tree Man's advice.	true	427.85	437.47	18
7802_104391_000021_000004	I will find a way to them soon.	I will find a way to them soon.	true	437.78	440.68	16
7802_104391_000021_000005	They must keep happy and wait."	They must keep happy and wait."	true	441.2	444.49	21.276245
7802_104391_000022_000000	She said all that slowly and distinctly, her eyes smiling into theirs.	She said all that slowly and distinctly, her eyes smiling into theirs.	true	445.7	451.36	16
7802_104391_000023_000000	"What silly talk," laughed the sour old lady.	"What silly talk," laughed the sour old lady.	true	452.12	455.47	17
7802_104391_000023_000001	"Just as though you were making a speech.	"Just as though you were making a speech.	false	455.51	457.53	18
7802_104391_000023_000002	Well, it must be luncheon time now, and high time we were changing our frocks.	Well, it must be luncheon time now, and high time we were changing our frocks.	true	457.53	461.83	14
7802_104391_000023_000003	Wear your gray velvet, Helma, and don't forget to put on stockings to match.	Wear your gray velvet, Helma, and don't forget to put on stockings to match.	true	461.84	465.52	17
7802_104391_000023_000004	There's to be strawberry ice to-day,--and goose to begin with of course.	There's to be strawberry ice to day,--and goose to begin with of course.	true	465.56	469.84	20
7802_104391_000023_000005	Cook says she has never seen a tenderer--"	Cook says she has never seen a tenderer-"	true	469.88	472.12	18
7802_104391_000024_000000	The old lady went on talking about the wonderful luncheon they were to have until they were out of hearing.	The old lady went on talking about the wonderful luncheon they were to have until they were out of hearing.	false	473	478.78	14
7802_104391_000024_000001	But the children on the gray wall could see that Helma was going in differently from the way she had come out.	But the children on the gray wall could see that Helma was going in differently from the way she had come out.	true	479.09	484.39	16
7802_104391_000024_000002	Her head was high, and she stepped out in her funny high heeled boots as though she were walking in sandals.	Her head was high, and she stepped out in her funny high heeled boots as though she were walking in sandals.	false	484.79	491.82	19
7802_104391_000024_000003	At the little door into the mansion she turned and waved her queer great muff to the children and the Wind Creatures, and they heard her laugh.	At the little door into the mansion she turned and waved her queer great muff to the children and the Wind Creatures, and they heard her laugh.	true	491.82	501.43	19.155685
7802_104391_000025_000000	But when she was gone, and the door was shut and locked--they heard the great key scrape--Eric turned joyfully to Ivra.	But when she was gone, and the door was shut and locked-they heard the great key scrape-Eric turned joyfully to Ivra.	false	502.22	510.69	19.642052
7802_104391_000025_000001	She was staring intently at the closed door, her face very pale.	She was staring intently at the closed door, her face very pale.	true	510.69	515.13	14
7802_104391_000025_000002	Suddenly she buried her head in her arms and burst into sobs, hoarse, jerky sobs, the first and the last time Eric was ever to hear her cry.	Suddenly she buried her head in her arms and burst into sobs, hoarse, jerky sobs, the first and the last time Eric was ever to hear her cry.	true	515.13	523.69	17
7802_104391_000025_000003	Eric and the Wind Children sat cross-legged and waited.	Eric and the Wind Children sat cross legged and waited.	true	524.12	527.91	20
7802_104391_000025_000004	Soon she stopped and wiped her face on her sleeve.	Soon she stopped and wiped her face on her sleeve.	true	527.91	531.61	20
7802_104391_000026_000000	"She is locked in, but she _will_ find a way home," she said, almost laughing.	"She is locked in, but she underscore will underscore find a way home," she said, almost laughing.	false	532.7	537.69	18.518406
7802_104391_000026_000001	"How glad and how surprised she was to see us!	"How glad and how surprised she was to see us!	true	537.69	540.79	16
7802_104391_000026_000002	It was almost as though she had begun to believe all their talk about dreams, until she heard the Wind Creatures' wings!"	It was almost as though she had begun to believe all their talk about dreams, until she heard the Wind Creatures' wings!"	true	541.07	547.3	14
7802_104391_000027_000000	The Wind Creatures took them back to the forest.	The Wind Creatures took them back to the forest.	true	547.76	550.3	19.975983
7802_104391_000027_000001	Under the giant cedars they said good-by and left them.	Under the giant cedars they said good by and left them.	true	550.55	553.93	18
7802_104391_000027_000002	The children went straight to the Tree Man's to tell him the news.	The children went straight to the Tree Man's to tell him the news.	true	554.27	557.59	14
7802_104391_000027_000003	He gave them deep bowls of warm milk to drink, and took off their sandals so that their toes might spread and warm in front of the fire.	He gave them deep bowls of warm milk to drink, and took off their sandals so that their toes might spread and warm in front of the fire.	false	557.87	565.21	17
7802_104391_000028_000000	Then the Tree Girl begged for a story, and Ivra told a World Story about the rivers,--how they go in search of their mother, the ocean, day and night, around mountains and through mountains, and across whole continents, and never stop until they find her,--and of the myriad presents they carry to her,--of the things they see and the things they do, as they flow searching.	Then the Tree Girl begged for a story, and Ivra told a World Story about the rivers,--how they go in search of their mother, the ocean, day and night, around mountains and through mountains, and across whole continents, and never stop until they find her,--and of the myriad presents they carry to her,--of the things they see and the things they do, as they flow searching.	true	565.85	587.41	19
7802_104391_000029_000000	It was a long story.	It was a long story.	true	588.2	590.26	17
7802_104391_000029_000001	And almost before the end the little story teller had fallen asleep with her head tipped back against the Tree Man's chest.	And almost before the end the little story teller had fallen asleep with her head tipped back against the Tree Man's chest.	true	590.39	596.56	20
7802_104391_000030_000000	They spent that night in the tree, and that was good, for a storm had risen outside, and it was bitter cold in the forest.	They spent that night in the tree, and that was good, for a storm had risen outside, and it was bitter cold in the forest.	false	597.71	608.16	19.864239
7802_104391_000031_000000	CHAPTER XI	CHAPTER eleven	false	608.16	608.64	20
7802_104391_000032_000000	THE BEAUTIFUL WICKED WITCH	THE BEAUTIFUL WICKED WITCH	false	608.64	609.03	10
7802_104391_000033_000000	The next morning before Eric woke Ivra slipped away to play with the Forest Children.	The next morning before Eric woke Ivra slipped away to play with the Forest Children.	false	609.03	613.02	-20
