8725_294551_000000_000000	This is a LibriVox recording.	This is a LibriVox recording.
8725_294551_000013_000015	Character is an infinitely better thing than either of these, and it is of corresponding rarity.	Character is an infinitely better thing than either of these, and it is of corresponding rarity.
8725_294551_000013_000016	And yet so true is it that the world loves its own, that all men worship talent, and even bodily strength and bodily beauty, while only one here and one there either understands or values or pursues moral character, though it is the strength and the beauty and the sweetness of the soul.	And yet so true is it that the world loves its own, that all men worship talent, and even bodily strength and bodily beauty, while only one here and one there either understands or values or pursues moral character, though it is the strength and the beauty and the sweetness of the soul.
8725_294551_000014_000000	We naturally turn to Bishop Butler when we think of moral character. Butler is an author who has drawn no characters of his own.	We naturally turn to Bishop Butler when we think of moral character. Butler is an author who has drawn no characters of his own.
8725_294551_000014_000001	Butler's genius was not creative like Shakespeare's or Bunyan's.	Butler's genius was not creative like Shakespeare's or Bunyan's.
8725_294551_000014_000002	Butler had not that splendid imagination which those two masters in character-painting possessed, but he had very great gifts of his own, and he has done us very great service by means of his gifts.	Butler had not that splendid imagination which those two masters in character painting possessed, but he had very great gifts of his own, and he has done us very great service by means of his gifts.
8725_294551_000014_000003	Bishop Butler has helped many men in the intelligent formation of their character, and what higher praise could be given to any author?	Bishop Butler has helped many men in the intelligent formation of their character, and what higher praise could be given to any author?
8725_294551_000014_000004	Butler will lie on our table all winter beside Bunyan; the bishop beside the tinker, the philosopher beside the poet, the moralist beside the evangelical minister.	Butler will lie on our table all winter beside Bunyan; the bishop beside the tinker, the philosopher beside the poet, the moralist beside the evangelical minister.
8725_294551_000015_000000	In seeking a solid bottom for our subject, then, we naturally turn to Butler.	In seeking a solid bottom for our subject, then, we naturally turn to Butler.
8725_294551_000015_000001	Bunyan will people the house for us once it is built, but Butler lays bare for us the naked rock on which men like Bunyan build and beautify and people the dwelling-place of God and man.	Bunyan will people the house for us once it is built, but Butler lays bare for us the naked rock on which men like Bunyan build and beautify and people the dwelling place of God and man.
8725_294551_000015_000003	we ask the sagacious bishop.	we ask the sagacious bishop.
8725_294551_000015_000009	Christian and Christiana, Obstinate and Pliable, Mr. Fearing and Mr. Feeblemind, Temporary and Talkative, Mr. By- ends and Mr. Facing-both-ways, Simple, Sloth, Presumption, that brisk lad Ignorance, and the genuine Mr. Brisk himself.	Christian and Christiana, Obstinate and Pliable, mr Fearing and mr Feeblemind, Temporary and Talkative, mr By ends and mr Facing both ways, Simple, Sloth, Presumption, that brisk lad Ignorance, and the genuine mr Brisk himself.
8725_294551_000016_000001	But let us ask in this introductory lecture if we can find out any law or principle upon which all our own characters, good or bad, are formed.	But let us ask in this introductory lecture if we can find out any law or principle upon which all our own characters, good or bad, are formed.
8725_294551_000016_000002	Do our characters come to be what they are by chance, or have we anything to do in the formation of our own characters, and if so, in what way?	Do our characters come to be what they are by chance, or have we anything to do in the formation of our own characters, and if so, in what way?
8725_294551_000016_000003	And here, again, Butler steps forward at our call with his key to our own and to all Bunyan's characters in his hand, and in three familiar and fruitful words he answers our question and gives us food for thought and solemn reflection for a lifetime.	And here, again, Butler steps forward at our call with his key to our own and to all Bunyan's characters in his hand, and in three familiar and fruitful words he answers our question and gives us food for thought and solemn reflection for a lifetime.
8725_294551_000016_000004	There are but three steps, says Butler, from earth to heaven, or, if you will, from earth to hell--acts, habits, character.	There are but three steps, says Butler, from earth to heaven, or, if you will, from earth to hell-acts, habits, character.
8725_294551_000016_000005	All Butler's prophetic burden is bound up in these three great words--acts, habits, character. Remember and ponder these three words, and you will in due time become a moral philosopher.	All Butler's prophetic burden is bound up in these three great words-acts, habits, character. Remember and ponder these three words, and you will in due time become a moral philosopher.
8725_294551_000016_000006	Ponder and practise them, and you will become what is infinitely better--a moral man.	Ponder and practise them, and you will become what is infinitely better-a moral man.
8725_294551_000016_000007	For acts, often repeated, gradually become habits, and habits, long enough continued, settle and harden and solidify into character.	For acts, often repeated, gradually become habits, and habits, long enough continued, settle and harden and solidify into character.
8725_294551_000016_000008	And thus it is that the severe and laconic bishop has so often made us shudder as he demonstrated it to us that we are all with our own hands shaping our character not only for this world, but much more for the world to come, by every act we perform, by every word we speak, almost by every breath we draw.	And thus it is that the severe and laconic bishop has so often made us shudder as he demonstrated it to us that we are all with our own hands shaping our character not only for this world, but much more for the world to come, by every act we perform, by every word we speak, almost by every breath we draw.
8725_294551_000016_000009	Butler is one of the most terrible authors in the world.	Butler is one of the most terrible authors in the world.
8725_294551_000016_000011	He is indeed terrible, but it is with a terror that purifies the heart and keeps the life in the hour of temptation.	He is indeed terrible, but it is with a terror that purifies the heart and keeps the life in the hour of temptation.
8725_294551_000016_000012	Paul sometimes arms himself with the same terror; only he composes in another style than that of Butler, and, with all his vivid intensity, he calls it the terror of the Lord.	Paul sometimes arms himself with the same terror; only he composes in another style than that of Butler, and, with all his vivid intensity, he calls it the terror of the Lord.
8725_294551_000016_000013	Paul and Bunyan are of the same school of moralists and stylists; Butler went to school to the Stoics, to Aristotle, and to Plato.	Paul and Bunyan are of the same school of moralists and stylists; Butler went to school to the Stoics, to Aristotle, and to Plato.
8725_294551_000017_000000	Our Lord Himself came to be the express image He was and is by living and acting under this same universal law of human life--acts, habits, character.	Our Lord Himself came to be the express image He was and is by living and acting under this same universal law of human life-acts, habits, character.
8725_294551_000017_000001	He was made perfect on this same principle.	He was made perfect on this same principle.
8725_294551_000017_000002	He learned obedience both by the things that He did, and the things that He suffered.	He learned obedience both by the things that He did, and the things that He suffered.
8725_294551_000017_000003	Butler says in one deep place, that benevolence and justice and veracity are the basis of all good character in God and in man, and thus also in the God-man.	Butler says in one deep place, that benevolence and justice and veracity are the basis of all good character in God and in man, and thus also in the God man.
8725_294551_000017_000004	And those three foundation stones of our Lord's character settled deeper and grew stronger to bear and to suffer as He went on practising acts and speaking words of justice, goodness, and truth.	And those three foundation stones of our Lord's character settled deeper and grew stronger to bear and to suffer as He went on practising acts and speaking words of justice, goodness, and truth.
8725_294551_000017_000007	His forgiveness of injuries, and thus His splendid benevolence, had not yet come to its climax and crown till He said on the cross, 'Father, forgive them'.	His forgiveness of injuries, and thus His splendid benevolence, had not yet come to its climax and crown till He said on the cross, 'Father, forgive them'.
8725_294551_000017_000008	And, as He was, so are we in this world.	And, as He was, so are we in this world.
8725_294551_000017_000009	This world's evil and ill-desert made it but the better arena and theatre for the development and the display of His moral character; and the same instruments that fashioned Him into the perfect and express image He was and is, are still, happily, in full operation. Take that divinest and noblest of all instruments for the carving out and refining of moral character, the will of God.	This world's evil and ill desert made it but the better arena and theatre for the development and the display of His moral character; and the same instruments that fashioned Him into the perfect and express image He was and is, are still, happily, in full operation. Take that divinest and noblest of all instruments for the carving out and refining of moral character, the will of God.
8725_294551_000018_000000	It is not in the great tragedies of life only that character is tested and strengthened and consolidated.	It is not in the great tragedies of life only that character is tested and strengthened and consolidated.
8725_294551_000018_000003	And so of all the other forms and features of moral character; so of humility and meekness, so of purity and temperance, so of magnanimity and munificence, so of all self-suppression and self-extinction, and all corresponding exalting and magnifying and benefiting of other men.	And so of all the other forms and features of moral character; so of humility and meekness, so of purity and temperance, so of magnanimity and munificence, so of all self suppression and self extinction, and all corresponding exalting and magnifying and benefiting of other men.
8725_294551_000018_000004	Whatever other passing uses this present world, so full of trial and temptation and suffering, may have, this surely is the supreme and final use of it--to be a furnace, a graving-house, a refining place for human character.	Whatever other passing uses this present world, so full of trial and temptation and suffering, may have, this surely is the supreme and final use of it-to be a furnace, a graving house, a refining place for human character.
8725_294551_000018_000008	You do not put a pearl under the potter's wheel; you do not cast clay into a refining fire.	You do not put a pearl under the potter's wheel; you do not cast clay into a refining fire.
8725_294551_000018_000009	Abraham's character was not like David's, nor David's like Christ's, nor Christ's like Paul's.	Abraham's character was not like David's, nor David's like Christ's, nor Christ's like Paul's.
8725_294551_000018_000010	As Butler says, there is 'a providential disposition of things' around every one of us, and it is as exactly suited to the flaws and excrescences, the faults and corruptions of our character as if Providence had had no other life to make a disposition of things for but one, and that one our own.	As Butler says, there is 'a providential disposition of things' around every one of us, and it is as exactly suited to the flaws and excrescences, the faults and corruptions of our character as if Providence had had no other life to make a disposition of things for but one, and that one our own.
8725_294551_000018_000011	Have you discovered that in your life, or any measure of that?	Have you discovered that in your life, or any measure of that?
8725_294551_000018_000012	Have you acknowledged to God that you have at last discovered the true key of your life?	Have you acknowledged to God that you have at last discovered the true key of your life?
8725_294551_000018_000013	Have you given Him the satisfaction to know that He is not making His providential dispositions around a stock or a stone, but that He has one under His hand who understands His hand, and responds to it, and rises up to meet and salute it?	Have you given Him the satisfaction to know that He is not making His providential dispositions around a stock or a stone, but that He has one under His hand who understands His hand, and responds to it, and rises up to meet and salute it?
8725_294551_000019_000000	And we cease to wonder so much at the care God takes of human character, and the cost He lays out upon it, when we think that it is the only work of His hands that shall last for ever.	And we cease to wonder so much at the care God takes of human character, and the cost He lays out upon it, when we think that it is the only work of His hands that shall last for ever.
8725_294551_000019_000001	It is fit, surely, that the ephemeral should minister to the eternal, and time to eternity, and all else in this world to the only thing in this world that shall endure and survive this world.	It is fit, surely, that the ephemeral should minister to the eternal, and time to eternity, and all else in this world to the only thing in this world that shall endure and survive this world.
8725_294551_000019_000002	All else we possess and pursue shall fade and perish, our moral character shall alone survive.	All else we possess and pursue shall fade and perish, our moral character shall alone survive.
8725_294551_000019_000003	Riches, honours, possessions, pleasures of all kinds: death, with one stroke of his desolating hand, shall one day strip us bare to a winding-sheet and a coffin of all the things we are so mad to possess.	Riches, honours, possessions, pleasures of all kinds: death, with one stroke of his desolating hand, shall one day strip us bare to a winding sheet and a coffin of all the things we are so mad to possess.
8725_294551_000019_000004	But the last enemy, with all his malice and all his resistless power, cannot touch our moral character--unless it be in some way utterly mysterious to us that he is made under God to refine and perfect it.	But the last enemy, with all his malice and all his resistless power, cannot touch our moral character-unless it be in some way utterly mysterious to us that he is made under God to refine and perfect it.
8725_294551_000019_000005	The Express Image carried up to His Father's House, not only the divine life He had brought hither with Him when He came to obey and submit and suffer among us; He carried back more than He brought, for He carried back a human heart, a human life, a human character, which was and is a new wonder in heaven.	The Express Image carried up to His Father's House, not only the divine life He had brought hither with Him when He came to obey and submit and suffer among us; He carried back more than He brought, for He carried back a human heart, a human life, a human character, which was and is a new wonder in heaven.
8725_294551_000019_000006	He carried up to heaven all the love to God and angels and men He had learned and practised on earth, with all the earthly fruits of it.	He carried up to heaven all the love to God and angels and men He had learned and practised on earth, with all the earthly fruits of it.
8725_294551_000019_000007	He carried back His humility, His meekness, His humanity, His approachableness, and His sympathy.	He carried back His humility, His meekness, His humanity, His approachableness, and His sympathy.
8725_294551_000019_000008	And we see to our salvation some of the uses to which those parts of His moral character are at this moment being put in His Father's House; and what we see not now of all the ends and uses and employments of our Lord's glorified humanity we shall, mayhap, see hereafter.	And we see to our salvation some of the uses to which those parts of His moral character are at this moment being put in His Father's House; and what we see not now of all the ends and uses and employments of our Lord's glorified humanity we shall, mayhap, see hereafter.
8725_294551_000019_000009	And we also shall carry our moral character to heaven; it is the only thing we have worth carrying so far.	And we also shall carry our moral character to heaven; it is the only thing we have worth carrying so far.
8725_294551_000019_000010	But, then, moral character is well worth achieving here and then carrying there, for it is nothing else and nothing less than the divine nature itself; it is the divine nature incarnate, incorporate, and made manifest in man.	But, then, moral character is well worth achieving here and then carrying there, for it is nothing else and nothing less than the divine nature itself; it is the divine nature incarnate, incorporate, and made manifest in man.
