3368_170951_000000_000000	Adeimantus thought that the enquiry would be of great service to us.	Adeimantus thought that the enquiry would be of great service to us.	false	6.15	10.38	22.865196
3368_170951_000021_000000	And shall we just carelessly allow children to hear any casual tales which may be devised by casual persons, and to receive into their minds ideas for the most part the very opposite of those which we should wish them to have when they are grown up?	And shall we just carelessly allow children to hear any casual tales which may be devised by casual persons, and to receive into their minds ideas for the most part the very opposite of those which we should wish them to have when they are grown up?	true	90.17	102.37	22.546282
3368_170951_000022_000000	We cannot.	We cannot.	true	102.77	103.75	23.441063
3368_170951_000023_000000	Then the first thing will be to establish a censorship of the writers of fiction, and let the censors receive any tale of fiction which is good, and reject the bad; and we will desire mothers and nurses to tell their children the authorised ones only.	Then the first thing will be to establish a censorship of the writers of fiction, and let the censors receive any tale of fiction which is good, and reject the bad; and we will desire mothers and nurses to tell their children the authorised ones only.	true	104.18	117.34	22.719519
3368_170951_000023_000001	Let them fashion the mind with such tales, even more fondly than they mould the body with their hands; but most of those which are now in use must be discarded.	Let them fashion the mind with such tales, even more fondly than they mould the body with their hands; but most of those which are now in use must be discarded.	false	117.53	126.57	22.979887
3368_170951_000024_000000	Of what tales are you speaking?	Of what tales are you speaking?	false	126.57	128.175	21.02136
3368_170951_000024_000001	he said.	he said.	true	128.175	128.92	29.500372
3368_170951_000025_000000	You may find a model of the lesser in the greater, I said; for they are necessarily of the same type, and there is the same spirit in both of them.	You may find a model of the lesser in the greater, I said; for they are necessarily of the same type, and there is the same spirit in both of them.	true	129.53	136.69	20.006395
3368_170951_000026_000000	Very likely, he replied; but I do not as yet know what you would term the greater.	Very likely, he replied; but I do not as yet know what you would term the greater.	true	137.03	141.52	24.935198
3368_170951_000027_000000	Those, I said, which are narrated by Homer and Hesiod, and the rest of the poets, who have ever been the great story-tellers of mankind.	Those, I said, which are narrated by Homer and Hesiod, and the rest of the poets, who have ever been the great story tellers of mankind.	false	141.89	149.5	20.722847
3368_170951_000028_000000	But which stories do you mean, he said; and what fault do you find with them?	But which stories do you mean, he said; and what fault do you find with them?	false	150.08	153.96	23.592318
3368_170951_000029_000000	A fault which is most serious, I said; the fault of telling a lie, and, what is more, a bad lie.	A fault which is most serious, I said; the fault of telling a lie, and, what is more, a bad lie.	true	153.96	160.09	26.597233
3368_170951_000030_000000	But when is this fault committed?	But when is this fault committed?	true	160.94	162.64	24.94756
3368_170951_000031_000000	Whenever an erroneous representation is made of the nature of gods and heroes,--as when a painter paints a portrait not having the shadow of a likeness to the original.	Whenever an erroneous representation is made of the nature of gods and heroes,--as when a painter paints a portrait not having the shadow of a likeness to the original.	true	163.16	171.67	23.573465
3368_170951_000032_000000	Yes, he said, that sort of thing is certainly very blameable; but what are the stories which you mean?	Yes, he said, that sort of thing is certainly very blameable; but what are the stories which you mean?	true	172.1	177.67	23.616966
3368_170951_000033_000000	First of all, I said, there was that greatest of all lies in high places, which the poet told about Uranus, and which was a bad lie too,--I mean what Hesiod says that Uranus did, and how Cronus retaliated on him.	First of all, I said, there was that greatest of all lies in high places, which the poet told about Uranus, and which was a bad lie too,--I mean what Hesiod says that Uranus did, and how Cronus retaliated on him.	true	178.16	190.87	23.907207
3368_170951_000033_000001	The doings of Cronus, and the sufferings which in turn his son inflicted upon him, even if they were true, ought certainly not to be lightly told to young and thoughtless persons; if possible, they had better be buried in silence.	The doings of Cronus, and the sufferings which in turn his son inflicted upon him, even if they were true, ought certainly not to be lightly told to young and thoughtless persons; if possible, they had better be buried in silence.	false	191.12	203.17	24.338747
3368_170951_000033_000002	But if there is an absolute necessity for their mention, a chosen few might hear them in a mystery, and they should sacrifice not a common (Eleusinian) pig, but some huge and unprocurable victim; and then the number of the hearers will be very few indeed.	But if there is an absolute necessity for their mention, a chosen few might hear them in a mystery, and they should sacrifice not a common (Eleusinian) pig, but some huge and unprocurable victim; and then the number of the hearers will be very few indeed.	false	203.54	217.23	23.444414
3368_170951_000034_000000	Why, yes, said he, those stories are extremely objectionable.	Why, yes, said he, those stories are extremely objectionable.	false	217.23	221.17	23.338278
3368_170951_000035_000000	Yes, Adeimantus, they are stories not to be repeated in our State; the young man should not be told that in committing the worst of crimes he is far from doing anything outrageous; and that even if he chastises his father when he does wrong, in whatever manner, he will only be following the example of the first and greatest among the gods.	Yes, Adeimantus, they are stories not to be repeated in our State; the young man should not be told that in committing the worst of crimes he is far from doing anything outrageous; and that even if he chastises his father when he does wrong, in whatever manner, he will only be following the example of the first and greatest among the gods.	false	221.18	239.37	22.73079
3368_170951_000036_000000	I entirely agree with you, he said; in my opinion those stories are quite unfit to be repeated.	I entirely agree with you, he said; in my opinion those stories are quite unfit to be repeated.	false	239.37	244.78	23.85745
3368_170951_000037_000000	Neither, if we mean our future guardians to regard the habit of quarrelling among themselves as of all things the basest, should any word be said to them of the wars in heaven, and of the plots and fightings of the gods against one another, for they are not true.	Neither, if we mean our future guardians to regard the habit of quarrelling among themselves as of all things the basest, should any word be said to them of the wars in heaven, and of the plots and fightings of the gods against one another, for they are not true.	false	245.03	257.895	21.974964
3368_170951_000037_000001	No, we shall never mention the battles of the giants, or let them be embroidered on garments; and we shall be silent about the innumerable other quarrels of gods and heroes with their friends and relatives. If they would only believe us we would tell them that quarrelling is unholy, and that never up to this time has there been any quarrel between citizens; this is what old men and old women should begin by telling children; and when they grow up, the poets also should be told to compose for them in a similar spirit.	No, we shall never mention the battles of the giants, or let them be embroidered on garments; and we shall be silent about the innumerable other quarrels of gods and heroes with their friends and relatives. If they would only believe us we would tell them that quarrelling is unholy, and that never up to this time has there been any quarrel between citizens; this is what old men and old women should begin by telling children; and when they grow up, the poets also should be told to compose for them in a similar spirit.	false	257.895	284.65	22.610447
3368_170951_000037_000002	But the narrative of Hephaestus binding Here his mother, or how on another occasion Zeus sent him flying for taking her part when she was being beaten, and all the battles of the gods in Homer--these tales must not be admitted into our State, whether they are supposed to have an allegorical meaning or not.	But the narrative of Hephaestus binding Here his mother, or how on another occasion Zeus sent him flying for taking her part when she was being beaten, and all the battles of the gods in Homer-these tales must not be admitted into our State, whether they are supposed to have an allegorical meaning or not.	true	285.38	302.26	24.14101
3368_170951_000037_000003	For a young person cannot judge what is allegorical and what is literal; anything that he receives into his mind at that age is likely to become indelible and unalterable; and therefore it is most important that the tales which the young first hear should be models of virtuous thoughts.	For a young person cannot judge what is allegorical and what is literal; anything that he receives into his mind at that age is likely to become indelible and unalterable; and therefore it is most important that the tales which the young first hear should be models of virtuous thoughts.	true	302.84	317.5	21.989208
3368_170951_000038_000000	There you are right, he replied; but if any one asks where are such models to be found and of what tales are you speaking--how shall we answer him?	There you are right, he replied; but if any one asks where are such models to be found and of what tales are you speaking-how shall we answer him?	true	318.35	325.725	23.98568
3368_170951_000039_000000	I said to him, You and I, Adeimantus, at this moment are not poets, but founders of a State: now the founders of a State ought to know the general forms in which poets should cast their tales, and the limits which must be observed by them, but to make the tales is not their business.	I said to him, You and I, Adeimantus, at this moment are not poets, but founders of a State: now the founders of a State ought to know the general forms in which poets should cast their tales, and the limits which must be observed by them, but to make the tales is not their business.	true	325.725	341.58	25.068787
3368_170951_000040_000000	Very true, he said; but what are these forms of theology which you mean?	Very true, he said; but what are these forms of theology which you mean?	true	341.58	345.73	22.859833
3368_170951_000041_000000	Something of this kind, I replied:--God is always to be represented as he truly is, whatever be the sort of poetry, epic, lyric or tragic, in which the representation is given.	Something of this kind, I replied:--God is always to be represented as he truly is, whatever be the sort of poetry, epic, lyric or tragic, in which the representation is given.	true	346.25	357.07	25.12535
3368_170951_000042_000000	Right.	Right.	true	357.14	357.85	25.234322
3368_170951_000043_000000	And is he not truly good? and must he not be represented as such?	And is he not truly good? and must he not be represented as such?	true	357.95	362.05	23.084055
3368_170951_000044_000000	Certainly.	Certainly.	true	362.15	363.01	25.81933
3368_170951_000045_000000	And no good thing is hurtful?	And no good thing is hurtful?	true	363.08	364.815	23.03181
3368_170951_000046_000000	No, indeed.	No, indeed.	true	364.815	365.92	22.115671
3368_170951_000047_000000	And that which is not hurtful hurts not?	And that which is not hurtful hurts not?	true	365.99	368.32	23.37338
3368_170951_000048_000000	Certainly not.	Certainly not.	true	368.6	369.73	24.508482
3368_170951_000049_000000	And that which hurts not does no evil?	And that which hurts not does no evil?	true	369.77	372.045	25.758099
3368_170951_000050_000000	No.	no	true	372.045	372.64	24.30431
3368_170951_000051_000000	And can that which does no evil be a cause of evil?	And can that which does no evil be a cause of evil?	true	372.92	375.97	24.027174
3368_170951_000052_000000	Impossible.	Impossible.	true	376.01	377.07	25.167654
3368_170951_000053_000000	And the good is advantageous?	And the good is advantageous?	true	377.07	378.555	18.604715
3368_170951_000054_000000	Yes.	Yes.	true	378.555	379.18	23.640894
3368_170951_000055_000000	And therefore the cause of well-being?	And therefore the cause of well-being?	true	379.46	381.46	22.742035
3368_170951_000056_000000	Yes.	Yes.	true	381.5	382.24	22.530252
3368_170951_000057_000000	It follows therefore that the good is not the cause of all things, but of the good only?	It follows therefore that the good is not the cause of all things, but of the good only?	true	382.64	387.78	22.728962
3368_170951_000058_000000	Assuredly.	Assuredly.	true	387.78	388.75	24.029766
3368_170951_000059_000000	Then God, if he be good, is not the author of all things, as the many assert, but he is the cause of a few things only, and not of most things that occur to men.	Then God, if he be good, is not the author of all things, as the many assert, but he is the cause of a few things only, and not of most things that occur to men.	true	389.15	399.16	23.865631
3368_170951_000059_000001	For few are the goods of human life, and many are the evils, and the good is to be attributed to God alone; of the evils the causes are to be sought elsewhere, and not in him.	For few are the goods of human life, and many are the evils, and the good is to be attributed to God alone; of the evils the causes are to be sought elsewhere, and not in him.	true	399.2	409.27	21.747614
3368_170951_000060_000000	That appears to me to be most true, he said.	That appears to me to be most true, he said.	true	409.7	412.42	23.134296
3368_170951_000061_000000	Then we must not listen to Homer or to any other poet who is guilty of the folly of saying that two casks	Then we must not listen to Homer or to any other poet who is guilty of the folly of saying that two casks	false	412.97	418.45	22.364847
3368_170951_000062_000000	'Lie at the threshold of Zeus, full of lots, one of good, the other of evil lots,'	'Lie at the threshold of Zeus, full of lots, one of good, the other of evil lots,'	true	418.61	423.79	23.450737
3368_170951_000063_000000	and that he to whom Zeus gives a mixture of the two	and that he to whom Zeus gives a mixture of the two	false	424.07	426.72	23.01402
3368_170951_000064_000000	'Sometimes meets with evil fortune, at other times with good;'	'Sometimes meets with evil fortune, at other times with good;'	true	426.72	430.3	23.99606
3368_170951_000065_000000	but that he to whom is given the cup of unmingled ill,	but that he to whom is given the cup of unmingled ill,	true	430.58	433.68	26.226223
3368_170951_000066_000000	'Him wild hunger drives o'er the beauteous earth.'	'Him wild hunger drives o'er the beauteous earth.'	true	433.68	436.83	20.67628
3368_170951_000067_000000	And again--	And again-	true	436.83	437.67	25.42043
3368_170951_000068_000000	'Zeus, who is the dispenser of good and evil to us.'	'Zeus, who is the dispenser of good and evil to us.'	true	437.67	440.92	24.085958
3368_170951_000069_000000	And if any one asserts that the violation of oaths and treaties, which was really the work of Pandarus, was brought about by Athene and Zeus, or that the strife and contention of the gods was instigated by Themis and Zeus, he shall not have our approval; neither will we allow our young men to hear the words of Aeschylus, that	And if any one asserts that the violation of oaths and treaties, which was really the work of Pandarus, was brought about by Athene and Zeus, or that the strife and contention of the gods was instigated by Themis and Zeus, he shall not have our approval; neither will we allow our young men to hear the words of Aeschylus, that	false	441.56	459.9	21.527826
3368_170951_000070_000000	'God plants guilt among men when he desires utterly to destroy a house.'	'God plants guilt among men when he desires utterly to destroy a house.'	true	459.9	464.26	22.95682
3368_170951_000071_000000	And if a poet writes of the sufferings of Niobe--the subject of the tragedy in which these iambic verses occur--or of the house of Pelops, or of the Trojan war or on any similar theme, either we must not permit him to say that these are the works of God, or if they are of God, he must devise some explanation of them such as we are seeking; he must say that God did what was just and right, and they were the better for being punished; but that those who are punished are miserable, and that God is the author of their misery--the poet is not to be permitted to say; though he may say that the wicked are miserable because they require to be punished, and are benefited by receiving punishment from God; but that God being good is the author of evil to any one is to be strenuously denied, and not to be said or sung or heard in verse or prose by any one whether old or young in any well-ordered commonwealth. Such a fiction is suicidal, ruinous, impious.	And if a poet writes of the sufferings of Niobe-the subject of the tragedy in which these iambic verses occur-or of the house of Pelops, or of the Trojan war or on any similar theme, either we must not permit him to say that these are the works of God, or if they are of God, he must devise some explanation of them such as we are seeking; he must say that God did what was just and right, and they were the better for being punished; but that those who are punished are miserable, and that God is the author of their misery-the poet is not to be permitted to say; though he may say that the wicked are miserable because they require to be punished, and are benefited by receiving punishment from God; but that God being good is the author of evil to any one is to be strenuously denied, and not to be said or sung or heard in verse or prose by any one whether old or young in any well ordered commonwealth. Such a fiction is suicidal, ruinous, impious.	false	464.66	519.88	23.225527
3368_170951_000072_000000	I agree with you, he replied, and am ready to give my assent to the law.	I agree with you, he replied, and am ready to give my assent to the law.	true	520.49	524.86	24.187784
3368_170951_000073_000000	Let this then be one of our rules and principles concerning the gods, to which our poets and reciters will be expected to conform,--that God is not the author of all things, but of good only.	Let this then be one of our rules and principles concerning the gods, to which our poets and reciters will be expected to conform,--that God is not the author of all things, but of good only.	true	525.38	536.08	23.840073
3368_170951_000074_000000	That will do, he said.	That will do, he said.	true	536.42	537.91	24.57562
3368_170951_000075_000000	And what do you think of a second principle?	And what do you think of a second principle?	true	538.58	540.4	20.894215
3368_170951_000075_000001	Shall I ask you whether God is a magician, and of a nature to appear insidiously now in one shape, and now in another--sometimes himself changing and passing into many forms, sometimes deceiving us with the semblance of such transformations; or is he one and the same immutably fixed in his own proper image?	Shall I ask you whether God is a magician, and of a nature to appear insidiously now in one shape, and now in another-sometimes himself changing and passing into many forms, sometimes deceiving us with the semblance of such transformations; or is he one and the same immutably fixed in his own proper image?	false	540.86	558.49	21.803322
3368_170951_000076_000000	I cannot answer you, he said, without more thought.	I cannot answer you, he said, without more thought.	true	559.28	562.425	23.466612
3368_170951_000077_000000	Well, I said; but if we suppose a change in anything, that change must be effected either by the thing itself, or by some other thing?	Well, I said; but if we suppose a change in anything, that change must be effected either by the thing itself, or by some other thing?	true	562.425	570.67	23.04536
3368_170951_000078_000000	Most certainly.	Most certainly.	true	570.83	571.87	24.882143
3368_170951_000079_000000	And things which are at their best are also least liable to be altered or discomposed; for example, when healthiest and strongest, the human frame is least liable to be affected by meats and drinks, and the plant which is in the fullest vigour also suffers least from winds or the heat of the sun or any similar causes.	And things which are at their best are also least liable to be altered or discomposed; for example, when healthiest and strongest, the human frame is least liable to be affected by meats and drinks, and the plant which is in the fullest vigour also suffers least from winds or the heat of the sun or any similar causes.	true	572.21	589.69	23.133522
3368_170951_000080_000000	Of course.	Of course.	true	589.76	590.65	22.679947
3368_170951_000081_000000	And will not the bravest and wisest soul be least confused or deranged by any external influence?	And will not the bravest and wisest soul be least confused or deranged by any external influence?	true	590.75	596.83	22
3368_170951_000082_000000	True.	True.	true	597.44	598.18	28.652805
3368_170951_000083_000000	And the same principle, as I should suppose, applies to all composite things--furniture, houses, garments: when good and well made, they are least altered by time and circumstances.	And the same principle, as I should suppose, applies to all composite things-furniture, houses, garments: when good and well made, they are least altered by time and circumstances.	true	598.85	609.855	24.966475
3368_170951_000084_000000	Very true.	Very true.	true	609.855	610.78	22.968159
3368_170951_000085_000000	Then everything which is good, whether made by art or nature, or both, is least liable to suffer change from without?	Then everything which is good, whether made by art or nature, or both, is least liable to suffer change from without?	true	610.97	617.74	23.799006
3368_170951_000086_000000	True.	True.	true	617.99	618.82	21.829674
3368_170951_000087_000000	But surely God and the things of God are in every way perfect?	But surely God and the things of God are in every way perfect?	true	619.04	621.99	23.387938
3368_170951_000088_000000	Of course they are.	Of course they are.	true	621.99	622.95	25.634857
3368_170951_000089_000000	Then he can hardly be compelled by external influence to take many shapes?	Then he can hardly be compelled by external influence to take many shapes?	false	622.95	627.54	20.941586
3368_170951_000090_000000	He cannot.	He cannot.	true	627.54	628.42	27.892149
3368_170951_000091_000000	But may he not change and transform himself?	But may he not change and transform himself?	true	628.88	631.45	22.906107
3368_170951_000092_000000	Clearly, he said, that must be the case if he is changed at all.	Clearly, he said, that must be the case if he is changed at all.	true	631.58	635.29	24.80708
3368_170951_000093_000000	And will he then change himself for the better and fairer, or for the worse and more unsightly?	And will he then change himself for the better and fairer, or for the worse and more unsightly?	true	636.11	640.9	21.295639
3368_170951_000094_000000	If he change at all he can only change for the worse, for we cannot suppose him to be deficient either in virtue or beauty.	If he change at all he can only change for the worse, for we cannot suppose him to be deficient either in virtue or beauty.	false	641.87	648.34	21.563187
3368_170951_000095_000000	Very true, Adeimantus; but then, would any one, whether God or man, desire to make himself worse?	Very true, Adeimantus; but then, would any one, whether God or man, desire to make himself worse?	true	648.65	655.45	24.986961
3368_170951_000096_000000	Impossible.	Impossible.	true	655.82	656.89	23.252213
3368_170951_000097_000000	Then it is impossible that God should ever be willing to change; being, as is supposed, the fairest and best that is conceivable, every God remains absolutely and for ever in his own form.	Then it is impossible that God should ever be willing to change; being, as is supposed, the fairest and best that is conceivable, every God remains absolutely and for ever in his own form.	true	657.41	668.95	22.331663
3368_170951_000098_000000	That necessarily follows, he said, in my judgment.	That necessarily follows, he said, in my judgment.	true	669.38	672.46	20.3298
3368_170951_000099_000000	Then, I said, my dear friend, let none of the poets tell us that	Then, I said, my dear friend, let none of the poets tell us that	false	673.13	676.92	23.472551
3368_170951_000100_000000	'The gods, taking the disguise of strangers from other lands, walk up and down cities in all sorts of forms;'	'The gods, taking the disguise of strangers from other lands, walk up and down cities in all sorts of forms;'	true	676.92	683.14	23.489758
3368_170951_000101_000000	and let no one slander Proteus and Thetis, neither let any one, either in tragedy or in any other kind of poetry, introduce Here disguised in the likeness of a priestess asking an alms	and let no one slander Proteus and Thetis, neither let any one, either in tragedy or in any other kind of poetry, introduce Here disguised in the likeness of a priestess asking an alms	true	683.45	694.32	23.448702
3368_170951_000102_000000	'For the life-giving daughters of Inachus the river of Argos;'	'For the life giving daughters of Inachus the river of Argos;'	false	694.32	698.2	22.388231
3368_170951_000103_000000	--let us have no more lies of that sort.	--let us have no more lies of that sort.	true	698.66	700.99	22.249144
3368_170951_000103_000001	Neither must we have mothers under the influence of the poets scaring their children with a bad version of these myths--telling how certain gods, as they say, 'Go about by night in the likeness of so many strangers and in divers forms;' but let them take heed lest they make cowards of their children, and at the same time speak blasphemy against the gods.	Neither must we have mothers under the influence of the poets scaring their children with a bad version of these myths-telling how certain gods, as they say, 'Go about by night in the likeness of so many strangers and in divers forms;' but let them take heed lest they make cowards of their children, and at the same time speak blasphemy against the gods.	false	701.63	720.82	23.269037
3368_170951_000104_000000	Heaven forbid, he said.	Heaven forbid, he said.	true	721.04	722.68	23.886154
3368_170951_000105_000000	But although the gods are themselves unchangeable, still by witchcraft and deception they may make us think that they appear in various forms?	But although the gods are themselves unchangeable, still by witchcraft and deception they may make us think that they appear in various forms?	false	723.08	730.39	24.012554
3368_170951_000106_000000	Perhaps, he replied.	Perhaps, he replied.	true	730.52	731.89	23.666786
3368_170951_000107_000000	Well, but can you imagine that God will be willing to lie, whether in word or deed, or to put forth a phantom of himself?	Well, but can you imagine that God will be willing to lie, whether in word or deed, or to put forth a phantom of himself?	true	732.26	739.42	21.947212
3368_170951_000108_000000	I cannot say, he replied.	I cannot say, he replied.	true	739.85	741.61	22.754974
3368_170951_000109_000000	Do you not know, I said, that the true lie, if such an expression may be allowed, is hated of gods and men?	Do you not know, I said, that the true lie, if such an expression may be allowed, is hated of gods and men?	false	742.13	748.93	23.151041
3368_170951_000110_000000	What do you mean?	What do you mean?	true	749.75	750.6	25.147114
3368_170951_000110_000001	he said.	he said.	true	750.6	751.33	22.321777
3368_170951_000111_000000	I mean that no one is willingly deceived in that which is the truest and highest part of himself, or about the truest and highest matters; there, above all, he is most afraid of a lie having possession of him.	I mean that no one is willingly deceived in that which is the truest and highest part of himself, or about the truest and highest matters; there, above all, he is most afraid of a lie having possession of him.	true	751.91	763.99	21.948338
3368_170951_000112_000000	Still, he said, I do not comprehend you.	Still, he said, I do not comprehend you.	true	764.39	767.59	22.948631
3368_170951_000113_000000	The reason is, I replied, that you attribute some profound meaning to my words; but I am only saying that deception, or being deceived or uninformed about the highest realities in the highest part of themselves, which is the soul, and in that part of them to have and to hold the lie, is what mankind least like;--that, I say, is what they utterly detest.	The reason is, I replied, that you attribute some profound meaning to my words; but I am only saying that deception, or being deceived or uninformed about the highest realities in the highest part of themselves, which is the soul, and in that part of them to have and to hold the lie, is what mankind least like;--that, I say, is what they utterly detest.	false	767.78	788.05	22.578382
3368_170951_000114_000000	There is nothing more hateful to them.	There is nothing more hateful to them.	true	788.45	790.66	21.117285
3368_170951_000115_000000	And, as I was just now remarking, this ignorance in the soul of him who is deceived may be called the true lie; for the lie in words is only a kind of imitation and shadowy image of a previous affection of the soul, not pure unadulterated falsehood.	And, as I was just now remarking, this ignorance in the soul of him who is deceived may be called the true lie; for the lie in words is only a kind of imitation and shadowy image of a previous affection of the soul, not pure unadulterated falsehood.	false	791.15	806.85	23.673822
3368_170951_000115_000001	Am I not right?	Am I not right?	true	806.85	808.06	25.8049
3368_170951_000116_000000	Perfectly right.	Perfectly right.	true	808.25	809.41	22.669031
3368_170951_000117_000000	The true lie is hated not only by the gods, but also by men?	The true lie is hated not only by the gods, but also by men?	true	809.84	813.61	21.498138
3368_170951_000118_000000	Yes.	Yes.	true	814.01	814.78	23.26155
3368_170951_000119_000000	Whereas the lie in words is in certain cases useful and not hateful; in dealing with enemies--that would be an instance; or again, when those whom we call our friends in a fit of madness or illusion are going to do some harm, then it is useful and is a sort of medicine or preventive; also in the tales of mythology, of which we were just now speaking--because we do not know the truth about ancient times, we make falsehood as much like truth as we can, and so turn it to account.	Whereas the lie in words is in certain cases useful and not hateful; in dealing with enemies-that would be an instance; or again, when those whom we call our friends in a fit of madness or illusion are going to do some harm, then it is useful and is a sort of medicine or preventive; also in the tales of mythology, of which we were just now speaking-because we do not know the truth about ancient times, we make falsehood as much like truth as we can, and so turn it to account.	true	815.06	842.1	22.022102
3368_170951_000120_000000	Very true, he said.	Very true, he said.	true	842.1	843.31	22.500208
3368_170951_000121_000000	But can any of these reasons apply to God?	But can any of these reasons apply to God?	true	843.77	846.25	22.350315
3368_170951_000121_000001	Can we suppose that he is ignorant of antiquity, and therefore has recourse to invention?	Can we suppose that he is ignorant of antiquity, and therefore has recourse to invention?	true	846.35	851.08	22.457256
3368_170951_000122_000000	That would be ridiculous, he said.	That would be ridiculous, he said.	true	851.69	853.48	22.709372
3368_170951_000123_000000	Then the lying poet has no place in our idea of God?	Then the lying poet has no place in our idea of God?	true	853.88	857.08	24.056183
3368_170951_000124_000000	I should say not.	I should say not.	true	857.09	858.24	23.870913
3368_170951_000125_000000	Or perhaps he may tell a lie because he is afraid of enemies?	Or perhaps he may tell a lie because he is afraid of enemies?	false	858.24	861.7	22.524416
3368_170951_000126_000000	That is inconceivable.	That is inconceivable.	true	861.95	863.59	22.87728
3368_170951_000127_000000	But he may have friends who are senseless or mad?	But he may have friends who are senseless or mad?	true	864.05	866.71	20.337816
3368_170951_000128_000000	But no mad or senseless person can be a friend of God.	But no mad or senseless person can be a friend of God.	true	867.2	870.46	22.25107
3368_170951_000129_000000	Then no motive can be imagined why God should lie?	Then no motive can be imagined why God should lie?	true	870.92	874.03	20
3368_170951_000130_000000	None whatever.	None whatever.	true	874.43	875.53	23.519718
3368_170951_000131_000000	Then the superhuman and divine is absolutely incapable of falsehood?	Then the superhuman and divine is absolutely incapable of falsehood?	true	875.63	880.15	24.436735
3368_170951_000132_000000	Yes.	Yes.	true	880.49	881.92	22.408972
3368_170951_000133_000000	Then is God perfectly simple and true both in word and deed; he changes not; he deceives not, either by sign or word, by dream or waking vision.	Then is God perfectly simple and true both in word and deed; he changes not; he deceives not, either by sign or word, by dream or waking vision.	true	881.93	891.19	23.4701
3368_170951_000134_000000	Your thoughts, he said, are the reflection of my own.	Your thoughts, he said, are the reflection of my own.	true	891.71	894.76	25.489885
3368_170951_000135_000000	You agree with me then, I said, that this is the second type or form in which we should write and speak about divine things.	You agree with me then, I said, that this is the second type or form in which we should write and speak about divine things.	true	895.01	901.21	24.274248
3368_170951_000135_000001	The gods are not magicians who transform themselves, neither do they deceive mankind in any way.	The gods are not magicians who transform themselves, neither do they deceive mankind in any way.	true	901.37	907.18	20.565248
3368_170951_000136_000000	I grant that.	I grant that.	true	907.43	908.53	25.256763
3368_170951_000137_000000	Then, although we are admirers of Homer, we do not admire the lying dream which Zeus sends to Agamemnon; neither will we praise the verses of Aeschylus in which Thetis says that Apollo at her nuptials	Then, although we are admirers of Homer, we do not admire the lying dream which Zeus sends to Agamemnon; neither will we praise the verses of Aeschylus in which Thetis says that Apollo at her nuptials	false	908.69	921.06	21.329634
3368_170951_000138_000000	'Was celebrating in song her fair progeny whose days were to be long, and to know no sickness.	'Was celebrating in song her fair progeny whose days were to be long, and to know no sickness.	true	921.06	926.71	20.487185
