1914_133440_000000_000000	'Then came troublesome doubts.	'Then came troublesome doubts.	false	0	1.2	19.305193
1914_133440_000003_000007	Yet I could not face the mystery.	Yet I could not face the mystery.	true	114.02	116.29	22.889442
1914_133440_000003_000008	If only I had had a companion it would have been different.	If only I had had a companion it would have been different.	false	116.3	120.22	21.876709
1914_133440_000003_000009	But I was so horribly alone, and even to clamber down into the darkness of the well appalled me.	But I was so horribly alone, and even to clamber down into the darkness of the well appalled me.	true	120.23	127.78	18.792385
1914_133440_000003_000010	I don't know if you will understand my feeling, but I never felt quite safe at my back.	I don't know if you will understand my feeling, but I never felt quite safe at my back.	true	128.03	134.92	21.667698
1914_133440_000004_000000	'It was this restlessness, this insecurity, perhaps, that drove me further and further afield in my exploring expeditions.	'It was this restlessness, this insecurity, perhaps, that drove me further and further afield in my exploring expeditions.	true	135.62	143.68	17
1914_133440_000004_000001	Going to the south-westward towards the rising country that is now called Combe Wood, I observed far off, in the direction of nineteenth-century Banstead, a vast green structure, different in character from any I had hitherto seen.	Going to the south westward towards the rising country that is now called Combe Wood, I observed far off, in the direction of nineteenth century Banstead, a vast green structure, different in character from any I had hitherto seen.	true	143.84	159.82	19
1914_133440_000004_000002	It was larger than the largest of the palaces or ruins I knew, and the facade had an Oriental look: the face of it having the lustre, as well as the pale-green tint, a kind of bluish-green, of a certain type of Chinese porcelain.	It was larger than the largest of the palaces or ruins I knew, and the facade had an Oriental look: the face of it having the lustre, as well as the pale green tint, a kind of bluish green, of a certain type of Chinese porcelain.	true	159.95	175.36	18
1914_133440_000004_000003	This difference in aspect suggested a difference in use, and I was minded to push on and explore.	This difference in aspect suggested a difference in use, and I was minded to push on and explore.	false	175.58	182.655	16
1914_133440_000004_000004	But the day was growing late, and I had come upon the sight of the place after a long and tiring circuit; so I resolved to hold over the adventure for the following day, and I returned to the welcome and the caresses of little Weena.	But the day was growing late, and I had come upon the sight of the place after a long and tiring circuit; so I resolved to hold over the adventure for the following day, and I returned to the welcome and the caresses of little Weena.	false	182.655	196.63	16
1914_133440_000004_000005	But next morning I perceived clearly enough that my curiosity regarding the Palace of Green Porcelain was a piece of self-deception, to enable me to shirk, by another day, an experience I dreaded.	But next morning I perceived clearly enough that my curiosity regarding the Palace of Green Porcelain was a piece of self deception, to enable me to shirk, by another day, an experience I dreaded.	true	196.73	210.03	17
1914_133440_000004_000006	I resolved I would make the descent without further waste of time, and started out in the early morning towards a well near the ruins of granite and aluminium.	I resolved I would make the descent without further waste of time, and started out in the early morning towards a well near the ruins of granite and aluminium.	true	210.03	219.28	17
1914_133440_000005_000000	'Little Weena ran with me.	'Little Weena ran with me.	true	219.35	221.445	12
1914_133440_000005_000001	She danced beside me to the well, but when she saw me lean over the mouth and look downward, she seemed strangely disconcerted.	She danced beside me to the well, but when she saw me lean over the mouth and look downward, she seemed strangely disconcerted.	true	221.445	230.59	18.551554
1914_133440_000005_000002	"Good-bye, little Weena," I said, kissing her; and then putting her down, I began to feel over the parapet for the climbing hooks.	"Good bye, little Weena," I said, kissing her; and then putting her down, I began to feel over the parapet for the climbing hooks.	true	230.81	238.15	16
1914_133440_000005_000003	Rather hastily, I may as well confess, for I feared my courage might leak away!	Rather hastily, I may as well confess, for I feared my courage might leak away!	true	238.31	243.48	15
1914_133440_000005_000004	At first she watched me in amazement.	At first she watched me in amazement.	true	243.48	246.16	21.834627
1914_133440_000005_000005	Then she gave a most piteous cry, and running to me, she began to pull at me with her little hands.	Then she gave a most piteous cry, and running to me, she began to pull at me with her little hands.	false	246.2	251.865	15
1914_133440_000005_000006	I think her opposition nerved me rather to proceed.	I think her opposition nerved me rather to proceed.	false	251.865	255.39	18
1914_133440_000005_000007	I shook her off, perhaps a little roughly, and in another moment I was in the throat of the well.	I shook her off, perhaps a little roughly, and in another moment I was in the throat of the well.	true	255.39	260.35	16
1914_133440_000005_000008	I saw her agonized face over the parapet, and smiled to reassure her. Then I had to look down at the unstable hooks to which I clung.	I saw her agonized face over the parapet, and smiled to reassure her. Then I had to look down at the unstable hooks to which I clung.	true	260.36	270.28	17
1914_133440_000006_000000	'I had to clamber down a shaft of perhaps two hundred yards.	'I had to clamber down a shaft of perhaps two hundred yards.	true	270.32	274.125	17
1914_133440_000006_000001	The descent was effected by means of metallic bars projecting from the sides of the well, and these being adapted to the needs of a creature much smaller and lighter than myself, I was speedily cramped and fatigued by the descent.	The descent was effected by means of metallic bars projecting from the sides of the well, and these being adapted to the needs of a creature much smaller and lighter than myself, I was speedily cramped and fatigued by the descent.	true	274.125	286.72	16
1914_133440_000006_000002	And not simply fatigued!	And not simply fatigued!	true	286.73	288.915	21.998047
1914_133440_000006_000003	One of the bars bent suddenly under my weight, and almost swung me off into the blackness beneath.	One of the bars bent suddenly under my weight, and almost swung me off into the blackness beneath.	false	288.915	294.61	17
1914_133440_000006_000004	For a moment I hung by one hand, and after that experience I did not dare to rest again.	For a moment I hung by one hand, and after that experience I did not dare to rest again.	true	294.68	300	12
1914_133440_000006_000005	Though my arms and back were presently acutely painful, I went on clambering down the sheer descent with as quick a motion as possible.	Though my arms and back were presently acutely painful, I went on clambering down the sheer descent with as quick a motion as possible.	false	300	306.795	12
1914_133440_000006_000006	Glancing upward, I saw the aperture, a small blue disk, in which a star was visible, while little Weena's head showed as a round black projection.	Glancing upward, I saw the aperture, a small blue disk, in which a star was visible, while little Weena's head showed as a round black projection.	true	306.795	316.6	18
1914_133440_000006_000007	The thudding sound of a machine below grew louder and more oppressive. Everything save that little disk above was profoundly dark, and when I looked up again Weena had disappeared.	The thudding sound of a machine below grew louder and more oppressive. Everything save that little disk above was profoundly dark, and when I looked up again Weena had disappeared.	true	316.73	329.68	17
1914_133440_000007_000000	'I was in an agony of discomfort.	'I was in an agony of discomfort.	true	330.11	332.535	20
1914_133440_000007_000001	I had some thought of trying to go up the shaft again, and leave the Under-world alone.	I had some thought of trying to go up the shaft again, and leave the Under world alone.	true	332.535	336.855	12
1914_133440_000007_000002	But even while I turned this over in my mind I continued to descend.	But even while I turned this over in my mind I continued to descend.	true	336.855	341.325	13
1914_133440_000007_000003	At last, with intense relief, I saw dimly coming up, a foot to the right of me, a slender loophole in the wall.	At last, with intense relief, I saw dimly coming up, a foot to the right of me, a slender loophole in the wall.	true	341.325	348.015	14
1914_133440_000007_000004	Swinging myself in, I found it was the aperture of a narrow horizontal tunnel in which I could lie down and rest.	Swinging myself in, I found it was the aperture of a narrow horizontal tunnel in which I could lie down and rest.	true	348.015	355.24	17
1914_133440_000007_000005	It was not too soon.	It was not too soon.	true	355.28	356.88	13
1914_133440_000007_000006	My arms ached, my back was cramped, and I was trembling with the prolonged terror of a fall.	My arms ached, my back was cramped, and I was trembling with the prolonged terror of a fall.	true	356.88	363.135	15
1914_133440_000007_000007	Besides this, the unbroken darkness had had a distressing effect upon my eyes.	Besides this, the unbroken darkness had had a distressing effect upon my eyes.	true	363.135	368.565	14
1914_133440_000007_000008	The air was full of the throb and hum of machinery pumping air down the shaft.	The air was full of the throb and hum of machinery pumping air down the shaft.	true	368.565	373.75	17
1914_133440_000008_000000	'I do not know how long I lay.	'I do not know how long I lay.	true	373.91	376.155	13
1914_133440_000008_000001	I was roused by a soft hand touching my face.	I was roused by a soft hand touching my face.	true	376.155	379.24	15
1914_133440_000008_000002	Starting up in the darkness I snatched at my matches and, hastily striking one, I saw three stooping white creatures similar to the one I had seen above ground in the ruin, hastily retreating before the light.	Starting up in the darkness I snatched at my matches and, hastily striking one, I saw three stooping white creatures similar to the one I had seen above ground in the ruin, hastily retreating before the light.	false	379.28	390.01	13
1914_133440_000008_000003	Living, as they did, in what appeared to me impenetrable darkness, their eyes were abnormally large and sensitive, just as are the pupils of the abysmal fishes, and they reflected the light in the same way.	Living, as they did, in what appeared to me impenetrable darkness, their eyes were abnormally large and sensitive, just as are the pupils of the abysmal fishes, and they reflected the light in the same way.	true	390.05	402.345	16
1914_133440_000008_000004	I have no doubt they could see me in that rayless obscurity, and they did not seem to have any fear of me apart from the light.	I have no doubt they could see me in that rayless obscurity, and they did not seem to have any fear of me apart from the light.	true	402.345	408.94	12
1914_133440_000008_000005	But, so soon as I struck a match in order to see them, they fled incontinently, vanishing into dark gutters and tunnels, from which their eyes glared at me in the strangest fashion.	But, so soon as I struck a match in order to see them, they fled incontinently, vanishing into dark gutters and tunnels, from which their eyes glared at me in the strangest fashion.	true	408.95	419.71	14
1914_133440_000009_000000	'I tried to call to them, but the language they had was apparently different from that of the Over-world people; so that I was needs left to my own unaided efforts, and the thought of flight before exploration was even then in my mind.	'I tried to call to them, but the language they had was apparently different from that of the Over world people; so that I was needs left to my own unaided efforts, and the thought of flight before exploration was even then in my mind.	true	419.9	433.395	14
1914_133440_000009_000001	But I said to myself, "You are in for it now," and, feeling my way along the tunnel, I found the noise of machinery grow louder.	But I said to myself, "You are in for it now," and, feeling my way along the tunnel, I found the noise of machinery grow louder.	true	433.395	441.255	11
1914_133440_000009_000002	Presently the walls fell away from me, and I came to a large open space, and striking another match, saw that I had entered a vast arched cavern, which stretched into utter darkness beyond the range of my light.	Presently the walls fell away from me, and I came to a large open space, and striking another match, saw that I had entered a vast arched cavern, which stretched into utter darkness beyond the range of my light.	true	441.255	455.295	14
1914_133440_000009_000003	The view I had of it was as much as one could see in the burning of a match.	The view I had of it was as much as one could see in the burning of a match.	true	455.295	459.1	12
1914_133440_000010_000000	'Necessarily my memory is vague.	'Necessarily my memory is vague.	true	459.14	461.535	12
1914_133440_000010_000001	Great shapes like big machines rose out of the dimness, and cast grotesque black shadows, in which dim spectral Morlocks sheltered from the glare.	Great shapes like big machines rose out of the dimness, and cast grotesque black shadows, in which dim spectral Morlocks sheltered from the glare.	true	461.535	471.34	13
1914_133440_000010_000002	The place, by the by, was very stuffy and oppressive, and the faint halitus of freshly shed blood was in the air.	The place, by the by, was very stuffy and oppressive, and the faint halitus of freshly shed blood was in the air.	true	471.44	479.32	18
1914_133440_000010_000003	Some way down the central vista was a little table of white metal, laid with what seemed a meal.	Some way down the central vista was a little table of white metal, laid with what seemed a meal.	true	479.45	486.67	18
1914_133440_000010_000004	The Morlocks at any rate were carnivorous!	The Morlocks at any rate were carnivorous!	true	486.77	489.49	21
1914_133440_000010_000005	Even at the time, I remember wondering what large animal could have survived to furnish the red joint I saw.	Even at the time, I remember wondering what large animal could have survived to furnish the red joint I saw.	true	489.92	496.95	13
1914_133440_000010_000006	It was all very indistinct: the heavy smell, the big unmeaning shapes, the obscene figures lurking in the shadows, and only waiting for the darkness to come at me again!	It was all very indistinct: the heavy smell, the big unmeaning shapes, the obscene figures lurking in the shadows, and only waiting for the darkness to come at me again!	true	496.95	508.09	15
1914_133440_000010_000007	Then the match burned down, and stung my fingers, and fell, a wriggling red spot in the blackness.	Then the match burned down, and stung my fingers, and fell, a wriggling red spot in the blackness.	true	508.1	514	14
1914_133440_000011_000000	'I have thought since how particularly ill-equipped I was for such an experience.	'I have thought since how particularly ill equipped I was for such an experience.	true	514.91	519.79	16
1914_133440_000011_000001	When I had started with the Time Machine, I had started with the absurd assumption that the men of the Future would certainly be infinitely ahead of ourselves in all their appliances. I had come without arms, without medicine, without anything to smoke--at times I missed tobacco frightfully--even without enough matches.	When I had started with the Time Machine, I had started with the absurd assumption that the men of the Future would certainly be infinitely ahead of ourselves in all their appliances. I had come without arms, without medicine, without anything to smoke-at times I missed tobacco frightfully-even without enough matches.	true	519.8	538.99	16
1914_133440_000011_000002	If only I had thought of a Kodak!	If only I had thought of a Kodak!	true	539.12	542.085	21.849756
1914_133440_000011_000003	I could have flashed that glimpse of the Underworld in a second, and examined it at leisure. But, as it was, I stood there with only the weapons and the powers that Nature had endowed me with--hands, feet, and teeth; these, and four safety-matches that still remained to me.	I could have flashed that glimpse of the Underworld in a second, and examined it at leisure. But, as it was, I stood there with only the weapons and the powers that Nature had endowed me with-hands, feet, and teeth; these, and four safety matches that still remained to me.	true	542.085	559.09	16
1914_133440_000012_000000	'I was afraid to push my way in among all this machinery in the dark, and it was only with my last glimpse of light I discovered that my store of matches had run low.	'I was afraid to push my way in among all this machinery in the dark, and it was only with my last glimpse of light I discovered that my store of matches had run low.	true	559.46	569.71	14
1914_133440_000012_000001	It had never occurred to me until that moment that there was any need to economize them, and I had wasted almost half the box in astonishing the Upper-worlders, to whom fire was a novelty.	It had never occurred to me until that moment that there was any need to economize them, and I had wasted almost half the box in astonishing the Upper worlders, to whom fire was a novelty.	true	569.72	580.12	14
1914_133440_000012_000002	Now, as I say, I had four left, and while I stood in the dark, a hand touched mine, lank fingers came feeling over my face, and I was sensible of a peculiar unpleasant odour.	Now, as I say, I had four left, and while I stood in the dark, a hand touched mine, lank fingers came feeling over my face, and I was sensible of a peculiar unpleasant odour.	true	580.37	593.71	19.95639
1914_133440_000012_000003	I fancied I heard the breathing of a crowd of those dreadful little beings about me.	I fancied I heard the breathing of a crowd of those dreadful little beings about me.	true	593.84	598.42	14
1914_133440_000012_000004	I felt the box of matches in my hand being gently disengaged, and other hands behind me plucking at my clothing.	I felt the box of matches in my hand being gently disengaged, and other hands behind me plucking at my clothing.	true	598.49	605.68	14
1914_133440_000012_000005	The sense of these unseen creatures examining me was indescribably unpleasant.	The sense of these unseen creatures examining me was indescribably unpleasant.	true	606.23	612.135	15
1914_133440_000012_000006	The sudden realization of my ignorance of their ways of thinking and doing came home to me very vividly in the darkness.	The sudden realization of my ignorance of their ways of thinking and doing came home to me very vividly in the darkness.	true	612.135	620.16	13
1914_133440_000012_000007	I shouted at them as loudly as I could.	I shouted at them as loudly as I could.	false	620.16	622.485	16
1914_133440_000012_000008	They started away, and then I could feel them approaching me again.	They started away, and then I could feel them approaching me again.	false	622.485	626.61	17
1914_133440_000012_000009	They clutched at me more boldly, whispering odd sounds to each other.	They clutched at me more boldly, whispering odd sounds to each other.	true	626.61	630.66	11
1914_133440_000012_000010	I shivered violently, and shouted again--rather discordantly.	I shivered violently, and shouted again-rather discordantly.	false	630.66	633.915	12
1914_133440_000012_000011	This time they were not so seriously alarmed, and they made a queer laughing noise as they came back at me.	This time they were not so seriously alarmed, and they made a queer laughing noise as they came back at me.	true	633.915	639.27	11
1914_133440_000012_000012	I will confess I was horribly frightened.	I will confess I was horribly frightened.	true	639.27	641.925	19
1914_133440_000012_000013	I determined to strike another match and escape under the protection of its glare.	I determined to strike another match and escape under the protection of its glare.	true	641.925	646.155	14
1914_133440_000012_000014	I did so, and eking out the flicker with a scrap of paper from my pocket, I made good my retreat to the narrow tunnel.	I did so, and eking out the flicker with a scrap of paper from my pocket, I made good my retreat to the narrow tunnel.	true	646.155	652.84	17
1914_133440_000012_000015	But I had scarce entered this when my light was blown out and in the blackness I could hear the Morlocks rustling like wind among leaves, and pattering like the rain, as they hurried after me.	But I had scarce entered this when my light was blown out and in the blackness I could hear the Morlocks rustling like wind among leaves, and pattering like the rain, as they hurried after me.	false	653.09	662.895	11
1914_133440_000013_000000	'In a moment I was clutched by several hands, and there was no mistaking that they were trying to haul me back.	'In a moment I was clutched by several hands, and there was no mistaking that they were trying to haul me back.	true	662.895	667.695	15
1914_133440_000013_000001	I struck another light, and waved it in their dazzled faces.	I struck another light, and waved it in their dazzled faces.	true	667.695	670.815	18
1914_133440_000013_000002	You can scarce imagine how nauseatingly inhuman they looked--those pale, chinless faces and great, lidless, pinkish-grey eyes!--as they stared in their blindness and bewilderment.	You can scarce imagine how nauseatingly inhuman they looked-those pale, chinless faces and great, lidless, pinkish grey eyes!--as they stared in their blindness and bewilderment.	true	670.815	681.76	10
1914_133440_000013_000003	But I did not stay to look, I promise you: I retreated again, and when my second match had ended, I struck my third.	But I did not stay to look, I promise you: I retreated again, and when my second match had ended, I struck my third.	true	681.89	687.9	14
1914_133440_000013_000004	It had almost burned through when I reached the opening into the shaft.	It had almost burned through when I reached the opening into the shaft.	true	687.9	691.425	14
1914_133440_000013_000005	I lay down on the edge, for the throb of the great pump below made me giddy.	I lay down on the edge, for the throb of the great pump below made me giddy.	true	691.425	695.5	17
1914_133440_000013_000006	Then I felt sideways for the projecting hooks, and, as I did so, my feet were grasped from behind, and I was violently tugged backward.	Then I felt sideways for the projecting hooks, and, as I did so, my feet were grasped from behind, and I was violently tugged backward.	false	695.78	703.125	14
1914_133440_000013_000007	I lit my last match ... and it incontinently went out.	I lit my last match ... and it incontinently went out.	true	703.125	706.69	19
1914_133440_000013_000008	But I had my hand on the climbing bars now, and, kicking violently, I disengaged myself from the clutches of the Morlocks and was speedily clambering up the shaft, while they stayed peering and blinking up at me: all but one little wretch who followed me for some way, and well-nigh secured my boot as a trophy.	But I had my hand on the climbing bars now, and, kicking violently, I disengaged myself from the clutches of the Morlocks and was speedily clambering up the shaft, while they stayed peering and blinking up at me: all but one little wretch who followed me for some way, and well nigh secured my boot as a trophy.	false	706.76	724.18	14
1914_133440_000014_000000	'That climb seemed interminable to me.	'That climb seemed interminable to me.	true	724.58	727.425	18
1914_133440_000014_000001	With the last twenty or thirty feet of it a deadly nausea came upon me.	With the last twenty or thirty feet of it a deadly nausea came upon me.	true	727.425	732.03	20
1914_133440_000014_000002	I had the greatest difficulty in keeping my hold.	I had the greatest difficulty in keeping my hold.	true	732.03	734.535	16
1914_133440_000014_000003	The last few yards was a frightful struggle against this faintness.	The last few yards was a frightful struggle against this faintness.	true	734.535	738.28	15
1914_133440_000014_000004	Several times my head swam, and I felt all the sensations of falling.	Several times my head swam, and I felt all the sensations of falling.	true	738.29	742.47	13
1914_133440_000014_000005	At last, however, I got over the well-mouth somehow, and staggered out of the ruin into the blinding sunlight.	At last, however, I got over the well mouth somehow, and staggered out of the ruin into the blinding sunlight.	true	742.47	748.875	12
1914_133440_000014_000006	I fell upon my face.	I fell upon my face.	true	748.875	750.76	20
1914_133440_000014_000007	Even the soil smelt sweet and clean. Then I remember Weena kissing my hands and ears, and the voices of others among the Eloi.	Even the soil smelt sweet and clean. Then I remember Weena kissing my hands and ears, and the voices of others among the Eloi.	true	751.31	762.79	18.725044
1914_133440_000014_000008	Then, for a time, I was insensible.	Then, for a time, I was insensible.	false	763.43	771.6	18.050947
