7932_93470_000000_000000	CHAPTER XVII.	CHAPTER seventeen.	false	0.6	4.02	22
7932_93470_000009_000003	I shouldn't think so much of that, because she has often fainted since her illness, but that wasn't all. When her mother got her round she went upstairs to her room, and didn't come down again.	I shouldn't think so much of that, because she has often fainted since her illness, but that wasn't all. When her mother got her round she went upstairs to her room, and didn't come down again.	true	96.02	107.05	21.320229
7932_93470_000009_000004	There is not much in that, you would say; after a girl has fainted she likes to lie quiet a bit; but she didn't lie quiet.	There is not much in that, you would say; after a girl has fainted she likes to lie quiet a bit; but she didn't lie quiet.	true	107.36	115.03	25.458593
7932_93470_000009_000005	We could hear her walking up and down the room for hours, and Hesba stole up several times to her door and said she was sobbing enough to break her heart.	We could hear her walking up and down the room for hours, and Hesba stole up several times to her door and said she was sobbing enough to break her heart.	true	115.19	123.43	17
7932_93470_000009_000006	She is going about the house again this morning, but that white and still that it is cruel to look at her.	She is going about the house again this morning, but that white and still that it is cruel to look at her.	true	123.8	130.45	23.310677
7932_93470_000009_000007	So I thought after breakfast that I would put on my hat and come and have a talk with you, seeing that you were good enough to be interested in her.	So I thought after breakfast that I would put on my hat and come and have a talk with you, seeing that you were good enough to be interested in her.	false	130.46	139.65	22.742609
7932_93470_000009_000008	You will say it's a rum thing for a father to come and talk about his daughter to a man he hasn't known more than two months.	You will say it's a rum thing for a father to come and talk about his daughter to a man he hasn't known more than two months.	true	139.65	145.57	11
7932_93470_000009_000009	I feel that myself, but there is no one in the village I should like to open my mind to about Ruth, and seeing that you are father of a girl about the same age, and that I feel you are a true sort of a man, I come to you.	I feel that myself, but there is no one in the village I should like to open my mind to about ruth, and seeing that you are father of a girl about the same age, and that I feel you are a true sort of a man, I come to you.	true	145.82	159.85	21.723288
7932_93470_000009_000010	It isn't as if I thought that my Ruth could have done anything wrong.	It isn't as if I thought that my ruth could have done anything wrong.	true	160.49	163.93	19
7932_93470_000009_000011	If I did, I would cut my tongue out before I would speak a word.	If I did, I would cut my tongue out before I would speak a word.	true	164	168.34	23.809042
7932_93470_000009_000012	But I know my Ruth.	But I know my ruth.	true	168.56	170.71	15.180335
7932_93470_000009_000013	She has always been a good girl: not one of your light sort, but earnest and steady.	She has always been a good girl: not one of your light sort, but earnest and steady.	true	170.72	176.23	23.80014
7932_93470_000009_000014	Whatever is wrong, it's not wrong with her.	Whatever is wrong, it's not wrong with her.	true	176.42	178.69	17
7932_93470_000009_000015	I believe she has got some secret or other that is just wearing her out, and if we can't get to the bottom of it I don't believe Ruth will see Christmas," and Hiram Powlett wiped his eyes violently.	I believe she has got some secret or other that is just wearing her out, and if we can't get to the bottom of it I don't believe ruth will see Christmas," and Hiram Powlett wiped his eyes violently.	true	179.03	190.6	21.249775
7932_93470_000010_000000	"Believe me, I will do my best to find it out if there is such a secret, Mr. Powlett.	"Believe me, I will do my best to find it out if there is such a secret, mr Powlett.	false	190.76	195.25	18
7932_93470_000010_000001	I feel sure from what I have seen of your daughter, that if a wrong has been done of any kind it is not by her.	I feel sure from what I have seen of your daughter, that if a wrong has been done of any kind it is not by her.	true	195.47	200.95	16
7932_93470_000010_000002	I agree with you that she has a secret, and that that secret is wearing her out.	I agree with you that she has a secret, and that that secret is wearing her out.	true	201.2	206.05	19.278645
7932_93470_000010_000003	I may say that my daughter is of the same opinion.	I may say that my daughter is of the same opinion.	true	206.42	209.08	17
7932_93470_000010_000004	I believe that there is a struggle going on in her mind on the subject, and that if she is to have peace, and as you say health, she must unburden her mind.	I believe that there is a struggle going on in her mind on the subject, and that if she is to have peace, and as you say health, she must unburden her mind.	true	209.48	219.01	16
7932_93470_000010_000005	However, Mr. Powlett, my advice in the matter is, leave her alone.	However, mr Powlett, my advice in the matter is, leave her alone.	true	219.44	223.78	19
7932_93470_000010_000006	Do not press her in any way.	Do not press her in any way.	true	223.88	225.7	16
7932_93470_000010_000007	I think that what you said to me before is likely to be verified, and that if she unburdens herself it will be to Mary; and you may be sure whatever is the nature of the secret, my daughter will keep it inviolate, unless it is Ruth's own wish that it should be told to others."	I think that what you said to me before is likely to be verified, and that if she unburdens herself it will be to Mary; and you may be sure whatever is the nature of the secret, my daughter will keep it inviolate, unless it is Ruth's own wish that it should be told to others."	false	225.95	243.24	20.667566
7932_93470_000011_000000	"Thankee, Mr. Armstrong, thankee kindly; I feel more hopeful now.	"Thankee, mr Armstrong, thankee kindly; I feel more hopeful now.	true	243.24	247.99	16
7932_93470_000011_000001	I have been worrying and fretting over this for months, till I can scarce look after my work, and often catch myself going on drawing at my pipe when it's gone out and got cold.	I have been worrying and fretting over this for months, till I can scarce look after my work, and often catch myself going on drawing at my pipe when it's gone out and got cold.	true	248.39	259.485	16
7932_93470_000011_000002	But I think it's coming on; I think that crying last night meant something, one way or the other.	But I think it's coming on; I think that crying last night meant something, one way or the other.	false	259.485	265.305	21
7932_93470_000011_000003	Well, we shall see; we shall see.	Well, we shall see; we shall see.	true	265.305	268.24	20.935925
7932_93470_000011_000004	I will be off back again to my work now; I feel all the better for having had this talk with you.	I will be off back again to my work now; I feel all the better for having had this talk with you.	true	268.73	273.91	21.885178
7932_93470_000011_000005	Hesba's a good woman, and she is fond of the child; but she is what she calls practical--she looks at things hard, and straight, and sensible, and naturally she don't quite enter into my feelings about Ruth, though she is fond of her too. Well, good morning, Mr. Armstrong; you have done me good, and I do hope it will turn out as you say, and that we shall get to know what is Ruth's trouble."	Hesba's a good woman, and she is fond of the child; but she is what she calls practical-she looks at things hard, and straight, and sensible, and naturally she don't quite enter into my feelings about ruth, though she is fond of her too. Well, good morning, mr Armstrong; you have done me good, and I do hope it will turn out as you say, and that we shall get to know what is Ruth's trouble."	false	274.25	296.89	20.449795
7932_93470_000012_000000	An hour later, Mary Armstrong went down to the mill to inquire after Ruth.	An hour later, Mary Armstrong went down to the mill to inquire after ruth.	true	297.95	302.17	18
7932_93470_000012_000001	She found her quiet and pale.	She found her quiet and pale.	true	302.21	304.36	23
7932_93470_000013_000000	"I am glad you have come in, Miss Armstrong," Hesba said, "our Ruth wants cheering up a bit.	"I am glad you have come in, Miss Armstrong," Hesba said, "our ruth wants cheering up a bit.	false	305.39	311.41	19.516445
7932_93470_000013_000001	She had a faint yesterday when she got back from your place, and she is never fit for anything after that except just to sit in her chair and look in the fire.	She had a faint yesterday when she got back from your place, and she is never fit for anything after that except just to sit in her chair and look in the fire.	false	311.51	320.22	20.010052
7932_93470_000013_000002	I tell her she would be better if she would rouse herself."	I tell her she would be better if she would rouse herself."	false	320.22	324.18	20.286161
7932_93470_000014_000000	"But one cannot always rouse oneself, Mrs. Powlett," Mary said; "and I am sure Ruth does not look equal to talking now.	"But one cannot always rouse oneself, mrs Powlett," Mary said; "and I am sure ruth does not look equal to talking now.	true	324.18	331.81	16
7932_93470_000014_000001	However, she shall sit still, and I will tell her a story.	However, she shall sit still, and I will tell her a story.	true	332.09	336.22	18.30878
7932_93470_000014_000002	I have never told you yet that I was once carried off by the Kaffirs, and that worse than death would have befallen me, and that I should have been afterwards tortured and killed, if I had not been rescued by a brave man."	I have never told you yet that I was once carried off by the Kaffirs, and that worse than death would have befallen me, and that I should have been afterwards tortured and killed, if I had not been rescued by a brave man."	false	336.62	349.23	21
7932_93470_000015_000000	"Lawk-a-mussy, Miss Armstrong, why you make my flesh creep at the thought of such a thing?	"Lawk a mussy, Miss Armstrong, why you make my flesh creep at the thought of such a thing?	false	349.23	355.15	15
7932_93470_000015_000001	And you say it all happened to you?	And you say it all happened to you?	true	355.43	357.61	18
7932_93470_000015_000002	Why, now, to look at you, I should have thought you could hardly have known what trouble meant, you always seem so bright and happy; that's what Ruth has said, again and again."	Why, now, to look at you, I should have thought you could hardly have known what trouble meant, you always seem so bright and happy; that's what ruth has said, again and again."	true	357.8	367.63	20.767118
7932_93470_000016_000000	"You shall judge for yourself, Mrs. Powlett, if you can find time to sit down and listen, as well as Ruth."	"You shall judge for yourself, mrs Powlett, if you can find time to sit down and listen, as well as ruth."	false	367.97	374.85	21.481735
7932_93470_000017_000000	"I can find time for that," Hesba said, "though it isn't often as I sits down till the tea is cleared away and Hiram has lit his pipe."	"I can find time for that," Hesba said, "though it isn't often as I sits down till the tea is cleared away and Hiram has lit his pipe."	false	374.85	383.32	21.171618
7932_93470_000018_000000	Mary sat down facing the fire, with Ruth in an arm-chair on one side of her, and Mrs. Powlett stiff and upright on a hard settle on the other. Then she began to tell the story, first saying a few words to let her hearers know of the fate of women who fell into the hands of the Kaffirs.	Mary sat down facing the fire, with ruth in an arm chair on one side of her, and mrs Powlett stiff and upright on a hard settle on the other. Then she began to tell the story, first saying a few words to let her hearers know of the fate of women who fell into the hands of the Kaffirs.	true	384.05	400.93	17
7932_93470_000018_000001	Then she began with the story of her journey down from King Williamstown, the sudden attack by natives, and how after seeing her father fall she was carried off.	Then she began with the story of her journey down from King Williamstown, the sudden attack by natives, and how after seeing her father fall she was carried off.	true	401.69	411.1	19
7932_93470_000018_000002	Then she told, what she had never told before, of the hideous tortures of the other two women, part of which she was compelled to witness, and how she was told that she was to be preserved as a present to Macomo.	Then she told, what she had never told before, of the hideous tortures of the other two women, part of which she was compelled to witness, and how she was told that she was to be preserved as a present to Macomo.	false	411.35	423.73	19
7932_93470_000018_000003	Then she described the dreary journey. "I had only one hope," she said, "and it was so faint that it could not be called a hope; but there was one man in the colony who somehow I felt sure would, if he knew of my danger, try to rescue me.	Then she described the dreary journey. "I had only one hope," she said, "and it was so faint that it could not be called a hope; but there was one man in the colony who somehow I felt sure would, if he knew of my danger, try to rescue me.	false	424.16	439.72	19
7932_93470_000018_000004	He had once before come to our aid when our house was attacked by Kaffirs, and in a few minutes our fate would have been sealed had he not arrived.	He had once before come to our aid when our house was attacked by Kaffirs, and in a few minutes our fate would have been sealed had he not arrived.	false	440.03	447.7	14
7932_93470_000018_000005	But for aught I knew he was a hundred miles away, and what could he do against the three hundred natives who were with me?	But for aught I knew he was a hundred miles away, and what could he do against the three hundred natives who were with me?	true	447.92	455.08	12
7932_93470_000018_000006	Still, I had a little ray of hope, the faintest, tiniest ray, until we entered the Amatolas----they are strong steep hills covered with forest and bush, and are the stronghold of the Kaffirs, and I knew that there were about twenty thousand natives gathered there.	Still, I had a little ray of hope, the faintest, tiniest ray, until we entered the Amatolas----they are strong steep hills covered with forest and bush, and are the stronghold of the Kaffirs, and I knew that there were about twenty thousand natives gathered there.	true	455.42	472.54	18.296259
7932_93470_000018_000007	Then I hoped no longer.	Then I hoped no longer.	true	472.94	474.67	15
7932_93470_000018_000008	I felt that my fate was sealed, and my only wish and my only longing was to obtain a knife or a spear, and to kill myself."	I felt that my fate was sealed, and my only wish and my only longing was to obtain a knife or a spear, and to kill myself."	true	474.92	482.65	16
7932_93470_000019_000000	Then Mary described the journey through the forest to the kraal, the long hours she had sat waiting for her fate with every movement watched by the Kaffir women, and her sensations when she heard the message in English.	Then Mary described the journey through the forest to the kraal, the long hours she had sat waiting for her fate with every movement watched by the Kaffir women, and her sensations when she heard the message in English.	true	483.47	494.74	15
7932_93470_000019_000001	Then she described her rescue from the kraal, her flight through the woods, her concealment in the cave, her escape from the Amatolas, the ride with the trooper holding her on his saddle, and the final dash through the Kaffirs.	Then she described her rescue from the kraal, her flight through the woods, her concealment in the cave, her escape from the Amatolas, the ride with the trooper holding her on his saddle, and the final dash through the Kaffirs.	true	495.05	507.49	18
7932_93470_000020_000000	Her hearers had thrown in many interjections of horror and pity, loud on the part of Hesba, mere murmurs on that of Ruth, who had taken Mary's hand in hers, but the sympathetic pressure told more than words.	Her hearers had thrown in many interjections of horror and pity, loud on the part of Hesba, mere murmurs on that of ruth, who had taken Mary's hand in hers, but the sympathetic pressure told more than words.	false	508.19	520.48	18
7932_93470_000021_000000	"And you shot four of them, Miss Armstrong!" Hesba ejaculated, in wide-eyed astonishment.	"And you shot four of them, Miss Armstrong!" Hesba ejaculated, in wide eyed astonishment.	false	521.12	527.47	19.683514
7932_93470_000021_000001	"To think that a young girl like you should have the death of four men on her hands!	"To think that a young girl like you should have the death of four men on her hands!	false	527.75	532.53	13
7932_93470_000021_000002	I don't say as it's unchristian, because Christians are not forbidden to fight for their lives, but it does seem downright awful!"	I don't say as it's unchristian, because Christians are not forbidden to fight for their lives, but it does seem downright awful!"	false	532.53	540.97	13
7932_93470_000022_000000	"It has never troubled me for a single moment," Mary said.	"It has never troubled me for a single moment," Mary said.	true	541.07	544.72	18
7932_93470_000022_000001	"They tried to kill me, and I killed them.	"They tried to kill me, and I killed them.	true	544.91	547.3	21.086996
7932_93470_000022_000002	That is the light I saw it in, and so would you if you had been living in the colony."	That is the light I saw it in, and so would you if you had been living in the colony."	false	547.55	551.55	16
7932_93470_000023_000000	"But you have not finished your story," Ruth said, earnestly.	"But you have not finished your story," ruth said, earnestly.	false	551.55	555.37	20.21648
7932_93470_000023_000001	"Surely that is not the end of it!"	"Surely that is not the end of it!"	true	555.62	557.73	18.798439
7932_93470_000024_000000	"No; my father recovered from his wound, and so did the soldier who saved me, and as soon as my father was able to travel, he and I went down to the coast and came home."	"No; my father recovered from his wound, and so did the soldier who saved me, and as soon as my father was able to travel, he and I went down to the coast and came home."	false	557.73	568.66	20.129158
7932_93470_000025_000000	"That cannot be all," Ruth whispered; "there must be something more to tell, Mary."	"That cannot be all," ruth whispered; "there must be something more to tell, Mary."	true	569.21	574.51	20.284584
7932_93470_000026_000000	"I will tell you another time, Ruth," Mary said, in equally low tones, and then rising, put on her hat again, said good-bye, and went out.	"I will tell you another time, ruth," Mary said, in equally low tones, and then rising, put on her hat again, said good bye, and went out.	true	575.21	584.53	20.50402
7932_93470_000027_000000	"Did you ever, Ruth?" Hesba Powlett exclaimed as the door closed.	"Did you ever, ruth?" Hesba Powlett exclaimed as the door closed.	true	585.38	590.47	18.941385
7932_93470_000027_000001	"I never did hear such a story in all my life.	"I never did hear such a story in all my life.	true	590.69	594.76	17
7932_93470_000027_000002	And to think of her shooting four men!	And to think of her shooting four men!	false	594.83	598.23	19.470842
7932_93470_000027_000003	It quite made my flesh creep; didn't it yours?"	It quite made my flesh creep; didn't it yours?"	true	598.23	601.63	21
7932_93470_000028_000000	"There were other parts of the story that made my flesh creep a great deal more, mother."	"There were other parts of the story that made my flesh creep a great deal more, mother."	false	602.39	607.59	19
7932_93470_000029_000000	"Yes, it was terrible!	"Yes, it was terrible!	true	607.59	609.34	11
7932_93470_000029_000001	And she didn't say a single word in praise of what the soldier had done for her.	And she didn't say a single word in praise of what the soldier had done for her.	true	609.62	613.93	14
7932_93470_000029_000002	Now that seems to me downright ungrateful, and not at all what I should have thought of Miss Armstrong."	Now that seems to me downright ungrateful, and not at all what I should have thought of Miss Armstrong."	true	614.12	620.02	19
7932_93470_000030_000000	"I suppose she thought, mother, that there was no occasion to express her opinion of his bravery or to mention her gratitude.	"I suppose she thought, mother, that there was no occasion to express her opinion of his bravery or to mention her gratitude.	true	620.63	627.64	15
7932_93470_000030_000001	The whole story seemed to me a cry of praise and a hymn of gratitude."	The whole story seemed to me a cry of praise and a hymn of gratitude."	true	627.86	632.01	15
7932_93470_000031_000000	"Lord, Ruth, what fancies you do take in your head, to be sure!	"Lord, ruth, what fancies you do take in your head, to be sure!	false	632.01	637.51	19.606922
7932_93470_000031_000001	I never did hear such expressions!"	I never did hear such expressions!"	true	637.73	640.42	20
7932_93470_000032_000000	Two days passed without Ruth going up to the Armstrongs'; on the third day Mary again went down.	Two days passed without ruth going up to the Armstrongs'; on the third day Mary again went down.	false	640.97	647.55	18.579237
7932_93470_000033_000000	"Well, Ruth, as you have not been to see me, I have come to see you again."	"Well, ruth, as you have not been to see me, I have come to see you again."	false	647.55	651.76	16
7932_93470_000034_000000	"I was coming up this afternoon.	"I was coming up this afternoon.	true	652.31	654.55	15
7932_93470_000034_000001	If you don't mind, I will go back with you now, instead of your staying here.	If you don't mind, I will go back with you now, instead of your staying here.	true	654.83	659.5	18.783602
7932_93470_000034_000002	We are quieter there, you know. Somehow, one cannot think or talk when people come in and out of the room every two or three minutes."	We are quieter there, you know. Somehow, one cannot think or talk when people come in and out of the room every two or three minutes."	false	659.81	667.71	23
7932_93470_000035_000000	"I quite agree with you, Ruth, and, if you don't mind my saying so, I would very much rather have you all to myself."	"I quite agree with you, ruth, and, if you don't mind my saying so, I would very much rather have you all to myself."	false	667.71	674.35	14
7932_93470_000036_000000	The two girls accordingly went back to the cottage.	The two girls accordingly went back to the cottage.	true	674.66	677.41	22
7932_93470_000036_000001	Mary, who was rather an industrious needlewoman, brought out a basket of work.	Mary, who was rather an industrious needlewoman, brought out a basket of work.	true	677.9	682.57	19.286919
7932_93470_000036_000002	Ruth, who for a long time had scarcely taken up a needle, sat with her hands before her.	ruth, who for a long time had scarcely taken up a needle, sat with her hands before her.	true	682.61	688	21
7932_93470_000037_000000	When two people intend to have a serious conversation with each other, they generally steer wide of the subject at first, and the present was no exception.	When two people intend to have a serious conversation with each other, they generally steer wide of the subject at first, and the present was no exception.	true	688.31	696.825	17
7932_93470_000038_000000	"I think it would be better for you, Ruth, to occupy yourself with work a little, as I do."	"I think it would be better for you, ruth, to occupy yourself with work a little, as I do."	true	696.825	702.19	18.143406
7932_93470_000039_000000	"I used to be fond of work," Ruth replied, "but I don't seem to be able to give my attention to it now.	"I used to be fond of work," ruth replied, "but I don't seem to be able to give my attention to it now.	true	702.92	709.6	19.960205
7932_93470_000039_000001	I begin, and before I have done twenty stitches, somehow or other my thoughts seem to go away, and by the end of the morning the first twenty stitches are all I have done."	I begin, and before I have done twenty stitches, somehow or other my thoughts seem to go away, and by the end of the morning the first twenty stitches are all I have done."	false	709.91	720.84	16
7932_93470_000040_000000	"But you oughtn't to think so much, Ruth.	"But you oughtn't to think so much, ruth.	true	720.84	723.01	12
7932_93470_000040_000001	It is bad for any one to be always thinking."	It is bad for any one to be always thinking."	false	723.11	725.8	16
7932_93470_000041_000000	"Yes, but I can't help it.	"Yes, but I can't help it.	true	726.44	728.59	21.774277
7932_93470_000041_000001	I have so much to think about, and it gets worse instead of better.	I have so much to think about, and it gets worse instead of better.	true	728.81	732.76	18
7932_93470_000041_000002	Now, after what you said to me the other night, I don't know what to do.	Now, after what you said to me the other night, I don't know what to do.	true	733.01	737.95	21.089462
7932_93470_000041_000003	It seemed right before.	It seemed right before.	true	738.29	740.23	18
7932_93470_000041_000004	I did not think I was doing much harm in keeping silence; now I see I have been, oh, so wrong!" and she twined her fingers in and out as if suffering bodily pain.	I did not think I was doing much harm in keeping silence; now I see I have been, oh, so wrong!" and she twined her fingers in and out as if suffering bodily pain.	true	740.57	750.88	17
7932_93470_000042_000000	"My poor Ruth!" Mary said, coming over to her and kneeling down by her side.	"My poor ruth!" Mary said, coming over to her and kneeling down by her side.	true	751.46	756.55	17
7932_93470_000042_000001	"I think I know what is troubling you."	"I think I know what is troubling you."	true	756.65	758.8	16
7932_93470_000043_000000	The girl shook her head.	The girl shook her head.	true	758.9	760.54	24.808838
7932_93470_000044_000000	"Yes, dear, I am almost sure you have known something all along that would have proved Captain Mervyn was innocent, and you have not said it."	"Yes, dear, I am almost sure you have known something all along that would have proved Captain Mervyn was innocent, and you have not said it."	true	760.67	768.58	17
7932_93470_000045_000000	Ruth Powlett did not speak for a minute or two, then she said, slowly:	ruth Powlett did not speak for a minute or two, then she said, slowly:	true	769.43	773.83	20.320505
7932_93470_000046_000000	"I do not know how you have guessed it, Mary.	"I do not know how you have guessed it, Mary.	true	774.41	777.43	19
7932_93470_000046_000001	No one else even seems to have thought of it.	No one else even seems to have thought of it.	true	777.92	780.49	14
7932_93470_000046_000002	But, yes, that is it, and I do so want some one to advise me what to do.	But, yes, that is it, and I do so want some one to advise me what to do.	true	780.77	786.43	13
7932_93470_000046_000003	I see now I have been very wicked.	I see now I have been very wicked.	true	786.86	789.1	16
7932_93470_000046_000004	For a long time I have been fighting against myself.	For a long time I have been fighting against myself.	true	789.38	792.34	15
7932_93470_000046_000005	I have tried so hard to persuade myself that I had not done much harm, because Captain Mervyn was acquitted.	I have tried so hard to persuade myself that I had not done much harm, because Captain Mervyn was acquitted.	true	792.5	798.73	16
7932_93470_000046_000006	I have really known that I was wrong, but I never thought how wrong until you spoke to me."	I have really known that I was wrong, but I never thought how wrong until you spoke to me."	true	799.28	804.28	12
7932_93470_000047_000000	"Wait, Ruth," Mary said; "before you tell me your secret I must tell you mine.	"Wait, ruth," Mary said; "before you tell me your secret I must tell you mine.	true	804.5	809.775	17.880537
7932_93470_000047_000001	It would not be fair for you to tell me without knowing that.	It would not be fair for you to tell me without knowing that.	true	809.775	812.625	14
7932_93470_000047_000002	You remember the story I was telling you about my being carried off?"	You remember the story I was telling you about my being carried off?"	true	812.625	816.85	18.480108
7932_93470_000048_000000	A fresh interest came into Ruth's face.	A fresh interest came into Ruth's face.	true	816.89	819.16	15
7932_93470_000049_000000	"Yes," she said, "and you promised you would tell me the rest another time.	"Yes," she said, "and you promised you would tell me the rest another time.	true	819.47	823.36	18.684278
7932_93470_000049_000001	I thought you meant, of course, you would tell me that when this war out there is over, you would some day marry the soldier who has done so much for you."	I thought you meant, of course, you would tell me that when this war out there is over, you would some day marry the soldier who has done so much for you."	true	823.61	831.1	13
7932_93470_000050_000000	"I was going to tell you, Ruth, why I am not going to marry him."	"I was going to tell you, ruth, why I am not going to marry him."	true	831.68	835.75	18
7932_93470_000051_000000	"Oh, I thought you would be sure to," Ruth said in a tone of deep disappointment.	"Oh, I thought you would be sure to," ruth said in a tone of deep disappointment.	true	836.36	841.93	17.361374
7932_93470_000051_000001	"It seemed to me that it was sure to be so.	"It seemed to me that it was sure to be so.	true	842.24	844.57	16
7932_93470_000051_000002	I thought a man would never have risked so much for a woman unless he loved her."	I thought a man would never have risked so much for a woman unless he loved her."	true	844.61	848.98	13
7932_93470_000052_000000	"He did love me, Ruth, and I loved him.	"He did love me, ruth, and I loved him.	true	849.17	852.07	17.160236
7932_93470_000052_000001	I don't think I made any secret of it.	I don't think I made any secret of it.	true	852.35	854.56	18.728233
7932_93470_000052_000002	Somehow it seemed to me that he had a right to me, and I was surprised when the time went on and he didn't ask me.	Somehow it seemed to me that he had a right to me, and I was surprised when the time went on and he didn't ask me.	true	854.87	860.775	15
7932_93470_000052_000003	When the last day came before he was to march away to fight again, I think that if he had not spoken I should have done so.	When the last day came before he was to march away to fight again, I think that if he had not spoken I should have done so.	true	860.775	867.24	15
7932_93470_000052_000004	Do not think me unmaidenly, Ruth, but he was only a sergeant and I was a rich girl, for my father is a great deal better off than he seems to be, and I thought that perhaps some foolish sort of pride held him back, for I was quite sure that he loved me.	Do not think me unmaidenly, ruth, but he was only a sergeant and I was a rich girl, for my father is a great deal better off than he seems to be, and I thought that perhaps some foolish sort of pride held him back, for I was quite sure that he loved me.	false	867.24	881.86	17
7932_93470_000052_000005	But he spoke first.	But he spoke first.	true	882.14	883.63	18
7932_93470_000052_000006	He told me that he loved me, but could never ask me to be his wife; that he could never marry, but he must go through the world alone to the end of his life."	He told me that he loved me, but could never ask me to be his wife; that he could never marry, but he must go through the world alone to the end of his life."	false	883.85	893.26	18
7932_93470_000053_000000	"Oh, Mary, how terrible!" Ruth said, pitifully, "how terrible!	"Oh, Mary, how terrible!" ruth said, pitifully, "how terrible!	true	893.57	899.11	21.612595
7932_93470_000053_000001	Was he married before, then?"	Was he married before, then?"	true	899.63	901.48	16
7932_93470_000054_000000	"No, Ruth, it was worse than that; there was a great shadow over his life; he had been tried for murder, and though he had been acquitted, the stigma was still upon him.	"No, ruth, it was worse than that; there was a great shadow over his life; he had been tried for murder, and though he had been acquitted, the stigma was still upon him.	false	901.82	912.96	20.337053
7932_93470_000054_000001	Go where he would he might be recognised and pointed out as a murderer; therefore, unless the truth was some day known and his name cleared, no woman could ever be his wife."	Go where he would he might be recognised and pointed out as a murderer; therefore, unless the truth was some day known and his name cleared, no woman could ever be his wife."	true	912.96	922.99	15
7932_93470_000055_000000	Ruth had given a little gasp as Mary Armstrong began, then she sat rigid and immovable.	ruth had given a little gasp as Mary Armstrong began, then she sat rigid and immovable.	true	923.57	928.9	22
7932_93470_000056_000000	"It was Captain Mervyn," she said, at last, in a low whisper.	"It was Captain Mervyn," she said, at last, in a low whisper.	true	929.87	933.91	21.013676
7932_93470_000057_000000	"Yes, Ruth.	"Yes, ruth.	true	934.34	935.415	17.721407
7932_93470_000057_000001	Sergeant Blunt was Captain Mervyn; he had changed his name, and gone out there to hide himself, but even there he had already been recognised; and, as he said--for I pleaded hard, Ruth, to be allowed to share his exile--go where he would, bury himself in what out-of-the-way corner he might, sooner or later some one would know him, and this story would rise up against him, and, much as he loved me--all the more, perhaps, because he loved me so much--he would never suffer me to be pointed at as the wife of a murderer."	Sergeant Blunt was Captain Mervyn; he had changed his name, and gone out there to hide himself, but even there he had already been recognised; and, as he said-for I pleaded hard, ruth, to be allowed to share his exile-go where he would, bury himself in what out of the way corner he might, sooner or later some one would know him, and this story would rise up against him, and, much as he loved me-all the more, perhaps, because he loved me so much-he would never suffer me to be pointed at as the wife of a murderer."	true	935.415	966.49	16
